"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"DNAJC8","O75937",24646.5,30,502.706771518858,1.28326136333233,0.0610793854606188,25,1,4117,4065,4116,4114.5,8234
"CAVIN1","Q6NZI2",24569.5,30,483.457209851012,-1.16483348033575,0.0491251072202643,20,1,4114,4022,4111,4088.5,8234
"GADD45GIP1","Q8TAE8",24555,30,447.135434036621,1.17863867771093,0.0498531024422467,18,1,4113,4030,4113,4065,8234
"ACAT1","P24752",24041.5,30,380.115093924597,-0.656203906297958,0.0491648724741056,19,1,4105,3512,4112,4078.5,8234
"ATP1B1","P05026",23866,30,334.011853465734,-0.572663219720537,0.0697831151633116,27,1,4088,3310,4117,4117,8234
"ATP5F1D","P30049",16400.5,30,402.520594560356,-1.86558417021777,0.0390532515183203,19,0,4109,4114,4099,4078.5,0
"FCN3","O75636",16388,30,357.566336817955,-1.35111310054097,0.0450701200243491,22,0,4101,4079,4106,4102,0
"LRRC57","Q8N9N7",16368.5,30,402.83630911637,1.18916307311078,0.0475779118600797,25,0,4110,4036,4108,4114.5,0
"RPL14","P50914",16358,30,488.0051914738,-1.51047257315026,0.0318039665535479,18,0,4115,4097,4081,4065,0
"PISD","Q9UG56",16341,30,344.469466150612,1.67705387709647,0.022141355713645,23,0,4097,4108,4028,4108,0
"DCTN3","O75935",16340,30,396.472356122846,1.19789966448475,0.0325465477987026,23,0,4108,4041,4083,4108,0
"HP","P00738",16338,30,333.111260655984,1.38978828743977,0.0402429834075055,18,0,4087,4084,4102,4065,0
"ATP11C","Q8NB49",16321,30,322.575021706179,1.3060030379538,0.0274111083720982,23,0,4077,4070,4066,4108,0
"DDX23","Q9BUQ8",16319,30,311.429466757295,1.81257130814935,0.0226116609830347,22,0,4070,4112,4035,4102,0
"OGA","O60502",16291.5,30,496.261718392201,2.09445579348561,0.0197384074532163,17,0,4116,4116,4010,4049.5,0
"SEC24D","O94855",16291,30,351.70358021841,-1.38064402596891,0.0298299914567824,16,0,4099,4083,4077,4032,0
"TMEM165","Q9HC07",16290.5,30,262.548264883643,1.3988019766126,0.0373546373036385,19,0,4031,4086,4095,4078.5,0
"COPS6","Q7L5N1",16289.5,28,248.670113288551,-1.3534225607565,0.037400385263585,24,0,4001,4080,4096,4112.5,0
"NIBAN2","Q96TA1",16285,30,353.131952500404,1.09645303467552,0.0366723870126598,23,0,4100,3984,4093,4108,0
"EHD2","Q9NZN4",16281,29,308.900337392246,-1.65574414246353,0.0294200383678978,16,0,4069,4106,4074,4032,0
"THOC2","Q8NI27",16276,30,420.103507752005,1.11115676356025,0.0296342580709524,21,0,4111,3994,4075,4096,0
"KSR1","Q8IVT5",16270,26,273.861306088263,1.37891651261048,0.0317334582789993,18,0,4043,4082,4080,4065,0
"APOD","P05090",16267,30,330.124648134475,1.08565918843294,0.0376932124790278,23,0,4084,3978,4097,4108,0
"MMP25","Q9NPA2",16254.5,28,278.171084659505,-1.700839342873,0.0191082614029953,20,0,4050,4109,4007,4088.5,0
"NOB1","Q9ULX3",16248,30,338.005460379526,1.09468970770396,0.0310388735555486,21,0,4092,3981,4079,4096,0
"STX2","P32856",16245,27,280.83494013193,-1.11532307222926,0.0370399982242904,22,0,4052,3997,4094,4102,0
"SLC1A2","P43004",16232.5,30,432.583150035249,-0.937654078489352,0.0532960899654945,24,0,4112,3893,4115,4112.5,0
"MRE11","P49959",16232.5,29,307.952356308663,1.49184302588942,0.0269216196426652,15,0,4068,4096,4061,4007.5,0
"STAT6","P42226",16217,26,249.276415206015,1.31687562723659,0.0438627816968756,16,0,4007,4073,4105,4032,0
"ABCC1","P33527",16207.5,30,336.714167274738,1.22967137356942,0.0262466924567483,15,0,4090,4052,4058,4007.5,0
"AKAP8","O43823",16204,29,297.937714660532,1.13324625051967,0.039953866168879,16,0,4065,4006,4101,4032,0
"BCS1L","Q9Y276",16200.5,30,297.188142228241,-1.11912912675758,0.033309007178868,17,0,4064,4001,4086,4049.5,0
"PNPO","Q9NVS9",16199.5,30,375.565064224981,-1.13704014059824,0.0193156936856486,19,0,4103,4009,4009,4078.5,0
"RPL3","P39023",16194,30,380.211903089481,0.949255788175933,0.0353460649506522,21,0,4106,3903,4089,4096,0
