"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","source1","source2","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"ATP5F1D","P30049",24701.5,30,721.634293633734,-2.60404911992158,0.101604665306348,28,1,NA,NA,4117,4117,4117,4116.5,8234
"CRABP1","P29762",24634.5,30,384.815384551067,1.85321774391014,0.0369846578189411,22,1,NA,NA,4106,4115,4086,4093.5,8234
"APOC3","P02656",24628,30,416.979734713611,-1.27450425777421,0.0894145644546606,25,1,NA,NA,4110,4061,4115,4108,8234
"DEGS1","O15121",23289,4,109.842445354549,-0.817730423952514,0.0435006525680907,21,1,NA,NA,3105,3765,4099,4086,8234
"YWHAQ","P27348",23214.5,0,112.940924988017,-0.959638721983589,0.0247817298190898,13,1,NA,NA,3142,3907,4043,3888.5,8234
"PRRC2C","Q9Y520",20989,3,91.5334664423438,-0.268071377223047,0.0189330793029488,19,1,NA,NA,2823,1869,3996,4067,8234
"RPS19","P39019",16456.5,30,513.271124494061,1.90288714830826,0.0572128742476304,28,0,NA,NA,4115,4116,4109,4116.5,0
"CLIP3","Q96DZ5",16419,30,410.699460362022,1.73243683297749,0.0433103370243991,23,0,NA,NA,4109,4112,4098,4100,0
"RENBP","P51606",16406,30,440.449979654114,1.47599084855621,0.0468317342416863,23,0,NA,NA,4111,4094,4101,4100,0
"PON1","P27169",16399,30,478.262842192609,1.45367699600582,0.0430374888955045,23,0,NA,NA,4114,4089,4096,4100,0
"SDF4","Q9BRK5",16393,30,339.995060061845,-1.44222683465316,0.0602911987415339,25,0,NA,NA,4089,4085,4111,4108,0
"NF2","P35240",16365.5,30,535.581692332689,-1.14808796245414,0.0952885319465698,27,0,NA,NA,4116,4019,4116,4114.5,0
"PHB1","P35232",16353.5,30,369.884218585378,-1.23200935771965,0.0554515548425799,22,0,NA,NA,4102,4052,4106,4093.5,0
"UBE2K","P61086",16342,30,377.245426060198,-1.82838540643978,0.028253335981152,19,0,NA,NA,4103,4114,4058,4067,0
"TRNT1","Q96Q11",16342,29,312.497991245657,1.29451881332234,0.0482585351049327,23,0,NA,NA,4071,4067,4104,4100,0
"MLH1","P40692",16319,29,317.97564919093,-1.56507595060573,0.0296532366651117,19,0,NA,NA,4078,4106,4068,4067,0
"FAF1","Q9UNN5",16307.5,30,325.205901097889,-1.32102176805645,0.0555431486937425,18,0,NA,NA,4081,4070,4107,4049.5,0
"NUCB2","P80303",16306.5,25,263.909992457032,1.48695293662541,0.0342534057608942,24,0,NA,NA,4022,4097,4082,4105.5,0
"AEBP1","Q8IUX7",16303.5,30,326.745326409594,-1.22135492131076,0.0432199294637175,20,0,NA,NA,4083,4047,4097,4076.5,0
"FAAH","O00519",16299,28,316.322663612969,-1.23515480397701,0.0478925900724063,19,0,NA,NA,4076,4053,4103,4067,0
"STAT6","P42226",16293.5,30,342.533170108224,1.55396174568928,0.0326665340810741,17,0,NA,NA,4090,4105,4075,4023.5,0
"EIF4A3","P38919",16288.5,28,309.045255242028,-1.1254713220136,0.0461672061232063,26,0,NA,NA,4069,4008,4100,4111.5,0
