"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"NIBAN2","Q96TA1",24657,30,379.801389067092,-1.09791312947083,0.0692888170762865,27,1,4115,4079,4114,4115,8234
"MT3","P25713",24639,28,273.515840472213,-1.15905436948688,0.0549335178710785,23,1,4099,4086,4110,4110,8234
"RBM15","Q96T37",24600,22,221.539715466141,1.5901246090737,0.0412604758054635,19,1,4067,4113,4101,4085,8234
"APOC3","P02656",24572,26,248.04251371418,-0.900308324963491,0.116740910639442,30,1,4086,4018,4117,4117,8234
"ACTL6A","O96019",24555.5,26,233.447843965573,-1.34452539135402,0.0228381956194617,18,1,4078,4105,4060,4078.5,8234
"GPRIN1","Q7Z2K8",24424,17,210.076715293634,0.764926515070419,0.0684227319824833,26,1,4047,3916,4113,4114,8234
"PRRC2C","Q9Y520",24407,30,334.729161427271,-0.689954607301016,0.104873323101585,29,1,4110,3831,4116,4116,8234
"RPL10","P27635",23574.5,1,102.269059018314,-0.664090076498324,0.0350326697351292,14,1,3462,3794,4094,3990.5,8234
"RNPEP","Q9H4A4",23162,7,134.18062780304,0.388681281428892,0.0238876121728644,21,1,3767,2995,4063,4103,8234
"CISD1","Q9NZ45",16459.5,30,382.51651751044,2.3270002214785,0.0720598339198858,24,0,4116,4116,4115,4112.5,0
"TMEM259","Q4ZIN3",16425,30,328.072010398661,2.4438584662246,0.0447035364546806,20,0,4108,4117,4106,4094,0
"STBD1","O95210",16418,30,326.965750551386,1.26238018347276,0.0554061360632739,21,0,4107,4097,4111,4103,0
"ARFIP2","P53365",16415,27,282.43919180653,-1.63994221672992,0.0319584693244736,23,0,4101,4114,4090,4110,0
"RPL15","P61313",16411,30,494.531150475046,1.50745949374376,0.0388375329316538,19,0,4117,4111,4098,4085,0
"EIF3I","Q13347",16408,30,357.767818984471,1.4263612136448,0.0333594016822533,20,0,4113,4109,4092,4094,0
"PAF1","Q8N7H5",16408,30,309.100563469882,-1.54926510901375,0.0387991254822235,20,0,4105,4112,4097,4094,0
"UROS","P10746",16402.5,30,355.910124521716,-1.05591301002923,0.0474575607023992,24,0,4112,4071,4107,4112.5,0
"STX6","O43752",16399,20,233.039348787607,1.28964215786113,0.0664834263190901,23,0,4076,4101,4112,4110,0
"BRAT1","Q6PJG6",16376,30,362.724023843484,-1.16103515940026,0.0253658323828171,21,0,4114,4087,4072,4103,0
"ZWINT","O95229",16372,18,211.149972547787,-1.41554319694678,0.0507344971192848,21,0,4052,4108,4109,4103,0
"PLEKHO2","Q8TD55",16361,29,338.337104086005,1.27850168349112,0.0241734656845585,19,0,4111,4099,4066,4085,0
"MRE11","P49959",16328.5,21,223.962876320631,-1.15018208134874,0.0367090306325273,18,0,4071,4084,4095,4078.5,0
"RNASEH2A","O75792",16328,20,204.541545983491,1.20581404991101,0.0345516917104561,21,0,4040,4092,4093,4103,0
"SEC24D","O94855",16323,27,300.286246392281,1.16681889553625,0.0278959582530936,16,0,4104,4088,4081,4050,0
"GMPPB","Q9Y5P6",16313,28,280.468909685158,-0.922910607730058,0.0403987775325193,19,0,4100,4029,4099,4085,0
"XAB2","Q9HCS7",16312,24,255.900611301571,1.01549483127652,0.0479856289413872,16,0,4092,4062,4108,4050,0
