"Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"hsa-miR-223-3p",1234,30,545.600253708959,0.971063142232885,0.553299790570972,30,1,207,207,206,200,414
"hsa-miR-20a-5p",1224,30,423.339057434859,0.642126259645419,0.473366071228546,30,1,205,201,204,200,414
"hsa-let-7b-5p",1203,30,431.568479978147,-0.50324271811603,0.411831652619656,30,1,206,183,200,200,414
"hsa-miR-142-3p",1203,30,372.865175803103,0.485547732458542,0.575567436877145,30,1,203,179,207,200,414
"hsa-miR-378a-3p",1202,30,311.451368781997,0.598148347500818,0.19114843926789,30,1,201,196,191,200,414
"hsa-miR-1246",1198.5,25,299.840168730768,0.8682627092343,0.288354052983701,28,1,197,206,198,183.5,414
"hsa-miR-26b-5p",1188,30,389.128766828993,0.449404074229016,0.432504683185726,30,1,204,169,201,200,414
"hsa-let-7c-5p",1182.5,30,349.619189228405,-0.529433229688352,0.236693918391918,28,1,202,186,197,183.5,414
"hsa-miR-92a-3p",1171,30,309.236122397912,-0.369112231828222,0.486712655640209,30,1,200,152,205,200,414
"hsa-miR-342-3p",1161,17,183.137079696486,-0.452665745250418,0.44641340282301,30,1,174,170,203,200,414
"hsa-piR-28764",786,28,243.618782087968,0.595876802090458,0.443658547757384,30,0,189,195,202,200,0
"hsa-miR-223-5p",766.5,30,249.168039906543,0.61402361153828,0.166607208640698,29,0,191,198,188,189.5,0
"hsa-piR-27491",765,18,220.560086237536,0.538325038651763,0.217971988752573,30,0,184,187,194,200,0
"hsa-piR-28263",764,20,204.873719362072,0.540176381985222,0.234122692170669,30,0,180,188,196,200,0
"hsa-miR-1290",760.5,18,214.932432297823,0.729356816076443,0.158322350150916,29,0,182,204,185,189.5,0
"hsa-miR-103a-3p",758,30,308.822025149405,0.395216225143461,0.290769195639659,30,0,199,160,199,200,0
"hsa-miR-191-5p",748.5,30,307.992507834055,0.477077783701594,0.157536119523736,29,0,198,177,184,189.5,0
"hsa-miR-30e-3p",746,11,197.364144211736,0.547941975063889,0.143941489867453,30,0,176,190,180,200,0
"hsa-miR-483-5p",744,29,269.901574756348,-0.748655215441035,0.101044104754906,27,0,195,205,169,175,0
"hsa-miR-183-5p",741.5,27,268.390860874134,-0.584689097864215,0.112558235023284,28,0,193,192,173,183.5,0
"hsa-miR-432-5p",741,20,195.244593397129,-0.672866585886023,0.175038369874296,27,0,175,202,189,175,0
