"Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"hsa-miR-27b-3p",1219,30,487.56011920178,-0.774849047453797,0.300576320332928,29,1,205,197,205,198,414
"hsa-miR-23a-3p",1214,30,484.837505128263,-0.797272766928114,0.215542140157137,29,1,204,200,198,198,414
"hsa-piR-27491",1164,26,264.328835940059,-0.590199010599483,0.328855889433489,30,1,168,171,206,205,414
"hsa-miR-125a-5p",1145,28,268.789090967156,-0.646489671991152,0.203499988242031,28,1,170,180,197,184,414
"hsa-miR-10a-5p",1144,30,313.920653256675,-0.669120380909305,0.16939268341857,28,1,178,185,183,184,414
"hsa-miR-126-5p",1141,30,342.583739436783,-0.629873116981635,0.188184105057765,27,1,189,178,191,169,414
"hsa-miR-182-5p",1106,30,311.721051937943,0.559842069015608,0.165638081015303,27,1,177,167,179,169,414
"hsa-miR-29a-3p",1085.5,30,322.901065703588,-0.62486274692704,0.116346003375815,26,1,181,176,158,156.5,414
"hsa-piR-32972",1079,24,237.801482261825,-0.579769470029059,0.132234340471987,27,1,160,168,168,169,414
"hsa-miR-99b-5p",909,14,168.506008243085,-0.43523030682756,0.0802122589685568,20,1,126,132,131,106,414
"hsa-miR-190a-5p",879,0,37.6672461715222,0.098853491121071,0.254028552858618,29,1,31,34,202,198,414
"hsa-miR-148a-3p",829,0,39.3771597559002,-0.0934391327789506,0.130697256491102,28,1,33,31,167,184,414
"hsa-piR-28764",819,30,477.192370493669,-0.888320580692346,0.27625886542645,30,0,203,207,204,205,0
"hsa-miR-126-3p",818,30,512.010867275859,-0.789987749193098,0.33174896724139,30,0,207,199,207,205,0
"hsa-miR-223-3p",802,30,490.402300396481,-0.869097516736546,0.17672142464518,30,0,206,204,187,205,0
"hsa-miR-199a-3p",785,30,472.005071029736,-0.885867027868804,0.191745131615561,28,0,202,206,193,184,0
"hsa-miR-339-5p",760,29,310.606598438526,-0.669961456728599,0.241136064821769,29,0,176,186,200,198,0
"hsa-piR-23446",759,30,372.386921567808,-0.746646081509414,0.17495046621277,28,0,194,195,186,184,0
"hsa-miR-27a-3p",758,30,419.96283501764,-0.785318392188147,0.163484738599174,28,0,199,198,177,184,0
"hsa-miR-23b-3p",747,30,391.486622156199,-0.711652122610723,0.187262248244415,27,0,197,191,190,169,0
"hsa-piR-28096",743,30,376.529971514207,-0.820001707520331,0.123598823720191,28,0,195,201,163,184,0
"hsa-miR-146b-5p",741,28,325.729836930864,-0.715509506760343,0.166704392932627,28,0,183,193,181,184,0
"hsa-miR-30a-5p",736,30,306.822336567179,-0.707512504635867,0.180130865633269,28,0,175,189,188,184,0
"hsa-miR-26a-5p",735,30,360.393304282495,-0.476596299042642,0.201343411825282,29,0,191,150,196,198,0
"hsa-miR-146a-5p",731,30,370.532812556946,-0.853425675190749,0.101533684897018,28,0,193,203,151,184,0
"hsa-miR-26b-5p",730,30,403.230059919939,-0.439817364893098,0.241237450236806,29,0,198,133,201,198,0
"hsa-piR-28765",727,30,317.081680823216,-0.65130057012336,0.166028178240608,28,0,180,183,180,184,0
"hsa-miR-1246",722,17,233.720191935351,-0.700026151683324,0.190291621736765,28,0,158,188,192,184,0
"hsa-miR-24-3p",722,30,470.465370692092,-0.711178738825449,0.123402819650225,27,0,201,190,162,169,0
"hsa-piR-32995",717.5,30,348.399948144852,-0.772687877090599,0.146911915939397,26,0,190,196,175,156.5,0
"hsa-let-7f-5p",716,30,332.099520713696,0.417915918429931,0.218175083812438,30,0,187,125,199,205,0
"hsa-miR-222-3p",713.5,29,329.702525189269,-0.82165950123172,0.138844044312607,26,0,184,202,171,156.5,0
"hsa-miR-223-5p",707,28,314.401341541659,-0.684291678729577,0.115473980431719,28,0,179,187,157,184,0
"hsa-miR-221-3p",704.5,30,445.520464046967,-0.883329839472142,0.104121634333474,25,0,200,205,153,146.5,0
"hsa-miR-183-5p",700.5,30,384.966692153613,0.71224108557435,0.11219049171195,26,0,196,192,156,156.5,0
"hsa-miR-361-3p",695,24,226.873172696647,-0.494254045781606,0.269195974231266,28,0,151,157,203,184,0
"hsa-miR-142-3p",681.5,29,366.84555299575,-0.458147929238905,0.197539819628055,26,0,192,139,194,156.5,0
"hsa-miR-378a-3p",679,29,272.182255302145,-0.523199228079258,0.156522050052479,27,0,171,163,176,169,0
