"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"O00273",12.4274012695584,5.9836090699767,12.6292071666778,9.99209256436033,10.8615156143527,10.1706248866202,10.051730933351,12.0195211228857,12.9813401093733,11.6702233143845,8.43331700552274,11.3747704374177,9.4610108809739,12.1584972726451,6.70941424477071,7.99800904620649,7.85912780451716,8.33046080487574,8.00599247877657,11.9168136959698,12.6727065096176,13.0321795647963,12.9568502807097,12.0867574613819,9.94971871809976,10.8043964329405,11.522122146543,11.9790209079819,11.6442425290337,11.6381001121328,9.26801760735201,12.2147175280335,11.3872032140885,12.3067196740993,12.4515196084459,13.4254507404442,12.0795906382081,9.25452417902057,10.8540269776641,6.70380177199365,12.6721930077137,13.9966834098075,11.2961363301255,12.1625552828138,13.0341790203264,13.7945921459104,11.9472279864457,10.463991513524,13.7861458765799,11.5572448227948,13.4160092275188,13.927890768748,12.5319669984155,11.9735831202083,13.2028039196282,7.1084113099886,11.0010413589315,12.3063009174832,6.10322761165829,7.58829799103893,11.6277711284444,10.8479829315694,12.5979730816508,12.7332766361766,12.1940312766601,13.3433442220573,12.0896688050732,13.7085138232317,10.292371342087,13.839555124319,13.4123551106024,12.7420881773564,11.5053714455206,8.59397288172706,10.955018755161,12.302055132779,14.1985088728971,13.1930389450413,13.5957867830952,13.3827757171169,13.7575340859178,12.4441431277422,9.8336364934241,12.5140168804745,11.8572253734618,13.4961756071732,13.895045966281,13.254055325125,13.9324539104789,7.87447839037058,12.7505724881232,9.29646758426845,9.86752072040846,10.8510192381197,12.4086881551245,10.5553953312744,13.0546098210404,13.4067426922155,8.63089748944101,13.6893592285529,12.7465248702623,13.1643233574923,13.3648680709123,13.7091996452238,12.4091918206241,10.6445246882867,11.3968053820349,9.69986685585617,11.1818845927578,13.8510541512304,13.5654754788386,12.6673575218355,12.5528293326807,12.4175210149324,11.6091853318444,8.87639519743509,10.795575566944,13.6079252139942,13.4261749920791,13.4399449160649,7.98626487703433,13.6927699909358,13.7178043238159,11.6731074798626,13.9270238802511,13.2851053714628,13.5078788572121,11.8545230255563,5.80136550866615,8.58058702941512,4.96716186581381,5.40546890482654
"Q5TGZ0",12.1214791156549,10.1093170971331,14.1902198041482,13.2545903491124,11.5154339481182,8.42054474118722,12.2992084874124,12.2009394283024,13.7973561312059,11.0651735451953,7.89796583835303,13.98425525139,11.9242264281845,13.1267132900152,10.0273356714642,10.6534853379246,10.2045693776669,10.2512414192574,9.68844574475273,8.80834874986444,13.0258992500897,13.8183068820412,13.6101433468607,12.7886328785189,9.90207256287047,11.9777560607486,12.9522422494711,12.0886172289255,12.0232852000245,12.2687875909526,8.40482954922214,12.8814019707808,9.73560386119344,12.9487387788203,14.0580754744572,14.0596829988227,14.6885854745699,12.6729220127348,13.6500620972942,9.75662874667999,14.3078154386102,13.1529810737323,13.0101854349551,14.4744745823982,12.9735999284044,14.7808053064523,12.9109621811222,13.7533281199061,14.3818196541504,13.9538017429523,13.9425012615466,14.277597098468,12.7442009803764,14.5017964963863,14.2295994483522,8.38928983538349,11.2488644753111,13.4524597084515,10.6691299980098,10.3012171337599,11.5110299678649,12.7329062300443,12.9781507317135,13.9359365309191,13.0555735779272,15.0148051077066,12.4196964108087,14.8072278993058,12.9702031020602,14.3236902018335,14.5694899932489,14.902086783822,14.3253461636937,14.4031809398984,11.6658753113468,13.7904526584462,12.5763448267999,13.7465477178397,12.7036225528615,12.3143488511268,15.5294883694136,13.4524557159644,14.1525454424654,14.3833491135892,14.2328152606328,13.3373479879658,14.6354223529333,12.3963410671826,14.3088975460335,11.761507548573,13.9751643737775,11.4562640232829,9.21869057669749,14.6237095108408,13.8514659946678,12.592963269945,13.5079048706089,13.5328949441397,13.2420707837736,14.5485603785797,12.8290111375998,13.716214344314,14.4849462101146,15.0858834046947,13.4723661879884,13.3031245141381,14.3256374774766,13.8773361138116,10.1925510354328,15.2663755635163,14.7146528393731,12.8031181835218,13.7795597633178,12.7094401443803,13.8195079590439,13.1541213351467,12.157332763479,13.8519355534227,14.0404204164207,13.9367800039991,12.420799148594,13.0239481422083,14.5154786194313,13.6098941775038,15.4262749345239,13.6482559651255,13.9506098912388,10.5006375035914,8.05025685914799,11.6694878320812,9.45518173826137,9.3288446417821
"Q66K74",11.8921820710981,6.55149378330078,12.7864546613749,11.8361313601352,10.7752246339086,10.4118683590973,11.3153399786414,13.8941123141619,12.7663183175985,10.0520583976437,4.16369559415101,12.4685606815605,11.3726803161124,9.62752839763816,6.31927616346221,7.42933061179036,7.83390486545032,6.66209983834541,8.96896757337371,11.5965897017226,13.6156296369681,13.5032447630581,12.2253715846735,12.345250855332,9.00169198552046,6.58948058693157,11.3243160839568,9.97088260571888,10.9727822294537,12.0504895492466,8.01252697164471,12.0625222682034,8.95826666404888,11.5245417150358,12.0724625137054,12.6483575820097,14.2474410393457,9.62615612035897,12.3535467952805,6.76514107518421,13.0540815401857,13.5093817086135,11.2064039139738,11.5234826158001,12.1046326380524,12.8979503611385,11.821984649782,13.9829044726938,13.7027644147037,10.9840078400746,13.4619511764625,12.3283207586534,13.5256835209426,13.2563016611103,13.6478893377967,8.91449412948425,12.4478522968273,12.4295353964923,8.48254389141638,10.1100418290425,12.1413250690659,12.3652242375215,12.6647368201659,13.4521875521197,10.9088134508724,13.8448360103788,10.7544489300461,10.7172908741061,10.9383361415383,13.3410120701923,12.166549587029,11.0405569005403,12.1541619959346,13.7430767155901,7.85611134090158,12.2309117927412,13.1914274183291,12.4682043019386,12.3525840748376,12.2671013093194,12.6178531558512,12.8299208149429,13.0152004683704,12.3610913904787,13.5281143974163,12.0272148851598,12.9479459979527,13.0665148399269,13.9419445980371,7.81831212685584,13.2527393042442,10.3635606778124,10.1242980643562,13.2866396518499,12.5956977350769,11.1378701857774,13.0806389565509,13.3695387788418,11.8188369593309,13.4788825657668,13.7285970667353,12.7029165190308,13.9320051789611,14.1760533410842,13.2892397517189,12.5135114355704,13.4272580404205,14.2576848947636,10.4520250394676,14.42517912132,13.5854280092662,13.0267384161193,10.4190563008906,12.6976264576259,12.380233528825,9.77563039823157,10.4837448062513,13.2731209333435,13.8951414153701,13.031009349268,12.3219664723956,12.0856037147132,12.7691009266297,12.9484375482981,13.1217818685024,13.2311244702052,12.9071376669389,10.6725935623854,8.56213197059604,7.46882126575678,5.06091816458883,6.45800092595134
"Q6NZI2",14.2650528916559,10.8003640936593,13.5165522473713,13.7600782220994,11.3404064908533,13.680904993039,13.731652716724,14.0215950257698,14.3882852559679,12.2577279744668,12.1605208866239,13.8933027895507,12.5821838877787,14.1418979444848,10.7783522037548,11.3395284516116,11.4460448229027,11.7706792700321,11.6562557642033,13.9513817339984,13.9639998971701,13.0537419324116,12.146522304737,13.2724827086101,7.82901444531011,9.44785229320471,11.5120476150908,8.82539900885329,10.5277204798763,8.19314190796798,9.46929255972686,12.5242846007611,11.6071730667297,11.2622437421927,13.5515537424161,14.6001585052788,13.7229559068286,12.6270069617795,13.362414375298,6.18733110287008,13.3178218922651,13.2449910564981,13.0061804863569,13.3442536513063,13.9299612601296,14.7144082314034,13.4782625604543,13.6203541733867,14.5479435154305,12.4781934776619,14.3488717685556,14.4096922609177,13.8573354227181,14.6736387676585,14.1342943573475,12.429187781492,11.6422592659068,13.6960538049302,10.7198562689436,9.9503697783707,11.7937547830379,13.5536292939164,14.4114035647054,14.6341646899041,12.2206587267761,14.5481408289203,9.50616021360798,14.4608092380792,12.2453977289708,14.9918587959877,14.0023668824331,14.2321190928785,13.8054016011429,14.5083608502584,11.2597945448843,14.2832791739,13.6562557642033,13.9540018675431,13.0628893752457,13.6630120213944,15.3086407205752,12.7933036314943,13.5773873620259,13.1676563253433,14.9948608984451,13.3542030755817,14.0804742808369,13.4345222400935,14.6130936714615,11.8007733373913,13.5248209653818,11.3367063472737,12.1245840000546,14.740528148874,13.9300679546617,13.2591560897686,14.4647153532681,14.4812976971546,13.2419831496943,14.7869329939334,13.93871085944,14.0153197673707,14.7175721155237,14.9586538417755,14.1578275398674,13.233320337778,14.6978189243233,14.6218097507336,9.11754619068736,14.2089251158197,15.0370611290116,14.4219780778843,13.6562557642033,13.6575151366464,14.4434616122274,11.5547105986415,13.6323578492875,13.8664441633763,14.5802096355843,14.2745965503767,10.8898493104208,13.3572955002098,14.6035734496873,13.6068854331055,15.1678282619087,13.8086549639074,14.9754753770488,13.0190231163442,9.95432671076999,8.91719189517927,8.62686307057617,9.43135493625142
"Q6P9B9",11.2510430958949,6.92756302619746,10.4670818362684,9.80873698403295,5.6676113199179,8.49353334162387,8.4696401771295,8.13613542264661,12.9129846233983,7.60396304613704,4.37856673349753,9.49060261282905,8.26746989322952,9.136851768903,5.53891780449912,8.16025576033412,7.68359151504049,7.39582397645077,7.19479639272846,8.67794931125983,6.22035482438964,11.229261813555,12.2622897105552,8.16846461166545,5.89297365690704,4.70108624016584,8.94733370101506,8.7925086690226,9.9093777841871,11.2850100722617,8.59240096078428,11.2743040213617,8.70523098244669,10.5897333207411,11.2574285867474,11.2932116827223,12.6530830821888,10.2313900865379,13.1883581564971,4.81000555034739,12.125129590873,13.4213968817574,8.52118638492905,13.0283098643638,10.5397865673772,10.2232142428453,6.30728936730254,13.4399793752564,11.5945738226805,12.5975909064269,12.9243117212734,11.7081101278393,9.81060007321194,13.1875609423794,11.2803976506418,8.01846551143,5.24673655262145,9.05619160746394,8.34214824370193,5.45642439043732,13.330649274311,10.9234518149149,11.5104156460466,12.8218032005681,8.74118781640857,13.6201743408855,8.57248300538235,13.833892603272,7.95745835746766,12.6094237876474,11.1165906853714,12.6823068277787,9.33430974524672,13.3038977305444,7.80485935463589,14.3961610473352,9.02394591827024,12.8071216995359,12.158441612916,12.7303381775447,12.0301656930898,10.092145458401,13.182149127421,11.9790373741987,13.1879026820691,8.93439292493549,13.1346076712548,10.1088356982215,12.7255492391708,5.18418874662543,11.0882888833281,7.70929078869302,9.01291821478918,12.1867007865914,12.188091018159,8.50077301907939,12.6140345377779,9.17922039033291,8.33364185415713,13.1953839989122,12.8518579032454,11.3649486883732,13.6774396046042,12.1021891298247,10.4113350558825,9.86568198711965,9.36371417227893,9.64699579057258,5.91078560689181,13.236685166047,13.7814728358035,12.5990145041337,11.811208421086,11.2777743321169,11.8500073602162,5.54964852419841,11.1229884540749,12.8776413476151,12.5600406125426,10.9527353781639,7.73649009907331,12.3415050989087,12.6371691644654,12.8706932347647,15.5255035733597,11.5940154120008,11.1778782584752,10.633259059943,4.57236271251684,5.08794271027234,4.61096302937669,7.683012728218
"Q6ZMK1",12.1660199962554,9.17537200651083,13.0029621223656,13.9478226961234,11.0828094809385,11.6171112329911,12.3583460738693,14.0315604765694,13.2005921376893,10.8856963733394,9.49655828424881,9.76730765521062,12.2058804257414,13.0660118723054,9.08746284125034,11.1981295710753,10.1209446098253,10.0521364825844,10.9834270774182,9.57923530705804,9.11205346813212,10.6275005754102,11.534245215731,10.6741652844005,8.2408305231691,7.0894771299689,11.2735852438925,11.1594580909233,10.2354308184944,10.9706629410633,8.67093882323298,9.39522288101099,10.3067568104985,11.6608872703026,10.8826688758179,11.8193929131269,11.3747825814284,11.0239145073375,12.5622510531283,10.6033485360971,10.7073454630034,12.2217514667412,11.5682875899839,12.1480281195563,13.3115832105289,12.8365397050887,13.0860955087214,13.3565384875686,12.2195428438281,11.7480051063621,13.2113680513799,13.7019760000466,12.8688534202325,13.9057364873968,12.5006575299227,9.013694238963,10.5689061545021,11.8115074591212,10.6820227511266,10.5166614865669,8.33824580429885,13.0551700021191,13.2824353497333,12.3149219971595,11.747771763642,11.7021577729805,10.1275520650565,13.2191402363632,9.83004341055858,12.5209920823752,13.2415465071916,11.7515932676501,11.7471816976664,13.2463197711802,9.8788232346819,12.6548780431093,13.2570069478579,13.3012076969194,12.8417558854804,12.3597516548548,12.4611969184144,12.3565920849444,12.2897619010038,11.5444055715301,12.9831697786748,11.9435718214778,11.9724220851152,12.4931582588828,12.9014732733052,9.71399761445744,11.605475074717,11.6524594423067,12.4310976615054,14.2124484931147,11.6407380249106,11.3066732894917,13.0534664603189,12.5254498106688,12.6682413754174,13.6984876385577,12.5577475460181,11.8238215250473,13.1240774993103,12.8457409734896,11.8987020602139,10.8483442273015,12.7348861775182,9.3524528759793,8.82560834462327,13.7302494480172,12.9872076224613,12.294533877162,11.8857769048295,11.4121722544331,12.1762552566322,7.98077403415647,12.186853566912,13.4137473804834,11.7981551318825,13.6053085854779,11.3581017074408,12.9837773307177,12.1942730900007,12.2278125731787,13.7718544975118,11.0750599813336,12.1781311455321,11.9435774542329,9.0197358559447,9.79279647454834,6.5319757734672,7.4519286721978
"Q6ZWL3",15.1543108189143,13.3449366017719,13.252144861325,15.7612079958172,13.4147808079194,14.0550876576668,14.3237768583092,16.0634412221526,15.3492377155162,11.966781141389,11.8736421246487,14.66765941158,15.6738943288089,15.2714894559219,12.55899873252,13.699372884912,12.3646156779791,14.3008335391913,13.4189075947709,15.1914795613076,14.2057712596704,13.6443541358931,14.3049212204551,13.5037743198264,9.3250243865472,10.3239808210831,13.1866305185655,13.5907354949452,12.4663863559133,13.2237675910219,12.754558001575,13.6113177600305,9.71911975316089,14.9771426449887,14.5187760794617,14.3883838539087,9.75721022802902,15.3129962875882,13.6655510089336,9.67190845787202,15.0712811141407,16.8524087288798,14.3666077290238,13.8708082504043,14.8733114930039,14.8993109358832,14.1793393693285,16.0969623197071,14.7677184908863,13.4099826288103,15.22982560654,15.4505403030298,15.2742321717626,15.1233714018621,13.9775482569966,11.9065148448469,12.3318683868075,13.4137778371773,13.381407759783,11.71754416445,12.0993269284096,13.8815153572831,9.15506552351326,16.1190526248763,12.068695320294,15.1288547623501,13.797777300159,9.77646327517783,11.9868148365201,13.1177362539684,14.3521271266467,10.1027388803993,12.9682487244305,13.9487046498981,9.68547728236744,15.5252938437512,14.3041783620594,13.2560787895325,12.3374032518996,12.187960809751,15.6438893933268,16.337425140431,14.4343717324267,13.8302559317311,14.9037434709532,16.3370251824266,15.3008281409997,13.7964611572234,14.5625052325206,13.5893000261526,14.341510990001,13.9924448717433,14.758523864412,15.2651870321596,14.5793514543315,13.8364625061143,13.8996280680027,14.6974251188547,12.8122049488294,10.3717452105572,14.1168995502612,14.4222223628449,15.2269760901342,16.0581111661034,14.5445553626694,16.56911962689,14.7195801489995,16.5119998076985,11.7966471708952,14.5251357587865,15.762335004754,14.148233356709,14.1193887404071,14.9209058689831,13.0247691273273,11.7228320436558,11.7084026330287,15.5466518082532,15.3787636808009,12.4191683360851,12.796527545237,14.2580400196032,14.9205170108602,14.4655470111164,15.4903476639944,14.0142387775428,14.5110147849061,12.1166133391343,12.4049572745451,13.1704036990279,11.7531377657798,11.596166234102
"Q7L5N1",12.4600029685157,8.98475785182742,12.9676244427255,12.3384651671326,12.0321232492229,12.8711287846196,12.3775813035921,14.4350613181253,14.1761332528123,10.1589367167143,9.51425327509236,13.374379702894,11.6892430489435,12.0673008226075,10.1541366258325,10.0316549024338,10.0868902311458,6.65806332776296,11.2931761767475,12.6676858011473,12.4823928313125,11.227754401101,12.3672410665834,11.9595574454869,6.37861705075502,2.3016517265004,8.12206500848307,10.6639783025968,11.4935315072685,12.5442451247471,10.7730962692991,11.0697331008075,9.3488310829335,11.989459897901,12.7458832196144,6.59892093180652,12.4554624001765,7.83945919895193,12.0856616761141,6.85478527739478,12.5363599241934,14.3316931613669,11.9772190204042,12.4144085744066,7.67956249997316,9.88249618918499,12.4732520769999,11.9727544523703,12.6799549921886,12.9467582510988,12.8699565509291,14.2151731580595,13.4262146550594,14.1832392145854,9.80018944297056,7.58376044992875,10.4087568206033,13.5185302214105,10.8310717421419,10.0092230560658,7.41778237172308,11.7214541519195,12.9342437295386,13.6010921226596,12.1473223751472,12.7080821789101,11.4123601259431,8.36832293398368,11.853548812081,12.0350659168092,12.64976870455,7.3507082472925,12.3360601168061,14.0699213920661,2.46786989508501,12.6593993156563,13.1568942290529,9.51176149250559,11.6649983896886,12.1974617261911,13.3013733161032,12.4200495769283,12.6901941062105,12.363321937627,13.8903091475574,12.1963660623061,14.1789037661651,7.34897589045721,12.2384461736847,11.0081810025602,13.342164092243,11.7599189958618,5.41204127189398,12.9556385772277,12.0324386331559,12.1079257290049,10.6416894797694,6.38608056334269,11.7267429661291,12.7988682339887,12.6835277031103,12.0318468517426,13.4104747434748,8.99560795798706,12.4190627197719,12.0064644872158,11.8711505604177,13.8503320753679,8.13773965570254,13.1738420179167,10.2410078523728,12.5788200248675,11.8422892208264,13.2873711499722,12.8804159229548,6.25272515290415,11.3854113100844,14.1215036275723,10.318663183829,11.0076946040522,10.3698797966115,12.9763132646366,8.93251961374726,12.3154031638159,13.5699456806744,12.506198485208,12.2067351886866,6.61612234671825,3.37843968014231,7.47168459893807,8.67500663063642,6.54866242398267
"Q7Z4S6",12.881914652022,10.0527942330232,12.5088720081795,13.1079836197248,11.8697755438923,12.6364467529696,12.0353987950608,13.8031853768774,13.3014667662845,12.323524570075,9.68746152356763,13.7242766479559,12.9027040619912,12.6710661550927,9.3025603602187,11.0725669215288,10.4875314658091,11.5352745066816,11.4481413044362,12.4581684012334,13.007049405423,13.0625609839487,12.6496610670011,11.8697062518814,7.36980455034751,9.60360193124019,11.5695578212689,11.6258429921121,11.7676305412893,11.9153988442435,10.3928611651011,12.4526131194351,9.33230706936833,12.3612279668574,13.0316500289944,12.7404241912746,13.0399212815012,12.2072678560026,13.1307185792501,8.23593759087169,13.0041899333585,13.9360421410375,12.8575846646883,13.4980462794897,13.8753618459784,13.698026300912,12.7709628442972,13.0929938459444,13.3952303236554,12.4907544835898,12.8400420214345,11.9064241226086,13.4523776513972,13.7120705992737,12.1615723630154,11.4794783640239,11.7674991098397,13.2147245653906,10.9853739891096,10.4466323716396,9.21158710550633,11.9834327788941,12.8585286623566,13.4436305773826,11.6132323186781,13.1673818359649,12.3491186625932,13.4774384588939,11.641499941271,12.9031827651688,13.7195420773944,13.1067001530408,12.2176871697799,13.4600338462812,11.4131684640699,13.765012352416,12.6962223851114,12.9535799750973,12.4602839514568,12.5468705118906,13.1355588862129,11.8371166681385,12.3948593386556,12.2921199768151,12.5273522032911,12.9745015633151,13.8853097123156,12.6549483127107,13.561346519981,11.3255626922975,12.1262935220282,12.0487050273866,11.920943952782,13.0504733072428,13.2008838383181,11.8899280076794,13.3009821175763,13.9389729637456,11.9243782058026,14.2516298211725,13.4083254019902,13.030365737599,13.5213532523361,11.8895255507095,13.5660743785924,13.0483446367025,13.7528803712561,13.5625440218053,10.0415122250297,13.9951891250509,14.0820406352514,13.165654785771,12.4949992044425,12.9044748465425,13.5665640851121,10.479411285373,12.0542051277556,13.0876255377098,13.4900326835032,13.3660862862046,11.7165965143751,12.8484710375559,12.0630058345708,13.2167772976217,11.9207239297812,12.7857000684045,12.8638943809951,11.4526252827404,9.15794586878781,11.402979213789,7.16170897240905,8.47185993771173
"Q8IVT5",11.6813795649113,9.64289893540762,13.4989145566394,10.9337029198555,11.1507899242201,14.1805350949247,8.80948966971671,13.8883567377663,12.6958913638053,14.1243394658723,8.84655444293268,13.4901861314282,11.8366629040725,14.035901313612,10.0326817788582,8.57688105029113,8.97344602442895,11.085728923854,10.924372035787,9.96196939414513,13.7645367438961,14.229870358614,13.3198595610376,14.2607740209156,9.37454817599087,10.0455354561631,14.2953563890291,13.1742221130983,12.9305495265823,12.8306371594849,10.4613586711826,10.3085631459482,10.6939592515539,13.4693836259884,14.7941377741703,13.9567260755385,15.4202747817162,14.8010683595051,10.3951342870331,11.8541652120147,14.7566533534879,14.5513482250622,14.6144318662336,14.8829262219404,14.0136280882217,16.0876893918724,14.4101909665232,15.72707793541,16.1040292511422,14.3511779331932,13.8754764318742,14.9806710121805,13.3054378129868,14.9081904820758,14.8974405854459,10.3534999800874,12.6187016080675,11.8969809962094,9.34747897219546,10.6369680796644,9.59188083901693,14.0505440870134,14.3834220689536,11.7096800357928,12.8834475995765,14.703860168357,10.885478452543,15.4923538027493,12.543267841046,15.4638880479927,16.6368446464544,14.6265673898671,14.5932785276352,15.3150303697583,11.2034503461609,14.2420429862315,14.4925631099345,10.0228263749703,13.1098082913658,13.4797172364895,11.25355882008,9.61316524199148,13.7225853024675,14.2222581158002,14.9007409618436,13.3806715077722,15.0783909337295,15.3307666042174,15.3631260890535,9.43227298866381,13.4072151182172,11.4760850629991,10.4508372818636,14.8901135460093,12.5609089844895,11.9735898071848,15.6574746769251,10.3786780616097,13.7125837052485,10.4945209308908,14.6632635132543,15.1597732645698,14.4842803552785,14.3269715673596,14.0169984630339,15.063989133137,14.5862591354079,10.8157434039926,11.1374189715551,15.9686947324947,14.8772734097412,15.1520714559024,12.7290057107208,11.1939337929095,13.743533056709,10.6998843851348,13.8079529800093,14.2761048529943,13.677903604211,13.1686250114832,13.0316576703131,15.1316976135935,15.7135313783963,14.2032437068368,14.5504835916678,10.3607950850253,13.6090521219963,12.4637736223515,8.53993145637365,11.0403413738675,9.46369928718683,10.4035002393884
