"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"Q93097",14.3183788113047,12.6478727049224,14.080760615985,14.3822469482713,13.788619889446,14.416172742343,14.2475999870806,15.8893931378054,15.042921412981,14.5979924084057,9.77706367905367,14.3639081563084,14.9028288649426,14.6884093688917,11.8798777771236,13.6885015328061,12.8993163450009,10.3011603511755,13.810366314806,14.135734708525,13.7189902441579,10.492842219211,10.2854134089921,13.9518456263374,12.994668160424,12.3838176427611,14.2521935134392,13.9475199794899,14.0456379192151,14.07032491057,12.1382941236894,14.586253398066,13.6412799287135,14.4619908831547,10.0365588736699,12.8412551523386,14.0189257822531,14.3193838278367,14.8125677960242,12.0097039749106,13.984563106251,15.2312961941021,15.115865777368,10.6001878367336,14.4288510544598,12.3312078350613,14.1895655333024,14.3254369141582,14.7310434779612,14.7174793882941,14.0230818749175,15.281481586537,10.8119141426989,14.0910220895491,15.1813075774278,11.7897371005098,12.7117970989787,14.2046732196705,9.24022030856064,12.6877758800233,11.4851996622455,13.582165040437,13.9992151454001,10.1453725194742,11.6774668566148,14.9259344916344,13.6393219684208,13.6895253851901,13.3882231578762,14.0503613442828,11.7211312186941,10.7353754057633,12.7800238657576,13.8035181931461,11.5206186805563,13.5707490695091,14.0657677846594,13.993888526919,12.8584140767877,13.9389715821639,13.3287430905297,14.1258845054691,10.8256322925353,12.824090079139,12.185594674938,14.6881678697243,14.2991306610549,13.1784076851445,11.9443923418835,12.8315076260028,14.0715370719813,9.73205062415201,13.1324873562178,14.3366226375077,13.7160766768399,14.2578586511485,14.0841079211105,12.0316984332116,13.1029142783692,15.0103850528886,10.456984520205,14.3316770770849,14.6589009193096,12.9495817215505,14.0574882419865,14.6444225703322,14.067684815522,11.1659860083047,13.1613733614934,15.3782003221265,14.7210390152649,13.9361778225768,13.9635352196057,14.8684296181498,13.7721400046694,9.25111161905662,13.705539986475,10.359758427541,10.8702434394431,14.2384178908138,12.5150033624165,13.6371155199559,12.129619592399,10.6917267952181,12.865699410646,13.692537376052,13.858640755605,13.3084479480702,10.5829198414312,13.0256244247153,10.6440465988646,9.20297415321743
"Q96Q11",8.62004287763591,6.57148746636875,11.9907231291601,12.0919379247692,6.09299732044369,10.506940675893,10.6437590406321,12.5668615211885,13.027916174837,10.9929383361658,6.16022109517014,9.15255651116931,9.06314443359573,9.21971015541887,6.1966139874812,8.22941582454589,5.36732710230622,6.87078030429963,5.82469271451164,10.7863452403396,12.8898044196019,11.8273242762232,8.74622339285088,10.9605133127752,6.23904468960831,6.22386201042539,11.0734519454413,7.91042831618425,8.51482447089434,10.6421599077692,5.83804299992764,10.5916157592776,6.28586319073173,10.8830321423391,13.3455968534446,11.9907829731232,12.5846433407175,6.25928212164984,12.0763949737032,5.63305416049081,12.6763453497004,13.966764032197,12.2366005718802,13.1456000894597,12.5390996027151,12.0647940842553,13.347649492741,13.828219022788,14.0614555780627,11.6797632057321,13.5517054158956,12.1786499667837,12.8357115276725,12.857135310799,12.9108565467652,5.9959010690359,11.4550447391621,12.0604970994703,5.95916226595655,6.16379123023674,10.9738205360584,10.8362290236,12.1101570189541,14.1784831029764,13.2340324911261,14.4614513696643,11.3891039700089,13.9266848211632,12.1349922030517,13.8783108920692,13.2721744233229,12.6609426203127,13.3407727415311,13.1635151251832,12.3578268822108,12.9622808681912,12.2359843436257,12.6911127562663,12.3994491563248,12.0780506202619,13.6935745702333,11.8030993576976,13.6693266653099,12.651437709358,14.5239830551717,13.0840639403303,14.2519970771294,13.7661917254343,14.2023393970605,10.8624437311778,12.0102727090373,8.13809570549716,11.0327004295899,14.1916115839145,13.4080390655053,11.9739241371854,13.0055807289568,11.3932619646182,10.6298336123324,13.1707119842781,13.4143190420775,13.3573242833983,13.2715096711646,13.6294637194413,13.4217091866854,9.21211642513844,13.7349386466645,13.5545461987553,10.8911534872798,14.4398254697556,14.4315821994558,13.3785479592881,12.069568510954,12.5744404807412,14.1559612083935,10.1277404169252,11.3016427355364,13.7095854453929,13.7365268585196,14.2705635230593,8.5823639538838,12.3195589725307,14.4032631721196,12.9229536725932,9.75186574049974,14.2083858282702,12.1872998669538,10.7774668358362,6.07110771254666,7.05605740934266,6.01654286626028,6.2062889351628
"Q9BRK5",12.1341247377659,12.3391413135057,13.8590599939651,13.9045303247886,13.3171509278102,13.6149362893707,14.2595723257483,14.7638955744768,13.2639469011468,13.6534673479372,11.9960457781342,15.4483239868677,13.9312295261244,13.7438745538265,10.9914663043889,12.8044225826566,12.1976276473192,12.9691913518658,12.5564547359513,12.1183599984754,8.99204767483536,14.1771644661316,13.6945614402736,12.8480349735424,8.41942677162372,10.2095844722568,13.574683487294,12.9427858364515,12.7722337064004,11.8752383575747,11.9095741418069,13.0648659820146,11.1867544593781,13.6639050573634,9.06172559011805,13.6815478810375,12.5354545207278,13.903068632619,13.995903683117,8.31081624856154,11.9309517085893,12.8034174591603,8.89447274776319,10.9448841813937,13.6288216600708,15.8596179598404,13.8211339933671,13.4882481965019,13.9946145142619,13.9085045117407,14.9199985550504,14.0080421217696,14.8007506340213,14.7199759565069,14.6632099951021,7.55352539287639,11.4066537581189,13.5234639856163,10.7862914358658,11.627329484157,11.5414752608083,13.2154378028939,13.740583698,14.9086158361323,12.3488898142214,8.88547990579219,14.2365155995134,14.8506979874941,13.9144538743937,15.9098228365939,13.8404052584973,12.2686242596693,13.293632052725,14.1735865237266,13.5625608006071,14.8010324214084,12.8834197135029,14.321987296892,13.7583340139764,14.2389314151001,14.7733161208929,11.5062950827879,13.591163418071,10.8186855899512,14.5015057859623,12.1381031565397,9.47884395076897,12.4446505192754,14.5559844297831,12.1229882536106,13.8438354198516,11.8769119244464,8.88988395421166,15.5080778677494,14.4772706280024,12.0910325242405,14.2889565194788,13.1015833782776,14.1940391287329,14.4750379238861,13.2871480083842,13.4383946517692,13.9236940717641,15.1171242172053,13.81022604725,14.1557086079699,14.2334218169492,14.5404816410335,12.3018103139032,14.8377847164108,14.3196540881069,10.8140323630083,14.0121214001732,13.8520119285181,14.390527882834,11.0367491290868,13.927264760202,12.7343072313706,13.3239871839218,14.8226506792198,12.3841680297468,14.254244862549,14.9334679406571,13.4625021521601,15.3825153591503,15.0809499428901,15.0591817739911,13.0734684616729,9.68458047909446,12.4755547442432,8.33073228861356,6.9325418181993
"Q9BUB7",12.5937968170328,10.5242313190792,13.2452555803066,12.6885508675579,12.4586074437538,12.4548014194373,12.6254617050439,14.6034835218958,13.6706026891041,12.9105709797525,9.49605163376501,13.8197278474783,12.3499730151648,12.7418190750213,10.0491097294419,6.61129267091731,9.23069495730806,11.1756975319147,11.8653564415998,13.6036469746242,13.6915736441487,13.8551297825893,11.2372282666863,12.2948769196294,3.73303387936441,3.40163933604356,12.3043799969275,11.6815586349606,6.9829190505944,12.7647033969209,8.78942954167889,12.602825090501,12.0767464015871,12.9682318220552,14.0465810436035,13.0823934694194,13.210392661608,12.0567188947168,13.9006857282242,7.97159092163243,13.2312800660923,13.7056437870825,13.4525960895533,13.0679647242023,13.2393538424849,14.4585879919491,12.9868565301141,13.6638996860904,13.973034980141,11.8546225064231,11.8295367030792,12.1758255587481,13.8603817394483,14.2800698703006,13.8021828905111,6.80950085174551,11.6200830696846,12.8446993141875,10.8571896638618,9.71695000241202,7.96961600338564,12.5115055957925,12.598957526605,14.4226639594878,11.3315387300859,14.688351355573,10.20735774254,13.5568204822247,11.8127608722734,12.8487182216996,13.259778494188,12.8562934218325,9.45040132932889,12.5682385888122,10.8383755677655,13.8333355829329,12.752095143575,12.1310355389611,12.2460813563629,12.3955868902043,14.5814954153813,12.4262890605008,12.6319728423042,12.6392358656219,14.3274781155154,11.6071220886776,14.0805305765661,10.5179909719305,14.18332321862,10.0630435745284,12.443399132254,9.47622648621813,8.10013532515254,14.0298724253133,12.762403501213,11.6728780184734,12.2964215421431,13.4637852632154,12.3270702122614,13.5415446212552,13.8007292059659,13.6274228216269,13.1942210197534,13.742236877204,13.4285672034562,13.9022166361288,13.9844114588205,11.9722539484021,10.9687618773917,13.6934650788702,13.688376752782,12.8654362333843,12.3133078906048,13.6270878875769,14.0951445728328,7.87573443038819,10.0064056004679,13.4887950340322,13.3421229306303,13.0744454055803,8.87864993325817,13.4722165259529,12.7779142724999,12.2093046869885,12.8897055648724,12.3121887234706,12.7796044801614,9.98258248319652,7.46735913641812,10.9115768639317,6.4037872808963,8.38683362296452
"Q9H875",5.08947927397543,8.96248811755558,11.3302723959614,10.3973657039235,10.8203944547859,11.6026238715197,6.43619748992114,10.1427572814943,12.7115659193842,11.5056944313766,5.50523938471554,13.1497239005722,8.79865873890623,5.2657221533729,6.88968912750376,5.71538585776828,6.13089314779384,8.54493818181279,8.28480648519713,9.40691339327645,12.2856970128705,11.4943097294791,6.79595668391383,6.30212650086889,5.58402276338652,8.44171940229382,8.90275006575074,5.28614739632313,11.5207876025919,8.13554549825438,5.64454784872992,8.967312645129,6.04363241026567,7.99497973069472,11.3731366020615,12.6466980112227,11.978321195305,11.4188182582326,12.8792257991729,7.00594923658848,5.55988656791302,14.4292660991155,10.9975060410137,11.5532583088465,13.9859958798741,13.4257404243162,13.5824538923548,13.8585116462352,13.7132596235824,12.5658161071009,12.8754630836887,14.0738488859161,13.8711630592512,13.958256630854,12.9132812510344,11.601555999494,10.8268695444244,12.9906605668629,5.96718456166141,8.05393874342659,6.70291906462596,4.34498734361763,12.6879089593467,13.8325951588245,12.5406758254316,12.7552653791241,7.96948041279555,12.3110722008221,12.8697325796715,12.8403648719361,11.802994975623,13.4353469235966,10.9483672315847,14.2598927835747,11.7679926651983,13.2239865840584,12.1015219764891,8.89896397422978,11.4236676526479,11.406878944343,9.65765706817012,12.1559384797829,13.0930005113256,13.8673507478106,14.031184649017,12.550704164375,13.8333489903871,14.5716206229943,13.4015482715732,10.2219138506891,13.094171809187,11.4868612763188,12.4321353665941,14.4547939282658,13.8050235741945,12.8416097602531,11.4848228942621,14.3556725754669,11.85573065916,13.5651055265168,12.294495527787,12.139150358078,12.9954157865989,13.8111630716577,11.9530697544783,13.2899641291306,12.7630269479577,12.8871084713435,10.3663102154579,13.7216686163329,14.1838388757878,12.5220861561177,11.8987935388176,12.5675582923165,13.6545864683726,6.66156020958011,11.9770205468523,14.3791094688464,14.2536164870196,12.6818977341916,8.85088473728664,13.6742370956707,13.4699595724758,13.5145148485723,12.5316278167451,13.8593540382168,13.8903068541412,5.46946676267426,8.04214466623218,5.93293335915024,7.10824588604098,7.35806863867086
"Q9NRX2",7.47123555073865,6.61327954014476,12.7979412902587,9.49258234751181,9.22425044447157,7.74589563767484,11.2010732013396,12.1669492934969,12.654734827982,9.29528595376988,4.82484681922904,8.13724978099717,7.71748554280202,5.15844762899263,5.15296530093738,6.95754919704079,7.22670398253359,7.42054946120989,8.16559526478744,7.66915085580917,11.3236760207383,11.1399128892374,10.3846626648494,9.3749754512578,4.89784123585302,6.44784719409318,9.59661029672727,7.13715217646094,10.8989043429989,8.8663833947525,7.1981672158994,8.98938039215179,7.94959863906462,8.73132223914723,12.0169725168835,13.3966187161903,12.3672216615206,10.4985575138314,11.146152057956,6.6157825860718,13.9769245925754,11.5076518678628,10.7494298679147,12.2288748600598,13.7274813656144,14.4833008356592,12.3844608065593,12.0872448299873,13.7290031243215,13.602302450558,10.6054367184382,8.29376157812401,14.6797747291258,15.6802436833928,14.7025005321501,10.2879582018755,10.5748432457187,10.487540432785,8.29958194338597,7.15607429092306,5.12444809669915,11.1598117047153,10.7286736395571,13.4546845027709,11.0863434215621,15.3360396314185,9.20428675356994,14.8470419321111,11.1236407085114,14.3760007222948,13.1116375969461,14.0826440667745,14.3810060180146,13.2818745004771,9.46589119419688,11.9071834138942,13.8834946981575,10.8426376253635,12.7920021982554,12.9906116401294,11.8765131225819,12.8601381282758,13.3136426807239,11.2540274853299,15.9596578118503,12.4020121840529,14.8071182856403,13.5392419160387,13.9561493294152,9.49091292877517,12.5038467352643,11.2111763517052,8.80696868320792,14.3324615108271,13.1024247875366,12.3033257202755,12.528649641205,8.96614715508053,11.1304714919193,13.4505101753324,11.9716024589596,14.3394306936297,15.4011699020092,13.0236389679463,13.4258639458736,11.1590353849033,11.7800077565028,12.9270425361462,11.7229067107689,15.9883613888545,15.2630145901291,14.3938351326045,11.6748151339632,13.5583581316081,13.8027612673282,9.39089487240181,12.6841311038133,14.1011734580475,14.4606345472101,14.7829284978266,9.80295094387596,13.4577087211725,13.8000066921162,12.0922938717997,13.5659517966366,13.805543821898,14.6403069719212,9.72417826474339,6.62371833912667,7.02156612523131,8.51126373067768,6.51980677114916
"Q9NUP9",11.8439364071994,11.2700017264011,13.4788039758986,12.4667874708115,8.55499427193845,11.9459379774453,11.3608263283288,14.7468135452965,14.081768698118,11.5141681434594,8.74007228690493,13.7419541075468,8.80494503730489,9.24882779909646,9.26723350291388,9.80165922493938,7.9999668102685,10.7094393475407,11.9607618469319,9.17965511700408,14.8603500340353,11.564414780189,11.5624462969407,10.4782946760718,7.81626866351472,6.87053368075948,10.8454518701957,10.7556581228883,10.818141450346,11.8217015219541,10.0371693213057,8.59394803505492,10.2867432640966,11.1456353520955,11.5974876070368,12.0714388381558,8.47582166816604,10.3019068349999,8.49804972468244,8.98486893849741,11.0284017324828,14.8642014120182,10.8212304558165,8.85744286701072,12.289293953119,13.65394005487,12.2294135150974,14.0010886221629,12.6765568954385,10.9168181405403,13.2995271460075,13.2497785279051,14.621330771177,13.4287269673763,13.3195505878572,9.81742082731527,9.64184004053793,12.1671017737882,9.87888657343001,7.11674941932276,7.39195068633897,13.2511952310529,11.8959181132756,12.9184582914629,11.4408931749927,11.3710463017925,11.9478985171168,12.8264696659853,6.92268920210963,14.2482189006447,15.6013733561242,11.8895401607655,8.45916031871471,14.0741251738204,11.407218042486,13.3193009767303,13.5634427698315,11.7802601226576,13.6218159990895,12.8400030348077,12.8617619091359,11.0401363422526,10.6452143984441,11.0944139567592,11.9830189745148,8.77932031099033,12.6828873499188,8.99322016119121,11.1293194462314,7.13115347201589,11.6120971889414,10.4241141518463,7.39369028965048,14.7955757599257,13.0494133845037,11.3153541295454,13.3527334789171,9.07193695556471,11.4997001819678,12.8727784437704,9.22383673501906,12.0418804703484,14.4499353125688,12.7978067849413,12.0897746624758,9.82305590936893,9.75187980668656,9.88551130518481,10.6150256465231,14.1372634057531,12.0884207857656,13.145654441359,12.0073690427291,11.3916741191383,14.3890180972335,10.2787019537779,14.5074118593681,12.9842415518368,13.7345379819345,13.409891181973,11.8040798635202,10.6339349320661,14.0807318519337,12.693784613747,13.2019870193799,10.9165184491013,11.6808316355227,8.66896549884726,7.12633429008137,10.9232161813196,8.28439717080496,9.25647607933705
"Q9P2F8",8.56200717214305,7.61890829502125,11.1679465446207,9.96947976128378,7.04781476283891,8.63709248931899,5.40881032675559,12.4304191601247,12.1535649177952,9.88179444654702,5.19055086161847,12.0475525828911,8.80211744514203,8.66034717493163,4.75132821896928,6.87572586287757,5.15166046625876,6.64130047942047,6.74100666090767,5.37486726997652,11.0461653058941,11.2656745719558,10.8733184984843,8.64202173046248,5.25402334980797,4.76752851377723,10.0040034545918,8.31659424551702,6.83888264486318,8.5891881048207,5.02259214304841,8.9024030856255,5.59096155231349,10.4122521445684,11.1827395520143,11.9539072756574,8.77137579410726,9.30621152829561,12.2777531174643,5.91185274255609,9.0402660539827,12.5152283273772,11.3340070684988,12.1283574857643,11.6898588405013,13.3658988314409,11.4532882860865,12.3392207165986,12.7413037454837,12.092473666307,12.5053153561362,9.21616215059562,11.5706365323611,12.6631084535278,12.565633918902,7.36659557414039,8.81696090444116,11.605474377027,6.6103495255609,8.03313724767742,10.4589790264913,10.0536797078187,10.3842056785034,13.3547813872547,8.46247431862163,12.7096972830826,11.1759750918023,12.8408771479484,11.0647965726164,11.9660387233094,12.9115695878511,11.3776816303131,11.5383254120534,13.0274267904261,9.63367568085254,13.6133881931538,12.2555011146039,11.8611336795009,10.1706832006831,11.9245350807698,10.6773371499558,9.31277812699035,11.3586055486964,12.3831470470978,12.8874110325532,10.4533110402194,13.2799320750856,12.8872959979639,13.2549338648769,8.36346406391669,11.9941432613306,8.32920650902139,8.81280271558839,13.0000290931202,12.2027500629907,9.8578361451203,12.0494917232878,13.4931921754084,11.4982424566296,12.7570504316789,11.9945648225684,12.5736147385575,13.9098176810895,13.4822585186872,12.3751336335935,12.607097931974,12.5952491960153,12.620343026872,9.03054723684706,12.3417967723918,13.0106551697749,13.0854602372419,11.1947602021455,10.9477265238339,12.9626046459299,8.63585764874389,10.7236438394707,13.832241358488,13.2360387239854,10.4400175019912,6.47583539086377,12.5496060527868,12.7059264828338,11.9320173089113,12.7444328865014,12.5856997660546,12.3746784707032,9.69414329275422,8.98511639748387,6.82733309243634,5.71884140560927,7.07848535272359
"Q9UDX5",11.9113993601324,10.8531600969533,12.5683933114952,12.6233148019634,10.6656743449503,12.1851878471631,11.4696629098373,12.6049996883451,13.6532522802683,12.045163672198,9.73980551152308,13.6877299688788,12.9189476331645,11.9452522111367,9.34124110162843,10.0166352278764,10.2366294458894,11.7440925048918,11.3691692710806,11.0673661537191,12.3908060956374,13.2643812203431,10.6197302328891,12.0363140943033,8.33087522029168,7.27132613413158,11.5816028371421,7.38853706532606,12.3581569438555,11.7717717618789,8.44415936483423,12.8852492450775,8.38264966509012,11.5964107130989,13.6144672250798,11.7482656621379,12.1997421455724,10.8972793584625,12.2370200729547,8.46810847129692,10.5076223981299,12.7768050408047,10.3547950612837,12.4141637006885,12.1070071882202,13.3644952828321,10.9440669317037,12.2249363449209,12.6795701495261,12.1858593376011,12.9335866655642,14.3592236353543,11.773541650369,13.9493736339518,12.3918336730556,7.58308025419362,9.60142189987995,12.7030069192079,7.78408601774883,8.76931509435359,10.8834873045204,9.71653282817756,8.61701114993662,13.0587924179934,11.1959758284462,13.1845097191833,10.3015776208058,12.7526631442997,10.3510184348192,13.4360443254404,12.8925600602775,12.5784642679544,8.94297338735123,11.8929250276461,5.76980164106666,13.9152523305291,12.1062457937546,11.2057209950729,8.14204056906566,8.52464462880264,12.5307534444355,12.790221417655,12.4241521182225,10.5543307912987,13.4081729095973,11.3192952082137,13.4328384840487,11.9778229891844,12.9302892863461,5.8920414234294,12.289480849346,4.78355642593758,11.2263124587265,13.8911570955666,12.0656168633343,5.77971230446772,12.7975090685363,11.5563172010278,12.2889823734931,13.081456644023,12.9802719453954,12.5192114215351,13.8852011811867,12.5932076856378,11.6302626836463,11.2966307885986,11.9632390888824,13.0755327865751,10.9112907628047,13.2215563353522,13.1629599982955,12.7150134559068,11.6864791721075,9.29524174454512,12.7002132247101,7.70439765900126,11.0648278289259,11.7590839233993,13.1415510462791,12.3477895760902,7.34547030460687,12.4756264501527,12.0794141508608,12.7118261232419,13.6273334340574,12.4854671685714,11.9318975949897,9.66871565390337,5.55154563703887,11.1951783584241,8.4698251721757,8.59118174888192
"Q9UKM7",12.0536894841598,8.27687865578714,9.05589932696572,7.93231841208979,8.43487022195267,11.8034980139733,13.5765833203155,10.4918307368506,13.6652030750136,10.8704945561877,4.63136397031547,13.0973776737803,8.21365850776631,10.3780789606477,6.16206577268923,7.46896686311991,5.60044200805143,7.56362725656746,10.7425579855343,8.1242264614345,14.1271444122777,13.0132131422962,8.61080567358913,12.3439338379028,7.62590585949975,8.53645142063117,7.82917291343934,12.4441608830292,11.3424122890884,9.90825861521798,6.41682219195854,11.2282970025724,10.3550922729602,11.7655098817045,12.8745714542729,13.542622756075,13.7526190045745,10.1770455457017,12.8052169529426,8.29916219640457,12.4959718955217,14.7977872912222,12.6331701962873,13.6536998838984,13.5410797447616,14.2964833060178,12.8507756508228,13.3673534270074,12.2371419686272,12.8049402426112,13.3889465302403,13.8615346359824,14.2897677172621,14.4788313717308,13.5841381699718,8.87004410150452,11.8748851269206,12.6210633433021,10.6433724228092,7.70388230483087,12.7635643341012,12.6313636354028,12.2358188570542,12.9529016532369,13.0851770757408,9.35565079268635,11.6830183622212,14.272127689608,11.5313007966431,14.2627520680934,12.9274225716388,13.8193520877702,11.3400608287556,12.8946283213747,12.4703808617643,12.9118744374953,14.2563457680992,13.753419145241,13.231991338136,13.5956610274888,14.5534905172673,13.4067442728808,13.9194392302538,13.484111486336,14.7168000347206,13.3214613728395,14.3659286008079,13.5216827738495,14.3534783394203,9.52282530565428,12.9279181342944,12.1475226828662,13.2328021414544,13.9694057789699,13.9836007343341,13.1884994363721,14.0646343183557,13.8435929642695,13.1023507163425,13.0771334597365,13.9855957248916,13.0893230130141,14.0553365354832,14.405094817297,12.9348553592246,11.1730682851209,8.93077999093985,12.3385456608382,11.9194274284102,14.3649719003744,14.6738072172724,13.6178236272267,12.6378807994872,12.4942087222132,13.5632866750962,10.7724360889261,13.3465863086814,13.860904913126,14.4819965340235,14.4808693753466,11.1278889779969,13.6878314555619,13.7233531458433,13.5015053357181,13.7664035697326,13.9855299241628,14.2243210435935,11.3770471509711,10.7793306294232,9.35021508099472,5.23427895240957,7.64413174650745
