"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"A0A0C4DH38",15.0054937377286,10.7711662017029,15.0082773496002,14.224265053512,13.4711821202594,13.9146345551333,14.2701126587222,15.0375606570695,15.5000632716208,12.659692364367,11.939527760063,15.5126755895834,14.5505938388622,15.8770679639836,11.8452262486455,12.9518065974842,13.1236200272668,13.0248761989084,13.4659608200136,14.1860887235594,15.0527855084877,15.0343874121183,13.6132315336813,13.3590419476723,11.2623409398007,12.6792121236204,13.9813088292837,13.6671645917746,13.7548348546055,13.8283240409768,11.3478157810649,13.9234212075178,13.9011540518615,13.868350750649,14.3557442709826,15.2183285101544,14.6327477251519,13.6402682798819,15.0282745514995,11.0761259229358,14.5436809430737,14.3275401649793,13.9891083251979,14.4909745734263,15.2145223572667,15.209660972935,14.9689145620879,14.7502676859081,14.1684480775435,15.101814014826,14.9209014213648,15.8458121631693,14.8940173648835,15.9143721209902,13.9387295720915,11.5097277218867,12.5943531275326,13.7131130510417,11.9025539775926,12.459673905498,12.0959120550576,15.3122013356435,14.9936271555387,14.8495192233493,12.9292440115466,15.0683287601134,13.136911455845,14.4489088519986,13.7709248578285,14.1554971472828,14.72066018865,14.8368112198803,13.5594041232813,15.0028371422372,11.4291482799879,16.2383177890052,15.8695270769239,15.7300625993131,15.0975295119908,15.5181723248006,15.1666957521096,13.3070887059487,14.2871014713363,14.1460389957329,15.5984996641307,14.5209516820487,15.1218046876811,13.6531923074471,15.0142281044082,9.55952886476974,14.3659444432825,12.5237878051694,13.4489320698233,15.0696889374837,14.3345614463684,13.4381291827546,15.0858197837269,13.9632933033373,15.3522409636586,15.5399528659787,14.0119378097153,13.9595511741877,15.7575786321927,15.457556003058,14.9121969058561,15.2361695254068,15.6612351205849,15.6215903260354,12.5494370187944,15.2928696129804,15.7538013132163,13.8978082374401,14.4647870888348,14.3403136331261,14.9056401826909,13.4582763561559,15.1409370963085,14.7620068253134,15.1932652525974,15.100381344343,13.3725747886847,14.6814883425753,13.5352519943563,15.0018854160264,15.9039232759025,15.5322927718697,15.1697080554878,13.8795319264603,9.2598838211739,12.6223624356196,9.99147226258503,10.009782026438
"A3KMH1",13.0692456687082,10.5923593755616,13.5761878196991,13.0760575629317,12.3057731301746,13.0950561565719,11.6976225649395,14.4630578356387,14.6174862793557,12.1399817652488,9.61710470086408,13.855699047629,11.355954000517,13.6405950907105,9.66040729628369,10.7838955182755,10.6887880897278,10.379640108656,10.5335464787956,11.0306198632244,13.6255070485042,12.8433468146995,14.1387730671619,12.591306950805,9.65766791895479,11.0332968057466,12.7759850930526,12.1271883706565,12.3426419998365,12.2362757402422,8.92229467096362,13.3381564073786,12.4497206525096,12.9581968336229,13.5557698849554,13.8013121534767,13.9020954116587,12.2659574038391,13.7686733713811,10.6025263802032,13.8531792760936,14.9819759370153,14.1473802233788,13.8202538074549,12.820058832436,13.656320669419,13.3138800372075,14.0122784538885,14.2007360356638,13.2382017358737,14.0606467354342,14.7256732494486,14.1259893204074,14.334655104988,13.9245740850824,9.73698852559238,12.7883779185988,13.5539727015262,9.36791217734311,11.0528610786404,11.8248766714893,12.7143902436596,13.0563937186581,14.7555230454615,12.7968098864049,15.1507546730601,12.7942356710103,14.0129646628351,12.4733460335711,14.1171150599554,12.722080100311,14.647216718184,9.32906084410054,14.5897433881976,11.204931674935,14.0703361202996,14.186269026843,13.0099960430146,12.8313625202264,13.5074913708232,15.0723828015602,13.5192278718983,14.1951353410178,13.7334427564869,14.6097874422414,13.8576310649114,14.5728115807551,14.2374353744182,15.2043888848535,11.6524943053184,13.660984086153,12.2199644854275,12.2682294114331,14.9137888194452,13.8877116099174,13.1543842213632,12.7059003577038,14.281586530805,12.8281324928617,14.2161133626052,14.1471453988864,13.9509856750362,14.465062761899,14.8551740990826,14.1765109852602,14.0468570259169,14.3855596741496,14.5865792211699,11.9572882510807,15.0830761348403,15.0865424734411,14.2918641598526,13.5658850590447,12.7396390011726,13.609068013578,11.4783043689351,11.4224921029299,14.6250218662137,14.8215408883907,13.5645995605206,11.5056776679418,13.1973638591538,12.5568254086529,13.8708371077406,13.0039470894783,13.9439861698714,14.0898288927732,10.2677601379725,8.15522605294183,9.77507061933414,6.93891888314455,8.37162430118504
"A4D1P6",12.4154658570883,7.97530023241036,13.5418764764951,11.4303384499877,10.1265189646148,11.7689103099989,13.2783852409699,13.4049507841609,14.2760987748393,11.6051265385568,9.86702677522453,13.7322674190868,7.85888066307811,10.6797695186223,8.82158415251684,10.6581338272207,10.1679672671778,8.95465271684828,10.86489117679,9.16200401137753,13.6306917009804,13.7868776427005,13.4803203668846,12.4499750022079,7.97064382045367,8.76414673309646,9.55461378056903,10.5932933344905,10.7547921263648,10.9730741134471,9.76748175248211,12.0426170453336,10.6995754540934,11.8183388133637,13.4766111254417,14.0474202884351,13.3494823234301,10.0730689715543,12.9835363059892,7.63175291055975,13.4600567910639,14.1009084710665,12.6337794106342,13.6944893771489,13.8252399243004,13.7740799549252,13.4141621910361,13.6734610168995,14.2376526122526,13.065502121785,14.3019432051699,14.3421308936993,13.7299585785375,14.5754334320472,13.8498140750703,8.29577645069289,11.2286829142156,12.7776485760455,10.1079525625812,11.3333730433116,11.6751460256283,13.1903771597766,13.3517050126641,14.4450241734117,11.7970011235373,15.0737091269559,9.93806455815907,14.6482784149782,12.8483206511486,13.6043290320441,14.4558080290535,14.0711763149422,11.0728056985619,14.4137777080033,12.1463056924822,14.2828860164806,13.5261764024413,13.8536322395981,13.264355180911,13.6551379917166,13.7778887101923,12.0818325101925,13.9899056572591,13.7210117485509,14.6089259091438,13.2029777675109,14.5991805732729,13.8087183469438,14.2359412997508,10.7228617013425,13.060372532434,11.9448762909413,13.0082366542711,14.7118017301167,13.6219648382682,11.8965249831753,13.4410145727259,13.7837042630991,12.6559764048645,14.1431008521506,13.4527152539002,13.9799500345138,15.1081920606373,14.5943448824156,14.0303188287204,13.1170046608,14.4431601600102,14.1408986169144,11.0846448570186,14.7237673478449,14.9503147275666,13.8547783036934,13.0475196661529,13.1323060238734,13.6417958619415,10.731636231003,13.1296408003791,14.5733514711228,14.749264818681,13.5208939994426,11.0515911365136,13.1422901934157,13.8440889628704,14.0966897400124,14.264807893501,14.3410131848154,13.6606769271514,12.8693059867959,10.3609576990011,7.65065013436981,8.27212637385202,6.15504075163727
"O00400",13.3046814751953,11.3377685736455,13.9679856749519,12.6250384026487,12.3796211583619,12.8253101180484,13.7802321675189,10.6542736039476,13.8439954011025,13.1252494761929,12.0199731442651,15.548739949572,14.4808073756989,13.7229422032086,10.8464358596667,12.1874258186515,10.3527688198224,12.1230666372292,13.1366218717604,13.4555356740151,14.1339424851214,10.3022429455912,14.8196627286141,13.9928217038055,10.8741492484772,10.3108095204169,9.86295328740638,11.9437343662048,13.2747241556236,11.7555131503302,10.3943634819469,12.1558590926793,12.2459635566508,13.8548209367859,10.1366766669958,14.5667987655172,10.7894458143089,8.99690047864641,10.6070009276862,10.8065140179911,12.7617618648371,14.6926488713092,13.9747438902721,12.7243911711729,10.8118543887204,15.2898559453454,10.3894940896762,14.527366816859,14.2601738260008,14.1631218697385,13.7376539032436,10.9423549856644,14.3366453429559,11.240078574121,14.3996664515576,11.0534986424487,11.7931686696084,12.8999201913815,10.3495455974126,11.6663678545012,9.21982507341878,13.6850120522933,13.1658183020474,10.866260521692,9.62708768866532,10.8817240245597,12.9953253937229,10.5834125376748,9.00018345211993,10.9378990733969,12.0465662041659,14.2012776190471,10.0509673552296,10.7911598118883,10.274165754271,13.0079448755694,14.0099942093435,13.2617441393413,14.1713847020851,13.8544080008143,11.1264923352124,13.9616822863501,12.9520174877097,9.90381204696129,13.7336570671278,10.343139603274,10.1952196710822,10.9894919655456,15.6807335277184,10.0917733166992,14.2659032413391,9.90567965841535,10.5785335470694,14.9660246941052,11.3037834149747,13.1374352197068,14.5019256572096,11.3677190735606,13.5711949349588,13.9607626025114,14.7005452314647,14.3097473828622,14.9281019396044,15.5047451890625,10.7640216209605,14.6916149815675,13.0437281737644,12.9254144008112,12.2542296773879,14.6774966627741,14.3869069214933,13.9300874529092,13.5534660529272,15.3068185630342,16.1485187458439,10.1685544463471,13.1657827460359,10.931697918483,15.0894152086791,14.4186432493759,11.4743548087785,10.4602421376124,13.5940176278066,14.2520826070197,14.5122998486694,15.0913474685448,13.4847998658056,12.1028010363889,12.2295869608802,10.6662011142693,9.41709959411515,11.3912546300971
"Q5JWR5",8.46160825789184,6.3483813410874,12.5323775925305,9.79890980104596,7.04965800638299,11.2923236297655,12.5490980662643,9.81192960147739,12.6539380721655,7.24751924322439,6.97932985514191,10.7857543878191,8.97584030394686,9.74751545483164,7.36210781236797,7.63723249589043,7.31897955244435,7.57075483092668,6.21650596783218,9.09973900911178,13.0241289665388,7.84358353226197,7.40662345632829,9.34665515383468,7.48401178161974,7.18130293803655,8.76133530285702,8.26404662701378,7.49470930014034,8.67257080805759,7.72443991829575,9.45969137563025,7.95355084193113,7.14151088496016,12.2161559494501,13.7958591145144,12.5417487197258,7.92247477935452,12.9144655039399,7.5407453481431,12.7190286938066,13.3049224627001,8.13916173348586,8.15989883692787,12.0980061102446,13.3073193068435,11.6990327912519,13.1843162997342,14.5057182717957,12.0611900013743,9.62638886334814,9.41217606010578,13.0220049074848,13.7616218229457,12.9425149247838,7.88840449869026,11.4468935517963,8.3068511261544,7.81524102196477,11.5003037072984,9.54657639691864,13.4771435792148,7.73545343136343,14.0580746113781,12.1786172515299,13.7703463570249,9.04090488973007,13.7777266908444,8.35384478557204,14.387569786488,12.7231770009137,13.1307225828924,8.39401649788942,13.1795440095371,7.05557285836469,9.72041065722561,13.6660174144024,13.1221310785778,13.010070371254,14.3237220164887,11.7698272499639,8.7745854174137,13.5164754945452,13.1701899932484,14.1764892003866,12.6420645310945,13.9488013824142,12.466713893249,14.3784966638401,8.12367777807616,12.3643958310738,8.44624207824772,8.70398875089371,13.3550929250086,9.01399142458748,8.87026914848372,12.002569985875,13.0610616202571,13.2195195589257,13.3061432389802,8.91584873629874,12.2936690214604,13.8445992140994,13.4689982982867,12.4264421821942,13.0328933535264,9.35791608009275,12.7946720140651,8.32963654550609,14.5895169982663,12.8236067233665,13.2840952680864,11.2769211593075,12.608099814715,12.0616792550857,7.81386474165676,12.945505559108,9.57659643128293,14.1316001090027,12.7229964154022,8.27307096832208,12.550238952828,11.8972122292133,13.2228461193502,9.09895197456407,11.7800879170962,14.4734201511487,12.2888945659452,7.95300338418362,7.55569681940504,7.42679608910186,7.76283644851053
"Q5K4L6",13.3904426920989,11.5242533167754,12.2384486317381,12.9751095918309,12.4238236202406,12.7921411606055,12.0578585681192,14.0225345828007,13.704709139737,12.5515550494839,10.8119117321942,13.9743977613065,11.8397595416064,12.0279333407147,10.5853989366347,10.9914306835128,9.66891315909262,9.23341073475668,11.4531656163789,13.2681059956334,13.335421597905,13.0502052587126,12.8626476571742,12.6294363514915,6.79347193712585,10.1134864546084,6.21426764759469,12.4018747002557,11.4035709549394,12.475860877313,9.61980647141938,9.89818983044967,11.2650140681637,12.3028281876498,11.9377523311676,13.8405370317382,13.426632010033,13.0668435717551,9.83871590368434,8.34617410384258,10.3187757529334,13.877972264657,13.406526566978,12.61505457955,12.4124709226959,12.9624326174171,12.4339491150282,13.0405254424337,13.7268640003297,11.8417744038953,13.6043727515583,12.2255243308594,13.8133926631256,12.2131721870366,13.086951100333,8.62158603754655,10.0752413239666,10.6860927675859,8.95620568807612,10.2059147764425,9.27379040495816,12.4415935821355,12.9989300456013,12.7328533497576,11.8069832842498,13.6025572699289,10.4802335570984,12.2692098927635,10.8171254110373,11.9401054591714,12.938978484095,12.5394483713956,11.6729462666423,14.2403373385836,8.38702606598954,10.9585843138733,13.4484295306822,12.872635061539,12.5364280463997,12.4385535129326,12.4767920463888,13.3929011676514,12.5077817973006,10.3840493723499,13.2581503093077,13.2718339586659,13.4412710970059,12.3409461604588,13.535042907365,10.9164557625328,13.309442127919,11.1848755423848,10.4858978094696,14.1878592836538,13.1114716722696,13.0056518951421,13.0659238512546,13.0973266391378,10.8347702177802,13.3260953402937,13.5002559537342,13.0213461164035,11.8358298158472,13.8277954872006,12.9144778328684,11.6157780326608,13.3597185198504,12.7953945518995,8.58184626443367,13.8460813828001,11.9919340809885,10.3921853524659,10.7465026756285,10.7372833737551,13.5361950496103,8.32056968422116,9.98374699725563,14.0122132425239,13.3025254287689,13.539774222224,9.27178651319552,11.8836686805329,11.1561860060336,11.9557319546229,13.0637623683351,13.2615165708638,12.7374606697403,9.83259511607056,6.18193262096117,9.82702693084936,7.9970724232959,6.42452531677839
"Q5PRF9",13.7689741385879,11.8796695674032,13.5736614241602,12.9641452205552,13.2942939423861,13.154753356042,12.0449334536812,14.6787944183682,14.6722800434295,12.5029159026402,11.3257335605508,14.3317228804993,14.3381824585737,14.5343064423495,11.3646187674953,13.1535547408789,10.5731913094064,12.3801161076454,13.5276250772579,14.0440798328544,13.7085897148592,13.5944994254758,13.7302515906545,13.7752072728037,11.6304098261944,11.1547212329073,12.9118636957471,12.1071807216454,13.3120064417935,12.8238241864109,11.1338769585446,12.7874178015215,12.0199324941152,13.2300197963269,13.2268876907328,14.537215185019,13.9065281679548,13.6230140277933,14.6371623933494,10.2335766536186,12.8741794015991,14.1774531106585,12.9563357451239,13.6618464035036,14.4274322624442,14.0423433797937,13.952631086316,13.91311679914,14.2425197198496,13.3832374604238,12.0786211962733,14.7953979051972,13.5427768507879,13.534575262356,13.2130037254005,12.1287074100232,12.2785779161755,13.2747179957399,10.9580909155591,11.7779772919348,10.4745775324826,12.6205285665887,14.0606397503128,13.4592484015978,12.8932529163718,14.6574965130464,13.1371536456037,13.856727613718,13.469526743205,13.5665919306077,13.711378702842,13.5606427187666,13.5447966662163,14.6258290522328,12.1762193370192,14.5948429670263,14.9372684617238,14.6167240916033,13.4536288600473,13.3223272294282,14.4357885047798,13.4762896887581,13.6725933099803,13.451612573783,14.4091500477006,12.6098185230925,14.1984274889359,13.0544347387608,13.5838171662463,11.6710620880183,13.4551117160116,12.3975063381829,13.4010146953228,12.9950440570063,13.5124004007317,13.8977571376368,13.4981873365566,13.8278234951361,13.1955410587737,15.0264671636186,14.2247777239362,13.3536402554805,14.6825839657706,14.4332594157393,13.4349191709777,14.5257225757774,13.1740418649774,14.7300329118797,11.6036491089153,14.8892716865104,14.6452494056755,13.1868422168297,13.4171540957283,13.8370182808103,13.7028903364477,7.44569774006312,13.2535114270455,13.7027388652795,14.4963134001441,14.1272073745951,11.4821502463568,13.4158642475951,13.3469154535827,13.647516623619,13.7926982427434,14.6502778074466,13.4533200600501,9.57340080892995,10.7212110688468,12.444405691774,10.2102845644061,7.71769093895815
"Q5T4D3",12.7022069362236,11.846110471818,12.2636993119313,13.5420835380695,9.4868667757342,9.97104097874309,13.0264389611019,13.5141231198432,8.63955503053406,13.4063078964842,11.1913039485751,9.96279683333694,13.9073884760266,12.4828027604499,10.5781944142598,11.4554200995534,10.7714983052183,12.6272613828957,12.1710043702504,13.9762241382955,10.5433587718765,13.0030398840986,11.3501375036574,10.4805364038394,11.478336208768,10.6523843368071,12.1463544492168,10.7366195161449,12.1666235704341,12.2877882210164,10.1167244124082,11.1378574363044,11.1135261472563,13.0036903800907,13.4064825914831,9.80215153555572,12.3562002137356,11.6212519594174,9.30336610349217,10.0729588205398,9.52875853170377,12.4699525573488,11.5068812207899,9.504499089694,9.35980560509967,9.36319286854348,12.6814280741456,13.393108371901,13.3710567212278,11.905346349713,12.8922219345942,13.5660774070667,13.6226018496126,10.2788764072296,13.8476543163485,9.79716105807994,10.2416918064269,9.42227063235459,11.6914322628225,12.0843315460467,11.9632303813113,11.8562128420371,14.0969728196273,14.0600019724534,8.49074485499624,10.7605620766148,11.1180979950125,9.44501073197699,10.7891854239259,9.42522565345058,13.1665940923513,9.83663029953725,9.97655071789481,10.8440400321601,7.75252195972588,13.4587732351616,10.2380998383143,10.2152736645981,9.33326183315433,9.86645843669916,14.3960220603103,12.2884002842331,9.4278913575457,9.57373405854043,13.3808202919115,9.67186157846031,9.72306299187172,9.30438239123537,13.616199137054,11.1267481403604,9.73464924863906,12.4627818997078,12.2245758714386,14.2733844661999,13.1255749089707,12.8480749995768,13.0814480131423,8.38985233092315,8.69695361535679,13.4167975276061,13.4503876174662,13.3570691530034,9.88934370599379,13.9362537443628,9.48021903639963,10.4384978256582,11.8612746381923,9.88850203100395,9.28540840431256,13.4341430322097,8.78320990975501,13.285336118337,8.68186753705663,11.1604808525412,9.88258802898805,10.8868530098068,8.93847045211279,10.2420442927606,13.020908545361,9.70351848786012,10.6798079784774,8.96754111349319,13.7287337889239,12.8815827897757,10.8854869673896,9.95552036403513,10.305772237818,9.29851475893524,10.6305677040954,12.2480650830597,9.24175107871245,10.3507853065391
"Q5TBA9",9.49601884571798,7.0943497113173,12.7051874805075,10.6629287667997,12.192366445985,10.0504848943805,12.324137589942,12.3459082071939,14.0212225342113,7.65704153569767,6.14813524560345,8.55994302766594,11.9920994319491,5.9641305379088,3.66391795949867,8.21571287075347,4.70619072137684,7.71346307682343,8.82876764382818,10.2673065543962,13.8569728827636,14.0729946361361,12.6635298458344,11.4784848244625,5.19987554412664,5.99290538242424,11.42716646426,7.48281089455269,7.87633237080196,11.477289897466,8.14535742788711,11.7562924983681,8.51345376897632,12.3321712821534,14.2457471207047,14.6777272618521,13.878247872701,11.4968743830271,13.2495886056121,4.98547494232296,13.9048196496746,13.3106912196143,11.8252789733464,13.1906572287679,13.840916138103,13.9448157335107,13.2872261526619,13.8566183665449,13.6928684808174,13.7920656785562,11.9014061095341,13.3069201008376,14.4500222136011,14.260347173655,12.4499701935506,9.68151639893078,7.66592089729234,12.3533832226343,5.29623442748187,7.39967941188045,12.823199275107,11.7194196948256,13.1229066341166,14.5860774715094,12.6630220060599,13.5140977333034,10.342552136198,13.6381916546194,12.1684907606506,13.479105012383,13.2305659034831,12.6612164289528,12.8373891344631,13.4815076282181,7.54040180228383,13.4706531309847,13.8581699745303,13.6633226330207,14.435844435562,13.4555029344448,13.2850051506474,13.3717374147604,13.8416066993571,14.200759968541,13.0817045878386,11.0691092424913,14.275982092101,13.9237771138856,12.8910426250465,9.69132241440315,13.1784371365782,11.7988355120556,12.5585173298253,14.9335284358252,12.1723506655174,11.6273500127354,12.6542208325035,12.2151727342014,12.9715868741409,14.6400916965262,14.5521934493761,14.4205829929702,15.1454088679183,13.856637541704,13.3489094532301,14.2126187316827,14.7149321195917,10.296081210726,11.169519735928,14.5389894434792,14.7093264405962,13.1769889362636,12.9951191363384,12.6890916988444,13.2260509708211,11.4822354318059,12.9248489546218,12.7573967273335,11.4729520247864,13.4412438390362,10.6372907932047,13.7966114145242,13.7418858213128,12.5349722937964,12.7610607909235,13.4024479954831,14.6335908069297,12.3279037591314,5.39182562276699,6.68029125924275,5.95985853895066,5.64792227959687
"Q5VUA4",12.4434641558226,12.8805558712777,13.9078060892969,15.8742074690872,12.004245677509,15.0652964855785,13.7103713265927,16.5137153219182,15.0958731702259,14.3708218623173,10.8133042861173,11.8606539597546,12.9186302648895,11.9279356055788,10.9209061213052,12.5482685900814,11.0865311514624,11.2407941129478,12.5710443474785,12.6936331970066,13.95293936319,14.540613773444,10.8412093600327,14.0916795864307,11.4460885377568,10.8122592280128,13.2294813512402,12.9578176488657,13.5698296547415,14.2625762792657,8.73112050650404,13.0705418006177,11.9043549764916,14.0296809159847,14.6730335143962,13.0489195672545,11.7344317516042,12.0167527493055,12.6752853194595,10.1352622442992,13.875842820031,15.1797709716038,15.0265106939434,14.4086034922476,11.6216460727365,15.3125608533199,14.0324596096138,10.9423817546548,14.3849735474545,13.6401023807678,13.4228751644421,13.3703765258319,15.2290076886404,11.8108018773135,14.9858563838716,13.1003471528863,12.8870685694,13.2944407222241,10.3618635911749,10.5265957707076,10.5144304379347,14.3251094024658,13.5262083785909,13.6114338191027,11.8298872989739,15.5737267704004,13.1150541693002,15.149652630546,13.5847425111161,14.3926225573324,13.7541803016268,13.4300150068467,12.6396754969978,14.0552922376489,10.5469737525762,14.8398583109564,14.3796024986825,12.2300653678131,11.9116971852132,12.0331979248793,13.0768092904959,13.6989373005567,13.2523769496849,13.1535327979401,13.6907475808251,12.9199190942141,14.4245002998899,10.8993703436945,14.1176739724225,11.9599844864335,11.5947766635088,11.0951111517685,12.1736081724808,13.6531848303211,13.4193611308422,11.2781980466663,13.3472503716616,12.9597297575634,10.6570746155201,15.3855817822654,14.0355527173326,14.9936681617597,15.2105214857228,13.6092257104282,14.3718690195532,15.5443056164916,15.3642584844732,15.352410594198,11.939290360655,13.6875010703993,15.4923582984748,12.193856596594,13.0645928442008,14.5242307581352,12.8795322184015,11.1896370982285,10.8590696264564,15.7160504149681,15.1387382748524,12.2968191433251,9.64096732337386,14.9112483302428,12.7683908800797,14.7522790658926,14.3069129772313,11.8543449380369,11.2109688254868,12.7472355221026,12.5865258714975,11.8760740683038,10.1269161325709,11.3037978819697
