"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"Q7Z2K8",11.3381062622841,8.70806561290245,11.8625168109296,11.7926977779938,9.79699982884376,11.5500656350913,10.0305963591524,13.633861970625,13.9867292988422,11.5041065125935,7.30194565313123,13.5418644069576,12.9089512758173,9.06482815238848,4.36210716114306,9.67984356785723,5.33575398280903,8.62401476658357,7.50259940512505,9.13564258496394,12.9010913546376,12.4038680396129,12.846324777427,12.686033687441,6.31230349044099,5.14651666690416,8.72886671766402,9.20643898922982,8.10208290798214,10.5815299319203,8.58549487820072,11.4625888591968,8.72139460085534,11.2480917235571,13.0848067784021,13.3387523593653,12.2725055915617,11.140772070831,11.5640777704792,5.29247066709936,11.9419277902566,13.6685734478596,10.597424271451,12.7775800147191,13.7691090841885,14.2622946165198,12.2775780024157,13.128651754993,14.52052852823,12.1287604052019,12.2564733260054,13.6397686399181,13.5918765162596,14.3826599547802,13.0119736205348,8.62557093884435,11.6817961216038,13.5620150672225,8.16191441323027,10.5560480922297,9.89162842477419,11.8213700138155,12.7256282854938,13.5481552755104,10.8485378653749,13.907070811741,8.87266715638393,14.2466608380476,11.8744285508372,14.177497401553,13.2455651116313,12.6600493242147,12.6385797062042,13.5271896439312,10.6678114592276,13.2292694622667,13.694321683982,12.6999958484716,12.0780402467707,12.2739017948231,14.1790317217276,11.7668033502966,13.3477341703493,12.3827650830496,15.0543073972975,12.4634591205272,13.6701913686848,13.7617633869385,13.8772431395676,11.6907060726652,12.9569894239925,10.0656136025037,11.95072312048,13.545045317492,12.8053786906021,10.562424158474,12.6346016791013,12.1170522528104,12.258298091193,14.0941493080419,13.3499722740196,13.3025056947737,14.8622051111649,13.524370841873,13.3015450277595,12.6121832684146,13.3932004044089,13.371283010257,10.5700763814342,15.0350157560357,14.3714690901178,13.3022550791115,12.1754783445234,12.8674949553302,13.4859661157195,11.229263537465,12.7058483435089,13.9293837249171,13.8727242747209,13.8648190491463,8.13575658142657,13.0064309940539,13.7464785858176,13.0963489729047,13.4611270295261,14.28107869919,13.4130333101362,8.66231288587254,10.4393193666257,8.53878874746647,4.66872235221013,9.05922054985314
"Q8NAC3",11.1046166411443,9.6389428259538,13.4736273379264,13.1560773292063,11.5450816995323,10.5131121302507,12.7970770018283,14.601197822874,13.3082038865408,10.7737466966065,9.83383596612997,13.99631800512,12.4972454086812,11.7552727157709,10.0768396748652,9.9582575149193,11.3509947985285,11.3330777013992,11.6071832136322,9.21682615841864,12.8370916707325,13.374420053331,13.4633891250124,12.8674768314413,9.185997392801,9.73511906107072,12.5976489882203,11.8851246188473,11.9913918985068,11.6091288203589,8.80463117055375,12.4975722760191,10.6813800432113,12.3567640609575,12.9830345452789,13.6042008841829,12.6679704369352,12.8327818597657,11.3231764743244,9.9981955697337,14.204404423314,14.6878822131501,12.3941288679689,10.0800544119265,13.0153236157335,12.997976597172,11.4613590101918,13.8047952141421,12.3620452601857,11.9193338194908,12.5216226350055,14.1063412563424,9.18764529732996,12.4021595638683,13.4559426049889,7.7100288326786,8.38513182690999,9.60818989995771,9.71535745612931,9.65185901040468,9.7468882423942,12.8033362696586,12.1207898357283,13.5845841660496,11.9997975416012,11.5221758541044,8.78952827821371,7.68477349662162,7.56343883719098,12.6873150407906,12.0591032068727,12.4006116154091,9.4202380694583,14.1983725664569,7.00422117488218,11.4576966097443,13.4561795176354,11.9597819169021,12.4028523181622,13.6726422329611,14.3242328817311,7.59205769101978,13.4544478525362,8.18135715785271,13.5707615393741,8.07463509177397,13.6037405631402,12.837022321202,11.5557423320973,9.82912156001582,8.21274321561854,7.6290647614678,9.74671182011563,12.155953601786,10.0897852588462,11.2573512258753,13.7116757802312,14.3155546852584,12.7650023107329,14.0142450789138,13.366459763001,14.2603743789322,14.4935026851377,14.6944654187135,13.3801251146493,13.747103433602,9.49256765868758,14.2606588200929,12.0467298613963,12.1589797081145,14.6052306922295,14.0965682819398,12.1535956786291,12.3833346072277,14.2488179581468,8.35215382982648,12.2147032308631,10.2625146530309,14.1441447612302,14.8763180359025,9.21098166766968,13.4813099828859,11.7419612528029,12.4991147267584,13.0077393176995,8.46543350543181,13.3908408820481,10.3588197097868,9.55243335396954,9.06576406030569,9.60521321112419,9.49304426834101
"Q96T17",12.8159905563051,9.26039902614934,13.4229053230134,13.2221252318596,12.3774415624952,12.2002015965801,13.1460361574325,13.5084906601397,13.200328177479,12.9521122373572,9.3681767108855,14.4456840466071,12.2341392432469,13.4580947432689,9.77782645477471,10.2186388333893,10.3724708852193,12.1820411093675,11.8321384272917,9.64587746818086,14.1615419969134,13.8866151242199,13.1519120143158,13.2138059909966,10.8346575900588,10.9910611643527,11.8182466851795,12.2419688543625,12.0628374170657,9.39888393209221,8.61168224369703,13.5444148831077,12.0565779168227,11.9785117500795,14.1385705456731,13.6253923361947,13.1085823244926,12.6187793514422,13.461529227561,9.31556459227152,12.4637932388725,14.841055089349,12.5454251486547,12.7062481009098,14.0519585201076,13.9332010443034,12.9610002810603,12.3866337898905,13.1912350371463,12.4061820356524,13.8705670391828,14.46875951775,13.988246186609,13.4408162459452,13.5830235677414,12.110467109797,10.0380338386123,13.4604491763472,10.0445579916823,9.42996852023785,9.64623617263371,13.0879897320449,13.598664495102,14.588794816956,12.1504688394792,14.3038921957609,10.6445496135383,14.7119710120179,12.5727971371045,11.1668628049543,14.7533989170527,13.4766659857237,13.3517586108307,13.5038864056627,10.2652575275499,15.4581928500906,14.2727256631553,14.2409846357768,14.2338746981938,14.2208770481,11.8468560147435,13.1755121413782,11.7009233049791,13.428053750797,12.7763805554619,12.0695475724701,13.5790842888434,9.81738829378975,13.7319455106221,9.09965611878196,12.908622947251,9.7816876350145,10.4201775231918,14.7958020166247,12.607431923183,9.4873816344746,14.2339780711056,11.7580466106857,12.887308743475,13.9793794775819,12.6902741672043,13.221454432571,14.113440827253,11.9818335119176,12.2561134897941,13.1716813901778,12.4414861890727,14.4543086993143,8.90244429669691,13.7143245397375,11.813509540454,14.4775370656634,11.3744897836745,14.1468071222095,12.9450819607719,9.88203662358634,9.58841321575644,14.645097825274,13.8300724285605,14.5989347614872,10.6672133780157,12.6809929079147,13.8664736299342,12.2140555128882,10.354643744845,12.7437238576138,13.9002882005318,12.8609068670316,9.75335449714918,9.56948231967381,8.26064249662232,9.56977036055008
"Q96TA1",11.7551554712107,9.71338564263357,13.6176789375672,11.8603107382486,11.7232161313999,11.0814058910392,13.1057841514304,13.6483839340421,13.7309390386753,10.017037587818,7.9730307195008,14.4382519831555,8.48167183074398,9.88184073568329,9.42163529103222,7.92080489311806,9.51914655338917,10.1869186367089,9.57482246407189,10.5940676899405,14.1270470467038,13.8289347581371,13.9530280476862,11.8873909063394,10.3308391786611,7.65220640539595,11.9348350165251,11.9351650496037,12.2681424480644,13.1411444828004,10.4983794042944,12.4052199039216,10.4676908763056,12.1767964781476,13.9804407987475,14.4852831317138,13.9123213506569,11.1203411123311,13.040932395841,9.05706763116681,13.4265441635613,14.0230636957048,12.8938028285108,13.8320561405816,11.9490606275739,14.5552914043457,13.7982115923717,13.6730176067137,14.7056210752242,13.3041295106797,13.2517069586202,13.8743473388947,13.9248646135887,14.4050892736977,12.7948078517594,7.87523639890354,11.0898538406388,13.2002483101767,8.88503600298808,8.0694195063148,5.08420846575267,12.6267075268174,13.0215472529475,13.5964231435931,12.24544291215,14.4134136194493,7.41602654436637,14.9768847845732,12.9840647857723,13.3458537079331,11.580185883413,13.3425692058432,11.3520230464567,13.2695596039285,5.67899884320561,14.7386095174692,9.05985939594192,12.7666816277489,12.6846135738547,13.6147274562394,14.2602065912747,13.2680909141289,11.2138799778714,12.5975431195521,13.9131388268698,8.12017745458482,14.2462888526877,13.271988191225,13.0596788330203,9.21822109496713,12.8299583096744,8.9144504162053,10.1309526492194,14.6236259907297,13.0980591199299,10.99075683101,13.661834489363,13.8561709944015,11.5188373208442,14.7722555922043,13.7913484148311,12.8221386994511,14.4555069123999,9.25822021294371,12.0473447094947,13.1338413870232,14.7945312419313,13.5370497735736,11.6254331524987,14.6093505291284,14.3248239268019,13.8236646806369,10.5041224932408,10.3225831548074,14.6737732989627,8.36582928809366,9.73267145985715,14.5101135098634,14.3490178704998,13.2516785475414,10.3443844550458,13.3507520056066,11.6515394909886,13.8639792279967,9.49535648114516,13.7379253248298,14.0537568927553,10.0582593656107,5.55716690015224,6.38861845851699,5.37085722421943,7.26296155054979
"Q9BPX6",10.3526795844886,5.11111527228948,10.0231596660838,11.7882341725286,4.90441103347175,8.35251707440699,11.1871349886146,11.8989366592268,12.4873067556749,8.80810086848701,5.80914459304983,9.73452911286009,8.40642968785742,11.2217825626221,5.91894153184402,7.29970223359898,6.28309711952479,7.87886264738816,6.37133731887895,9.26003775036359,10.8405168521774,10.9072662339953,10.3005788720992,10.3086997218908,5.39921546369795,5.40925676194382,8.31603588331045,8.43555944574906,5.92026263484978,7.7550420045236,6.41209726282669,11.3704436789738,8.34900852703849,7.84343164319473,12.0432260407354,12.0619237587266,9.06316926473607,4.8077617933353,9.96177707440058,5.14102494537666,10.6724870734893,12.4788098967438,12.0044612210593,12.6571256165302,13.3225673063269,11.9654431732464,10.3216023696978,13.1760585958371,12.6348923328473,11.0458639078305,12.2678581313591,6.19818944143138,13.2626251543618,12.6830045321325,13.2443995569411,9.92879078865397,7.66989712291498,12.9134411462698,5.69213933924426,8.53788292659326,9.57409548545825,11.2206506730704,12.8055397633369,14.1456718221305,11.7883480385553,13.4310139467082,9.81256811871015,13.4464270524247,10.0748016875105,12.1115628074724,12.0712288961649,11.5321668367803,13.0247218910306,12.5691702165498,8.22579862538059,12.4628460411274,11.2600299630952,10.7250057371825,9.0339984272883,9.15609318212536,11.085596936405,8.28860680693501,12.6099713319229,12.7663142318895,13.7417693598012,12.3420883852886,12.4893184772219,12.3559847945502,13.534176154863,7.21550530113139,13.0530970733654,8.36827677235705,10.0989818871043,12.6772267680018,12.4609014071094,10.5293422834342,9.10322252302532,8.66245106816775,10.3669327634577,10.0290182363926,11.2984369374177,11.2665535606443,13.1504457869717,12.9065969030507,11.9466356833633,10.2156413034631,12.5505383798646,10.5048793065526,7.83561811621842,13.0766450332099,13.3580586138869,11.9765940898734,13.0240332995485,10.5096578688748,10.9570546408727,8.67999608412665,10.9305426977599,12.6780645964632,13.5045707393244,11.5263665820322,8.3771049018679,11.9667544074077,10.1114494492548,12.0653788209837,11.7322444262126,12.4881216628961,12.6950240611092,6.39936101971847,6.23829901017116,5.76061026868773,4.97634857001333,5.7638115156615
"Q9H2M9",10.0742860600807,10.0162997841998,12.0301320297177,11.2160998315128,8.54223036766722,11.30301740219,10.6226650927748,12.7362889160691,13.0174139309341,10.7723987534313,9.03003536834578,11.5957062906514,11.0423811954042,10.0731075834081,7.4032132409881,7.56274767084308,7.90006771040759,7.70380633394071,9.41650440110415,11.15775813034,12.2413665000319,12.3591931220561,11.3400689154477,10.6608204090097,6.73480066179451,6.87457239142568,10.0347995772081,10.0901311842685,9.12285497164988,10.2089578052227,8.6782451277567,11.5071794897925,8.62634944398739,11.481975798927,13.0219978216792,12.8268761389134,12.175035231878,11.4309281516802,11.9078598679503,6.10782977552749,12.3486332332912,12.3596281016075,11.1818364570495,12.027156336434,12.4240320698606,13.3042945184421,12.1455405434993,12.6926232316654,12.8240019665946,13.0881089342796,12.9499052704762,13.4505276955372,13.0878348481096,13.205466705847,12.9559694610417,9.91894908537932,10.8471034800188,11.9378227588251,9.64694520099984,8.68126294240822,11.644196463916,10.8961681784943,12.0720555739297,13.9159413592906,11.5204946968311,13.5355162220534,11.1367057647352,13.5199412190673,11.553575810933,12.4849695841838,13.2943206706823,13.4544016725379,12.7279440359973,13.5151296739837,9.250194322589,13.5226744867517,12.9871371005233,12.2968850835114,12.1604259779108,12.5223948562253,14.123093055915,12.301349149801,12.436702068531,13.1506715780763,13.870179150219,12.2365945800158,13.3001715463645,12.4596085323416,13.6848177530652,10.3272184208616,12.7950500912789,9.93784725518894,12.0035448782881,13.4500143210823,12.6645001727111,11.7989848849944,12.7841243922317,12.5523430938279,11.9805929597531,13.2748452413852,12.2031209452337,12.8437450991591,13.5290413875022,13.0451994925364,12.951738376788,13.4432044362549,13.4338733651775,13.5469171083842,10.074216714838,14.2847203748245,13.6694509186913,12.5278769642921,11.6691542058198,12.5654643596091,13.3625358848254,9.27436407693207,10.8745226627712,13.392230465261,13.332852722484,12.8141214653584,10.495243268883,13.0993521894439,12.8247410038499,13.0186571781573,13.4351970151424,13.090813454019,12.7671679151036,10.1252637455245,8.62448428143805,8.10794735088369,7.06817796245026,4.05297096385893
"Q9H875",5.08947927397543,8.96248811755558,11.3302723959614,10.3973657039235,10.8203944547859,11.6026238715197,6.43619748992114,10.1427572814943,12.7115659193842,11.5056944313766,5.50523938471554,13.1497239005722,8.79865873890623,5.2657221533729,6.88968912750376,5.71538585776828,6.13089314779384,8.54493818181279,8.28480648519713,9.40691339327645,12.2856970128705,11.4943097294791,6.79595668391383,6.30212650086889,5.58402276338652,8.44171940229382,8.90275006575074,5.28614739632313,11.5207876025919,8.13554549825438,5.64454784872992,8.967312645129,6.04363241026567,7.99497973069472,11.3731366020615,12.6466980112227,11.978321195305,11.4188182582326,12.8792257991729,7.00594923658848,5.55988656791302,14.4292660991155,10.9975060410137,11.5532583088465,13.9859958798741,13.4257404243162,13.5824538923548,13.8585116462352,13.7132596235824,12.5658161071009,12.8754630836887,14.0738488859161,13.8711630592512,13.958256630854,12.9132812510344,11.601555999494,10.8268695444244,12.9906605668629,5.96718456166141,8.05393874342659,6.70291906462596,4.34498734361763,12.6879089593467,13.8325951588245,12.5406758254316,12.7552653791241,7.96948041279555,12.3110722008221,12.8697325796715,12.8403648719361,11.802994975623,13.4353469235966,10.9483672315847,14.2598927835747,11.7679926651983,13.2239865840584,12.1015219764891,8.89896397422978,11.4236676526479,11.406878944343,9.65765706817012,12.1559384797829,13.0930005113256,13.8673507478106,14.031184649017,12.550704164375,13.8333489903871,14.5716206229943,13.4015482715732,10.2219138506891,13.094171809187,11.4868612763188,12.4321353665941,14.4547939282658,13.8050235741945,12.8416097602531,11.4848228942621,14.3556725754669,11.85573065916,13.5651055265168,12.294495527787,12.139150358078,12.9954157865989,13.8111630716577,11.9530697544783,13.2899641291306,12.7630269479577,12.8871084713435,10.3663102154579,13.7216686163329,14.1838388757878,12.5220861561177,11.8987935388176,12.5675582923165,13.6545864683726,6.66156020958011,11.9770205468523,14.3791094688464,14.2536164870196,12.6818977341916,8.85088473728664,13.6742370956707,13.4699595724758,13.5145148485723,12.5316278167451,13.8593540382168,13.8903068541412,5.46946676267426,8.04214466623218,5.93293335915024,7.10824588604098,7.35806863867086
"O14933",13.8474100922661,13.0113060764885,15.1762677367047,11.0121487986272,14.1916761463524,14.8326735568078,15.3354950356175,17.7420089144079,16.9508838241094,14.3976652490566,11.2064928755082,15.8919758788438,14.2728920600799,14.2619602765781,10.1517002431149,10.8870632138442,10.2347659477832,12.8307145634372,12.5397613931208,11.2235048691829,16.4389217724343,16.4904260300479,15.1435468824267,14.9955148986582,12.870577666366,10.3403621435252,13.6756873849261,14.1248482934726,14.6958807502576,14.8779196417072,13.6692142611518,14.5696858923209,14.1378726165278,14.2502251504837,11.2570333055668,15.7555706267146,15.4326462556917,13.4904464558272,15.7233893306322,12.7380967367364,15.7005480895996,16.8353672474421,14.8194805864611,11.6738883427523,15.7866059763451,16.3083749465976,15.8417854523018,16.9434830788025,12.1982169022609,10.4217102305575,15.8178330757241,16.9977711459651,16.3276895283075,10.6757792611262,15.7770921569325,10.9164796285958,11.3107163044823,15.0783798819114,11.1042661721582,10.399840471945,11.2523361252757,15.8197225698833,13.7648416886731,16.4431433592286,15.4124756964091,11.8489797937911,14.5109932645603,16.3348027195485,14.469435578501,16.2154327314455,11.6310735290812,16.0271683802639,9.9317828321686,10.7036107817133,14.1426455976839,16.2347987238508,14.1344583112548,16.0859291394942,14.650900833816,15.4838434549328,17.2310961933432,15.6891249129244,15.735481430775,14.3664385789336,11.3555274881874,10.7886122319509,16.0477711931527,11.740228828403,11.9853078079545,9.94025385704756,14.9993244686781,12.4797215573376,12.4464246163456,11.5887799528069,15.5935078409699,9.87731746080667,16.0294631188333,13.5131772913803,14.1949976672228,16.0380678487135,16.7870183315308,15.8943463604962,11.1967795138938,11.7026104210201,16.0641789953226,17.5281969868878,16.2054763983273,16.6085718316809,14.2574936560035,11.3001166351998,17.3548645364501,16.2145844705626,14.0969681474231,16.0660676979981,15.8981135257682,9.8214595957817,11.3531332289666,16.1272971304203,11.0843513375939,16.1695923104202,12.8712689482579,16.6508067429635,13.617042870061,16.0898433003309,11.2590279059902,16.4724022798278,16.3614971642014,10.0032563364102,9.92613999717828,10.9717010951071,8.31588462568018,12.6183855022586
"O94956",12.8425993713012,11.1309063345067,14.0744597389936,14.7895483486832,12.6956479966669,9.26675207045378,12.1309063345067,14.2270329387881,13.9512021354065,11.5874467857632,8.28099459598814,13.9339749205443,13.6392708386735,13.6373132964137,12.0955738082686,8.26511631683428,10.9365012296361,11.7254421619346,12.444756089695,13.5799092255006,12.0566800469684,14.0331295135868,14.2264874566353,13.7964452590618,10.2666076607135,9.6958017478013,12.7657557739174,12.7123399706381,12.9244287232427,13.6644834977831,12.1331380949909,9.23050360538252,11.3644911331469,13.5611109858272,14.245467192283,14.5640826334449,12.7790816276979,12.5543490220634,14.0793608266849,11.2483640647006,13.5916536316868,13.1449117992379,13.2630038130798,12.4364452574752,12.4730172863152,14.1772344180348,11.9483828805414,9.26712806920719,12.9538197494829,13.893829585485,12.6286309702973,13.9545599490287,14.7683152258069,14.0978861906211,12.3679228234491,11.2435731541776,12.13201298437,13.8802837443793,11.5566708052781,10.1320304278879,11.6882503091332,13.6003224978582,13.8998723916106,13.6780656757568,11.5295259999468,12.3835340011762,11.6860516520826,9.48122043502703,12.8767253067824,12.4564848021051,13.5286359718515,9.36075752200735,8.18032676267395,12.6572991566131,10.9836405661336,12.7091731325566,13.9194220243351,14.9129828689241,13.4669804858907,9.2058655219625,13.5094651103513,13.6745617917693,11.843367750189,13.616551035029,13.627532752758,11.590895534046,13.2337694504469,12.839175725846,9.55902618312155,10.8062337809582,13.5756826713133,11.5592096445447,8.60632402996309,9.0023065775716,14.0493097862073,13.2214401894653,13.7698378436294,12.189628225093,13.4341351722797,14.7759037818649,15.0914227959038,14.1255761674319,13.0062653152167,13.9990208817138,9.12873164297294,14.2437328824327,15.0044165039711,13.2269727545528,11.2610660088383,14.2322018802414,16.0040551537362,11.6728181903214,13.7624069319293,14.9750249166267,14.7009039428852,7.81167347065356,11.4889710381199,13.64706210427,15.0523982320716,13.4307366857583,12.2809100625424,13.9224914904585,13.6982641752032,14.220756404262,9.75234748840213,14.1380947524754,14.1996844086676,8.5134245305805,12.5382391690605,9.02543836885416,6.58245077943452,9.3549751903558
"P25713",13.5468273941767,11.0942712298712,13.6466556350688,9.59414973486451,12.4002683834348,9.65547639242393,9.39191561684382,15.1884314970566,14.9677666277945,12.6974899657577,9.4223910324296,13.2365400211856,10.166736231078,11.9865036878622,10.2011283632943,12.1838858061086,10.9464546794017,9.77050595822364,9.81057705006616,10.4469147782548,14.2255398352247,14.047809403988,12.9893508082199,12.9041151914337,11.4072760417779,11.8469414530955,11.7396294056711,8.98758719252067,12.3936860714315,12.8075494390792,11.605429412769,13.4302781246104,10.926409409284,13.4099056606938,9.55264278131386,13.775352048069,14.3952343595038,11.3500243358387,13.2884011027206,9.13425099240448,13.1981972507027,14.4396802337905,14.5966386012403,12.3882364649244,14.0931358929238,9.22658736806459,13.453973987815,9.7178133650042,9.9884951431649,13.38865058269,12.8769146864676,14.7755588431968,14.2863635566594,13.6661762007579,14.1689984304944,10.7045241504373,12.239681288334,13.3669851305492,9.35879066271577,12.0745914210704,10.7181487128206,13.484620209194,12.8384160757973,14.4889810182958,13.4550315649381,13.8448185976968,9.26053776409556,13.1518093591798,9.80887996008333,13.5373069673786,13.0965736312011,12.9718465157456,11.4713922913961,13.1228601752359,10.7438878765739,13.7370526720606,13.8583196961196,11.7919776130413,13.4753942548317,13.1307651506965,14.5246942874323,14.5200047416386,9.71570617789421,9.85019515149327,13.3650309002721,12.5337813716604,13.8542578533447,9.60907526291571,13.3542853805028,10.6248356148591,12.7737027277256,10.7084934056068,11.3648427695604,13.8034118039031,8.60093759289128,11.7106818772453,13.383083589357,13.5354805240507,9.87915778788224,14.9880189196938,13.6074498283661,14.2042648850023,11.8860635269309,14.1361901043194,12.8321810663693,15.3053668897896,15.2544676083611,15.2279173468176,11.9143257553863,14.4909265253818,13.4441290217008,14.2987503528269,12.4121465818282,9.82678055690622,9.77827325901736,8.93379815556958,11.6670179131744,13.0321622456802,14.1956028971201,9.58832931715415,11.1919004029329,13.5717446983763,12.2005960803606,9.14183369342422,13.5744330556725,12.1557699659272,9.41663862825452,12.6889059306127,8.85066639638862,12.0939105383654,10.0963586189519,10.3165521386007
