"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"A4D1P6",12.4154658570883,7.97530023241036,13.5418764764951,11.4303384499877,10.1265189646148,11.7689103099989,13.2783852409699,13.4049507841609,14.2760987748393,11.6051265385568,9.86702677522453,13.7322674190868,7.85888066307811,10.6797695186223,8.82158415251684,10.6581338272207,10.1679672671778,8.95465271684828,10.86489117679,9.16200401137753,13.6306917009804,13.7868776427005,13.4803203668846,12.4499750022079,7.97064382045367,8.76414673309646,9.55461378056903,10.5932933344905,10.7547921263648,10.9730741134471,9.76748175248211,12.0426170453336,10.6995754540934,11.8183388133637,13.4766111254417,14.0474202884351,13.3494823234301,10.0730689715543,12.9835363059892,7.63175291055975,13.4600567910639,14.1009084710665,12.6337794106342,13.6944893771489,13.8252399243004,13.7740799549252,13.4141621910361,13.6734610168995,14.2376526122526,13.065502121785,14.3019432051699,14.3421308936993,13.7299585785375,14.5754334320472,13.8498140750703,8.29577645069289,11.2286829142156,12.7776485760455,10.1079525625812,11.3333730433116,11.6751460256283,13.1903771597766,13.3517050126641,14.4450241734117,11.7970011235373,15.0737091269559,9.93806455815907,14.6482784149782,12.8483206511486,13.6043290320441,14.4558080290535,14.0711763149422,11.0728056985619,14.4137777080033,12.1463056924822,14.2828860164806,13.5261764024413,13.8536322395981,13.264355180911,13.6551379917166,13.7778887101923,12.0818325101925,13.9899056572591,13.7210117485509,14.6089259091438,13.2029777675109,14.5991805732729,13.8087183469438,14.2359412997508,10.7228617013425,13.060372532434,11.9448762909413,13.0082366542711,14.7118017301167,13.6219648382682,11.8965249831753,13.4410145727259,13.7837042630991,12.6559764048645,14.1431008521506,13.4527152539002,13.9799500345138,15.1081920606373,14.5943448824156,14.0303188287204,13.1170046608,14.4431601600102,14.1408986169144,11.0846448570186,14.7237673478449,14.9503147275666,13.8547783036934,13.0475196661529,13.1323060238734,13.6417958619415,10.731636231003,13.1296408003791,14.5733514711228,14.749264818681,13.5208939994426,11.0515911365136,13.1422901934157,13.8440889628704,14.0966897400124,14.264807893501,14.3410131848154,13.6606769271514,12.8693059867959,10.3609576990011,7.65065013436981,8.27212637385202,6.15504075163727
"Q5VU65",13.3554085865614,8.96107054077722,13.19988673985,12.2835254761376,12.1619820907992,12.7806440742701,12.4171147739798,15.9098460116025,15.3162167718372,13.253160792553,11.2683150801294,14.7089415605247,13.5912085528036,13.8267573290615,11.5700131526679,12.7579749989204,11.710432164906,13.6593085457948,12.3618725125567,15.012466294015,14.4906911200853,14.7903431075475,13.9832468785466,12.3723749195121,10.2419831496943,12.2557986928746,13.5637747898143,13.2493640294067,12.448163488174,12.9805527688048,8.08992263290417,13.9518084893683,13.4592063673796,12.9878920762655,16.6741591040261,14.3919895066809,14.5865503183892,13.7080417214408,13.9909590620447,8.59482068565828,13.7372494395583,14.510302489222,14.2259757073351,13.8212382562121,10.5469085695963,11.4394661549332,10.1964794927619,9.38720799891652,13.5584207132687,13.8626152561776,12.3936098131599,15.0884905984886,15.1655998364222,14.5481902501616,14.6894903419996,13.1610112130301,12.137658565876,14.2635440883671,12.0071617582642,12.6432447810488,9.99947750494304,11.2433729304312,11.4142453923847,10.7329177056659,13.890917507565,14.5535363771914,11.6084924353963,17.0302406627858,15.5022435427214,14.2972225529661,10.3748281794574,14.2574000490959,15.6773217512769,16.2225762797782,11.5649896018062,14.028411228033,14.4939544145237,11.2650289424582,14.2386144398291,13.6577771383743,14.9791285298361,14.3520569861963,13.8113746935099,14.1545104841127,14.7803478018584,13.0581619236668,14.8490334788094,9.99229865696969,14.7310147926864,11.7452541419573,13.7106964840184,10.9339318472666,10.1109651751442,14.993502382839,10.3705527710677,13.5649896018062,14.2035284396857,14.8523558045771,13.5161385861686,15.1199543009202,14.7910337581086,13.3777527950222,11.8476940378761,12.8125072413841,14.696492783874,15.3518704067265,15.6933509864913,15.7117871137961,13.0332041878905,15.7688619351719,15.412299780001,14.9272361919693,13.3515656441917,12.8764620123713,14.144547941004,10.552048806794,13.0922485207051,14.4810794242476,15.3504145528562,13.7725208382263,12.99300052864,10.4235323964453,14.9089168969952,8.74615432267017,14.3521813969179,10.9190906441628,13.3578969068707,13.2519261574964,11.8835630471444,8.20538426460118,10.4427448663197,10.6898192955211
"Q6PJG6",14.6243781742804,11.7994791533144,13.8923713946974,13.9728894532439,12.8621397750391,13.7893018647199,13.7965949222649,15.0556403368745,15.117726962363,11.8579669788341,10.9113829057172,14.2535049808728,13.8692620224233,15.3518016056054,10.6406560108143,12.5330267626545,11.0782210552181,12.722415241232,10.4180372238188,13.6088949524231,14.1194089815402,14.3173711438043,13.2957689344205,13.1765166682758,11.2552985666181,11.7294758226708,13.4478182640888,13.400570760127,13.2964860866155,13.5185929990982,12.0626649139808,13.9275260400839,13.2410784855039,13.5576109711584,14.1694222322405,14.837749601075,13.8798588079041,13.2441281349009,14.2706304852067,11.3946418801313,13.5580788655479,14.3105743669701,12.4839607181592,14.4056836835207,14.0825367960293,14.7790779020373,13.8427692968977,13.8276939351705,13.3053171556059,13.8751463251256,13.4576801164811,15.1076378403158,14.2477667319133,14.9383873719979,13.1880378456175,12.9200255692832,11.5773149810616,12.9708501068025,11.3581017074408,11.4678081950304,12.8914869581607,13.7364672254783,14.0154060924191,13.9866479896383,12.5219841646141,14.6143862173993,13.0447812918385,13.8147543628893,12.2109756777264,13.3232381378852,12.8737075504324,13.6503964544028,13.5442861806741,13.863320390797,11.7312121267521,14.1247533123962,14.9140793968716,14.8374476271073,14.1389944079975,14.6549951802754,14.0322848806881,13.7846901476785,14.1326564205627,13.269579801922,13.9378335553992,13.6368985385225,14.2449181817061,12.1040279836596,12.2600586737801,11.3161840959788,13.0486548187328,10.4945545868521,14.3114827371272,14.0399265072334,14.0675808326235,13.2019658895435,14.8174245121413,13.0926236034002,13.0718119330191,14.8999553420907,13.4915444201745,13.6625628165146,13.2420112231581,14.0237228253616,12.6162086797553,14.8316244585187,14.8274642631048,14.9914637901398,11.4177034284194,14.9155991462626,14.7265101032918,13.1821353479251,12.8192491306974,13.5068454997399,13.6136649112251,10.7001310419859,13.8779592334428,14.6689988636573,15.4114141457962,13.3057595707556,12.0776564520695,12.5201135723713,11.9653854327402,13.7990777823231,15.0436386395746,13.948517156315,14.1868053599104,12.1803262552043,10.1742971575591,12.0396075815279,9.02382621520705,9.08454574333164
"Q6U841",11.8196891519092,10.5879612655187,12.9993877343197,12.7407881549109,10.082606892137,10.9408431633871,9.42732316521651,13.9731889037593,14.6060302620516,10.3042943690079,8.57959114654965,14.9079316335868,7.22825397589103,7.56096750114825,7.69495253158143,8.41956919089618,9.84220350692814,9.93600875035289,6.65550729804131,8.81602432171059,13.0940776560436,12.7725842295803,12.0621865829642,11.5100731641517,5.46870883733011,8.08924440613773,10.6134573386506,6.60977388952738,9.22684821304446,12.043863097103,10.0397131683404,12.0883888601616,8.54616956332118,11.2894008274781,14.7623979026542,12.8974404060286,12.868349491682,11.4787449522319,13.8957850299704,9.7532983451352,14.0020313633507,15.5131755424706,12.1689872946871,13.407909325885,14.0767901650616,15.9765106098621,12.1460954818253,15.3816527720945,13.8270923122895,13.7495813163557,14.1132492200757,10.205567334894,14.6376143097644,15.4751203003046,12.8959203677682,11.2930718862787,11.7368807256608,14.9497389214428,9.32031738918387,8.72617518932641,6.30761047809182,12.7966179725925,12.7410141735366,15.6002150313912,14.07507190079,13.8877292773963,11.6161921992346,15.4910313877691,12.8794912301407,13.9118705475824,14.1784982761021,14.4385746895553,13.7950759275418,15.1201575158321,10.4145850246827,14.116448211174,13.9235323012966,12.98068578708,12.1403302574386,13.2521172447773,15.2858588467921,12.1992542770543,14.0513178162824,13.0429432379973,14.179995765262,14.4581863821329,15.4426140603418,15.7623043677539,15.8134591986648,11.0395074130871,14.7446595827144,10.2757321336892,13.3271320760758,14.0478476750447,14.3570704528165,12.4926262725914,13.8304927133146,14.7968393535829,13.3228994564739,14.0088685526404,13.6219625543554,14.4327226896943,14.8977318857635,14.6142949019611,14.1430999670897,15.0401231271059,15.4155157631751,14.3353890901822,10.8826017705407,14.5102900888234,15.0051420675112,14.9660024852549,12.9726375184231,12.2237452585048,15.5848967051731,12.1121730261224,12.7691964002822,14.0120249138512,14.5697763707894,15.2247320760784,11.7202037300459,13.3291155306242,13.0100043968476,12.9939279537516,13.5084606455082,15.9774541451527,14.1450748460098,12.6143355011706,9.68230129028819,8.5447116416507,5.52982166983438,6.32753374851553
"Q6UB99",14.3664750285668,12.4562494371605,13.8121709941681,12.6982606801248,12.8163982196358,13.958716939078,13.819618023879,16.7916886817647,14.5556993070108,13.4436262303257,11.0056329424223,15.4010374250171,14.8698834879712,13.2734884745763,12.1085789711291,13.1027158175253,12.8954963358295,13.0550695681037,12.9260539329072,13.6232044451162,14.6839934654984,15.0429344382433,13.811589765987,13.8866188027203,11.0407142751266,12.1378616231405,13.4748843575545,13.4610736456231,13.2494050379782,14.0399186386731,12.2575402515379,14.0200238936437,11.5781208248678,13.6382169522456,14.4998500857246,14.5494541555976,14.2016883755206,14.1930037629384,14.7240454353968,10.9200439434419,15.0268406030768,14.3703913126029,14.6199481123217,14.084065612806,14.2431280914872,15.7098889714275,14.669122660117,14.954832439356,14.8408402778919,14.5781323768592,14.5873683552192,14.4010726019764,15.0701754588278,15.7574140794817,14.4580509214315,11.1182189012281,11.9759584028919,13.8836315359009,11.2560644096324,11.5950701425102,9.04358662315084,14.1846186382299,13.6412724317659,15.0502382310449,14.0946963506087,15.2204381383745,13.1028176109766,14.9189098111303,13.465754643773,14.4491750453411,14.5143740661515,14.6022571061174,14.5337369429109,14.0438501298499,12.0955152588895,14.7222316803025,13.9313857947801,14.1839850414062,13.5058617192618,14.8725014224617,14.5389651426544,13.7872243255433,13.2034715453443,13.4752877442998,15.322757375816,13.6878004770028,15.3353332010205,14.1839454717572,14.6734092710593,13.0154867670785,13.4694235322206,9.31557256609781,13.2123219866325,16.4623011485953,14.2064802288746,12.855452509744,14.1781836265849,14.6198026632031,13.8125109372368,14.8430705948573,14.4488926473612,14.2112442336656,14.9718140162284,15.1705572979382,13.9484217459356,16.2733750055582,15.0945866064348,15.4823436262641,12.208726981736,14.6211906276256,15.8267839243979,13.9627475732982,13.8154357039489,13.58044457875,14.9845470283353,12.5908831865506,13.7431667286391,13.8447392592265,15.8807524482666,14.1749352148872,12.0347989625773,13.7038331562767,14.4219990442385,14.3536997804078,14.8655177572483,15.4602269039936,13.6922776687273,13.1708396653493,12.3345512827414,12.7145440927263,8.34826370991349,9.82310445495214
"Q6UN15",12.7981849951916,7.37274397245236,13.726951057121,11.9810606905249,9.01612933533322,11.5535103101673,9.1113928857992,14.9425870423652,14.0934762516073,6.91750691456034,7.40944612707161,12.5651874328717,12.9273426223245,12.4418732801194,10.2159254137802,7.55934253453925,10.4409058458086,9.59560238145463,10.2751828976169,11.126344439757,15.2118137074947,12.2963280105902,8.96476777438604,12.1047433922612,8.62202685477017,9.05401084108714,12.8503325959564,10.7035412879301,12.8273727453818,12.7000446468036,9.00473233666466,13.4094737560233,8.87332275814989,12.7939811226095,13.0179111020732,13.50562191561,14.2720066843109,11.8630385011567,13.0152809910758,10.195960406039,10.3234818029853,12.7693857581259,13.5822290710381,9.16470174488144,8.30081979651913,13.9792533938131,10.0844383115026,8.99564866025257,11.432655019949,11.4934554368482,11.7700276816858,9.89419627913692,12.7804415978012,15.3906899629715,13.8174510638782,7.68152540752421,8.73936280390734,14.1931924523476,9.15025120755979,9.25586733651487,12.9869485338421,8.93472130217337,8.60433984754339,11.835760807843,11.2938104754411,13.3151922293614,11.600471754012,10.0969363783191,11.8713439872492,8.19834957327631,10.5865418299683,13.4705145126121,10.524477751877,13.7353950460113,9.75447177284526,8.86682952412156,12.7019467329452,9.06049877864452,12.5195774198801,9.03922617004027,11.5159887835097,12.0251339427069,10.6871871307905,9.66764015332842,14.5594569162934,12.1111531798082,9.07637994216246,8.56076879460887,13.6299092895593,9.63229644023453,13.0025153224046,8.16549177012911,8.89502416597952,10.7001646544911,13.26553219654,12.6809702852809,13.0055364918271,9.81883156731479,8.78509834953531,10.4468575087663,9.66596071954734,12.5495889386847,8.52796946787192,15.070687989028,8.68186343556523,9.23006758107548,15.2966896782048,10.7747780227476,11.6743495086812,14.8461941328075,10.7577476849094,10.5657176987489,9.1143835221494,10.4618839777016,8.70644453629517,9.62622738050136,9.03625216614105,13.108573509535,14.7016228687951,13.5202722807094,13.0119268188605,8.98623757445689,10.6398539818724,13.555085284959,11.1235261901963,11.0421052575416,13.0918838927196,7.9076219465645,8.9331027265626,9.13068950357268,8.58980714196456,5.91010135011598
"Q6YHU6",13.9171013101759,13.1473253310677,14.1843909032037,11.4036984865633,13.5907564909972,13.7419709282101,8.85463998996275,15.7727453419088,14.9565628649686,14.1369485406883,9.69288308972291,15.1482212005394,12.5674182872468,15.0460243555979,10.5805260227948,12.5645526517387,11.3104051333176,12.8212632369157,13.4006782720407,14.2889940837255,10.1549246837372,14.8905396286942,14.0242793047715,14.1291824328261,11.102753018766,9.82209594838796,11.352891450829,13.6416049959017,13.8695413854504,13.8978414435148,8.06621322413975,12.0539703886165,12.8737299749807,14.3177089079266,12.2217681506135,11.7980041599445,11.4045400769374,14.3186696376596,14.0748354669033,7.82700290783874,12.176803441703,10.5000330223367,11.9477414460636,12.1922858556199,14.0353002893162,12.8513340252887,12.1901501763316,11.9105269073682,12.5803246970844,14.9517005343608,12.1153055463611,13.0070965163913,14.7101923431231,10.3129951233173,14.4055424026332,10.9731951598724,12.9872994473936,9.12675537912069,12.6216192962827,9.71428075306333,10.9938202245051,11.2753493209919,13.2038404317415,10.4336792612061,9.95226888144539,11.6219212722867,9.78017464101645,10.0826596887604,12.5533857441779,9.96026012042603,14.6849619218566,11.6116703655923,11.2995346355535,14.5184686877832,9.34922971490647,11.9664382314783,10.6719636304094,12.026864296754,12.450158207468,12.2855982316271,11.9157065323536,8.7778476691809,9.40347712534582,10.9379415169426,12.7275061517708,11.9880154576168,10.0038383846783,12.5665003209716,12.8962035365278,13.1878872707684,10.8311183574574,9.10372190896885,9.39693560443787,9.78936141885109,12.4536085848191,11.057766720985,8.89195803803988,11.8675622732884,11.5320810597983,12.3149251020174,13.7916503285874,14.8741822382168,12.7531950357671,12.3424725712914,14.2268715895894,14.9420630280281,12.4867840816248,15.6623341861947,12.2204596590886,13.0710220445295,12.0888886629074,10.4725522571367,13.8508046651442,11.3724718473277,15.0937612958653,10.4309107300063,13.8343694694584,13.6123903517657,10.2619889456955,13.496013966327,12.2607806196192,12.6518998829988,13.5729373397353,14.2360481960791,12.0663451841293,11.5719817607376,12.2968281286747,10.5745760980734,9.03982440926078,13.5207321728895,9.83657146194073,9.93593437936461
"Q6YN16",10.371785836065,10.2426916818474,11.2531462087019,8.63735973320233,12.6128758748834,13.0925134225201,10.708955891602,14.5556076829878,13.3318908668891,12.1546029197331,12.3157881547754,9.17127723978014,11.3694418327399,12.9474177367406,8.35663157636076,10.4861899181512,9.35742546619068,11.8812891118597,10.866415036671,12.1613113054834,14.1764725055582,11.4601480525682,12.7048517028265,11.2310169080235,6.4367107574567,8.10138451412304,10.2403007577864,9.46743708128338,11.1402820525895,12.4929064538646,10.5334431209635,8.38579346044307,9.32657683401152,11.7944998152626,13.9434084584166,13.1599324667169,12.8311029711144,8.37297533601934,11.5111211486486,9.14911001877097,11.4134744016488,14.3321780709628,13.3084518119939,12.6487265168758,11.8359842892645,13.0787950327306,12.6305319578278,14.4798430204917,15.3866618120951,9.96119381076651,13.8739371052432,10.5585987397203,13.0567537986169,12.7623648208278,14.1525820132236,11.7789289880977,11.8105215799622,13.2630782994092,12.6279517016794,11.2988298174345,7.34041460293411,12.2186239218856,10.710574928015,14.3122073403572,13.0980475842794,14.1527603536537,12.6952652784724,14.2980867429857,13.2183000300504,15.3412742804515,13.9125434167836,12.8041996500256,11.4780107179998,11.8740951113588,9.14713195012028,13.5973226634659,11.4056463057448,10.2095397761851,13.5524297087839,13.1721056010367,9.99085343206671,10.2523338799281,13.7749102763151,13.0302398000726,15.1169817730497,12.6803961289404,15.3006205747494,14.3734789031055,15.0714990084666,11.2082548040014,12.1005512830883,12.150355948633,10.9538169545861,13.1284630408293,13.3644437444533,11.8282417161817,14.4148697035719,11.6973014003687,11.2397430827722,12.4992235214005,14.2706727305851,14.3933663367245,13.9588166396228,9.08880156944434,14.0195362000756,12.2908952617949,13.3256576459331,12.2744812027552,12.4981578597776,14.2601014453657,10.9964061319932,11.7497145204456,12.0026826312827,13.6676871008096,14.5834083334412,9.89262972332964,13.3396737490055,13.9842178665946,15.4162564924332,14.4896509803045,12.0266444623692,14.4719544334303,12.4277977331588,14.9040458460127,13.2364903426791,13.4875776702928,13.2299514100373,11.0626810425097,7.94295233087701,10.8543359310605,10.5766507385108,7.11024960485043
"Q6ZQN7",13.2141166054693,12.5130036618399,11.3395158359785,13.2164640533084,11.0482390621769,10.9946591947729,10.9233274854192,14.4602907173941,13.3377703495306,13.1673708887741,9.25629963649809,13.5179399671469,12.4614037491765,11.6856353513834,10.9170819491288,10.8923296436539,8.44455152085204,12.0272096274942,11.2689552048918,13.9932786766226,13.0735121198764,12.3310241237444,9.37919767083071,11.6972524108126,7.54924193376395,9.00630805051685,8.69611888544888,11.2651175057115,11.9496328687145,13.1323507884785,7.6977767303349,9.00228701928411,10.9026849646108,12.1973978543438,13.8867795145174,14.4845711809158,13.502599653895,13.6990301478864,13.7801296196253,8.27057153394238,13.1652575827968,14.8014265540296,12.3221734944796,12.7208974195255,12.1243131184394,12.5175425508195,8.73939868001387,12.9952371704491,13.9832384981179,12.9603326604299,8.34084051997097,14.7739244666272,13.3194709485632,13.798977992132,13.531259606127,8.97170307622622,11.6719832720919,11.0177193885214,8.85055360684949,11.6015305439787,8.59139618046929,13.0151668768633,14.0302453007105,14.3900723296016,12.5023184579906,9.98488684684202,11.7480248756977,12.8794356759686,7.76042138734571,12.4323805956888,12.2960625513671,13.4426026976336,9.15096863101638,11.8460766768879,10.2131859783289,14.6167211298737,13.5373250048674,13.7315796586858,11.2360141919001,13.2236182493354,13.158980570477,13.2164640533084,9.43024637670616,12.6774803976029,13.3016390855924,8.80699229892326,14.2050493410736,9.23113812718746,10.9622439542664,8.94305897800653,12.8462688225514,9.07955189313952,8.45173615704487,12.9747100818597,9.2149122831826,13.114692114985,13.9237978780396,13.3318063985378,9.65976600890609,13.0431802788013,13.8548958852504,12.9986914728799,13.5674320537088,14.3189400319261,13.3916606758473,12.8443104126929,13.962489449752,14.4158960565699,10.718829521647,14.1734355336085,12.9256381597985,13.0006943685248,12.7574122768946,14.3147517626507,13.2164640533084,9.57250686552347,10.9855252056207,13.0464041796755,13.4388752942046,13.1706751064625,12.4945152348129,12.9652674169501,12.953475096346,13.6679161278393,13.3112345237432,12.3776432566491,14.5491989933759,10.4565151592792,9.82242829310013,11.4886157466842,8.1040358125602,8.81813974140947
"Q7Z2K8",11.3381062622841,8.70806561290245,11.8625168109296,11.7926977779938,9.79699982884376,11.5500656350913,10.0305963591524,13.633861970625,13.9867292988422,11.5041065125935,7.30194565313123,13.5418644069576,12.9089512758173,9.06482815238848,4.36210716114306,9.67984356785723,5.33575398280903,8.62401476658357,7.50259940512505,9.13564258496394,12.9010913546376,12.4038680396129,12.846324777427,12.686033687441,6.31230349044099,5.14651666690416,8.72886671766402,9.20643898922982,8.10208290798214,10.5815299319203,8.58549487820072,11.4625888591968,8.72139460085534,11.2480917235571,13.0848067784021,13.3387523593653,12.2725055915617,11.140772070831,11.5640777704792,5.29247066709936,11.9419277902566,13.6685734478596,10.597424271451,12.7775800147191,13.7691090841885,14.2622946165198,12.2775780024157,13.128651754993,14.52052852823,12.1287604052019,12.2564733260054,13.6397686399181,13.5918765162596,14.3826599547802,13.0119736205348,8.62557093884435,11.6817961216038,13.5620150672225,8.16191441323027,10.5560480922297,9.89162842477419,11.8213700138155,12.7256282854938,13.5481552755104,10.8485378653749,13.907070811741,8.87266715638393,14.2466608380476,11.8744285508372,14.177497401553,13.2455651116313,12.6600493242147,12.6385797062042,13.5271896439312,10.6678114592276,13.2292694622667,13.694321683982,12.6999958484716,12.0780402467707,12.2739017948231,14.1790317217276,11.7668033502966,13.3477341703493,12.3827650830496,15.0543073972975,12.4634591205272,13.6701913686848,13.7617633869385,13.8772431395676,11.6907060726652,12.9569894239925,10.0656136025037,11.95072312048,13.545045317492,12.8053786906021,10.562424158474,12.6346016791013,12.1170522528104,12.258298091193,14.0941493080419,13.3499722740196,13.3025056947737,14.8622051111649,13.524370841873,13.3015450277595,12.6121832684146,13.3932004044089,13.371283010257,10.5700763814342,15.0350157560357,14.3714690901178,13.3022550791115,12.1754783445234,12.8674949553302,13.4859661157195,11.229263537465,12.7058483435089,13.9293837249171,13.8727242747209,13.8648190491463,8.13575658142657,13.0064309940539,13.7464785858176,13.0963489729047,13.4611270295261,14.28107869919,13.4130333101362,8.66231288587254,10.4393193666257,8.53878874746647,4.66872235221013,9.05922054985314
