"","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"A0A075B6I0",17.9864315865461,17.5617910442292,16.7274019122674,16.1804507355855,18.8413172176136,17.7015070420983,20.6926305141609,13.5963880885546,16.594074407359,13.5830035162363,15.4151489198052,14.636616263114,14.0397758792889,13.5533764449612,14.7128580293178,15.5123151414289,18.7884497560753,18.505540880421,14.8146134359334,10.2706351027718,15.0793928345138,12.6363624399477,17.5871678269592,16.0250306118353,15.4872494068959,16.3229142130657,12.5480454272891,14.1934351693036,12.0801843270799,15.0651500168278,10.6153193363176,13.175368248415,24.4683713529592,25.07910075244,26.7651050914759,27.8814678220682,20.6667860648416,24.5909724664328,25.7919509032794,28.1409146037851,28.1886713120363,24.6333680336321,25.858592444173,25.6521541006716,25.9204298668392,24.9743157793492,24.8577326236418
"A0A075B6I4",14.6340440439648,13.5890901851574,15.3729159237627,13.6273527167845,13.697480720209,13.0100329227971,17.2457945792278,12.5980118369035,13.4937650884518,11.6174333306343,12.2145085706893,11.7226673733708,13.9467099693411,11.5177465463889,10.7947734796114,11.9623196285468,15.4356043639795,15.9332462063215,12.9552643764186,11.5762600051618,12.3336429713835,11.7198216843572,14.3541471980906,12.0230180392085,11.3079645999742,13.6094431972783,12.5696489951231,12.5874355225987,10.5714416854204,12.182442709052,13.0215802086766,11.71916639464,24.1320073248712,22.8204416344656,23.6505820845815,26.9280349726195,20.8121089842124,21.0563851000539,24.0507807087893,23.3695395910173,22.2594513450917,19.8530913893914,21.9108037214551,21.4728066566901,23.0946364193667,20.9395894120751,18.9104404639944
"A0A0B4J1Y8",13.3600264380329,13.4175647734699,14.2241849411025,14.9114841520448,15.0454706599315,12.6203510545807,15.4176554601545,11.7068812126046,13.1383262156927,12.6596626950235,13.0130485576127,11.1568620630763,12.8523888242534,12.118467103937,10.2226377772539,13.2888592885487,14.5590978785977,14.8096159640773,11.9036679135895,11.0056056452774,13.6993456033243,11.8004310663194,14.6434345512365,14.1648181519995,14.3895410582199,12.0690026192825,11.6404737079102,12.2290835330905,9.46954626056483,11.6775630611932,11.4645575448164,11.8653228497195,20.9286998164097,20.6215522942191,22.0724001243049,23.5226885593513,18.8611125468566,19.0527807199853,20.996633402843,24.3002646235207,23.7033693953711,18.7400706157561,24.0338952519199,21.4791470278716,20.2691839731036,17.5398018414808,21.7313177065514
"A0AVT1",13.5055493682529,13.3056636493512,13.3392872604017,12.6618724873487,13.9728880586537,13.9943204062694,13.6705456087533,11.9646728226858,13.2825273307093,8.21329983794997,11.840209625739,13.3624738139298,13.7866706436388,12.4229031900437,13.3150998305501,11.2438580795045,13.780363022034,13.1264949771612,13.4732881726049,11.0204743409086,12.9467144396141,8.69089198788719,13.2276159434142,12.5089254770488,12.9885252749228,12.2107038357272,10.749659197876,12.0972042490812,11.1118221497113,10.2339692515045,12.3383554158317,11.7749811837985,21.1089219624642,18.8571182626992,21.2553554994566,21.9333239169044,19.7866815531728,21.0813168569848,20.3286620619996,21.2571161084739,21.6980966433696,20.4976638027136,19.882660773884,19.3967295594758,19.4795345373095,21.3723395634163,21.4765763715233
"A0FGR8",13.3155879761219,13.2888943039977,14.2749197552671,13.140754687064,14.6509012338057,13.150412533364,13.6048352723798,11.0023674135219,13.350041267578,9.09125768808601,11.2904440432748,10.7626070453049,12.1921918418752,10.9248096707453,12.2691885651987,12.0751815159419,14.4970900498313,13.9035537028879,11.18610738346,10.1117995563056,12.5248442824209,5.7185891956157,13.4861565199557,11.1011078742104,11.7309689727388,12.7898303397815,9.10051072963028,9.32469555432648,8.87448963264192,9.69858664218865,9.83929874302673,9.61610374347558,20.2626871133626,20.7568372952765,20.792785529191,22.2012491042992,21.0134931003123,20.4958905288693,21.1833238926277,22.9135096956044,22.1264515095428,21.0017397456714,21.3238812930022,19.6913512150556,21.2351393526612,21.1610141853744,21.8891460314173
"A0MZ66",13.5231757969987,13.0786982825152,14.2219026844558,12.1513491264001,13.9697863083737,12.8660494738476,14.3665911060256,8.26334405151455,13.1244743668688,8.97577689056738,12.0998127811472,10.8062282615368,12.7195978675659,8.67057104864051,12.2877877669305,11.6248143279507,13.4578502624154,13.6401067583005,11.6755410217587,8.99681860314946,12.7084285133699,5.85057370578983,12.9495358828706,12.5221963958515,9.35318123203812,9.8257126463248,8.79429334925179,8.14979599358408,10.6444815965901,9.26209250105972,9.12044750471914,8.10177170929511,21.9571671345026,21.3799959523995,23.187906055594,23.887525453396,21.9815974975629,22.5624806056651,22.3160990821392,23.6285796784689,24.085835622569,22.4495025053643,22.476492223398,21.8397601305659,22.4528063706556,23.517071447875,22.6409194681769
"A1L0T0",10.0239025307789,11.8331750502171,13.4033955886533,10.2797133043079,13.8281663871258,7.00265962413023,13.7037059950861,10.2939980765979,13.9032321105503,12.4549797035909,13.2418418081751,9.37638179741962,9.72969778422226,12.6921836151979,12.6976837483412,12.5344844197986,13.9844716612851,14.6255060989818,12.127938361629,9.45678528767586,12.5952873980419,8.22385171376069,13.7809727203575,10.7679807865359,12.4324477371913,11.573491173296,9.88041931130395,11.7433201229087,7.8337951579689,10.7498608861662,11.1859182307275,10.2847576851695,19.6698339702112,20.6399057151172,19.2911139108074,22.3504569850896,20.7477210940397,21.2987483398124,20.2772514884566,21.3222372346326,21.1684117571296,20.1980803430312,20.1811847062689,18.7721868322576,19.6656668973422,20.5572563204011,20.6128744175111
"A1L4H1",14.589755231606,14.911808255994,15.0731664735527,13.7245536032451,15.6900538912843,15.2163222522119,14.9205433296321,13.2951633664222,14.7034165343967,8.95730242755334,12.9391191723679,13.7704761455484,14.8473304057147,13.8253361716456,14.3280366924671,14.2701098618069,16.4477007657465,16.0866394895258,14.7720676051156,12.7579507562654,15.0553734704896,11.5949907068777,14.8888750382598,12.9186478102164,14.997535232704,13.6124185212638,11.1548889381477,13.4459019426555,9.9955279532566,13.5853150171505,13.3607761017717,11.9168394566761,24.0200756308506,25.0678123320601,25.5476867905313,25.2158797135759,25.9585861004225,24.5635118839825,26.413121206217,25.9111383925474,24.8898072511171,25.1300415676332,24.6379556630333,23.810623971793,23.6802510882353,25.2421571462904,25.2276545151373
"A1X283",13.2023342576552,12.3559183954908,14.4236998789717,12.5956299901819,13.6635615085445,13.3556590315707,15.0113434658518,12.0377253264849,14.399780841657,9.49476388326195,10.8573922224177,8.98388297242524,13.5124246406398,11.5577623272771,12.3617552098057,10.835919380662,13.788181778234,13.9754545707613,12.3878258507138,11.5452393133054,12.5770571230945,10.5636604088203,13.6730986205653,10.4417314367667,13.0119728609543,11.5446129584851,9.69009556625173,11.7528064223441,10.534267839261,11.8310404569833,11.3521691354666,10.6606612926185,20.0148274758418,21.3260870313227,20.9786770365259,21.9285239506277,19.0250058085782,16.7580869005721,19.1254365150882,19.9773594664192,20.5420404589243,20.4784169997597,18.206260247951,15.1692012504803,19.840905406919,21.3451062132287,20.6419818420209
"A2RRP1",12.4498925821445,11.2553671672519,13.462446735452,11.9350291516667,13.1471002116697,12.0364376261159,12.6562677303799,8.77764673098727,12.206027306634,9.91887066795641,10.497168318246,11.012987466803,11.3826859410198,9.1242795918463,11.7374127183942,11.3654835090643,13.8475662902012,13.247766478258,9.81893877092359,7.82994464602807,12.4550973023598,6.16065245179228,12.4841803747552,9.87318006818022,8.61230140178199,11.5248846143893,6.97983741654966,8.46533910084079,8.37771378390573,7.61168106228118,9.83573163222814,8.4714137164905,18.173518055921,19.6953048829516,20.6315971265958,22.0120171935161,21.0148164359108,15.4045009475823,21.7984747836631,19.3672869302321,17.0245795656774,20.0159357316139,19.5948825852238,18.4488464830987,20.7988907427423,21.1526407117263,17.2416807080333
"A2RTX5",13.2898532791666,12.4144424736964,13.7511686059963,11.3964276639933,13.4898814808603,12.1025277708172,13.684567041347,10.0971371337583,13.2472641135625,10.5434850008158,10.8714106534411,11.2911338388032,12.3106125317131,11.0771801162435,10.5240335124003,10.9784439507712,13.9541475651502,13.2723519891672,10.8701768601957,8.20740057260616,12.1388642898296,6.96990484686212,12.7114087829241,12.0052928905365,8.76893654144239,9.83250302584637,3.42816130029903,6.12529983035782,8.64923565657338,6.30690811952065,6.38979769962165,7.626776730519,23.3315508305037,19.3813214520391,23.7855593152223,25.0963524383269,16.8034369460017,23.8391787517636,16.8691907040325,25.3444140359721,20.7850329109163,22.5256563579278,19.2060499683149,21.1582686158543,21.8876770919794,24.2597428287198,19.3019694874554
"A3KMH1",14.1951353410178,13.7334427564869,14.6097874422414,13.8576310649114,14.5728115807551,14.2374353744182,15.2043888848535,11.6524943053184,13.660984086153,12.2199644854275,12.2682294114331,13.0692456687082,13.0760575629317,12.3057731301746,13.0950561565719,11.6976225649395,14.4630578356387,14.6174862793557,12.1399817652488,10.5923593755616,13.5761878196991,9.61710470086408,13.855699047629,11.0306198632244,11.355954000517,13.6405950907105,9.66040729628369,10.7838955182755,10.6887880897278,10.379640108656,10.5335464787956,9.77507061933414,23.204542402891,24.3082032409899,24.5640594450027,24.8305261682388,25.371969088414,24.2706225467315,24.5615783589211,25.6911535848359,24.9636576373654,23.9461975859189,24.1825849186345,23.032963387611,24.3682970510472,24.2832825931912,24.0260077569755
