"","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"A0A075B6I0",17.9864315865461,17.5617910442292,16.7274019122674,16.1804507355855,18.8413172176136,17.7015070420983,20.6926305141609,13.5963880885546,16.594074407359,13.5830035162363,15.4151489198052,16.4531842032279,15.2139756745911,16.4212207653884,18.4810258137854,19.1366473613587,13.2456315335018,14.9307610566647,13.1670311080199,17.4012202496481,16.7072436467883,16.9096465466273,15.0576587033775,12.8205081321335,14.165468266353,13.796487713352,13.9058072726825,11.2478977568856,14.0583658654255,11.13908257623,14.5025653933007,15.7513585594073,24.4683713529592,25.07910075244,26.7651050914759,27.8814678220682,20.6667860648416,24.5909724664328,25.7919509032794,28.1409146037851,28.1886713120363,24.6333680336321,25.858592444173,25.6521541006716,25.9204298668392,24.9743157793492,24.8577326236418
"A0A075B6I4",14.6340440439648,13.5890901851574,15.3729159237627,13.6273527167845,13.697480720209,13.0100329227971,17.2457945792278,12.5980118369035,13.4937650884518,11.6174333306343,12.2145085706893,13.5424536614915,13.1182872052034,13.7415280531135,14.7500718149336,14.6014175565961,13.208197944749,12.3615029161058,11.4022554242019,13.3281671414659,13.8053891986695,13.7542584522969,12.9268028230296,11.7714435485451,11.8426434142507,12.9471079095938,12.4732753507404,13.8116358758185,12.4630418510308,11.8838951205132,12.7424882380544,13.7864358277463,24.1320073248712,22.8204416344656,23.6505820845815,26.9280349726195,20.8121089842124,21.0563851000539,24.0507807087893,23.3695395910173,22.2594513450917,19.8530913893914,21.9108037214551,21.4728066566901,23.0946364193667,20.9395894120751,18.9104404639944
"A0A0B4J1Y8",13.3600264380329,13.4175647734699,14.2241849411025,14.9114841520448,15.0454706599315,12.6203510545807,15.4176554601545,11.7068812126046,13.1383262156927,12.6596626950235,13.0130485576127,12.0215907684136,14.1914832052472,14.452812130013,13.4170811100771,14.2437212005251,13.4329942324646,13.531474930225,10.2592859177714,13.4033237791022,11.3976597733451,10.4490662459335,12.5086036161668,11.0730899266162,11.1750997887228,12.9379615287659,12.2596620582004,12.4903578568704,12.1011633734896,10.9021895234287,12.1983431287298,12.3733532921809,20.9286998164097,20.6215522942191,22.0724001243049,23.5226885593513,18.8611125468566,19.0527807199853,20.996633402843,24.3002646235207,23.7033693953711,18.7400706157561,24.0338952519199,21.4791470278716,20.2691839731036,17.5398018414808,21.7313177065514
"A0AVT1",13.5055493682529,13.3056636493512,13.3392872604017,12.6618724873487,13.9728880586537,13.9943204062694,13.6705456087533,11.9646728226858,13.2825273307093,8.21329983794997,11.840209625739,13.7201708839603,11.8717997120094,14.0259418090098,14.0394488580354,13.9406818268734,12.9864586995468,13.4103226492306,8.7509470049882,12.6823080868283,13.8594787478892,13.8642589691148,12.6602321545272,8.07841724253828,2.20964330166719,12.5752259114068,11.3440014103181,12.3596390108367,13.1234592228599,8.22755996774944,11.2513490777343,12.4870443660759,21.1089219624642,18.8571182626992,21.2553554994566,21.9333239169044,19.7866815531728,21.0813168569848,20.3286620619996,21.2571161084739,21.6980966433696,20.4976638027136,19.882660773884,19.3967295594758,19.4795345373095,21.3723395634163,21.4765763715233
"A0FGR8",13.3155879761219,13.2888943039977,14.2749197552671,13.140754687064,14.6509012338057,13.150412533364,13.6048352723798,11.0023674135219,13.350041267578,9.09125768808601,11.2904440432748,13.7393351188827,11.0694351105896,13.8773593209213,13.3796680602636,13.1361996196033,11.7099427477119,13.4937242738956,6.11532961437219,12.8007645057835,13.2278950889285,12.8169160461601,12.8998431076802,7.34214040924775,7.71328562538118,12.312893452543,10.4663009741353,11.2009313971196,11.8421946653481,9.20226050467195,9.67797432618745,11.9046421784065,20.2626871133626,20.7568372952765,20.792785529191,22.2012491042992,21.0134931003123,20.4958905288693,21.1833238926277,22.9135096956044,22.1264515095428,21.0017397456714,21.3238812930022,19.6913512150556,21.2351393526612,21.1610141853744,21.8891460314173
"A0MZ66",13.5231757969987,13.0786982825152,14.2219026844558,12.1513491264001,13.9697863083737,12.8660494738476,14.3665911060256,8.26334405151455,13.1244743668688,8.97577689056738,12.0998127811472,13.6809851360926,11.8152946572381,13.1363273231315,13.5109655253859,13.3113783920085,11.0633361310408,12.9077603566148,7.19283861984135,13.3471378281447,12.1146143818714,12.8011480157245,12.0997393558363,6.86247852974304,5.01410987287863,8.54439379125578,11.1809395563043,11.6866817383222,9.76017390104,6.7488511193739,7.36631011552067,11.7150180202197,21.9571671345026,21.3799959523995,23.187906055594,23.887525453396,21.9815974975629,22.5624806056651,22.3160990821392,23.6285796784689,24.085835622569,22.4495025053643,22.476492223398,21.8397601305659,22.4528063706556,23.517071447875,22.6409194681769
"A1L0T0",10.0239025307789,11.8331750502171,13.4033955886533,10.2797133043079,13.8281663871258,7.00265962413023,13.7037059950861,10.2939980765979,13.9032321105503,12.4549797035909,13.2418418081751,9.81280511839184,11.5946791031088,11.4300045061111,13.3239538625568,13.3644992558983,10.5002830674922,12.3309905622165,7.46938447537683,12.6674941162698,13.2132817543072,12.2129715484167,13.4054721627547,7.79031666019357,7.75101959704498,13.047587972878,11.2150194760348,10.8830810454885,13.0012466301618,10.2368289582354,11.7830596034135,13.2586488554277,19.6698339702112,20.6399057151172,19.2911139108074,22.3504569850896,20.7477210940397,21.2987483398124,20.2772514884566,21.3222372346326,21.1684117571296,20.1980803430312,20.1811847062689,18.7721868322576,19.6656668973422,20.5572563204011,20.6128744175111
"A1L4H1",14.589755231606,14.911808255994,15.0731664735527,13.7245536032451,15.6900538912843,15.2163222522119,14.9205433296321,13.2951633664222,14.7034165343967,8.95730242755334,12.9391191723679,15.3003891419646,14.0118022176273,15.1213972131544,14.4370492198054,13.7875479611783,13.841574098046,13.0984941006988,12.126482752841,13.6819820539539,15.3140810759826,15.0711673750763,14.2950682605506,10.5652047676879,10.1893823681925,12.3329119537861,13.3418179665048,14.304790669482,13.8198000613075,12.4416473902536,12.9502372764654,13.4917335024778,24.0200756308506,25.0678123320601,25.5476867905313,25.2158797135759,25.9585861004225,24.5635118839825,26.413121206217,25.9111383925474,24.8898072511171,25.1300415676332,24.6379556630333,23.810623971793,23.6802510882353,25.2421571462904,25.2276545151373
"A1X283",13.2023342576552,12.3559183954908,14.4236998789717,12.5956299901819,13.6635615085445,13.3556590315707,15.0113434658518,12.0377253264849,14.399780841657,9.49476388326195,10.8573922224177,14.0815978294778,13.1302011534445,13.9474104670132,13.2038182591923,14.1183395099442,12.0396975714115,12.834072163732,8.85080100473731,11.0808872398813,13.0603111675182,12.8237306458454,13.5461111182403,10.1926840046311,9.42539741812174,11.6179162317574,10.4735990339827,10.8652958659243,12.1322252833116,11.9561897084288,10.7310751535399,13.3887871746927,20.0148274758418,21.3260870313227,20.9786770365259,21.9285239506277,19.0250058085782,16.7580869005721,19.1254365150882,19.9773594664192,20.5420404589243,20.4784169997597,18.206260247951,15.1692012504803,19.840905406919,21.3451062132287,20.6419818420209
"A2RRP1",12.4498925821445,11.2553671672519,13.462446735452,11.9350291516667,13.1471002116697,12.0364376261159,12.6562677303799,8.77764673098727,12.206027306634,9.91887066795641,10.497168318246,11.9927390482776,10.0288325061652,12.23154108143,12.512715470122,12.4772188296462,11.2024555183647,12.2527098221028,6.09667534367793,11.3960141763107,12.5271231014734,11.9071180179601,11.1886384478147,5.9810169456311,6.4639579063059,8.7609918082548,9.80672465139124,8.83634198046076,10.2623227958495,8.25650683453079,9.85859321799194,9.97584183862832,18.173518055921,19.6953048829516,20.6315971265958,22.0120171935161,21.0148164359108,15.4045009475823,21.7984747836631,19.3672869302321,17.0245795656774,20.0159357316139,19.5948825852238,18.4488464830987,20.7988907427423,21.1526407117263,17.2416807080333
