"","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"A0A075B6I0",19.7748449080507,19.8617132252757,18.1074751847009,18.6388868058308,19.7748449080507,19.4038574167405,20.9559439640126,17.969473835187,19.2535850313621,17.8036756111407,20.9559439640126,17.7946422395245,16.7435654677766,17.3304187467525,18.1738855459665,18.7301164708153,19.8617132252757,19.7748449080507,18.3880613082781,15.2049920591588,17.7946422395245,18.3339489603021,19.1368658760805,19.5948504585694,18.7632926568491,18.9567373999585,18.0589614356732,18.87390075424,17.3518265500206,19.4038574167405,14.8066301536334,17.7946422395245,17.9409512463137,18.3377504888622,19.6799415719822,20.1117013556181,14.6870641333269,17.2447842824788,18.3377504888622,19.9253021647648,20.7741677748385,18.1660449463971,19.5287845857114,19.6799415719822,19.6799415719822,17.6850321115254,17.7597397519896
"A0A075B6I4",16.6004648008612,15.46969411604,16.7198646625939,15.7399886074098,14.2411650329455,14.3578157922084,18.30312102794,16.6801799375604,15.3220272882102,15.5979872379293,15.5898178995668,14.2216256569776,16.5297906699325,14.5498696613851,12.9558209272643,14.1975457263402,16.7991321867101,17.7640037465807,16.2493657242018,16.2636201123142,13.7239312309014,17.2319128323232,15.9502385922104,14.6856745002752,14.2431528625767,16.290166999915,18.0897788475719,17.0500953380123,15.749663648668,16.7253758574425,17.2065763179961,16.4264871613991,17.5714399148238,16.4013296091565,16.722328370582,19.0012123123064,14.9966393215113,14.870103247878,16.7506101805117,15.9781090363118,15.5584498171723,14.2854288901627,16.2990404453529,16.1203902386976,16.8167789554113,14.5539905730946,12.3561338594742
"A0A0B4J1Y8",14.4955322537446,14.9238161128763,14.6766060048862,17.0797075118124,16.0273492906316,13.4950323889819,16.4926294464864,15.3876602344111,14.4387678613566,16.5236361826581,16.3298305053007,13.4010352615472,14.7125542542873,15.0327335118127,12.0215951646053,15.6879280267405,15.3737378780604,15.9512813582512,14.650248987201,15.4877855648522,15.6795037653279,17.1554230485652,16.1199180638504,16.8576339686668,17.188219920183,14.3625989664009,16.8359129667986,16.4836943332643,14.5350565841399,16.0444660276718,15.2306157224451,16.3629791672779,15.6801049602841,15.2848748737941,15.8714610845324,16.3242966142266,13.9094427275849,13.5789694697236,15.0515753036266,16.9325035973284,16.8837492122724,13.6694248455782,17.9465745508422,16.4498418304728,15.3228283878917,11.9396672675195,15.8518884090975
"A0AVT1",14.8524087481862,14.8646790132145,13.4121324144844,14.3656537033374,14.525356761794,15.5279698045745,14.2278484005813,15.6579517350565,14.8129644949513,12.9301524173249,14.9533812378297,15.8207772719952,15.9930951634782,15.4726032027655,15.8221602739099,13.5129624089216,14.2649596141926,13.4148319754356,16.4534331666715,15.4802953607855,14.5825199475052,14.7314231054968,14.1871566699148,14.9324966387462,15.5325474553721,14.6222068068204,15.909792441228,16.1796015654055,15.9370566917286,15.0050550642531,16.055214498258,16.1331153511042,16.0944624274686,12.9337408280283,15.2591436157991,15.0106900870109,14.2511217076217,15.3722024328444,13.9388178325235,14.2054057963038,15.6482757639328,15.3758519300998,15.2960950802844,14.8852016754715,14.2948207779867,15.4744480102756,15.9109375635551
"A0FGR8",14.8707178294197,15.1382828872529,15.1507234759285,15.1839555977001,15.7737419340515,14.7003733274085,14.4043862724172,15.0329374931178,15.2064676496093,13.8446953404517,14.7474645804233,13.7470145032089,14.3589261693337,14.1209622142609,14.7625695066938,14.4929418484692,15.6064032832608,14.8738872708094,14.2932110114326,15.0367061498469,14.2568781085879,12.752675510888,14.8024513310269,14.2426859772925,14.7321184666175,15.4257461950337,15.0270857849679,14.5944936284251,14.5260010685349,14.9710923253293,14.2079052843455,14.963483888643,14.2436964165033,14.586242784391,13.7890663458667,14.5202304491212,14.8117532056885,13.904247190961,14.3140156099617,15.3874181525257,15.1954038448849,15.0149682255613,15.7702318896355,14.408556608526,15.3963429776215,14.3636668223783,15.3713160473926
"A0MZ66",15.5462117448385,15.242301502868,15.4615312328083,14.5863742630671,15.2025260184987,14.7810551637794,15.7959107325212,13.3626956786858,15.2499305940546,14.2328967594429,15.8760569797652,14.2295968080716,15.3446062623994,12.9062335068067,15.1758990788319,14.5165771153276,14.5015925349551,14.8829101383051,15.2079669601737,14.6049763507861,14.9390968456952,13.4007012768782,14.5863742630671,15.6131746350896,13.6918229566228,13.9034182932129,15.2093550645597,14.2491783979314,16.187171995329,15.112346518758,14.1207239187552,14.3896244669566,14.6676899566679,13.7192858168261,15.2571474524439,15.072711390814,14.3083671374133,14.5203912251627,13.9874399014268,14.9629458708629,16.0950250684693,15.283823375105,15.6785274606635,15.2609772478637,15.2944332416616,15.6195347232888,14.8881959697074
"A1L0T0",12.0559317715603,13.2767066058017,13.6247506628867,12.6407078141745,14.4036155115323,8.88418238303682,14.3645563667338,14.2602527873094,15.676783989927,16.1875329885285,16.4445817935323,12.8057702579206,12.4089941056074,15.8482413258743,15.0810727052603,14.7763164911018,14.6475041957024,15.6908213392479,15.0831048319343,14.3466678503096,14.1817749666421,14.5295955785243,15.0070420208687,13.9164216155561,15.0953356806595,14.3045333723852,15.3195394492424,15.9132092352538,13.5794365516204,15.3890059053593,15.0535755070698,15.149170841218,13.8498156386773,15.1826520519265,11.1326933752692,15.4872388417962,15.3241493643717,15.5129336302456,13.396986410803,13.9720819227202,14.7812630071437,14.8017272297817,15.5239578095168,13.5443703991651,14.2823638671639,14.0033146900607,14.5605743059244
"A1L4H1",16.9203618108675,17.6015169437715,16.6840663001439,16.3158011783798,17.4013891290941,17.5049153375121,16.5458829125143,17.788249861872,17.3322793054941,14.250770398322,16.8173346530301,17.0155199580479,17.9689402865694,17.9283144359421,17.7608221415702,17.5598042126179,18.1613724997437,18.1613724997437,18.473913123459,17.7386844885012,17.9437257954496,17.426831980895,17.0155199580479,16.0344189395177,18.1378991597112,16.6971161004996,16.959558233972,18.2220974241224,15.769536130547,18.3324380643378,17.8169511488503,16.9709707314009,16.696780785032,17.7115311245185,17.8501112493334,16.5639971137429,18.9010729975533,16.345954441319,18.6898149445471,17.3877683518651,16.6780730104569,18.2500053955096,18.099407417091,17.4285230227004,16.4227464020939,17.3519086742119,17.5012391104764
"A1X283",14.1436270031651,13.2115292844483,14.8759285566897,13.9900845609702,13.7482338673588,14.4526465414334,15.8525342516668,15.6235611700404,16.2446295346991,13.4537437907822,13.8095655795228,11.7162825499384,15.5521586810975,14.1694563794846,14.326558438184,12.7764055110744,13.9540523544949,14.4444975042431,15.1715448891151,15.8505979571169,13.7045794704534,15.8233881393337,14.5504098820012,13.2219291146442,15.4289533328269,13.865581256809,14.9603171720213,15.8191636116165,15.3236748963097,16.0018097757977,14.96128378361,15.1726063200886,15.1046562068704,15.9850503046255,15.1833804676313,15.2795915063607,14.1615081848774,11.9955100358647,13.3572428849416,13.0863698203047,14.5809701337074,15.5158722891,13.9239252815166,11.7322789432874,15.1577178141134,15.5749863094674,15.1764496516302
"A2RRP1",13.6247568844077,12.3456357725156,13.6130916421035,13.7475296886382,13.4438419255481,13.0288703898512,12.8197215032372,12.9183513665224,13.2238116007117,14.3489270452255,14.0595478315198,13.6940815081845,13.3203514868794,12.072408748988,14.0542336014603,13.644039439782,14.6974742913966,13.6232184237922,12.4480484390124,12.8030228477974,14.0300167777431,12.709223158777,13.3609531881558,13.2329194490583,11.953866771061,14.4521481839342,13.1720675236443,13.8897594903152,14.0136923692243,13.2389441067122,14.1019853130471,14.1296403525654,12.8622156715305,13.778872416081,13.9070130175436,14.3708312097101,14.6949934954478,10.7688515789073,14.7587760246355,11.9015456013449,11.2290173987289,14.1571628138967,14.2610285945355,13.4700766291232,14.8309734624589,14.4091635027233,11.4147220109409
