"","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"A0A075B6I0",19.7205473389735,19.8393626776309,18.0730001269061,18.6102452513827,19.7205473389735,19.3896920600532,20.7792908637221,17.9386410841956,19.2639997419729,17.7697906763515,20.7792908637221,18.6448050475096,18.4904341528504,18.5212552137062,19.7205473389735,21.1031740408502,16.5273431987632,17.6302786277383,19.1428891147706,19.8393626776309,18.8598746554359,19.479487631741,18.6102452513827,18.0730001269061,19.3896920600532,17.4562178491542,17.9908874937184,14.8026346158319,17.5322875053832,16.0967976394866,19.0351102267723,19.5493864149735,18.0978590305312,18.5170264923959,19.8080270186457,20.1471588434049,14.8950812438939,17.3915502373601,18.5170264923959,19.9870290333275,20.7857068896261,18.3337841836468,19.6492405437981,19.8080270186457,19.8080270186457,17.8345103450983,17.9119995327931
"A0A075B6I4",16.6415572389587,15.4438606338772,16.7681417908805,15.7324888035501,14.1697240134098,14.2910005659711,18.4443873142747,16.7254785754463,15.2878428997216,15.5808639110748,15.5717086378133,14.8968132849493,15.8265328704875,15.1620352202856,16.5845130538368,16.6630102486569,16.4022893505962,13.7042506822368,17.3721565326687,15.2878428997216,15.5549254093889,16.0729907367046,15.7451074003443,17.1608268537911,17.3431720592677,16.3757703689977,16.1872813509275,17.7308620396421,15.3668075870551,16.6799813827953,16.9757438657497,17.064401161338,17.5630178922262,16.5384473136785,16.8176104309303,18.8528949381996,15.3120075161702,15.2044330203612,16.8413659006161,16.1707347410375,15.8016967254849,14.7022915895368,16.4501514734816,16.2940890003218,16.8993885698097,14.9350209751553,12.9453485347454
"A0A0B4J1Y8",14.6975150688649,15.1011587186157,14.8671155212108,17.164448487185,16.1638720223455,13.7539500128369,16.6067729507745,15.546803007124,14.645188845903,16.6373907077736,16.4521395015049,12.7542502064612,17.164448487185,16.1754974501271,14.3120856413201,15.9766424690265,16.6336193388029,15.4654247183558,16.1772964090335,15.3220237219451,12.2210010916018,11.9972207013819,15.0845787720805,16.4304164439516,16.6120420753669,16.2449578300331,15.8032673666266,15.9138926131333,14.8135793918452,15.6714121297811,16.1471172343927,14.9657679298913,15.6656508382167,15.2745630986439,15.8589958932795,16.3199143314659,13.8898840489349,13.542085261636,15.0467289683628,16.9298585709108,16.8789062360279,13.6388394855821,17.9675477423957,16.4453375403905,15.3114249319547,11.7589520374231,15.8380241013379
"A0AVT1",15.0203640358072,15.0323309250747,13.6825872825678,14.5741348319741,14.7193655719791,15.6557363508157,14.4468149888717,15.7798160235427,14.9829253764211,13.2204914389396,15.1139784871167,15.1874494722652,14.4213134891268,15.539473669136,15.3611130560344,15.5264248572854,15.8996433119143,15.2806450133905,15.1227020518613,14.4609800847421,15.5414243814273,16.0067478551674,15.3217151819163,14.6504337612503,8.63642577369178,15.7651345299318,14.8730626148762,15.6834006089332,16.0892311919432,14.021321152005,15.1995213658854,15.1752985324202,16.2059746481184,12.4590119915792,15.2283708157523,14.9436614766396,14.0510903105075,15.3588987656508,13.6792648254219,13.9966881674184,15.6825269333907,15.3631292914039,15.2717174561106,14.7958991264765,14.1016165894295,15.4774999098268,15.9875275608367
"A0FGR8",14.9586072828942,15.2161718137445,15.2289312414589,15.2613950196918,15.8408010031233,14.79559004468,14.5095771553944,15.1141643791545,15.2831072147302,13.958899325211,14.8390425987923,15.4364457796133,13.938153876327,15.5744719882183,14.625072942681,14.7088796963142,14.8356315777297,15.6267953752543,13.5198516018228,14.7697486481518,14.8688150084854,14.9689612577982,15.8302369037986,14.3799298720451,14.705033200171,15.7496815756262,14.3872169658941,14.7823595354153,14.8270437482581,14.7691578822024,14.373980544554,14.7080560672789,14.4679785046055,14.7826028306474,14.045846566391,14.7215470031229,14.9936271552525,14.1543315519656,14.5311238123787,15.5344640345254,15.35006837751,15.1812763683906,15.8993855773873,14.618985433075,15.5433091462859,14.5781753210614,15.5184344539689
"A0MZ66",15.6342808943972,15.3452997420986,15.5520986793079,14.7202079056663,15.3077755753709,14.9093618663805,15.8727675076699,13.5142244337804,15.3527909627744,14.380176633007,15.9498732024577,15.7278283108744,14.9703890614928,14.9381129828896,15.2377767781339,15.3271737798933,14.7799799273212,15.2190777378782,14.8282907912972,15.8644946856916,14.0165440855414,15.3425378297314,15.281144113799,14.5079447472757,13.016451519386,13.5352189589004,15.3279217718065,15.6183184522373,13.6538903100818,13.5293949433565,13.2099200583049,14.9453068872651,14.7588402717573,13.7877244013339,15.3565063367333,15.1651245170376,14.3951882446632,14.6095251835532,14.0630962429767,15.0543205554122,16.2010655177737,15.3826523668638,15.7806890138548,15.3600022442283,15.3920036933257,15.7158672622037,14.9793054076615
"A1L0T0",12.2061139827958,13.4686667337434,13.8104137149753,12.8263441437421,14.5616880184734,8.94779307393522,14.523574887815,14.4255997730561,15.7855583771018,16.2782808968244,16.5263776243059,11.4796467751461,14.2322356023056,12.6979022768898,14.421678012389,14.8325780449899,13.8355946088951,14.0025149584958,14.4346381485132,14.4782895512394,14.705594211858,14.1450505882982,16.20017169382,14.5157169439296,14.5904159213137,16.2563595192253,14.8003956287213,14.4337395223005,15.9813821040699,15.2095182775779,15.645413010446,16.1055603590335,13.8991241089251,15.204880205917,11.0865082100209,15.499533602879,15.3420147685965,15.5250933186973,13.4506119382282,14.0196078640361,14.8176346269227,14.8373987983956,15.535944192823,13.5943900452795,14.3264174359187,14.0510734686511,14.6011460057671
"A1L4H1",17.0255305491507,17.6851988949765,16.7947230225036,16.436713483868,17.4921764248008,17.5915483710351,16.6602791926615,17.8650911034253,17.4236913297035,14.4367710357854,16.9233956378302,17.9001442244353,17.37338523919,17.5740230856071,16.6168949703523,16.0489870984251,17.625105411388,15.5496925638013,18.4074866166726,16.4035932732411,18.0407743647665,18.0765097127534,18.1042754867982,16.6784605766729,16.5007050385459,16.2421136502756,17.6171691072115,18.4707625787018,17.5450927502705,17.726462528873,17.5656691317428,17.1011563000417,16.6117847470633,17.6207116571639,17.7663963631946,16.4734837331959,18.7785556440877,16.2594471155927,18.5261877607007,17.2899694250221,16.5934897441753,18.1648988756211,18.0222504714146,17.3256269824226,16.3321331836912,17.256991614873,17.402861874769
"A1X283",14.2288871796275,13.3008157504422,14.9540269735495,14.0798450122118,13.8381802166112,14.5335125445502,15.946186144001,15.7161009857414,16.340984182112,13.5420200631766,13.9000661315258,15.5185969386533,15.5370790483459,15.2185023191579,13.7261704719261,15.5801312152551,14.6109018430045,14.1049302577834,14.9023343666553,12.1398927108023,14.0328085435106,14.4167548617253,16.3198427943473,15.5622898233094,15.1925080169468,14.5423598983204,13.741187139145,13.9134230504877,14.6186409497599,16.4440717937831,14.4693029536879,16.2002018496337,15.2411268159623,16.0468191984854,15.3125788054841,15.4010542376127,14.3549113723243,12.1901027276695,13.5629271725293,13.2812489164368,14.752511095893,15.6145506947821,14.1269050558995,11.9239453477013,15.2889803996968,15.6690843025035,15.3060917560643
"A2RRP1",13.8583409540775,12.5157724824298,13.8449433112864,13.9869462600709,13.6719712742998,13.2391157227627,13.019194573308,13.1209924726853,13.4452686648966,14.6012009720572,14.3027533810948,12.8431698071967,12.9392066560985,13.0823246105753,13.1873536571267,13.7133541893523,14.5157867301614,13.9250038027431,13.1926696038949,12.8741390391934,13.8397351456969,13.7703589881603,13.7596745233227,12.8856256564153,13.7526278050141,12.7060039149749,13.8756257733225,12.7354127194008,13.2107142260561,14.152889995428,14.5761442834767,12.3790414430765,12.95946140244,13.8687997870805,13.9893867622564,14.4250505600113,14.7292981805025,10.8247103650041,14.7883270295651,11.9701406499803,11.2853219258113,14.227365233874,14.3244184837744,13.5706992922651,14.8565535271901,14.4611256543168,11.4725876963248
