"","HB02","HB05","HB06","HB08","HB09","HB11","HB12","HB15","HB16","HB18","HB19","HB21","HB24","HB25","HB27","HB28","HB30","HB31","HB32","HB35","HB38","HB39","HB40","HB41","HB44","HB45","HB46","HB49","HB50","HB51","HB52","HB54","HB56","HB58","HB59","HB60","HB61","HB62","HB63","HB66","HB67","HB68","HB70","HB71","HB72","HB74","HB75","HB76","HB77","HB78","HB79","HB80"
"A0A075B6I0",17.7255809167412,19.8469712774904,18.6124725447162,16.888070932512,16.5619785398195,16.283629566759,15.4121277812221,17.7255809167412,16.6138440478078,16.107154680945,16.107154680945,14.6906572949273,15.9037202608027,17.9804165101049,16.888070932512,16.5619785398195,16.807058531929,15.6533360063678,13.9869813121631,15.5208764615313,17.5996721285366,17.9804165101049,15.0922158346803,15.0259986393827,16.0231501836985,17.8618916190596,15.8206415006852,17.8618916190596,17.1868288072246,17.2706698651486,17.7255809167412,16.4600658550489,12.9608324255011,17.2706698651486,17.3663772863728,17.8618916190596,17.3663772863728,15.183820029989,17.2706698651486,16.4265246490227,16.5619785398195,16.807058531929,16.888070932512,18.1100277322591,16.5135040697983,12.2564486859441,15.6533360063678,18.9584360614104,15.9331331837535,15.4374310562578,17.8618916190596,15.5976360820886
"A0A075B6I4",14.0705083876106,13.492527758756,14.1108663303841,13.3360354839193,12.9139627075611,13.9075698019885,14.3429694125401,14.7979640584725,15.4934698153175,12.7393444698539,12.2766316106797,12.689210510121,14.9600738574501,12.696181631437,13.1038218932147,11.9418603049849,14.0759699023491,13.580224998758,13.4840599269946,14.8861874518522,13.6734149324593,12.7556047694821,12.7026595916308,13.9469951933116,14.1618880376092,8.58796625842747,13.8383910195889,12.4819242880825,13.19405986094,13.3726721342706,10.7012600560463,13.0941613624033,13.9057140906172,12.5947816890551,12.8670976579587,12.559385006801,12.752527615924,13.0224391929298,10.7617078789579,14.0015511603088,14.0689183014529,13.9996340788393,13.3256478677803,11.9628867769063,13.9894181468312,11.7135850613491,12.2758799447946,13.6199418401345,11.6764250382612,12.2484157866295,13.4797943438539,10.8985865577829
"A0A0B4J1Y8",9.5028621864518,10.9341303871208,13.1276871767583,13.6863853282297,13.9557934502712,15.1167089139582,13.9534912957076,10.8174896710453,8.39090132619686,11.6373946991426,14.4373658638162,14.423295944808,12.7713943264023,14.2746411454265,13.4589400136758,14.3136228208163,13.3687966806074,12.6746900619546,14.2320128949515,14.6204475657894,13.0942593331426,14.4711009381135,14.6448248814807,13.0821325123437,14.6948617778951,14.2074699897098,12.1079479258469,12.9819691449052,14.1337854949104,13.7938473942476,10.2151457873327,14.5951120945728,13.2980530023124,14.4612322024269,13.8311283844974,14.4028643931851,13.1194737642816,12.2611514291185,13.8878936073337,14.8208178145995,7.70667218471476,9.8205004838026,13.2614868525988,11.0479949314001,12.3898836066168,12.5553978261244,12.2002452655206,14.9667054940977,15.206630181066,11.3251111600637,12.7186083839401,14.4844006114255
"A0AVT1",12.1270067681075,11.9002859397092,12.3273824053586,12.3609156224204,11.4214099113632,12.7369272116911,12.3738231991599,12.7079425628279,11.8095348395393,12.3245056669156,12.5557779845677,13.3650299494961,13.1108681380253,12.9229292619151,11.7628078854104,12.3805403184639,13.0762559041227,13.5362979052111,12.0935900821927,10.2634616055192,13.3815939120157,12.9144004850736,12.2940194659947,10.3999711090723,12.8861012132189,11.0958424016805,11.5762780842968,12.8040390555135,10.058781590894,9.97166578124855,11.950797750977,12.9124029133015,13.1219031653325,12.5165658763979,12.1278097032151,12.9561123252013,13.196070246911,13.1601584547559,13.2031559936855,12.9604095017329,13.5505237002923,12.5370897809452,12.6113708063661,12.9098505195802,11.9281244918102,13.1061355273173,13.0231998867756,11.7225038124332,12.1215579177773,12.5804194153976,11.8224945127827,13.195320030205
"A0FGR8",13.4056404926902,12.1564141521484,12.9731326656006,13.121660574559,12.6012542357552,13.1777399056995,13.175590425271,11.9963008241781,13.1616237435718,13.3532198963266,11.4254191402494,13.0185922788886,10.9833031467466,11.8661022894377,11.9942207265533,10.9484905803232,13.1599601635556,12.9799861861061,12.0542438909358,12.5009855301652,13.2827764979852,13.1044868648425,12.8716112436373,12.5430260350003,12.0480755369173,12.4155111221562,13.5212541870289,13.7077555533492,13.0315767216527,13.2730557006697,11.1356948623917,12.8009736433504,13.0997705302684,12.6954788065132,12.1240321451982,12.5814217806088,12.436741347443,13.2955199306266,13.0580960887557,12.2894771207956,13.1952809543201,13.2354697153391,12.7450183941576,12.0821750732894,13.4360652381943,11.7083539640094,11.6938949560959,12.074076612389,13.3837243357754,13.2946644555377,12.5729670495933,12.1564141521484
"A0MZ66",12.8781478725969,13.1249580699844,13.027644533544,12.4085437005164,13.3667543142373,12.9281328698106,13.0971240649481,13.0629833826855,12.5584139974942,13.2590297888176,13.4862261113457,11.4376286851507,10.6751154486055,13.4850570295151,12.3485771801793,12.5640361230006,12.3687387271858,12.8607033768087,11.255696054329,12.8528188689779,12.7944687011881,13.0418549922988,13.3118565012791,12.6553311754631,13.7497145550749,11.8919583301462,13.2754897273243,12.4271641342951,13.50023697786,13.6194306575872,12.7376498883794,13.0777389301464,13.3420638662271,12.814180106136,13.0395065869452,13.2863871265367,11.033733563425,13.5454143359444,12.555269628845,13.7237111772277,12.16508695198,13.1160713480384,12.4367113257825,13.0802679638213,12.7040605624304,11.9819463694039,12.137421410945,12.839962429499,12.6971764314118,12.4255755679065,11.350280114356,12.7798371161501
"A1L0T0",12.3362249444457,12.5912709383863,12.1305836414727,12.6706639499285,13.1617779777427,12.7057872994865,12.5999657477915,13.3045624484997,12.4746801979966,12.276544213971,12.6815399014025,12.0012789280367,12.8574630136882,11.8553895810732,11.1698183632244,11.4118079318844,14.0584135409291,13.4593914165253,12.5637449275702,13.7211766171028,11.1254558124811,12.2756303065295,11.3853863363525,9.94726259051607,13.1086294285612,14.0529844720075,11.3897877318203,12.9067658281239,12.7659896210512,13.18894437631,9.28666865064892,10.0603641903891,12.8513552444785,12.104156152257,12.8762069108381,12.9523496143252,13.8799336109744,9.67405822326558,12.0215175302508,13.6674571342659,12.4689416283091,8.65389894550629,10.7428174894294,12.6446083993401,13.0903971741582,13.4326298624405,10.1754307936587,12.7313332688342,11.9440816986227,13.2032266732375,11.5143837934787,13.0317683108261
"A1L4H1",15.5862469953785,13.8228699950652,15.4682798846484,15.4421371466233,15.967597326521,15.4682798846484,14.3108882960313,14.577699945925,15.266728045684,11.2772073180166,14.2291110421851,14.5406277115737,13.7904609341371,14.8947040664935,13.3533964274543,14.7001461712831,15.2030158507227,14.6959491181304,14.880360488766,13.4528808947045,15.0786872299892,13.8665647588237,15.1903150492492,15.3336046358304,14.880360488766,13.4202955776769,12.6059280414371,15.4220723723639,14.152684237725,14.2556157656499,15.7763268019373,11.1998484882407,14.5089578466687,15.3964876487869,14.999738133683,14.2370813703293,14.8432672473074,14.7429246877069,14.0613598831635,14.4529745691144,14.6533830701854,13.7465129618493,14.4885985936667,14.9821004333124,14.4994017598207,14.5182189806186,13.7991201725548,14.8699121822873,13.5926079875651,14.8668554325536,15.6384558604829,14.6149297029626
"A1X283",11.9768530352556,12.2743584780806,12.482125093696,12.4862519388265,13.1840795810898,11.6742790006121,12.744704120112,12.5604393521934,13.254984183844,13.7696917642425,12.2519843280527,11.8057655086947,13.7927479497677,11.3288449807861,12.3212698622501,11.8049283568298,13.8116582873232,13.5703474440737,12.4346430679313,12.6795473110315,13.1294686995186,13.3300776202901,13.7468802378031,13.7007084797706,8.49272700664812,11.0420957620112,11.8071868895938,13.7992492864542,12.9853368064317,13.1259838046829,12.3950368685328,13.0914287632612,12.6345192110518,12.7681095531112,12.7374269932499,11.7930341426065,12.6695623663701,14.4645942778538,13.429406336011,13.2086926226272,12.7977417384679,11.7104173205015,11.4635239414756,13.2411097863114,11.1818191298999,10.440384320633,13.1553039197226,12.7705932984833,12.3810953692552,12.5872185467009,10.8461982336122,12.5886191475813
"A2RRP1",11.9746894787537,11.9480327860417,11.5791210582327,12.365199412657,9.41465882626601,11.4311551387468,10.6661854861206,10.1304802399596,11.171326738984,10.5832155217562,11.4327211891354,10.6065771059197,11.7729930962939,10.433787959343,12.7391829910867,12.1301759051869,11.5299214157327,12.1063423918902,11.8389094599162,10.0010056073105,11.8979144206431,11.2814637179804,11.2334079347834,10.7242564721192,12.2710699551484,12.5714148010137,11.7449947271931,9.30141945436838,11.8389094599162,11.8900576698891,11.2696653215721,10.6306864403549,10.9820439366368,10.4439201509142,9.893772299291,10.8606293242605,12.365199412657,10.385572277988,10.433787959343,10.1974267595886,10.6306864403549,10.7600562574653,10.7932649303651,10.7720717330223,11.3325361538973,10.999015707004,10.6306864403549,10.8359827736925,10.6065771059197,10.6524480114753,11.4541299333434,12.118878205347
