"","HB01","HB02","HB04","HB05","HB08","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB48","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80"
"A0A075B6I0",17.4087872363938,17.6300040017955,17.5168711074111,19.8348008190272,16.8537778794962,15.5694566209985,16.2740339445309,16.1701102497392,17.6300040017955,17.4087872363938,16.1047648709163,17.0681582964635,14.7052043127177,18.3803023630525,15.8959650891064,15.4232673461534,16.8537778794962,16.9361175815531,16.7759493375458,13.9962889791298,15.2611124174056,17.5168711074111,15.0956574997572,17.7939862467687,15.8240398113193,18.3803023630525,17.7939862467687,17.1427699154343,17.6300040017955,16.4383242080205,12.9658487613909,17.2268087157982,17.7939862467687,15.1896314243795,16.4078913523726,16.7759493375458,16.8537778794962,16.4852858731476,12.2436148049238,18.90123362181,15.4364280551254,15.5988444073839
"A0A075B6I4",14.2538268239416,14.2150468381407,13.3158820762222,13.6362897145611,13.4801783180045,14.3522645780913,14.0514729298897,13.539432711518,14.9375868122415,12.2674402304112,12.8797873397438,12.3709018751635,12.8291383157123,15.8804687051219,15.0953556937151,14.3184278540284,13.2458018857752,13.1942619743238,14.2209783704047,13.6284431577384,13.4227876442637,13.8176033499061,12.8426827560683,8.60343091116124,13.9806695527339,13.4155874845445,12.6182784046679,13.337505650997,10.7819922418076,13.2368927625737,14.0499240491828,12.7327870346227,12.6967601553709,13.1646285067052,14.1459266913408,14.1438019351512,13.4696935893592,14.1337424481686,11.8270597884479,13.7636848442009,12.3796179597205,10.9859152591679
"A0A0B4J1Y8",12.4469856499184,9.22374261829784,12.7901500611259,10.7965864603033,13.7088089346864,12.5947945451768,15.1840780908716,14.5192721385517,10.6595027860681,13.6625135864612,11.5462732371005,11.5880222182278,14.4747204473795,14.0310672569724,12.7555969688895,13.1571245995413,13.4721996769802,12.4001740107345,13.37797811365,14.2752763109905,14.0561271629794,13.0916527815554,14.7011275957859,14.2494067974885,12.0536349615807,13.9007903543978,12.9745663125295,14.1761252324148,10.0103346636817,14.6505792514702,13.3043911166437,14.514491205343,14.4563319935703,12.2173537357559,14.8855414686909,9.57480056448948,13.2668530385304,12.3523781872188,12.5281966710478,15.033391955649,11.2177086927915,14.5385554813291
"A0AVT1",12.7339990433791,12.0612335794971,12.7443273116832,11.8264494264783,12.2977003654067,11.4900452993928,12.6757388026955,12.3369905038952,12.6468893379625,12.4695403574343,12.2606209014612,13.2619039418287,13.3009919567937,12.2219890518079,13.0489100667184,13.3662414720706,11.6890957540805,12.7028543990128,13.0144379713006,12.0248003697409,11.0211630252001,13.3172827933984,12.2297280444777,11.0031040017892,11.4993118666271,12.8128621736812,12.7430698207578,9.93443777677476,11.8802252178907,12.8521126369781,13.059906348721,12.4542005272352,12.8952382040605,13.0969778287587,12.8995345776694,12.474288569842,12.5501470395964,11.8559819138614,13.044116708871,11.6494179985104,12.5190453823528,13.1325725171082
"A0FGR8",12.6371989805641,13.3926310271331,12.9034610986826,12.1185364666967,13.1071966954101,12.9157673006333,13.164049496168,12.9476179303458,11.9495734179036,13.5153409688764,13.3409835471796,12.4646021289538,13.0020439605524,12.1579488199011,10.8953317912113,12.8013549452636,11.9472921878746,12.9696328259115,13.1449579961683,12.0095877921882,11.5366105253227,13.269684804123,12.8520381074559,12.3852582291157,13.5106516150956,12.5115113078887,13.6992036891903,13.0157868452424,11.0594349357558,12.7804708943067,13.085494436392,12.6724162229401,12.5549210628583,13.2830478078015,12.2546401886693,13.2206923912771,12.7232920422066,13.4252221064178,11.6506014625902,12.0327570770568,13.2822835137159,12.1185364666967
"A0MZ66",13.372905203361,13.0537699109919,13.1289907581094,13.2900796809068,12.5965911199861,13.3055771681954,13.1003878045559,12.5722818256982,13.2308484456114,13.0958708723077,13.4180025046683,12.7441901653206,11.6496600495776,13.5669834318124,10.8857447500458,11.4131861327627,12.5398966425111,13.1353064129316,12.5595194934485,11.4628026205532,12.2513398665857,12.972515194122,13.468920804044,12.0940222985654,13.4341456193438,13.6295183221731,12.6152674736661,13.6473246491471,12.9180370697036,13.2450454145856,13.4976634157853,12.9923378384387,13.4446716323638,13.6895329220406,13.8583533678332,13.2814365554728,12.6245014607304,12.8845714488344,12.1853125168429,13.0171501884852,12.6139411971387,12.9587065751131
"A1L0T0",9.99248889888257,12.3724334503172,11.244784669832,12.6095112032736,12.6833071214139,11.5721024421045,12.7157839245068,10.6100235460385,13.2663804205278,12.2647700124377,12.3168473236256,6.82176224483689,12.0587110964833,12.2301401655033,12.8556116257864,12.145717547679,11.2724352977907,13.2813609151545,13.9569536418489,12.5846363193469,13.6817681649274,11.2309876200892,11.4758914695697,13.951878518032,11.4809746107846,13.8866482314905,12.9016390149443,12.7720838549634,9.49212501431168,10.19775624817,12.850575217503,12.1545068621919,12.9423814682033,9.84902903746869,13.6003841999852,8.88463865438788,10.8608948291797,13.0697600604164,13.3845019496404,12.7392785796778,13.1742184798919,13.0164770906253
"A1L4H1",14.7619120739504,15.8292527063511,15.3341858647204,14.1384452008863,15.6938319633154,14.5730242543316,15.7211423635599,14.2766715744804,14.8670295685823,15.1584618336537,11.6079202967173,15.2487445406112,14.832579794396,14.4608106637914,14.1070338801096,15.4993675136825,13.6825298476009,15.1016935348288,15.4633010429294,15.1627477410395,12.5204252032466,15.3470837599414,15.4522769604726,13.7474778822312,12.9450867750162,14.6809930073791,15.67874075945,14.4568761858885,16.0124627248692,11.5299824678321,14.8018011836066,15.6547021912971,14.537346568298,15.0256318975909,14.7458418656008,14.0636202889333,14.7816744951049,14.7925172803586,14.8110543305266,15.1524546145146,15.1494035704157,14.9034222312349
"A1X283",11.8842238196169,11.6864168123055,10.9421391180533,12.0292535703007,12.2720848183614,12.5641652310366,11.3336112797184,11.7366106777867,12.357321115095,11.4981038018991,13.7264789282909,12.1785986445778,11.4888468452317,13.4526565971365,13.7550913967323,13.2441191382293,12.083253213802,13.8127721580171,13.7767168055923,12.213422824204,11.1969839417286,13.0038429889966,13.7019258068826,10.5954911021838,11.4906232331929,11.5606570445208,13.7613433310387,12.8390720643566,12.168067617364,12.9599941219413,12.4423657896858,12.5938884226856,11.473872563233,14.5096575714399,13.0932200249357,11.3767912994636,11.0865965647672,10.7624289365046,9.89097173811758,12.5967081451458,12.3874625984303,12.3890365897143
"A2RRP1",11.5918253344943,11.9852700584959,10.2165941846463,11.9531072617894,12.4617653707143,11.5804162541721,11.3216622104545,11.7161729067013,9.67442355912408,11.4065539366561,10.2640865422397,10.9722110810697,10.3026130401332,10.7398719520682,11.7373182249903,10.8476814283523,12.9154304857497,11.1795896442744,11.4452060811057,11.8151412896815,12.3186390743297,11.8886235671627,11.0788034694379,12.7138902527415,11.7036662815552,12.0336073114371,8.68868172284003,11.8166697611876,11.1253099800568,10.3283800646233,10.7739751780653,10.0906995193881,10.6221427798643,10.0249154839055,9.77338765201304,10.4922869075279,10.5335076435458,11.1984083203978,10.7937503714283,10.5917276427277,10.3556977740563,12.1617548217576
