"","HB01","HB04","HB06","HB09","HB10","HB12","HB13","HB16","HB17","HB19","HB20","HB23","HB25","HB26","HB28","HB29","HB31","HB34","HB35","HB39","HB41","HB44","HB48","HB51","HB59","HB61","HB63","HB67","HB71","HB75","HB77","HB79"
"A0A075B6I0",17.5384365155975,17.7011383997028,18.8174560033186,16.5701516434481,15.4796478327224,15.2939192204419,16.1516028009433,16.6229574831307,17.5384365155975,16.0697208541451,17.1296763663827,18.6053175672524,18.060178535482,15.3085930114248,16.5701516434481,16.9745553181052,15.58628432623,15.1093418628576,15.4146792330185,18.060178535482,14.8520687038138,15.9849448248001,18.6053175672524,17.3076326446574,17.421850368776,17.421850368776,17.3076326446574,16.5701516434481,18.2163094854195,15.58628432623,15.8864443290329,17.9415271877947
"A0A075B6I4",14.2732222154886,13.2551048595307,14.2754621956209,12.980146911341,14.3832577086818,14.5344901306896,13.4945862364164,15.8323705957046,12.151047768491,12.2989352933134,12.260835400917,16.1118333141381,12.7449344342228,14.3443379687059,11.9350861713893,13.1244943605874,13.6938944784549,13.3715499419448,15.1432211604054,12.8101361244361,14.0941908923451,14.3315699794648,13.3643710111513,13.4706170654188,12.9296196468645,12.8069581299951,10.6665188562389,14.2293442977497,11.9573060788732,12.2975443631059,11.6499444735327,13.585639464368
"A0A0B4J1Y8",12.4446587399618,12.7641268707085,13.0816911841832,13.9087501660918,12.5824969591201,13.9068530299277,14.4349436115233,8.40906396521326,13.5936920065469,14.4010280357014,11.6466371262163,13.9491304437723,14.2362779204565,13.1087579376543,14.2775425674091,12.401819436021,12.636297802893,13.9748433038488,14.5928395197615,14.4397180749615,13.0370907448148,14.6702954858038,13.8232324753676,13.7446946377383,13.781434350514,13.0733926688511,13.8407502250741,7.7537322861108,11.0217948000904,12.1717732806733,15.1972756833878,12.6791953216997
"A0AVT1",12.9325338807446,12.9419734669711,12.4915239061484,11.6177948165004,11.7653453199706,12.5361149359302,12.5614841868493,11.9959797485351,12.6847791711722,12.7067897324028,13.4342236479085,12.4521139460141,13.0528676664615,13.533712170356,12.5426294421526,12.9030254081228,13.6346501160522,11.3353610860025,10.5161311085912,13.045225204601,10.6489985087807,13.0189994795526,13.0066354096229,10.2521105846398,12.2989225046401,13.3113012894923,13.3182428782954,13.6482535036915,13.0410513858018,13.1466390547595,12.2935667310379,12.0086748489714
"A0FGR8",12.8683520617416,13.0920408170718,13.1356392049157,12.8167383136899,13.1031391799974,13.308109632287,13.1295395806518,13.2963763498597,13.6114674365595,11.7944282276883,12.7251429039467,12.4655257716555,12.1746102575591,13.0049797900919,11.3783870174654,13.1476852575381,13.1415629001042,11.941812628553,12.7320384675814,13.248846928285,12.767968373898,12.3365816865467,12.7638583423228,13.391780066503,12.402111090415,12.6773100329231,13.2097833200021,13.3262127135209,12.3656928613611,12.0269420425611,13.4893173202043,12.7929096257453
"A0MZ66",13.4736932647135,13.2374914577523,13.3038308917044,13.6163286749943,13.4086300084052,13.3666041373577,12.6994632744933,12.8668173797155,13.2071998022039,13.726226894758,12.8659557630619,13.6620427064832,13.7242355970938,11.5947348863552,12.8727169949132,13.2440934879395,13.150735875777,12.3900151669441,13.1430967668921,13.3167188129288,12.9577708484774,13.9722125154715,13.7215068972788,13.8510269988836,13.3143779710054,11.4347693457733,12.8636304546416,12.4963118635632,13.35110918028,12.4701440562485,12.9983326927468,11.7332225696206
"A1L0T0",10.2721847383614,11.4389223022498,12.3375641447076,13.2571944312724,11.7549778221692,12.7561062078373,10.8538528334354,12.6456495245582,12.419375926238,12.8290975781253,7.05002800147627,12.3870710060129,12.0872093952798,12.3044403701585,11.6888128704052,13.3989863684623,13.5251079590593,13.7961514468132,13.7641947506086,12.4694161411476,10.3749569993009,13.210070633812,14.003879573415,13.2809157064412,13.0009133857092,13.9109769099114,12.2398789274042,12.6406699943272,12.7961170954777,10.5745170443351,12.1691524121116,11.7797161813865
"A1L4H1",14.7800779235002,15.390308521058,15.8049925730163,16.3215614357086,14.5823040111257,14.6188828616772,14.2750146758175,15.5984849155634,15.1972515250511,14.5387004983148,15.2960035681763,14.4647385699853,15.213970756575,15.5763288857763,15.0181265480891,15.1370355900291,15.0136350884031,12.5085997498673,13.7715509583997,14.1771784981228,15.6720720739312,15.2006734507725,14.6939561942246,14.5644198744549,15.3249633321869,15.1629347012272,14.37079516878,14.9700730575,15.3047013298345,14.1113017661947,13.9076364272756,15.9778354503871
"A1X283",12.1436937029895,11.3430584123613,12.4652407031574,13.1482179042418,12.7176361250114,12.7197894033387,12.0174192412668,13.2169482195283,11.8152549512492,12.2423483233344,12.3893356982407,13.4887350631573,11.335546516941,13.3053069826003,11.8058835175163,13.8031502178885,13.5287427970359,11.5595883849065,12.657877470125,13.2927367949153,13.659804488683,8.55481546365061,11.8688700756164,13.0907442362058,12.7129533716716,12.6486146638686,13.3888300254013,12.7715641743025,13.2030944853018,13.1197018473568,12.3677636912067,10.8577048124926
"A2RRP1",11.902559757438,10.6870417626606,11.8239881699585,9.45263734471021,11.8931656752339,10.8233694516471,12.0199981664238,11.3727296237494,11.7342283480697,11.6653264065023,11.3443719467799,11.1443021820282,10.566910884083,11.2360900396093,12.430251700005,11.5280158971467,12.402220318031,12.5602059113705,10.07981481275,11.4919324593928,10.8921890429636,12.5854626596739,12.3022449366284,12.1646014482682,9.97623107564784,12.6880598283843,10.570879375774,10.7871094947577,10.9460558924197,10.783667938334,10.7583604284748,11.6879220202438
"A2RTX5",13.5219387438355,12.7761600081769,13.9882035556752,12.9476904052197,13.0785432516323,11.6234904424992,12.3225167669156,12.3633905271463,12.9141946936004,10.9049444940911,12.3092094051817,13.2556553480131,6.68588485471652,13.0623809564939,12.0624065947128,13.6932606251241,12.1286673348445,13.5095266941553,13.036925158213,11.2933847551029,13.1241992136957,8.28019714146009,13.183049513971,14.4374733386076,6.85056492980962,12.9133140489896,11.4563634057299,11.485757412271,10.8794750442933,10.491914841083,13.2304789936297,7.20502560539304
"A3KMH1",14.529889106771,14.2612970043692,14.5262053973154,14.316085466937,14.1992123519547,14.384704128652,14.5251468675045,14.5231547412477,14.2098338492833,14.6512541537427,14.5735646539725,14.8358986646881,14.3675527654279,14.1968143766239,14.6753609840975,14.1651384368322,13.1352570093421,14.6449020008727,13.2979709198218,12.7634148024646,14.3447723469162,14.5472495211836,14.2480604950247,13.2603014771087,13.4839413083512,14.0792098266972,13.3536931651933,13.5672027410738,14.194663993067,12.8384775075072,14.2053531998935,12.7953132007442
"A4D1P6",13.4260895642472,13.3435809630003,13.616060653844,12.4495334182188,13.2810940238059,12.9868926625337,12.8826668155796,13.5999086334017,13.3258178354255,13.6738020017678,13.2221353241137,12.882163469567,12.9056052180105,12.4075234053943,13.1581231021803,12.3887895129195,12.5087644896916,13.5708798794231,13.5918979305464,13.1551648611385,13.7634084066709,13.1429802176494,14.1436556520572,13.5635838714406,12.3175328914266,12.6450125733816,12.128155766631,12.5368309009762,13.832369159419,13.5293520049767,12.6979421485394,14.0710581338089
