"","HB02","HB05","HB06","HB08","HB09","HB11","HB12","HB15","HB16","HB18","HB19","HB21","HB24","HB25","HB27","HB28","HB30","HB31","HB32","HB35","HB38","HB39","HB40","HB41","HB44","HB45","HB46","HB49","HB50","HB51","HB52","HB54","HB56","HB58","HB59","HB60","HB61","HB62","HB63","HB66","HB67","HB68","HB70","HB71","HB72","HB74","HB75","HB76","HB77","HB78","HB79","HB80"
"A0A075B6I0",17.7295941904803,19.8532399827016,18.6223742557832,16.8911937777794,16.569700195392,16.2861097787305,15.4186269321405,17.7295941904803,16.6216208460364,16.1094472673768,16.1143927743855,14.6914438818771,15.9057965587087,17.9896462283605,16.8911937777794,16.569700195392,16.8100952459868,15.6600916063737,13.987019761011,15.5274912324698,17.6035515378776,17.9896462283605,15.093429352847,15.0320872633963,16.0302989647756,17.8660498163609,15.8226294704581,17.8660498163609,17.1902692875326,17.2791449910624,17.7295941904803,16.4627336515239,12.9597798877315,17.2741994840537,17.3749541670292,17.8660498163609,17.3749541670292,15.1851309404079,17.2791449910624,16.4291567849738,16.569700195392,16.8100952459868,16.8911937777794,18.1193952512868,16.5162286810083,12.254647257596,15.6600916063737,18.9637600888633,15.9401862600614,15.4390116022426,17.8709953233697,15.5993869557339
"A0A075B6I4",14.0507511596119,13.4780600088979,14.103815707579,13.3229998970535,12.9178657313547,13.8893037313813,14.3337946628731,14.7715494086205,15.4737660852186,12.7317695920811,12.2863672675011,12.6820944409499,14.9321756349743,12.7020777120635,13.0929114445468,11.9546596726215,14.0561626924628,13.5780306212734,13.4696696717942,14.8720413592006,13.6572917659602,12.7609570301706,12.695420441133,13.9414442622855,14.1543704818455,8.61838335340694,13.8207580491915,12.4767052304817,13.1823235857064,13.3723772085753,10.7123370195592,13.0833393235609,13.8874650028366,12.5885297996852,12.8714295744228,12.5534570555835,12.757908037654,13.0122735304929,10.7853075920532,13.9824250049244,14.0622515724516,13.9805254679193,13.3127073447726,11.9754937175686,13.9704030285756,11.7153975777172,12.2856224806014,13.6043080408197,11.6916535773458,12.2453337178004,13.4785190728708,10.9078576576294
"A0A0B4J1Y8",9.51020681891995,10.9351537551443,13.1257936956644,13.6752532307059,13.9502425982242,15.0992597239267,13.9479506112363,10.8190281883685,8.40992808630269,11.6353120667052,14.4296881241783,14.4089092463104,12.7643033303886,14.2676820872881,13.4488124392591,14.3064915982445,13.3590672285314,12.6747972642784,14.2184710071899,14.6119612370606,13.0857423883888,14.4632742059068,14.6294597898419,13.0804402256034,14.6860467952404,14.1940364968627,12.1037870725841,12.9739481351369,14.1206774331578,13.7890117847005,10.2193445852195,14.5799665618344,13.2886359930742,14.4466779566337,13.8261281216742,14.3885679316123,13.1176165581166,12.256313945258,13.8826426381897,14.8046754417564,7.72872087554055,9.82644225154254,13.2522313395092,11.0552865105489,12.3844775709391,12.5492607889821,12.2024478759736,14.9499188013425,15.1955549487884,11.3244077428085,12.7185216188949,14.4697440412462
"A0AVT1",12.1274187219231,11.9002241432411,12.3226406741083,12.3618163464425,11.4147750822041,12.7386136403102,12.3691785094535,12.7095684258354,11.8037110267131,12.3253303095875,12.5515135031194,13.3680288461949,13.113335944435,12.9194319707732,11.762458818171,12.3759096646853,13.0786513856571,13.5340822941463,12.0939322093208,10.2544071559734,13.3846274203644,12.9108853724088,12.2947804054486,10.3912019064379,12.8825269670895,11.0940996597205,11.5755392489588,12.8058657193958,10.0548718320928,9.96200160230329,11.9508415027511,12.914456011644,13.1243940302646,12.5177918433741,12.12265094974,12.9582567576591,13.1931437044739,13.1627292570028,13.2002442574511,12.9625629134655,13.5483378151001,12.5383586341691,12.6127948753994,12.906325899419,11.9281208660979,13.1085934445797,13.0199121186728,11.7220705267912,12.1163861007246,12.5817788091632,11.816697780172,13.1979643052178
"A0FGR8",13.4045253581801,12.1567421511549,12.9730032624254,13.1208734998444,12.6015544346535,13.1768880469184,13.1752271384758,11.9968137895934,13.1612765913919,13.3521653192328,11.4270776894972,13.0179242709173,10.9849863491742,11.8672517518994,11.9947360949427,10.9507000878461,13.1591288443204,12.9798488655945,12.0546899192565,12.5014015616593,13.2818032986416,13.1042057184313,12.8711130313639,12.5433935003862,12.0490147799144,12.4155398066914,13.5200054930573,13.7062914089313,13.0308937137699,13.2725798198625,11.1372020185855,12.8005570331735,13.0990087434105,12.6951840662729,12.1248836414646,12.5812588015326,12.4372315952183,13.2945320097917,13.0578685339808,12.2896514025583,13.1948949205963,13.2345511658227,12.7446664247051,12.0830749237583,13.4349149563545,11.7091995719182,11.6952433562253,12.0744997295173,13.383120608147,13.2936775229663,12.573299926466,12.1567421511549
"A0MZ66",12.8771854601602,13.1238346950657,13.0366533617121,12.4078875503568,13.3755419848011,12.9271378586024,13.1060875805726,13.0619004258678,12.5677288442649,13.2578189761963,13.4949358658542,11.4376057377207,10.6755897902843,13.493767546465,12.3479601384523,12.5733473031834,12.3681085366802,12.8698210791774,11.255791758106,12.8619417133948,12.79356086189,13.0508545528161,13.3106112366018,12.6645828156496,13.7582524700309,11.8916390820444,13.2742681800065,12.4264958404265,13.4988688568769,13.628053539938,12.7367791046699,13.0766463501868,13.3407989011789,12.8132594116289,13.0485076790247,13.2851584722499,11.0440427627366,13.5440167515933,12.5645865262821,13.7221973128265,12.1746583152891,13.114953768783,12.4360368055114,13.0892424725081,12.7032116847091,11.9815684337021,12.1470108169209,12.8390249205053,12.706400781331,12.424908310055,11.3603828711501,12.7789388191491
"A1L0T0",12.3359111853034,12.5912141509211,12.1365978470949,12.6706871549188,13.1688311635659,12.7058458930195,12.6064528795131,13.3052243381359,12.4810410982203,12.2761703234886,12.6881092231901,12.0006276939227,12.8576744281382,11.8611265148271,11.1683293907381,11.4170979347982,14.0598349734874,13.4667444628691,12.5636604062635,13.7287934252136,11.1239221424918,12.281790653968,11.3841145594502,9.95107699027772,13.1156290645457,14.0544004345057,11.3885203895454,12.9070269176411,12.7661088714536,13.1960249336472,9.28328231003517,10.0577573869771,12.8515605050435,12.1036085721249,12.8829723694367,12.9526566318016,13.8877103747479,9.67106219714627,12.027421846276,13.668484658565,12.475296746635,8.64987505756291,10.7408982920689,12.6511405107803,13.0908432815,13.4334207864427,10.1794750843703,12.7314176012173,11.9499079941496,13.2037864619792,11.5197771467365,13.0321553466369
"A1L4H1",15.5908268064081,13.8212248722192,15.4827124865701,15.4462082324743,15.9837925793438,15.4724432575234,14.3212351658004,14.5787194640097,15.2804491452611,11.2665756983344,14.2391692283672,14.5415163601919,13.7887014033901,14.9071118764734,13.3500940061892,14.7118671683849,15.2062428095068,14.7076552991274,14.8824484351367,13.4601988946759,15.0814752937197,13.8753431128199,15.1934971726695,15.3475618178513,14.8927176641833,13.4172293184954,12.5999869664546,15.4260726271375,14.1522033990062,14.2657675167083,15.7815776176509,11.1889437825423,14.5097346968371,15.4003975863949,15.012516726611,14.2368984636861,14.8554934791005,14.7445274690938,14.0708258874852,14.4535537915488,14.66493898789,13.74459828945,14.4893035732121,14.994816763027,14.5001448758479,14.5190285237089,13.8076604390123,14.8719632448737,13.6004192410572,14.8688957044441,15.6534892041612,14.616080646588
"A1X283",11.9793273872801,12.2765095638935,12.4809868037213,12.488172783486,13.1821785549255,11.6770821263255,12.7432805145938,12.5622795856082,13.2530061135016,13.7702180370038,12.2510961065565,11.8084257625839,13.793249169926,11.3289598325672,12.323369974658,11.8045259015394,13.8121389597123,13.5680267034076,12.4366199902344,12.6781945042007,13.1306906317701,13.328017954228,13.7474312973235,13.6982460902064,8.49592355368943,11.0455858112263,11.8098455990258,13.79974344233,12.9867153508467,13.1241459047638,12.3970568265058,13.0926920292979,12.6362789500894,12.7697241343212,12.7360112949794,11.7957082302611,12.6682204090727,14.4643654770243,13.4272387404358,13.2098284710167,12.7962605028445,11.7131811787056,11.4665560713675,13.2391467917401,11.1851573572076,10.4445281830229,13.1534341608822,12.7722051808823,12.3800668570914,12.5890296821312,10.8468375241531,12.5904287611338
"A2RRP1",11.9755969468277,11.949050711236,11.5732267716655,12.3644887279017,9.41773340420255,11.434314845634,10.6640741232404,10.1390295428205,11.1671222264127,10.5898888291211,11.4274335385122,10.6131536100787,11.7747363320234,10.4326395801998,12.7369226336266,12.1219982171432,11.5326718656032,12.0982634625811,11.8403795585472,10.0016505448709,11.8991400208995,11.2768028317072,11.2373870451475,10.7219044809677,12.2623084455786,12.5698496232349,11.7468539795364,9.31340412964723,11.8403795585472,11.8828749578193,11.2734941924982,10.6371630428614,10.9870646219507,10.4511706553716,9.89486157863559,10.8661531143138,12.3560478596214,10.3930645580508,10.4326395801998,10.2056986567019,10.6287221745812,10.7659967913155,10.7990678577081,10.7695216101642,11.336104507468,11.0039660665313,10.6287221745812,10.8416086914564,10.6047127417985,10.658834440737,11.4487535714813,12.1191881997702
