"","HB01","HB02","HB04","HB05","HB08","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB48","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80"
"A0A075B6I0",17.4056380277053,17.6256048223419,17.5138438510988,19.8328893392514,16.848502874452,15.5642320726942,16.2681048071925,16.1655634263967,17.6256048223419,17.4056380277053,16.0986447451764,17.0646247519043,14.6975050453886,18.3782493269675,15.889609371975,15.4178778506717,16.848502874452,16.9324350538127,16.7705865175895,13.9877898338105,15.2555399605004,17.5123442787052,15.0883987856165,17.789772090522,15.8176029400023,18.3782493269675,17.789772090522,17.1378209836995,17.6256048223419,16.4325804414303,12.9561869575546,17.2219546060874,17.789772090522,15.182478742187,16.4021132480128,16.7705865175895,16.848502874452,16.4795950939884,12.2331380955294,18.8982687865514,15.4295538366417,15.592153445291
"A0A075B6I4",14.2072045142143,14.1911711577719,13.2666436671102,13.6107997747611,13.4542529549778,14.3059168292577,14.0271410119847,13.4908178259993,14.9157264279616,12.2152775253057,12.8521873765099,12.319027743501,12.8013970830903,15.8383833969985,15.0739353556904,14.2719857283851,13.2192228040282,13.1446843445119,14.1971192341638,13.6029313324568,13.3738474143264,13.7926191269844,12.8149793013667,8.5639034080064,13.9561401512651,13.3666271720453,12.5899490452027,13.3111823478174,10.748541144508,13.2102888316533,14.0255878111664,12.7047770606619,12.6686496958571,13.1378230175632,14.1218582222454,14.1197275397223,13.4437389825075,14.1096399949914,11.7965235756044,13.738550232709,12.3506229326403,10.9530329404467
"A0A0B4J1Y8",12.4504728682334,9.22970114400901,12.7932165065084,10.8006164348765,13.709268071636,12.598100526801,15.1827283184215,14.5202184113773,10.6637008465433,13.6645103785033,11.549383979104,11.5925626592846,14.4742404577102,14.032612144902,12.75722489194,13.1597410770727,13.4729489336741,12.4037186273987,13.3788429006326,14.2750408708473,14.0576413235672,13.0928686479206,14.7003699957449,14.2492030773917,12.0561235992119,13.9024949820688,12.9759257451135,14.1760113669127,10.015328705225,14.6498836315599,13.3053461327279,14.5139624505398,14.455874551005,12.2196416287107,14.8845577485641,9.58032863856678,13.2678540821358,12.3545005191988,12.5301034222257,15.0322269478334,11.2212223060203,14.5379972199815
"A0AVT1",12.7325660468744,12.0479795119113,12.7428853455073,11.813399259159,12.2842409362577,11.4896926249486,12.6619510628956,12.3359022927858,12.6331266527221,12.4683370322931,12.2471936742836,13.2600124818881,13.2866612106489,12.2210007146739,13.0347982432048,13.3642593993269,11.6761648727098,12.7014484503357,13.0003560853674,12.0115779428816,11.0212175554988,13.3029378993399,12.2163276464608,10.9907688757084,11.486545804665,12.8113606878297,12.7292236067706,9.92303074283858,11.8671283485344,12.8381717238428,13.0457849753942,12.4406051842083,12.8812598381648,13.0828242603942,12.885552480552,12.4606757811861,12.5364683710162,11.8429060988059,13.0300090481893,11.6365215756193,12.5053937242677,13.1183880362381
"A0FGR8",12.6161786328328,13.3819075070309,12.8809608767568,12.1148943131616,13.0980596078981,12.8931986813296,13.1545964230651,12.9248722865172,11.9468703542303,13.4894399431246,13.3305470817035,12.444541067615,12.9934913077317,12.1395921253792,10.8984881602998,12.7794222252514,11.9446018031866,12.9467648241745,13.1356110328582,12.006551171025,11.521707204171,13.2596446142069,12.8443191811622,12.3801336467015,13.4992721412895,12.4911895272111,13.6867762505038,13.0071578100187,11.0616792261356,12.773149735719,13.0764779691669,12.6656956278906,12.5488535012054,13.2729333468459,12.2502415760954,13.2109244992305,12.71628868139,13.4143174464014,11.6495600730773,12.0295916819357,13.2721733006762,12.1148943131616
"A0MZ66",13.3747877434165,13.0429035697422,13.1310347850756,13.2790568875262,12.5860274602382,13.3075042837019,13.089490599289,12.5746944294643,13.2198648670841,13.0979368267496,13.406895018224,12.7464889548078,11.6397233185591,13.5687374797095,10.8763137796502,11.4163661317624,12.5293705181211,13.1373462585318,12.5489803774805,11.4529896010636,12.2539649543867,12.9617026486743,13.4577796064399,12.0837913714128,13.4230274451287,13.6312309679865,12.6046914489815,13.6360653368254,12.9072605922468,13.2340524367599,13.48650318874,12.9815121691368,13.4335464892571,13.6782456651518,13.846954341048,13.2704194843921,12.6139193225578,12.8738171277519,12.1750211497466,13.0063080918261,12.6033660505338,12.9479031718514
"A1L0T0",9.98070929351739,12.397708936456,11.2391423245535,12.6359485617627,12.7101061394673,11.5680642181095,12.7427421051095,10.6012703588966,13.2960369683831,12.2641264186343,12.3418503928764,6.79444351956802,12.0824490898626,12.2293268574978,12.8832550749894,12.1444905007033,11.2923199051023,13.2856994373307,13.989994555895,12.6109517708266,13.6880690058222,11.2506691003249,11.4967731763457,13.984894559875,11.5018812290555,13.8939531500834,12.9295080355059,12.7993179506686,9.50328466423048,10.2123740606953,12.8781939842401,12.1787143321462,12.9704501596716,9.86193780518132,13.631677635956,8.89282113080147,10.8787625560141,13.0984530098022,13.4147373883319,12.7663519030549,13.2034233598482,13.0449089104509
"A1L4H1",14.7607131527739,15.8157209700837,15.332356531064,14.1267760453797,15.6804494055144,14.5720334105487,15.7077297208285,14.2760071905683,14.8545578100464,15.1568260762609,11.5990387483072,15.2470093284712,14.8201459854708,14.4599434336511,14.0953993270764,15.4973562171708,13.6713629249995,15.1001203129646,15.4501724362468,15.1499502216013,12.5216954870548,15.3340831773388,15.4391604978359,13.7362394133659,12.9347322141263,14.6798832260343,15.665374826005,14.444856249217,15.998729165831,11.5211867751449,14.7894012801662,15.641362738557,14.5252379860618,15.0129854239288,14.7335036065219,14.0520335599838,14.7692967630724,14.7801276039959,14.7986442338896,15.1396684339066,15.1366207508149,14.890910382817
"A1X283",11.9136715909257,11.6921486009037,10.9733062589272,12.0343596581666,12.2767477224492,12.5923720623673,11.3399869627499,11.7663278532616,12.3618284570617,11.5282562688747,13.7284874628043,12.2075091615251,11.4949392126481,13.4792418704362,13.7570477115171,13.2710850067763,12.0882607485937,13.8387001955774,13.7786336525141,12.2181927904777,11.2276859732202,13.0071703839465,13.7039791525362,10.6032139054548,11.4967123585787,11.5906953475137,13.7632882356121,12.8427001776098,12.1729203600188,12.9634015440982,12.446717919255,12.5979640129975,11.4799922597469,14.5102367509059,13.0963843006298,11.3830881759806,11.0934230666926,10.7698470667126,9.89998033782555,12.6007785892698,12.3919149301108,12.3934860487521
"A2RRP1",11.4602249769382,11.9839528936262,10.0923634080256,11.9519624507334,12.4578947654509,11.4488770355314,11.323901183581,11.583906196076,9.68548974545182,11.2759464104226,10.2719928458967,10.8439311088828,10.3103128882105,10.6128370374964,11.7373297830085,10.7200687849666,12.9091287824245,11.0501983730118,11.4467830080343,11.8147358098993,12.1831438714007,11.8878243109661,11.082343872617,12.7086685620811,11.7038581734183,11.8996395351127,8.70503029696464,11.8162560906409,11.1286011644088,10.3359418325149,10.7791490933743,10.099534968446,10.6281303337731,10.034103456082,9.78392351011754,10.4989703323535,10.5399701749236,11.2013077857756,10.7988183155425,10.5978781851019,10.3631131519606,12.1594919113331
