"","HB01","HB04","HB06","HB09","HB10","HB12","HB13","HB16","HB17","HB19","HB20","HB23","HB25","HB26","HB28","HB29","HB31","HB34","HB35","HB39","HB41","HB44","HB48","HB51","HB59","HB61","HB63","HB67","HB71","HB75","HB77","HB79"
"A0A075B6I0",17.5451425951416,17.7073958761156,18.8165431043427,16.5754350327212,15.4920304233572,15.302721449489,16.1621326711599,16.6280952756569,17.5451425951416,16.0763840357929,17.1375094831694,18.6090820325489,18.0613536089049,15.321447235986,16.5754350327212,16.9828161360729,15.5942804435186,15.1227454645181,15.4231485014483,18.0613536089049,14.8620892071689,15.9918417516956,18.6090820325489,17.3108826445315,17.4247854464908,17.4247854464908,17.3108826445315,16.5754350327212,18.2170540731513,15.5942804435186,15.8936128424013,17.9430294078046
"A0A075B6I4",14.0877393785099,13.0920668098421,14.1974902440268,12.9307306815988,14.1953490970862,14.4508078089983,13.3262687279967,15.720076001769,12.0123490804876,12.2645366347546,12.1197164024823,15.8858175908698,12.7007035536802,14.1572873576934,11.9087087061631,12.9643356694025,13.6287434100627,13.2059448157886,15.0461191298772,12.7644678476453,14.0202151361012,14.2523611102734,13.1989241472756,13.4103882331647,12.8813173100315,12.7613599133096,10.6681074436343,14.1523890328882,11.930438767271,12.2631763681367,11.6298530663119,13.5228749192485
"A0A0B4J1Y8",12.3926032341364,12.7098402151072,13.0380728598822,13.8593557023749,12.5294787979242,13.8574718157168,14.3689880536495,8.39807904051992,13.5336117086733,14.3481955274574,11.60015496425,13.8865677812644,14.1845960189471,13.0520643955633,14.2255724756268,12.3500631177958,12.5957900841493,13.9121010639856,14.5386674095088,14.3866153573786,12.9937839077976,14.6155824268784,13.7615490781039,13.6964459297951,13.7329290542164,13.0298323009747,13.7918306696142,7.74732416576274,10.9925626912315,12.134509778438,15.1388822205767,12.6383880087859
"A0AVT1",12.9298350001165,12.9393083580049,12.4746910735771,11.5978360753636,11.7584706315745,12.5194416350531,12.5574578153203,11.9773740257794,12.6811939075931,12.6907270484944,13.433319644387,12.4476962845799,13.0380431329033,13.5331641032776,12.5259794479858,12.9002209561128,13.6219070042574,11.3269480587599,10.4922309855528,13.030373328887,10.6255737405741,13.0040537770225,13.0042016393208,10.2272658850421,12.2814006090883,13.2974013444426,13.3043677679138,13.6355590602384,13.0261845775691,13.1321500036631,12.276025674331,11.9901145450116
"A0FGR8",12.8655911956635,13.089529928197,13.1329998144442,12.8137425443167,13.1006406937922,13.3056629813881,13.1270705974868,13.2939165867544,13.6095370185872,11.7902900038548,12.7222219984213,12.4623147381593,12.1708968956747,13.0023716085659,11.3737838582441,13.1452365525741,13.138930129495,11.938016333868,12.7289480442297,13.2463340499847,12.7649181030228,12.3330493313687,12.7609807021685,13.3894269191917,12.3986519658161,12.6741584493176,13.207226787243,13.3237862932215,12.3621930385742,12.023063658133,13.4870731729627,12.7898872272787
"A0MZ66",13.4772307609251,13.2408050751633,13.3122728811817,13.6250668587717,13.4121058358093,13.3751056251052,12.7022669334672,12.8748451553383,13.210484708321,13.7350692431983,12.8689172283588,13.6657587256606,13.7330760581256,11.596491452296,12.8807503623593,13.2474133629429,13.1590327574375,12.3925255221874,13.1513864079876,13.3251730179449,12.9658848323886,13.9812880160898,13.72527927831,13.8599876364174,13.3228299573049,11.4414397854795,12.871655209606,12.5039884635045,13.3595959814659,12.4777958535966,13.0064851223293,11.7401758917934
"A1L0T0",10.2627561783295,11.4425805531859,12.3976292354366,13.3275746332082,11.7621811366847,12.8208659111612,10.8509486029888,12.7091702811138,12.4340315185103,12.8946759953526,7.00445784677072,12.401364247404,12.144466360701,12.3178067780054,11.7416011873723,13.424629844451,13.5984932358315,13.8262497586316,13.8402617646821,12.5309601609919,10.4130083403134,13.2799222676717,14.0363078854063,13.3515619800744,13.0684189895333,13.9886903185398,12.2988483235976,12.7041348975591,12.8613255843206,10.61480676754,12.2273284983399,11.833524123061
"A1L4H1",14.7840691246441,15.3953334692336,15.8119662104659,16.3294101546939,14.5859601779471,14.6238471974001,14.2781502862467,15.6051087234915,15.2019494294873,14.5435290029593,15.3008687612274,14.4681955777899,15.2199431871843,15.5816689574489,15.0237672133461,15.1416314870531,15.0192681450067,12.5087430059412,13.7750798911072,14.1813945747835,15.6788205404832,15.2066233553885,14.6978015028447,14.5692919484138,15.3311237872021,15.1688206753872,14.375339237284,14.9756323188525,15.3108274604732,14.1154062459011,13.9113958924246,15.9851018883159
"A1X283",12.1728434647358,11.3744058715854,12.483796144463,13.1648986127075,12.745210448068,12.7376461232128,12.0469156190933,13.2334402672613,11.8453062583367,12.2615155913065,12.4178111869445,13.5141927643122,11.3572029033244,13.331268183207,11.8262488560882,13.8277448676633,13.5443789867214,11.5903414819033,12.6759041346682,13.3090208074006,13.6750809216197,8.58410479563798,11.8987742122944,13.1075827065597,12.7308288560565,12.6666667542782,13.4048502675373,12.7892787754306,13.2196245607324,13.1364608307462,12.3865867012615,10.8806728466649
"A2RRP1",11.8503271111017,10.6323825969357,11.8219209970339,9.44583628155996,11.8409142756396,10.8193047593678,11.9679999605298,11.3697616105112,11.6816596643976,11.6629424996035,11.291024998927,11.0905558380617,10.5623342276129,11.1825269302942,12.4293948013969,11.4750355548135,12.4013074608174,12.5092861136718,10.0742657740805,11.489202408894,10.8882617341482,12.5849156062548,12.2508101755071,12.1632142362553,9.97047525439883,12.6877175880739,10.5663106415413,10.7829724172988,10.9422361171457,10.7795239905503,10.7541659597086,11.6855832206121
"A2RTX5",13.501381887651,12.7365362160473,13.9692527685357,12.9021373610822,13.0466503341685,11.5440822686022,12.2712949146517,12.3028989927901,12.8780999622757,10.8071656307163,12.2576473305413,13.2282905631379,6.48023949415444,13.0300748260603,11.9942199611458,13.6770838661189,12.0621747550596,13.4886525055705,12.9936535324615,11.2055369412755,13.0831588781995,8.11531273155839,13.1538284536071,14.4300087976745,6.64912985883223,12.8668821224826,11.3726823820553,11.40282788983,10.7810450167801,10.3835762640012,13.1921558578328,7.01265284562571
"A3KMH1",14.5256655654991,14.2494709403343,14.5182193834033,14.3021519901643,14.1856289764464,14.3727129090529,14.5207890967387,14.5150823782509,14.1965511161784,14.6468076557312,14.5705773528537,14.8403367505042,14.3550760750046,14.1831631262158,14.6715968320109,14.1505905961999,13.0879000806218,14.6439339095476,13.2552196224556,12.7055328478155,14.3316508547703,14.5398591630234,14.2358597704443,13.2164839428981,13.4464539189682,14.0585715643748,13.3125190908171,13.5320720737682,14.1772936709412,12.7827202092373,14.1882854366944,12.7383341330261
