"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"Q7Z5R6",12.2617954501823,8.56025165420265,13.579441057352,12.1678625371636,10.2050022042298,13.1339031144342,14.0892156606985,15.0903529119047,14.9114414158796,8.82784596045512,10.0353067778135,13.5997671026329,12.6873911160579,13.1261003577823,8.49221329853253,11.395669105375,10.3754488778575,10.7064750800167,11.533269153439,14.1694917252669,13.9243488577279,12.5901286549272,13.3081467190412,7.51461227395228,11.8389498205094,7.60419429109903,12.6202083581783,12.5144524137694,11.7648196018388,10.6678990580896,11.8157904326317,8.32941056724943,10.7570994820671,12.9743861529772,14.8072992499883,14.2325539899679,13.9752832402252,11.2625927370864,13.0264128835812,10.0171123760948,13.0257715624202,15.2320516429319,12.3739439611781,13.5863809820386,13.3898320091391,14.5702295756458,13.4695890190293,14.6187295522792,14.1173508010785,13.7642753674519,13.784512567849,14.5918209925116,14.4956778815983,13.4221323017233,13.589927454266,12.6824069270761,12.5715775095841,14.1443472873754,8.37903918182122,12.1803253441209,12.5727296390614,14.0247559038505,13.4428251465243,13.9155333886949,12.5084816311687,14.359050690725,11.447063845515,13.7917447029215,12.9193762363969,13.3789694961265,15.2373613715582,13.7796395202614,13.3370696199408,14.6188393051074,12.8053436113041,15.0942344490197,14.8165034526458,13.6626645588791,13.7467191798785,13.8909801549649,14.5513851056969,12.8075548043601,14.455162948376,13.3918959998386,12.9035099239498,12.9509917811033,14.0797901238918,14.0079612461344,14.5276976934147,10.8950780161285,13.7097086055019,12.5831849944406,13.2020832019761,12.9055378544621,12.7605025458075,14.0826365188979,13.6560020027931,15.0464119642738,12.9897570637829,13.9502193160468,14.713155465115,14.3106942216515,14.7690339890547,15.0501926258248,14.0381658596498,15.0328493031436,14.3876616730514,15.1450547514493,11.6895688137643,13.3989073530998,14.5960752703691,12.9035015537388,12.1077308342955,13.3113552581873,14.0245562879373,11.8223286480351,12.3422424021405,13.5758652210149,14.0240278556075,12.4482933454809,13.1978228647468,10.3353686381822,10.4113511277539,10.1921125400752,11.0338477854976,13.7203383261934,14.3703651415701,11.8846360901475,8.84964145909034,12.2923692348836,8.13732351405513,11.5784593003777
"Q86UA1",11.5861185810792,12.169661247914,13.6736763036769,8.29873309395115,13.0525951132301,13.3324107828928,12.487740929898,13.0503648359855,13.127770475496,10.6110286320585,11.1995441225929,12.587793276201,8.82206847037243,11.44447557917,10.6777013526702,11.6931996609928,10.8873435422351,10.0928578229111,9.71312731232345,14.6573040217936,12.9593968840339,11.4200301063746,11.7558940550122,11.1598172987107,11.1360576471632,11.2526409388886,8.23258052817096,10.7426770264658,9.43392504295056,10.6820269417395,10.7187368596372,13.2328842138906,7.64051814044229,10.0957518310759,12.642852248018,9.93814009705942,14.1928328680061,13.9336433564886,12.3677868905324,10.9862882042402,10.0899198826551,16.1348244950399,11.7143660876797,13.1358572983059,11.6753590188997,14.4237368228614,11.9990513559,11.5101644333488,13.9437967079982,9.25892382216226,11.1688598720957,10.3609934553464,12.2980519438494,13.8782638033107,13.5590927923349,13.8826718589023,11.9476682588205,13.4498066872715,10.8025463855116,11.5623867629107,13.1969303997924,12.8002929806617,13.8580281147286,12.439986270585,12.9624060680493,14.0934664551794,14.1444811325736,12.0673599352116,12.0924059410106,13.9947056398399,13.0073460500201,9.896828650865,11.4155491721719,15.2439595819513,14.3475294097849,14.7859300541272,11.9628822686905,13.839372002121,11.7732580650112,12.4814344589939,15.6639738876411,12.8000443220764,10.780959149753,13.675155624641,13.9672120588415,13.9999644490913,10.6680416080321,9.45239393226249,14.8119859865135,11.7050358404661,13.9063514245208,14.8235892448854,10.4258751813616,10.1415196144037,11.4447215860729,13.7178197346243,15.6088027679834,16.0436296459532,10.7137149229134,14.5059101949767,13.1571735124374,14.2023885362709,15.7572182105648,11.2669862150314,11.3699235688098,10.6757092557811,15.3049481043208,13.2036490160363,7.9116298125848,13.1765336375628,14.4144701912778,13.2036844756693,9.04818395691374,8.8824513089463,13.3222885706147,11.8656302040756,8.4848339295934,13.5421330697279,14.1406516936848,11.91655545554,10.0657021849368,10.0110563773623,14.0012003020598,9.46824648121687,11.27780636701,13.1584896761718,12.7410440115071,9.08142417888358,12.7862785877807,10.971788122418,10.2922956216355,11.4424351435526
"Q8IWX8",15.0502419092477,9.84300592650831,12.4229185700936,11.5839417791518,11.1090643153488,14.2869176220784,11.5075721256534,17.511983652658,15.6478355054298,13.2399210206682,10.3119158617933,12.2549816529889,10.1622901773755,15.3272032197362,10.2554651114694,10.589976099577,9.94574533835785,9.77058616858904,10.1408533079619,11.0623767622427,14.9494686616575,16.6430278736818,9.57757994372861,14.7539962191227,10.5190697565607,9.81842613520898,10.8181332307524,13.8893018860798,13.7335450037571,13.6674043877189,10.6253558544709,12.0725569145688,10.7191044388441,11.4865599186791,15.8863727839671,17.2989872528538,15.7653075813698,10.2611835347079,14.9348659192973,9.74475759471924,15.5819716709923,12.0816357227139,10.8336658771577,15.9934608393699,16.1753648566607,16.9262634168013,15.548513149599,16.2231124419898,16.5098879078984,15.4910354031808,16.1317862870908,17.2208743604283,17.5574158865523,12.8605827930506,16.4751028990754,10.1647306083734,10.4928179762879,14.9918743394882,9.99864381747553,10.3014781322627,13.329753153334,14.6723958735957,10.5279451926985,13.2820797008279,14.9277550085802,12.628781964159,10.5595053208922,12.5390173974881,10.8886918529759,17.1988517844458,16.4184431501907,16.2483386701908,10.2652235589593,15.3951731026351,10.6765577897311,16.1749065469297,15.8929741544342,12.4295481415526,15.5241481852107,15.6792846117618,15.6965765111019,11.743147699266,16.9477724661233,15.6969168971227,18.1328892400444,11.955141850791,17.557677065114,11.9707621177808,17.3035524015905,10.9998827833658,11.1460490212527,11.4819731936207,12.7208855035937,17.4670948788172,14.2231306876636,13.6487858094964,15.441631854179,13.2348017117166,15.8914180348714,16.7577415765617,17.3365293211647,17.3426848334798,17.9998347953155,17.7188547531596,10.0667197936431,16.7811532533735,17.0716830397115,12.6991162327696,14.4344591510288,18.278071069162,17.2622168493998,15.7117282561249,14.668815687454,15.2632633280476,16.1507801631582,10.1040399115322,15.6610614598714,16.0225493959024,17.741287522476,16.6644800913348,12.1333786961887,15.203632191369,16.4803300983342,15.5382789012864,16.3278438894097,16.686535900616,15.8664232626306,12.8128602488659,10.4010789434889,10.3062502643998,10.2046000919119,10.3704403252089
"Q8N111",12.3865057848722,11.2018563232839,13.4902730028124,12.2077276816708,12.1606943588821,12.5592924244526,12.4087841422935,13.4278932467979,13.6359229642523,11.5615658243004,6.30337718196544,14.493331200918,9.18803396695284,13.7103620987656,6.28675768437802,11.0558363962072,9.93746236318882,10.0155728714631,10.2375743924991,13.193514303752,13.8916118380105,13.7288886598806,13.8331742515241,12.4476741146187,8.37567350704813,8.58975565460706,11.2856907454339,10.3339380441626,11.1147784265644,12.4417614723105,11.3375542358769,12.7528706005694,11.272863020774,11.7184006924559,14.4524917803409,13.9533479818983,12.8055679513349,11.9117112594318,12.6257399271124,8.72547124681828,13.0547008273494,14.3727887181605,12.8771532007792,12.7968620708067,14.1277620008795,14.083267972448,13.5778327191693,13.3001204705563,14.545110543614,13.4553498383611,12.0463852100642,14.4109865370224,13.9463815740349,13.9787950774253,13.5768194780821,10.8041277877664,12.2697004766821,13.0308207039926,10.6249805363983,9.21251593026651,9.48073887724973,13.2114195841067,13.5329541106675,14.246296094232,12.4983851362747,15.193413238214,11.8392584536438,13.9527676565894,12.8384853657762,13.0223076199526,13.9343789459565,13.2159975636591,11.4188974767607,14.4139540860982,9.13577802720583,14.1035905868091,13.4051930615396,12.7743713102832,13.0317331917053,13.5589013332226,14.0470468413299,13.0806358466332,14.1412662129935,13.1833911995825,14.3993470629459,12.8384958309778,14.5177536340835,13.2804734962832,14.4268836183871,10.8376560860486,13.3030534186997,11.85520633683,13.2781654690539,15.0560308318516,13.0746498287727,12.905535328464,13.4588430227805,13.79579265362,12.611887606751,13.5652874230422,14.2146035872689,14.0202536265985,14.5365010018657,14.4576808618408,13.9113398099154,13.0879346008603,13.6786871047452,13.917287649413,10.8562659258053,15.4268971596449,14.9318892208264,14.3536097926868,13.4427018858676,12.5900891334757,14.8104291811428,10.8595985436784,12.3045759368686,14.8299724517234,13.797762027534,14.5413452535573,11.1395594445017,13.7156811038439,13.6105678610163,14.0069826225194,14.7285870502578,14.196608452662,14.1588005904013,11.978655709981,10.7635764764335,9.75579050731394,7.05407536418567,8.15945932102737
"Q8NI08",12.7436435533471,5.75335861386581,13.0551331038939,12.4155463814925,12.1053390919612,11.9661045059439,11.6909869159402,13.131350232891,14.0959474378648,11.748614000694,7.38586207616083,13.4773338710104,11.73781013984,9.9968109646812,7.27110465617267,7.38558817627883,5.93553929676503,10.0138497288317,11.4499260261046,12.1422670741034,13.0673513278648,12.3543767762163,11.6516089648241,11.6245085444774,10.1385222216051,7.2181493856218,11.7227852881786,12.1669416831297,10.6316502763262,11.0681568870431,11.1738034569804,11.8833881350299,10.461837096479,12.4142370149524,13.0563274856946,13.2912414081912,11.8165868348697,10.1767534408335,11.8662210704138,7.75387127214193,13.2257683859355,13.5569112076336,12.5140698523066,12.4545578910296,12.5265712977994,14.5782546339693,12.7615131723777,13.4535954071817,13.479681190644,12.8344918621045,13.776789818766,13.2148074925311,13.658802959159,14.3140554697278,13.9876659673514,10.3329407785298,12.2451293154413,13.7251799905131,9.59749428398553,9.38497164388535,11.1229751714745,12.2207396744386,13.3211493687737,13.9106747605405,11.7224253165017,14.4035300935627,12.5303371408394,12.5826131873021,11.8050542278477,13.1130863322564,14.1924109149618,13.097972828839,11.818509410034,13.499159362988,12.0276782247544,14.5790375475982,12.9525316931257,12.7011578105578,12.5243203020159,13.1048727071422,14.1669964897066,12.4047761418762,11.8041997451236,12.7716545990237,13.7744793958136,13.5362698214448,14.4788006262965,13.5644200984957,13.1311444879607,8.96639531420811,10.7492519901161,10.7067587209194,11.1976939847301,12.876623800601,12.6919650459959,12.5978512672971,12.7758436298729,13.9650765835301,11.0041129281439,13.6757362545698,13.7124475961318,13.2778617745218,14.3108424113092,13.5167465995139,13.6490061187072,11.8550312077831,11.9807048857426,15.1204361493688,9.70925762263792,13.3147298715211,13.047679534066,12.450002479562,10.2820402093565,12.3880834476209,13.0759371968863,11.5319847122125,11.7669180369567,13.4966405740414,13.6699589366966,13.4365578537136,8.70839162059371,13.0537942070898,12.4797635064424,12.8417968957376,13.2277324290926,12.7533545293051,13.3575095608882,12.1682996618924,8.11909937188105,9.97946422904971,2.32205173168988,5.72233091877934
"Q9NQ92",12.7215836476302,12.0436695046789,10.6754712573697,13.9760702151073,12.0458696132526,10.5341207037531,12.1923793348405,14.5421863312896,13.7851391748241,13.6868443910791,12.9392179874936,10.5818350851708,16.4592243796431,12.6179672218126,11.587936453877,13.6540607707617,11.2969162068793,12.8934493635876,11.7419732741797,14.9268202266375,11.175009923111,15.3547160441573,14.6472009948255,14.0439671222734,11.7869276837139,11.820525698019,12.5034046888178,12.0968086580594,12.3556263936379,13.9243677150281,11.8175857945167,13.8349647685616,10.0766716159168,13.6401047149984,11.4563323297494,11.004188559056,11.1497905064276,13.9826065220292,13.4560582804153,11.7224175048209,10.6372491468859,13.460050150795,10.8726870871442,10.7085218545807,11.1494067630538,11.261572423801,13.7883575736241,11.4972219670981,15.0679300684347,14.443236840348,11.2026389485197,11.2181346834456,14.8522451089041,11.6716079864518,14.838710130781,12.9881890826162,13.2980087330212,14.7688818284882,11.4209503311061,11.9838933393699,11.2540168066075,12.2644115207583,14.0144849516544,15.9249081499181,12.4043891184962,14.5688599870166,13.4466025997291,11.4443170665755,11.8538532796034,13.0916939331846,14.5864293400619,11.6939375202506,11.214082224202,14.6008229751626,11.8825196371659,16.8835501795573,13.2772903459155,11.2687227963713,15.361788258638,14.6649672375617,15.2234855132182,13.6407206606059,10.83211528471,10.3778708343286,11.83880797208,9.98413152430722,10.8513631983453,13.713386514937,14.2762236754516,11.4183056098505,14.648189033024,12.6098645205255,10.8156689600645,11.9254033181669,10.7553847976317,11.0381270843834,10.7708945084257,11.1328519837158,13.3063905203333,11.2855123089318,11.900850746703,15.7503342658794,11.6529352890645,10.5779748133294,15.5034220349197,10.2941392132307,11.0357593492131,10.8911352769972,11.9741336942061,15.6044336762723,11.8371018434671,10.1320900724055,10.0887622276611,14.9310538851489,11.1299747480058,10.2500921949972,12.0775644514607,10.6104279987001,15.6652723691484,13.671299602558,12.4354102657776,10.5658607526082,11.1122223241786,10.3131168772803,11.3618698584931,11.0364242967614,14.6210788623355,10.3933364665665,9.95628998933329,11.2087430803354,11.570858000375,11.6165494079921
"Q9Y2H9",12.7953849627645,9.75852490800782,14.1196793334129,13.2514046096992,12.1217413274806,12.8727001386118,13.1700887983465,14.1813046605597,13.6774041811143,10.1519022978803,5.35737546841685,12.7503643939698,12.1754369526086,12.0040681224994,11.6762628812358,8.23542514945699,9.07289491340951,8.05906473527014,9.82325567117478,13.9352037277692,13.8337681288147,13.453303617061,12.479711692965,11.0347507911789,9.7658109208735,9.51276084870829,12.3815933015014,12.1926724462117,11.9600077822352,12.3625543373309,11.7778748057571,10.6796077288429,12.2311948671452,10.6449423091604,13.1694109519916,14.246673130865,11.038919186935,12.8317608120428,12.9357255037214,7.75864917496156,12.3720288667299,14.5754373247007,12.9392118826664,13.5820379738197,13.829219843669,13.7765615171166,13.6571164688588,13.3113772999403,13.7200043450568,12.5058534750997,13.1132331365965,10.240266292765,14.335675505486,14.6416639203177,13.6172502000451,10.0499715366915,12.8785078181173,13.0778120187007,11.1818969163391,11.3042272191329,12.2332736964683,11.9903196723089,13.2603279044531,15.3700112482195,11.993877983252,14.6359967403401,12.9090328360487,12.980216851181,12.9128310712575,12.4671833716644,11.9972094028638,13.0410216116789,9.29334064501282,14.6576511453935,12.5074845598511,14.8269008777047,12.8319342334497,13.9822225160508,12.982017651752,13.5369962864166,13.8179231528123,14.0211534962026,12.6247500188827,9.62086403193369,13.8501704207914,13.4160263994246,13.3954877293271,14.0393558607023,14.104279238839,11.8117245543077,13.3533008594312,9.33908875272561,10.3723007232428,14.3120930963762,12.0288089610816,13.0702512137417,13.5512212971186,13.8392203859033,11.7754083888159,13.8987956602434,13.4891691236294,14.0550030719947,14.6085340668453,13.224732832093,12.8466451406486,10.9995265326323,14.9622417424597,14.9680118548269,7.50342293876407,13.8755663626857,14.1027884057395,13.4369089563769,13.297856139072,11.8713050934641,12.9592482942677,8.71330379099762,11.3868497562401,13.0432383864107,14.2638442060377,13.6562507541919,9.25870397656821,13.3231932630159,13.0692360929546,12.1507314581039,13.428600504569,11.8603110549195,12.7010157426931,12.6321404351721,8.15200644337501,10.8173488939032,7.86783895633647,7.92581378938446
"O75880",12.7816936586536,10.7802332364768,12.7267941500048,9.60496841341986,12.4863855312318,13.1999582336075,13.3939327710824,13.8929476044844,13.6824796576911,10.1263812322312,6.26043764071194,12.7337148055063,12.1988471726881,12.9695394855702,9.66966977228705,11.1491673561925,10.1578879031296,11.5693910020955,10.5504539098872,13.0176358680695,13.2989530829541,13.6035683533962,12.896084885226,12.5310338785421,9.09777746017723,7.80651970245819,12.2928045644777,11.6394515824939,11.8283608745125,10.4019963551934,9.6259954004359,11.4827210492537,11.3989366718721,12.1483649981649,12.8934180548221,13.770415701806,13.7754615613121,13.5936715645526,13.5157074597463,7.7510779763117,12.5807901809688,13.7583326459412,12.5930504219673,13.9689210634728,11.1574797753539,14.148017851268,13.0527588002246,13.7128172895038,14.000573088389,13.3714107397943,13.6517670365534,14.9556788842229,14.1088100070261,14.0474883687041,13.8137032027317,11.5561849445536,11.8805728143237,13.5653972917418,10.4604127464752,10.6707621093634,12.1426760892709,12.1943936875383,13.1512504317131,14.8573831271272,12.833135440901,14.6727258048377,10.6422292947401,14.0174799857143,12.2764651070202,13.8837410580604,14.1843058110268,13.5479855615328,13.0001686352582,14.3059678925853,11.5989675414922,14.9106078220469,13.0706610742917,13.357727981184,13.1054188108794,13.7637091810516,13.8722292605155,13.6935663494391,13.2309122452817,13.6693976935306,14.2886800515437,13.1915218181872,14.9068437707244,13.8737300672894,14.1236380757491,11.8444075687418,12.9802409513878,12.1479795394854,10.98553590397,13.8437105433311,12.0785786072809,12.3142885041019,13.9952268525557,12.489387225205,12.7320626734557,14.4558315508034,13.8468215054516,14.2091074290449,14.7328148734892,14.9150916270947,14.4681994628383,13.6391221176415,14.2774650138365,14.2300224598856,11.3681995322469,14.3577688509945,13.594428750938,13.497767882159,12.4297976862612,13.8103096182892,13.6854715298207,8.52316485757548,11.588452884498,13.0826220079085,13.5967438795292,13.934475665166,10.1009136534602,13.9071376128893,13.0392373457309,13.0093693591989,14.452964937693,13.0481526074819,13.4472222220617,11.4142206680078,9.02506838327406,9.02182846553152,7.53728830494923,9.31044992527982
"P21953",6.17075703363517,9.27364928461369,15.1336368869452,15.5067858275738,12.5471700509047,14.0680408501199,13.6288386055863,15.5315636550613,15.0898876746897,10.1251262681283,10.0831401806912,15.4134009051256,8.60444196568035,8.80720219554236,8.8151789007373,9.78519026988175,11.1766246377021,9.72129126405319,13.1569627280223,11.3995774400776,13.824071722963,14.1917488423636,9.26854227554525,12.1739329265917,9.53730289936744,11.3302430083437,10.1866545167271,13.839653173747,10.8466932098879,13.1025378713605,9.70729720029243,6.60204598019358,12.9835844015978,13.2727966740549,15.94791449905,15.1620986132422,14.9052889507437,12.0905869237788,11.7958826148455,9.96008234087961,15.2053635216388,15.3878063588911,14.2596842266789,14.7636678694403,10.1118994249072,15.7460443782256,15.2352830174754,15.8594759309679,14.9153589018078,15.5549546468482,15.0774281716337,15.337170997294,14.9329065312782,15.5197494005657,15.7038580274032,10.3668481656855,13.0520863934591,13.5600495440796,10.1506179952052,9.4147226595193,12.9786615084307,15.4330233771015,12.868544695274,15.7478478180514,14.0572357173958,13.6698316846242,9.01103815916283,15.9311197908286,12.8939047905155,15.364191121115,14.9725153161594,12.0394603903992,13.4301167133711,15.3081384079878,12.921299407554,15.3875046838848,16.0716614487246,14.1558184821428,13.9582890362446,15.6406912543684,7.13121675730857,13.5523991817548,14.6805691353324,14.7480836020866,14.6788540535412,14.3697204073358,15.0321932642164,14.8777417083754,14.6097461017111,10.8420499928225,14.8817254505203,13.3926533002011,14.2266180485358,15.654313252367,15.8245806252266,13.6841018127049,15.3636443468167,15.7615421850218,15.9612038734886,9.9209204639704,14.9219273570276,15.032011164978,16.8939332713188,15.5139935655693,14.9566519222359,13.1312261823807,16.0869966392685,15.3179455076959,12.958478568023,16.2239348278435,15.8966493848,15.762603381151,12.7718618569011,15.6353871588254,15.8873538168379,13.1248808851521,14.5951493066804,15.1934328999163,15.7369846121228,15.6026002068483,12.9042551610858,15.3258359316072,14.1522633114114,15.3127442445307,15.743721633706,15.5120406467056,15.678647745613,14.5594837550295,10.2047984813627,8.50753829948412,8.70083729644236,10.4626999722024
"P26583",11.6415322852676,4.35846163386533,13.0866056639369,13.1170603832128,11.4301015662105,11.0965955225687,11.8165837077876,14.116365996767,12.8087853857507,11.2529942600839,9.36598121432517,14.4392796153498,11.84785990125,11.8481603521196,9.77181308599713,10.5483165462068,9.66908727316527,5.94556233059209,8.032329421863,10.7429640243034,13.9610213283707,13.8034366002517,13.7177419435421,12.1977795162658,3.93931741503845,4.41964348989261,11.2804585107019,7.1114607516261,8.168354999045,12.2964518257187,8.14397337102055,12.1880346569026,8.31948996727524,11.5243039423367,13.4958827528346,12.9114627784554,13.4957676153701,11.3044535052481,12.6323761573275,6.32299139645225,13.0681092769625,13.8610185450238,12.9073578141113,13.5015435863409,13.8630300925838,14.0107434218825,13.1805308073445,13.3379815940088,14.3578691265632,13.5789126453682,13.8887681803787,14.506613206566,13.4028091900138,13.7105508158925,13.5477821264245,10.1000028920537,11.9541756244729,12.7936516802491,7.76386184265778,9.03575371941715,6.25532708616509,12.2879887146843,12.8143208377365,13.6183486135724,11.8487906758108,14.1710308611558,11.6869749098186,13.0790472075517,11.5407891742087,13.8103050396358,13.9854430330885,13.1924564943386,12.1338516321873,12.6183068421208,11.8280411102523,13.6623445592419,13.0318182117919,12.8917062732804,12.421133730532,11.4584360092658,11.1526858964086,12.3480757109592,12.60071495461,14.1138842666127,12.9793232350932,11.5066000285319,14.2987215051521,14.3547291576683,13.9916059017521,11.8417353530252,13.4092731780456,11.4701346453647,11.2643611660995,14.1033008667054,13.7005178594201,12.7531798604928,13.1318200719226,14.553444816692,12.4288848155367,13.8104044214407,14.1315390968477,13.6958422361084,13.8965014744099,13.7453268925634,14.0235614132113,13.5954079824218,12.4977044340421,11.8915020064732,11.8045267562763,14.3235273506847,14.8891839744859,13.3462772322104,12.6601373233832,13.6308337405889,13.2559128505307,11.2228807201263,13.0061348257375,14.3534036760097,14.1336952280476,13.6211837159031,11.8555901239729,14.0957007170365,13.1644992997443,13.6799574541278,13.1109726077829,12.6110554605014,12.9014590131633,11.5468944598876,7.58168624891939,11.1031214817369,6.16483506827782,5.16564961328155
