"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"Q7Z5R6",12.2617954501823,8.56025165420265,13.579441057352,12.1678625371636,10.2050022042298,13.1339031144342,14.0892156606985,15.0903529119047,14.9114414158796,8.82784596045512,10.0353067778135,13.5997671026329,12.6873911160579,13.1261003577823,8.49221329853253,11.395669105375,10.3754488778575,10.7064750800167,11.533269153439,14.1694917252669,13.9243488577279,12.5901286549272,13.3081467190412,7.51461227395228,11.8389498205094,7.60419429109903,12.6202083581783,12.5144524137694,11.7648196018388,10.6678990580896,11.8157904326317,8.32941056724943,10.7570994820671,12.9743861529772,14.8072992499883,14.2325539899679,13.9752832402252,11.2625927370864,13.0264128835812,10.0171123760948,13.0257715624202,15.2320516429319,12.3739439611781,13.5863809820386,13.3898320091391,14.5702295756458,13.4695890190293,14.6187295522792,14.1173508010785,13.7642753674519,13.784512567849,14.5918209925116,14.4956778815983,13.4221323017233,13.589927454266,12.6824069270761,12.5715775095841,14.1443472873754,8.37903918182122,12.1803253441209,12.5727296390614,14.0247559038505,13.4428251465243,13.9155333886949,12.5084816311687,14.359050690725,11.447063845515,13.7917447029215,12.9193762363969,13.3789694961265,15.2373613715582,13.7796395202614,13.3370696199408,14.6188393051074,12.8053436113041,15.0942344490197,14.8165034526458,13.6626645588791,13.7467191798785,13.8909801549649,14.5513851056969,12.8075548043601,14.455162948376,13.3918959998386,12.9035099239498,12.9509917811033,14.0797901238918,14.0079612461344,14.5276976934147,10.8950780161285,13.7097086055019,12.5831849944406,13.2020832019761,12.9055378544621,12.7605025458075,14.0826365188979,13.6560020027931,15.0464119642738,12.9897570637829,13.9502193160468,14.713155465115,14.3106942216515,14.7690339890547,15.0501926258248,14.0381658596498,15.0328493031436,14.3876616730514,15.1450547514493,11.6895688137643,13.3989073530998,14.5960752703691,12.9035015537388,12.1077308342955,13.3113552581873,14.0245562879373,11.8223286480351,12.3422424021405,13.5758652210149,14.0240278556075,12.4482933454809,13.1978228647468,10.3353686381822,10.4113511277539,10.1921125400752,11.0338477854976,13.7203383261934,14.3703651415701,11.8846360901475,8.84964145909034,12.2923692348836,8.13732351405513,11.5784593003777
"Q86UA1",11.5861185810792,12.169661247914,13.6736763036769,8.29873309395115,13.0525951132301,13.3324107828928,12.487740929898,13.0503648359855,13.127770475496,10.6110286320585,11.1995441225929,12.587793276201,8.82206847037243,11.44447557917,10.6777013526702,11.6931996609928,10.8873435422351,10.0928578229111,9.71312731232345,14.6573040217936,12.9593968840339,11.4200301063746,11.7558940550122,11.1598172987107,11.1360576471632,11.2526409388886,8.23258052817096,10.7426770264658,9.43392504295056,10.6820269417395,10.7187368596372,13.2328842138906,7.64051814044229,10.0957518310759,12.642852248018,9.93814009705942,14.1928328680061,13.9336433564886,12.3677868905324,10.9862882042402,10.0899198826551,16.1348244950399,11.7143660876797,13.1358572983059,11.6753590188997,14.4237368228614,11.9990513559,11.5101644333488,13.9437967079982,9.25892382216226,11.1688598720957,10.3609934553464,12.2980519438494,13.8782638033107,13.5590927923349,13.8826718589023,11.9476682588205,13.4498066872715,10.8025463855116,11.5623867629107,13.1969303997924,12.8002929806617,13.8580281147286,12.439986270585,12.9624060680493,14.0934664551794,14.1444811325736,12.0673599352116,12.0924059410106,13.9947056398399,13.0073460500201,9.896828650865,11.4155491721719,15.2439595819513,14.3475294097849,14.7859300541272,11.9628822686905,13.839372002121,11.7732580650112,12.4814344589939,15.6639738876411,12.8000443220764,10.780959149753,13.675155624641,13.9672120588415,13.9999644490913,10.6680416080321,9.45239393226249,14.8119859865135,11.7050358404661,13.9063514245208,14.8235892448854,10.4258751813616,10.1415196144037,11.4447215860729,13.7178197346243,15.6088027679834,16.0436296459532,10.7137149229134,14.5059101949767,13.1571735124374,14.2023885362709,15.7572182105648,11.2669862150314,11.3699235688098,10.6757092557811,15.3049481043208,13.2036490160363,7.9116298125848,13.1765336375628,14.4144701912778,13.2036844756693,9.04818395691374,8.8824513089463,13.3222885706147,11.8656302040756,8.4848339295934,13.5421330697279,14.1406516936848,11.91655545554,10.0657021849368,10.0110563773623,14.0012003020598,9.46824648121687,11.27780636701,13.1584896761718,12.7410440115071,9.08142417888358,12.7862785877807,10.971788122418,10.2922956216355,11.4424351435526
"Q8IWX8",15.0502419092477,9.84300592650831,12.4229185700936,11.5839417791518,11.1090643153488,14.2869176220784,11.5075721256534,17.511983652658,15.6478355054298,13.2399210206682,10.3119158617933,12.2549816529889,10.1622901773755,15.3272032197362,10.2554651114694,10.589976099577,9.94574533835785,9.77058616858904,10.1408533079619,11.0623767622427,14.9494686616575,16.6430278736818,9.57757994372861,14.7539962191227,10.5190697565607,9.81842613520898,10.8181332307524,13.8893018860798,13.7335450037571,13.6674043877189,10.6253558544709,12.0725569145688,10.7191044388441,11.4865599186791,15.8863727839671,17.2989872528538,15.7653075813698,10.2611835347079,14.9348659192973,9.74475759471924,15.5819716709923,12.0816357227139,10.8336658771577,15.9934608393699,16.1753648566607,16.9262634168013,15.548513149599,16.2231124419898,16.5098879078984,15.4910354031808,16.1317862870908,17.2208743604283,17.5574158865523,12.8605827930506,16.4751028990754,10.1647306083734,10.4928179762879,14.9918743394882,9.99864381747553,10.3014781322627,13.329753153334,14.6723958735957,10.5279451926985,13.2820797008279,14.9277550085802,12.628781964159,10.5595053208922,12.5390173974881,10.8886918529759,17.1988517844458,16.4184431501907,16.2483386701908,10.2652235589593,15.3951731026351,10.6765577897311,16.1749065469297,15.8929741544342,12.4295481415526,15.5241481852107,15.6792846117618,15.6965765111019,11.743147699266,16.9477724661233,15.6969168971227,18.1328892400444,11.955141850791,17.557677065114,11.9707621177808,17.3035524015905,10.9998827833658,11.1460490212527,11.4819731936207,12.7208855035937,17.4670948788172,14.2231306876636,13.6487858094964,15.441631854179,13.2348017117166,15.8914180348714,16.7577415765617,17.3365293211647,17.3426848334798,17.9998347953155,17.7188547531596,10.0667197936431,16.7811532533735,17.0716830397115,12.6991162327696,14.4344591510288,18.278071069162,17.2622168493998,15.7117282561249,14.668815687454,15.2632633280476,16.1507801631582,10.1040399115322,15.6610614598714,16.0225493959024,17.741287522476,16.6644800913348,12.1333786961887,15.203632191369,16.4803300983342,15.5382789012864,16.3278438894097,16.686535900616,15.8664232626306,12.8128602488659,10.4010789434889,10.3062502643998,10.2046000919119,10.3704403252089
"Q8N111",12.3865057848722,11.2018563232839,13.4902730028124,12.2077276816708,12.1606943588821,12.5592924244526,12.4087841422935,13.4278932467979,13.6359229642523,11.5615658243004,6.30337718196544,14.493331200918,9.18803396695284,13.7103620987656,6.28675768437802,11.0558363962072,9.93746236318882,10.0155728714631,10.2375743924991,13.193514303752,13.8916118380105,13.7288886598806,13.8331742515241,12.4476741146187,8.37567350704813,8.58975565460706,11.2856907454339,10.3339380441626,11.1147784265644,12.4417614723105,11.3375542358769,12.7528706005694,11.272863020774,11.7184006924559,14.4524917803409,13.9533479818983,12.8055679513349,11.9117112594318,12.6257399271124,8.72547124681828,13.0547008273494,14.3727887181605,12.8771532007792,12.7968620708067,14.1277620008795,14.083267972448,13.5778327191693,13.3001204705563,14.545110543614,13.4553498383611,12.0463852100642,14.4109865370224,13.9463815740349,13.9787950774253,13.5768194780821,10.8041277877664,12.2697004766821,13.0308207039926,10.6249805363983,9.21251593026651,9.48073887724973,13.2114195841067,13.5329541106675,14.246296094232,12.4983851362747,15.193413238214,11.8392584536438,13.9527676565894,12.8384853657762,13.0223076199526,13.9343789459565,13.2159975636591,11.4188974767607,14.4139540860982,9.13577802720583,14.1035905868091,13.4051930615396,12.7743713102832,13.0317331917053,13.5589013332226,14.0470468413299,13.0806358466332,14.1412662129935,13.1833911995825,14.3993470629459,12.8384958309778,14.5177536340835,13.2804734962832,14.4268836183871,10.8376560860486,13.3030534186997,11.85520633683,13.2781654690539,15.0560308318516,13.0746498287727,12.905535328464,13.4588430227805,13.79579265362,12.611887606751,13.5652874230422,14.2146035872689,14.0202536265985,14.5365010018657,14.4576808618408,13.9113398099154,13.0879346008603,13.6786871047452,13.917287649413,10.8562659258053,15.4268971596449,14.9318892208264,14.3536097926868,13.4427018858676,12.5900891334757,14.8104291811428,10.8595985436784,12.3045759368686,14.8299724517234,13.797762027534,14.5413452535573,11.1395594445017,13.7156811038439,13.6105678610163,14.0069826225194,14.7285870502578,14.196608452662,14.1588005904013,11.978655709981,10.7635764764335,9.75579050731394,7.05407536418567,8.15945932102737
"Q8NBU5",9.32579935367554,9.47833708118003,12.9273853429298,11.0375526182702,8.49371317515583,11.5381008950993,11.9292925311726,14.4827008816217,13.9800537630749,12.7836914118739,8.46511847193713,14.1217301063559,11.6805872449658,12.9064246534932,9.39322070590119,7.01641984547442,9.06130134762605,7.52614804625103,10.6382130819507,11.3028465742163,12.9058334236479,13.8490683001835,9.40437124548369,11.7827734386509,4.06664836183738,4.84579373796183,9.15518600630781,8.81766311690714,12.1258650779035,11.1997121549278,8.70377904714285,10.5111741176034,8.56683202780967,11.488786627478,12.7578806227673,13.9522776626527,12.8143776486995,9.27134747341839,13.2419058467252,2.65561749193868,13.5367521493727,14.1017963437592,13.8242161693336,13.0865914688221,12.7988205846604,14.0444250899867,12.9208573761597,13.0063213418273,13.5292031955133,12.1471719650392,12.1286227604635,10.0099749092931,14.5830452144088,12.9939833990067,12.8608965560594,7.47123136774635,9.66438946525791,12.1891038150753,4.95572604969285,8.50647574924825,7.91653722215216,12.3942624836158,9.13988070328686,13.7307389761361,12.881385774457,14.1079490213292,9.26540637455909,12.2927879723544,10.0029914920048,13.2523493340891,11.7884243870829,13.868919648105,5.90985288949107,13.6551370340349,8.25940915663767,14.2408315462814,11.9580425869526,7.25073269296005,12.5693376933428,12.8132065257279,13.280501852058,12.8691116720764,11.7492076190911,11.85178979024,13.8207936081953,12.7571545027173,13.3962787745392,13.0209261310144,14.0147800892965,8.50780204483402,11.7991178402068,5.18087123609613,10.0966486416427,14.3165848343863,13.5943771892567,9.60309579098803,13.3202692268101,12.0516214551925,12.3054130525345,13.6772775265905,13.8783943638402,13.4353418829212,13.6985382040709,13.3487306957095,12.6183346046982,12.9449779916983,13.5770502706782,13.5251851902354,11.3689930786741,14.8291874576424,13.8917218012572,13.6323860530932,12.6771170921379,13.0231715147457,13.7415705192567,8.90943710098865,12.2052212396849,12.7506092652595,13.9869256256391,13.4619628918477,11.5194562581088,13.7084228279082,13.0862563479678,13.2823083970808,9.02494181748867,13.2110020881263,12.6194058331449,10.4204259427222,7.13142886130047,7.81110462574136,7.17245441402461,7.70621498564275
"Q8NI08",12.7436435533471,5.75335861386581,13.0551331038939,12.4155463814925,12.1053390919612,11.9661045059439,11.6909869159402,13.131350232891,14.0959474378648,11.748614000694,7.38586207616083,13.4773338710104,11.73781013984,9.9968109646812,7.27110465617267,7.38558817627883,5.93553929676503,10.0138497288317,11.4499260261046,12.1422670741034,13.0673513278648,12.3543767762163,11.6516089648241,11.6245085444774,10.1385222216051,7.2181493856218,11.7227852881786,12.1669416831297,10.6316502763262,11.0681568870431,11.1738034569804,11.8833881350299,10.461837096479,12.4142370149524,13.0563274856946,13.2912414081912,11.8165868348697,10.1767534408335,11.8662210704138,7.75387127214193,13.2257683859355,13.5569112076336,12.5140698523066,12.4545578910296,12.5265712977994,14.5782546339693,12.7615131723777,13.4535954071817,13.479681190644,12.8344918621045,13.776789818766,13.2148074925311,13.658802959159,14.3140554697278,13.9876659673514,10.3329407785298,12.2451293154413,13.7251799905131,9.59749428398553,9.38497164388535,11.1229751714745,12.2207396744386,13.3211493687737,13.9106747605405,11.7224253165017,14.4035300935627,12.5303371408394,12.5826131873021,11.8050542278477,13.1130863322564,14.1924109149618,13.097972828839,11.818509410034,13.499159362988,12.0276782247544,14.5790375475982,12.9525316931257,12.7011578105578,12.5243203020159,13.1048727071422,14.1669964897066,12.4047761418762,11.8041997451236,12.7716545990237,13.7744793958136,13.5362698214448,14.4788006262965,13.5644200984957,13.1311444879607,8.96639531420811,10.7492519901161,10.7067587209194,11.1976939847301,12.876623800601,12.6919650459959,12.5978512672971,12.7758436298729,13.9650765835301,11.0041129281439,13.6757362545698,13.7124475961318,13.2778617745218,14.3108424113092,13.5167465995139,13.6490061187072,11.8550312077831,11.9807048857426,15.1204361493688,9.70925762263792,13.3147298715211,13.047679534066,12.450002479562,10.2820402093565,12.3880834476209,13.0759371968863,11.5319847122125,11.7669180369567,13.4966405740414,13.6699589366966,13.4365578537136,8.70839162059371,13.0537942070898,12.4797635064424,12.8417968957376,13.2277324290926,12.7533545293051,13.3575095608882,12.1682996618924,8.11909937188105,9.97946422904971,2.32205173168988,5.72233091877934
"Q9H7D0",10.7733729692183,7.37623751078952,13.247843357731,12.6017647800933,11.5895004109186,11.8676613430097,12.1002489211954,13.587900972039,14.3076269644497,10.5529291407641,7.61048001371455,13.679838498584,11.945663792924,12.5549547195271,7.3201035008695,10.0715341820846,7.20484695441797,9.43417635748046,11.0693704227957,11.4475940425431,13.2785109580974,13.4796375183203,12.7208418236858,12.2807235238882,8.24902758956896,7.46560379836226,8.83925970813107,10.7256617066524,9.36130903684296,11.7744195838148,7.37297211710298,11.4292997139799,11.1250811969601,11.8497822977422,13.6396752981074,13.7885803251184,13.7896718763369,9.98908136029519,13.0163440620539,8.29399204024053,13.5786093951559,13.9071375657982,12.2895308645914,13.3769766590443,13.8322167448744,13.8297819896673,13.020404291553,13.7990363519566,13.7390845504644,13.1087264951648,13.5732205862386,13.4523117256794,14.2459781288334,14.4070111361776,13.38321410938,7.25886868721459,10.1374168662735,12.8597239379551,9.73269725833475,9.41425078714134,8.95060084482889,12.7248322070247,12.1075434410642,13.739975439548,12.3000265291837,13.6038454591804,10.9276642572205,13.7203305174336,11.411090151502,13.6106096779521,13.4246719822962,13.65019395342,11.2707374343674,14.1139710928204,8.18140493612033,13.5532836830433,13.4547602679727,13.3283769196592,12.8881802640368,13.6644179705166,13.9269296894198,12.6938649537137,13.2603279545083,13.4440730979147,13.8481782770584,12.8049187084836,14.3650862337286,12.1407132772939,14.5260669141876,10.6077966847884,13.5824510568413,10.7600354971688,11.2730983305379,14.4982417699264,13.0006087793212,11.6758957137506,13.1414588582045,13.0532892443158,12.0197689295392,14.1620863029486,13.6646238516266,13.315394841558,13.9496782797648,14.1970442970048,13.6761572228706,13.7452296384385,14.2964468147418,13.9995876291786,10.8942687127744,14.472644650273,14.617187955738,14.2443782383587,12.6444034228858,13.7136082023945,14.1357160412385,10.0974550133392,12.3695244927433,13.9422514036069,14.2559231686953,13.8277235313693,8.24014082465699,13.6642948978007,13.1122715404747,13.2351077426644,14.2621328312982,12.9983724968291,14.0601680685136,11.5736681013877,8.01862000290669,8.77548019727437,5.70913622220356,6.73415712995269
"Q9HAD4",9.35603164824226,8.78695228553029,12.5163808409317,11.9425640187902,12.5664157180889,13.856047494166,13.2393996562933,14.7501584578062,13.867616253376,11.6723553830947,11.4501802471648,14.9284409291979,13.3704541684572,11.8373766897038,11.595391044364,10.7024657461548,11.9143851321554,13.7579619473114,12.710206521532,9.46642925784735,13.8449975351863,9.58058640550599,13.9925921596908,13.8999310314193,8.58086491684821,8.71556435143453,12.6842903170225,8.53145736581176,8.51563455566166,12.7660285060053,11.295129797781,9.46347268031448,10.820968017496,9.26199828244382,12.9728003352245,13.2670390476407,14.5865835584635,12.9293036954813,13.0060115823224,8.61502798070227,14.2106868969435,14.241294188682,12.2320990190929,13.449285041701,11.7243460667441,14.3820460847363,13.5759502699035,13.9380174084695,14.0100277512528,14.0586801567766,12.5792197536928,13.3937581815192,14.3907196308813,14.9222377559969,14.122953422223,8.66645028049514,11.3048037129451,13.9946812711331,12.2789200487884,8.65247853665611,9.42521511946678,12.144013142525,9.09212492423135,12.9388723888472,11.4780578477065,14.2978865442065,9.46725938916419,8.7954178759136,9.44770061088181,13.5339152480809,12.0660400383958,14.3806510097747,11.7608101207823,14.1601206716765,10.7190864117435,13.2981514250287,11.8857910314662,13.5900062685195,11.3693386929783,9.4646172596942,13.1405415121355,13.1199507658505,12.1393996754161,12.7393116284402,15.1579227753207,14.3689727622184,14.2607934702077,12.3083983098415,14.9503583936935,12.1241806700953,13.023234556846,9.81345311352088,12.2423228951248,10.1007832353451,12.5493715397855,12.4263682656094,14.8098072883665,14.463372204897,13.4560293683579,14.5778405141523,14.7870041645282,11.8835385287383,14.4442626911673,10.2786871747773,13.9550399306784,9.67270371333211,12.8438578505887,15.1984677255426,12.5942499337841,14.1773968651551,14.5526711026662,13.8482155252932,9.37690102322741,10.3831335695067,13.8609144218516,10.5945662290976,14.2075535437062,14.445337502176,14.2782540682166,13.1470621110518,12.0412738794731,14.2943335944483,14.1560505788312,14.381898512647,12.2700469848318,14.0407710029357,14.528214335992,12.9913118087037,11.3745293340898,13.2536004429826,9.57015243812635,7.90172083737011
"Q9NQ92",12.7215836476302,12.0436695046789,10.6754712573697,13.9760702151073,12.0458696132526,10.5341207037531,12.1923793348405,14.5421863312896,13.7851391748241,13.6868443910791,12.9392179874936,10.5818350851708,16.4592243796431,12.6179672218126,11.587936453877,13.6540607707617,11.2969162068793,12.8934493635876,11.7419732741797,14.9268202266375,11.175009923111,15.3547160441573,14.6472009948255,14.0439671222734,11.7869276837139,11.820525698019,12.5034046888178,12.0968086580594,12.3556263936379,13.9243677150281,11.8175857945167,13.8349647685616,10.0766716159168,13.6401047149984,11.4563323297494,11.004188559056,11.1497905064276,13.9826065220292,13.4560582804153,11.7224175048209,10.6372491468859,13.460050150795,10.8726870871442,10.7085218545807,11.1494067630538,11.261572423801,13.7883575736241,11.4972219670981,15.0679300684347,14.443236840348,11.2026389485197,11.2181346834456,14.8522451089041,11.6716079864518,14.838710130781,12.9881890826162,13.2980087330212,14.7688818284882,11.4209503311061,11.9838933393699,11.2540168066075,12.2644115207583,14.0144849516544,15.9249081499181,12.4043891184962,14.5688599870166,13.4466025997291,11.4443170665755,11.8538532796034,13.0916939331846,14.5864293400619,11.6939375202506,11.214082224202,14.6008229751626,11.8825196371659,16.8835501795573,13.2772903459155,11.2687227963713,15.361788258638,14.6649672375617,15.2234855132182,13.6407206606059,10.83211528471,10.3778708343286,11.83880797208,9.98413152430722,10.8513631983453,13.713386514937,14.2762236754516,11.4183056098505,14.648189033024,12.6098645205255,10.8156689600645,11.9254033181669,10.7553847976317,11.0381270843834,10.7708945084257,11.1328519837158,13.3063905203333,11.2855123089318,11.900850746703,15.7503342658794,11.6529352890645,10.5779748133294,15.5034220349197,10.2941392132307,11.0357593492131,10.8911352769972,11.9741336942061,15.6044336762723,11.8371018434671,10.1320900724055,10.0887622276611,14.9310538851489,11.1299747480058,10.2500921949972,12.0775644514607,10.6104279987001,15.6652723691484,13.671299602558,12.4354102657776,10.5658607526082,11.1122223241786,10.3131168772803,11.3618698584931,11.0364242967614,14.6210788623355,10.3933364665665,9.95628998933329,11.2087430803354,11.570858000375,11.6165494079921
"Q9UBT2",13.9881604484573,5.66288997903972,14.7693799318383,13.5663320018563,11.9797288342489,13.3827532510384,13.1535768187178,14.5404783862688,15.7079982506364,10.7091495480415,6.30731606362671,11.7575915143533,11.6453891840612,13.9059553744236,7.43039341989522,7.81385216873152,6.34691306274067,8.54101528228889,9.69307215839597,11.265256997575,14.1143209104878,15.199588788402,14.0234920730235,13.0699623168028,5.78123399137952,5.71372076045699,12.0056493190223,11.1418850661631,12.3792619612942,13.4045776832233,10.415207121093,14.1254122658316,10.5040037305981,13.4730036087278,14.2531916611405,15.3925979279907,15.5199954855881,11.8936807383909,14.5144675028193,11.6271592611389,14.5264906632066,14.8911686630096,13.1379991108733,15.094798120089,15.7403725013705,15.8140070570284,13.49550752057,13.0568070355806,14.9503717236114,15.0472717877015,15.0935415341182,15.8443748377709,15.0385206000198,14.9612766543056,14.7366313136081,9.58154360234185,12.5289381395517,14.1225395585468,5.80638222914237,10.3871524926835,13.0288223286763,13.4102216532217,13.2562015666855,16.5127747043312,13.4314478029735,14.7792150082207,12.7191252574499,15.2335176478819,13.3046813377066,14.8496456677,15.0140142779435,15.0806781996876,13.9107074175878,14.6014546267215,10.1855003960344,15.2604323430237,14.1139952876956,13.9224572982645,14.0300530342966,14.5272170872511,15.3674592183932,14.3265395314567,14.1947153323323,14.5168111455572,14.6884435729674,13.5785854173943,14.2173945581896,15.0250565360953,15.8364392099616,7.15448803329586,15.2466969328017,6.44610985395185,13.0172019114467,14.5969422444198,14.2159655864534,12.52964292292,15.0416676748784,15.2155619991163,14.5972960504485,15.5713535924336,14.7887518042656,14.8604080591247,16.0763156191443,16.2773854049273,14.4984662262589,14.5514729226292,15.1120035265286,15.4477569880497,12.3292758910555,15.4749980674099,15.7776774257337,15.163188785465,14.3777247261558,14.0620245293788,15.2318740270714,12.4754006986959,14.2775168900516,15.2226886283139,15.6188688241629,15.0802309800386,12.6643853949232,14.7077679977064,14.5838463988145,14.5509412776875,15.1492294192994,14.6033797361573,14.7911187793813,12.3531690973665,7.80561787232485,8.70653309789783,7.64869852821295,7.73312489787819
