"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"Q7Z7H5",11.629941606004,10.1139503230518,12.2133176352557,12.7741405492992,11.8793636626707,12.7223318636304,9.29619826405385,12.3035648580386,14.0493103952669,12.0277681669019,8.38674928844313,13.510887765694,12.3993347023617,11.2508905357233,9.774852854258,12.4284624027897,10.6832473793563,11.8161585602835,11.7240225192806,13.6898928610228,12.0560573217231,12.7583098819373,9.6008008514012,12.0259913194115,8.77234706841733,9.43288125694652,12.4614121666008,7.85814533586862,9.74809346383172,12.5319022627096,9.05858500373763,11.2205368652954,11.6054841456903,11.1916971829005,13.6308870430473,10.3696248535003,13.644072493193,12.4819097202972,12.4928830496992,8.3376810821423,13.1621650596473,14.1455729351642,12.4033522670155,10.1933350071357,13.5955889045887,14.4723483574792,13.2015835134917,13.7843481982704,13.9633491675194,13.9310987872025,10.4686287252581,13.7852768331431,13.8732575628214,14.3190953760965,13.3150378973123,11.4831264730935,12.2607949815795,13.9086574380245,11.757978846214,10.6635480370172,11.9824476480354,13.5338661806159,13.6311789283359,14.0581548525644,12.5447112650985,13.784823053665,11.1529204239588,10.9395391471446,12.8512720105908,12.6882671902918,11.81564714047,12.535784996142,9.98856631093447,13.1993192192791,11.1071667136593,11.9240894269226,13.8225173723656,13.4728248176655,13.1146278882637,12.1554747214432,14.1015937043425,12.1704936698981,12.9761205421962,13.2622335330902,13.8421603537789,12.6932402373761,14.2371004228763,12.8392332920354,14.5742250696824,10.2824858130797,13.7061551551048,12.4022756789462,8.74807485667906,14.1540721658593,9.07286836110648,13.0576516842625,13.2889237662563,13.8997464897318,12.5378944019507,12.9815832458943,13.5295192484275,14.2702549022003,13.9601302863407,14.2035828363762,13.2255226931113,12.946152147273,13.5483402876761,13.333133882298,10.4791860825346,14.8144222255814,13.4029752927307,14.136961355346,12.8304822987622,12.9353902500205,13.6827632234348,8.32139461564245,12.3217929764347,13.6298884034855,13.6575532829777,14.441182447894,11.6916395887525,13.5618756625892,14.3023140768432,12.3832864538672,14.6281233024136,12.9162092274321,13.7962774783667,9.92139950488609,10.6554384241793,10.7797541350521,6.30731771307724,9.24194321544566
"Q8IWL3",10.4029351413383,10.5727002264873,13.2585464345908,13.3800854896821,13.1117975900668,12.9892463321356,12.6275080131754,14.6884422923005,14.1561654575069,10.3731393075765,11.1077377634141,13.1345867533644,14.1274271714767,12.6749943103532,7.20442638475577,9.98978910753715,7.23057556517584,10.1144310667228,11.3673595956202,13.9450914435961,13.482389967843,12.9665842412213,12.6115576136846,12.2534780493326,10.5614132661039,10.1344690001409,13.0994587649442,10.5435160615773,12.8282766169253,10.8888644004335,11.4333649048106,13.286557761608,9.76748923019938,13.1020374730311,12.7542784718199,13.3378205143615,13.0496254974995,7.61061166751617,13.4161584305261,11.5603188104776,13.0148091555979,13.0890259280141,14.0735689044053,13.6190786985731,13.3335900725089,11.9538567687981,13.0165265127241,13.4662974998808,13.3809133603578,13.4706566621208,13.4068501038432,12.7062700324262,13.8836043867974,14.278458020748,13.6071243139344,11.4884464254404,12.6469623753927,13.3367854762038,10.3572573627735,11.9131543138849,11.6028798079661,12.283659863386,14.0834672313072,13.7767521826643,13.0803160155011,14.2080819099811,11.1621001191181,12.7097981261792,11.9942515156479,13.2115333350838,14.4359088219527,12.8126982606913,13.1531997825355,13.2177567634718,11.9197920089147,12.7080108964339,13.0888954875762,11.4257860016127,12.5994452802844,12.4525274452288,13.718545049062,11.7800885358688,12.4562966389114,12.665495133938,13.4871981383997,13.8490630098939,13.3925857562755,12.2847158308311,13.7197049530818,11.536436061368,11.6421889502144,11.1096998222822,10.3119456656186,13.7092639847218,13.4396417831019,13.7380835268065,13.0846051695582,12.9734132894975,12.2411698667023,13.6931341247628,13.1829261429356,13.1409255522067,14.1020425374527,10.9979851095356,13.3266871469806,13.3304092236312,10.4630376207107,10.7555539727414,12.0069927896743,14.5445912444055,13.4653135808408,12.6573184495813,13.1971545728534,13.7735607064284,12.7106330247864,12.0871756472055,12.3471810231644,13.8461392448572,13.8624436422123,12.8039510816486,9.94336710646858,12.6880317024139,12.4300204565109,13.3547199314638,14.355144589035,10.3126775808054,12.7308646355562,12.1331422124006,12.1623898981218,9.1619172255191,8.98742504217945,9.7978011374322
"Q8N2F6",14.1796727562022,8.44555073346886,14.2098465127438,14.4382720561248,11.5580557260956,9.4845958984971,12.0498783867696,14.8256579954912,14.7197779612885,12.360886453504,7.78689244891457,14.94099229495,9.44159324173547,13.3336585806669,10.8475550362153,8.45945757164466,6.5567558890183,8.63500810189136,9.64351953900277,9.45686418767765,13.1995407767251,14.8536594248963,13.9434732443136,12.6233968786284,7.65620195119933,10.2404053004935,13.5379712032679,8.78297634165495,8.5652658501716,12.5531311517296,6.72317179518576,13.5993797415659,10.2679586641177,12.1361502509949,14.6120003173605,13.3636030302162,15.1836406268861,12.5887529122905,14.1236206219793,8.41346602182436,14.7101176230991,14.8084940021113,13.4605717667944,14.5783600331145,12.9540403700125,14.2105149384055,13.999633506603,14.2343233646589,15.0641959521989,14.2287685839113,14.1231708045785,15.5779752750762,13.4840307396184,14.7192591928396,14.678310457099,6.5221717347826,9.0774819243031,13.8485045791338,9.25077520262175,8.80773060149208,9.30692902159703,13.3627244433963,13.9289739042338,14.2893466148075,12.2285046864324,15.3394799178731,11.4376307405224,14.5766024407715,14.2671769991575,15.0391129536381,15.546771861635,15.3637761237598,13.6954458105374,15.5946377402896,11.501694279847,13.3672448084256,14.9400055180295,15.0082374467614,13.645511170669,15.6619698398894,15.9526282075281,14.3328819155243,13.8724551749598,13.3433514834891,14.9910601323182,12.6744374479518,14.0688863211532,14.8152366480938,14.5941742126728,12.8551086890693,13.241035817075,7.18114705252016,12.5531311517296,14.8059588345058,13.6859013807436,13.0606955934485,13.9433842836583,13.9857511197624,13.9034629616207,15.7406744367648,15.0246617973406,15.0949107920729,15.8483803908607,16.0920768534526,15.094322344671,14.5595817726256,14.8444906050863,15.5376528564508,10.9426890078533,15.9848725238592,15.5591178654085,15.5565698622599,13.5489065658679,14.5771004604983,13.2647443131915,12.4739296296134,13.678310457099,14.87116122317,14.2432643807431,15.3032233698306,8.85747768455375,14.5356213320433,15.4823846407807,13.8387460452311,15.6741145581338,14.1398447018699,14.05123851143,12.9592445890654,6.01056141569947,9.10506009415944,9.04223617957931,7.09616456353734
"Q92597",12.8806713504396,9.12685289908066,12.9694047807605,13.1251600735451,12.3325151020335,12.855216333277,10.5617571520407,13.1963930465355,13.2256308515623,9.8860208048549,9.94908423093371,12.9766261754668,12.8903589095922,13.6118535474116,10.5011294235338,11.9703978387214,11.2674382770302,10.9431209423574,12.080038139094,13.7283402495388,12.9718940730874,13.3541568710399,13.1351613506181,12.372334629999,8.43550338286734,10.5333153639492,12.5248892846264,12.4559641619112,11.0578009178655,11.7222887381432,11.5691135270539,12.6800315033145,9.80236914156981,12.7303421923486,11.5630419114775,13.6072295470141,13.827329973676,11.4744380302996,12.8864797003073,10.6163675535801,13.0551738286342,13.7891458613058,13.0857872095491,13.4363876477592,11.7663020106025,13.5663778607255,12.776192923235,13.1926394323294,13.8620955906001,12.8160452260251,13.3124854211374,11.3790128878928,13.2668832741803,14.0758218295177,12.9129260021863,10.885533032834,11.6075283416316,13.452761021032,11.4275160070248,11.9455295976908,11.6094102199003,11.5607649212423,13.1402550069995,14.5018970614473,12.3963405331696,13.5616408070326,10.8288653766856,12.4763145431657,11.803626063447,11.6887025282611,11.1400034430877,13.0001249541806,11.2828432300934,13.3206408598505,8.36481416657319,13.3426008965958,12.2434211741817,13.1022795804042,11.3358814176135,12.5673314811225,13.1491018471069,11.1568307744612,11.1000216421047,7.50879891844704,13.7918058938643,13.5047129730037,13.9946990532922,13.0907629965784,12.6445423903549,11.9097042399315,12.5592481276359,12.1365336254513,8.31644021584968,14.5566970382585,12.9203074822829,12.1651892276945,13.0548909652592,11.99007059265,12.1939891822958,12.8985142967793,13.3900423225217,13.1560162262475,14.1219712673963,12.5075718125669,13.2207235498748,13.681203508847,13.7646141929944,14.0421789747177,9.82589444900428,13.7835124917956,13.6256140978128,13.4141644873878,12.873910593612,12.5899618836785,13.2132538551965,10.1919786351993,10.9559297500099,13.941478155808,12.8736821074449,13.7572902320518,10.9535480765783,12.8636778300729,11.8600579281174,12.1443630298636,11.9253073177062,10.8720196625659,12.8622519181032,11.1775414107166,8.77626104193134,10.5947889385193,10.351939977512,9.89983347685701
"Q99460",9.16290173489892,8.53182010703477,12.9728399606295,10.3956641310933,11.3107066334116,12.4232908840132,12.2718793794686,13.3594750488495,14.3013654177817,11.2519361596047,6.26040565706108,13.5430461533491,10.975847038899,12.8065983637666,10.022755136156,10.9189922585122,8.54215968127644,11.0240658930793,11.8735730497888,11.6597338951987,12.0413703586364,13.6644400799247,12.9608378965588,12.8723399608054,10.2705508380887,10.8748124321486,8.00237224844601,11.1757887194168,10.9354143014943,12.1656390811383,9.97431285788223,11.8158271820773,11.5772473026426,12.0480100455979,13.468525100729,13.876766977385,13.0441900982704,11.4537284336576,13.5154952590311,7.33733295792612,12.9917795510338,12.5541308718121,12.6782023535209,13.1921487048679,13.9384063161713,12.9389884815998,12.7659817154387,11.7226285525522,13.1231147226295,12.4399597124933,12.002561858834,14.0657731712867,13.2885323631304,14.3655227271684,14.4225397076797,10.6210050334254,12.5002478011772,12.9558298796103,10.0090575424657,9.65463602852797,10.3282751047918,13.1601006279477,12.8081597728684,14.0133307798694,9.87860891097609,12.6624673722078,10.1227339056832,12.6698193615288,11.9086182892024,13.3922153576949,13.4336787425545,12.4431844149407,11.1589908979575,12.1372296140771,9.19191649496422,13.3700732555659,12.6657680701617,12.7805671162838,12.9134046254049,13.036782270458,10.1232246899564,11.2262005427151,13.1654506459929,11.8256027015389,14.6184022696337,11.0403069789915,12.7435796268467,10.3814292841133,12.0564970507239,10.4118650387802,11.8055924028652,10.1416487801457,10.9995544783866,13.8358518154297,12.8144817351185,10.9308563374063,13.5636893621055,13.5092460073886,13.2153723188079,10.6012490154605,13.4251373727878,13.3674795838861,14.6472256380101,12.3887860722938,13.1349075661388,13.0041644037889,12.6859127864456,10.7323723077784,8.67820975287259,13.6064611155394,13.6612996565298,12.7559559616096,12.8547041665828,11.8873772211109,13.2264492120426,12.2326754594807,12.4215695410055,14.4693814833856,13.2645714730065,13.4218496352681,11.9602114029902,13.0875025123103,12.8389427443009,12.1276570270805,13.6687937493737,12.5483018522652,13.3828559861151,11.6362049451079,9.77223933495708,8.0423829362331,8.49663738579903,9.4028753603189
"Q9UBQ7",10.957911588888,8.37686979624286,12.4477446529473,11.8928340354819,7.8402862687621,11.0189530073073,11.8917470866849,12.6239752308229,13.8519218720088,10.0740445941984,2.9352130997629,13.3022121527696,8.70749724742843,10.2841645694235,8.55155639144231,5.64203343893447,6.07919710288572,8.07804894299653,9.84490967334021,11.2674023396484,12.7483113779214,12.4510765826973,12.2411344933229,11.2776478375745,4.90096668136547,6.50062274693662,7.85061417820144,8.64342695425854,7.08622695502279,9.63152034840619,9.92094809284812,9.7287759100176,8.76228189481229,10.2856186055012,12.2637698076917,12.7853272903356,12.6819324771957,10.0563209645627,12.3821663748577,6.20579901326458,12.3353241988177,12.901125833786,12.1522398406369,13.289564194341,13.3701591377473,13.4548132990041,11.908414711071,13.1188533958794,12.9853791914983,11.8402775241183,11.6549346292475,14.2392468166299,12.3435220533132,13.5223011013917,12.3106304791728,7.78104493324686,9.55570576378439,10.7777721827236,10.8259245298956,6.97442559144169,7.04338276465022,11.3737068458108,11.8756161103975,13.5957720705876,11.5396696381181,13.7424012108276,11.4981329537998,13.1783845773719,11.4899904074542,13.432971490884,13.1576193976934,12.9127167409671,11.3235948488813,13.4786481596237,9.60431609246271,13.259580242966,13.2904126643518,12.8917569105831,12.4491363809026,12.9354217475917,13.6852012662028,11.3606978366739,13.1702262556009,12.0115102960901,13.5901384629703,12.2400664258714,14.180826205476,12.6600829071714,13.7524008558885,9.41400783256773,12.24422506448,6.83483392041485,11.6159802364624,13.2298038429694,12.5546315894643,8.76444688446563,13.2895925118972,13.3371606500729,11.9834014293208,12.9122135301827,13.1448802684733,13.0263457633557,13.6249117812824,13.669608397675,12.9988520925244,12.8787189512941,13.1622130381726,13.1037662071449,8.31630234802279,14.0588629726373,13.8994579008342,12.7777985486293,11.8433834969619,11.7204611121719,13.2354337480307,9.97194292097714,9.86755723814807,12.8287512263717,13.2375635840537,13.208254867822,10.0194653892374,12.4364645407415,12.9177943821439,12.5660039676155,10.5600648088017,11.8656132275601,13.2463263858976,9.00466842228203,4.98196027007609,7.30175595118675,6.00867934626317,2.14284869202063
"O15197",11.9498174666031,8.88148800217049,12.936556252133,12.5018069310476,10.9372631816838,12.1050009126349,10.2863947152677,13.7998340972901,12.6322036321429,11.710113895233,10.401400743823,14.0518984942503,11.2323912022707,10.9025113214466,8.8742692888448,9.23882211756858,8.68541121084476,9.82332952966391,10.6462014770352,13.1337095067413,12.5224172977371,13.8810608942597,13.402605032673,11.7324034038573,8.50319980086859,10.7069569030648,12.8655033916757,7.45791787003314,12.0136778559821,12.3045228007689,8.90773125270037,10.5613733946215,10.6736580198084,12.145970601009,13.9806812691074,13.6410111280492,13.1275375453882,12.5338286098371,13.6258878411152,7.01530133020347,13.4245472495153,11.2985844452224,13.1368069743408,13.3560295360723,13.6883485055385,14.4835636825672,12.9811287942599,14.5066403772636,13.995682968353,12.8060354072844,13.534031167868,13.0607595300288,12.7435397387923,13.3294778090493,13.4873517671519,9.48637823196998,11.3575442920818,12.2350976921497,9.45706847542912,9.34138996783605,11.007956498159,12.1821685064438,12.5931467401141,13.800520508984,12.3071872890808,14.133248119425,11.9782033847217,14.2294340470162,12.8074900856571,14.4553931483006,14.3972184338672,13.38751332171,12.9744955412588,13.6023428207992,11.9736228959556,14.7441319553326,13.6033777958783,13.5717689920567,13.0254552595588,13.9360021069881,13.2841943344933,13.603558564408,13.4974554075833,13.0888143217804,14.3134899973585,12.2719152626516,15.158284214446,13.2318892934092,14.7131808037314,11.5924234411402,13.4933419410195,9.96372332531479,12.8087006752115,14.4986438732,12.9015082334595,12.3948245231063,13.360133301297,14.0907563113035,12.2854052778897,14.5154040953961,14.3289446161043,14.012668093857,15.452047925986,14.8866506156148,14.0909681908368,11.493806343061,12.9623989560605,11.1673250244229,9.60170443014038,14.6559489097696,14.2063660212674,13.8414415242448,12.932594856412,13.6843399397077,14.3198303607496,12.3349104947438,13.1236485995546,13.2786605287127,13.957383352172,14.2157028290946,10.912265186651,13.2911673424933,13.7696522964011,12.8834151711618,14.7389659440532,13.6664028777682,13.8949509846148,12.3345206603528,9.02011058168224,10.9696049470097,6.94441628493474,6.91819587113657
"O60449",11.3168943818861,7.49858561949773,12.5596306661655,7.55263101312711,10.0687862698267,11.9223877806241,12.3940027681235,13.0336623060207,13.6340630717581,8.87640308970502,4.27837229597047,12.5753896683496,7.49045752088048,11.0457490916876,6.78381864305844,7.52222817070006,8.67952249899097,8.76817855069317,10.4902482573595,8.43954318454042,12.7404261292804,13.0061269875688,12.3880057169997,11.0183119218097,3.97146547334562,4.00787853186911,11.1877541449469,9.36447544642017,11.0206870539695,11.4887468158439,7.97888265457464,12.4190041388235,9.69562487717858,11.836369460269,12.808351221015,13.0127565654392,11.9694290530021,10.4447682394686,12.5385697872546,9.13065786733539,12.1257631389814,13.630535738766,11.2904748649764,13.3024132809124,12.6557543101442,14.2087514735851,12.6472066756457,13.1930522304886,12.7103262603807,12.3248117470593,12.9113952005805,9.91584621317731,13.1936533229026,13.4690383625142,12.5309230270342,5.24110200954565,8.72055415472429,12.2024310523207,8.41021549605725,7.56625511763433,7.82479457139127,11.5797829452662,12.4823340405134,10.0458292224232,11.832518186743,13.7440322771088,12.2057732741296,12.3763967510828,10.9333374090426,13.1286294362246,13.1914039281111,12.7004592451121,12.3313445458216,13.5872093420062,11.748963130782,13.5315661582043,12.9682786950609,12.5853724798386,11.944645459186,12.4328692520125,13.5170482249607,12.7356818878845,13.4987080165101,12.4910549504703,13.815231797247,12.9645352914121,13.5742044803601,13.0582059660382,10.918652917262,9.90520592309544,12.3738777694599,8.78348283583474,12.1651844175376,10.8092938854239,12.632464601838,11.8855491015415,12.5824097325975,13.3419989320388,11.7847644006974,13.3662687376694,13.5094563500734,12.7411343824382,13.4270424765508,13.3402032788562,13.419696888306,12.8265624914502,13.6470584793485,10.6032306635819,7.87084759157701,14.179362091271,13.7015347169068,11.8696682700788,11.4015842600429,11.6666800143222,12.8775376570453,11.0698202816829,10.408936309321,12.9608188404719,13.3596026841449,13.2619142606591,6.15536143789378,12.8295043008119,13.5252207560946,10.0075866456823,11.2034005425029,13.6235739996263,12.6916200640423,8.87253385704491,5.98559946390178,7.78594632672565,6.70984476756695,5.1960348883588
"O75792",13.7953721893926,8.647519732585,9.15855094743861,9.52972358185839,9.10531063027643,10.182654216228,13.9207821220774,14.3213012156241,15.6557558140169,8.84483183108178,12.080537843751,15.8104548991814,9.63869949269607,14.7236504778636,9.43363460892721,9.71123712476457,9.30527356848002,13.2898924253893,9.96251362695797,10.3656973769147,14.4901230663831,14.581955957982,9.71000405232973,8.46845800229755,9.25744318660104,12.2167458581953,10.103032581751,9.49102265752255,9.53080435141953,9.90305991783505,8.86506557495099,9.83208202638746,9.76119181837999,10.0918030937062,10.2294052957005,15.6692253307395,14.8272874187354,10.0467531336601,10.0226586469636,8.65540161220939,15.4063963450802,14.6865042642729,9.66183514716132,15.6980096204431,15.4507995933236,16.1950631600037,14.6639112627604,15.0387238868545,14.4856614705996,13.4888443464573,15.4813527714063,10.0675170835266,14.4701111184918,15.7290394635571,14.6899117318006,8.33076200936301,13.3238820116601,12.6074806414208,8.89782420845536,12.2404558247788,10.1469026807535,13.694575537526,9.18164441788166,14.9704687788626,10.6876031730311,16.367475457024,13.632097186205,15.734532927401,14.0449917030403,16.6340748756018,15.8879583417172,15.689829804155,15.9582522699999,16.3688391664916,8.5501881362378,14.9603955261695,15.1092993809557,15.1277957245731,15.4493562070134,15.1130176692018,16.6236863875757,13.3558317448204,15.2925094695567,15.7989592603436,14.4779313811792,12.9683942891724,16.4737814443054,14.7145948837739,17.4196395015679,10.1093081902982,13.7565031740717,13.4498438018437,10.7472554674145,10.04155473072,14.0095950808885,14.3659765529506,14.9980819023572,15.6469561668985,15.0200320428586,14.8040738606541,15.1545016938648,15.0823358584037,16.5360402654967,15.39302169179,15.4143695425861,13.6345501363079,10.0942472034085,14.6351631857659,8.47128099371997,15.4844500228304,15.7170401301913,16.7189613240901,10.0027726221153,14.8822180186446,15.2108193340814,8.9713043210011,14.1666055249443,16.1643051992189,14.2246235478911,15.7432574204513,9.30409277062235,14.1241153780852,17.3484997946589,14.4114967909178,14.978067256599,16.1705837081782,15.9609114192703,13.40673878263,7.86946198941496,9.26923108183753,9.75943573345499,7.91496920321813
"P61927",10.7646871796316,9.09383689078874,14.0431964813918,10.6612105740158,11.1891248127819,10.5942610767004,13.7558150182854,14.3283095940313,14.8081041911481,9.14868848911204,9.25403524640107,14.9888517657469,11.9151989272324,13.0770040981472,7.95091615564252,8.61731994532419,9.22355292083523,9.32486627757819,8.37133552648717,8.92712398022692,14.4686989076414,14.1504229330364,13.5979236306039,12.2368303310827,9.25838730190639,11.4006434083543,10.1406058283214,8.31495940444647,10.6094043542248,11.1229758701461,8.60112853528491,9.57197075137741,12.6712948980974,12.4875284566612,14.2451618821563,15.5389370933739,14.4123550472541,13.3662393843135,10.7108810350206,9.1757741639898,15.2404977687739,14.1864214606348,12.8496421962028,14.8430398869774,16.0015122379224,15.4153824393313,15.205120863595,15.726406549035,14.3592717791614,12.3297303541287,13.38935155642,14.3887364706328,14.0719262148594,13.685951708171,14.9173239160895,10.2653695897541,12.704975225995,10.968928018616,9.43999432334781,9.65389032771339,10.5212861397629,14.1777292988385,12.5706132430219,15.1113659540154,13.6035303346732,15.4166879391627,13.2170387708767,15.5593807735161,14.1885555448738,16.3275755089145,16.0686242463907,15.3763713039829,15.4425548935461,15.0310923893727,12.9068399949937,14.0315170869631,14.8738663667145,14.9262196724199,15.1667990962334,14.5894836709491,16.2807705405904,13.1023078135833,15.1097526409249,15.895577159017,14.8687389262011,12.7594408569932,15.942150328617,15.8152570562564,17.2283611245258,10.1908573840789,12.94328247789,10.4459793568345,8.92572719539029,14.7755023357632,13.7454450724446,10.7588987022383,16.1801334222713,15.7360353404923,13.7953998496524,11.5046555722092,15.3639002238289,15.2242083279861,15.4265675613464,15.5129507098425,15.0942578861895,14.0494733551367,12.5024772123358,14.5666234074643,10.6528581088796,15.3099288087741,14.758963448856,16.8385434752404,13.7790516620043,11.5515567492321,14.9908243618944,10.0907545886797,13.6359350592661,15.715490912512,15.1383847629506,16.4844281798582,8.76725127047052,15.2451278044715,16.5412963495375,14.0679180380909,10.9727851753867,14.9177035642967,15.633274661415,12.8042890774397,9.49403163136894,9.53258651895937,9.3944677150225,9.45240169688136
