"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"Q6U841",11.8196891519092,10.5879612655187,12.9993877343197,12.7407881549109,10.082606892137,10.9408431633871,9.42732316521651,13.9731889037593,14.6060302620516,10.3042943690079,8.57959114654965,14.9079316335868,7.22825397589103,7.56096750114825,7.69495253158143,8.41956919089618,9.84220350692814,9.93600875035289,6.65550729804131,8.81602432171059,13.0940776560436,12.7725842295803,12.0621865829642,11.5100731641517,5.46870883733011,8.08924440613773,10.6134573386506,6.60977388952738,9.22684821304446,12.043863097103,10.0397131683404,12.0883888601616,8.54616956332118,11.2894008274781,14.7623979026542,12.8974404060286,12.868349491682,11.4787449522319,13.8957850299704,9.7532983451352,14.0020313633507,15.5131755424706,12.1689872946871,13.407909325885,14.0767901650616,15.9765106098621,12.1460954818253,15.3816527720945,13.8270923122895,13.7495813163557,14.1132492200757,10.205567334894,14.6376143097644,15.4751203003046,12.8959203677682,11.2930718862787,11.7368807256608,14.9497389214428,9.32031738918387,8.72617518932641,6.30761047809182,12.7966179725925,12.7410141735366,15.6002150313912,14.07507190079,13.8877292773963,11.6161921992346,15.4910313877691,12.8794912301407,13.9118705475824,14.1784982761021,14.4385746895553,13.7950759275418,15.1201575158321,10.4145850246827,14.116448211174,13.9235323012966,12.98068578708,12.1403302574386,13.2521172447773,15.2858588467921,12.1992542770543,14.0513178162824,13.0429432379973,14.179995765262,14.4581863821329,15.4426140603418,15.7623043677539,15.8134591986648,11.0395074130871,14.7446595827144,10.2757321336892,13.3271320760758,14.0478476750447,14.3570704528165,12.4926262725914,13.8304927133146,14.7968393535829,13.3228994564739,14.0088685526404,13.6219625543554,14.4327226896943,14.8977318857635,14.6142949019611,14.1430999670897,15.0401231271059,15.4155157631751,14.3353890901822,10.8826017705407,14.5102900888234,15.0051420675112,14.9660024852549,12.9726375184231,12.2237452585048,15.5848967051731,12.1121730261224,12.7691964002822,14.0120249138512,14.5697763707894,15.2247320760784,11.7202037300459,13.3291155306242,13.0100043968476,12.9939279537516,13.5084606455082,15.9774541451527,14.1450748460098,12.6143355011706,9.68230129028819,8.5447116416507,5.52982166983438,6.32753374851553
"Q8TEM1",9.32267667882986,6.78490262203951,13.218526192331,11.3239807540334,9.77400928345724,8.83866720590675,12.810271164759,13.6941016073514,13.8280926773218,10.4403183373726,8.30049050557319,13.7501516913481,11.1195969211162,12.9031714614715,8.10373987736847,8.58061565604541,10.2094056471503,9.06528601835642,11.1742424582099,8.85312575955566,13.4923774188018,13.3415793219123,12.8107286238466,10.6059743713048,8.86520275699403,5.07906866422104,10.8775601822847,8.39997602020348,11.0222598594168,11.9968349216892,8.17976661260322,9.30741816265736,8.67433532128192,10.6496948158316,13.3157874424495,13.9824843195205,13.3670866552123,11.6349506598117,13.1856511094688,8.24266617637544,12.7923139354622,12.9777684186063,12.7896872734105,12.8142448307011,13.6769337104537,13.8727551342077,13.6906752471649,13.8950532886269,14.1448407394346,13.4005440714597,13.684174266116,14.1997031060199,13.2152888765923,14.3907543647261,13.868331295908,9.53025523061671,10.5954441726902,13.0580978099807,10.5828170988576,6.42645722707626,9.50004857738497,12.7322860945884,10.5308081632395,14.5319593348145,12.7317946623412,14.1334183539756,11.9380194184204,14.7148275068475,12.3179885791316,14.0383959158161,14.0337460855096,14.1199439605693,13.2408276251825,14.4651443362404,8.36436557172113,14.2883563164937,13.6113616216982,13.4409200871457,13.032093718564,13.4800644111032,14.2297435643801,12.6037034189013,13.7385712101276,13.7075589192616,14.4442047520386,12.8106565395166,14.1746429580491,14.0049239119486,14.6925812112132,9.90808497772027,13.526037454844,11.2539229635987,12.3676128800348,14.5846549871349,11.8708548919309,9.71303303611888,13.8773700024349,13.614437337705,12.6776439948246,13.958640159438,13.4217342162619,13.4590592107548,14.2546562511029,14.3706722644354,12.969268469582,14.0782106211303,12.9017028127574,13.1254480869901,11.1017176452815,14.4084943233127,14.4688279886162,14.1074545766273,12.5263964420916,12.9620355383999,14.0703555936058,9.83276987008692,13.4040247977807,13.9122024465131,13.9385404771632,13.7804248484799,10.8236397625462,13.7099384962731,14.0828450535122,13.4497117013536,12.2718890714364,13.4565713288418,13.6361575924077,10.675817017036,10.5003974806284,9.54032802698854,4.43708101013628,6.1028267645536
"Q96QG7",12.0386900172292,7.40047214573928,10.9020687639909,12.1737382789754,6.57735513495195,11.874038322012,12.0266090717127,12.3453147942242,13.6875237386944,10.650596846212,7.43774703466505,11.4155583119031,12.2729146876449,12.9487457193441,6.78233703511705,10.5626138365758,7.25152168609888,11.2353963078326,7.51798254115258,7.03523605884611,12.6645765529885,11.3909441124405,12.0829222898974,11.0740228260817,6.87911034882836,6.05986300974616,11.3211768256923,9.91643237413828,11.5268644781272,6.20262742328322,4.98026398384613,11.5509692639769,8.8951788232486,10.6339657594382,11.2959426819547,12.6740696382927,12.4778692477784,9.61202032820532,10.5690612773313,5.85036634790176,10.9843068756933,14.11286918888,11.3661918838537,12.522334789772,10.9177552459862,11.7672071615517,11.7919418423407,14.4044325519093,11.5255934772144,11.7233963879609,14.2266484460844,7.7819099851359,12.4431942565991,13.4221742658669,11.9751843542467,9.43475739766949,10.6673987286918,12.2766429027576,6.39435624756828,6.13046361513327,7.44811736680776,11.3386345167557,13.4734029157352,15.433396245814,11.408243504521,10.8732201827274,13.0934161380838,12.7508024494913,12.8767317407046,13.0548996256631,14.5595047699253,12.7068668809024,11.9005470502042,13.6505827940865,10.7677565877943,12.4271050079683,12.0032229078176,7.64897594096896,11.3239038876983,11.6563027232901,13.5659172713323,10.997978055235,12.6381376289518,12.2965138207471,13.4150058552272,13.1101670172902,13.5757550659323,13.4601522156255,14.1601388928238,10.8794433928255,12.3668762387114,11.5229510968092,12.1935043395928,12.1171942367581,13.2350208877763,12.9156385793093,12.8722421323134,12.8798824191647,10.7027894383519,12.6114657411765,12.8339399940538,13.3981085345548,7.55410780239226,12.9160636409967,12.3045349424502,12.2773928614313,12.4518385040571,11.9904443338241,9.5341724380616,12.3497434996119,7.55877553007918,13.736290682552,12.800141667524,11.0898223720394,12.7650126564811,7.10112913220719,11.0704315450713,13.5899131257064,13.6329653125247,13.8602208592299,7.53124305006649,12.7931081919047,13.1245824861033,10.4673707866039,7.79970370962587,11.217271015385,13.2175217333245,10.8615445655749,6.50762131388753,7.86112345272028,5.61921053125937,6.41347131364828
"Q9BPX6",10.3526795844886,5.11111527228948,10.0231596660838,11.7882341725286,4.90441103347175,8.35251707440699,11.1871349886146,11.8989366592268,12.4873067556749,8.80810086848701,5.80914459304983,9.73452911286009,8.40642968785742,11.2217825626221,5.91894153184402,7.29970223359898,6.28309711952479,7.87886264738816,6.37133731887895,9.26003775036359,10.8405168521774,10.9072662339953,10.3005788720992,10.3086997218908,5.39921546369795,5.40925676194382,8.31603588331045,8.43555944574906,5.92026263484978,7.7550420045236,6.41209726282669,11.3704436789738,8.34900852703849,7.84343164319473,12.0432260407354,12.0619237587266,9.06316926473607,4.8077617933353,9.96177707440058,5.14102494537666,10.6724870734893,12.4788098967438,12.0044612210593,12.6571256165302,13.3225673063269,11.9654431732464,10.3216023696978,13.1760585958371,12.6348923328473,11.0458639078305,12.2678581313591,6.19818944143138,13.2626251543618,12.6830045321325,13.2443995569411,9.92879078865397,7.66989712291498,12.9134411462698,5.69213933924426,8.53788292659326,9.57409548545825,11.2206506730704,12.8055397633369,14.1456718221305,11.7883480385553,13.4310139467082,9.81256811871015,13.4464270524247,10.0748016875105,12.1115628074724,12.0712288961649,11.5321668367803,13.0247218910306,12.5691702165498,8.22579862538059,12.4628460411274,11.2600299630952,10.7250057371825,9.0339984272883,9.15609318212536,11.085596936405,8.28860680693501,12.6099713319229,12.7663142318895,13.7417693598012,12.3420883852886,12.4893184772219,12.3559847945502,13.534176154863,7.21550530113139,13.0530970733654,8.36827677235705,10.0989818871043,12.6772267680018,12.4609014071094,10.5293422834342,9.10322252302532,8.66245106816775,10.3669327634577,10.0290182363926,11.2984369374177,11.2665535606443,13.1504457869717,12.9065969030507,11.9466356833633,10.2156413034631,12.5505383798646,10.5048793065526,7.83561811621842,13.0766450332099,13.3580586138869,11.9765940898734,13.0240332995485,10.5096578688748,10.9570546408727,8.67999608412665,10.9305426977599,12.6780645964632,13.5045707393244,11.5263665820322,8.3771049018679,11.9667544074077,10.1114494492548,12.0653788209837,11.7322444262126,12.4881216628961,12.6950240611092,6.39936101971847,6.23829901017116,5.76061026868773,4.97634857001333,5.7638115156615
"Q9BVG9",14.448546447238,11.9703332998652,12.6470252661003,14.5350190204916,11.8630855300056,11.4726969224011,11.6870350673968,15.4062396895672,15.060694304072,10.8027007680067,10.2182075337259,15.411944608614,12.3840894397951,12.6220731334265,10.4647903840371,12.4969365533952,10.2392304627519,10.9270977287198,11.9694522759552,12.1936362313384,11.6447752060335,12.2342947464853,14.1893329165773,14.012399828447,10.2876817458038,10.2535696449262,13.243545284139,13.128662512549,12.9064614710114,14.5589434820848,12.5899559844828,10.9925884907158,13.1716886356052,12.6113187600739,13.4320458198121,13.9307575588857,15.1534219470369,13.4255874582529,13.7367004105176,10.2739492951784,12.6254237224324,16.4688391446932,14.0184028073483,12.3783155800817,12.8134499862297,16.5633566704186,14.1209074320209,13.0092207000848,14.7922448988159,14.6169657435704,13.0244620271175,13.7198664128277,14.1521768130316,14.6884675084928,12.1605091491789,10.2300692412664,9.93429583758426,13.9259871151054,10.4664397296683,10.4888099210266,10.7539697522603,10.5378838991275,13.4999332895094,13.6338696271479,10.3219077772429,15.4276701235363,10.7096720719073,13.4569028026777,12.7552473784364,14.8757522987866,13.724607138576,11.1977352384835,11.1565095329545,15.8685954342115,9.40179196437092,12.5091618801936,13.6589894226549,14.2125441157408,13.6146635787641,15.0924577403968,11.3902586967957,11.6999896010623,12.9293622166895,10.1407160276112,12.6617429965699,13.7393816797792,12.487312144006,12.0591813542226,13.7927295569171,8.81028464661119,10.8197029535532,10.754180017771,9.91259165109048,16.3937470329088,13.4165766634883,11.6129309828512,11.0277902692137,12.5487527358897,14.5737349189998,14.9033257032028,14.6648158691629,14.3737996856507,15.3462509024972,13.4661497278942,12.3257390417071,14.7914191285037,12.7584735151458,12.3082447048582,10.2657276594734,14.3661913854009,13.2536152805007,13.9076716529789,11.1380092769437,12.0593136966677,13.0985051967409,10.6053769394428,11.3234053002263,14.64753067601,13.9299966886669,14.9917164657534,8.98864805049434,14.7821065881949,10.7815742072068,11.1472545242073,11.942434243538,14.877605261608,14.7346849634235,11.419592099582,8.05797715174872,9.73464877212931,10.1799606431869,10.1490689429146
"Q9H2M9",10.0742860600807,10.0162997841998,12.0301320297177,11.2160998315128,8.54223036766722,11.30301740219,10.6226650927748,12.7362889160691,13.0174139309341,10.7723987534313,9.03003536834578,11.5957062906514,11.0423811954042,10.0731075834081,7.4032132409881,7.56274767084308,7.90006771040759,7.70380633394071,9.41650440110415,11.15775813034,12.2413665000319,12.3591931220561,11.3400689154477,10.6608204090097,6.73480066179451,6.87457239142568,10.0347995772081,10.0901311842685,9.12285497164988,10.2089578052227,8.6782451277567,11.5071794897925,8.62634944398739,11.481975798927,13.0219978216792,12.8268761389134,12.175035231878,11.4309281516802,11.9078598679503,6.10782977552749,12.3486332332912,12.3596281016075,11.1818364570495,12.027156336434,12.4240320698606,13.3042945184421,12.1455405434993,12.6926232316654,12.8240019665946,13.0881089342796,12.9499052704762,13.4505276955372,13.0878348481096,13.205466705847,12.9559694610417,9.91894908537932,10.8471034800188,11.9378227588251,9.64694520099984,8.68126294240822,11.644196463916,10.8961681784943,12.0720555739297,13.9159413592906,11.5204946968311,13.5355162220534,11.1367057647352,13.5199412190673,11.553575810933,12.4849695841838,13.2943206706823,13.4544016725379,12.7279440359973,13.5151296739837,9.250194322589,13.5226744867517,12.9871371005233,12.2968850835114,12.1604259779108,12.5223948562253,14.123093055915,12.301349149801,12.436702068531,13.1506715780763,13.870179150219,12.2365945800158,13.3001715463645,12.4596085323416,13.6848177530652,10.3272184208616,12.7950500912789,9.93784725518894,12.0035448782881,13.4500143210823,12.6645001727111,11.7989848849944,12.7841243922317,12.5523430938279,11.9805929597531,13.2748452413852,12.2031209452337,12.8437450991591,13.5290413875022,13.0451994925364,12.951738376788,13.4432044362549,13.4338733651775,13.5469171083842,10.074216714838,14.2847203748245,13.6694509186913,12.5278769642921,11.6691542058198,12.5654643596091,13.3625358848254,9.27436407693207,10.8745226627712,13.392230465261,13.332852722484,12.8141214653584,10.495243268883,13.0993521894439,12.8247410038499,13.0186571781573,13.4351970151424,13.090813454019,12.7671679151036,10.1252637455245,8.62448428143805,8.10794735088369,7.06817796245026,4.05297096385893
"Q9Y520",12.4506546596356,12.5389849012912,12.3688142823894,14.3068284597819,13.0257564072926,13.8733438020328,13.1211111783867,15.5246012674075,15.1453473772389,13.3833905619733,10.3409650149982,13.7099191148599,14.1667779288761,11.4016678110397,11.3143554370412,10.2887321790644,11.0044326947784,11.3643019507156,12.9494684570467,13.6832238508042,14.0897108373818,14.1486692743623,13.1185743170103,13.4494164172969,12.2821372779876,11.8170069465151,13.6169632366577,13.102357563433,13.0742816084136,13.5059034551162,11.7222085700596,14.2747969226371,12.588537017503,13.9828103554476,13.4594401722676,14.4469750913611,14.5298497337429,13.8949623906979,14.1471204737141,11.0932862874259,14.261025847776,14.4582028327192,13.7839571833862,14.1763842180641,14.7030398482041,13.7647584457142,14.6069264901642,14.629950256021,13.8299259068813,13.9303914582211,14.1120604892034,15.1046413703376,14.8888030648472,14.8900271219272,14.3707986595996,11.5956699454233,12.6724738549058,14.5608185700456,12.0632284611401,12.295589915005,9.60487238871702,13.3353200917829,14.5180026168379,14.9636901034379,13.4440116466917,14.45113609281,13.0217946691867,15.1011318721446,13.1386505041441,15.0800485812561,14.3732981296482,14.4602131956265,14.0956622272367,15.073142855471,11.4566273029307,15.1847177882745,14.848069471438,14.2463585347899,14.0817006670901,14.8577404892935,13.1377474709952,13.7272954849406,13.9613910191465,13.7727272689709,14.5638188292967,12.8500915967356,14.0218330082742,12.7879537355286,13.9978793692265,11.7153580388907,14.3159475890053,11.7881925137093,12.5417542106356,14.2474938407362,13.2409567856806,14.3947320006019,14.2468672923995,13.6949630163345,13.3742496387423,14.120125594175,14.1465759904847,14.6162073363664,15.535342283188,15.1302990203689,14.1769083637725,14.9966061278739,13.8672126390016,14.629054545144,12.3131339814781,15.0059675584639,14.4577252559956,14.4412595461375,13.8082608815332,14.2315043731251,14.108858277909,10.0460083502403,13.7682914662863,14.8287699097263,15.0340463737653,14.2027810761517,12.364411519333,14.4565722647955,14.6512581421355,13.6705246468949,15.0218750806611,14.2208953498315,15.0776739126445,12.4807763358928,8.89103754216352,10.941659471982,9.60238972550325,6.35043925138566
"P07686",11.2754539350954,7.10825069554469,12.5958446267042,9.63608535993815,10.8550371994117,11.1722849311177,12.9615170140629,13.7365668053057,13.4305567177797,11.3810745436199,9.26959875254225,13.7692356899148,11.4181720939213,11.7454104550406,6.60671436342581,6.39867346643999,8.05134480938228,5.93533781667814,8.33045253926399,9.59761165749071,13.4635061418547,13.1720956305456,13.514720094661,11.7950616901697,6.6365577424546,7.84639906447202,11.1534330393868,9.27940042768695,9.93633769696067,10.089312317785,3.04725910437336,11.0823795955001,9.18990384436502,11.538776599951,12.4063505534396,13.9684680623951,13.0315789788144,10.226707607317,12.9212753277936,5.15866042955575,13.2635245018287,13.5067370627664,13.0693338133798,13.2331507929061,13.6053261950864,13.7343355292836,13.0856141285122,13.9674892189733,14.5625533091683,13.3931473028386,12.5330762431957,14.002594808321,13.2586176828075,14.1696652054033,13.7193438529753,10.3734666538882,10.5252732552988,13.3885972716181,9.01372561206857,7.07452642512191,10.610529026398,11.9632169475943,12.8286726791416,14.0143766163247,11.1348474901538,14.5325702115948,10.8431020074856,13.9717065960609,12.0027195889246,13.0913546832409,13.2528400994666,14.3652993159022,12.8409885844533,14.4776126643705,11.3672804041285,14.0697336271998,14.0644907350175,13.129275402371,12.7655327858685,12.6953383903748,13.7242642973035,13.0179658293752,14.2129750778248,13.3596408923162,14.3049165642337,13.2118176938269,13.9402385357035,13.2073237927723,14.0728927138145,10.6753973594728,13.3637784493434,11.4854989164934,12.4456645406668,14.6286621916569,13.4788848725027,11.2313016301602,13.32784708998,13.2254435220041,12.5161599651428,13.4130220754787,13.5410816360027,13.499339473315,14.2871419939969,13.8796739590508,13.9411210649991,12.3493812652491,14.0348480750791,13.2576747798536,10.4614111195862,14.7430056707957,14.416710033378,13.4564730285853,12.6783711789506,13.3540612850406,13.6575702095196,10.9619849447177,11.6190977152412,13.8886704447083,13.5277490690713,13.9328999611009,9.11535853673334,12.7108475540184,13.4051932399542,12.2144407805428,14.2372417469738,13.2183186254467,13.0169623760959,10.0913760499613,10.1088579853569,8.52703578751475,5.74564861134349,5.97640377635639
"Q13347",8.7969192142794,6.22406219609386,10.7170311156828,9.1639927454236,7.33588496598961,8.48492395903917,8.75260611867719,9.78139909721448,10.9661508272277,11.2560965377456,8.06323759672692,13.787286153038,12.006762115284,10.4366542693165,7.42794054748498,6.83096797302344,6.35071506382671,4.88229284347613,8.12014756874461,9.30537247682901,9.89137715540083,9.5812446238881,12.3191601643964,7.01640410810914,4.34473984526669,6.44292440933768,8.57776884929254,7.0942742204764,8.32524571698526,7.43057141050452,7.23857167449785,7.788960697593,7.0060511183626,12.0779333808475,9.25908520922258,12.0027413222592,8.95944871004062,8.91591872873562,13.1836760453882,6.60273687395555,9.02561710312333,13.4391194690158,11.1708126885438,9.7356280145189,13.5190886655039,11.6974728763077,12.8115763659656,13.1080271297706,14.388169329241,12.8543821643693,12.9383441999931,12.6756594926162,14.3063203116016,13.4405247643418,13.0557076765803,11.329856075838,12.1999942105734,13.6366559156042,4.62266821278512,10.2405303438435,7.10399357739182,12.3535056130342,12.0625396417826,12.9072797494849,11.6420638655029,12.2104669192859,11.7535624394369,11.9146538919422,12.4836311338866,13.3844760308243,12.5896921708423,10.3464776532874,13.3042210606226,10.9137364427832,8.97967321182131,13.956693114867,10.8850829818458,12.5799596941228,9.35017143529162,12.8160541164452,14.9194266371298,7.59002680049269,12.2026739154209,11.7344964718392,14.6635456868052,13.4576743703499,14.8080428922709,13.7548183499598,14.6285007169571,6.58713813875034,13.8737397214314,9.72136143401058,12.1961444714141,12.0874709515776,14.0986903433901,12.4850102830331,8.48271013157086,9.08745561124429,12.2107268334959,11.1834503526466,13.9603430358851,13.7850045044861,14.1962337479535,9.74313908993978,13.4209063620056,10.5603149265255,12.459086212346,11.2526257058885,11.5727791085139,14.823217344421,14.8815921357577,13.874864852562,10.7876023446301,13.4046939096001,13.0947774760865,7.77832934698939,12.4703830146114,13.9071175244455,14.4596441111576,12.7648943215509,9.00526109798906,11.814067674844,13.5100205992617,12.0266752215373,13.5860222038461,10.1430594997453,12.9951129179969,4.71778544147865,7.96886041055257,6.62477167656938,6.36357594637457,6.17059767252341
"Q2M1Z3",14.8340516246136,13.5860079190671,13.3234151800041,13.377884354047,12.8359785125287,13.196827664195,11.9719915172892,14.549604762753,15.6804166560656,14.6647749420717,12.8421194425026,13.6427569358324,14.6102281797019,14.6816608129748,13.1164678643593,14.2371860864598,13.3558945332602,13.8913262009557,14.4364701366342,14.5880144695533,13.4779864314934,14.7396022542159,13.9184121196908,14.873292856132,11.8583415404513,11.7312150221873,13.1165799953349,12.8603717710201,14.4063661013894,14.6192873938753,12.0242837979157,14.9116211163847,12.8501639918964,12.7338734132997,13.1732651622686,14.4705481801348,15.2236131841608,15.0366930637016,13.4951173395142,12.333405806482,13.9529731047373,13.7464920454741,15.3029921498659,11.9359775151873,13.5060885534466,15.4205259870829,14.8668334976424,13.5710734134867,13.0858133670347,12.2375728779301,13.3631772353347,13.009404654493,12.1648781850724,12.9635564594473,12.3966232075357,12.5492950583369,13.8072979476168,13.1490404182766,11.3726942324895,11.9278806136311,12.5791738614859,14.0405825362976,13.3294159418981,11.7679130005718,12.9316805026386,13.1971450264048,12.8619299250997,15.1905011082957,13.3907970000903,12.0614716772463,13.4953394209089,12.0797986671829,12.5623905657747,13.0202456749952,13.0873835166792,12.8810721496809,15.4729038824142,13.4475935805073,12.2497320718569,15.1553379915623,14.2862260278878,15.8621316833991,13.7308150753203,14.3468874896128,13.9032905880157,12.3108221453571,12.1426668027481,11.6636686421426,12.9111666385244,11.3695583003639,13.5943839815194,10.8870146912599,12.9345044219576,13.4833398859192,12.2412426214712,11.8584180171675,14.1090901454677,12.1439056056455,13.6265327749704,13.6974949872255,13.2413632896785,14.9365336884319,14.6357368701633,13.309388002431,13.3280379032363,15.0227749610109,12.5643441454838,11.9951101394863,13.302334759185,13.5589551344758,12.9255005024,12.9527934571871,13.4327442485253,12.3896541526923,13.9043924126941,12.2275951349481,13.1913395902098,15.2758219368693,13.4936836684623,13.3470209774968,12.3308151123971,13.459712129194,14.8543791081328,11.8773439492135,13.4903225731565,13.1306494091166,12.2876564904874,14.1812883474236,9.91749130100468,14.0211784180226,11.1350620408483,11.5178647860311
