"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"Q68CP4",13.6384661031111,11.4688100709004,10.3936050106024,14.3568253412843,13.8979044520082,14.451412080114,11.6806828692467,15.8364883588984,14.4468980422793,14.3474204324805,9.43686200336871,11.3289256915431,14.9237059693175,11.1349250733729,9.78151313951801,12.9419443184773,11.3479238178222,10.8907601007411,12.6359501204458,14.8407543359832,13.1997194554664,13.8845060206812,12.3727418310978,11.6591095894483,11.829870561206,10.6409395726109,13.6724845314972,13.6700044141217,13.4016911233722,9.56411345151823,9.81892302592683,14.0808797791408,12.3618087265729,9.39710930143672,14.6613991612815,11.6970594486129,9.82710310740372,14.750600962816,11.6396967193995,12.7038628465301,13.2627153694831,15.9390344362729,14.2621312193133,14.2991560179657,13.0348868896594,12.5796238529169,13.4098395898485,10.3900664686978,15.2657845026367,9.69485624675339,14.8701173503865,12.9151243895925,12.8171747633991,15.4876507889483,13.8080629476475,11.9849905269549,13.6498605921971,14.4430416401028,13.1538174393468,10.532944550396,13.7589697880672,14.2472093920432,15.6068567767069,13.3903968148208,13.2516980367868,12.3789934927207,10.5124766174181,15.5253460413658,13.2567464425779,11.705934370162,13.9568272092991,12.2186387269692,12.0683689287334,13.5231649809975,11.1683468168522,12.2063797901196,13.8857143737256,12.8356144704505,14.1045878874273,14.544707940787,12.8289388691371,13.531651630418,12.6940453929676,12.9147746769401,12.1663749153919,10.5825348751969,11.6252983250523,12.8930343133341,12.8098828944026,13.047695126954,12.2281021423617,11.3292303632932,8.8524994602304,12.5872203947631,13.5150985901638,14.982819047377,10.926244897299,14.6619911136456,12.643050294227,11.2292114652669,12.3627600025757,14.2655874541785,16.1972214897705,12.7748621120834,10.9220876893365,14.2518912293371,15.5764316748272,12.530424961929,11.964159295145,15.1795221462146,11.7177088773365,10.0881038615523,10.2668607962351,14.4907593840665,14.5470315036347,11.8524749747051,11.1397493632184,13.101825895223,15.2914460917266,11.0914983507696,13.0897477121943,14.5100137369792,13.3405618169228,11.3786571185838,13.9099696125226,13.0567732850592,14.11358428515,9.64273386771071,12.6657923298812,9.74792033731189,11.7136514671085,12.1025629722998
"Q6ZQN7",13.2141166054693,12.5130036618399,11.3395158359785,13.2164640533084,11.0482390621769,10.9946591947729,10.9233274854192,14.4602907173941,13.3377703495306,13.1673708887741,9.25629963649809,13.5179399671469,12.4614037491765,11.6856353513834,10.9170819491288,10.8923296436539,8.44455152085204,12.0272096274942,11.2689552048918,13.9932786766226,13.0735121198764,12.3310241237444,9.37919767083071,11.6972524108126,7.54924193376395,9.00630805051685,8.69611888544888,11.2651175057115,11.9496328687145,13.1323507884785,7.6977767303349,9.00228701928411,10.9026849646108,12.1973978543438,13.8867795145174,14.4845711809158,13.502599653895,13.6990301478864,13.7801296196253,8.27057153394238,13.1652575827968,14.8014265540296,12.3221734944796,12.7208974195255,12.1243131184394,12.5175425508195,8.73939868001387,12.9952371704491,13.9832384981179,12.9603326604299,8.34084051997097,14.7739244666272,13.3194709485632,13.798977992132,13.531259606127,8.97170307622622,11.6719832720919,11.0177193885214,8.85055360684949,11.6015305439787,8.59139618046929,13.0151668768633,14.0302453007105,14.3900723296016,12.5023184579906,9.98488684684202,11.7480248756977,12.8794356759686,7.76042138734571,12.4323805956888,12.2960625513671,13.4426026976336,9.15096863101638,11.8460766768879,10.2131859783289,14.6167211298737,13.5373250048674,13.7315796586858,11.2360141919001,13.2236182493354,13.158980570477,13.2164640533084,9.43024637670616,12.6774803976029,13.3016390855924,8.80699229892326,14.2050493410736,9.23113812718746,10.9622439542664,8.94305897800653,12.8462688225514,9.07955189313952,8.45173615704487,12.9747100818597,9.2149122831826,13.114692114985,13.9237978780396,13.3318063985378,9.65976600890609,13.0431802788013,13.8548958852504,12.9986914728799,13.5674320537088,14.3189400319261,13.3916606758473,12.8443104126929,13.962489449752,14.4158960565699,10.718829521647,14.1734355336085,12.9256381597985,13.0006943685248,12.7574122768946,14.3147517626507,13.2164640533084,9.57250686552347,10.9855252056207,13.0464041796755,13.4388752942046,13.1706751064625,12.4945152348129,12.9652674169501,12.953475096346,13.6679161278393,13.3112345237432,12.3776432566491,14.5491989933759,10.4565151592792,9.82242829310013,11.4886157466842,8.1040358125602,8.81813974140947
"Q8IWL3",10.4029351413383,10.5727002264873,13.2585464345908,13.3800854896821,13.1117975900668,12.9892463321356,12.6275080131754,14.6884422923005,14.1561654575069,10.3731393075765,11.1077377634141,13.1345867533644,14.1274271714767,12.6749943103532,7.20442638475577,9.98978910753715,7.23057556517584,10.1144310667228,11.3673595956202,13.9450914435961,13.482389967843,12.9665842412213,12.6115576136846,12.2534780493326,10.5614132661039,10.1344690001409,13.0994587649442,10.5435160615773,12.8282766169253,10.8888644004335,11.4333649048106,13.286557761608,9.76748923019938,13.1020374730311,12.7542784718199,13.3378205143615,13.0496254974995,7.61061166751617,13.4161584305261,11.5603188104776,13.0148091555979,13.0890259280141,14.0735689044053,13.6190786985731,13.3335900725089,11.9538567687981,13.0165265127241,13.4662974998808,13.3809133603578,13.4706566621208,13.4068501038432,12.7062700324262,13.8836043867974,14.278458020748,13.6071243139344,11.4884464254404,12.6469623753927,13.3367854762038,10.3572573627735,11.9131543138849,11.6028798079661,12.283659863386,14.0834672313072,13.7767521826643,13.0803160155011,14.2080819099811,11.1621001191181,12.7097981261792,11.9942515156479,13.2115333350838,14.4359088219527,12.8126982606913,13.1531997825355,13.2177567634718,11.9197920089147,12.7080108964339,13.0888954875762,11.4257860016127,12.5994452802844,12.4525274452288,13.718545049062,11.7800885358688,12.4562966389114,12.665495133938,13.4871981383997,13.8490630098939,13.3925857562755,12.2847158308311,13.7197049530818,11.536436061368,11.6421889502144,11.1096998222822,10.3119456656186,13.7092639847218,13.4396417831019,13.7380835268065,13.0846051695582,12.9734132894975,12.2411698667023,13.6931341247628,13.1829261429356,13.1409255522067,14.1020425374527,10.9979851095356,13.3266871469806,13.3304092236312,10.4630376207107,10.7555539727414,12.0069927896743,14.5445912444055,13.4653135808408,12.6573184495813,13.1971545728534,13.7735607064284,12.7106330247864,12.0871756472055,12.3471810231644,13.8461392448572,13.8624436422123,12.8039510816486,9.94336710646858,12.6880317024139,12.4300204565109,13.3547199314638,14.355144589035,10.3126775808054,12.7308646355562,12.1331422124006,12.1623898981218,9.1619172255191,8.98742504217945,9.7978011374322
"Q96PY6",12.9814556343897,8.99133130687212,13.1653055754729,12.8267163235353,10.0144240408784,11.0878632054608,12.1542198732853,12.9689998175984,12.1410397521751,13.0185016227106,7.62590478718732,13.6076684011724,13.6521289235318,10.8375432093286,8.57610790123663,11.4964937329835,9.28537981960124,8.10149936638583,10.1410700202221,13.2378704663245,12.9596135957085,13.2406655681109,11.7963887486987,11.7187793594717,7.26482014372981,11.190605751924,11.7564372993758,11.6665468988895,12.3525709902287,13.0111825592015,10.3203074863509,12.8202159752776,9.5302854987267,12.2899588881866,13.3455111572308,13.7314886401588,12.226065258601,12.5496822115591,12.8659423944708,9.78467164691011,9.31494902543738,12.9678922574792,13.6953414046639,12.7422592600649,13.2590609299343,13.7565976167248,12.2301346477882,12.5582397483615,11.888844237131,12.9736220012115,13.3047913670324,15.2186949826756,13.0328718463215,14.8075526777679,13.3483926256125,12.6352325807887,12.3871913693421,13.6258114439874,8.64053063696266,10.8871453313547,12.0676339906212,12.9494180320878,13.0427943785035,14.2472923556475,11.7835678496728,13.7874440585228,11.6937462849108,10.1643660414306,11.8372728549795,12.3445688358888,13.6551368907078,14.069304001703,12.155340141436,10.1466258794679,12.1995071407479,10.2061048492139,12.0954857106597,13.9975702354394,12.2527460441044,13.1329993251502,10.0442536322073,12.4695786962887,12.0141788467579,9.51087402201352,13.2112527758174,12.4652270854552,12.7636545789372,9.80360936238653,14.4345457656795,9.00410205262693,13.7549503496471,9.66403606147,9.86154715647971,14.2939477327278,14.3078384233233,12.510630159916,13.8802672192088,12.3728037640833,12.7495318766471,11.7058644966708,13.225042967703,12.5033856559394,12.4046746362331,8.71274318583015,11.4824921295924,12.751959203144,13.9952375456815,12.3080092934566,7.98146846331971,13.4611181004197,14.0698794042143,13.6841442752094,13.3675245260849,14.1025783576172,13.0890212761668,10.0549287105001,11.8546951625743,13.5819952231521,12.8530484608678,13.0311185958574,9.13071788182183,13.6220232072152,12.6408668325933,13.2736794027326,15.2683524723175,12.1363209615204,13.0013382847694,9.07351132590024,8.28197268788478,11.7095031554919,6.37122024461377,8.54999604214902
"Q9H4A3",10.952778698127,8.76250584142994,13.0033882859497,11.8024976335944,11.5622831951155,12.0875398796882,12.9070153418932,14.2809132092431,14.1173039980662,12.0783744800241,4.84486555983051,13.2997216457175,9.51391304352842,12.8731142252163,8.11596582217811,9.44182995652568,9.77469045466958,8.53005348917641,7.63282219033127,11.3745597484071,13.646223401052,13.3562482337774,13.235328714839,11.3107868769128,7.85460728398515,7.16779159261175,11.5946675043719,10.215854116652,11.4846005393599,9.72282566333753,10.98026679316,12.9076413674154,11.5877496815794,12.2120144095641,13.5820743109125,14.1818347440836,13.4012714452883,11.3419853086917,12.865820151996,8.112489102532,13.8143002133182,14.6786193521636,12.228656574766,13.951608048383,12.3776744450857,13.634247808675,12.9876501179427,13.9971939705907,13.6323630249055,13.2185030235824,12.799324655173,14.0401519066028,13.8569850364568,13.8810706590813,13.7429012428868,9.1216026619482,9.81834463551656,12.4158794647161,7.97051934586504,10.238871325494,9.25770350177599,12.0582334117128,13.2342103588931,14.1642672124123,12.4249178777347,13.8600624361803,11.8307936137303,13.4557758530334,12.1485417445342,13.8274130026812,13.3745937533713,14.076102628212,12.8819355803346,13.9630359379241,11.8602063278383,13.3664693509872,13.075983692003,12.5161556070839,12.7204747006707,12.5856407338117,14.4028862490893,13.3567951704075,13.5019893901914,13.1278165237247,14.2263492218114,13.5403917453968,14.4330450243748,13.8288484352796,14.1942946734833,11.0817143016044,13.1947924333427,10.8951365252436,11.6366782364182,13.911230502315,13.6006011617229,12.4786331824969,12.98657080613,13.8489860539826,11.919774882212,13.9375164891968,14.2975240483575,13.7469856660544,14.6755897022094,14.126678206095,13.885918131113,14.0017006019962,13.7040069666414,13.527292224032,11.0369011661803,14.796017078409,14.106859375242,13.7738883811887,12.7144324084249,12.8642954215674,13.4012382688364,9.41707702442773,12.5374493986065,13.7929311036405,13.6685226676848,13.4117069585051,10.0707536263646,13.3389506513217,12.992887150266,12.9206864401636,14.13867422384,13.1355169379442,12.761043456517,11.6380677319953,6.90655589326806,8.57667736380547,5.44241503859815,4.79990723914104
"Q9HBI0",12.9634066707901,11.1825710640464,11.9429893551014,12.3528240215937,11.4628032798348,12.6545766149087,9.99233505317365,13.2647978955077,12.0494032992876,12.2414066194924,8.68094368905001,12.5660233294848,13.782507920681,12.7806049702019,9.49350867418415,8.84873422759373,11.4803999668267,11.5071326125721,12.3005473079897,13.0434696111587,12.6631721513485,10.1329478361525,12.9833635209503,11.8200130615263,9.2327467695103,7.28559203283174,10.8105665452411,12.192359684264,12.4410478487637,11.8676884273498,12.0428356762647,11.0660335184321,10.5905625248765,12.3348366345669,13.8553094423668,13.4384974060777,12.5617480556465,9.81293085846012,12.6784162453505,9.00883345408216,12.0698181529614,14.126419980045,10.1430513732411,12.8456366900764,13.5269917170973,12.1250585267542,13.3230569050103,13.9865486206341,14.0042510254688,13.7684583943617,13.0426065174569,12.4331769808833,13.073276754815,14.5219699674657,13.8822777237704,7.08086640307667,12.5055973490659,13.1167923824183,10.4223117239017,10.5968455250454,9.87355951255711,14.2002761232582,12.3307513142765,14.280888708061,12.5176888617644,13.3106199497666,11.6114524360744,13.6433073068376,12.3209650252093,12.8695626527912,14.1013771786844,10.4731353410812,12.393360213188,13.8239449634264,11.7614868211282,11.3136581487821,13.0093833004475,11.6894126132762,12.3081376119989,12.7985422715274,11.9135696775281,11.3263286107976,10.5364187493803,9.73020895208825,13.4394152489391,9.45101245461471,13.1667479791108,10.3961582105561,12.8023795744362,12.2004590729062,12.8646844771726,8.37462184588609,10.5582087301003,13.2428676272773,12.1972792357342,13.2026509547588,13.9302642829446,13.5824086774491,13.418633876204,13.6028600088625,13.2592395342822,13.7186265094241,13.4374466140207,13.866309853072,13.6136400712813,14.5769808505097,13.9647400386445,13.3063761155569,10.4007173518591,13.3668374805369,13.4967944451132,13.4365342304379,13.1686878723631,12.251077500862,13.7471003146329,9.83007605036398,12.1363776883214,13.3107431015173,12.5458902767398,13.7866123677846,10.7242357280548,13.9889785602975,13.5782184902388,13.6565675485301,13.9762264576845,13.8125188251332,13.2844887969925,12.1831848203411,10.7177166702482,12.6134687106383,6.54899009378388,8.69470875526416
"Q9NUB1",10.9887099067896,9.66568185629363,12.1131270480465,10.7590373842962,11.2455439300696,11.4650038420752,11.3858129998141,13.2270115515745,12.0745042401924,10.332403628951,4.17097130956943,9.89539689372146,11.1431092853617,10.7447874869501,7.33453087156732,9.84485183465974,9.59890826155298,6.32999060818684,10.1449849770951,10.2746126579879,12.8819567454019,12.0907403195386,11.8280777212138,11.4323855379416,9.26606639983964,6.77302281288047,9.9091949401076,10.8932181322627,10.8041721300763,10.7411848944842,8.37504680345712,10.4988894072779,8.31722900592572,10.5199305841503,12.4215873721646,12.5495023171616,12.3619150218842,10.2595863137777,12.41017197383,7.77498210425738,12.1270275196343,13.0225294013474,10.7681979767607,12.3742317775651,12.6961814577659,14.5243857447516,12.0076437687593,12.9440071073841,12.8885084252175,13.2750327062989,10.4877922129537,13.1961731056536,12.8764062983255,14.1089535088501,13.6202334648986,9.26386506231617,10.5199205202677,11.6218212939896,8.13058380891157,8.86885818619998,9.20557252570288,12.5992154950177,12.0350695352521,12.7280806523491,12.1885471475761,13.2978907926495,11.6713558038355,12.4592794222867,10.0204686191976,12.5124114014038,13.0341437532167,11.7346405711004,10.7219052962632,13.5299924834055,10.7769334642298,11.8667805423984,13.1653177887774,12.3177354275273,12.4931276827631,13.4372596469606,13.7371698696205,12.1000935367435,11.5671956194473,11.8167225781277,12.1596223431384,10.4416411890595,11.4171608175785,11.3018544049367,13.0157034492849,9.31856505490249,11.0967717291611,8.90539011524048,10.6496553934873,12.5057961618069,11.5374955481605,10.6000268391524,13.4340328428311,11.8284844718838,12.0361740140631,12.1002402628749,13.3783691428231,13.6191956500214,13.8357064710217,12.5679504658529,12.269931756314,11.5238966746586,13.035698803782,13.0433551743841,8.67280431593025,14.6606008419146,11.9544495795683,12.5974928433812,11.4185665524472,10.8447523174768,12.9276342788423,8.55322037837337,12.6631409628786,13.1821536723907,13.3207012842129,13.4118693460583,9.32889054964899,12.3240754287542,11.8739056176055,10.4011811340654,10.7945024940946,11.8203070748694,13.1413045184869,10.5757855849569,6.96564037929865,7.82028779239491,4.03782216247518,6.02524772472628
"Q9NUP9",11.8439364071994,11.2700017264011,13.4788039758986,12.4667874708115,8.55499427193845,11.9459379774453,11.3608263283288,14.7468135452965,14.081768698118,11.5141681434594,8.74007228690493,13.7419541075468,8.80494503730489,9.24882779909646,9.26723350291388,9.80165922493938,7.9999668102685,10.7094393475407,11.9607618469319,9.17965511700408,14.8603500340353,11.564414780189,11.5624462969407,10.4782946760718,7.81626866351472,6.87053368075948,10.8454518701957,10.7556581228883,10.818141450346,11.8217015219541,10.0371693213057,8.59394803505492,10.2867432640966,11.1456353520955,11.5974876070368,12.0714388381558,8.47582166816604,10.3019068349999,8.49804972468244,8.98486893849741,11.0284017324828,14.8642014120182,10.8212304558165,8.85744286701072,12.289293953119,13.65394005487,12.2294135150974,14.0010886221629,12.6765568954385,10.9168181405403,13.2995271460075,13.2497785279051,14.621330771177,13.4287269673763,13.3195505878572,9.81742082731527,9.64184004053793,12.1671017737882,9.87888657343001,7.11674941932276,7.39195068633897,13.2511952310529,11.8959181132756,12.9184582914629,11.4408931749927,11.3710463017925,11.9478985171168,12.8264696659853,6.92268920210963,14.2482189006447,15.6013733561242,11.8895401607655,8.45916031871471,14.0741251738204,11.407218042486,13.3193009767303,13.5634427698315,11.7802601226576,13.6218159990895,12.8400030348077,12.8617619091359,11.0401363422526,10.6452143984441,11.0944139567592,11.9830189745148,8.77932031099033,12.6828873499188,8.99322016119121,11.1293194462314,7.13115347201589,11.6120971889414,10.4241141518463,7.39369028965048,14.7955757599257,13.0494133845037,11.3153541295454,13.3527334789171,9.07193695556471,11.4997001819678,12.8727784437704,9.22383673501906,12.0418804703484,14.4499353125688,12.7978067849413,12.0897746624758,9.82305590936893,9.75187980668656,9.88551130518481,10.6150256465231,14.1372634057531,12.0884207857656,13.145654441359,12.0073690427291,11.3916741191383,14.3890180972335,10.2787019537779,14.5074118593681,12.9842415518368,13.7345379819345,13.409891181973,11.8040798635202,10.6339349320661,14.0807318519337,12.693784613747,13.2019870193799,10.9165184491013,11.6808316355227,8.66896549884726,7.12633429008137,10.9232161813196,8.28439717080496,9.25647607933705
"Q9NYU2",8.8807606324253,8.10284089414124,10.0104897725604,9.89786206595936,9.58046435839822,9.06138788670548,8.50854741742397,12.2013970133355,11.9742122502318,10.9917790327753,6.94354269251152,10.1266940869308,9.11611015903958,9.40934364747293,7.13786144968946,8.19828519872771,7.14648672243694,7.60471282001811,9.53976414738839,9.27712888631324,10.5353051119337,10.703970041959,10.3150138938979,9.44308042944601,4.33442783809704,4.91014097560513,7.8488622123788,8.37139963887846,7.14104649377543,8.6442021575756,7.21320506961211,8.46430935348879,7.06166056943306,9.36971308388413,10.0899419696506,10.4090224430389,11.0023661521128,7.75282959070291,9.2691718577211,5.31822975792795,10.0827283571175,11.7093583780966,10.3773317603876,10.6700496509895,11.9344004466833,12.5897208645846,10.4593314562913,12.019585995126,12.6556081519175,11.518893556214,10.9210373921282,10.5856430880938,13.1889193908765,12.524879910266,11.9910384312746,7.7167100427695,9.51576891202459,11.30461042634,7.95180663823535,6.91357395925944,7.33915273196906,11.2991362077206,10.9885182507277,11.2882445331675,9.4157216208629,11.4128610110993,9.48211479016295,12.0956053835954,10.1197069708707,11.6289233827706,11.9864042745279,11.9988849503248,9.48365227490477,11.142989750314,7.63349388525537,11.475037121669,10.6054701492115,11.1449275617553,11.5368292905856,10.5072536356589,12.1156450324037,9.55866396201658,8.43115694319876,10.2821208604645,12.189558862337,9.13921080951452,11.1947032883379,11.1514074177801,11.5577270473749,7.63921284138126,11.1617628694689,7.64286366211647,7.9416662275482,10.9521626542622,10.6993479766924,10.0050270887554,11.4223654870942,10.8750683282786,11.5265778963361,10.3567184052382,11.8126154746285,11.9801142126416,11.2851160610504,10.6085728149631,10.5108696570641,11.1475392671303,11.177674806386,9.91765951482784,9.54973525191615,12.7124689730421,12.1727385760647,11.4646002164293,10.141770217234,10.8939595682769,11.5160228520086,5.54439365004195,10.6313742832128,11.0498725206566,11.4810669482759,11.4566388687806,9.00074523481104,11.96007385703,11.3363889874551,11.2546532827847,8.69482677489648,10.972020830903,11.2833725115118,8.45703675642514,6.73104294985954,7.36035414359076,4.62505966900681,6.58202874872226
"O15197",11.9498174666031,8.88148800217049,12.936556252133,12.5018069310476,10.9372631816838,12.1050009126349,10.2863947152677,13.7998340972901,12.6322036321429,11.710113895233,10.401400743823,14.0518984942503,11.2323912022707,10.9025113214466,8.8742692888448,9.23882211756858,8.68541121084476,9.82332952966391,10.6462014770352,13.1337095067413,12.5224172977371,13.8810608942597,13.402605032673,11.7324034038573,8.50319980086859,10.7069569030648,12.8655033916757,7.45791787003314,12.0136778559821,12.3045228007689,8.90773125270037,10.5613733946215,10.6736580198084,12.145970601009,13.9806812691074,13.6410111280492,13.1275375453882,12.5338286098371,13.6258878411152,7.01530133020347,13.4245472495153,11.2985844452224,13.1368069743408,13.3560295360723,13.6883485055385,14.4835636825672,12.9811287942599,14.5066403772636,13.995682968353,12.8060354072844,13.534031167868,13.0607595300288,12.7435397387923,13.3294778090493,13.4873517671519,9.48637823196998,11.3575442920818,12.2350976921497,9.45706847542912,9.34138996783605,11.007956498159,12.1821685064438,12.5931467401141,13.800520508984,12.3071872890808,14.133248119425,11.9782033847217,14.2294340470162,12.8074900856571,14.4553931483006,14.3972184338672,13.38751332171,12.9744955412588,13.6023428207992,11.9736228959556,14.7441319553326,13.6033777958783,13.5717689920567,13.0254552595588,13.9360021069881,13.2841943344933,13.603558564408,13.4974554075833,13.0888143217804,14.3134899973585,12.2719152626516,15.158284214446,13.2318892934092,14.7131808037314,11.5924234411402,13.4933419410195,9.96372332531479,12.8087006752115,14.4986438732,12.9015082334595,12.3948245231063,13.360133301297,14.0907563113035,12.2854052778897,14.5154040953961,14.3289446161043,14.012668093857,15.452047925986,14.8866506156148,14.0909681908368,11.493806343061,12.9623989560605,11.1673250244229,9.60170443014038,14.6559489097696,14.2063660212674,13.8414415242448,12.932594856412,13.6843399397077,14.3198303607496,12.3349104947438,13.1236485995546,13.2786605287127,13.957383352172,14.2157028290946,10.912265186651,13.2911673424933,13.7696522964011,12.8834151711618,14.7389659440532,13.6664028777682,13.8949509846148,12.3345206603528,9.02011058168224,10.9696049470097,6.94441628493474,6.91819587113657
