"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"A8MXV4",11.2419831496943,9.6045700525054,12.9155644383628,12.4407542187069,11.102137624043,10.1421070573025,12.4981012439949,13.5026683094899,13.1795739471078,10.454355484816,6.4214418299403,14.4278830960532,10.2538474849874,11.5352753766208,8.73716987305769,7.05059129408834,9.16741814583174,10.876516946565,10.9987865058111,10.6059372733273,13.9055094577019,13.4079315911744,13.8889589619972,12.3816140480312,8.82507250737908,10.5107641679179,10.7909069141736,10.0093557475213,10.9984406967109,11.2002856052243,9.82894551652629,12.2873218906639,11.1478408936723,10.6743020871109,14.3241581046801,14.2072956178954,13.2591547688668,9.52943055414615,12.6363004385839,8.66760595589442,11.7514875417358,13.4526134567835,12.2025396184823,13.0527922199539,12.9211466703351,14.0306671362469,12.2985382351361,14.7489343129237,13.6510056459123,12.8876414489328,12.9222127177854,10.6295406361041,12.1146716675405,14.2144320715289,14.2075471383618,10.4533318421028,7.44190768297966,13.118157174619,9.30826325063046,9.53237808015961,8.50980628550728,12.9664523057837,11.4273383744908,14.0909236460941,12.2202041665709,14.4589169442367,8.94404198648832,13.0925919878041,13.0889387639958,13.4070720819954,14.4216229823755,13.4530216678559,13.5198819224974,14.3375073596138,11.9893944998447,13.9252506443309,12.7976615258538,12.03913044545,11.4812949046311,12.791366414695,10.673467125169,10.454355484816,13.2289689634027,13.2437412571048,14.0766694463894,12.0508749111428,14.4792755043602,15.2048823001812,14.6560989492123,7.18584339019631,12.5658161071009,9.68562814275962,9.54416063391815,13.7511044462457,12.8368781044343,9.91919059282637,13.6726780841225,12.8127125135946,12.1312675069058,12.9790386188077,14.4006699052799,14.9889281167549,13.7882482764691,14.6426887363305,13.5852339150314,13.1572935681595,12.919980595049,13.5340596564504,10.2992534242864,14.9759375068767,13.897860638091,13.4245638357946,12.554758956691,12.8195438130101,14.0464711878011,9.58297541528082,12.4121655441177,14.0706487607539,13.9378579436055,13.9350780178602,10.5305663587424,15.0168232556426,13.1800031734494,13.9463374307335,11.0646428318398,13.902920211532,14.0617647246455,11.0014360842251,8.99977418531008,10.3498340914572,8.46142274098401,8.64840463679973
"Q5T2T1",11.9423721353602,12.02795865818,13.0843550453945,12.0636513186069,13.0474056005391,12.3330400500179,11.8477325786107,16.0374641848477,12.5328268450877,10.6055564430236,9.59203320991118,12.7184351679052,14.1978315921324,12.2212094353828,11.8292871396566,10.9229277406585,9.22780088394888,10.6728703460029,11.1201040666991,12.6705225375375,15.1930432132557,11.4687534581548,13.2643366549849,14.0721593138377,10.3697994314036,9.88134136434749,11.9309398118129,11.0664497010608,10.770608625763,13.949769126376,9.98457721894305,12.3659992398633,11.2816026002996,13.1077552152067,12.8695488740272,12.2132373572432,14.7682612788249,11.8833820333465,12.3574129660635,9.90726285971347,13.6318161904891,16.4084801925074,12.6514460543339,12.2503585608463,13.277411031359,12.5419455760683,12.8045121306441,12.4639003451008,15.5771191451651,14.7344156982997,15.1472947141323,13.8061689486892,15.9735425757068,15.5099483317989,12.3117664932698,10.9464185411015,10.6117434197744,14.7666729484666,9.046417970397,11.1287566031327,11.1838457792914,13.9853013944912,12.4867743069114,15.5322400176703,13.9699259239668,14.855320610255,10.7465790086765,13.2106045195677,11.5542734026567,14.8757486449604,13.2588682725738,15.4669469866569,12.7271347354152,14.9719343787178,9.75866944418745,13.401692761259,15.0746731085035,14.0564168134455,11.0269361162403,13.9523190727931,13.5663583587141,15.4427717277848,14.79116627837,13.3285230506472,15.7263992768991,14.9809057757857,15.1109401604442,12.966308682706,15.2436708082693,12.0052243436025,14.3589597998936,11.2427396983293,12.2314738559853,15.1376168600674,14.7752863919616,13.7892416863121,13.9325273442332,11.8692496055736,15.1502163678861,16.259612301311,12.2191125392394,12.2514140579354,12.6934420274568,14.3099377127937,14.1620554962547,15.5966799131022,14.9636420961381,15.6778735574413,12.8559174813933,12.5274504877718,15.7121800474713,12.234162190636,13.8678526800151,15.248838406111,12.9648760029506,10.9310724364135,13.192532939495,12.8782294844119,14.2253806245298,12.73082469472,11.8182543504181,15.119865652522,12.5280743615354,14.669504029138,12.5220875244496,12.5032520432848,13.5138568854809,12.2741624430763,10.2323042310009,10.7328941075702,9.48232051621344,9.89912221156891
"Q8NF37",12.743199561729,8.76368179884591,12.8428336102746,12.0625917138923,10.657622586196,11.6486717168709,13.5508695111392,14.0535919550354,14.1881608025167,10.2413820479001,8.95970827322049,13.5153618878121,8.70025286696606,12.4920757584316,8.48346561352081,8.4389416265352,8.56401422278129,8.3054584924333,10.654240759222,13.0203774440282,13.0106638614194,13.1949408817386,12.8720261966962,12.847861640678,6.95876128068276,5.80382006909108,11.7618106492296,12.040038423006,12.409737028307,12.7518991200251,8.70079662270501,11.2138986185934,11.9685675855761,12.6496933349467,12.5762680652065,14.3833294392445,13.1666859116997,11.600830404378,12.8913545267132,10.9106242181887,13.9801179462458,14.1765712205674,12.5084059315212,13.0991580272109,14.0752556075176,13.5020688522752,12.1231234771172,13.6956420050026,13.3139069010757,12.0278022450695,13.9151816454065,14.646795677625,13.3564583620123,13.3355147153739,13.3147524445301,8.07178156403213,11.4285305826133,13.0329035304409,10.8163250436684,9.42080593993545,10.9752204920312,13.6947061928521,13.3115848863488,14.2746945636342,13.0836979958549,14.7133979372163,10.2327523687951,13.474090481381,12.9267983174198,12.9665005803715,13.4650223635368,13.7623786971631,13.1169731880013,14.6964507075701,12.0633608633691,14.0429512879394,14.4225902930813,13.898595850517,13.2111751905467,13.7226173220703,14.4234199374222,12.4725519627099,13.9259660707655,13.575967333093,14.3368219833272,12.8588881628703,14.2659378032437,13.2627048462971,14.1888012911233,10.4801620505559,13.1536855521893,11.7603435700195,13.3762446846041,14.8984168936856,13.6718052289179,11.3753722343591,13.6029760730196,12.943613796094,12.5576258656719,13.9499993777677,13.4718079956933,13.2488296060038,13.9434035471678,13.9948075002283,12.8404632324916,12.568356231754,14.0597517994795,14.4363102586382,11.2594213120777,15.0357779835107,14.5670655143003,13.9089277464853,13.1466830558101,12.7885026288828,13.2307500157731,8.87561162162664,12.7064725373532,13.7591453850625,13.9195042748641,13.5714907608892,11.8402044002891,13.0185910852388,13.6718119357857,13.6485802449103,14.8541895975383,13.3930487463958,13.8303628919418,12.4640150349785,9.51215514172299,10.592064277928,3.5513446198425,3.10693293385624
"Q96RP9",12.8849681194845,10.9749097947271,12.9965480114688,13.2052622339971,12.2738631174684,12.6534714148725,10.813225654691,12.8129887427471,12.9802158917602,11.6732057185263,8.40382112613911,13.2790899972023,10.711673719405,13.1351865006276,10.4114905157558,9.64306029383102,7.69766292834291,10.2726044086142,11.0088764693496,6.65672479748321,13.1916761463524,8.23614196614378,10.6444533536212,11.3236379005586,8.96890762927019,4.97045345798363,12.9417821770348,10.2475425215313,9.54821377504446,10.5876834196767,9.43146521050963,13.0424252216497,10.3760526178326,11.8702131419821,13.8151869127958,12.7189685007792,12.7516306666861,11.0978649240022,10.4035005719925,7.92511326047993,13.2318806679936,13.8802230044114,11.7440527218128,13.5091991919745,13.0216364049937,13.8498983944088,12.1619404280563,14.1613520971551,13.9871151079668,12.7547679585953,12.0466448753504,10.7088003825494,13.3094434541047,14.5866470403551,14.1996866107531,9.75412920664544,12.4287605573736,13.3633393038732,10.1535316550802,9.43186920651468,10.3724390679832,12.6273942323635,14.1387990524382,13.897217259471,13.0913575647129,12.6552954360205,9.26851237126984,12.4229845279411,12.6081876542121,13.1811926565965,14.454350652623,14.3882786702549,10.7390682865634,14.1372014404866,9.79235341935004,14.4727114104957,13.2552346286093,13.5768530629797,9.97492454803579,13.4224644830291,11.8836272227122,13.2077556163753,12.958515672675,13.8018131709131,13.30154206442,12.2773432990645,13.4803277900088,13.3901177951244,12.4471258050708,9.08539992708524,12.8928760674928,10.0153588002236,10.8239324390451,13.1030364456614,13.622910705254,11.5944293608429,13.6283239220758,11.878458712059,12.9402080415366,12.006725240376,13.9393361276488,13.8825013406384,13.7542650394766,13.7048877009211,13.5806694155372,10.2461392248821,13.9452803644875,14.2587868376616,8.32280211470126,13.9786309756577,14.0081338534539,12.6824482936069,12.6229379282197,14.1988509948307,12.7148711956135,11.461441123895,13.6708616919561,13.9969785720521,14.2803409774694,13.8105852397271,8.21704562931304,12.0603581826421,14.6918113877994,12.5999313344623,11.3275713310206,13.3548095709741,13.2639006020015,13.0253421689014,9.74853878846441,10.1430740075324,8.65760441288008,8.57652250671812
"Q9BRT2",14.9166823110274,12.3269587405012,14.4708477653337,14.5609060469792,13.1938917067744,12.8191523375739,12.6546660514658,15.2718112797194,13.883318423936,13.4941789024681,9.07928498108198,9.7920188115678,14.89895259793,9.22123023543023,12.0385729159314,13.3624873735735,11.8111843639536,12.0679885422505,13.0017119052201,14.6723677557537,12.0765486666133,9.85948963574824,13.5939802203067,11.7597231375356,12.4135021796764,12.983830705723,13.5241133232498,13.3996271606554,12.0300708368274,14.2726749648969,12.7584314409003,13.9127830167671,13.8156834762826,13.8939869725427,10.1199509469211,10.2617445504045,10.3119467505364,13.3642666802775,13.8708699762558,11.8270928075153,9.90547321316357,14.563791575429,8.90289052289252,9.84706451412319,14.5608701619253,10.6264828295058,13.0257472837138,9.59241266212413,11.0495740472119,15.5159584232929,15.6298409217651,15.0638475732714,15.32896291745,14.6799010794646,14.1084496431849,12.4658214556438,13.3818917874941,14.4568574018657,12.0677443578258,13.2232121477011,14.1653139512975,12.1273723184639,15.6124472062854,9.8658042836447,10.8744829936205,12.3066684794692,13.3298914355502,11.0523891105506,10.2496182354322,10.841575295259,14.3947585453623,15.37670901707,9.79441190332887,10.3361000717358,13.5847127228062,14.7556439219784,15.1717679637457,8.94350747610547,14.3608355732739,9.7446426635553,15.4292029035801,13.8070319117198,10.370382987921,14.1855032745195,15.3872647737864,13.6892681116528,11.1373771015462,14.1463107544215,15.1091551070478,12.4677348883072,12.5081048978594,13.6009213077614,10.7798162203477,12.502657384367,15.6223731956252,15.3038287185747,13.9431476825239,9.81787239580342,8.97814640694675,14.9739829852738,13.7627575727625,10.2778578740539,11.202533153384,10.191618677325,10.4276271392173,9.87886914112849,12.375355576346,8.59744035865793,13.4234443497778,10.8032667312093,11.1434809087927,10.2717472563591,13.98587974019,8.54161803092931,10.2710786600357,13.4119409948063,12.1350740228851,15.1013523219091,14.8359674197163,9.34082971396473,13.8055937706727,9.24065508541386,9.58235371793772,14.8589855906026,16.6302535971225,14.1460772197692,10.2834291299471,12.2546899948367,11.7923911418218,13.2548757260893,12.083195907352,8.08147784479909
"Q9UI15",9.33916330037504,10.8452296976265,13.0962745240356,11.4782436924195,12.0038853475879,13.8966193891259,12.3539884958114,14.5133122778398,14.3584165448714,13.2436094201356,9.0806122574089,11.3891363916973,13.3190705002915,10.2064795493183,8.39441107259225,8.99791395713742,9.66994549586688,8.02089386788452,11.2609285405972,13.9699260365778,14.6027082412588,12.6476183733395,12.1418915545063,13.2125456527224,8.85911334022925,7.09365080623671,10.0822062479499,7.94701582972812,11.9873624351572,11.3235087659623,11.910047316399,11.8571798900359,11.4549121363989,12.1827272998797,12.5855566236601,13.3730682687835,12.5508408802845,8.40158254274517,13.6014747090971,7.1695209437271,13.6600701824891,14.4441920186052,12.9697342645705,12.728464039581,13.5423206985965,11.0814374831772,14.0167838940212,12.6577834119066,15.6132959109314,13.3148699496007,13.1813146108376,14.7013481187954,14.1915904195478,14.590812215709,12.8042640131387,8.36507857383971,11.3757444143253,13.9829631889913,11.2548418156747,8.94643857164468,9.33500262738983,13.3640380028734,13.4232357427192,13.229472583836,12.2037998697757,15.2512467268614,10.0789420050351,14.8194281442121,13.7892588745982,14.9568309897416,12.6309482065195,13.5597089386464,12.4122285594884,12.5783805891788,6.56981288084154,13.6588949685339,14.7103463392478,11.5424160536854,12.4863352763852,13.8608547721712,14.6793973244272,12.1604152880747,11.5168961851803,12.8256245633582,15.019898997553,13.451619537772,14.3677107061892,14.0724881667769,14.3374551992497,8.98716497078047,12.7115850042627,11.3368986002447,9.44449743318502,13.8112202394564,12.8367375996673,11.7067738668745,13.9711907410555,13.2897030487337,13.2327686704043,13.4232186351695,14.1747191482338,13.7238472790332,14.7724109850587,14.2111556366179,14.4987868911292,13.9537131978707,13.5011179262745,12.9815388142651,12.0026685496123,14.9650523853224,13.1181176465993,14.4037182954518,12.9914984454148,13.7927164336797,13.7409851748477,8.2043951524856,11.505214229319,13.8930237896047,12.5947431267687,14.1694250607314,12.1090917162988,13.7594581933083,12.4094282671768,13.6554719003757,14.8931089851815,14.3670152427114,13.8204966717941,11.6320415628323,11.5546572976032,9.7809759810033,9.9400025497159,8.48398606917443
"Q9Y2P4",11.3546210295336,9.44371283727965,12.3087612162837,11.4137975756164,10.2148193333894,12.2680319284332,11.5876125567926,12.5261124381429,13.3102456580183,11.7373478132689,8.53297793281234,13.8432779491278,9.11175857517682,9.61940918537251,8.73417218863546,9.55590285550816,9.29308583317738,6.05159295458371,8.98439064542089,11.0800722345877,12.1801860746249,12.4890468852988,8.63158911986513,12.1731016027186,8.17122411362067,8.39058619759551,11.077577691728,10.9575517229671,11.7582420908473,12.2315767456575,10.440896378586,9.90081148749475,8.54917028443646,10.7541787228698,13.8265285304727,13.5677879907273,12.8163648142646,9.37608930847263,13.0077844878921,8.29427186585374,9.95118000326053,14.4441524944873,11.8262778404548,13.1952180755326,13.470658051737,13.7705152681011,11.9056872120027,12.0560754333566,12.9139959048266,12.3664249204698,12.1049791672628,13.4095955884671,13.8990553162006,12.0166918946885,13.5168346853196,7.7143512851555,10.9443864630591,13.2387338276229,8.21728553602646,9.57025980909897,12.4076135097077,13.0581226380819,12.9833333991165,13.5168244665359,11.3539190243096,13.455200565171,9.64914663423705,14.2067248244119,10.8272123216881,12.6074242308292,13.9281146766531,12.0653511420126,13.7687183575489,14.9754932425795,10.4522154020643,13.7050787780953,12.7085335318125,11.510909851954,13.6516567519203,11.053089083791,12.169121449217,12.2872976907381,11.7053409137275,10.4665378024496,12.3588508981474,12.6996929374897,13.7468091986025,12.4068869809375,13.2923876614202,10.4390802179468,13.1063956832318,10.9062237515442,11.0643236826531,13.4690313825626,10.6502156312991,11.1879299910617,13.3432469401432,13.477807380479,13.3092779759326,13.8929226669018,13.2496808344673,12.9608759339482,14.1404091896504,12.7597065310096,12.1942656724059,11.0903764465303,12.5682215799856,12.7878464062303,10.8422780057248,13.9475409658059,14.4022022604039,12.4803258476886,11.9355165446693,12.0026570737449,13.2134082187718,11.1829999814131,9.963102082974,13.6895310732099,13.2915282259772,13.2284139968173,10.4877517262238,12.5817732209543,13.5666040359327,11.4721130765132,12.4009408590687,13.7739218485477,12.6182671640626,10.9738914674142,10.0730774309021,10.2845811507328,6.71403290629005,7.92532111972269
"O43149",12.9747571624678,9.39248825967733,12.5239143130677,12.2795778856992,11.401320354077,12.6090224814173,12.7189225468541,14.2336578365865,14.3251720506847,11.8573019183334,7.95630992380949,13.7607781923432,12.0633447538934,12.5708764223042,7.59793012303368,10.3291141875279,8.88353447240306,9.03695466666324,10.7945079422601,12.5117423782423,13.5009719586568,13.0637773709257,13.2212373749123,11.677406209685,8.30609700673035,7.26264345367017,11.82452170237,11.5521173491721,12.0032053269115,12.4166021498007,7.98267620486656,12.5492074748473,11.7214790240644,12.1989832091231,12.3441900906427,13.7036269315505,13.5155299599313,12.433468702441,12.8027894832561,6.98622023316972,12.7119125259226,14.1327301541233,12.6267804305235,12.8367742791002,13.3028938584114,13.5062307506828,12.7872368678576,13.2343437158222,13.8622897179242,12.8500908949216,13.2063847182662,14.184730348056,13.8356690133564,14.3162856537408,13.7337441439967,10.3371154904726,11.1607454724182,13.0856787574318,8.53824707213093,10.7174061072304,8.71151263075284,12.3103506510151,13.2048204036517,13.3806242531574,12.5451059720147,14.0146172251101,11.2981062203729,13.0009164073415,11.929717717455,13.0777723195291,12.5593281892856,13.5856469432644,9.55706765216296,13.3352920350401,11.8139870825173,13.8004968035423,13.7680095647892,12.3774936590576,12.2164955354854,12.1319798450687,13.5297276901516,13.4699950621569,13.3161203877034,12.7323410542935,13.9008166050365,13.2871327381607,12.729929821371,12.7297053350608,13.5544465285733,11.1967577342814,13.4163905103185,11.5835250595376,11.0059206184297,14.3685706296776,12.9829232289478,12.7247941002432,13.0361396922318,12.1476230443176,11.736473423075,14.606383583223,13.9470555868364,13.5309297987554,14.2643200513789,13.5862994921314,13.0070636860291,14.500736964383,14.0652120859948,14.4216669478788,10.0967679259938,14.2396881751461,14.192547191497,13.1790416181499,12.1916280429109,13.7156259090553,12.8760877641668,9.33161714034616,11.4459975962381,13.7409447451687,13.7059342918386,12.9197643687842,10.1273970722116,12.9765057130306,12.7416373683937,12.8345857511165,13.9958121499005,13.4447485256587,13.3300388474137,9.44949249872464,8.8278209581144,8.8536999935339,7.25737081888088,6.92172892878524
"O43396",12.640799070952,10.093750077556,13.1248554484276,11.560116418359,11.7446946164524,10.7700914728419,11.1923494925667,13.0875497410245,13.6764510466235,12.0596451762884,7.9214769835134,10.070668658802,11.382373728643,11.1868362962164,7.2661385515136,8.8654851559873,7.12959113144188,7.24248461222587,9.39956619758472,9.55574195916697,14.0605417747304,10.1329610265684,10.0766434287677,11.7137450204072,7.09205577563396,6.55963189089204,11.7272612087326,6.92926440466931,11.7330681012267,12.9303217200593,8.60522544420211,12.4961397927029,9.32947293537637,12.5760750185272,11.5104254448163,13.4176290764107,13.0853495247592,9.45827108332582,11.5774194057362,10.018279022744,13.4456003256576,10.8792036119582,13.2099772604434,13.8103197799775,10.1246109372542,13.4733071405035,13.7746459248639,12.9821281550771,13.779455721825,7.31306761920456,8.56466712237458,14.0957135686041,13.6366864976704,14.5816488733057,13.759359669407,9.42322650276994,11.1153370422415,13.8787233318815,7.16344444109375,6.78749877383128,9.16119603993778,13.8136181589097,10.2219796407581,15.2456978133564,11.8508443348903,13.9332163284316,9.8840448107222,10.7913538990139,11.1279318546082,13.0556034026163,11.4745076834954,12.5648202201754,12.3355007426213,10.304990440612,10.774259271896,14.1937338398413,12.6203386626118,12.3686321329466,12.3412008990772,12.9059218007031,14.8798038538032,12.9983054771654,13.6814728292587,12.9084741695173,14.0375667726991,12.4983647733103,13.3720776890433,14.3232493270076,13.3471523002391,11.0877183448673,11.2868373597154,10.8595297555032,11.2077876872766,13.2967365316135,13.3112751638898,9.81411148782947,12.911833145402,10.7865064153977,13.1239324547249,13.0628940338887,12.9994532426291,15.0225035610908,14.3898179252073,14.6423362359849,14.4251757556618,13.3717142807749,14.4943225697886,10.5046503440986,11.8656004460604,14.1258802422043,14.6023566130705,10.7927619122825,11.1828839088539,7.62312305366799,12.2858141417299,10.1666179748679,12.4275108901031,12.8992751195551,13.7699984972433,13.7541822606703,8.43874134790205,13.753327037531,12.3933034950023,14.1830986091211,11.926591669071,9.77715312280808,11.6358622351632,12.205304247953,8.21312904110937,9.6369713484611,7.97691800724161,8.3724587386097
"P02776",12.065863541301,9.84865548571908,13.5324945920065,12.4906926592593,12.6123002905916,13.3434238836972,14.1159955219856,13.5081638894577,14.0791429149365,11.9573234163902,9.16465350675971,14.4411458256001,12.677760018425,14.6234074363288,8.19923386344808,9.91386381450782,9.61836932586683,11.1953772244006,12.2313520949981,13.95275260753,14.775088772405,15.6009778947734,12.237030456756,12.030313140061,10.7904443827048,11.1357647618492,13.0227040335898,11.6493563647499,12.6795183727502,12.2180605792348,12.1356338055677,14.1591429373788,10.6949462791044,10.8465674399518,15.5324142543898,13.9721418701349,13.2030340737958,13.3641666251441,12.9813713176773,10.7739610013746,15.7871651222457,12.9708894314009,13.3703574659108,11.1667185173572,13.9804462508978,14.0399604944186,14.0278176055009,14.2247182080525,13.3035682160698,12.1615254254605,14.3178198489589,14.5516749173767,15.8694678368582,15.2859201816667,13.3985915525534,11.270690745934,11.313881301372,14.0790232464601,9.6197749609161,11.6794871786739,12.5242046223223,13.9551313315551,13.2861485360003,14.8904906677778,12.8825537998151,14.6101266760562,12.5673340649053,14.1557841010294,12.2373748319144,13.4710126134655,14.2305628233339,14.6856176105861,12.8354493152013,12.4231104145566,11.7598645194507,15.2555441869706,15.4492068072943,14.5752066514577,14.6299476312134,14.7419633671043,18.4512715021436,12.3492587909199,14.3577200614799,13.0040539669518,13.6801263284462,13.7709835820622,14.9835147678353,13.2208991882406,13.8807133543078,8.58512789065714,13.5905128405222,11.6538839910002,11.9794490229478,13.8855279060852,13.6807796567666,12.7563924481114,13.4454336951582,14.924613735554,12.0322465390394,15.6047874431728,13.1670661385611,13.0188519624988,14.1674633009524,14.5243204232602,13.6318462828523,14.4328814459072,15.5637062037888,15.585004680122,9.46974899902596,13.9312117093436,14.824288587827,12.0445083673988,12.1383063819767,13.3363864163186,14.4126460539167,12.2843679806021,12.8442498897898,12.923830536985,13.7363945686971,13.5377338237122,12.0859762168274,13.8714862485367,13.239470374889,13.4402132855842,14.7716492285276,14.5052750401219,14.3649565585263,11.6025912730073,10.8835579295886,10.2998754672547,6.94241856177365,8.94084858131576
