"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"Q6PIU2",12.2342333810851,8.86770447309008,13.3879732608717,12.6516899682418,10.3755489813798,13.1440185520414,13.4969158488166,13.413513601308,12.4214915000564,12.6475094175499,5.68638438742093,13.8994060143453,12.3107580892372,7.88105268240329,7.67033140043933,7.2178562686112,9.77205966232071,9.83668714775195,11.5900380669854,12.5440496857851,12.4248038761427,12.484949195529,10.0583172987773,9.07037697006864,7.62042543260967,7.3584807617756,11.4336620287786,8.48144902812631,12.1140079330785,11.5318553198429,10.4531859517082,10.9256691585357,10.0098950342225,12.8955906009021,13.9890848978923,13.4332589023972,12.0745705170913,12.6037055589101,8.84931921374216,5.02729122962892,12.1729174612756,13.5016760270277,11.8915363666147,13.9551370856357,13.5013293437131,13.7349432386305,13.781406587824,12.8106592602387,13.9553788101702,12.8611327086009,14.132550771802,13.0747493476218,13.6448108280863,13.9302617319327,12.2979419567926,11.6666597521377,12.0198918234637,13.0524733387508,7.92616584669494,9.31217892554118,12.5571005403571,12.1313602934769,13.6665956431626,13.2139504060209,12.142043822312,14.0886885385853,11.6813187374313,13.5064838503039,12.8682129145187,13.8913268504629,13.5071033802368,14.6831542435952,13.1510573170717,14.1666175341475,10.967890233711,12.4198602057962,14.6712060412601,10.507660624136,12.6705188707601,13.8071206341432,13.6172010090866,12.2579937729585,12.679537935141,11.2081215636629,13.4854825728315,12.2443485816959,13.8977604573126,13.0950417481421,13.2945324954706,6.72613375955977,12.2789111400219,3.59919576322135,9.95865142214417,13.2595861096582,12.7407762525622,11.0484528480804,14.307429119333,14.003163680619,13.4785373399995,13.9129576421779,12.8028030866167,12.4643668231349,14.1891484203646,14.4781435915991,13.9885906095931,13.7603070901562,12.7690099319693,13.9514051254242,10.4720310204068,13.0284367495225,13.865228226491,14.2621522469434,12.5694823513193,13.6336859088092,12.4409785163261,12.3652231339836,9.29775489628355,13.5749405384685,13.533951756466,14.4153898162713,10.8585267620497,13.2739688202796,14.3572256549216,13.3932165469276,14.2908875374231,13.3627949528908,14.5134336942819,12.7004226177893,8.05439716222737,7.54090154869749,6.09600503307676,4.94557287567935
"Q8NBS9",12.3229440193655,11.1040431736741,13.8904015517237,12.4169984378368,10.1390532196003,12.8147874695571,12.978956090357,13.424835267483,14.8219614030871,12.4741973919229,8.54549048523807,14.1618956586854,10.0208295687726,11.1138304660647,8.39587038258193,6.82181268270967,6.94079346241421,10.8240767613437,7.58607649410527,11.5885243838041,13.7482072769207,12.8062334570904,13.8554768763998,13.4676974729414,10.5992458080631,8.44566698294337,12.9512129647297,12.555355929863,13.1287880607659,12.4242273552027,11.4296943225367,13.7141206052119,11.4440746387362,12.529560192559,13.7343389290426,12.6953437179024,12.8344154188246,11.7508998963047,13.7901941517169,8.37662547214562,13.8865088295607,14.1022968770785,12.6959619396686,13.7898200792162,13.6254044034507,14.2807781392468,12.8080095672117,13.9890770836755,13.331866246981,13.9011573944434,14.1124015679255,9.89869994914875,13.6900393561856,13.7060943585565,13.9663459921234,8.66745412276906,12.5692427781687,13.3118872306584,11.1014419512578,11.8695938432408,10.5869540726577,13.2649983389965,13.1997466600603,14.2423823380654,8.75078939964087,14.7277077774727,12.3308992225339,13.2194449933681,12.7578900878362,15.0842153913889,13.9539034653997,14.4670646159549,11.6492303922931,14.1162615573347,11.6987332274584,13.5775889999888,12.9294552544821,13.1863467637597,13.568268975199,13.6527534817251,13.9386297461337,13.3905600878396,14.9871751734358,13.7807766977896,14.6281091094127,14.0065514445357,14.7633887678016,13.6974208373008,14.8868315559855,11.8257635323073,13.7557221536423,13.3739052880833,12.0252797833309,14.1399680783753,12.4918944810958,11.7797091028123,14.1499094494896,13.6481328456527,13.2785727561594,12.0336121986197,12.7161374794258,14.1121501241108,14.2709484822406,14.6784044527781,14.1814616751481,13.537492628285,14.619909040192,13.8395916443775,12.1405254895736,14.867506205293,14.8249216472831,14.6625622204029,13.0200291669427,13.0250187115881,14.3217795787291,6.93580846320756,13.420493261728,14.2782819513616,14.2906704062961,14.1741997502078,11.985978561098,13.779213964654,13.5047986699523,13.8840698078429,12.4515192738604,14.1591565466963,13.9662954608719,8.11238645552017,12.0291929953763,10.0028900796924,8.59389634884477,8.00747309278546
"Q96T17",12.8159905563051,9.26039902614934,13.4229053230134,13.2221252318596,12.3774415624952,12.2002015965801,13.1460361574325,13.5084906601397,13.200328177479,12.9521122373572,9.3681767108855,14.4456840466071,12.2341392432469,13.4580947432689,9.77782645477471,10.2186388333893,10.3724708852193,12.1820411093675,11.8321384272917,9.64587746818086,14.1615419969134,13.8866151242199,13.1519120143158,13.2138059909966,10.8346575900588,10.9910611643527,11.8182466851795,12.2419688543625,12.0628374170657,9.39888393209221,8.61168224369703,13.5444148831077,12.0565779168227,11.9785117500795,14.1385705456731,13.6253923361947,13.1085823244926,12.6187793514422,13.461529227561,9.31556459227152,12.4637932388725,14.841055089349,12.5454251486547,12.7062481009098,14.0519585201076,13.9332010443034,12.9610002810603,12.3866337898905,13.1912350371463,12.4061820356524,13.8705670391828,14.46875951775,13.988246186609,13.4408162459452,13.5830235677414,12.110467109797,10.0380338386123,13.4604491763472,10.0445579916823,9.42996852023785,9.64623617263371,13.0879897320449,13.598664495102,14.588794816956,12.1504688394792,14.3038921957609,10.6445496135383,14.7119710120179,12.5727971371045,11.1668628049543,14.7533989170527,13.4766659857237,13.3517586108307,13.5038864056627,10.2652575275499,15.4581928500906,14.2727256631553,14.2409846357768,14.2338746981938,14.2208770481,11.8468560147435,13.1755121413782,11.7009233049791,13.428053750797,12.7763805554619,12.0695475724701,13.5790842888434,9.81738829378975,13.7319455106221,9.09965611878196,12.908622947251,9.7816876350145,10.4201775231918,14.7958020166247,12.607431923183,9.4873816344746,14.2339780711056,11.7580466106857,12.887308743475,13.9793794775819,12.6902741672043,13.221454432571,14.113440827253,11.9818335119176,12.2561134897941,13.1716813901778,12.4414861890727,14.4543086993143,8.90244429669691,13.7143245397375,11.813509540454,14.4775370656634,11.3744897836745,14.1468071222095,12.9450819607719,9.88203662358634,9.58841321575644,14.645097825274,13.8300724285605,14.5989347614872,10.6672133780157,12.6809929079147,13.8664736299342,12.2140555128882,10.354643744845,12.7437238576138,13.9002882005318,12.8609068670316,9.75335449714918,9.56948231967381,8.26064249662232,9.56977036055008
"Q9H227",8.87429376409842,9.84211108775357,14.2896184361306,13.3838654631027,9.8575763880701,10.8289435663375,11.7941068415396,13.4795202511872,13.6894553530332,8.86924369104874,10.5057053079305,11.3731824019379,11.1042887316048,13.036216845638,10.6194144527592,10.2349489658085,10.6299413636274,10.4607630354109,8.18955455885228,11.0823479244876,14.0460875112164,12.4582210961008,12.3324840170649,12.8164906772691,10.5135114015445,10.4896330142775,9.37575463077339,9.74118609008299,8.48404493121401,8.15705502515943,10.1115795282984,12.2484116832015,9.85378088054617,8.05291221724417,12.6814085508795,11.6548011231404,12.1926306446915,10.3124411929248,12.5509837823752,10.7321658903063,13.0962333179184,13.5957111918855,12.6285128560419,12.5802301661199,14.9651433804833,15.3079739488832,14.682392720019,14.8629739500834,14.1103763673929,13.9364867529405,14.9712320738962,14.6307836211678,13.6749144246439,15.8577887263233,14.0626909021296,11.0312744622628,10.6690641854349,8.69535305480806,10.3892044830509,10.2232632212991,11.5242751915484,11.5085009929516,14.3660077075636,14.2424284934574,12.6115337610229,14.4112054599323,11.6175513082296,16.0147199275611,13.5858226138423,14.2593693059184,8.83795821692077,14.2071938825578,14.4504557167751,14.7493145613246,10.537785378138,15.0906306744602,12.1710625407366,13.8401807847873,15.1853060920839,13.8393686536123,14.9612253245917,13.2344317680259,13.6021677903498,11.1386981789644,13.4113205009295,12.7381514163814,12.6281806948771,9.09967336420035,15.1330042554272,9.62754372546958,12.6562545691403,7.79832393081233,8.61942234610285,12.6560378886075,14.0468856815428,8.39357536583969,15.5481008467487,14.6652710995135,14.5761328831534,12.9441589712981,14.5823463173502,14.2558454931581,15.41917370921,14.216908612384,14.4957173426337,13.6528071899416,13.6659790317465,14.3366916599472,8.48307133850558,14.0406871426796,14.5582082060901,14.7706999750007,12.0068772695001,12.9154085214144,14.9440994024944,11.0810806093215,13.3523403473743,13.010076054263,15.1132916456963,15.7475973484871,9.68451203527906,13.7684703730875,13.5896491283998,13.3801501008154,13.7699097368921,14.3395089351654,15.1743522582147,13.4249927540581,10.5518280716236,11.9211017343324,10.7238005825086,10.5947019780034
"Q9NUB1",10.9887099067896,9.66568185629363,12.1131270480465,10.7590373842962,11.2455439300696,11.4650038420752,11.3858129998141,13.2270115515745,12.0745042401924,10.332403628951,4.17097130956943,9.89539689372146,11.1431092853617,10.7447874869501,7.33453087156732,9.84485183465974,9.59890826155298,6.32999060818684,10.1449849770951,10.2746126579879,12.8819567454019,12.0907403195386,11.8280777212138,11.4323855379416,9.26606639983964,6.77302281288047,9.9091949401076,10.8932181322627,10.8041721300763,10.7411848944842,8.37504680345712,10.4988894072779,8.31722900592572,10.5199305841503,12.4215873721646,12.5495023171616,12.3619150218842,10.2595863137777,12.41017197383,7.77498210425738,12.1270275196343,13.0225294013474,10.7681979767607,12.3742317775651,12.6961814577659,14.5243857447516,12.0076437687593,12.9440071073841,12.8885084252175,13.2750327062989,10.4877922129537,13.1961731056536,12.8764062983255,14.1089535088501,13.6202334648986,9.26386506231617,10.5199205202677,11.6218212939896,8.13058380891157,8.86885818619998,9.20557252570288,12.5992154950177,12.0350695352521,12.7280806523491,12.1885471475761,13.2978907926495,11.6713558038355,12.4592794222867,10.0204686191976,12.5124114014038,13.0341437532167,11.7346405711004,10.7219052962632,13.5299924834055,10.7769334642298,11.8667805423984,13.1653177887774,12.3177354275273,12.4931276827631,13.4372596469606,13.7371698696205,12.1000935367435,11.5671956194473,11.8167225781277,12.1596223431384,10.4416411890595,11.4171608175785,11.3018544049367,13.0157034492849,9.31856505490249,11.0967717291611,8.90539011524048,10.6496553934873,12.5057961618069,11.5374955481605,10.6000268391524,13.4340328428311,11.8284844718838,12.0361740140631,12.1002402628749,13.3783691428231,13.6191956500214,13.8357064710217,12.5679504658529,12.269931756314,11.5238966746586,13.035698803782,13.0433551743841,8.67280431593025,14.6606008419146,11.9544495795683,12.5974928433812,11.4185665524472,10.8447523174768,12.9276342788423,8.55322037837337,12.6631409628786,13.1821536723907,13.3207012842129,13.4118693460583,9.32889054964899,12.3240754287542,11.8739056176055,10.4011811340654,10.7945024940946,11.8203070748694,13.1413045184869,10.5757855849569,6.96564037929865,7.82028779239491,4.03782216247518,6.02524772472628
"Q9NUP9",11.8439364071994,11.2700017264011,13.4788039758986,12.4667874708115,8.55499427193845,11.9459379774453,11.3608263283288,14.7468135452965,14.081768698118,11.5141681434594,8.74007228690493,13.7419541075468,8.80494503730489,9.24882779909646,9.26723350291388,9.80165922493938,7.9999668102685,10.7094393475407,11.9607618469319,9.17965511700408,14.8603500340353,11.564414780189,11.5624462969407,10.4782946760718,7.81626866351472,6.87053368075948,10.8454518701957,10.7556581228883,10.818141450346,11.8217015219541,10.0371693213057,8.59394803505492,10.2867432640966,11.1456353520955,11.5974876070368,12.0714388381558,8.47582166816604,10.3019068349999,8.49804972468244,8.98486893849741,11.0284017324828,14.8642014120182,10.8212304558165,8.85744286701072,12.289293953119,13.65394005487,12.2294135150974,14.0010886221629,12.6765568954385,10.9168181405403,13.2995271460075,13.2497785279051,14.621330771177,13.4287269673763,13.3195505878572,9.81742082731527,9.64184004053793,12.1671017737882,9.87888657343001,7.11674941932276,7.39195068633897,13.2511952310529,11.8959181132756,12.9184582914629,11.4408931749927,11.3710463017925,11.9478985171168,12.8264696659853,6.92268920210963,14.2482189006447,15.6013733561242,11.8895401607655,8.45916031871471,14.0741251738204,11.407218042486,13.3193009767303,13.5634427698315,11.7802601226576,13.6218159990895,12.8400030348077,12.8617619091359,11.0401363422526,10.6452143984441,11.0944139567592,11.9830189745148,8.77932031099033,12.6828873499188,8.99322016119121,11.1293194462314,7.13115347201589,11.6120971889414,10.4241141518463,7.39369028965048,14.7955757599257,13.0494133845037,11.3153541295454,13.3527334789171,9.07193695556471,11.4997001819678,12.8727784437704,9.22383673501906,12.0418804703484,14.4499353125688,12.7978067849413,12.0897746624758,9.82305590936893,9.75187980668656,9.88551130518481,10.6150256465231,14.1372634057531,12.0884207857656,13.145654441359,12.0073690427291,11.3916741191383,14.3890180972335,10.2787019537779,14.5074118593681,12.9842415518368,13.7345379819345,13.409891181973,11.8040798635202,10.6339349320661,14.0807318519337,12.693784613747,13.2019870193799,10.9165184491013,11.6808316355227,8.66896549884726,7.12633429008137,10.9232161813196,8.28439717080496,9.25647607933705
"Q9Y4K1",12.5896483181524,12.0310119074377,13.3743098736458,13.4014730987376,12.485563264447,11.287038736754,11.8535614469246,13.2182604987973,14.4898479604393,11.7444078553858,6.78193876943947,13.827739648807,12.9152048755755,13.8446964290208,9.20522272276766,11.5011635421069,9.15775479607011,11.502518607563,11.2059420175688,11.4990095904807,13.4027456224957,14.0417275325705,12.9449087994935,12.6273058805148,9.50977500432694,6.87361337785044,12.103287808412,12.8363711780187,12.655066683486,11.3400612534496,9.15983177042053,12.6086439189866,12.0061089559302,12.5655184453993,13.4739668581768,14.2105599372575,13.4134957111768,11.1141061380282,14.0107678638092,10.988957383821,12.1492123003493,14.2902411687924,13.0169823475336,12.701932046001,12.3268082895158,14.6426790207644,12.784255611762,13.6578292705271,14.2268006224664,13.5365788087261,14.2406381732584,12.6248262396331,14.1671044823799,14.7508643379333,13.81151424664,12.7744029073542,12.2419075148566,14.1927932161631,7.43081494547134,12.1534412271295,13.8777201316082,10.5472399068748,14.6248579918468,14.1615110909454,12.9612688035396,14.5261883228261,11.0186723709582,14.3814232614554,13.8275274451355,13.9647891834213,14.0716621783341,14.6433077754887,12.5906040618382,14.1620765703743,7.83170189782061,14.5244295395645,13.1237980912519,13.0959914602526,12.2559137493378,13.3657756353263,15.0254514756432,12.5484692568852,14.2111850095568,13.7873758988667,15.2593866622776,13.9883296492311,14.899215290149,14.4053989505474,15.4431378112966,13.5228266999258,14.3355781301441,12.0089816867321,14.4278341111593,14.2544897316764,15.1092476757436,13.7914681669989,13.9070280562049,13.8809227105865,12.3693247024073,13.6302671250268,13.5024589022318,13.0988545532188,14.9829421747428,14.9186863047753,14.0941281099007,11.4012109713523,13.826150420177,13.914960182656,12.0514804636916,15.4023200528985,15.6081720645127,15.4804514747905,13.6290478988502,14.0666778567995,13.835496699276,13.748804103695,12.4140204178261,15.4553559708686,13.7263959152283,13.987774361991,14.0223469656364,13.3680387197211,12.8344022488091,13.2913167104274,15.1003342312407,12.8167976193974,14.10206874991,7.7038788007389,7.24290705401884,10.2640982471876,6.56142685561721,6.78798808267859
"Q9Y520",12.4506546596356,12.5389849012912,12.3688142823894,14.3068284597819,13.0257564072926,13.8733438020328,13.1211111783867,15.5246012674075,15.1453473772389,13.3833905619733,10.3409650149982,13.7099191148599,14.1667779288761,11.4016678110397,11.3143554370412,10.2887321790644,11.0044326947784,11.3643019507156,12.9494684570467,13.6832238508042,14.0897108373818,14.1486692743623,13.1185743170103,13.4494164172969,12.2821372779876,11.8170069465151,13.6169632366577,13.102357563433,13.0742816084136,13.5059034551162,11.7222085700596,14.2747969226371,12.588537017503,13.9828103554476,13.4594401722676,14.4469750913611,14.5298497337429,13.8949623906979,14.1471204737141,11.0932862874259,14.261025847776,14.4582028327192,13.7839571833862,14.1763842180641,14.7030398482041,13.7647584457142,14.6069264901642,14.629950256021,13.8299259068813,13.9303914582211,14.1120604892034,15.1046413703376,14.8888030648472,14.8900271219272,14.3707986595996,11.5956699454233,12.6724738549058,14.5608185700456,12.0632284611401,12.295589915005,9.60487238871702,13.3353200917829,14.5180026168379,14.9636901034379,13.4440116466917,14.45113609281,13.0217946691867,15.1011318721446,13.1386505041441,15.0800485812561,14.3732981296482,14.4602131956265,14.0956622272367,15.073142855471,11.4566273029307,15.1847177882745,14.848069471438,14.2463585347899,14.0817006670901,14.8577404892935,13.1377474709952,13.7272954849406,13.9613910191465,13.7727272689709,14.5638188292967,12.8500915967356,14.0218330082742,12.7879537355286,13.9978793692265,11.7153580388907,14.3159475890053,11.7881925137093,12.5417542106356,14.2474938407362,13.2409567856806,14.3947320006019,14.2468672923995,13.6949630163345,13.3742496387423,14.120125594175,14.1465759904847,14.6162073363664,15.535342283188,15.1302990203689,14.1769083637725,14.9966061278739,13.8672126390016,14.629054545144,12.3131339814781,15.0059675584639,14.4577252559956,14.4412595461375,13.8082608815332,14.2315043731251,14.108858277909,10.0460083502403,13.7682914662863,14.8287699097263,15.0340463737653,14.2027810761517,12.364411519333,14.4565722647955,14.6512581421355,13.6705246468949,15.0218750806611,14.2208953498315,15.0776739126445,12.4807763358928,8.89103754216352,10.941659471982,9.60238972550325,6.35043925138566
"P09543",11.8006649968413,9.87412114222521,12.7640827433001,12.8133036698987,11.2982265615614,11.9026625681059,12.4185405966397,13.9112688422454,13.628811396506,11.5974038114071,8.10558036410043,13.3528869004872,12.2916376357882,12.0581596944201,8.46224442115857,9.86731273431288,8.64357909243051,10.1615097687194,10.8083718299795,11.8943742532458,13.3867929465429,13.1011298260325,12.7847290164936,12.4741336541008,8.00174120451839,8.2724025691544,11.1641224250691,11.2578089337223,11.7555942984832,11.9415547736475,9.66037239865182,11.8905872473848,10.3660927528541,12.0483338485235,13.3756890727402,13.578312767129,13.0666074388639,11.6906959199334,13.0562346417765,7.90958954413344,12.904427742894,13.9244090076292,12.3472978588408,13.3552340122277,13.5286043062605,13.8359803928058,12.8190173806504,13.5948528356099,14.1501246519067,12.7116439050091,12.8117911454155,13.8152527022986,13.3768772880917,14.2519684233593,13.3168281709775,10.388393151003,11.2465810434757,12.7078591979196,9.67359103566387,9.60948736900194,10.4178255848663,12.5016392830009,13.1322672689004,13.9878947803062,11.9188192134765,14.2804182830736,11.7385023809381,13.6961420040595,12.0088778890251,13.5645406570866,13.5554925548653,13.3968732132162,12.5948616003317,13.843251112422,10.8855191368145,13.6755886241099,13.1682308253484,12.9155913109319,13.0187637283977,13.043905454356,14.2691419911648,12.4469497639786,13.5400220105653,13.4855617028853,13.982143563314,12.9676494311024,14.0106906039021,13.3338780729199,14.0170264149171,11.2294791284517,13.2812782208809,10.910574049105,11.6364108613616,14.0748595813503,12.8135210789076,12.160633855082,13.6243394124111,13.3983812558143,12.8375037897548,13.7896664709746,13.4621616162596,13.5909471245284,13.8750845852437,13.9907450230617,13.0801409460363,13.5221363046817,14.0990524787504,14.10747049834,10.8839007357283,14.155389616539,14.167127426568,13.4278846389587,12.6332916269941,12.810509161712,13.6533728125676,9.49085908298775,12.2617848102403,13.9554496206195,13.8752296807319,13.8799433812481,10.6073448998291,13.3659574734948,13.0229332781152,12.8304769860424,13.4256102379238,13.1730748194894,13.49055014334,11.3742739685126,8.28769977813774,9.43862145063529,6.04575340973015,7.37375730327301
"P62244",11.5861338657609,6.06253552080775,12.1058961269681,12.5021564192163,9.38834028995784,11.3852530141585,10.8209162851901,13.0247660284512,11.990299849975,10.1229972840825,6.08963293374379,13.4043173071247,11.9882545462057,11.8423372702233,6.25587596058164,8.03794275205541,6.90569211016807,7.26373890743735,8.71836743266216,13.1133952937334,13.8851611267267,12.2034971645362,13.2930129734174,12.1730484607255,7.59952269333151,6.03145035046046,11.3770160504601,10.2106428508765,8.79177406510374,11.3257124652985,9.46797348582721,9.17609766958418,8.63088171314165,9.87574658985242,12.5859952891032,12.8312816575531,13.1078867881585,12.331909878199,12.6495989094823,5.89963037735307,13.368317935868,13.7859595529526,12.4976023867835,13.3469394924506,13.477407048653,13.8910198375853,11.0312778118147,13.2539037520599,13.2450845061682,12.6635725484434,11.907361662767,13.2691308382168,13.0299049060417,13.6781646041501,12.3347183590985,10.952527005453,10.8083904544969,12.6491650550435,6.96249777456671,8.5312840367435,7.07866399011574,12.3551087880268,10.8597004036375,12.6951762595895,11.6730658410803,13.6773994508598,10.1028707172731,13.0679213122386,12.3321223059562,13.0300615324744,13.0069137193416,11.6022766511833,10.6539795567743,13.1449883885414,11.1933320755121,13.3218962692878,12.366098397277,12.7775877079095,12.5849999486771,12.0957385897899,13.1685235569918,11.3144521424107,12.903482422698,12.6936387990489,13.5900365592018,11.6689972279908,13.741833532109,13.198679662621,13.6251533916868,11.5971057384428,13.118619373801,11.0671763265805,12.2045036355015,13.7069371424101,12.8575818848661,12.0830585166293,12.7596182239052,12.618690797957,12.265459567879,13.6431513276675,12.452939515352,12.5884877495281,13.4999756083273,13.1327265633605,12.9459401476892,13.3129046645899,12.6225505229361,12.6929202908374,10.3107753793585,14.0898059006971,13.6850885207804,12.8197725566361,12.1154736418678,12.155466452689,12.2646114889101,8.13189576854741,12.1933755480268,13.2067298446189,13.0827518981337,12.9061367365417,10.8948512945562,12.6521657149273,11.7480814050199,13.0070780016385,14.3105603495128,12.560804160561,12.5179706880903,11.0167614117953,8.70603691341736,9.4637948098092,2.43024110944003,3.85802668906592
