"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"Q6NZI2",14.2650528916559,10.8003640936593,13.5165522473713,13.7600782220994,11.3404064908533,13.680904993039,13.731652716724,14.0215950257698,14.3882852559679,12.2577279744668,12.1605208866239,13.8933027895507,12.5821838877787,14.1418979444848,10.7783522037548,11.3395284516116,11.4460448229027,11.7706792700321,11.6562557642033,13.9513817339984,13.9639998971701,13.0537419324116,12.146522304737,13.2724827086101,7.82901444531011,9.44785229320471,11.5120476150908,8.82539900885329,10.5277204798763,8.19314190796798,9.46929255972686,12.5242846007611,11.6071730667297,11.2622437421927,13.5515537424161,14.6001585052788,13.7229559068286,12.6270069617795,13.362414375298,6.18733110287008,13.3178218922651,13.2449910564981,13.0061804863569,13.3442536513063,13.9299612601296,14.7144082314034,13.4782625604543,13.6203541733867,14.5479435154305,12.4781934776619,14.3488717685556,14.4096922609177,13.8573354227181,14.6736387676585,14.1342943573475,12.429187781492,11.6422592659068,13.6960538049302,10.7198562689436,9.9503697783707,11.7937547830379,13.5536292939164,14.4114035647054,14.6341646899041,12.2206587267761,14.5481408289203,9.50616021360798,14.4608092380792,12.2453977289708,14.9918587959877,14.0023668824331,14.2321190928785,13.8054016011429,14.5083608502584,11.2597945448843,14.2832791739,13.6562557642033,13.9540018675431,13.0628893752457,13.6630120213944,15.3086407205752,12.7933036314943,13.5773873620259,13.1676563253433,14.9948608984451,13.3542030755817,14.0804742808369,13.4345222400935,14.6130936714615,11.8007733373913,13.5248209653818,11.3367063472737,12.1245840000546,14.740528148874,13.9300679546617,13.2591560897686,14.4647153532681,14.4812976971546,13.2419831496943,14.7869329939334,13.93871085944,14.0153197673707,14.7175721155237,14.9586538417755,14.1578275398674,13.233320337778,14.6978189243233,14.6218097507336,9.11754619068736,14.2089251158197,15.0370611290116,14.4219780778843,13.6562557642033,13.6575151366464,14.4434616122274,11.5547105986415,13.6323578492875,13.8664441633763,14.5802096355843,14.2745965503767,10.8898493104208,13.3572955002098,14.6035734496873,13.6068854331055,15.1678282619087,13.8086549639074,14.9754753770488,13.0190231163442,9.95432671076999,8.91719189517927,8.62686307057617,9.43135493625142
"Q7L5N1",12.4600029685157,8.98475785182742,12.9676244427255,12.3384651671326,12.0321232492229,12.8711287846196,12.3775813035921,14.4350613181253,14.1761332528123,10.1589367167143,9.51425327509236,13.374379702894,11.6892430489435,12.0673008226075,10.1541366258325,10.0316549024338,10.0868902311458,6.65806332776296,11.2931761767475,12.6676858011473,12.4823928313125,11.227754401101,12.3672410665834,11.9595574454869,6.37861705075502,2.3016517265004,8.12206500848307,10.6639783025968,11.4935315072685,12.5442451247471,10.7730962692991,11.0697331008075,9.3488310829335,11.989459897901,12.7458832196144,6.59892093180652,12.4554624001765,7.83945919895193,12.0856616761141,6.85478527739478,12.5363599241934,14.3316931613669,11.9772190204042,12.4144085744066,7.67956249997316,9.88249618918499,12.4732520769999,11.9727544523703,12.6799549921886,12.9467582510988,12.8699565509291,14.2151731580595,13.4262146550594,14.1832392145854,9.80018944297056,7.58376044992875,10.4087568206033,13.5185302214105,10.8310717421419,10.0092230560658,7.41778237172308,11.7214541519195,12.9342437295386,13.6010921226596,12.1473223751472,12.7080821789101,11.4123601259431,8.36832293398368,11.853548812081,12.0350659168092,12.64976870455,7.3507082472925,12.3360601168061,14.0699213920661,2.46786989508501,12.6593993156563,13.1568942290529,9.51176149250559,11.6649983896886,12.1974617261911,13.3013733161032,12.4200495769283,12.6901941062105,12.363321937627,13.8903091475574,12.1963660623061,14.1789037661651,7.34897589045721,12.2384461736847,11.0081810025602,13.342164092243,11.7599189958618,5.41204127189398,12.9556385772277,12.0324386331559,12.1079257290049,10.6416894797694,6.38608056334269,11.7267429661291,12.7988682339887,12.6835277031103,12.0318468517426,13.4104747434748,8.99560795798706,12.4190627197719,12.0064644872158,11.8711505604177,13.8503320753679,8.13773965570254,13.1738420179167,10.2410078523728,12.5788200248675,11.8422892208264,13.2873711499722,12.8804159229548,6.25272515290415,11.3854113100844,14.1215036275723,10.318663183829,11.0076946040522,10.3698797966115,12.9763132646366,8.93251961374726,12.3154031638159,13.5699456806744,12.506198485208,12.2067351886866,6.61612234671825,3.37843968014231,7.47168459893807,8.67500663063642,6.54866242398267
"Q8IWV8",11.8348542472447,10.9799138827657,14.447790627794,14.1933882844061,13.4427270768764,13.2487754580234,12.4045044535842,12.9684660009148,14.6182660903201,13.0141255754422,11.1698125560337,15.1138216101199,12.6599679844706,10.074351236353,11.1008311397342,12.4800850195234,11.5647903952407,8.79494976192918,11.4623848585902,12.3992594406357,13.7939788676894,14.2426348171723,14.6302772342078,14.7361415821177,11.9951959430543,12.3475539926758,13.7037993085242,12.7311996847626,13.7548235719828,13.5697249689052,11.8097454201825,13.7667749503192,12.7038810552582,13.675400103017,14.4466688866805,14.8495972366488,14.7670894218579,13.7314376451402,14.2066666324386,10.6523922872456,14.7390171562008,15.4484483811316,13.6982857010419,14.7847736010822,14.7388998075344,15.3353821990368,13.5910957419223,14.5245409733375,13.6232185072639,14.5171648280934,14.0582936189764,15.1492113881819,14.0232837602089,14.6551830800334,14.3726926494539,12.1772459348614,12.9351868280652,13.823424418208,10.4085286132652,10.6606320001186,13.3740925946037,13.6000832679166,14.8015300460575,14.7515578966416,12.9091089388705,14.9808912957977,13.3422111237408,14.4349062686339,12.9836730654136,15.470225369171,14.9998282778814,14.8829992494621,10.2459707270158,14.5336474590329,12.4075063606215,15.686591714501,15.3483906329609,14.1356882455009,14.6312031372824,15.0445876709756,15.8401772184079,13.2270302789465,15.1617994281789,13.8658825322874,15.0344574981693,13.9006399159411,15.353795656781,10.4265831704347,14.8282255361522,9.02611473560779,14.1291339444098,11.8680427877611,8.97536083327148,15.2184165834028,13.1830996480129,13.1322659460436,15.2642317271686,14.3314480632289,14.1683717697297,14.8928018676096,15.1291997109438,14.7069058629842,16.1128492258435,14.9586105678324,15.1697067076692,12.9224953003039,9.52414187251499,9.45199145776816,11.8044697345772,15.1514845187798,15.6471082381322,15.7120727263673,14.354568752827,14.466432852436,15.4398971711341,12.3122278653677,12.2862398023878,15.2512780835781,14.4499762319499,14.2952518969516,12.9411145248599,14.5927201932163,13.8094270061914,12.5875676124023,15.2104086657011,14.3472932986892,14.666703223182,11.2329005169422,11.4771464343883,11.1940808089304,8.10481836081089,7.72785541257838
"Q8N9I9",8.93017057115232,7.03321059607873,13.1787063681158,12.8112630826217,11.2355223665377,8.46244459998973,12.9414026672944,15.0887205069324,14.949412075924,10.0399526870001,8.67996272991548,8.96542458507786,8.51177154275164,8.8217356195446,7.49267956824245,8.27740733883535,8.04620434745415,8.55023815817858,11.1201521973847,13.4058671244589,13.6358764855854,13.8981231512236,12.3758927847168,12.2605102970374,8.00064802177948,10.0012575101581,13.3711366692195,12.9003268490774,13.3523007155663,13.7240464949461,10.6491806086307,12.3638454291358,13.8877260348605,10.8154155929371,13.7581964256563,14.4421366559166,14.2705236367601,13.1583098822323,14.4988233736507,7.99190442042297,14.209689139067,14.0583965012618,13.6486151167299,13.1040510649884,14.4961306822336,8.22272215398612,12.8609500098525,14.6179422469144,14.0084078029084,14.6445209162339,14.7914928588608,15.4003465010972,14.8346857683985,14.6232910456615,14.5101869845663,10.5658457753926,12.7410525033731,14.181791269765,8.24863905444632,10.7025833114922,12.9198995113309,12.9262675680264,14.7855406886943,14.5067353007341,13.2153513466221,14.9492179455195,9.14471117129662,14.5101404439381,11.6071825412316,14.4852243116677,12.9663759305761,14.5902763422092,13.76157622204,12.2849801059073,7.25863279481924,14.3720166643299,15.3958179998976,14.084185280323,14.4597152569794,14.0914481058829,9.83914887061517,14.4907401788904,13.9645300549401,13.7941732399319,14.458246555551,14.4296070799166,14.9293380172676,11.7614646519536,14.3187198371684,12.4617938725472,13.7823782451445,13.2829052488497,12.1290747591371,14.43326578419,13.7232011707376,13.5459187264136,14.159107555954,13.8298490337371,12.7493593599786,15.5805506071904,14.2823328756532,13.6587089946852,15.0233091959445,15.3588398621918,14.361679603174,15.0588816414102,13.8966197375753,12.4175075119907,8.8008560118754,15.0553969300434,13.6617171682307,13.8653582408905,13.6645496105136,10.8536699987599,13.6344156542075,12.6351322832049,13.0305076725209,14.7234708200864,15.2148401481782,9.36553500286563,11.3809547128199,13.9793335193419,13.3361318364056,14.3988322097074,14.9929518853095,14.1389231244008,14.3153263755979,13.2112850922453,10.2312982039641,7.36402786931396,7.73050282692611,7.55898590713415
"Q8N9N7",13.5439556185298,7.33780460753913,13.3209229219754,12.9980509027741,12.2960193387931,12.1707420156238,13.5341919063299,14.3821700246134,14.1871665063457,11.1091112684761,6.04104013524451,14.2592467814091,10.1019888327116,12.8076838048199,7.47809512095748,9.84769590538,7.63667770358656,8.59287556592203,10.9367947548507,11.6154283551098,14.2141468087529,13.9468974574741,13.8556072650295,12.9768267957983,7.47148864796914,10.3155462312516,12.175259259233,11.8383220107631,12.1665197570163,12.9413849980204,10.1059085085712,13.2647962106454,11.7652354895629,12.9581354420826,14.3277069376748,14.3283346253828,14.4636345143771,11.7636973367507,13.8590747186805,9.00190067521426,13.8144660819494,14.2399023094234,13.2048408643607,13.898093962263,12.9921196544217,13.7053366458153,13.5790436714761,14.6467636166388,14.6027651159963,13.1728324283064,13.7403162102694,14.7719571462851,14.2596195661537,15.0013767954064,14.7662298687556,10.9403183699281,11.8629504219064,13.3431940949686,8.96152086842309,10.7798906649802,8.29591100887543,12.711046914516,12.660642694051,14.9358634301231,13.7121061448377,14.6908564716286,12.3023933030113,13.7645614954801,12.4326712851976,14.5728270530592,14.0384709064958,13.9791481876647,12.6862882637428,14.4737180918092,11.9949819572072,14.3159416001184,14.0099244663939,14.071475576132,13.2845143919063,13.3770939373027,14.5023248163041,14.0129038652044,14.012211645961,14.2777959157219,14.6805778281092,13.4356225863126,14.1606554323235,13.9277516108746,14.8918649495071,9.77314082278991,13.6537450865127,10.9672963251056,9.47391061776947,14.8181302162247,13.102251887005,13.2746502358813,14.504448390665,11.0521117012062,12.4732273616442,14.5540068349098,15.0429657248738,14.4164673985138,14.8613214438839,15.2186724754379,14.0321684767065,14.8329910480809,15.2944820608057,14.7637918064756,12.545998364186,15.1618572618076,14.1928502296555,14.0494612958941,13.4736830608793,13.4787850418977,14.8877171785274,9.97980249747826,12.4688785538194,13.9798421301278,14.1588280256799,14.1771661834166,11.2002856052243,14.255631280235,14.9222513209946,14.1094075969502,14.69479467572,14.312171698588,14.0894504811159,11.5608861221126,6.53186234453748,6.38161656138175,6.35359763151029,7.63858337182561
"Q8NBM4",9.08637049269682,13.2956254611927,13.357504273305,12.4809542368161,11.806176138785,8.82600443678106,12.7741693353182,13.5783012341074,13.1872802599707,12.22938000425,10.8826426140981,13.9149584282776,12.1800828745795,12.5294876775277,11.5687293091205,10.828398749503,8.01965732181464,12.3859573535048,11.9537774900447,12.7732011945463,13.7949364100917,13.0929286901362,9.64887503971129,8.97568627864451,7.38654599782566,7.3251447023286,8.09951307756417,7.57896495879565,11.6821167649501,8.92768701059401,8.76623199572711,11.9219224235498,8.69395835529432,8.44038541741353,14.2847944459079,13.5010184985683,12.6329179064395,11.7792326926992,9.49269686144285,9.76782798884848,11.4917170665778,12.6744006811047,13.2093347574823,13.5294978510402,13.9535270686643,13.4036195758389,12.7400763144166,13.5703945289252,14.1286814867246,13.2805931648189,13.4430719963913,14.7979176492547,13.4906887279323,13.3956680096368,13.8434645225499,12.5462753514449,11.8948601522799,12.9064177886357,11.1743950643027,6.8350309040169,12.7513348364013,11.811089353073,12.6481328456527,14.8572194657035,12.0965983963299,13.2137117981057,8.42144420552675,13.9368207155954,8.33967467404506,12.608008174364,13.2076699476443,13.6318530558259,13.3757419077339,13.9924073153485,11.231300922923,13.8709083882875,12.6823440144991,12.6908177593778,12.4333972720432,12.3242188596885,13.4513938884252,8.89906562352773,13.7134878641817,11.6784760693894,14.3594155660523,11.7809497987497,13.8071296389558,13.2322710134189,13.3979061831404,12.768129413554,13.3655397606882,7.83145946062675,12.4285671213745,13.2205710036917,13.0327345285867,11.6091499987535,12.7078854483922,12.7684741781233,12.744593270164,14.0926278584927,13.9158793788358,13.9540769643424,14.0028959869416,14.6836925678759,13.5301726199667,13.8059154213679,14.5879569820979,13.9869892690666,9.00074384018659,14.6256602177506,12.8234569513576,13.1893149095047,12.7389366816761,12.7212707379235,13.5100083167221,10.9873399927648,12.1243136076906,14.1118141615412,13.8762291462434,12.4992201469502,8.26010616488289,13.0779441053058,12.111668127767,12.4931048925391,13.924832793004,9.25242301836402,13.0837202142288,7.84696753366563,10.8569707131416,11.9931040452152,9.59042968105116,4.83129728346804
"Q8NI27",10.7823656719857,9.58433666980684,13.9707178313935,14.2358757551021,13.1430108086722,12.4198253371915,14.4929821734546,15.9913622776435,14.8594131471337,10.262756952816,7.91102072602333,15.2019794519649,12.8944054303432,11.404909209475,8.10884031875426,12.094265752594,10.0305700450955,9.97602256343874,12.3539583448158,11.4482900161105,14.949583916407,15.5335067831024,14.4161857248992,13.4443900188886,10.3660529590345,10.1680246067552,13.9329465905417,13.5110456258324,12.4451057698713,13.7941946100422,12.1030032288799,12.2958593542431,12.3522547218683,14.237728137883,15.2555738699124,15.8703299915952,13.218662327659,13.871065411123,14.3415093605133,11.25098458297,14.6676957657984,15.4789529980735,10.6032921191622,14.5719467158031,14.2933902033567,15.8574911197418,14.8876686660406,15.5980719198607,15.5480191863352,15.1335662447374,15.0413145441863,15.506656471523,15.3281920854704,15.507540595166,15.8474768243992,8.2913322712566,12.6157271040131,14.4513997939442,8.8746525373838,12.2243870304749,13.657099405975,13.7213524015517,14.963143758044,15.475918562743,13.9810335629719,16.1207966328935,13.6036234299453,15.0293901820106,13.5649706261926,15.3897034554085,14.9129365420412,14.7543768500702,12.5717710020445,15.1637995287665,13.0025970708952,15.1021095078474,15.2535770636359,14.1522538731465,14.2062179983033,14.7551451340221,15.8232763606478,14.493052375124,14.7176957233193,14.748036703492,16.4867791537859,14.1078532685066,15.7837927275794,15.0824394195286,15.5223691394678,12.1649722707306,14.3132061439839,12.170114475218,14.6466373464452,15.5651265170249,13.6333330149726,12.5289466564105,15.0318542081944,14.198171507785,12.065304501277,15.5140380627543,15.9175971460999,15.0942494001501,16.2587448742416,15.8977643762872,15.0339469918887,16.0506381332961,16.0394061421887,15.2427207885167,11.9518074310533,16.7871415652976,16.2403461375159,14.7302635432968,12.5227822424454,14.7772021745904,14.6651734417438,12.4873211045239,14.2054908241916,14.6627384770299,16.0798675021398,15.5387652186101,12.3965759136071,14.3313457586403,15.9228606954717,15.2799012561501,15.6852615103803,14.7537159258459,15.1449520654985,12.9744647859743,9.80717877482506,10.6165922431937,8.00128894384904,9.69396254790221
"Q8TAE8",11.9994646093311,10.825292973415,13.2239933784481,13.5396663576736,12.8599746026865,12.7553079885414,10.062249705373,13.1190148319006,14.7181413576639,12.8526182895494,9.2113377979051,15.3635257899804,13.9182207916454,13.2949484868464,7.12586395169702,11.2352609261544,10.8603160610166,11.9042978596255,11.2799541914058,10.2780586242902,14.4143599251363,15.1053125639586,13.8855808513004,13.1852596048199,11.7268140703088,11.9566927985514,12.7399854108107,12.286144498699,12.891235397514,14.2805247203138,12.0834767449808,13.8458681125595,11.223510445993,13.8246157280432,14.8038613470281,14.3063629929576,14.8641790973019,13.0135527490586,14.1824713216514,10.5801291977609,13.5065346514564,15.1095950060228,15.5746016512317,13.6106998457853,14.575277194774,15.6440711588456,14.3011999459161,14.1435977738077,15.1777444973368,14.3705078443644,12.3523467255027,14.9699580422271,15.2129557176452,15.1048744013525,14.8535381128522,10.4691841304251,11.8365201088631,14.3125614722597,12.408213021756,11.9895646209455,8.83720931295596,13.7481198676494,13.5416076727051,14.3104891147311,12.5657270019538,15.4107215733348,13.3344093176357,15.1178546455229,13.0589867490912,14.7201684189585,15.0020732483107,14.9999649061152,12.7703320145943,14.6843865389732,12.6121802580599,14.995846995846,14.6974552901656,13.0029130072379,13.9210816635401,13.8950709399842,16.1660818897154,13.9864264480291,15.1743226510431,14.0601195694896,14.6510784423968,14.9178100309132,15.5381321768002,14.1486459256169,14.8272547482924,10.7858775048046,14.0784789152294,12.6486230943221,13.0796771109218,12.8773267761632,14.9834265922373,13.6234888051276,14.1713562619998,15.0833821477893,12.6878811890413,14.9892103640498,15.1955277557991,14.6857849268395,14.9489045864973,15.6950355390036,14.9940664247356,13.2419806265471,14.7678065787009,15.2451403287696,13.0809158604525,14.8846475222028,15.2056662274798,14.3197987849518,14.0056953432078,14.9958427575439,15.6744753910014,11.3928192857692,13.3723506819427,15.174195660661,15.2341370985047,14.4900484264448,12.9784191727164,13.1937011249767,14.578323408969,14.6307519926149,9.68824634923123,14.6210372557627,14.6643782175648,10.2209642305346,11.774202068393,7.96843091226884,7.04546050347421,10.6139572525017
"Q92608",11.5552972284933,9.95278913020069,13.0790612302313,13.9042323703234,12.8180942821298,12.5588659514826,12.5840703576896,14.5559458920725,13.7541413955512,12.7473764846059,8.49095996791221,12.9028864683897,11.4038310991926,11.5018258162193,9.44459332006313,10.3704658007483,9.92632459808774,9.63370864360466,12.0264987069246,11.2590547204364,13.9105971509297,13.8847783445806,13.9046539808674,13.2463509351005,9.26678480123797,7.89077153995497,12.885943377778,11.840576831723,12.4742126123713,13.3852639602063,9.0361059972791,13.5119359978149,11.8313622983348,12.7735686808071,13.6936693587482,14.2992444401557,13.8897580903273,12.8108100497989,14.1086733457608,9.5456516000139,13.0937776542578,15.1081406230955,13.4816908150312,12.3382017100262,13.2425520286365,14.702521380877,13.5972614992718,14.4785258879249,14.5088017248907,14.0865036005772,14.4419156182219,13.3026735345476,14.2912711062584,15.5371826447537,14.1958043938051,8.99386728447927,10.5675077517253,14.1231606608928,10.4928821833147,10.4579937691718,11.7033030083328,13.4168245385916,13.2420773401345,14.9002426282178,13.4467124241312,14.4455145453588,12.3746570602808,14.6107236616534,12.6824994295519,14.5805465706178,14.3443658455407,13.8307312332043,13.1946286516695,14.0822368205848,10.5386894075881,14.4891054574477,14.2119681428074,13.8034768511805,13.5538152631194,14.197990365251,14.0286533845686,14.001311006472,13.6673041740826,12.9327101784155,14.4188559178186,13.9906099796186,14.2451202956205,13.7770116118623,15.1202186947364,10.6256100699407,13.9467685903385,11.8290730572737,13.0442344372416,14.3773367950037,13.3673161523245,12.7158069420307,14.4064692144313,13.9721343454203,11.6984723619968,14.9539699599296,14.1683667136864,14.5036478652284,13.7122323991069,14.7734528821377,14.0243606094547,13.8931907073409,12.3636282976284,13.4225288650515,12.0162843972492,14.5666351350966,14.034737081686,14.1878101307065,13.1444568691914,14.2251517801487,13.0533215674615,10.5394951513959,12.3056998696652,14.4139714849675,13.5061189517737,14.5708890757986,11.3006701734507,14.0802373327325,14.1568627957387,14.5361546384107,14.4399648110016,14.6314265733688,14.2386116923643,12.3002183374074,8.5310849830429,8.73960745409918,7.08720710163274,8.28834655417653
"Q969Y2",12.0130079888204,11.8680508537452,14.5847104300445,15.3193756099965,10.2477469606787,10.9529694009482,9.86654974047662,12.9362923701383,14.9389363225393,14.1155248886939,11.9978353884925,15.2612237063747,13.1193016587208,12.2203783276952,9.05419860005111,12.1947937794184,9.05163813507087,10.0521419851316,13.126675113057,10.1618218552379,14.7419935750995,15.648353416006,14.9408641390496,13.3568224626683,12.2627568500535,11.9977270681481,13.6761058349097,13.9448763145144,13.9149456560403,14.0922616248439,12.5263220747955,14.3418912629663,13.8266477883228,14.0047495228333,15.939229931714,15.506863051375,14.7222081128499,13.5538940547054,15.4199453809241,12.0785135775054,14.2911631558449,17.4155874192688,15.5610711993786,14.1788775866283,15.1419474583156,15.3572335277257,14.868677892271,15.3335833803446,15.4755118182856,14.8880833188985,15.1974854836911,15.4645776567186,14.6936143961158,13.8255451635516,13.5527542630564,12.7377005903893,11.1649069266757,14.534672849878,9.90012846700369,12.780450644033,13.1140676471653,14.1516508299734,14.1848753429083,15.1924957989059,14.7479806377597,16.5835562871404,14.4098899487939,13.4537911010367,14.168841406511,14.7552527216033,15.9080543344858,14.3265289154439,14.7952715750396,15.2938308409328,15.0230204649908,15.5818461666685,14.751259645205,14.8334831056596,15.2410120980101,13.3955317030643,14.1763530004509,14.7120860224511,16.2179752859775,16.0815042428445,16.2918361947054,15.8438020150001,14.6657800283295,15.9487512500512,16.4431378112966,10.2154791040931,13.8413006039594,13.3744284540795,13.8882207783691,16.8116268656161,15.4872433922348,15.8784025358618,14.2661867559165,15.9704823950917,15.0822193364433,15.4098286088489,13.8331865903896,13.9371843247943,15.0068634647744,15.450632683848,15.3058531371909,13.8656366240562,14.6141704893655,12.1299269335104,14.1628633376081,15.9179332365595,14.3987436919382,15.9747657061587,13.351219394033,13.9135344064816,15.6435180184935,12.2697111211428,13.874020767659,15.5480681941604,16.4064541597691,15.4180975411294,11.9406806484241,14.8258182719368,15.8836694963422,15.668580328993,14.9961505545779,13.2759727067021,14.8026129959136,9.72745701624699,10.0879788480413,13.078603316709,8.54829783385779,10.6852784067213
