"","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"O00233",15.3409781611384,15.4895480787118,15.3566328362177,14.7233080268985,16.4099324671699,15.108939572527,13.8760105636892,11.3948022558452,11.901020900513,15.1759755987982,15.0321613183507,12.1116207112086,13.7420413015668,11.5183752238362,12.8548722098222,15.3617259330242,13.1747613663534,13.8696447484497,11.0072764867007,12.7024487122357,15.312411198467,14.2122569410653,13.3591343274799,9.83674286439426,11.2963919091259,12.3649164318316,13.7697247584851,13.489613875051,13.3817173986978,13.2570246114897,11.4521418928879,13.1577572999233,14.0014084887764,14.4804201994173,13.4998191548557,13.4305759256793,14.0466487032803,13.9470036392746,12.9803280354451,14.4697173161089,14.7302734870451,13.8813989509147,14.4917076413672,14.5336221205951,14.6808043777948,11.2179537657131,11.7783867192825
"Q6PJG6",15.0185474212264,14.0008525127497,13.4402456091077,14.7845206066638,14.1112759444062,12.126492549621,11.4391584846532,14.2488187004894,13.5812934207829,13.6237239153438,17.4962398644153,16.8499631158562,15.6355976656417,15.41774112589,15.8665620303543,15.7549078975685,15.4259627967081,15.6848282928842,13.8806592550129,15.5596191356031,15.2813881751239,15.5722711463274,14.850158595902,15.3697068028283,15.8091605837693,17.1872608066221,15.1815495360013,16.0730126702612,15.2813881751239,16.2946306465105,13.449011829034,15.7943848868583,15.0839484991736,15.9763126901506,15.6027207620206,14.262091707542,16.3602312749985,12.5695687713427,15.1156665564246,16.0192329514214,14.9086240334969,13.0214441051563,13.2516678943265,10.0959516638683,15.5882705773859,15.3857632212939,15.798057990096
"Q7Z2K8",15.2343057603524,14.2653230115826,16.5725570237001,14.7877745910421,14.710608339756,15.8524803968729,15.0903860153645,15.9961846884285,14.9460715861829,14.8001617214953,15.696778702896,14.4509276326998,14.3198002805628,13.6147330029208,14.3051886470836,13.2573976271842,14.6579191809626,15.3291900991335,14.9541891641029,14.292297624118,13.6302529503934,14.40536731892,15.212467155542,13.3929193019174,16.0847256570094,13.2862029563966,10.8404361368377,15.1112452452304,11.5317880123917,14.6569074417295,12.5503862836182,14.6120387271471,14.7231675824451,15.9889717809043,15.2806151367937,15.3504424133993,11.5359208533244,14.3076945078278,15.0838091069325,15.5282067860488,14.9381100295055,14.703160886291,14.9220118536322,15.0669328402353,15.246188668343,14.9798906616994,12.1650169040683
"Q8IUX7",15.865588319532,14.9410710389753,15.9866751300804,13.0827823173178,15.0044894209132,14.9342017612366,15.6181044959038,17.7744377832977,17.3714998292132,16.3979663076851,13.8842781116793,15.6862652769171,17.4914315185028,17.2651705820222,17.8487213312443,16.59795441843,16.9466636358956,12.1195309663806,18.3649262935137,17.6940537553841,17.3398273283195,17.3489094329097,16.939774937796,16.9211493118008,17.727927064111,17.8979276341875,18.5266668004174,17.5828918809933,18.7670872686948,18.0368878051193,18.2067536248588,18.5993743130811,15.453392346431,14.2519726549566,17.1977014052769,17.5820492460955,15.5695870948993,16.1864265931875,17.0604308710183,18.6920788412845,15.543450674508,17.0002759810721,16.6529011734155,17.0188421529305,16.3941453722259,17.6271766653735,16.54448766675
"Q8TB96",13.4583754671186,13.7631291438937,11.9620169704407,14.1436978090768,13.2406576517782,12.9430589327596,12.7309169403626,13.1610751974242,13.3743004438888,14.4471462235238,14.2789180681506,15.1938676991157,14.4155772176488,14.9549364426408,14.6343533184191,14.8874393186906,14.1898412760056,12.8538511899781,13.5702506506868,14.4557835275104,13.0588208295061,12.9847414634592,14.4041484820826,15.1232983327929,14.9631700550975,15.3047277591708,14.984167078135,14.8885272471735,15.2644519769969,15.9860483168703,15.1035593399152,14.6410683540516,15.5777907049503,13.321022426757,16.1008435733796,14.5722713993034,13.6683397044443,12.0993859143955,14.1763297264141,13.7506999456414,14.6423833320678,14.7345559662861,13.4926799257103,14.3901564026755,13.4801999382309,13.4840558131033,11.8764294472081
"Q8TEM1",15.6252203524914,15.8589962343172,15.5598202438346,14.969191551323,15.2628426812781,16.0289143753019,16.0211747770383,14.2889713215685,15.5990955914974,15.4966807028776,15.9999593983015,12.9347671774518,13.6949610967178,13.3347904347071,11.6667423135726,15.5007956776018,14.5372895775999,14.8885976313326,13.6601995109324,12.2290144076334,15.4254629002556,14.9154720379929,15.3502501008986,12.9041517333326,14.4171641171383,15.7178596368295,14.4941240584539,14.2423730300455,15.6678368180635,14.7380561973365,15.4315208866062,15.0668297291446,11.170951037355,15.3313968318074,15.1542129234371,15.2556022737444,14.8171404448701,12.9401746614803,15.0051683086611,15.0041643618197,14.909285653259,15.6776718343221,15.8849287491259,15.5072700022617,15.3209355948559,15.4346371458544,15.377204597004
"Q96DZ5",14.2657368934396,14.5037295508149,13.7308222488238,14.2680119748406,13.1251773461288,14.0318660160782,15.2022229768307,13.5723714218601,14.1574394375796,15.4889237142085,15.7273186386364,10.7746752630533,13.4318322009084,10.7746752630533,9.8213681468391,13.6965457324685,12.898994641777,11.975856956261,9.24951364730226,13.5660321867398,14.1003992126306,11.7329529991293,14.5620741137817,13.4586251318214,10.3188203187454,13.5049703091553,10.4277731197482,14.4020385392779,10.5956622123397,11.5094841927872,10.2570050287936,11.6376412862256,14.653787840504,14.1868124512505,13.7090444710778,13.7364671941256,13.443513093389,8.59095817966841,13.3647749224906,13.3705352556956,14.4221204965485,13.7865319683173,13.7566183721943,14.2171846694312,12.6455074895046,13.6127853661225,8.78384492861257
"Q96Q11",15.2208198773248,14.0985766936091,15.3848265513078,14.9589831654014,15.061111851812,15.3987380971032,15.0549133339388,14.739726656683,13.0806644233691,12.8815974519173,14.3691630366357,11.9938252700385,14.0742043883298,9.44896822033273,12.7715423483666,13.1279066865229,12.487134057647,13.307691643445,13.8923419568084,11.5953179846655,13.2280437341932,12.9429803793133,10.7650262766728,13.8858916537703,12.720988752335,12.8085700821995,12.5271605986831,13.656477217514,10.902806281017,12.7047258209064,9.99975829875322,12.7715423483666,12.447757094793,10.4038284100301,11.549787173954,14.239364047265,13.5147876841077,12.3687321489633,14.579450513005,14.863193237452,14.4026105219331,14.3098104868052,14.9612456593905,10.6709846539877,10.8064702395312,14.3371951291342,14.1096133714405
"Q96SB8",15.0583019476689,14.7215822155659,16.6489682621301,13.2299986917457,14.9241925249206,14.1575643506543,14.9295691808601,16.2882219717478,13.9043989874007,15.0877499763225,14.5495676667433,16.2017816979154,16.6978717442619,15.2636008221488,15.1664611176137,16.1946776791767,17.1514554422246,17.0887933401443,17.8419903439535,16.6734291510057,17.3656994940422,17.3977461874809,14.8770647954496,16.1307466560155,15.8482779389649,16.1264999672656,16.5115622577446,15.0477267237418,16.7857755702366,16.9888529533794,17.5891790120851,17.6631019602504,17.0103030047177,16.8150930686033,15.5761140533131,15.1539684131595,17.0296976020926,14.750813034491,16.1109549423212,16.3069788131996,13.7825997758864,15.2459847028063,15.7004451810289,16.7371375780109,16.4843612335825,14.6043841563277,16.2887301605871
"Q9BRK5",14.7609706964126,12.2218602692734,14.9876047535679,13.6880742218683,10.5155613839671,13.4313743712506,15.1819395771657,15.5879302421745,15.3413055633639,15.3679689549025,12.5398329219914,14.3265238657173,15.9036454112345,16.3340128903524,15.972551328547,16.6044321249743,15.4241164880226,13.4459202277791,16.4207737967127,16.3798177316425,15.6450713112428,16.8043700618062,16.6321993161395,14.424511660733,16.1965035716534,15.8811701366792,15.8732160820454,16.6280819323756,16.7347582414117,16.7570633300716,16.0653133481979,16.4634621178061,14.7345612892645,14.9122380929363,13.2549904562169,13.3652940522029,16.8342755988968,15.383023443553,15.8943476936399,15.7401556391784,16.5007892508441,14.2372316602915,15.3519993018413,12.3066667149637,16.040422656285,16.681338479511,15.3088662874607
