"","HB01","HB02","HB04","HB05","HB08","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB48","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80"
"O00291",12.3372016400614,12.8846473179747,12.9791792072255,11.7978499387488,12.988194348472,12.8139313010519,12.1736593380001,13.0839052741904,12.8203623819167,12.217531616218,11.5247358722565,10.4591462959447,13.5943211996564,12.0573099565484,13.0456713964666,14.0774566478803,12.8853245302257,11.9354788614903,12.9863325137618,13.1941334113019,14.1251425448028,12.1954821553319,13.1415650759025,11.4464921151189,12.6468524230398,13.8319497539558,12.0795095206891,13.3921050364959,12.8108880759185,12.6574119001938,12.8279377253681,12.9223228392011,12.0333813442311,13.2420549512206,13.0243013615663,12.4258777043866,12.1123098182536,12.0742814699132,12.6585870445853,12.853693025779,11.257084570996,13.5768390874691
"Q6NYC8",13.1442031189562,12.7075179365153,13.6127094091788,13.6154307267026,11.9160937492829,13.3059574636678,13.5275551460903,11.2113142382792,14.0370396774475,13.023801062319,11.8659108828574,12.4432381839104,13.7377361586251,13.0223211873462,14.4615498589543,13.1161198823181,13.8229400501667,11.8299396268182,13.7203321320073,12.0859350281322,13.6749998924102,13.3454499380305,12.9926752344402,12.3257568003911,7.11690896352352,13.2000082768278,12.7925020352569,13.3500443449464,13.5938065676982,10.9951176197406,9.4549196893469,13.8133640689662,13.0043580541302,13.3942828147296,13.9281802400102,14.3896493909475,11.8739604705018,13.2389189081684,12.9093648983952,12.2570379686464,12.5452654414126,13.7252973523171
"Q9C0E2",13.0224913626142,13.1299920202596,12.6430588006594,12.3167480862521,14.1144541997301,13.2952754169186,11.5251793272373,13.1390018830191,12.3407972559513,11.2150019163601,11.8197536810054,13.0299834861102,14.1445346872314,10.0157415845801,12.8939291460963,13.1702584447171,14.3924950690797,11.7478102057603,13.2364764025628,13.6257500116317,14.4230452904937,14.4679977104314,11.104298159464,11.9916466362217,14.1022213709378,12.2670608175197,12.8508507146579,11.4087045676136,14.4362487633184,10.0698638228785,12.3519252999613,12.2797075808672,11.1464836953674,13.0144662488372,13.8597836153031,13.8847355985377,10.3316175286421,10.9052886221366,10.7096733243981,12.0395374166117,11.4187843240891,12.5978114740281
"Q9Y3S1",11.5421380939505,11.5580632813122,11.7399902478329,12.5146957517546,13.7772128913041,12.1567345469159,13.7994168094398,11.1414063999351,12.1562238625153,13.4072400001659,11.6696508854723,12.3981825358527,12.3764483985928,12.2928591829238,11.7437810854625,12.2262188583396,11.3687316542374,13.5303268239867,12.9761651591145,13.0851274126422,11.1986859893707,12.9421935443806,11.7047494083547,12.8942997991286,11.2150245363347,11.998374843752,11.8054103525615,12.647135882286,11.1324719203137,9.95287160513582,12.0404762015496,10.2085390375676,11.8998283012861,12.2617018403476,11.2295905634281,13.2096282128992,12.1900006049021,10.2680254826148,12.0658378087686,12.255642894784,12.1053652650874,11.9585822991745
"O14579",13.5397075240308,13.1228738281605,12.5649219094821,11.8246266440338,13.782524318302,10.7975271269808,13.6891814128807,13.6734503080311,12.4136013462914,13.4668967920299,13.3773311454455,12.2140387350851,13.2689022536146,13.0419546202248,12.9146021687703,12.0860644144793,12.7822608695103,13.4385169709835,13.4691063906542,10.7857145156552,10.9716551169513,11.9703016794913,12.643797580021,12.4387875266522,12.7066225009665,12.9634025313068,12.0341341178107,11.6424711088856,14.0065129251714,13.6450207057127,11.3350166665818,13.2039839675235,11.4530748974047,13.2240001950428,13.6431973273788,12.3726573566863,13.437418800695,12.3775913262839,13.0991579001037,12.7695765281799,13.0069291061998,13.4920609851019
"P21980",12.3583117043787,12.6164054907805,11.9079993798433,12.3938248143469,13.145364377885,12.9533615821377,11.4406106879568,13.525940847245,12.9992660765462,12.0139068734039,12.8596364775009,10.8402722562682,11.753710593573,12.7400230818184,13.1191083368055,13.4080002132622,12.9416489666947,12.8627841495203,12.9492672814745,13.2044774959857,12.7887509508641,12.2971844935287,11.725114954224,12.6089005518536,12.4362981091706,10.9768125863799,12.8000377438685,11.4439845341566,13.4080002132622,10.2293243908453,12.1906968716812,12.2380082386221,11.7943024213341,12.6647921324656,12.0944340935869,12.2735361979498,12.1722256743174,12.7024233002428,12.3639385403707,12.5818380898633,12.2309010791458,12.4969231623714
"P35241",13.0165807488779,12.7915299257476,12.3588007832388,12.3668402641461,12.2668293799254,11.7474619569977,12.660792333359,12.0935862466999,11.955166691248,11.7945570884718,12.2755078768528,12.5801390673405,13.0792724879623,12.5384470866099,12.0323400181324,12.1204421241421,13.161346281393,12.9944028378001,12.1082094054224,11.5736138569859,12.6039600252201,12.5117640648422,12.675540435832,11.6368018798849,13.0627578394885,11.7247016072394,11.8852919948437,12.9797217540082,12.517887738185,12.4657793284157,11.7589684194697,12.6991097629547,11.9250274258705,12.1451935322351,11.5782886272149,12.424012546514,11.9088076564204,12.7350125802633,12.4652437963074,12.4359894457418,12.3146382110925,12.3493794399963
"P54578",12.5336738106218,12.097500948637,11.847751593019,13.2027202521277,11.298156629717,12.1421955997428,12.8160324867968,12.6974479518636,11.4844491341278,11.564198538462,11.6528781270548,12.5079412037876,11.4732703915347,12.9242482352706,12.5114272058972,10.2654589026695,9.42457518021375,10.6942403531364,11.2566355272668,11.6074329990287,13.585913098498,12.5028851913256,10.2654589026695,12.2452209967132,12.7640998911769,11.9368913975447,11.4862634175339,11.6763772228771,12.1555919574428,12.2156501892402,12.6908247714608,12.658316652118,12.0218083515407,11.4086452962406,10.1924716134026,12.8976789735538,11.2727476151695,11.6312994844442,11.3569294134301,11.8414258803045,10.3218528171799,10.299807061603
"P55290",12.2343569006398,12.1098484474354,12.0209714558426,12.1583128133564,10.0581332507761,12.0897032818966,12.3862820652799,13.255931944824,12.7135119653716,12.8352663491898,12.8333807497246,11.7898987687166,12.6571483351379,11.9928100593436,12.7025934363036,10.7088736295486,10.9182275834317,10.0444741515286,11.8806233885515,12.6494158648567,10.6823004224859,13.1258782612941,12.2013478828168,11.5899554912956,11.9370083748105,12.5179658545665,11.9457939203111,11.9765280750223,12.8755230699715,12.5862348481874,11.8516059160831,11.8646876601852,10.4512248676331,12.278782779542,12.6748466271419,12.5741598544956,12.2615078687569,12.9890781334006,12.6630967784453,12.1367663721741,12.481326422127,10.1575719572514
"Q15349",13.1848119222741,13.5510655160288,13.1123378474517,12.4410741522622,11.8372885994798,13.4260839108625,13.4211088290488,12.045044193319,13.0791900653399,12.9896901200341,9.54213627798637,11.1200684755198,13.3863237894581,11.6896425115587,13.7444925979416,13.3510921871055,12.3191097844474,9.95184255180246,12.1410367821691,14.0657839379035,13.7210973450682,13.1448726494173,12.6223333932099,14.2931891855123,11.7642530442737,14.4448527899244,12.6155974145249,12.8337623637047,13.0392831986783,12.5891656893847,10.3657149287682,12.2385601427417,13.495594100597,8.51278673238553,14.0685024982295,12.3191097844474,12.9896901200341,13.0813130205313,11.5995102061156,12.1123640347742,13.1095125992428,11.8454405866856
