"","HB01","HB02","HB04","HB05","HB08","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB48","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80"
"Q6PIU2",11.7606394234865,12.4445992096009,10.6222564251413,12.1465523607581,12.3532521969131,11.5809810021506,12.1604194148826,11.914360507847,12.4753411756966,12.2944878582864,10.8831512306835,12.235990557887,13.4549462622746,11.7211931546457,12.9998182347279,8.8724153592225,10.3295381364558,11.3705842333802,12.5631811691158,12.0440569949474,5.93395639990332,13.6970696918027,13.1422861959088,13.8461887776777,12.5181498545191,11.5064783869263,12.2543489332783,11.0694733107895,11.8179939667349,11.6056018778012,12.2076940667909,13.1937855139404,12.9340397455202,12.3799677885061,11.389594146504,12.7824324478202,13.7130876935201,10.3934571658237,11.9684355454252,12.2116124103673,13.1534162469392,13.2741545750038
"Q6UX04",15.5716419496728,10.5950055907299,15.3077332725557,10.0622836867972,14.6392323729729,14.6072837587654,14.3681486941652,13.1429900124731,11.054726079096,14.9934165153786,14.5637498827676,14.6716547087331,13.1561491928442,14.8202667061846,15.3048039295247,14.5766889814884,13.4613865740835,13.6591312284184,14.5193355789691,15.1474754595855,12.100842199697,10.5342855875187,14.299461532814,13.5378704217903,12.0115423989836,16.8681152323706,8.53373222761067,14.3629952282748,9.27238786364854,13.6509640162962,14.2638640593532,14.3040180211294,14.3629952282748,14.7134962994243,12.8329241552163,14.201271534709,10.5015535211617,9.86101652904683,9.22592057455071,12.361214246033,13.3659069225036,10.7403561822397
"Q8NBS9",13.9777345679548,12.9270146369967,13.0124027168622,12.1899482811371,12.1540218691229,12.918785955794,11.5787788077483,13.3552979632876,12.7418697562482,13.1035205808861,12.7109354200171,12.7477992877461,11.4398226875703,13.2387025597842,13.2785251643097,13.039727126428,12.3397304717585,12.9692679422464,12.6137368534058,13.3745000430011,14.3017615438849,13.2447281260613,11.7949470044397,12.4364993916124,12.756787553669,12.7379404278529,8.91254405617537,12.0127891119339,12.8010500220929,12.4441370070561,11.643872306486,12.8232506720296,13.7693154100871,12.5873906237105,13.0667854541468,12.4663049043804,11.4908236151996,12.3859557116976,12.9173797519299,12.9076745457729,12.737096781167,12.4543224755367
"Q9BQT9",13.7690870071071,13.3219916955307,13.9232428932187,11.1292225947491,13.6772017323111,8.32491361635144,12.9303901919621,13.9414665712527,13.2398751845384,13.2303098323877,13.1918765416274,14.3393358747061,12.8046907826402,13.6546841293619,12.1898651780682,13.697803342765,13.044833902672,13.589881711064,13.5811608150207,13.4593229366819,13.2095501440211,12.871550452861,13.4407479660643,12.1847456178507,13.1211663623085,13.0536777864596,12.4843843121446,12.0306333145159,13.8337261272304,12.2345372767155,10.9503886979193,13.6992812030067,13.1073509245747,10.6901504577885,12.0061543697594,11.1907365338168,12.8059757218545,12.8974357364616,12.9346195106095,13.3105605405549,11.3226786202168,11.2884269451891
"Q9H4A3",13.0787154672602,12.4809675077116,12.8992387413735,13.2531461283019,12.9519793448918,13.0395506206935,12.4222769042038,13.478855123214,12.9153865511668,13.3337659500393,13.0425088421719,13.4568433308393,12.304018001487,13.1265731488206,11.3911644049019,13.0499157716876,10.5609399006073,12.9492928790739,12.1253026573557,12.8798825971378,13.0242982279564,13.4462432246289,13.2684902663302,12.4233880050532,13.4641782025642,13.0003435616401,12.869904618699,12.3509404838389,13.3380893421078,12.94498702264,12.4826636890242,12.7691433903985,13.1771165009133,12.5496819005658,11.7693012774504,12.8867088782992,12.3047569759189,12.3547726882754,12.2244242378086,12.6013151892736,12.1968490954403,13.0817847076883
"Q9NUP9",10.461322732185,9.86237452516933,10.8643041033522,11.9646160944127,14.3136829718322,9.43385088474848,11.8141242823496,9.23552676857464,13.3814986135549,11.4066214983839,12.7729253523815,8.1184380960491,12.9423013369166,9.67895420419085,11.1251083037829,9.40799537796071,14.060965688129,10.9004423035172,11.8447288066673,10.5790011628158,13.1321744783874,11.1371325589799,9.78995234594317,10.9207000517676,13.5412651349676,9.27432621030403,12.0051723528902,12.4530232686141,10.7048054405793,11.6839637481268,11.905276867756,6.92610402938353,14.1756508170717,15.6028132738025,13.2560981698894,13.38781205751,13.2472456678829,11.7364531365795,13.9992058871161,14.0756394944667,12.7014120598031,11.5198582277609
"Q9NYU2",9.43232830534514,10.7838588289711,10.7866245638212,11.9614151629506,12.604442286334,10.5294002894053,11.0031015383558,10.4002153706448,11.6106670576609,10.6614831949292,11.2670706658994,11.1605324610572,11.8493989956772,10.8210437624333,11.6404216611308,10.8376176946617,12.5944093301007,10.986884570051,11.2175755466554,11.042380998549,11.2442608371446,11.8362589820322,11.6130287283885,11.5051966683155,11.1188468926341,10.6946443804439,10.667164533033,11.1928687968271,10.1486646707723,11.0583359008057,11.6792334827718,11.2610326107417,10.9162080765373,11.4926510947793,12.2292397472967,10.6290156004849,9.90108400957598,11.6998018391187,11.918416574294,11.6451320010348,10.6967588000213,11.137973414513
"Q9Y520",13.1698429916028,12.9058684391141,13.1879761955519,11.8809240170696,13.619768002973,13.0438204948967,13.3306248756843,12.5315776343145,13.6236643791191,12.5422495299718,13.4165034068838,12.074698807949,13.4040795112465,12.5748857624729,13.5940618447263,13.1340401308827,11.7589625545618,13.688730982843,14.0618692096994,13.9248627532382,13.1982624160842,13.4816958379638,13.8649748004105,12.3480535935024,12.8890730151916,13.3473719023857,13.4709384182338,13.9568487848234,13.3854954394671,13.4766597958901,13.7399103508355,13.4512749758299,13.9610783458591,13.2561991824017,13.9898833654342,13.6528790597597,13.8478818976445,13.6341845179717,13.2534722534646,13.6369091419334,14.1238518509727,14.2574113204729
"O75935",14.0637374383281,13.8375452641769,13.336241792321,14.7460510154758,14.1007620010977,12.6086099708229,14.3943714267022,13.4541024002851,13.9940923782494,9.88752394983204,14.605965126343,13.7111633191737,13.9328681111323,13.5544399735402,14.1751810531544,12.7178709854903,13.9970152593462,14.0827537839505,14.4922305214282,13.5322208514403,14.1659537002589,13.9545120996359,11.6985007226777,15.1202766572171,14.7349446846305,13.1160111353838,14.0590947096129,14.865425503864,13.9862007676939,14.7916436884167,14.8781257611818,14.4136346961295,14.1791715535042,14.3709012384962,13.2303818297443,14.2756579372286,13.1550972457918,13.8719858529126,11.0430701979708,14.0379385650128,13.5427139435458,14.5506409459027
"P09543",12.9179251552791,12.8175538464486,13.1327750284081,12.9840032483264,11.903161866789,12.3599916054321,12.7000029361698,12.685810762214,12.5821895104117,12.5536551430326,12.1351747737132,12.6608981167266,12.7512539631232,12.6574111199094,12.1836866388668,12.9738936922316,12.2697258672154,12.818304023778,12.0597023961508,12.1579769851526,12.7927876586165,12.4395974247196,12.8649626875027,12.7392664967672,12.5153883683204,12.7450291086045,11.9212950382311,12.4175958593858,11.9259468394079,12.4519273298876,12.4614052802359,12.2532409293632,12.6603905044975,12.471346514912,12.5119352844829,12.4562748103037,11.9721743903316,12.3976383280072,12.3905356749115,12.6989402590185,12.3855114800491,12.7392664967672
