"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"Q7Z5R6",12.2617954501823,8.56025165420265,13.579441057352,12.1678625371636,10.2050022042298,13.1339031144342,14.0892156606985,15.0903529119047,14.9114414158796,8.82784596045512,10.0353067778135,13.5997671026329,12.6873911160579,13.1261003577823,8.49221329853253,11.395669105375,10.3754488778575,10.7064750800167,11.533269153439,14.1694917252669,13.9243488577279,12.5901286549272,13.3081467190412,7.51461227395228,11.8389498205094,7.60419429109903,12.6202083581783,12.5144524137694,11.7648196018388,10.6678990580896,11.8157904326317,8.32941056724943,10.7570994820671,12.9743861529772,14.8072992499883,14.2325539899679,13.9752832402252,11.2625927370864,13.0264128835812,10.0171123760948,13.0257715624202,15.2320516429319,12.3739439611781,13.5863809820386,13.3898320091391,14.5702295756458,13.4695890190293,14.6187295522792,14.1173508010785,13.7642753674519,13.784512567849,14.5918209925116,14.4956778815983,13.4221323017233,13.589927454266,12.6824069270761,12.5715775095841,14.1443472873754,8.37903918182122,12.1803253441209,12.5727296390614,14.0247559038505,13.4428251465243,13.9155333886949,12.5084816311687,14.359050690725,11.447063845515,13.7917447029215,12.9193762363969,13.3789694961265,15.2373613715582,13.7796395202614,13.3370696199408,14.6188393051074,12.8053436113041,15.0942344490197,14.8165034526458,13.6626645588791,13.7467191798785,13.8909801549649,14.5513851056969,12.8075548043601,14.455162948376,13.3918959998386,12.9035099239498,12.9509917811033,14.0797901238918,14.0079612461344,14.5276976934147,10.8950780161285,13.7097086055019,12.5831849944406,13.2020832019761,12.9055378544621,12.7605025458075,14.0826365188979,13.6560020027931,15.0464119642738,12.9897570637829,13.9502193160468,14.713155465115,14.3106942216515,14.7690339890547,15.0501926258248,14.0381658596498,15.0328493031436,14.3876616730514,15.1450547514493,11.6895688137643,13.3989073530998,14.5960752703691,12.9035015537388,12.1077308342955,13.3113552581873,14.0245562879373,11.8223286480351,12.3422424021405,13.5758652210149,14.0240278556075,12.4482933454809,13.1978228647468,10.3353686381822,10.4113511277539,10.1921125400752,11.0338477854976,13.7203383261934,14.3703651415701,11.8846360901475,8.84964145909034,12.2923692348836,8.13732351405513,11.5784593003777
"Q86UA1",11.5861185810792,12.169661247914,13.6736763036769,8.29873309395115,13.0525951132301,13.3324107828928,12.487740929898,13.0503648359855,13.127770475496,10.6110286320585,11.1995441225929,12.587793276201,8.82206847037243,11.44447557917,10.6777013526702,11.6931996609928,10.8873435422351,10.0928578229111,9.71312731232345,14.6573040217936,12.9593968840339,11.4200301063746,11.7558940550122,11.1598172987107,11.1360576471632,11.2526409388886,8.23258052817096,10.7426770264658,9.43392504295056,10.6820269417395,10.7187368596372,13.2328842138906,7.64051814044229,10.0957518310759,12.642852248018,9.93814009705942,14.1928328680061,13.9336433564886,12.3677868905324,10.9862882042402,10.0899198826551,16.1348244950399,11.7143660876797,13.1358572983059,11.6753590188997,14.4237368228614,11.9990513559,11.5101644333488,13.9437967079982,9.25892382216226,11.1688598720957,10.3609934553464,12.2980519438494,13.8782638033107,13.5590927923349,13.8826718589023,11.9476682588205,13.4498066872715,10.8025463855116,11.5623867629107,13.1969303997924,12.8002929806617,13.8580281147286,12.439986270585,12.9624060680493,14.0934664551794,14.1444811325736,12.0673599352116,12.0924059410106,13.9947056398399,13.0073460500201,9.896828650865,11.4155491721719,15.2439595819513,14.3475294097849,14.7859300541272,11.9628822686905,13.839372002121,11.7732580650112,12.4814344589939,15.6639738876411,12.8000443220764,10.780959149753,13.675155624641,13.9672120588415,13.9999644490913,10.6680416080321,9.45239393226249,14.8119859865135,11.7050358404661,13.9063514245208,14.8235892448854,10.4258751813616,10.1415196144037,11.4447215860729,13.7178197346243,15.6088027679834,16.0436296459532,10.7137149229134,14.5059101949767,13.1571735124374,14.2023885362709,15.7572182105648,11.2669862150314,11.3699235688098,10.6757092557811,15.3049481043208,13.2036490160363,7.9116298125848,13.1765336375628,14.4144701912778,13.2036844756693,9.04818395691374,8.8824513089463,13.3222885706147,11.8656302040756,8.4848339295934,13.5421330697279,14.1406516936848,11.91655545554,10.0657021849368,10.0110563773623,14.0012003020598,9.46824648121687,11.27780636701,13.1584896761718,12.7410440115071,9.08142417888358,12.7862785877807,10.971788122418,10.2922956216355,11.4424351435526
"Q9H1B7",13.5150900869518,11.0006178804497,10.5608808513866,13.7556492481325,13.2641385534538,10.7504785115745,7.24195994390013,14.0584991481847,7.50349383423455,12.7752157592189,11.0406726577394,14.0622499366332,13.9249959805666,13.971055769493,11.7251960848711,12.7032547337481,11.5862288309101,12.5435142580412,12.7125270004398,13.6512673590825,8.15520008602487,13.603729678122,14.545248253358,13.2018396094408,6.10027308179872,12.6933072419459,12.7589153141881,11.1215874266869,7.02899830262285,6.61974141343007,12.8676056710155,7.42162215968723,6.41175240880718,12.8969169788304,13.1890523621903,8.26767614519598,7.61845348335439,13.9398853131545,7.59442097440158,10.3365065598103,11.9546684936674,15.2727391200896,12.949588576303,13.8816343450568,8.08563688035738,13.3295653208086,7.98831582457174,7.99977804982682,13.1352862938592,8.19724281094823,13.5355119048342,13.1906481818871,7.61481971090894,12.9795392007328,8.53960519643532,10.791886236432,11.625750891407,12.265908024632,6.31814061076636,10.7074298245246,7.23174037162067,11.5324359476611,7.79327524164694,9.06565091395258,7.88108841654803,8.1912256217858,11.4841217485795,13.4377467345969,7.73689328151568,12.7926525964391,13.1417639931454,8.00767631849327,12.7297941345734,13.8132739439948,6.90481361842998,8.49801033971572,13.0872970809192,8.17958764231748,7.10998460571109,12.9663207365093,8.85668252843865,7.87643519645261,8.23076552783491,8.19607241372341,13.5164930076576,12.4757994114646,8.00353345624884,13.5655825494381,13.0274787314295,12.860919029322,12.5172015534982,11.1083057578271,6.67161942842807,12.7424955929799,11.7531852081811,10.9114163950861,13.2913625308945,8.49439327981754,11.6506867478916,8.49553134160118,8.74430365493986,8.16431835314095,8.90457088977466,13.6470894157727,12.5350840923864,13.6549700793822,14.2557342176942,14.1273495410591,10.7529194446882,13.7067217323712,12.5194451091413,9.26483643684782,8.29490871337145,7.66893833285441,8.81280187820442,12.5045707393244,13.5316949512826,13.9388576793474,13.0586682503406,9.02538913485096,10.9123330157758,13.3464745276791,8.20678151286915,13.4690057924349,7.85004148129368,12.8452527674402,12.3074693274829,11.4292322555984,10.1203645151445,12.8022266507979,9.9485160771392,10.165535724638
"Q9NRC1",10.0466974953763,6.72127423881502,11.0347262738726,10.6236991904231,9.78897638019151,12.1562548268747,11.5996931442686,12.9215021296473,13.120861844909,12.2601911033786,5.25363481496941,10.407703567361,9.38523309401725,11.8757428873956,8.25674446424161,8.89075346234146,7.39719755856681,7.85271730227057,10.3209369123873,9.22657183934288,11.0985290970331,12.8434943507468,11.5915856363911,9.94308213732846,2.9622917016072,5.55441851480207,12.0977049133462,9.86068188213325,9.37618282644582,9.60843125848972,9.67889484900307,12.3128443689627,9.12183723445007,12.5919931251338,11.350689323111,8.45903600168403,13.0492860446926,9.0929152646009,11.4017579048675,9.54980383421466,13.574572811031,12.5945276640596,10.3279166729737,8.4144129590458,11.0540863714737,12.6280411964711,10.5453637551746,12.5366909700675,8.19428424721069,10.7608240230341,9.75138951257565,10.3358710152419,10.2411363528691,9.88751305304031,13.0370284253314,10.005268566801,9.93417020085445,12.6678159838592,10.720974344757,9.09348980455121,8.61604169776758,10.4416329616303,10.2318859461317,10.0244209762401,11.6189998392174,11.9720012411167,11.4130155020954,6.96148256401692,10.7385512193154,12.4215835433723,11.4201263940722,10.6944416241557,9.36226950643339,8.57699180503929,7.26332891519184,10.588615069591,13.2911723989555,12.0217794702158,10.558489438637,10.3566354099809,10.140844673301,12.9862035056333,7.6191747945251,10.9688703980561,12.9271068414702,9.91854925167078,12.8771671906784,12.0314677428855,12.0635449338976,7.59988266742954,11.4873746818844,10.0731198060242,9.22149239351771,12.2365979243205,10.5032153799264,12.3597699905052,11.1063097378796,10.6829078971362,7.95792282800473,11.6386422315812,13.8734847258664,12.4817000988684,10.409894387822,10.7514319624696,12.1467581245462,8.37569401570984,11.9094755025854,12.7592810025266,11.6005147852338,12.841193634303,13.4643795064874,14.2921322202801,11.8134849250737,9.94975240649007,11.1570377724544,7.53549543038357,11.8756727782193,13.4950651895007,9.33762580772972,13.3156074952342,9.90363485585577,12.207162156526,12.9078652252784,11.6620942104709,13.3366964432114,11.325938612758,10.5413107538637,10.9202544722164,10.6254800333593,7.74306265665332,5.81610158846239,9.41342623709452
"P05386",14.0412115343973,12.0283791102178,7.23112840326862,15.2104163004855,14.2866517364883,9.83566563125082,14.1451467744892,10.7835068964091,13.7474632943935,14.7331311447487,6.93273005834294,12.929203886497,15.3904554787682,14.8291595765133,12.5094992394519,12.323505631646,11.7666407060363,14.5006270842356,14.2404932238768,14.5483402876761,7.88902617013742,12.8113784036483,14.5528363824885,7.74615314476747,7.67982186181234,11.2586949570191,13.2846983858258,12.7912851082266,14.0994944497188,13.3142334969424,8.62327451739628,9.82555333276049,14.1707857280007,14.9659086640479,14.1340476213997,14.4379470882125,14.4011743100854,14.2004532641936,14.3435327423759,11.6961144334613,10.3765028522647,15.7933436558128,11.9679352292958,14.0353218234002,14.8245258579773,8.20037949297396,14.9149268253817,13.940681575897,7.54399462979248,14.8102200214733,13.9551049802166,16.1183733539492,9.8902314674889,14.7170686938336,9.99546358891306,13.1375134495868,12.1729892772618,12.6519701230045,10.5697179961523,12.4798114386138,10.635009456404,14.1589011084567,13.5118158750759,7.7971586601803,7.31805816798097,7.90661184925482,10.9544900241983,14.7408348261453,7.74557525956861,13.5665185091623,11.9724879842258,13.093081224516,10.1415906811278,7.85665389686025,11.4882082941774,10.0264330343543,13.7757933260127,7.35551373423592,14.4328680879681,14.1905369468639,13.9566215385456,12.9661483295721,7.28024923330386,10.0436826179149,14.2316336447499,10.0946035316453,8.00181864608431,11.4899845522623,10.586875185346,13.8845784578395,14.5472560526981,13.4265416403006,13.1878159871466,15.4332510608517,7.45741433315121,11.8287571172935,14.3019489733117,7.27305730419359,13.6376514422148,14.4730976734713,12.7747576171236,14.362080801331,14.0940918299092,8.25907373059739,13.6484234046551,14.217580563199,10.4235373163703,7.25352136487724,11.9019981856685,15.0509114648754,7.64913637858486,14.2119947714591,13.762710904229,11.5050914446526,15.0807157394835,7.82302680535991,14.5297437714636,11.3947409300027,13.9195830934369,14.9706516389329,12.1444946046916,13.7776049043122,14.7092610644649,12.6602988925387,15.1373410147793,10.0670191857692,14.1482363128632,13.1334850388541,10.7527698726215,13.6692984086419,12.1360776939126,8.21755883258955
"P23141",11.932743974078,11.1377795232406,12.0035070292363,13.5697500512499,12.6911250780651,13.8985296557018,10.5542424111833,9.83546848562346,12.6294967209151,11.1936338571229,8.85825239403808,14.4962658503178,11.6422754990442,11.3490056240684,9.89853917294931,12.5979412322393,11.0131894965404,9.62657813010915,11.3002450284331,11.4483969206465,10.2433093888469,12.3867886077101,12.1338851392855,10.4918057138678,9.83033040607028,10.5486547764704,13.2753464304839,13.339492423698,12.9349247903733,11.7873212444593,11.4726209308949,12.0333617061726,9.88407359322465,13.301863689408,10.1903275873212,13.7423505774174,12.2691569192546,14.1922326482234,8.55083052431352,10.2528197506497,12.8895103241421,10.7740362228253,12.2072613762359,11.3304987463559,15.2201952451162,10.8597613127204,11.7300598751574,14.381691313337,13.354074063784,11.6848429476498,11.9081715099186,12.6621423299986,10.6190850167862,11.3222682472533,12.4680681896098,10.972090283058,10.0522501654693,13.4031939240512,12.3350544699637,10.4156112608275,10.1514938903777,12.0291494510192,13.9012962765652,10.2815775939055,13.4878231774406,10.2068774270359,13.850414386614,9.60438495171559,9.84285976783673,11.1869868054438,14.1529994958221,15.1330343396464,9.98794068331115,14.4910344119103,11.0334142314504,12.6063439154405,9.70802094981242,9.56294614505507,14.1779488919217,9.49822607494945,11.5578659537231,13.6299848326887,9.9205681492933,12.1487622096441,13.6139124986264,13.9612866227473,15.3033916037614,10.7350034728904,11.2190266174054,11.4130751227984,11.1542359277021,12.3402258527662,10.073190644268,10.9943072281838,12.0991754339392,12.5161484863804,14.5993106237392,10.9600454397671,10.3046533555398,11.5282758154782,12.9358139915313,12.8313141438294,15.1384610732876,12.9780671629652,10.9534381417959,10.0653317727681,12.1365785632879,12.0586550733477,10.4882875931648,14.7788852155125,15.4290484088788,15.373082165175,13.5829064490218,10.1298733122737,11.078096037785,11.8319707413561,12.646448234684,12.4512827316025,13.3452842063247,10.27240632777,12.8341283037578,12.1905155862686,10.7208906652501,13.0645404428845,14.5294557343769,11.2949676965423,15.1824896570649,11.553424299726,10.5908692523573,10.9352524213029,10.4371781794334,9.93068842645149
"P24534",13.0599370770001,9.50892025410013,14.6305260819162,13.9065128475732,11.5175132107826,11.1796487062743,12.3947306294316,13.8812049027411,12.1394531173907,11.683350334991,10.3788050073533,13.7897374010671,14.4943789064326,13.5091735088193,10.3241185941984,12.5826288276347,11.1937871361453,13.9628060424879,13.5091735088193,7.61780116642626,13.2540435274937,13.6050786150155,14.0882642215459,13.0898710976907,9.47973813166293,10.2208584517735,11.5533338187014,11.7543882729335,12.0133226734254,12.2830718786678,10.2923212245132,7.13573691062858,11.5371383001102,12.9550607358292,12.9694468148554,13.5022295802129,7.66509675875762,12.9782780778056,12.3584144788607,10.0973799290122,12.7350790493873,7.67514961918183,7.64242998629492,13.4543412971857,13.3586172375848,15.7689784048187,13.0255557593779,14.4497949617404,13.8907285900903,12.4892619432271,14.4341423942405,13.6555955673368,8.02270781283389,8.64738238516532,13.7949350072103,11.2922427552292,10.0578021305535,12.1726956643787,7.49519570283812,10.653033164168,6.52358773545337,7.44542591385649,7.51589763887279,14.5279115653792,7.12255485159268,13.5106753441769,13.0490379691748,7.0892855173067,6.67869092065973,7.23298444431136,13.6857225308332,13.4072793877008,13.2617832433058,8.07141740196214,10.6533452717195,8.38906727609246,14.4497949617404,13.9518226731133,7.53187363272328,13.8693787964645,14.9219615910975,7.58123248437762,13.0631172673952,11.6417757330344,13.2882051936913,12.8430394261381,14.4392639681059,7.64233209148708,13.7409304309984,11.4486982639533,13.431285369391,6.59917046048535,11.4068084664648,13.5471482854336,13.3355950196689,13.0522104197,14.4497949617404,7.57391276475119,12.360315077667,14.2672679149377,10.4645587496799,13.3901364287082,13.6772182064279,13.4258033043746,13.1490855725498,13.7865286609394,13.9767345489857,8.02180680730356,10.3371832716482,13.9647936400841,13.9555728980189,13.5953462131941,13.3700529505095,7.50457451688727,14.2289904359126,12.3987436919382,12.2873853335837,11.2379410509936,13.5385017438686,13.9800744916631,11.995452693647,12.6514507558798,13.1040799579856,14.0975224369248,13.9356349456396,14.6811950895128,14.0158155196772,11.9044569685852,10.6952513907107,13.8836619084451,10.0339956493023,10.1246337548011
"P25398",13.7138765155525,13.0633745195369,12.1491715055447,12.5731811264191,12.6050204427901,12.3987220787837,10.4445508856386,12.9620508787353,11.6437657018244,12.9952483259088,11.4139583545959,11.8936525860847,11.1986522501762,11.1701291614948,9.35091356932923,10.3726324749338,11.4438336681532,13.5681745851241,12.6673832508275,13.3048587029617,12.7114309566999,10.2901693103815,9.63838312165244,12.0458102245722,10.5670129430624,9.56076783291215,9.45278236844612,11.560775762495,11.0236304424751,9.72535535791741,11.3958370424008,10.6445718818594,11.8743960925522,11.9853609817902,10.5935403886498,10.3562945134344,12.848035065064,11.6599580244875,13.228749277886,11.1666971784795,12.627410937682,12.0111616819694,12.9716799307863,13.3209845493825,13.4661242304332,13.8784186416956,11.5997165134769,11.3280899982119,14.2937642481488,13.1314007227127,13.471042062446,10.7180257054995,11.5577930011265,12.4227238479275,13.0013094278643,12.8515743164155,10.4573283135752,12.9829613600199,13.2377696958889,12.7927081558909,10.9533116630596,10.886883473472,13.1204121716243,13.7490729498737,11.7806019976762,12.5247499557574,12.5674803534494,11.4184638980447,11.4981112981585,11.338015262577,14.4834728814344,11.1064248267003,13.4205153945575,13.2942368468539,12.8753104960515,11.1696705755456,12.6785274260409,12.0082986756564,13.0404349120361,12.5023620273031,10.4343969577076,11.8805020190493,12.8581130335199,12.670447225577,13.533659458962,11.3798769461451,12.2667253327185,12.7789636593988,14.6576334247535,11.8946062881797,13.2744172487393,13.1766793336624,11.7582912898292,10.1133821373249,13.9908256907656,13.025245309294,10.8597354593843,12.0886830298253,13.4222381687028,13.4097542471852,9.60883252874135,12.7252705114539,12.4089289380144,12.2250628858286,10.79412507814,10.5332472087992,11.9587023011778,12.3058423494485,11.8757640900874,11.2074302528203,13.2555462872083,11.4864284112035,13.1831102784523,11.5729929794266,11.1516938251739,8.67010355808544,9.60676755608618,10.8563451451696,12.2791409877995,13.6691237459261,12.2380288548275,10.656864858738,13.7337882677554,11.1316614651119,12.8144133838499,9.569112561302,10.765018305776,10.6325854510922,12.1798657891414,10.5558129508753,11.0772204943803,9.34479170673243
"P42285",12.7272712061653,12.4277237573009,13.6909356926616,14.0256586729435,11.8699793329,13.2720617509027,10.5695199712023,11.6015207549802,13.5623490591897,13.2892470926639,9.4755878264563,13.9996477365284,12.7520475927624,12.3238251000311,9.22784489709793,10.5921106295556,9.84529140727145,13.4809997414736,13.1660272931693,9.85832165136387,11.3348251972036,12.9621660675233,14.2899468256141,13.4859592184952,12.3644722010748,9.97987430255637,12.914198242455,12.5423386240204,13.3533011994539,12.2192256725078,12.229723393678,12.1416979638076,12.146250445886,13.8847728283194,13.4890991925301,14.057431646736,13.2245584127242,12.4419519161509,13.0124499524256,11.1544344859678,13.5784157810528,12.4567059754019,10.1739174974275,14.4388952439686,14.5544407138121,11.837550373,10.3790951836397,13.7429632799738,12.8882588917797,12.06140094297,14.5289164266266,12.6815387833867,14.1597455264833,15.180695730327,11.440732386342,11.8843641233865,11.1861142395416,12.7114518867148,11.2649901435488,12.6416225169274,13.4931387565761,10.4933337521389,13.6285322755338,11.4887681646669,9.83098111606131,14.4577911641105,13.1356182132023,11.3920585396063,13.4279442594362,12.7101162791624,14.5431183487229,13.3758475573443,12.8305446554768,11.3421178184004,9.41453450446743,9.80868367757375,12.672204323964,10.8227944205312,13.5078711743466,11.1780002444534,10.7302922522315,10.204801094523,13.6190572603902,11.5583702451774,11.1649065204875,12.5067891844923,12.2399972389416,12.5500678260114,14.9219097848223,13.5285481268204,12.391917215843,12.3853365547856,11.9248125036058,10.4812534315455,9.18991934732599,13.1625486821999,13.8776653959414,10.6130344230862,12.2221911384563,14.3348721842104,12.9803181179575,13.2901088742757,15.1380324393922,12.6403118017875,10.0277757711261,11.6738792015922,10.4488164027865,11.3088805096683,11.4514514729564,11.6952158326555,14.7633693725314,12.4794758356237,13.9222388910078,13.68829999083,15.0834000328624,12.524936873268,13.631803502205,10.5375796780819,14.1115969252844,14.9867784980268,12.6319716636291,14.3952762461116,12.6153289096104,15.1651015235528,13.4091730747823,14.777210703005,14.2576065124336,12.8082999631356,8.74277522134799,13.2883634587629,7.30318603335021,9.88696116352773
"P49756",15.4820427412196,14.6577217854406,16.4418224999926,15.4445030600338,14.681245928897,14.3944062620999,15.9034347635888,16.4748252649094,13.4512094994009,15.4469451470788,15.0400662739735,15.5620595097644,15.5542514378249,16.2198719235298,12.2269040998193,15.8675359648844,12.7918354715674,15.5217722042321,14.06968158103,16.2397532887681,13.3608053557602,16.071466903558,15.6522094359207,13.8706358557853,13.5882632682328,13.9346262733204,15.4230457763463,14.0872169258966,15.3218865662523,14.4581331613064,14.6565545617822,15.8160923341699,14.1773567035963,14.4969470540637,16.2191869125371,15.6231186416529,15.9090110633839,14.5584621561325,15.286354189023,13.1284998925662,15.5292840525618,16.4241743099614,15.7600045650763,16.3960135528788,15.7299327683729,16.418045731537,15.3717266733926,15.9646383484436,16.8107586390563,16.3056955909635,16.3811316300907,15.7494750234526,16.71981367342,13.7784608931185,13.7519602395311,15.6059777934675,15.7281033262062,16.0696768891828,15.2772851679851,14.6727518152036,15.2124719921105,15.5017506501845,16.2508143957146,13.2104162596937,15.1913135122171,13.5288691115419,15.6920939584745,17.1834253729981,15.2023862084019,15.7829221938767,16.7052598699478,16.3884525062473,13.7702114385519,16.7932925607933,9.80488413841398,17.3690895649688,16.2096818148719,15.6486295660725,15.7107257317644,16.3131487575662,15.3632527907608,14.7833109502832,15.0755026225105,15.7771473445755,17.3889928650013,15.897566971123,17.9480354320123,16.5121487499272,17.3453303987917,15.1982645682293,16.0507839563649,15.2442807945694,15.8398826834988,13.3908768916101,16.437154915553,15.3122448299333,16.1813331292513,13.0063244452751,16.5871915075298,16.4375717875432,15.5245685929154,15.8324305692631,18.0776767844406,15.6457989343221,13.2976516767301,15.1768384170592,13.7884905614299,13.6135690409122,15.355504527783,17.1918150679738,17.1141038864405,16.3860917012331,15.2907388624393,15.9322691893152,16.7863608611302,15.2533476428739,15.7072084965261,13.6795501630044,18.0910091540445,17.2831102468858,15.7429093103706,15.8969834296707,16.32446445934,16.7600721038636,16.4818680223345,16.6860110827743,16.7976868538449,15.8932802410343,14.0364770779577,15.1953004886815,14.3009875651698,14.5143079157946
