"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"A0A075B6I0",14.636616263114,10.2706351027718,15.0793928345138,14.0397758792889,13.5533764449612,14.7128580293178,15.5123151414289,18.7884497560753,18.505540880421,14.8146134359334,12.6363624399477,17.5871678269592,15.4872494068959,16.3229142130657,12.5480454272891,14.1934351693036,12.0801843270799,15.0651500168278,10.6153193363176,16.0250306118353,16.4531842032279,16.7072436467883,16.9096465466273,15.0576587033775,12.8205081321335,14.165468266353,13.796487713352,13.9058072726825,11.2478977568856,14.0583658654255,11.13908257623,15.2139756745911,14.5025653933007,15.7513585594073,16.4212207653884,18.4810258137854,19.1366473613587,13.2456315335018,14.9307610566647,13.1670311080199,17.4012202496481,18.082694343466,17.3467009894481,17.3979324097755,15.4939863805977,16.0218759382341,16.7048762295562,17.2414835631987,12.6444969281554,11.910758324892,13.7211730745805,18.5013825259344,17.8151739822036,17.7688888533601,16.5014130670516,12.6152849298253,14.2743380963173,16.6847679793568,13.5316093642537,11.7445516461022,14.5910942737176,12.0770130110959,15.0251047197617,17.5378346267625,17.5753796210644,18.7788024189483,16.9256819904336,13.8284530459043,16.7968510263668,18.8453675015707,15.9209069543486,18.5038648697857,14.8855721489405,17.7449504531305,14.1627359188666,17.4122952264814,17.5022589758051,16.9351538941312,19.3560678640359,15.5358349657526,20.4366167738329,17.5049420259386,17.9864315865461,17.5617910442292,16.7274019122674,16.1804507355855,18.8413172176136,17.7015070420983,20.6926305141609,13.5963880885546,16.594074407359,13.5830035162363,15.4151489198052,17.3771496866306,16.3971384964373,14.879659304685,17.169960814524,19.4427824358495,16.0648583257363,15.9401388526415,17.7188999961019,17.1594176049365,16.573411276227,18.9808362109036,16.8852711947389,17.475122041929,17.9224453095018,18.7398879102858,15.4069524221289,16.9193332127378,17.4458022086462,19.3377956481405,16.0344568917272,15.6875106114348,17.5361222541849,13.5755034003023,15.2331147191182,19.060648828553,17.999732297098,18.3941584043798,15.0453101146235,17.9897679074939,18.7847834347378,15.2076568252653,16.4697316286076,18.5455550020882,16.4845053441213,16.9531629274591,12.3316289140766,13.175368248415,12.7127844514878,12.7369450998625
"A0A0B4J1Y8",11.1568620630763,11.0056056452774,13.6993456033243,12.8523888242534,12.118467103937,10.2226377772539,13.2888592885487,14.5590978785977,14.8096159640773,11.9036679135895,11.8004310663194,14.6434345512365,14.3895410582199,12.0690026192825,11.6404737079102,12.2290835330905,9.46954626056483,11.6775630611932,11.4645575448164,14.1648181519995,12.0215907684136,11.3976597733451,10.4490662459335,12.5086036161668,11.0730899266162,11.1750997887228,12.9379615287659,12.2596620582004,12.4903578568704,12.1011633734896,10.9021895234287,14.1914832052472,12.1983431287298,12.3733532921809,14.452812130013,13.4170811100771,14.2437212005251,13.4329942324646,13.531474930225,10.2592859177714,13.4033237791022,16.0997402672435,14.7716581491822,13.1954069045741,16.2731952939348,10.8685239973152,10.6011636124518,14.682926243807,14.5710627205665,13.7976660576633,13.4775865573707,12.666245280595,14.8588347443395,16.5449027810996,13.0224249271597,12.7125951552781,11.8393767879591,13.7375538995831,12.6511167443231,12.4192624162113,12.8025938539308,12.7209375601888,14.5064162646852,15.8828406195241,12.9242502727763,11.2132949521689,9.79976796070685,14.5522255623973,14.0562179821847,15.34029011149,13.4858041852945,14.0477876765668,14.7096109984369,11.4955303920454,10.4494086940846,15.1797334145206,14.1873127967574,13.0068915473055,15.2266246690865,12.2876059337631,12.1434415637575,10.9497254713321,13.3600264380329,13.4175647734699,14.2241849411025,14.9114841520448,15.0454706599315,12.6203510545807,15.4176554601545,11.7068812126046,13.1383262156927,12.6596626950235,13.0130485576127,10.4466383298118,11.0649997835562,13.4327573655443,14.7933981865249,12.4933788632743,12.1585369296833,12.579050719098,12.1434313897181,14.434531265106,11.2289276106808,11.8956236191567,14.3899507571282,11.6415347420639,12.0414759593604,14.6632121839636,12.67079958158,15.6019986841483,15.8195875445894,15.2096025054672,14.2158189271153,13.3484893325514,10.0722745229511,12.7988831469208,12.0280130996841,14.3596443864693,10.9395114629165,14.7913741706522,11.6265943711699,14.6298537718409,15.3966091730009,13.7007085009919,14.6101118330419,12.2723120033609,16.124523996465,11.7431056563612,11.9063735670378,11.8653228497195,11.5285720473363,9.60787618604905
"A1L0T0",9.37638179741962,9.45678528767586,12.5952873980419,9.72969778422226,12.6921836151979,12.6976837483412,12.5344844197986,13.9844716612851,14.6255060989818,12.127938361629,8.22385171376069,13.7809727203575,12.4324477371913,11.573491173296,9.88041931130395,11.7433201229087,7.8337951579689,10.7498608861662,11.1859182307275,10.7679807865359,9.81280511839184,13.2132817543072,12.2129715484167,13.4054721627547,7.79031666019357,7.75101959704498,13.047587972878,11.2150194760348,10.8830810454885,13.0012466301618,10.2368289582354,11.5946791031088,11.7830596034135,13.2586488554277,11.4300045061111,13.3239538625568,13.3644992558983,10.5002830674922,12.3309905622165,7.46938447537683,12.6674941162698,11.9728972369047,9.01722165567294,12.4633658597851,13.595629536024,13.7372238278162,13.0305912243525,13.0596004117493,11.449649543724,13.7649590210616,13.6073641741318,13.9785283109451,13.9302430703932,14.3760505988323,13.4378157954074,9.30212906892166,11.9226207418247,14.4830440783865,11.5724151684645,10.3550404765662,12.7795613830043,13.5330243260344,13.4736760029562,11.1264065964916,12.8691498563606,14.0446010393731,12.6738041068095,14.1401578497519,11.8962065554195,13.9492953881461,10.9954007393916,12.1929651548861,10.4946338115539,9.69431172066113,9.06230754505662,13.9990268406543,12.2083188926932,13.6874653928606,13.1864104988462,13.8783234931514,14.1136556273958,9.58752308540618,10.0239025307789,11.8331750502171,13.4033955886533,10.2797133043079,13.8281663871258,7.00265962413023,13.7037059950861,10.2939980765979,13.9032321105503,12.4549797035909,13.2418418081751,14.1459436726765,10.9827396218016,12.36871646587,14.1290984249757,12.7822002691371,12.470223139062,12.7603705264469,13.4993067200579,13.4641848420879,13.1106717976364,14.218880694758,12.5903842133945,12.9776181819251,13.9614624526961,13.529644030909,11.9174048701889,14.5327286693207,14.2928811865087,13.119748863375,11.7621052369886,14.1249731835368,13.6321402292604,10.9537813617957,9.5468014545276,13.6346922846055,13.9913662261356,13.9662841478261,12.4489313761213,13.0176733273248,13.1526117845572,11.0169865388597,14.1307463523437,13.529823568227,13.1139010821958,10.0231968757392,10.975629176091,10.2847576851695,6.66563429168594,5.84521103048464
"A6NCS6",13.7642473892463,11.0476090033775,12.7624011020135,11.182746159554,15.0788875020686,13.9499065552842,13.3875394449294,14.7383791065661,15.1209728873238,15.9935274130457,9.8906413531587,14.062185003209,14.3533450429959,10.1767449058355,13.8271430026084,10.0262268129047,13.8177894400044,15.7580555973517,14.6968012300873,10.7377399631026,13.9513755873678,13.778247510907,13.6498032951723,14.2540254028359,10.8861467244943,10.152057493498,14.9613556908094,13.5281139392739,10.5619334776141,14.6713963447427,9.5224594561358,13.787072176589,10.0298120692756,14.5735658631184,14.2820801529866,14.3791939944863,14.10635503554,15.4500382244781,13.6557589356135,6.28479737675309,14.123563786058,16.4390048894711,12.8972568285872,8.16527839562723,14.3162988890574,14.2181364995654,14.5663815679974,14.9634003747021,15.5329280746916,11.4773706945165,11.4599557684139,11.4358758235185,13.9842281434486,14.7841897561217,13.9034577239609,12.5056911910013,13.3885635074093,14.983684783344,12.4835390707249,12.5765718189156,7.35402677592933,12.2324194976559,12.8328570991798,12.5920356432211,11.968331263761,15.3421907373407,12.2338390811561,14.757746319322,12.9428281439033,11.5851209494037,15.300887314738,10.2168208137983,14.172157570106,13.0974300186934,12.636868289017,10.721326954663,10.1028982126986,10.1055821475947,10.8526584557915,13.0157410330216,11.379328626371,13.7011414284083,14.2313985361785,13.9850123877121,14.2760766826164,14.0158066748604,11.4124885328439,15.5070999273672,12.7040532726171,14.0676222898374,7.84788137533842,7.14423020248732,11.3595122115504,11.8107502442039,13.8869371884235,10.5077121586201,15.1811787966515,14.5733327763053,13.3950048270498,12.1255506514521,14.3529542169027,14.1811495681229,10.8478356207545,11.2909323793268,13.2435078255577,14.011879284835,12.2825785397409,12.1740333724938,13.1325783478136,14.1810180114803,12.0914360075248,13.1918858926365,14.5017686310615,13.3724687114577,14.4839846230993,6.60924373722291,10.6294468614355,14.236300311166,14.4265957519976,11.2850110786532,9.39420487448488,15.4168130149101,12.3167230707453,9.72496710131168,7.31302298061752,10.3360374638373,11.104004578789,10.7835701313412,10.6685460182874,12.0064803127118,9.28500454627753,10.2567696151766
"A6NFQ2",13.8697650377273,9.49152767607858,13.9670938340579,13.87381035822,11.5575105650588,13.6919717392184,13.7418197775418,13.1735014250516,12.9245071298911,11.8464762863212,9.56120750492083,13.3450987811412,13.2006216413281,10.1703134433736,8.22770367730526,7.20664500198665,6.79364598049152,11.8073205188647,9.52326750764308,12.9882411302318,13.8556471660273,10.0075417685602,13.3925380948919,13.5707760462382,7.97694753970567,6.52728960249823,12.8616023431151,13.0461088066903,12.7683809517341,12.1124009141024,6.56771573456438,13.4476476571845,11.3274641998282,13.1129392775532,14.1706578360373,14.1024935891539,13.7780224392035,12.8150814402542,14.4486474915171,6.80670898310302,13.8492832971195,14.8283282822941,14.1279729779958,13.8395998409032,14.0326637007896,14.9828410619556,13.6807539754981,11.9144644268114,14.9350738440481,14.3735968350474,14.02221477473,14.3600884562934,15.1865683033394,13.9620886398577,13.9995691882205,11.5077699612616,11.3466643314754,14.1676591997255,9.17961420093579,7.31799363093034,9.16813692604009,12.8680060004797,13.1638862813489,15.093095492795,13.4050570415201,15.8781728191389,11.5159620986624,7.29816135221317,12.7071337629075,12.7225012423254,14.4019366552916,14.514456629002,14.0632527119614,10.4205449784934,12.7059646233199,12.4653456419062,13.9954074061686,13.9473974277009,11.9262196813294,14.1789354788291,14.6249610980761,13.7389071305119,12.9880534851559,13.7299727797729,14.5510276953225,13.9792589442532,10.2013584207498,14.5904358430237,14.8589528273912,11.138183580175,13.5976085498504,12.5664803759558,13.641752616614,14.2567622475136,14.4783152060715,13.7524678880916,13.5364034613936,13.7736623305701,14.4850582101743,12.7898543810409,13.485864763994,13.8881747315356,13.7347040456096,10.9564552351118,13.201439530125,14.305718130075,13.6417890225705,14.7575745319253,8.77503295437038,14.6049848038545,14.4014764846234,12.8539896086906,12.8225694969113,13.5356249967178,15.1496591662533,12.5925170622076,13.9001943310535,13.5956734251198,14.8978944920323,14.8229783581187,11.9668681552652,13.9219484678706,14.0606510784221,13.9225736413701,13.9261293485241,14.104175314109,14.2105473652112,8.32056524049615,9.19071027028237,9.46562044460368,9.1090205392383,6.55922893856659
"A7E2V4",11.6109275731563,7.97733449353037,12.0639725451066,12.2150293747705,11.2794157218222,12.5337267957899,12.5975870395862,13.3217430088727,15.0376652008773,9.62754656247097,5.54270001601796,7.71141912003267,6.61665032536298,12.4534781408807,7.5195633377122,11.1485470323653,7.81439625939134,7.47996314701914,6.6865488520637,11.540062933148,13.5289481405225,12.6827832279164,11.9379108365347,11.2587226576452,7.44799363910161,7.60503762531026,12.2616244924303,11.6851613474598,6.53861405085076,9.98953392134295,7.95619023903296,13.0580805787444,11.6199172742478,11.6205113469008,11.5050228741592,13.3603016354568,11.9416277164938,10.1142260181888,9.74087500557799,5.74063885284824,13.0911047583765,13.4886961954714,13.2984377987436,11.9338848394503,13.5449256240234,12.9054520161686,11.9786508776469,13.1265718201224,13.9603918636979,12.3344104686347,13.0236877317241,13.1796961961839,7.14963980389882,14.270673726195,13.6529739552964,7.56581813429619,6.2613661668817,12.3917825045278,6.77592610023188,7.86660856964685,12.2407096807893,11.2462889902491,11.7022448696618,13.5014729141378,12.5014428016159,13.9952597950226,6.65032769698625,12.7789217643375,10.642947685978,12.329146885303,13.3252659856463,11.8481966051011,13.6874850406512,13.4361714204431,6.61540222897074,13.4708427914747,13.6973560290037,13.277484726639,12.4815734340479,13.0070100374906,12.2610423855754,13.564890744203,12.4141234694466,12.0659942355141,13.3512815761771,11.1252047372135,14.1510748848722,11.9192357860283,12.510024575841,10.7331531582003,12.2377502343972,6.52046093249162,11.3684074496456,7.17458754610215,12.0078201141635,10.5640056205195,9.99882010275119,11.4783539230163,12.7272914130242,14.4562244487485,12.7874604672986,13.4494832412263,13.2009761213464,12.7288942272559,12.4350942144155,12.6647825000625,11.0407315039251,14.7386728528729,6.30727305200504,13.9887734325072,13.2421677573316,12.276191904474,7.53909823168802,12.2294035265923,11.7101468851669,8.25707262942057,11.9726237346061,13.9381813492066,13.4533047578728,13.8432980015098,10.9857381037744,12.1468074465591,13.8386736785529,11.0537144076033,12.096818554325,13.107074083865,13.2448845993475,11.5087889308507,7.73646167538705,8.50271750197635,7.50411093923675,7.55512458173318
"C9J069",13.3472373208362,10.7402348314777,13.0435523141017,12.3592885145187,9.43666349709665,12.7250959390462,12.671896025766,13.5200088122352,13.6258790373385,12.5115264097054,9.62189859757991,12.4582366078042,13.7284973435335,12.6757431334575,11.2505489796397,9.83824069268192,11.5532315965909,9.63886038193075,12.5741215713543,12.9987310271518,13.747649221143,11.3358825403338,12.3279935877501,13.8339013294785,9.05247205738453,7.4762610660166,11.3689943003539,9.6065036484774,12.6806566869119,10.7627621122137,10.9114841905853,13.7383016001529,7.55304004423222,10.2979900668361,12.2215136416367,12.5716101139282,11.1114082891857,12.7515027818918,14.2551929870031,10.2429506032175,12.2566759801097,14.3005645173468,9.63940715477333,10.8853327026201,8.14744870564765,10.8204122146826,12.9715442279026,14.544914525317,10.3573258596264,13.2669502367416,14.599182112212,14.3652723987078,14.6836704969281,13.1112987142583,10.4162931668654,8.75174109501314,13.5818174477099,13.2892089107678,10.512581279078,10.8583837939219,13.0679250638236,13.295967543202,14.0011131019534,13.8599851806932,10.43614737402,15.2849256251458,13.4029100560712,12.1076649119028,12.8850735746372,9.7972444504091,13.4695739218824,14.7651828369634,9.89236086603159,10.626683379606,7.8085716869505,8.50614328960817,14.3535240035282,11.2099894159464,12.8402078734603,12.8405191505539,13.7025580403911,13.6493212822443,13.406541818775,11.1347023706227,15.0229860209029,13.726608679385,12.8424706544295,8.07600966504684,13.7931532478959,12.141223292741,13.4990678868807,11.653116330302,12.0621782024922,15.0040332861619,12.8599050569123,13.0288474723325,13.6952823313027,11.2283390613658,12.8368124648416,14.8897138753572,14.3684466465029,13.7924777343741,15.1876219938291,13.6616960398742,13.8222174799553,14.8559977480571,13.8031873696199,14.5347475767591,10.0189778366583,15.2306138216035,15.1703850269739,13.5585700458073,13.4674255258254,11.8206097659187,13.32100165783,9.79345087969587,12.4167256087755,15.5171609023069,13.9867071081205,13.2483345585743,12.0593155036703,14.8875343641959,14.3550531003259,14.2093341209242,13.3853565662582,12.9193426769265,12.8968659483845,11.8355134777165,11.6388432534458,11.2526654324503,9.50733071428055,9.02389346333648
"C9JLW8",12.4336651909725,10.6166505547589,11.8667671855523,13.5503569479523,11.4260100029542,12.8316095192453,10.5754470432923,11.702467105143,14.7555334501212,12.0340854213087,10.3096090639672,12.301851609717,13.6498068210945,12.6007054825602,9.38743134720281,11.2254564237345,10.8884196978608,9.35618111205317,10.4930393218995,13.9252754202681,9.29358299885484,15.0710923098699,11.0144589011951,13.9774797090262,10.9536278023927,11.3219016365304,12.1003152094892,10.1934423273072,12.3170888286988,12.4769164213614,11.0933884743711,14.2378976931813,11.6337440385695,12.6746673888788,14.4027461506343,13.0502088331853,16.324610489086,12.0258990817134,13.3142589133294,10.6261311865546,13.7437237740063,15.2173213022718,14.5074412516369,12.1092258988224,9.52393498746309,14.4652653955747,13.5996579718443,14.7732607144218,13.1927232996549,11.8771699132972,9.24405566185427,11.6364250512766,13.9413704140242,14.6544812631014,11.8542359547226,7.80430687135503,11.3963284742176,13.1598310830733,10.3320701639647,11.5709470660205,10.9043461570575,12.5160728540195,10.8703669081396,15.6324358825088,12.9472342725964,15.4355915950027,12.6740225814416,13.1235286908834,13.4692722500598,14.4365181915434,12.8255431575278,14.6579897266271,13.1587372943536,14.756238175761,10.5163956438172,16.2018547439172,14.8875056815817,13.8653746665964,15.1213680903803,14.2289586267125,14.2629394425377,14.7286434158598,14.2364999724576,14.3898735564325,14.356105134528,12.5943645727003,13.4027281457519,9.9212155687225,16.0850368149619,11.2896625356864,14.8160641332342,10.7332592000751,13.0500198317207,15.2622044142433,12.8338479581474,13.0837250898557,14.3414632851298,15.0907783192958,10.2394735994811,13.2579787252878,13.1663798027933,12.9053399591742,15.5576790809705,13.3761812239943,12.2119251943416,15.5505554282591,9.74302542376615,16.0840444877711,14.7803690160303,12.4738804445698,12.6483761237861,15.8719532637134,12.8669679739397,8.60818525957367,14.1155323245604,12.0743954863084,11.0477436255555,14.2747365792823,13.8150638858841,13.9333162128586,11.8885009942279,13.2310848358691,11.3710761551281,12.7642849851181,16.5859995384207,14.0781007369965,13.8108791613005,13.5313690591736,12.0493809327729,10.8514846584242,9.06685854515025,8.42372951902927
"L0R6Q1",8.63741135825526,5.36627701829414,12.7599814736518,13.2735358705434,10.8136034315245,10.5145274890552,11.5232420575437,11.6123614698452,12.5041543414148,8.49823973726098,7.90603815146706,11.8139165772363,9.21307539072392,8.76165266927475,7.03679030653891,7.83958960744237,6.71942441500882,7.90505582798298,11.0663599630437,8.77445440884527,11.3973835964997,11.6515765398685,12.6107498413499,11.5714541360037,7.63122790872472,7.58178061542414,8.33714763246792,9.03329576475974,6.10962114023688,9.14245274176588,6.95063570079549,11.760715378198,8.20058574875382,12.3260748455825,12.1407480268605,12.8998955151842,13.3585036391672,11.2942739123664,12.2667299073774,7.12298716845224,12.2277757255841,13.4079769195538,13.6390739317461,13.3101498868427,13.4589721152657,11.4448367329209,12.1061695743452,13.358763108048,13.8727534190807,13.1314895957737,12.6434050543516,12.7149154514241,12.0311891407389,13.5784041113517,11.177443071598,7.89896047473164,11.42795386417,10.5190745859889,11.1334435565757,11.4718418537601,12.0992195567464,9.87801270728398,12.5186831295919,13.7949418048336,8.72883929628978,14.7723201664001,11.5790310101298,11.056294337664,10.4668209123471,11.0920107168094,12.7554903828278,13.2471027721286,8.7088440931413,13.732466026628,10.8532967005895,12.812885469543,12.3298530216727,12.8101269646496,11.2897011931067,11.8282033515767,13.7054431301386,11.5544631828577,12.0708807808394,10.4670961268421,13.7938197290789,10.8669367072877,14.1800991672378,13.3437189760955,13.2593924762884,10.4963174807255,11.3740802589308,11.7465596576069,8.28296170834188,14.6880909761892,11.8441512785436,10.6159103167493,11.9076436525657,13.2250296996932,10.4755291412788,13.5347017910121,13.4178721818996,12.8492766448101,13.3032562676344,14.0698318289835,13.4482385717494,12.9048280651954,13.2655141832489,13.8798010653748,8.94233696002453,14.4302760126315,14.055902474556,13.9118333049832,11.414878636057,13.238914070608,12.924088949632,11.6715373633248,10.9915876980269,13.4167483839029,13.2861201171385,11.771049000852,12.0529625970764,12.3484811945455,13.7522936110402,11.7342168065697,13.5258498844108,13.5943411511497,11.1445660467789,7.63737449741977,7.03261834341552,8.41063086552771,7.34491590596033,7.76892652164948
"O00116",9.32899858754806,10.4676434787275,14.0914851053986,13.1886890866741,11.9322758169762,10.7270099779503,13.1290751076237,14.2520873520443,14.0556099795258,13.4309841779704,7.46693580679887,14.6122731836436,10.2474017124882,12.7604337862553,8.72472077374269,8.82151716995667,8.68336291456902,10.5924302319153,12.3691225600261,9.85645122750526,12.6124051569475,13.8233606572055,12.9953557904808,12.9118165154171,8.10772972899989,5.80418546637555,12.6851344372571,8.41652877742945,13.1400903205119,9.91291450422391,10.7582232147267,10.9270053437242,11.5386358610859,12.7181515218195,14.2235837274974,14.3530330897812,14.5400451099881,10.2144988008791,13.4390882411249,6.04500169427528,13.5582094229417,14.9980969043554,12.6992463714149,9.55771805941459,14.1078887650539,14.8463069428813,13.8257919887738,12.8611957556545,13.723485385476,12.7481928495895,14.2345870254372,13.3714819248276,12.9121397049114,14.7559932378706,13.2213639330054,4.75880186625443,12.5845750896098,13.9921236477853,11.8030508846081,10.2736118605141,7.38337807547898,11.4968924609431,13.2855187973581,13.2948471551445,13.3796546418651,14.2482511608505,11.673859149321,13.9765673015826,13.0182052376855,15.2752574701421,14.1362275343474,14.8836371962315,10.8762551872509,14.8671987210384,11.5213485839763,14.0393903392569,15.0885130868772,11.6684103432087,14.5047235469562,11.4763890429819,14.4935241798856,14.1730102872672,14.616039782851,14.3857759089639,14.991946541861,9.96663138173994,14.3405511718113,14.2078529235915,13.9664519627349,11.8769987537834,12.0924268157803,9.51317444989991,12.3131503189179,14.6611331326978,14.2690974530276,9.36003367629009,14.7334920443003,12.7154003721193,12.7894785175536,14.4964293209229,14.9542648955081,13.8543982106683,14.6348965712074,14.2075734870059,13.754574872378,15.2661938476272,14.1932169915771,13.5577940412141,12.5089520472415,14.9917046441806,13.2874117833481,14.52660500692,13.4886162740941,13.880086098195,15.0168419792483,7.29791481642096,10.6414167668439,15.0584520725795,15.3118265050888,14.2244897155475,11.4261287719891,14.2243785833208,13.6864679753588,13.9560342400034,12.3883065287065,13.973265831412,15.0092850709352,12.1652967868404,10.1261173168384,10.9488843765386,9.18442183129924,9.840948098031
