"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"A2RTX5",11.2911338388032,8.20740057260616,12.1388642898296,12.3106125317131,11.0771801162435,10.5240335124003,10.9784439507712,13.9541475651502,13.2723519891672,10.8701768601957,6.96990484686212,12.7114087829241,8.76893654144239,9.83250302584637,3.42816130029903,6.12529983035782,8.64923565657338,6.30690811952065,6.38979769962165,12.0052928905365,13.3447801802459,11.0222156908682,6.71143159353656,10.2016515950132,7.12946748728494,3.5967199720345,9.45754429271057,10.7828788637781,7.36342281298054,10.3702584514388,10.1861691512983,7.91767057762643,10.4536827787506,11.326196811396,8.31902843883399,13.1182587581341,13.0256887894452,12.1227665515882,12.3982080563114,4.12392666163503,12.0021597870969,13.1507110590754,12.9727615757699,7.92723804161033,9.55214436114071,11.7586312689095,10.8910586127366,10.8677217721629,13.0457123886952,12.914757770566,12.4402364386212,10.0015829616937,12.3752525356733,14.3464688387018,13.0745031529545,9.42512600017266,10.678317161358,13.0713166553152,7.11762381943231,10.7558295457274,5.85492468751866,12.4995391246254,12.5786732081456,13.6819822881823,8.36052156881053,13.8605885434018,12.4184024531661,10.2778123654277,11.4216060356079,13.3968821154164,13.4264654478292,8.98433258571071,9.60613259014414,13.4268505137617,6.42756490664426,13.4870402904092,13.5873869748851,11.0819258196671,11.9938734571756,11.0669350307053,12.9491091218872,11.9009093946461,13.2898532791666,12.4144424736964,13.7511686059963,11.3964276639933,13.4898814808603,12.1025277708172,13.684567041347,10.0971371337583,13.2472641135625,10.5434850008158,10.8714106534411,13.6300502904657,11.8321149112991,10.5207322867732,8.892901679438,13.838613044197,6.65513646001115,14.2216521789412,13.2081041144076,12.3693236340315,11.4899155551162,11.5762273993649,12.6979023988166,13.5075505577113,13.4343415947271,13.3736793441555,10.3554964717558,13.1684179479783,11.1798333913395,6.27863451960604,11.4063036142666,11.7027178972432,12.0971585278683,3.69465971585198,8.77746063866694,14.2190320220093,13.1257899251033,7.31985782294843,10.1149890656626,11.79726379666,11.1846836141569,12.8446787303642,14.2991771623894,10.7269678637119,13.2703717109745,3.63717288754031,7.75151280594141,7.626776730519,7.10956366954171,7.28533748613809
"A4D1P6",12.4154658570883,7.97530023241036,13.5418764764951,11.4303384499877,10.1265189646148,11.7689103099989,13.2783852409699,13.4049507841609,14.2760987748393,11.6051265385568,9.86702677522453,13.7322674190868,7.85888066307811,10.6797695186223,8.82158415251684,10.6581338272207,10.1679672671778,8.95465271684828,10.86489117679,9.16200401137753,13.6306917009804,13.7868776427005,13.4803203668846,12.4499750022079,7.97064382045367,8.76414673309646,9.55461378056903,10.5932933344905,10.7547921263648,10.9730741134471,9.76748175248211,12.0426170453336,10.6995754540934,11.8183388133637,13.4766111254417,14.0474202884351,13.3494823234301,10.0730689715543,12.9835363059892,7.63175291055975,13.4600567910639,14.1009084710665,12.6337794106342,13.6944893771489,13.8252399243004,13.7740799549252,13.4141621910361,13.6734610168995,14.2376526122526,13.065502121785,14.3019432051699,14.3421308936993,13.7299585785375,14.5754334320472,13.8498140750703,8.29577645069289,11.2286829142156,12.7776485760455,10.1079525625812,11.3333730433116,11.6751460256283,13.1903771597766,13.3517050126641,14.4450241734117,11.7970011235373,15.0737091269559,9.93806455815907,14.6482784149782,12.8483206511486,13.6043290320441,14.4558080290535,14.0711763149422,11.0728056985619,14.4137777080033,12.1463056924822,14.2828860164806,13.5261764024413,13.8536322395981,13.264355180911,13.6551379917166,13.7778887101923,12.0818325101925,13.9899056572591,13.7210117485509,14.6089259091438,13.2029777675109,14.5991805732729,13.8087183469438,14.2359412997508,10.7228617013425,13.060372532434,11.9448762909413,13.0082366542711,14.7118017301167,13.6219648382682,11.8965249831753,13.4410145727259,13.7837042630991,12.6559764048645,14.1431008521506,13.4527152539002,13.9799500345138,15.1081920606373,14.5943448824156,14.0303188287204,13.1170046608,14.4431601600102,14.1408986169144,11.0846448570186,14.7237673478449,14.9503147275666,13.8547783036934,13.0475196661529,13.1323060238734,13.6417958619415,10.731636231003,13.1296408003791,14.5733514711228,14.749264818681,13.5208939994426,11.0515911365136,13.1422901934157,13.8440889628704,14.0966897400124,14.264807893501,14.3410131848154,13.6606769271514,12.8693059867959,10.3609576990011,7.65065013436981,8.27212637385202,6.15504075163727
"A5YM72",12.5687932605954,10.1628798789605,13.5678685709712,12.2060455448956,11.471091100536,12.218113009752,13.2260183091605,14.0525991536813,14.0057725280682,11.9125401319146,7.50976122032536,14.177638731733,12.8452659874876,13.2910949195578,7.87276549873806,9.22239848219121,7.98226926058139,11.2831009549005,11.5776327551852,10.5672317613025,13.6569841446963,13.3928768976403,13.1149504578731,12.5562054087564,8.72514551034038,9.29554710683782,12.5716769646404,10.738421375391,11.8872536669342,11.8036135604578,9.88429068364048,12.4646130587917,9.60316223778352,12.3711572964064,14.3070262891659,14.050790340414,13.3513437228088,11.6563502908598,13.337743973011,7.20503425564365,13.3861968143164,14.0285570304619,12.2964758742909,13.6316623759015,13.5112351610022,14.0016968034127,13.6073049396904,14.5769293311084,13.8624867535684,13.0357255686923,13.9352581461611,13.8219971221772,13.6406846379886,13.6439803006522,14.0192219498253,9.90699371777342,10.6565988495953,12.9303131601381,8.27401877492917,8.30096144517301,10.013846018188,12.1316638911265,13.1966746636619,14.1576062466951,12.5519057712628,14.3062746069415,11.9184501988796,13.8714759249369,12.2909263037378,13.5068052909326,13.8119135735927,13.9441969131169,12.157416203891,13.7318609971382,10.032270748463,14.3227494710571,13.9208930215263,14.2600216595781,13.9847214559301,13.4985849961733,13.8264615470518,12.7879178552497,13.4272903398562,13.5195129467033,14.0695123211551,12.7643558841507,14.4800541706351,13.5818920291139,14.30665742744,10.2912750591597,12.8743561439943,10.689087589904,12.1783402820047,14.3504933771917,13.3568266146773,12.6366043084164,13.9472204219779,13.1653685268623,13.2884590584541,14.0109987455813,13.8103833492379,13.8783303516718,14.1772083570222,14.1473783173652,12.4649323203966,13.9485488885887,13.6112408054805,13.9528665346392,11.4855523205712,13.8691907426979,14.4296205218872,13.5100113126101,12.3540034642971,13.234344766861,13.8267797614721,9.36505001047819,12.971720903502,14.1634389556557,13.9248813423457,13.9864524356026,10.891713556526,14.0021465859832,13.8464779315739,13.7922690013178,14.2875101137688,14.5113731640483,13.8401433068317,11.7336721559495,7.52523447464607,10.1404973868468,5.15097086250616,6.69512759521823
"A6NHR9",12.2794652211187,10.5504944010273,12.6308862655659,12.3449808789627,12.0930801841911,12.4667380038427,12.9124346427152,14.4450793534135,13.8226285865097,12.6537242217664,7.61206615901962,13.0765739458842,12.3784546318003,10.6261819529454,8.7447192553384,11.3527488652482,9.22361152381659,9.21405303958902,9.76950414335198,10.5812778724595,13.7384120761945,13.1457475863889,12.4936462265525,11.7843021620794,8.74921459759243,5.93470698494258,10.8124931508207,11.5473090278514,11.3993019360408,11.4247080691096,10.9380238314514,12.4086816498053,10.4066343168404,12.085097323941,13.8350972356176,12.9189881853911,12.4072652174635,12.0927122891566,12.8304356058616,7.9930210130153,12.779271823895,13.9683323466248,11.1366199426693,12.7532400687196,12.9674480745903,13.1442636871799,12.8904589428664,13.5864790994581,13.7236333871733,13.1636458460252,13.3958028081159,14.3418205164908,13.6103978652558,14.0230980553096,13.0949863118849,7.15935542992402,11.2149776541701,12.7284319752863,10.2205291519954,8.92273216325925,8.90409798660672,13.3859218942598,13.562119834336,13.7736242395202,12.0303100198364,14.3372065110942,12.1089449871463,12.5876095171252,11.6819258374385,13.3583794579149,11.8767335795833,13.3446890993708,10.3252887696266,14.1293047346967,9.81142859442252,12.3504874931651,14.1750979085757,12.4933326906208,13.4028351670711,13.3291706503164,12.9898759916632,11.0975246306552,13.0873026124102,12.7553696456511,13.9830745667953,12.381191224298,13.9830094395438,13.648832726795,13.9394474383754,11.5072258661332,13.5050543077673,9.68301923105261,11.2235434330435,14.0421860166153,13.601916462386,12.8220231560323,13.1070287573875,13.1495990879233,12.6953425060882,11.9919164920867,13.8168042172715,13.4504800017181,13.6359421167825,13.9167988202704,13.6401070216987,13.6217473017205,14.3690746332096,14.7535614762037,10.6629648400461,14.4771497125879,14.4224651405525,13.1460933675833,13.2315821807873,12.9154591485142,13.635159093813,9.78344268592545,11.991390798826,13.6291841402906,13.9307312482273,13.7597764284399,11.8196749438134,13.3257440181306,12.4898078347532,13.61151066236,13.653137997894,13.7995630142221,13.8099408698053,12.0982775335399,8.92692954976206,9.61036466916209,6.24396953540935,6.55126462701281
"B0I1T2",11.6610270157848,9.74113689282477,12.7850348502171,12.8803692823274,11.501274994561,12.6866042079551,11.5301471017514,14.0116616758161,12.8639589091171,12.2237548746558,9.16936809128532,13.3398964392739,13.0400030129627,9.51595044595697,9.34788350831469,11.1670745727438,10.0585545928154,8.5636657988871,11.4336928795508,12.7827364307434,12.6280268756468,12.6846718403174,13.1327144023893,12.1398483005606,6.89530133232418,7.28966192838495,11.3205719450047,10.3491422775353,11.7546035945502,12.1867971356368,9.61474668892188,12.7370054561468,8.49094981988666,12.6225711125061,12.4797892941403,13.1326944651843,13.1887895299609,12.568233980287,12.5854347535804,8.2904631350399,11.8687040149903,13.8675255241373,13.0474522235845,12.9335941485081,12.3374317517803,13.0132402846811,12.8192656477482,13.0144653157297,13.6080564307651,12.7337856233644,13.3283402942311,12.9109301340523,12.6208469622695,14.1007005005407,13.4399309437307,10.6926026656258,11.9663302667642,13.2870171407224,9.0223618566662,10.596683172184,9.1275474708524,12.4464329650087,12.9958361665074,12.7919489030952,11.1532510315265,13.6297815147675,12.2562354834149,12.452401232519,11.9852724011708,12.2858194727225,13.3165133008739,12.6937058670517,12.8259455742131,13.3399100795024,10.831124879787,13.2670127307045,13.0600751301993,11.809035850875,12.6667388194514,12.7841381547901,13.7826834195823,12.3113108335848,12.3811169755276,11.9652882413413,13.6609818760858,12.2494599380115,13.4911039197175,12.8585053718622,12.9769819658062,11.475951629802,12.9363818737512,9.76846159444609,11.1087526914045,13.9793081364429,12.4393710525633,12.5559914723755,12.796692559016,12.2819446463158,11.5199322874446,13.7409950662785,13.5818934558572,13.738581076629,13.8186974348583,13.9373650513142,13.0678049897775,12.8668704850373,13.8712951154653,12.7654634526501,10.4700362401323,13.9476460915166,13.615311154893,12.5636844643964,11.8102360688771,13.0707617197951,13.0035737047632,9.61144766746547,11.1291985225227,13.5539992545766,13.5041170259991,13.0794729128658,9.528239246947,12.8092012940492,13.1075927963721,12.4292631434445,9.89427141950024,12.818210376449,12.9466792862635,11.4226124196185,9.46514250087556,10.0962458940844,8.23364798307175,8.57604886332459
"C9J069",13.3472373208362,10.7402348314777,13.0435523141017,12.3592885145187,9.43666349709665,12.7250959390462,12.671896025766,13.5200088122352,13.6258790373385,12.5115264097054,9.62189859757991,12.4582366078042,13.7284973435335,12.6757431334575,11.2505489796397,9.83824069268192,11.5532315965909,9.63886038193075,12.5741215713543,12.9987310271518,13.747649221143,11.3358825403338,12.3279935877501,13.8339013294785,9.05247205738453,7.4762610660166,11.3689943003539,9.6065036484774,12.6806566869119,10.7627621122137,10.9114841905853,13.7383016001529,7.55304004423222,10.2979900668361,12.2215136416367,12.5716101139282,11.1114082891857,12.7515027818918,14.2551929870031,10.2429506032175,12.2566759801097,14.3005645173468,9.63940715477333,10.8853327026201,8.14744870564765,10.8204122146826,12.9715442279026,14.544914525317,10.3573258596264,13.2669502367416,14.599182112212,14.3652723987078,14.6836704969281,13.1112987142583,10.4162931668654,8.75174109501314,13.5818174477099,13.2892089107678,10.512581279078,10.8583837939219,13.0679250638236,13.295967543202,14.0011131019534,13.8599851806932,10.43614737402,15.2849256251458,13.4029100560712,12.1076649119028,12.8850735746372,9.7972444504091,13.4695739218824,14.7651828369634,9.89236086603159,10.626683379606,7.8085716869505,8.50614328960817,14.3535240035282,11.2099894159464,12.8402078734603,12.8405191505539,13.7025580403911,13.6493212822443,13.406541818775,11.1347023706227,15.0229860209029,13.726608679385,12.8424706544295,8.07600966504684,13.7931532478959,12.141223292741,13.4990678868807,11.653116330302,12.0621782024922,15.0040332861619,12.8599050569123,13.0288474723325,13.6952823313027,11.2283390613658,12.8368124648416,14.8897138753572,14.3684466465029,13.7924777343741,15.1876219938291,13.6616960398742,13.8222174799553,14.8559977480571,13.8031873696199,14.5347475767591,10.0189778366583,15.2306138216035,15.1703850269739,13.5585700458073,13.4674255258254,11.8206097659187,13.32100165783,9.79345087969587,12.4167256087755,15.5171609023069,13.9867071081205,13.2483345585743,12.0593155036703,14.8875343641959,14.3550531003259,14.2093341209242,13.3853565662582,12.9193426769265,12.8968659483845,11.8355134777165,11.6388432534458,11.2526654324503,9.50733071428055,9.02389346333648
"O00160",12.3399313758735,10.5452172901579,12.9857244705828,12.4850923866775,12.7199552740371,12.2180704368846,13.4475627059299,14.3762078001663,13.9316160339759,12.251253069219,7.73627213513362,13.5291824203513,12.0001831731903,12.7150928045339,9.83919143540997,10.1831415566208,10.6840154477906,10.5814340946966,11.4238800652649,10.6637304315468,13.096002223373,13.8267250193776,12.8917116418016,12.2783218315286,10.73803808805,9.24539664753808,11.3685763937093,12.5381669028568,12.3446503549009,12.3269596740155,11.1392354394257,12.5352477262506,11.4316825583901,12.7317359249753,13.5718919794709,14.0457738579902,13.8673889434199,12.5458015564973,12.0824251476124,6.90336420784584,13.0275589303736,14.0055991247578,13.1459516434802,13.1839613650081,12.7510235359346,13.3287292821349,13.3797508263942,13.8292525449541,14.2521802426113,12.48015237768,13.0459747994958,14.2740570038246,13.7284841185479,14.4443027916096,14.2345536236869,11.3205070704536,11.690734504655,13.2196383222988,10.8689414081463,10.4805148773235,11.4784889179142,13.0780153678447,12.6090620597113,14.8980258110737,13.2000662430147,14.5242834985482,11.1706583705492,13.6187920908801,12.5626712671106,13.3715081560269,13.9510291916571,13.6495236683629,13.2501253228824,14.0648805099041,11.0285173834981,13.8196783724153,13.5480741465579,13.5538795038458,13.4930193784426,13.7286222859899,12.9979999613383,12.9788927760242,13.91928062661,13.5535089090812,14.4942994745712,12.5124437723212,14.5647684352728,13.3327617740813,14.3619554897281,11.7449343920036,12.6483705016542,11.6619867994462,10.417749816884,13.4899991695803,13.0314026956132,13.0485598270909,14.0808389471846,13.7081867905904,13.1444262747239,14.1555937186409,13.7032468846111,14.1508320870957,13.852213600515,14.0102137240833,13.3407232423446,13.6219128781258,13.9301232144336,13.4783614735158,11.124420863956,14.8644660928281,14.2086338082373,13.0404139828544,12.2735999762711,12.4902390803635,13.5677152414119,8.10569789014237,12.2397705436541,14.3801149526537,14.177072607315,13.9510593084563,11.5315172845817,13.2675439799652,13.570876456343,12.9606697910699,13.6962194605447,12.6454322893569,13.8934257849657,11.6475531277777,7.32727631154335,9.19651232437441,5.28036197397356,7.7641580350577
"O00483",9.56501720739204,8.24374143174149,12.9544818317475,10.4557767005704,11.5803561244257,12.4075610540821,13.0085472371234,13.5887097358183,12.8708042827186,8.14337909617876,6.98226789385898,13.9620745273739,8.24960060915008,12.3141504473577,7.82303969477881,8.42885750320306,7.90792398307087,8.09307240767679,8.58735661925832,11.1525714741672,14.4355025436155,12.2954771277142,9.42406402845869,8.67788296831715,8.28016527404517,6.71346260386246,6.75950127147612,10.54569960865,10.6308632618721,10.0271256789724,8.05340221856524,10.4981820901974,8.55413849831042,10.8293457059973,13.1144849294818,13.9786967733272,10.0875797880581,9.43356433716822,10.9499750946242,7.77727658888666,12.2480920359271,14.0052010992767,10.5271740801953,13.0382841187361,13.8391367252432,13.5529083366551,12.5512908695428,13.6211799700224,13.8265640081076,8.25425106460559,8.39176384481301,13.0678115695926,9.38776225459478,14.133528793068,11.995293776034,10.3331339284826,9.3808812452349,11.3260307605989,8.62545949232746,6.92600044429668,7.78909174831459,13.4922932485287,9.26676953899143,14.4806811240288,12.3185176124712,13.3551796434953,7.84122992741456,14.4597763808504,11.5643102326509,12.3166366447211,14.6694390757784,11.6713199110549,12.5204217251399,13.668031824295,8.28975480384538,14.6580503368895,14.5225984102299,13.9331231143268,14.9016082812282,14.9103692173507,14.2731596252844,10.5953311871247,13.043816167549,11.3549166668809,12.9668735244011,8.47319555580924,15.1548976934874,14.1335900158234,14.3791171637018,6.91158696016112,11.1263210768208,7.244157831006,9.24964807624621,11.410039711245,12.0391988886502,10.2515825681513,14.1873622720282,12.8144718454537,13.1292891378372,9.4974892535552,12.7068907599595,12.9031474039037,13.3169807426173,12.7356747796653,12.5692081739293,11.8056939283615,14.4504644085166,14.5303192597969,7.94677540074249,13.7507637756068,12.8680889565962,9.44760153049092,8.69454571368469,7.31790787921556,13.540452761521,8.47998039324696,11.7134973005647,9.34903951820234,13.0519059044966,14.5912843277585,8.45185079334119,12.6798534941769,12.7519180547504,11.4221402830462,9.47796417719192,13.4782211859454,14.7251710743767,11.5225081351495,7.93694296009095,8.02169718962361,7.63108113549956,7.7382704004974
"Q5IJ48",12.9339777798054,6.23742064161121,14.4054065165563,7.18216718909369,11.8604823060164,13.1204338418936,13.5184072766714,16.0910776848638,15.411340461632,12.5456357819155,7.31636272953687,11.2437088431298,10.0700450829793,11.0203457189915,6.75543205802215,8.25125453621017,8.59334673479835,7.56334681736869,6.35815855337531,12.9714640121103,15.0315319572283,13.9041824920955,12.8475854159775,12.3047045039993,7.38643586659954,7.20725879163715,9.08067461656064,9.89621389507534,6.88378774775231,12.7345494985593,7.76642730789861,13.5039465880068,7.0336985817837,12.4461598045736,13.4642507930356,14.9980723392278,11.8755265408324,9.71555027794098,10.040371852859,5.95734385448535,14.0057585333943,15.417971510389,7.47718207874334,13.5541469152493,14.0744179769116,15.865233410772,14.8262233482761,14.3548078608586,11.0645938261722,12.5269442884001,10.3858844299704,11.0800089461652,10.4061377970682,15.116993677547,12.0134578048196,7.29615527881198,7.4244632513076,13.3175714049681,11.8936398302446,8.0041691753723,7.43458567609628,13.7786073094954,13.0947339870173,14.236178963845,13.2375378092243,15.6330441610596,6.6189114682059,14.599230700305,10.0803339198337,13.718509612634,12.9697211468743,14.3497648515954,12.0565191528403,15.9930252673582,7.26718683330093,13.7422407492196,13.2374993108109,10.8046500413667,14.3135494814781,14.0287282175551,13.4276821615269,12.9272714888232,14.6848878583355,14.7942470605262,11.8091115367129,11.763003802007,14.9893078678215,14.5591214240747,15.679511182224,9.84927197752146,13.5991176803733,7.92750799720263,9.52956297732551,14.065949190113,12.5108247713216,8.94848550300149,14.0070095995036,14.3973520170317,14.8553551717525,12.6337852692972,13.891843907629,14.2861013083698,16.11612801989,10.7946300454697,13.903873662827,15.4591383541753,14.9218105008509,11.0380326602094,9.57712080708996,13.4679604176964,14.8121374442534,14.0865509236535,14.6032262886044,13.0035179121086,15.0554303087857,7.65497853269562,14.2157604883863,15.0911378780494,14.9818063667574,15.7165628392913,10.8477022228795,14.8790865346325,15.2088732031035,13.9298370640804,13.4334219284656,14.3404553288429,12.9530362846809,13.3636278653558,9.11335434158044,7.09406177172121,6.60521064071951,7.24179830534884
"Q5K651",10.4727359152789,9.67009849683459,13.5566019395296,13.1741600802055,12.6261990689265,11.8694704947071,10.52514397602,14.4516111806411,14.3767683206775,12.3979320694471,9.610718565602,13.7885147891475,10.4785050138483,13.6841363114884,9.92817945388038,8.83945819730587,8.69267064717902,11.2836671674915,10.4638590805249,12.7712168571126,13.2693119471792,14.3420618687977,14.0613955012119,12.5375963829972,7.75173540682698,7.88589166198762,12.1439081449358,10.4362155674958,11.7756239854519,12.6144050626834,10.9672549717351,7.97404292483336,10.7665990369799,12.3860191686279,13.8020140614209,14.254181908506,14.1930599832973,12.3757156896323,12.7255799968617,9.2486507670067,12.7375333062739,14.3481609373212,13.2094773454604,14.1094253054849,13.3995970043577,14.2389447517737,13.386981726554,15.0784424758638,14.2017410547213,13.7999810040804,13.3333225958222,14.5521256850718,13.9317578432794,14.4935745480029,13.7386577597886,11.4362155674958,10.7349670567246,13.2840291692841,9.37748678256609,9.74220805085768,10.4761577344579,13.5982564343478,12.8078867280896,13.9363136452929,12.2757114001118,14.3695233923954,10.77455851624,11.9834870702332,12.9150408679194,14.0403076401523,12.7189163486197,14.4265814809285,13.9004214806884,13.7428292999223,8.91765237077322,14.2433596934162,14.2530010427998,12.9616150193851,12.9049538825366,13.9743428159086,10.4460437783794,13.5047187316734,11.5279366588253,14.0610365863102,14.9113352548575,13.3870915584869,14.7196250706427,13.29405056679,14.609450927493,10.7511779175927,12.741549399187,9.7618153231677,13.5244458995336,15.0792480473217,12.4693419525352,11.6184614345741,14.1094310648134,13.5842668704666,12.7896156897049,14.4194691423169,13.4047306669755,14.084680586829,15.0502204122522,13.2928114453208,13.4329718197974,14.2697296401843,14.0728587955774,14.8617663472841,10.034114943257,14.943404505722,14.6305950776396,13.6899979714194,12.9673388391395,13.829506324791,13.5963606136504,8.37738368549849,13.0452553569988,14.4221587219914,14.826282371641,14.4194075767385,11.4574316410573,13.6626163723968,13.6270793085917,14.0174558833323,14.3272545520528,13.7291447531671,14.0209905382573,12.2525216683326,8.46819170055714,11.3501645304112,7.09195866407935,6.43853336360473
