"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"A2RTX5",11.2911338388032,8.20740057260616,12.1388642898296,12.3106125317131,11.0771801162435,10.5240335124003,10.9784439507712,13.9541475651502,13.2723519891672,10.8701768601957,6.96990484686212,12.7114087829241,8.76893654144239,9.83250302584637,3.42816130029903,6.12529983035782,8.64923565657338,6.30690811952065,6.38979769962165,12.0052928905365,13.3447801802459,11.0222156908682,6.71143159353656,10.2016515950132,7.12946748728494,3.5967199720345,9.45754429271057,10.7828788637781,7.36342281298054,10.3702584514388,10.1861691512983,7.91767057762643,10.4536827787506,11.326196811396,8.31902843883399,13.1182587581341,13.0256887894452,12.1227665515882,12.3982080563114,4.12392666163503,12.0021597870969,13.1507110590754,12.9727615757699,7.92723804161033,9.55214436114071,11.7586312689095,10.8910586127366,10.8677217721629,13.0457123886952,12.914757770566,12.4402364386212,10.0015829616937,12.3752525356733,14.3464688387018,13.0745031529545,9.42512600017266,10.678317161358,13.0713166553152,7.11762381943231,10.7558295457274,5.85492468751866,12.4995391246254,12.5786732081456,13.6819822881823,8.36052156881053,13.8605885434018,12.4184024531661,10.2778123654277,11.4216060356079,13.3968821154164,13.4264654478292,8.98433258571071,9.60613259014414,13.4268505137617,6.42756490664426,13.4870402904092,13.5873869748851,11.0819258196671,11.9938734571756,11.0669350307053,12.9491091218872,11.9009093946461,13.2898532791666,12.4144424736964,13.7511686059963,11.3964276639933,13.4898814808603,12.1025277708172,13.684567041347,10.0971371337583,13.2472641135625,10.5434850008158,10.8714106534411,13.6300502904657,11.8321149112991,10.5207322867732,8.892901679438,13.838613044197,6.65513646001115,14.2216521789412,13.2081041144076,12.3693236340315,11.4899155551162,11.5762273993649,12.6979023988166,13.5075505577113,13.4343415947271,13.3736793441555,10.3554964717558,13.1684179479783,11.1798333913395,6.27863451960604,11.4063036142666,11.7027178972432,12.0971585278683,3.69465971585198,8.77746063866694,14.2190320220093,13.1257899251033,7.31985782294843,10.1149890656626,11.79726379666,11.1846836141569,12.8446787303642,14.2991771623894,10.7269678637119,13.2703717109745,3.63717288754031,7.75151280594141,7.626776730519,7.10956366954171,7.28533748613809
"A2RUS2",13.0587054928275,9.22749357074507,12.6598118531002,14.1931254889258,8.1730288891324,10.6672381366497,14.5765307356581,13.4823330550813,14.5325420667924,10.7787389285639,7.7526871082488,8.86601132793037,13.7358787190827,14.2218569164877,8.59611489037471,11.6149703925785,8.81381038905005,8.17281718153468,10.5727355618823,9.09770072849524,13.4165703052907,12.9230737264002,12.8338137679044,12.5007019543744,10.9989638240727,7.93651646883837,12.9136622007217,8.16724477208368,11.6943198152424,11.7726316643066,7.20650612090618,12.10520490274,11.487533178624,8.7836338818122,14.4614169633817,13.1372214063799,13.2243139296054,12.4646589713117,13.1764918640428,7.87065015065298,13.1138144562933,15.1056868825444,13.8868785635251,13.954832206505,12.3758331127373,12.9104107300986,13.5164690265097,12.5718888487661,14.3016665077993,13.4296709029394,14.4604634397781,13.8917204539789,13.090171916103,14.1094396104998,13.7716331884349,9.48032162352442,9.27574834843327,12.0660845198027,11.6752819399055,10.1246222509648,8.62923387613668,11.1249968161489,13.3052120470859,8.67285793657829,12.1639063460177,13.4655506772414,13.387731381251,13.5684865115376,13.1192590965143,14.7854278856449,14.1462978573385,13.4662988036909,13.2618701200703,14.625223649096,10.6741262580705,16.4848191656431,13.1580305707519,8.14506052414211,13.4347490100774,12.1795401233723,10.0429808353354,14.0912374908112,11.5720560194809,13.1437234973538,15.0745060503118,13.4785036871098,15.0294290025697,14.4116858509044,9.37177664754595,10.9241795019715,13.3751133742284,11.8012178941656,12.0754226658062,16.2752412867655,13.389082469739,13.2321615889093,14.2656190736259,10.905013461982,13.5664007482379,9.81934003894292,13.6182631934219,13.9400856908174,15.5267801305254,14.8405121743608,13.9806917077632,13.7217618592357,8.03884726616576,8.5218044698726,11.5876003971372,14.812014935915,13.9195479834471,14.6628029742967,12.7923219754581,14.6820634074394,14.9247494391529,8.4305408522248,13.8812655960851,14.8571962566634,13.4814916332527,13.6692818111506,8.27570937921957,13.7805440364969,14.7427400552856,13.1660877891691,14.6463957827486,12.6292805353585,14.8122870607817,11.2096604511851,8.35048522896812,7.84065035038904,7.99712251381177,6.4922586632907
"A4D1P6",12.4154658570883,7.97530023241036,13.5418764764951,11.4303384499877,10.1265189646148,11.7689103099989,13.2783852409699,13.4049507841609,14.2760987748393,11.6051265385568,9.86702677522453,13.7322674190868,7.85888066307811,10.6797695186223,8.82158415251684,10.6581338272207,10.1679672671778,8.95465271684828,10.86489117679,9.16200401137753,13.6306917009804,13.7868776427005,13.4803203668846,12.4499750022079,7.97064382045367,8.76414673309646,9.55461378056903,10.5932933344905,10.7547921263648,10.9730741134471,9.76748175248211,12.0426170453336,10.6995754540934,11.8183388133637,13.4766111254417,14.0474202884351,13.3494823234301,10.0730689715543,12.9835363059892,7.63175291055975,13.4600567910639,14.1009084710665,12.6337794106342,13.6944893771489,13.8252399243004,13.7740799549252,13.4141621910361,13.6734610168995,14.2376526122526,13.065502121785,14.3019432051699,14.3421308936993,13.7299585785375,14.5754334320472,13.8498140750703,8.29577645069289,11.2286829142156,12.7776485760455,10.1079525625812,11.3333730433116,11.6751460256283,13.1903771597766,13.3517050126641,14.4450241734117,11.7970011235373,15.0737091269559,9.93806455815907,14.6482784149782,12.8483206511486,13.6043290320441,14.4558080290535,14.0711763149422,11.0728056985619,14.4137777080033,12.1463056924822,14.2828860164806,13.5261764024413,13.8536322395981,13.264355180911,13.6551379917166,13.7778887101923,12.0818325101925,13.9899056572591,13.7210117485509,14.6089259091438,13.2029777675109,14.5991805732729,13.8087183469438,14.2359412997508,10.7228617013425,13.060372532434,11.9448762909413,13.0082366542711,14.7118017301167,13.6219648382682,11.8965249831753,13.4410145727259,13.7837042630991,12.6559764048645,14.1431008521506,13.4527152539002,13.9799500345138,15.1081920606373,14.5943448824156,14.0303188287204,13.1170046608,14.4431601600102,14.1408986169144,11.0846448570186,14.7237673478449,14.9503147275666,13.8547783036934,13.0475196661529,13.1323060238734,13.6417958619415,10.731636231003,13.1296408003791,14.5733514711228,14.749264818681,13.5208939994426,11.0515911365136,13.1422901934157,13.8440889628704,14.0966897400124,14.264807893501,14.3410131848154,13.6606769271514,12.8693059867959,10.3609576990011,7.65065013436981,8.27212637385202,6.15504075163727
"A4FU49",9.60088299036087,9.83243176663584,14.2755341508511,13.3360171766811,9.3693650001676,11.1579476986644,11.5346798515527,14.2014108003124,14.062949507839,9.53731637802985,9.64485587027932,15.4611720937417,14.5830433711077,10.3914178392439,9.56517969607313,10.1367734427788,10.1348743271264,10.4448307143016,13.4495812303326,14.3106671680361,14.9067124369304,14.2731050220783,13.5700245290714,12.9744941940483,9.56973937946183,9.72300964450762,12.6496486195579,9.65487240808449,10.5630240571535,8.91215320484157,9.89275201967116,12.9594586464127,9.24328263990525,9.90113561533756,14.9603640088778,14.4267685905666,13.829028964916,12.9399524981068,13.469437796523,8.82414097923482,11.7984954744502,14.6807819393577,13.5014774272391,14.1389140895257,13.7315301627903,15.6538187499092,13.6081392908434,13.5269322470996,14.7705606626179,14.6997351051645,14.9693743583652,14.885879166689,14.0025513411037,15.2609573153237,14.6934742040761,13.0066932440301,13.5842578877446,14.5227810450571,9.10131190215587,12.9297304845659,11.5228319566661,13.7327956446434,10.9657598252362,12.7568232845265,13.1522715558809,14.3121029859611,10.7619117032535,13.9055286043436,12.8115904761794,14.7157535266246,15.2955308659919,11.7053678009509,9.74765483511461,14.8097335373107,11.1568684231854,13.2648775340246,14.8917383466592,12.4484604697666,13.2179264635287,11.4221059475386,12.4833181985508,13.2319711391628,13.6509395370186,12.1386283651212,15.1773619196574,13.7540531360063,14.5452925062124,13.9744941940483,14.8345941508862,13.8383175815122,15.5945581556311,12.9179106656819,12.8499914431793,14.9024184325462,13.5650916639346,13.048465241927,14.9988548290938,14.4437399137969,14.5192446596244,14.7966676095127,14.0889701384207,14.3872185100908,12.3906611616991,14.893819656015,14.9784181423521,14.0766463454447,14.5333722309626,14.1159122560597,10.2768466953035,16.1132334547551,13.7060557803172,14.1816018869338,14.0085247014891,14.5526262016002,15.8762034645576,13.2469094518138,13.2698571946549,15.3354509983244,14.0016412879366,15.3309095366763,9.86492517502578,15.3105400899995,13.9581756772155,14.2367318430901,14.1554507313121,14.1637403823463,13.3974816062467,13.7600826845926,9.16604463387193,9.92313794473461,9.22982822567617,9.92407879537628
"A4UGR9",11.4420236609899,10.1796147051934,10.9346039156856,13.6519056170737,11.0719260644195,9.61846589011924,10.1399808842733,13.2866988405984,13.0464997360852,11.6992400629603,9.28745315014731,10.651385858815,14.5708370256284,13.9018867945005,9.41206550471347,9.46707419065213,9.55514980597485,10.1465345603941,11.536086793656,11.8561479052579,13.3641141307716,14.5146438726044,13.7275019647631,11.6309074187413,9.41209369127553,9.27929642109014,10.6860093988743,9.47867181365153,11.7569271476443,11.2663928919198,8.47522820509956,11.2168912757699,10.1831319582597,13.8477981154105,13.3419330612914,13.7720577934159,13.9395789542949,13.4678662776973,13.7190881134344,9.23406571959976,10.8426459432438,14.5101183025443,11.7236964531569,14.3223003361669,8.14845467382281,13.8249505739974,14.11633024393,13.9437100897555,11.274552203305,9.32873362660515,12.7869823323767,13.2778599046896,12.6856867117446,13.4079267913188,13.8780593613085,8.90684430517373,9.94859125989447,13.7431906150211,9.37633744507454,11.5488545354583,12.4281230425887,13.0250969591767,12.8759819410567,14.2782120801718,13.0872524685757,13.6033189084248,8.2472143883888,13.7022045662202,11.7501418869794,13.7664549798626,13.6818667557504,11.8895094006034,11.1817823922051,14.2558413874399,12.2787588801078,13.88544885013,14.3888912024303,13.5001605024631,12.9041028890784,14.0746950932462,12.8527109541311,12.4845353150416,11.9427087466672,12.9169718210385,13.468751633346,12.783291286586,13.6614956847675,11.9829401029935,14.4980022678197,10.5702507729665,13.2587755102324,8.74966454909754,11.2940727143007,14.8368027708423,13.9010005488851,12.9546006297441,14.3219224579008,14.4169192762284,13.0888578449938,14.0008916801953,13.7935373450064,14.0282420902068,14.0043298578196,13.2506598431258,13.0610321271398,11.9696077944664,14.966003229588,12.0613097705498,9.55257388384979,14.6840628634572,14.1931087549975,14.6195794081845,13.1676397527475,14.0746042234457,14.8815934720263,8.33107537278454,13.2868497556752,14.5158527079433,13.6604777185208,13.6581324589684,9.09414391399279,14.1729816465283,14.5471739078778,11.0704003148181,12.9253601326542,13.555174507106,14.2454579579665,12.5328392845226,9.17494321727393,10.4805281184313,8.98932929229891,8.01989727826534
"A5YKK6",11.844720528194,9.26593139131275,12.2448403860417,11.4615737709187,12.1298667410362,11.9891704823963,11.6497676877807,12.6838934323275,13.3445374493475,10.971348189238,5.72809502701839,12.1297262319776,11.3141787249895,9.07818276256451,7.00029069203212,8.50332167770305,7.34137186897042,10.2205981336526,8.64168955839774,10.0558558240343,12.9635946092216,12.0707857333458,12.077488569628,11.6990304056573,8.09668921160263,6.48930506471016,9.80069487920196,10.7156644565761,11.2687939244715,11.0144602609431,8.03366738758756,10.6791602975576,8.78323530922018,11.1399946348733,12.9019583587507,12.6844819984941,12.4928683703197,12.0681321084108,12.3208226068916,5.8644344408207,12.6343930510653,13.7657276098177,11.9548488338527,12.5382946490207,12.6659746817154,12.1885122885963,12.3013896597313,12.2125475144067,13.2824833621848,11.3408692040356,12.0399628536079,12.9572892620385,13.4048023478532,13.3194932223274,13.0081266699332,10.5138489396725,11.0182638633501,11.7849942865759,6.78876178912208,9.18352073690786,11.2624554033634,12.2346676417193,11.768151902345,13.0836538450031,10.575218659657,14.1728758810772,9.1692288022361,13.0020252732345,11.8977621120414,13.4340336713832,12.396984483541,13.6279573054232,12.804166154028,12.7190068378434,10.5949719619584,12.9744680260201,13.0895544401773,10.8776525269616,12.6572865410298,12.9599482734427,13.2451032477229,12.8578748770666,13.0507955758019,11.760858345972,13.8162963102487,11.7443712724723,13.0569349182963,12.4316830158069,13.463478522071,11.6415688282751,12.2378074737231,11.304745473982,11.2330394710222,13.7647165581179,12.1473659404377,11.1529185761366,13.0954298659149,12.4462954211296,12.0349727323323,13.5656368552906,13.1440886215964,13.0523857469463,13.9279572730221,13.7352149381875,12.8788800101385,11.9821634375815,12.8407975018485,12.8071217654852,8.57435766639464,13.5622994890387,14.3184668545643,13.0069958845694,11.5652913541658,12.4382370305517,12.5545637143314,8.29216044812668,11.1212349789286,12.9442257405126,13.9200256310114,11.7331461887764,9.3297335391843,12.5182786822933,12.9484424208455,12.4568380107131,11.8368284185675,12.3258803489395,13.3494724543974,10.1511223932651,8.89273824356176,5.96130572959201,5.75079885893319,8.55091062814135
"A5YM72",12.5687932605954,10.1628798789605,13.5678685709712,12.2060455448956,11.471091100536,12.218113009752,13.2260183091605,14.0525991536813,14.0057725280682,11.9125401319146,7.50976122032536,14.177638731733,12.8452659874876,13.2910949195578,7.87276549873806,9.22239848219121,7.98226926058139,11.2831009549005,11.5776327551852,10.5672317613025,13.6569841446963,13.3928768976403,13.1149504578731,12.5562054087564,8.72514551034038,9.29554710683782,12.5716769646404,10.738421375391,11.8872536669342,11.8036135604578,9.88429068364048,12.4646130587917,9.60316223778352,12.3711572964064,14.3070262891659,14.050790340414,13.3513437228088,11.6563502908598,13.337743973011,7.20503425564365,13.3861968143164,14.0285570304619,12.2964758742909,13.6316623759015,13.5112351610022,14.0016968034127,13.6073049396904,14.5769293311084,13.8624867535684,13.0357255686923,13.9352581461611,13.8219971221772,13.6406846379886,13.6439803006522,14.0192219498253,9.90699371777342,10.6565988495953,12.9303131601381,8.27401877492917,8.30096144517301,10.013846018188,12.1316638911265,13.1966746636619,14.1576062466951,12.5519057712628,14.3062746069415,11.9184501988796,13.8714759249369,12.2909263037378,13.5068052909326,13.8119135735927,13.9441969131169,12.157416203891,13.7318609971382,10.032270748463,14.3227494710571,13.9208930215263,14.2600216595781,13.9847214559301,13.4985849961733,13.8264615470518,12.7879178552497,13.4272903398562,13.5195129467033,14.0695123211551,12.7643558841507,14.4800541706351,13.5818920291139,14.30665742744,10.2912750591597,12.8743561439943,10.689087589904,12.1783402820047,14.3504933771917,13.3568266146773,12.6366043084164,13.9472204219779,13.1653685268623,13.2884590584541,14.0109987455813,13.8103833492379,13.8783303516718,14.1772083570222,14.1473783173652,12.4649323203966,13.9485488885887,13.6112408054805,13.9528665346392,11.4855523205712,13.8691907426979,14.4296205218872,13.5100113126101,12.3540034642971,13.234344766861,13.8267797614721,9.36505001047819,12.971720903502,14.1634389556557,13.9248813423457,13.9864524356026,10.891713556526,14.0021465859832,13.8464779315739,13.7922690013178,14.2875101137688,14.5113731640483,13.8401433068317,11.7336721559495,7.52523447464607,10.1404973868468,5.15097086250616,6.69512759521823
"A6NHR9",12.2794652211187,10.5504944010273,12.6308862655659,12.3449808789627,12.0930801841911,12.4667380038427,12.9124346427152,14.4450793534135,13.8226285865097,12.6537242217664,7.61206615901962,13.0765739458842,12.3784546318003,10.6261819529454,8.7447192553384,11.3527488652482,9.22361152381659,9.21405303958902,9.76950414335198,10.5812778724595,13.7384120761945,13.1457475863889,12.4936462265525,11.7843021620794,8.74921459759243,5.93470698494258,10.8124931508207,11.5473090278514,11.3993019360408,11.4247080691096,10.9380238314514,12.4086816498053,10.4066343168404,12.085097323941,13.8350972356176,12.9189881853911,12.4072652174635,12.0927122891566,12.8304356058616,7.9930210130153,12.779271823895,13.9683323466248,11.1366199426693,12.7532400687196,12.9674480745903,13.1442636871799,12.8904589428664,13.5864790994581,13.7236333871733,13.1636458460252,13.3958028081159,14.3418205164908,13.6103978652558,14.0230980553096,13.0949863118849,7.15935542992402,11.2149776541701,12.7284319752863,10.2205291519954,8.92273216325925,8.90409798660672,13.3859218942598,13.562119834336,13.7736242395202,12.0303100198364,14.3372065110942,12.1089449871463,12.5876095171252,11.6819258374385,13.3583794579149,11.8767335795833,13.3446890993708,10.3252887696266,14.1293047346967,9.81142859442252,12.3504874931651,14.1750979085757,12.4933326906208,13.4028351670711,13.3291706503164,12.9898759916632,11.0975246306552,13.0873026124102,12.7553696456511,13.9830745667953,12.381191224298,13.9830094395438,13.648832726795,13.9394474383754,11.5072258661332,13.5050543077673,9.68301923105261,11.2235434330435,14.0421860166153,13.601916462386,12.8220231560323,13.1070287573875,13.1495990879233,12.6953425060882,11.9919164920867,13.8168042172715,13.4504800017181,13.6359421167825,13.9167988202704,13.6401070216987,13.6217473017205,14.3690746332096,14.7535614762037,10.6629648400461,14.4771497125879,14.4224651405525,13.1460933675833,13.2315821807873,12.9154591485142,13.635159093813,9.78344268592545,11.991390798826,13.6291841402906,13.9307312482273,13.7597764284399,11.8196749438134,13.3257440181306,12.4898078347532,13.61151066236,13.653137997894,13.7995630142221,13.8099408698053,12.0982775335399,8.92692954976206,9.61036466916209,6.24396953540935,6.55126462701281
"A6NNT2",13.2015264896727,10.1459321458205,13.1642221781878,11.0748104611605,9.46045631320276,12.8738032361371,13.8887336133335,13.7509020806706,12.9206749133451,10.7389366816761,6.9896017604938,13.677719641641,12.8313843444198,12.3302176469469,7.06556778279495,7.28389703505076,8.92894515463677,10.7174432962081,11.1061646614255,13.766479467704,13.6618997028591,13.4789571052379,12.652844973002,6.32962667172843,6.82189795711938,6.54303536297211,11.9542817725332,6.88689918915712,11.0206247064223,11.3294215261742,9.88662680450632,13.9146604595594,10.6378706399457,12.4894956618168,14.1236091897907,13.5560746912108,13.7131415270688,12.6755361868991,12.6140217920804,9.86418614465428,12.5536957623302,14.5446862712258,13.4277904129775,13.9685374980889,13.4986081928193,13.6484699370614,13.9903957664032,13.1439310849768,14.8958683745519,13.9907905110315,14.9897455367446,14.1393228418342,14.2652447513388,14.4367219860225,12.9330136538257,12.1848503081141,11.8341812797922,14.3685002450798,7.1201580643636,6.32267965065564,11.6869094359681,12.9318528048359,13.5077946401987,15.3934251316411,13.4633389688228,14.0345362014224,11.2982513947825,14.5946475913159,12.6510305567098,14.2042883246614,14.2024106875104,13.5805977861712,11.8837870626706,13.6700891926724,12.357002092265,14.9597180591836,14.461651852664,14.3318310755234,14.2542030830654,13.4369643311336,14.3998855342467,12.9585614269608,13.834116919544,13.1827963746596,13.0990093589976,14.694221674408,10.7838013204712,14.0138467435396,13.8630309025324,10.713386514937,13.4783507180953,6.93355658820498,11.4412652690726,14.7203768862212,14.8683065724558,12.7915116469155,13.0926609833764,14.4950798239208,11.3430891086733,13.4068144538019,13.7455290100464,13.807329772565,14.8608469124813,8.59692134734386,14.4707859557643,13.5162717039572,14.7024069421367,13.2036697354693,13.0623203616112,13.0701209444768,15.4133236497354,13.524212501594,12.8171118890729,14.1022115660623,14.1909390822154,12.1135149039287,12.4835878371477,13.9185289719631,14.0883559806195,14.7357936559682,10.3209065291375,12.7783518634955,13.517851187081,12.6702492655085,12.6713191547255,13.6969709968285,13.9720466501503,8.91441227623411,6.66920626193343,10.7743304242468,6.39645393905371,7.84475820564247
"A6QL63",9.4509695419971,10.180983447617,12.6423224121856,13.9556268410381,13.8727079085408,12.6863762402579,12.8809823778735,14.5158543943294,15.0350062086924,12.9836701945856,10.0561352504033,14.9194622870782,15.0749620017938,9.45385184260803,9.95572478998768,12.0384689581757,12.1240012177247,13.4088069427438,10.8804778043304,12.7838806020531,12.6194287075411,14.1459149170264,9.11024823155606,14.0519240159942,9.51911441907742,9.96646450779434,10.3477858425706,13.6737396414083,13.0148415065312,13.9599353677512,11.9132492177156,13.1408736976616,11.6605328343794,12.3549454709932,14.0025833673507,13.4717441591611,14.465229879546,12.6592483838728,9.29675379435623,9.92811713744048,13.2214570662914,13.2845892556353,13.7478769376147,14.2629696068706,12.9870537204488,14.1118450084092,13.9801706833188,14.0132666999589,14.1581753524356,14.2486578786386,14.2723414754481,9.90234481459093,15.5686394994284,10.1360898061654,14.3770441820464,10.8552538261818,8.34889631602853,13.8633198094982,11.7092736329096,7.83544862822214,10.2141554489908,14.1373937650237,14.6494075264164,14.1832834631393,13.9306892621076,14.4881355933536,12.0806910846897,14.2094851628271,11.4327414222282,13.7518158980591,13.6175401308957,14.4175639744556,12.3864941321872,14.6979320255757,11.4099164925017,14.9995666510544,15.771936446039,13.5676740251042,13.1867126436684,14.6152620451308,13.7010601758627,14.3958559954708,15.0579277145698,13.769431216112,14.7026694708301,13.7657724533634,15.7118146089603,12.1570559746763,11.3911391186564,12.3190458822604,14.3875408380862,9.63116805494195,13.8627167649646,9.53877496793425,14.6312936909324,12.2293485165037,14.9409128607722,14.0531414503891,11.581884898623,15.5512426780869,14.6140511318685,13.7082341569974,15.3064918365079,15.1463924515003,14.6675522591823,9.79214856811686,9.91193343819272,14.8415511376592,12.9957063779889,15.5175967524739,15.5163109378024,13.5627687249236,12.5619373234411,14.7610520159279,15.0383739887908,10.7454754934925,13.0231449646058,14.1504703837847,14.1097495087247,14.5937227652628,13.0978981002632,14.7938705100088,14.5405976739045,13.6770292550527,15.2301051222785,15.0285419290407,15.0435655347982,9.72676437143372,10.1069645765648,9.60827861161117,9.45502874762588,8.62318953537572
