"","HC1","HC10","HC11","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC12","HC13","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC14","MET1","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET2","MET20","MET21","MET3","MET4","MET5","MET6","MET7","MET8","MET9","HB07","HB14","HC3","HB55","HB57","HB64","HB65","HB36","HB37","HB43","HB53","HB08","HB11","HB18","HB21","HB24","HB30","HB66","HB32","HB45","HB74","HB80","HB54","HB49","HB02","HB15","HB56","HB58","HB60","HB62","HB38","HB40","HB68","HB46","HB50","HB70","HB72","HB76","HB78","HB05","HB52","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HB03","HB22","HB33","HB69","HB47","HB73","HB81","HB18.1","HB18.2","HB18.3","HB18.4","HB18.5","HC7.1","HC7.2","HC7.3","HB09","HB12","HB19","HB25","HB28","HB31","HB67","HB44","HB75","HB06","HB16","HB59","HB61","HB63","HB39","HB41","HB51","HB71","HB77","HB79","HB35","HC22","HB42","HB27"
"Q658P3",13.69839797707,9.46105742867907,11.9379854899781,12.3780514376897,11.8527892572816,12.4928102646225,12.0487281809536,14.1994591336718,14.1260966747414,13.0695500832129,3.02853271626245,12.2803788429983,13.1927665789827,12.2137862900939,11.457360606459,11.3683815458582,10.6175886700406,11.1941949515798,11.5329557796065,12.7975076252216,10.7728127396797,13.3119606985258,12.2057807806835,13.4892420855925,9.94285728945986,10.7641990019192,12.6957323772804,11.1373979914629,11.6466259542498,11.6602337201755,10.9363852752652,12.7732612055935,9.92997382482746,12.1668813969035,11.5528996124183,13.6125490245252,13.2512251883431,9.56562198095147,12.5056941969104,10.6629732930471,12.0936264899014,11.8526962694092,12.8260373320147,13.0172297882572,12.4167812573178,13.7805989199318,12.4541705950349,12.3241552594882,13.7642063358984,13.0159760274822,13.6475584197219,12.6695494634555,11.1767390571717,14.4139901804305,13.0394752167518,4.9536272678568,11.2572310811491,12.2013999968882,9.95201196934081,9.70089031767265,7.65536394833903,11.1082401743765,13.1903375461565,12.8988817947758,12.9070688603459,14.0094367150355,11.6537668237019,12.0711916531782,11.2210979323167,14.0443365511316,11.4670204697374,13.443025388618,12.8958631531106,13.0823499826604,11.2785720683013,13.0106227382613,12.7229563744718,12.1030648207126,11.3477031421111,12.7225998799715,12.5616454973181,12.3841762181896,13.8684641691619,12.2269923595895,14.1256725501243,13.5218875967684,13.1085730795382,13.7728300246545,14.2222358152327,11.2074043140422,13.3794312913858,10.8907124456502,11.0304511377304,13.3171581659019,8.74464653445049,12.0499179468496,12.1417871588994,12.6622987143958,12.0192623035506,13.6293308188673,13.0785847403682,13.3245860086339,13.6185680541516,13.5262934404805,12.9043481611397,11.733076070087,13.8175556770068,14.0128292882839,11.1546948946246,14.4330915806235,13.9368634558847,12.3264639113253,12.6082572828686,11.7033811817642,12.8582926892866,4.80204812970638,12.1727226831795,12.8511915514659,13.0323804268445,10.8942056556883,10.9230350902435,13.1440885032926,13.040298059925,11.5749857002484,12.2178975867408,12.5420553893613,12.7734307285694,9.12283883890955,5.39161156027575,10.9046348218826,5.44081519928407,5.10581933612207
"Q6PIU2",12.2342333810851,8.86770447309008,13.3879732608717,12.6516899682418,10.3755489813798,13.1440185520414,13.4969158488166,13.413513601308,12.4214915000564,12.6475094175499,5.68638438742093,13.8994060143453,12.3107580892372,7.88105268240329,7.67033140043933,7.2178562686112,9.77205966232071,9.83668714775195,11.5900380669854,12.5440496857851,12.4248038761427,12.484949195529,10.0583172987773,9.07037697006864,7.62042543260967,7.3584807617756,11.4336620287786,8.48144902812631,12.1140079330785,11.5318553198429,10.4531859517082,10.9256691585357,10.0098950342225,12.8955906009021,13.9890848978923,13.4332589023972,12.0745705170913,12.6037055589101,8.84931921374216,5.02729122962892,12.1729174612756,13.5016760270277,11.8915363666147,13.9551370856357,13.5013293437131,13.7349432386305,13.781406587824,12.8106592602387,13.9553788101702,12.8611327086009,14.132550771802,13.0747493476218,13.6448108280863,13.9302617319327,12.2979419567926,11.6666597521377,12.0198918234637,13.0524733387508,7.92616584669494,9.31217892554118,12.5571005403571,12.1313602934769,13.6665956431626,13.2139504060209,12.142043822312,14.0886885385853,11.6813187374313,13.5064838503039,12.8682129145187,13.8913268504629,13.5071033802368,14.6831542435952,13.1510573170717,14.1666175341475,10.967890233711,12.4198602057962,14.6712060412601,10.507660624136,12.6705188707601,13.8071206341432,13.6172010090866,12.2579937729585,12.679537935141,11.2081215636629,13.4854825728315,12.2443485816959,13.8977604573126,13.0950417481421,13.2945324954706,6.72613375955977,12.2789111400219,3.59919576322135,9.95865142214417,13.2595861096582,12.7407762525622,11.0484528480804,14.307429119333,14.003163680619,13.4785373399995,13.9129576421779,12.8028030866167,12.4643668231349,14.1891484203646,14.4781435915991,13.9885906095931,13.7603070901562,12.7690099319693,13.9514051254242,10.4720310204068,13.0284367495225,13.865228226491,14.2621522469434,12.5694823513193,13.6336859088092,12.4409785163261,12.3652231339836,9.29775489628355,13.5749405384685,13.533951756466,14.4153898162713,10.8585267620497,13.2739688202796,14.3572256549216,13.3932165469276,14.2908875374231,13.3627949528908,14.5134336942819,12.7004226177893,8.05439716222737,7.54090154869749,6.09600503307676,4.94557287567935
"Q86W56",13.5455524349567,10.0037161468982,11.832073077903,15.1864044742775,14.645124097269,14.789344329998,12.5993279000336,11.7943350800099,13.7195389994884,13.4414087158957,13.062676931949,15.1772925092311,11.3467908657841,15.8654720830018,12.3995210095585,12.6477406842394,13.8190303313596,14.3627996410542,13.9822319552579,13.5979722738538,12.6294308485375,14.0487008513776,14.6694738067362,15.4248034091438,12.498541728708,12.278588575197,15.2186062132289,15.0500270281872,11.9198442241631,11.9690720400386,13.6360400624205,10.9323858768947,14.6383073080294,15.3406148150874,11.9563399677956,13.7641204105524,14.4148982390027,15.2526521427713,13.3803506623426,12.9811455158152,11.3849331571885,12.2507574024603,10.1296043183758,11.9275150747781,15.6003612150166,16.5556570740825,13.3397479349065,11.0618003607588,17.2177060395003,15.807702269072,16.2032946316295,11.4608551364618,11.9415580552161,14.2513439481139,13.3940321330301,10.5803952252826,10.4812917935006,13.9844426248439,12.6817163033733,14.244208838345,12.9438363627668,15.9781982326729,12.6765034558258,12.6541768767551,11.2875517023181,16.3474818732426,14.7416543281727,16.0674521467636,11.2004225487197,16.3120546630132,13.8057090949877,13.8551693270475,12.0860441993672,12.2885230292371,12.4789152702666,15.0283222276516,17.1287539655867,14.8810825322931,15.8517548831804,17.3081939611555,11.2099210748841,10.1589610281878,12.9868061111581,11.6807375892348,12.3196351178864,12.5479489225521,14.0310215986091,15.3169457820247,16.3038271357058,13.3950636313005,11.1681462697888,12.4874680539164,11.7453951034175,13.4682267172915,13.5888419697396,12.3313547690218,15.690845873732,12.2994780423833,15.7971393296433,12.8073764258111,12.867513948223,13.3842409253691,14.8510005090466,13.4194891516027,15.565035191236,15.8362140917955,13.1912938558969,12.7853378196548,10.6163316480932,16.2053417079012,12.8087396668473,16.048294708956,15.0932742993853,11.6643342088223,16.6080775842184,13.5762858386096,15.9725260301966,12.0166500969151,16.6875588218679,16.2151029190658,13.6735615619871,15.6185917022532,16.3037584787422,16.7911067530063,15.3356308647634,14.3362256542191,16.0203214121914,15.5061240757865,11.9962981413714,14.7549575898326,10.5775246455413,9.73395222018036
"Q8IVG5",9.94406940777922,10.989476296296,14.2879829178478,14.0226833915351,13.0264547043444,13.1457353373421,13.9969678907188,14.2268460323137,14.7803399963555,12.8697131373702,10.7119118463584,14.872369752103,10.4981597117151,14.459941184881,10.2022325938286,11.7858300849871,11.3144222720698,11.3676695890837,11.7600479376783,14.3778048464664,14.6433693143648,14.7095992511846,14.7429478693917,13.4085581135499,8.37521715999487,10.4876528646026,13.5889511970015,12.2701453983607,13.3728617040908,13.2963090250521,10.6382140157474,13.4750740732899,11.8788102788696,13.7400193271896,15.0156454796945,15.1352643026181,14.1069561222403,13.8952554970571,14.1570430341665,9.13586283639289,14.2385282406791,15.9639781843782,12.5668298424357,14.8211866229163,14.8371427413117,14.8117439953107,14.5676075992972,15.0768416654263,15.0885657894342,14.002908927041,14.5602075631865,14.3634593928538,14.1779245499831,15.0720532120409,14.3161668048733,9.90042138897494,11.8973659935058,12.4968562964308,9.24640193818755,11.804566774407,9.71486272388067,13.7801715305157,13.8579099996481,12.8741810168304,14.4199072076201,14.0744715473259,12.9369139343407,14.7446040768104,12.9626806358716,14.7200934326915,15.2704237392165,15.0826524855788,13.0104435498881,15.2009711168539,12.6655963694714,15.2409001262114,15.2661221878312,14.9448550994429,13.8454435050329,14.5728806881998,15.2512182972275,13.8196977159815,14.4497215503956,13.5346217320611,15.3373631433995,13.7564657564329,14.6145271890453,14.1208245780289,14.8306047558675,9.98582112004215,13.476236244577,7.1426362133986,12.9360158872302,15.2856714820142,13.3468384573935,12.8405286806862,14.8635953314926,14.2936356208869,14.4429230949834,15.086432349772,14.6352983210282,14.5470582626783,15.2492669245541,15.4188863465752,14.3128339887851,14.840812615369,14.3772619081127,14.8098746384105,12.6017987228429,15.2781928703314,15.4049306375081,14.6993254466437,14.0831501869122,13.251182800199,15.0413123021716,10.0792578234854,14.3470879970837,14.7939352315483,15.2224612152764,14.9596797134399,12.4915832361714,15.2759947876298,15.5168574896859,14.7115251486921,14.8608217457196,14.2273451054906,15.596842490155,13.4997755216218,10.8504792635615,9.81680773859096,8.29292474824786,7.88499108146199
"Q8IW35",13.3365818122049,10.1841693993038,13.0611317749191,13.0845337804255,11.0431619866828,13.2054175048459,12.1628428053675,14.0645946559602,14.4297406207019,11.6105723928608,9.40276501815626,13.0941732784593,13.100568972056,13.2914513827383,8.02045087592355,10.5833522807052,7.8741663879983,6.57805118328376,6.16850318921378,13.4512372280534,13.3091888863305,13.454495140773,13.082090731649,12.9147784653686,11.8066637327599,9.94723765459797,12.490947878848,11.4802116884941,12.3986599659836,12.6321536508501,11.0196569165038,13.3996272900639,12.0907255176488,12.6330527924194,13.5635476844555,13.9673628320421,14.3896452620346,13.0933314200646,13.4974418235363,7.69636428369237,13.2662180373157,14.6478224673103,13.6231706252585,13.7724105427578,13.358305964092,13.7643034481113,10.8150080830283,14.0543593092073,12.9746506863964,11.679424680115,13.411569353372,12.5493319265795,13.8834146809956,13.6450286230659,13.5026181768751,10.5360329558655,10.1657449400747,13.6251799993063,11.2865338165898,10.6858836555692,8.73460198970119,12.9076510642242,13.4075685487109,14.534283382127,12.6971516295381,14.5391227517985,11.6046480093119,14.820052345713,12.8666515150637,13.3816905574873,14.6129358821406,14.1284797105183,14.0010357662477,15.5603173457782,12.711642491703,13.9914733051963,13.8031022112421,9.88684587715433,13.1688505817219,13.3354731466261,13.7016433735603,13.1315821253262,13.959474951881,13.6492199573713,14.425439342535,13.4363161264447,14.6835038072622,14.3432489921214,13.2956069447257,12.1787752138804,13.7660144095215,12.978006129524,12.2716766659477,14.8203959135551,14.0138663940904,13.0497146425195,13.7397608805811,9.58161736754941,13.2417356348731,14.5668672145498,14.008651141526,13.6221966023499,13.9588513253969,13.7857328766233,13.7183546068886,13.4254879466832,12.9435913463198,9.44192711906993,10.8163229409119,14.1364758925578,13.7372390175912,13.147203778693,12.7835637592859,12.4860245693851,13.6710111230701,11.4800300320189,12.0837997242184,14.3474944266016,14.5208943501584,13.1103418496515,11.5136714357562,11.3393344330141,13.6802648284866,13.8297023116432,13.8105273007187,13.4850076795817,13.5187920338315,12.3514846121599,6.04957432188717,8.9937548572943,5.62002052402963,7.76961291753173
"Q8IYS0",14.898479411318,11.6542337055527,14.7964967187795,14.8152904143742,13.2518522434468,14.4635606539865,11.1215238801577,14.4020001967595,13.7866678384373,13.2119071428182,11.8359564424242,16.5521565417673,10.4544953058374,14.2613720140181,12.5843570429046,12.8644991741363,10.5101698550021,12.4925500200893,13.582392431524,14.5301166035696,14.7466333087608,14.654891787916,14.4443372886335,12.9704918168156,11.9231359473414,12.1313684335085,13.7039094349772,10.7636913718082,14.4653451968746,14.3731346094378,12.2620231067518,12.9583021857671,12.946700354852,10.7255887109723,14.6374968090564,15.1281557386627,14.319751929517,13.4593107716641,13.7574765702939,11.5374380997491,14.8458695569396,15.0374134502137,10.707484608588,15.0391315797874,16.7564856849297,16.564061624737,15.2587092307464,16.0743611269689,15.0313528153598,15.3919969932882,16.103906011087,12.0938527271816,15.5232065325034,16.2482719010979,14.9605260116383,13.535606772135,13.4533791116022,14.6915682817782,12.1260481266927,13.2155720384874,12.3365039212599,15.1415591861396,15.2697460490522,15.1586044094599,13.7798600604099,15.1695867089018,13.9388563557323,15.71295907668,13.8699552452998,15.8552967788674,15.4338188681069,15.4507636937424,14.9776685855498,16.160117760261,12.963947046803,14.8286525675782,16.2961549210309,16.6596537409861,15.6598991277417,16.7080232868451,11.45583660344,15.149322063793,11.0026667770776,14.1438194773213,15.5891637425883,13.9874856714982,15.0460598037823,14.9068704147694,15.877753577691,13.5788947581324,13.21433159774,13.6778025504201,14.6461958924312,16.0166932700919,13.8934055979954,14.0363113356212,16.3873081279094,15.7710036194858,14.8386135752299,15.9570510425631,15.5960362269979,14.5200373859169,14.6238274389253,14.7062006433894,15.1846873033421,11.5149797727231,16.2838818280524,15.5407502220385,13.050617754251,16.230064652216,15.3078494813432,16.054386721738,15.0897144807211,14.8367316328485,16.2167315846035,14.0386277434292,14.8357306699232,15.4354924885081,15.5999570212709,16.4829516402858,13.8890171667759,14.7514416947797,16.2117358590649,15.7424700933458,16.070697259509,15.8514969328996,17.0533042389333,15.0186666251724,12.2455481576543,12.732838064898,11.8842428114652,11.4347145415369
"Q8NAT1",12.8556512254882,7.10557824515541,13.5103761861177,13.4120715354575,11.235022764819,10.534377149983,13.570007004519,15.0887882387169,13.6756112195532,11.3447893738459,7.89400727213505,13.6903381873368,10.6082548219779,11.738927430718,8.89747642650535,8.23174430508728,9.67210815561539,5.28572684919656,10.7363560783783,12.3366773260609,13.708295956584,12.9875187324172,12.593222618265,12.2098564574416,6.80752838475982,6.92274239426247,12.1965975404228,10.5389852519331,9.37796415118748,12.4002892661687,8.89785024960541,11.8900192559263,10.6860098194024,10.3550979606398,13.3287046871491,14.4735865831873,13.623775128682,10.7284191142407,13.510591367034,8.02813888329521,13.6541764344261,14.8412193287836,12.88888664574,8.63354150101581,14.0239155633242,12.9772731240369,13.7842519034667,13.3584381531075,13.5988760505447,13.5279455469203,13.6947946363418,13.752044155207,13.7480604289567,14.8049553415494,12.9185214733061,8.84862294042934,11.7209890127138,12.5991223636857,9.09761361029016,8.56117563657655,9.2575174869052,13.0048796034948,12.7003492817421,13.642933056978,12.7292801702063,13.5796873744038,11.492034796549,13.5197300001304,10.0733498401783,13.8129554765648,13.1185916615509,14.4812371664089,12.60979830258,13.845745052541,9.2395414225645,12.9234597262607,14.0677638949476,10.997335811198,12.4664595043408,13.3343439543449,13.5975261388826,13.9108243940006,11.7598449451646,11.7930295612841,14.2818403102017,12.5958900348352,13.9310400838485,12.9432798388337,13.0216622320721,9.56375735111867,13.1705265032873,9.13222881140632,11.7273529373936,14.2078218070514,13.1107542586341,11.5025548254979,13.5825172908849,11.5460838441743,12.3635393562009,14.3201564236839,13.6550106736519,12.8785951589936,12.8430402550081,10.8257082907659,12.6960963145679,14.1562101258123,14.8859475780021,15.3692310915888,12.1909956609418,14.6706952120043,14.3965150486409,13.8675087527914,12.5733382440069,13.5985413564237,14.0258195780315,9.41594479695027,12.6072732052191,14.0079497629948,13.349199863705,13.1488937117299,10.7644289756296,13.3337117066797,12.4358868702691,13.6744975886541,13.9037546472595,13.1882897936515,13.8674393739158,11.1257810286828,9.60278553628224,10.1987212222704,4.790978592056,4.9251299673547
"Q96CM8",13.0275779317477,10.6225864635277,13.0224540401304,13.2936212027751,12.6390930734853,11.2695198416902,13.4831682253881,13.9045743761866,14.2471882611961,12.2427343677871,9.86709242907139,13.5607744510615,11.9398043145466,13.9336411134315,10.0169396033354,12.5734876559051,9.14664116256189,10.5263513953679,9.21262652767035,14.115164347657,12.1055118687964,13.6270071382256,13.5251534361664,12.9096609767476,11.5229909827282,10.9254960311822,11.6201898241593,12.803860575193,13.0943972940103,12.6715742266025,7.47879941519162,13.2770481308215,9.96866781709949,11.6986361734961,12.3247246563853,13.0287881967525,14.0884669766864,12.9463653069258,12.9287505855258,11.0140992151698,14.1291157878865,13.5128616157257,13.0181776661448,13.8164955200946,13.3695248430377,13.1703482717924,14.4699456613003,13.6737815350368,14.2911396300807,12.9044590013704,12.289383958664,14.8341389114387,13.1888595365551,13.6519166382875,13.9352738931902,8.5236444204518,12.3161947212754,14.0812317734034,11.347993181715,10.8346317478974,12.8023756223298,12.7374846442988,13.1447059615606,15.2327818313407,12.2147824898379,12.8068728906551,13.1052723026052,13.3111590088655,11.9084068814553,12.978514473229,12.4766919441085,13.9261024026314,13.9521453864605,13.7969055926678,12.1786814782043,14.9026396735729,15.0607071489105,13.7043382999055,13.571698176792,12.4034947641574,14.6672891895102,13.3974101991758,13.8994379951027,14.1790224910261,14.4707273021928,13.7489825161067,15.113525457329,13.5869063029872,14.3221798098486,12.0404589664597,13.9877131640627,12.3923290800451,12.8455389418579,14.6857888140369,13.8056441154612,12.1600104453869,13.5792197500804,14.3465658540871,11.4557136758834,14.1173017856809,12.8379183431146,14.1988873486869,13.419355136691,14.0730963063106,12.3299177739239,13.8224210349229,13.7780796816304,14.6805006990251,11.5686399133305,15.2588534620625,14.1183457902686,13.694308273497,12.7066277568781,12.7467518982176,13.6400861618009,12.76420837681,11.8302304204487,14.4376955440352,14.0216215416777,13.466757088501,11.37174108251,13.620458416038,13.1604185797191,13.5351908979631,13.7177534183353,13.1471520892815,13.5625674026646,11.4329037929753,10.648608865844,10.529744093278,5.38381484606604,8.3025943242875
"Q96JC1",8.0302783708957,7.60179830974025,12.1531502823053,10.6939010254856,9.65109672172979,11.3645878123243,11.542272033614,13.7348009066365,13.6188717023052,8.93477889376978,5.3462134707443,13.8411541962986,9.48654746703826,11.3021862092873,8.7217331425995,6.46194641710795,7.62486615136184,7.38775255507897,10.1880918850341,12.811531299935,12.7167168876421,11.736344660126,12.4061733037345,11.0428200634824,6.2975896622642,4.93089767693023,9.5744402044261,9.10108916251207,11.8240261371019,11.6442798900207,6.80315330468834,7.44754784557313,7.88845604687528,11.1493536043454,13.5763397255567,12.5860703805977,12.8149996884852,11.9690176498208,12.8101485939371,6.39215997362863,13.2870657712355,14.0156128488694,12.6570717555454,12.7324192980819,13.3921200857407,14.0733713077045,11.6581766177625,13.3309627898233,14.0779648368331,13.8107605346284,12.7858611057596,12.9049724288528,13.1436879546658,13.9105614561422,13.8046438704587,7.29712658019719,11.5868910564264,13.1752886540566,7.21281144487186,7.92445573843864,9.87154277674952,12.4894806822799,13.7079588688286,14.1580678267632,13.4183949066245,14.537122423175,9.25998646449055,12.758535456339,11.9219202644005,14.5118048661231,13.5092424496419,13.9342367016276,12.9024677277736,14.2980152168735,8.64097039296179,13.6588660777713,13.0292607480999,11.997764835991,13.0832177758616,12.9908951397233,14.5544468113371,11.9933865493225,12.9666212538688,11.9768606407173,13.6335230213956,9.70734111958856,13.6994345469228,13.5484412246399,13.917140615286,7.82667461344838,12.8651418581301,7.39075992356757,10.9197832326217,13.9983706349375,12.6084456633278,11.5492966626026,13.4076460537414,13.4852241004133,12.6106137275559,12.1242831424416,14.1578866569913,13.4585521563563,14.2205216579509,13.5096576717875,13.4262647547021,13.1448990347393,13.2822266529398,13.524901372895,11.3760644371835,13.3648186236554,14.928719852814,13.6556525312028,12.7550310156017,13.4841585504881,14.3142616189481,11.1269730748046,12.6271139651301,13.8150498306129,13.6225659558649,13.8078070350458,10.4408691676109,13.8542402566695,13.9545153763033,13.2817293190903,13.7437611507366,13.3878487921108,13.8475755334406,11.4621523136857,7.63831821137916,6.31813858228637,4.89141803819488,6.22076902129867
"Q9C0H5",11.8871466926775,7.97077344474619,12.7442695085689,8.93830781904737,12.4158868540763,9.04316490911282,12.753854560638,14.345770923634,13.9481777408755,12.5627194270493,8.46333120590898,14.9700017156083,8.77655459622101,12.7451276878051,8.38439206828258,8.75282448247876,9.2882957295361,8.11256998500276,6.9008896112369,12.620915203455,13.3910850604825,12.7383285995863,11.394463368656,12.1683602561006,7.80514883876241,8.7427891448958,8.79031263317484,11.7887943514865,11.013331682284,10.1966937084885,8.30707213089054,11.9906306455424,10.0804521245464,11.4790625587464,12.9513440919119,12.4476197090433,12.576125328946,8.20123297001461,13.2813889923808,8.39025486773875,11.6266342122477,14.6880317024139,12.2120138874784,14.1938242292988,15.010621816523,14.2369752285439,13.1035356314823,13.6930069047274,15.6141239495244,12.4709970638358,14.1012163736898,7.21373035093219,15.3747647747887,14.2545484977474,14.9298262690556,9.09705981144133,9.90840518066305,13.4393673140318,7.83009551408106,6.00312712055844,6.663356628997,14.3615430205081,9.4486849510066,9.67182159252921,12.174147337868,15.7739293629638,13.4317613765535,14.2878035079118,9.08470963637074,13.1390560317978,14.0243538782902,9.38839701425432,13.262134393715,15.2881542091807,6.4623974560347,14.7723588699503,13.5930726395269,13.3998658587547,13.2276460499278,13.1696714122821,14.8828687771844,14.6274402123252,13.7493060512626,6.99455197412422,13.9688417920646,9.83720998807113,12.5657525877569,13.9596295699896,14.4726197704029,10.7813634745305,13.2958228338495,10.0529660095599,8.92127254086938,15.412915287545,12.2215181919898,11.290379036264,14.9362657814629,9.41205385244031,13.6049718011406,13.7560025248103,13.7346626788225,13.7767238209509,15.046103371245,14.2518469312493,13.7195261441252,11.4094448355667,13.2595498329807,14.279206242182,11.3295536315982,15.1438669138546,14.7971623105684,13.7385427106113,13.2542951868048,12.5358105356368,14.7162147660222,6.10021242419511,13.5193537962332,13.4792305234078,14.1912342134011,14.1428921641543,9.85708640337807,14.9881738627951,14.3761870999026,13.9335938156486,14.5199475969668,14.7698278294779,15.0813935763474,9.46605263328896,10.8762635138783,7.04708264552679,5.87334307774793,5.73418368372722
