"","MET8","HB16","MET11","HB15","HB14","MET12","HB50","HB39","HB38","HB36","HB42","HB32","HB62","HB22","HB60","HB44","HB52","HB31","HB58","HB64","HB29","HB30","HB56","HB33","HB54","HB46","HB25","HB59","HB63","HB65","HB66","HB23","HB21","HB61","HB27","HB35","HB24","HB26","HB47","HB40","HB41","HB37","HB49","HB17","HB53","HB55","HB34","HB45","HB28","HB57","HB18","HB43","HB20","HB19","HB67","HB51","HB76","HB75","HB71","HB72","HB77","HC21","MET20","HB70","HC19","HB74","MET21","MET19","HB73","HB69","HB81","HC20","HB80","HC22","HB78","HB68","HB79","HB4","HC1","MET5","HB7","MET3","MET15","MET1","HB12","HC6","HC11","HC9","HC4","HB10","HB11","HB5","HC8","HC14","HB13","HC10","MET7","HC12","HC17","HC2","HC18","HC13","HB3","HC16","HB9","MET4","HC7","MET2","MET16","HB1","MET13","MET17","HC5","MET6","MET10","HB2","HB8","MET18","MET14","HC15","MET9"
"hsa-miR-1260a",77,54,35,68,71,66,0,17,0,33,0,31,26,42,43,39,39,51,36,28,39,41,34,52,35,49,21,40,36,35,38,41,57,62,72,54,68,62,57,56,51,43,28,48,40,46,44,69,60,49,97,68,60,68,57,75,21,25,56,72,45,83,57,42,65,41,75,103,48,33,52,47,57,70,39,30,37,39,31,24,15,57,0,17,26,39,46,38,37,32,50,37,46,58,24,46,50,37,44,35,76,41,40,59,36,50,62,53,55,30,51,66,53,41,34,48,44,47,45,92,62
"hsa-miR-223-3p",354,338,1474,237,340,626,143,207,186,392,146,119,359,213,353,518,835,929,779,528,430,1025,1629,283,330,174,373,334,1110,117,413,455,283,184,2161,415,1629,885,322,237,162,179,142,829,649,165,240,955,519,306,281,123,535,387,539,169,215,567,786,8249,293,833,2764,164,411,362,1964,4496,1105,255,710,889,6852,848,744,1250,198,179,219,2196,464,534,65,371,628,346,268,207,275,239,267,525,334,231,541,505,921,449,315,251,359,339,803,375,720,378,332,7699,881,322,1430,1560,864,783,1072,579,141,374,628,742,566
"hsa-miR-30a-3p",23,0,15,0,13,18,0,0,0,10,0,0,0,0,0,0,0,11,13,0,10,0,11,0,11,10,0,0,10,0,0,13,0,14,0,0,14,11,10,0,16,10,14,12,0,11,14,11,13,11,12,0,14,10,11,10,0,11,13,31,16,25,23,17,29,21,127,43,27,0,14,38,21,43,0,0,17,11,11,0,0,0,0,0,0,15,12,11,13,0,0,0,33,17,10,15,14,40,23,12,11,10,12,16,10,12,15,25,10,15,17,18,25,26,20,0,16,24,18,18,0
"hsa-miR-3124-5p",125,114,87,111,127,119,0,30,35,65,27,36,60,94,78,44,52,53,54,36,78,31,50,54,61,69,91,53,36,45,76,101,130,64,94,89,37,95,59,76,71,111,73,80,38,70,102,109,138,90,221,90,142,102,96,103,55,59,32,168,106,123,179,60,159,52,187,184,60,45,86,118,55,188,78,44,80,80,64,63,32,57,14,50,18,65,68,55,95,58,64,66,113,85,48,77,114,101,113,68,138,87,33,88,60,91,147,117,78,58,86,124,140,108,60,75,105,103,84,164,110
"hsa-miR-3196",116,210,86,154,126,147,0,17,22,79,15,41,120,97,81,68,24,48,50,38,59,61,74,110,69,90,90,81,29,98,100,87,185,83,70,112,49,99,91,156,157,77,124,105,49,116,100,111,131,107,193,174,151,148,102,133,120,61,73,158,116,140,132,82,157,59,99,172,79,66,113,108,87,188,117,87,202,157,130,51,16,41,12,121,21,84,101,81,112,106,138,105,101,79,35,106,154,136,99,111,141,114,38,123,81,140,146,53,94,93,111,88,131,76,50,97,79,126,91,133,90
"hsa-miR-323a-5p",224,80,99,82,73,134,11,24,29,43,14,26,24,90,37,50,33,42,34,20,66,50,56,52,42,67,44,63,44,28,51,78,50,57,51,84,47,55,54,33,56,52,44,53,62,60,76,86,69,88,215,81,112,102,118,57,18,16,50,176,57,81,215,37,112,41,182,189,28,66,61,90,29,90,51,15,30,42,29,49,26,21,23,38,17,30,56,33,60,36,41,39,76,72,21,41,78,59,72,48,109,59,46,69,33,75,86,87,89,43,50,110,99,116,94,59,66,76,181,137,88
"hsa-miR-3681-5p",57,42,41,68,42,33,0,12,0,25,11,32,17,39,21,19,29,22,22,21,38,25,27,38,28,46,34,22,19,17,14,25,50,31,18,50,27,40,34,40,35,36,28,53,62,31,22,51,30,53,79,45,68,41,35,43,19,23,34,84,31,44,61,19,53,17,59,71,17,27,22,20,23,46,28,23,19,32,24,0,10,35,0,10,14,20,35,17,34,32,0,40,36,28,0,29,49,29,37,32,50,38,31,33,13,38,49,68,64,19,26,29,48,42,28,41,74,28,40,74,34
"hsa-miR-4284",38,23,19,12,23,23,10,10,0,16,0,0,0,17,11,16,0,15,13,10,21,10,14,15,0,14,11,22,13,18,17,28,26,34,21,12,25,17,23,20,0,53,0,26,14,0,21,30,14,16,62,28,23,18,19,19,10,18,14,51,17,16,24,11,45,18,33,46,18,15,19,22,10,20,14,12,15,10,12,0,10,0,0,15,0,17,26,10,11,14,12,13,25,22,0,11,20,21,14,12,32,18,11,11,15,15,22,35,23,13,12,20,33,17,17,21,36,22,14,34,18
"hsa-miR-4304",24,0,18,16,16,24,0,0,0,12,0,0,0,0,0,10,13,0,11,0,0,0,21,0,13,15,0,0,12,15,0,24,25,11,42,15,22,26,10,13,18,0,13,11,0,0,12,13,18,0,24,10,15,23,17,0,0,15,0,48,17,41,45,11,32,10,69,56,14,0,0,32,26,35,17,28,0,0,14,25,0,0,0,0,0,17,0,16,12,0,12,0,29,10,0,22,0,27,19,14,27,17,0,17,25,19,22,34,17,15,20,17,76,15,22,14,27,18,16,18,19
"hsa-miR-4433b-3p",95,99,41,107,84,77,0,12,14,52,0,20,31,87,44,24,11,13,37,23,35,0,34,53,45,31,36,46,15,49,48,52,78,61,37,62,36,34,51,64,81,42,73,83,25,67,62,99,91,81,205,108,110,116,72,85,53,31,33,113,69,98,110,41,112,33,72,144,53,35,76,79,31,122,48,25,94,90,49,39,22,34,0,51,0,55,64,57,77,70,66,76,66,51,33,46,127,74,69,63,106,52,23,76,52,91,129,106,89,59,79,58,91,43,37,76,77,81,62,141,70
