"","MET8","HB16","MET11","HB15","HB14","MET12","HB50","HB39","HB38","HB36","HB42","HB32","HB62","HB22","HB60","HB44","HB52","HB31","HB58","HB64","HB29","HB30","HB56","HB33","HB54","HB46","HB25","HB59","HB63","HB65","HB66","HB23","HB21","HB61","HB27","HB35","HB24","HB26","HB47","HB40","HB41","HB37","HB49","HB17","HB53","HB55","HB34","HB45","HB28","HB57","HB18","HB43","HB20","HB19","HB67","HB51","HB76","HB75","HB71","HB72","HB77","HC21","MET20","HB70","HC19","HB74","MET21","MET19","HB73","HB69","HB81","HC20","HB80","HC22","HB78","HB68","HB79","HB4","HC1","MET5","HB7","MET3","MET15","MET1","HB12","HC6","HC11","HC9","HC4","HB10","HB11","HB5","HC8","HC14","HB13","HC10","MET7","HC12","HC17","HC2","HC18","HC13","HB3","HC16","HB9","MET4","HC7","MET2","MET16","HB1","MET13","MET17","HC5","MET6","MET10","HB2","HB8","MET18","MET14","HC15","MET9"
"hsa-miR-10b-5p",258,43,178,56,62,191,0,75,28,76,20,18,71,75,90,65,72,45,101,110,55,22,36,29,94,56,45,23,192,28,70,120,32,84,118,37,61,113,74,25,25,120,39,61,96,66,74,179,162,115,53,29,65,80,130,103,68,75,45,147,96,301,176,51,339,83,2041,304,150,68,128,409,152,318,83,26,58,78,120,122,45,68,12,72,23,155,84,44,127,27,39,123,169,258,45,193,94,172,162,69,121,153,59,206,140,62,164,221,152,83,129,516,300,357,189,83,87,221,166,216,258
"hsa-miR-146a-5p",211,77,391,78,100,308,24,60,20,100,110,54,83,135,66,102,105,133,84,174,109,128,85,39,88,57,59,42,419,73,126,119,79,117,342,139,124,432,124,67,43,122,33,186,180,114,105,166,473,142,147,40,150,276,276,88,338,129,155,456,215,543,325,85,288,798,1281,1992,269,531,1586,523,268,277,1147,451,123,94,348,370,1032,339,43,106,82,243,276,246,216,129,156,505,311,297,742,398,185,419,244,220,280,355,261,237,153,260,390,14950,1126,131,216,259,566,1013,872,138,113,334,477,481,231
"hsa-miR-183-5p",47,118,39,62,82,46,21,43,22,67,23,82,71,51,44,26,130,119,62,345,59,146,121,113,275,29,39,38,305,60,169,62,40,59,321,143,142,116,93,55,43,88,45,140,174,80,65,78,127,64,59,39,70,140,116,67,19,372,366,167,71,99,33,40,91,34,153,78,279,57,34,106,142,35,40,584,23,47,55,22,386,36,0,65,51,27,24,39,57,35,37,54,47,53,862,75,36,98,81,72,57,36,730,102,603,38,51,77,59,149,104,36,48,55,51,251,93,37,31,62,50
"hsa-miR-199a-3p",170,66,325,46,70,197,19,41,39,119,56,42,78,69,51,112,68,230,60,131,74,153,158,85,139,57,53,64,344,39,80,114,45,84,169,93,361,116,107,70,48,91,30,118,144,111,62,209,142,119,97,48,71,157,220,77,222,123,205,892,147,345,287,66,236,417,731,809,204,288,1394,352,459,236,1014,160,83,72,143,458,392,154,31,97,95,206,196,164,171,66,65,237,227,165,361,265,141,314,131,137,316,171,202,174,150,125,204,7415,442,116,199,334,411,531,295,118,94,196,226,327,166
"hsa-miR-200c-5p",36,12,23,11,17,22,0,0,0,0,11,16,0,22,0,14,13,27,12,0,14,18,22,15,0,0,16,15,14,0,12,28,13,16,28,11,12,19,12,0,13,15,16,21,13,13,32,28,21,15,36,16,28,33,0,24,0,14,0,43,0,18,15,10,44,16,51,41,0,35,0,36,0,17,14,0,0,22,0,10,0,17,0,0,15,14,26,0,18,13,0,0,18,11,16,19,20,16,20,21,15,20,13,11,15,17,16,22,13,12,15,22,30,23,27,13,59,13,30,41,16
"hsa-miR-23a-3p",322,123,271,146,186,266,23,56,26,117,31,35,75,162,107,77,101,163,110,145,116,106,298,152,104,87,95,130,203,71,106,134,171,125,228,186,911,175,185,106,94,184,65,166,196,98,91,216,192,198,266,130,264,259,225,109,103,151,170,1896,329,422,439,96,274,228,1002,910,306,132,391,330,669,337,272,192,124,93,129,207,124,147,33,78,78,169,148,118,125,89,110,206,182,218,166,239,172,321,202,129,284,186,177,200,190,143,300,2670,359,127,281,330,362,309,289,161,115,255,541,372,287
"hsa-miR-27b-3p",70,35,76,33,32,123,11,33,43,39,25,17,38,42,21,40,48,55,43,39,28,30,29,15,30,23,30,26,69,29,32,48,55,42,39,39,74,38,36,21,44,55,16,38,25,23,29,47,62,42,28,18,49,49,44,38,62,53,50,145,61,112,105,36,102,90,458,159,70,67,184,126,73,77,79,54,25,27,46,86,32,35,0,42,23,63,44,45,58,21,59,48,88,68,55,79,68,121,62,44,71,56,59,65,62,44,62,480,93,83,68,115,104,154,80,36,50,73,75,102,83
"hsa-miR-30a-5p",116,35,107,47,51,114,0,50,22,34,14,18,50,41,41,35,69,63,81,29,54,38,42,31,77,48,34,20,79,20,40,93,29,41,53,38,57,84,49,26,25,61,35,55,50,35,43,89,95,49,63,32,53,72,79,70,39,49,44,101,64,172,155,31,179,80,810,219,116,40,79,203,79,190,44,88,38,40,66,119,45,50,11,51,29,75,60,68,74,26,48,69,116,114,35,112,82,86,118,50,70,102,74,79,90,75,98,236,80,73,80,252,142,209,114,64,76,119,128,157,131
"hsa-miR-324-5p",388,195,267,221,288,294,11,67,19,190,25,54,57,367,144,83,61,88,84,63,144,60,152,240,110,166,163,262,46,66,97,180,249,136,206,300,185,122,133,125,164,153,121,213,141,150,145,251,233,234,1359,260,513,445,225,233,99,99,53,1373,158,376,1228,72,373,122,557,1216,98,114,176,218,193,512,214,174,123,160,150,153,70,171,49,117,54,110,122,99,185,145,136,134,163,169,104,107,317,190,218,131,305,258,144,259,134,290,439,330,381,176,235,417,275,192,216,162,149,321,862,691,203
"hsa-miR-4279",40,12,36,37,26,24,0,0,21,0,18,21,13,19,16,37,20,25,18,21,29,27,24,14,0,18,39,14,66,0,21,34,24,22,33,20,18,30,27,13,13,12,43,19,20,21,38,12,51,19,40,25,31,27,26,32,18,16,0,47,20,37,44,12,33,28,54,40,24,27,0,43,12,20,18,19,17,16,25,16,16,0,0,0,20,20,15,17,24,14,13,15,42,13,19,30,17,18,31,13,21,34,0,20,10,20,37,63,35,14,17,26,39,45,39,13,28,16,28,34,26
