"","MET8","HB16","MET11","HB15","HB14","MET12","HB50","HB39","HB38","HB36","HB42","HB32","HB62","HB22","HB60","HB44","HB52","HB31","HB58","HB64","HB29","HB30","HB56","HB33","HB54","HB46","HB25","HB59","HB63","HB65","HB66","HB23","HB21","HB61","HB27","HB35","HB24","HB26","HB47","HB40","HB41","HB37","HB49","HB17","HB53","HB55","HB34","HB45","HB28","HB57","HB18","HB43","HB20","HB19","HB67","HB51","HB76","HB75","HB71","HB72","HB77","HC21","MET20","HB70","HC19","HB74","MET21","MET19","HB73","HB69","HB81","HC20","HB80","HC22","HB78","HB68","HB79","HB4","HC1","MET5","HB7","MET3","MET15","MET1","HB12","HC6","HC11","HC9","HC4","HB10","HB11","HB5","HC8","HC14","HB13","HC10","MET7","HC12","HC17","HC2","HC18","HC13","HB3","HC16","HB9","MET4","HC7","MET2","MET16","HB1","MET13","MET17","HC5","MET6","MET10","HB2","HB8","MET18","MET14","HC15","MET9"
"hsa-miR-10a-5p",207,36,138,50,58,159,10,43,12,91,14,38,68,66,83,58,70,59,83,143,45,24,51,30,71,41,26,24,148,21,46,109,27,64,82,40,91,97,68,30,19,118,29,89,98,31,44,137,161,85,65,25,36,92,96,60,53,70,31,125,69,272,133,50,260,132,1299,176,102,50,121,327,107,225,93,15,34,45,92,134,56,76,13,65,18,128,70,68,103,27,57,82,168,176,73,128,89,137,174,73,117,107,69,183,141,85,150,344,139,107,97,345,225,281,120,88,88,176,129,159,197
"hsa-miR-126-5p",317,165,203,77,119,367,0,72,32,78,31,50,104,154,123,66,131,95,161,88,91,54,131,43,204,93,66,73,293,77,139,208,106,110,217,107,168,205,150,60,80,152,58,184,151,87,128,220,269,224,152,59,131,208,237,104,144,157,121,445,183,571,466,73,628,161,2823,686,247,111,302,658,315,590,224,172,128,149,196,288,184,183,16,211,43,256,129,212,267,68,70,231,315,386,255,357,275,384,349,203,215,324,256,331,261,148,275,1937,290,263,195,786,587,592,273,156,117,348,403,451,367
"hsa-miR-16-2-3p",25,113,57,28,40,62,10,57,13,0,33,39,83,38,39,11,89,96,23,117,35,73,108,63,374,12,20,20,320,50,134,50,23,50,131,112,166,39,156,22,32,107,26,95,159,102,35,32,48,83,23,13,131,128,57,43,24,214,395,100,50,60,38,17,47,43,89,24,264,24,52,85,145,19,35,632,18,50,34,21,486,15,0,30,22,35,26,40,29,35,33,46,50,43,570,77,20,76,49,28,49,35,671,67,228,10,32,126,28,211,165,54,48,99,24,160,45,49,34,44,40
"hsa-miR-182-5p",59,261,85,113,142,73,49,87,52,82,118,135,127,107,102,49,257,198,137,195,173,204,229,209,657,48,75,86,519,81,336,118,71,107,593,299,307,199,248,78,80,160,93,288,255,138,114,133,174,134,91,47,138,308,178,111,48,593,648,498,174,196,72,50,185,83,348,151,501,72,47,217,343,86,94,2123,40,110,74,87,1145,85,21,81,80,84,38,61,101,58,69,104,96,100,1475,114,81,148,139,98,85,62,1382,135,843,58,75,178,147,324,196,66,101,108,98,456,131,56,73,126,112
"hsa-miR-183-5p",47,118,39,62,82,46,21,43,22,67,23,82,71,51,44,26,130,119,62,345,59,146,121,113,275,29,39,38,305,60,169,62,40,59,321,143,142,116,93,55,43,88,45,140,174,80,65,78,127,64,59,39,70,140,116,67,19,372,366,167,71,99,33,40,91,34,153,78,279,57,34,106,142,35,40,584,23,47,55,22,386,36,0,65,51,27,24,39,57,35,37,54,47,53,862,75,36,98,81,72,57,36,730,102,603,38,51,77,59,149,104,36,48,55,51,251,93,37,31,62,50
"hsa-miR-29a-3p",83,39,126,25,25,174,0,34,16,45,14,21,37,40,41,32,61,67,52,74,23,34,80,32,66,19,15,27,141,23,47,45,32,32,83,47,124,74,52,18,16,39,17,98,56,25,42,63,101,50,70,12,64,82,100,38,35,53,55,217,46,191,137,45,128,93,562,153,112,35,119,179,152,123,70,92,21,28,97,108,74,33,10,40,17,108,48,80,61,40,37,53,121,88,38,95,71,93,117,50,79,99,101,75,64,47,97,902,92,54,76,180,124,248,110,57,37,101,93,154,65
"hsa-miR-423-3p",70,47,62,19,50,76,11,21,20,27,20,23,34,42,30,30,57,43,35,43,42,40,67,50,40,41,31,28,60,19,49,44,52,31,88,66,198,55,47,44,22,38,32,57,56,35,42,62,67,43,87,38,68,70,58,37,33,78,44,441,47,91,163,25,88,55,251,251,89,37,61,107,192,111,59,136,56,33,38,78,91,37,18,29,35,44,30,28,27,30,13,43,48,33,93,53,36,64,59,41,52,73,75,55,67,56,65,708,86,57,102,75,93,102,61,53,44,60,98,97,60
"hsa-miR-486-5p",1329,3837,1559,1596,2230,2167,547,1401,687,2989,1542,1414,2250,4617,2069,808,2892,5483,2012,4536,2325,2364,4723,2959,10442,919,1849,1458,7852,2024,6459,3042,2313,2086,6135,6771,5278,2752,4667,1179,1749,6277,1442,5478,4159,3489,2423,2553,2850,4348,1826,970,7015,9447,3754,3015,1074,13262,5244,10176,3987,4038,2682,1005,5581,1711,7702,3236,10662,1497,2322,5255,6523,2115,3443,51210,1165,2284,1608,3100,14887,1676,300,1939,1231,1782,852,2291,1995,1146,1297,3038,2435,2243,18372,3522,1425,3100,3182,1608,2000,2402,13546,2694,14265,1308,2592,5392,2155,6739,9622,2500,3732,3382,2170,4717,2230,1962,1529,3324,1800
"hsa_piR_008112",353,1417,323,353,622,632,83,696,231,343,494,911,1053,465,741,285,2121,1596,843,2850,624,1413,1683,924,6359,167,333,458,7319,548,2188,944,446,1128,3235,2240,3056,1243,2603,253,386,1227,399,1784,3881,1729,633,655,1156,1430,248,96,1881,2086,1219,945,365,5353,6494,2005,722,1260,316,334,762,832,1528,1007,5935,430,362,1810,3174,549,523,5645,224,1085,881,242,10917,409,31,711,717,424,699,524,827,739,814,1399,586,699,17590,1008,488,1351,1180,829,628,449,14425,904,3896,304,545,7150,1415,3517,2049,733,814,1009,726,2919,568,629,205,719,804
"hsa_piR_008113",288,1393,320,307,550,763,84,609,157,338,446,829,737,453,598,185,1386,1033,534,3808,466,1102,1382,854,4272,161,293,282,5021,524,1241,858,364,744,1828,1479,3028,781,2372,217,419,1118,444,1903,2903,1504,430,538,797,1497,180,112,1471,1653,806,587,305,3686,5227,1985,601,1043,292,346,679,628,1455,813,3823,389,388,1394,2348,471,429,5725,175,971,715,205,9055,329,19,746,773,401,801,722,926,585,840,1699,412,705,13702,1132,481,1570,977,931,753,389,24544,883,2742,303,628,2919,928,3327,2672,787,817,635,617,2882,434,637,241,814,635
