"","HB2","HB5","HB8","HB9","HB11","HB12","HB15","HB16","HB18","HB19","HB21","HB24","HB25","HB27","HB28","HB30","HB31","HB32","HB35","HB38","HB39","HB40","HB41","HB44","HB45","HB46","HB49","HB50","HB51","HB52","HB54","HB56","HB58","HB59","HB60","HB61","HB62","HB63","HB66","HB67","HB68","HB70","HB71","HB72","HB74","HB75","HB76","HB77","HB78","HB79","HB80","SB2","SB3","SB5","SB7","SB9","SB11","SB13","SB17","SB21","SB22","SB25","SB29","SB31","SB33","SB35","SB37","SB38","SB40","SB43","SB46","SB48","SB50","SB53"
"hsa_let_7a_5p",17.297819236597,17.0616023497116,16.9387023780684,16.8302812754581,16.8682206050305,17.4542047000476,16.8767468197907,17.0962111292198,16.6731852893022,16.7887272910229,16.5908037954547,17.109472808356,16.3569445210483,16.8348653055341,16.8235608939315,16.7811534625964,16.328270687428,17.2537102020375,16.8660150742934,16.4951954413006,16.486986090407,16.6947647612937,16.5203991361948,16.4531675105969,16.7921845508158,16.8305255213561,16.8420245867517,16.5978794504991,16.746451023899,16.8928544392919,17.0232309259402,16.8757248951211,16.5593790805018,16.6195977584659,16.9714060697182,16.9649823019307,16.8387376542317,17.0699622877105,16.5266261327974,16.4693849395338,16.157153497512,16.7829923593477,17.2654021220772,16.6521092363712,16.0137556402063,16.9101055533991,16.514282551364,16.4922038159928,16.2001185407622,16.5936288948106,16.7304654134799,16.6311535513463,16.8204808134317,16.9700355011132,16.8691168205526,16.0957082749797,16.5899572198144,16.7223075212063,16.5840911567359,16.4233730310147,16.7531089070652,16.9013916823682,16.5854034666153,16.9968393472924,16.1530359098524,17.1761166088561,17.0228500430704,17.0515892227346,16.9427767114358,16.9813075852407,16.5887957974264,16.96957793362,16.9479985603341,16.9775363494611
"hsa_let_7b_5p",16.6517460404289,17.3258787593871,16.4620015420375,16.0675761443321,16.7974325537443,17.2132176977931,16.5247375428793,16.585744609909,16.3679575406936,16.3006101321387,16.1613885929671,16.8300052306574,16.0759194928773,16.5205575672164,16.4657283655297,16.6172896106273,16.296255312707,16.8714301681547,16.3032078032896,16.0516175101312,16.2967223106891,16.397632516034,16.263384171576,16.4844217354854,16.3786251248363,16.6840939050994,16.7569205056964,16.5710181683492,16.3453323725886,16.4374681162188,16.4239004715808,16.4859636254419,16.2737236546754,16.2854681878608,16.5868537866251,16.5488429223818,16.3733717341002,16.6755841819099,15.9419675059704,16.026078309957,16.6752591591904,16.5877173804191,16.7232395304424,16.0730434221809,16.232840198513,16.7923208372245,16.5530294918331,16.0565359400339,16.3316973002924,16.4094957873608,16.2239268217863,16.2123402316246,16.6130418985041,16.4332276751674,16.6127416883685,15.6725037819364,16.2248980524756,16.3310569834436,16.5098476896299,16.2792094822853,16.6760776408267,16.0804049513947,16.1131087234539,16.7328402585992,16.7671800787896,16.8660547578838,16.3833581490959,16.6870085609876,16.7426000261923,16.861846734153,16.2918430514973,16.7486994961105,16.1143751659018,16.7421522760813
"hsa_let_7c_5p",11.7127187975365,12.2249727753595,11.6791851225151,11.2744116651669,12.7015050833996,11.5015669305832,11.409104325938,11.582587639293,11.0960242255739,11.2367317475502,10.7582774830286,11.8879052658622,10.9082476271422,11.3205327211723,11.782558750919,12.1679590761095,11.3555649586557,12.2623283674723,10.6630085826651,11.8494618716755,12.4418508688163,11.3267152697631,12.4777881536743,12.5142851433716,12.0662813164273,11.5323538651774,11.566801102475,10.8767151604127,11.4694501408354,12.3007919327893,11.5499412023311,11.3565655740687,11.893636674971,11.0136905581961,10.7960291379106,11.5268937345424,11.6278449124781,11.9958224454986,11.1375828738627,11.1614396644768,11.8043052235344,11.6073239058902,12.1041922983079,10.0534600032453,11.2108482429777,11.3333144539864,11.981418348362,11.2953409316919,11.296772995529,11.487202052352,11.1753928414405,12.5210377228037,11.9430628615353,11.2280677014729,11.0085846262451,11.6232026186886,11.5311835031958,11.4937517187485,10.6859335063791,12.3316689956051,11.8449014656276,11.4726100139022,11.0859688456914,12.0456527523084,10.300889038516,11.5014254269143,11.3551715925543,11.7630497817325,11.5576177773594,12.0007101650959,11.0587578160792,12.2498120263112,10.9879726753398,12.4342923021836
"hsa_let_7d_5p",12.5623091149694,13.0626146019529,12.4991676309257,12.2952730267773,12.5843368959901,12.5296736668695,12.251576495614,12.608065640511,11.9903205984475,12.4523156877712,12.0117131683847,12.7578887389629,12.241071372886,12.4897322983423,12.1105001385996,12.9982976675289,12.6501561427326,12.9101763860523,12.3228333539802,12.3876429629346,12.4872966405828,12.3179710611613,11.9840564517478,11.9015491874597,12.2802772328642,11.9500950841844,12.5406057687845,12.1975627337269,12.1594961276241,12.687362494439,12.6520629495928,12.3668432600739,12.0070812161739,12.3617257664089,12.4312368095061,12.4742717340014,12.5098757893998,12.88262872723,12.1961535875829,12.0916195018895,13.7019532985054,12.8745667871831,13.0806292288766,12.2401871614141,12.3270465224515,12.6169289727696,12.3812715625271,12.1858805644031,11.8344140136381,12.4579788735516,12.3090998890995,11.8583938653457,12.4611671784349,12.728853348273,12.5669374605522,11.7545448495803,12.2476968261008,12.6701196533144,12.7331981278164,12.1664812936534,12.2801907776989,13.045158072857,12.817370930926,12.4074747316029,12.9249399886554,12.4599297644355,12.4300381132221,12.523525689743,12.2664757509303,12.3010332861252,12.832236878259,11.915958430256,12.9576084111255,12.3889050877888
"hsa_let_7e_5p",11.0447718170312,11.8118579874097,11.4935686009935,10.5087153922855,11.6754742027095,10.5446197843869,10.7001058633285,11.0161556687594,10.7672536905079,9.62157046144898,10.4708190113932,10.3570965192647,10.0474734742542,10.2853365939705,11.5067456837902,10.9311773953332,10.5079665755666,11.4055417190965,9.11185071818513,11.4476892454204,11.1434121930739,11.5933999188805,10.1451747545237,11.160206279574,11.1265463678469,11.7663893996387,10.1821368006128,5.94887176686623,10.8111615990232,11.4745407968361,9.88800470303564,10.0404604163722,10.8483228083937,10.7482770241885,11.3390144040567,10.8746725357881,11.0030682653348,10.9785139628983,9.66717818652726,10.8188192917713,9.91696963575897,10.731338436629,10.3767066343539,9.36352168313371,11.1892310437207,10.0996233754151,12.2894337574324,11.1177067501259,11.1120417261963,11.5831584828796,10.6037199272978,9.97024580435329,10.9234393953671,11.2665930953206,11.4930981620807,8.72888035844478,11.2138664942248,11.5914533110086,8.55794220144867,10.4907025889246,10.8415672574235,11.9617609956567,11.294756247323,10.8005529435351,9.44297395225589,10.1365435529354,10.5176420707559,10.6078886135686,10.1133097182904,10.644281943603,11.3603426084333,11.5134508012568,11.6427054436828,11.5727531573341
"hsa_let_7f_5p",16.8837042612167,16.4004796902533,16.8498823514324,16.8231880576205,16.4817799563128,17.047242123207,16.5986773752749,16.6908684743808,16.4207670868152,16.6332815983528,16.3501221182862,16.64983673401,16.0068525790614,16.7823611498594,16.7409414255806,16.7557933264329,16.4024456310755,16.9939022182708,16.9467342239283,16.3311656382828,16.1956277439737,16.4670814204724,16.1197456267139,16.2514396879041,16.6164781249822,16.5619120994008,16.6957542103126,16.458772563548,16.8345990008631,16.9439133331826,17.0953530458106,16.7225331883866,16.5606534811956,16.6988285120353,16.8061927507026,16.9170060747653,16.8337618202193,17.0797715805957,16.8336077277098,16.6019322973382,15.8319716906012,16.3943877176644,17.1123520648622,16.3048953957147,15.8488782119366,16.9759539410482,16.2668527949768,16.3088256255858,15.8953320564158,16.3152180123518,16.6451565047996,16.3649284027116,16.7430874190065,16.9078193662658,16.5172324813287,16.1675623362462,16.7186876586734,16.6559272893903,16.5524633120458,16.096416773983,16.4565262924376,17.1639106781251,16.7836281337587,16.3639435228417,16.1435742316714,16.5443269585448,16.7425011857082,16.6476901853483,16.4568255674477,16.642631010726,16.715276917443,16.4834970830463,17.3118885072293,16.3524183233398
"hsa_let_7g_5p",13.2095242553153,12.7197043820149,13.264605208712,13.3287029673378,12.5955981650696,13.1041476161876,13.2966924742953,13.4666064111448,13.488565643403,13.5598683013823,13.0744390021255,13.3687921397,13.1655312511009,13.3072713835875,13.0250014598612,13.610146581474,13.039016905879,13.2600314899476,13.5342811717301,12.9206058240769,12.7769756204925,13.1906883226121,12.7037792496131,13.0865607870391,12.929636520445,13.3069677616406,13.3453001034687,13.5696059562578,13.2225298245836,12.8679260777209,13.2187525193343,13.1332295269961,12.8109237416449,13.8037455220341,13.2028898841527,13.1778654962589,12.9580483949056,13.0990700799382,13.2747466754383,13.1826689084834,14.2360738433847,13.1842269862882,13.1549863205497,13.5755253608997,12.5400759747017,13.2366635054933,13.1136029582674,12.8971478469162,12.5224778981885,13.3169834896838,12.779498088697,12.7319912183449,13.105047452399,13.4305685495623,12.9712915242719,13.0315329435199,13.4771301076567,13.1830789772792,13.7546527570409,12.5883280976611,13.1134830961553,13.3941201239968,13.2959004559786,13.0116205523363,13.5618570658133,13.2859599460791,13.1549275619164,13.4081527124157,13.3652765073796,13.4018147710162,13.2893810618412,13.1137496934339,13.6379484419028,12.791747200722
"hsa_let_7i_5p",15.6555445024373,15.6937952627834,15.7993612543389,15.805087621918,15.1025739665291,15.3337239265591,15.9068897589646,15.7406066566119,15.7033177218834,15.730876660673,15.8099413697075,15.3846859128696,15.7550300428175,15.6362829657611,15.661530427002,16.2668040094921,15.7381371500554,15.7226651478004,15.9146087733987,15.95399030608,15.4486705476325,15.9858749304245,15.7127886008769,15.8665818550304,15.7033945060261,16.0202254652613,15.8630355746555,16.5827167260248,15.6544105491191,15.469070588536,15.8447241739945,15.4271079650569,15.3658464450257,16.1110626843702,15.7418781009632,15.9085717160239,15.6454510303497,15.7085825163215,15.9096639067565,16.0515564515485,17.3092592659123,15.9604134078973,15.8697941500043,15.5141603038974,15.4868389053473,15.8947325130901,15.8822538101709,15.6456367589591,15.7094747411709,15.6748031392251,15.2828262942532,14.9257110232798,15.7251872369123,16.0482578450352,15.9632004751417,15.1765287790829,15.8699457306831,15.9572006363593,16.225638602769,15.630793069709,15.780798398606,15.9039158793894,15.9750542525137,15.5558204112172,16.3790808127322,15.6181907537898,15.7700416277299,15.7294119958578,15.7866743802464,15.5633928255113,16.044815740459,15.6197492019228,16.0544033241706,15.5272856042339
"hsa_miR_1_3p",5.19128562443,13.1168772805901,14.4809219569131,7.28434353091946,5.19128562443,5.19128562443001,10.4290299607023,5.19128562443,9.13735541287011,8.5756402068373,10.1764691687775,8.21508418831438,9.13170351312777,7.50680034368891,5.19128562443,8.6616065118318,5.19128562443,9.24442371980806,7.74385325697559,10.1154098362274,9.21038281641306,10.5951908082446,8.94059709572907,10.8712951799515,8.78330296090769,9.97455376971207,10.0102634581872,5.19128562443,10.9194347374738,5.19128562443,7.07627896197245,8.81704987270051,5.19128562443,9.48967678817975,10.5288976416332,5.19128562443001,8.73431827204199,7.87856652366699,8.25735130128431,8.40331329283098,6.4689833990733,10.7606922916182,7.41429769583281,5.19128562443,5.19128562443001,7.00935724784495,5.19128562443,5.19128562443,5.19128562443,5.19128562443001,5.19128562443001,9.07900716944706,5.09825242675699,5.09825242675699,5.09825242675699,5.09825242675699,8.0999072683366,7.93941308501729,7.98618611450455,7.95644189838362,8.90201601809126,9.28069894545409,8.06829770155623,5.09825242675699,7.57756615333267,8.66319835576992,15.0711275532646,5.09825242675699,12.4522176886981,5.09825242675699,9.58197135325338,9.62036135569317,8.06880003903831,8.13307801520174
"hsa_miR_103a_3p",11.9719202956434,12.1852310356568,12.3551628769209,12.2354288344024,11.5220479508316,11.9176130159208,12.4991143284762,11.8590152383795,12.6372896654725,12.5189457436285,12.4594219208757,12.1716187137685,12.3384057722333,12.6797063089083,12.3714232575526,12.5442089367259,12.7190203317352,11.8334463909248,12.9469507606946,11.8605185297332,11.5031956858995,12.6166795900573,11.7640959219676,12.4586674960934,12.1851189520821,12.5265491304569,12.5817239645001,13.0739587472655,12.1236778953685,12.0934166603208,12.2161725478996,12.4313583760631,11.9117039335074,12.5530903751139,12.2240001221558,12.1389371308485,11.7537626358187,11.9472867228548,12.6270553503714,12.8023348201235,13.5402848150164,12.163267253073,11.9058530575145,12.7699301340925,11.5621666714414,11.9933220339681,12.3712365066089,12.3213591116404,11.6413010953583,12.4819953404016,12.5796954002056,12.2878850065013,11.9661806944024,12.4210579980556,12.1020038825926,11.8541234512846,12.1854760012834,12.2813200294261,12.8556354281677,11.9841401743429,12.2754175772988,12.3740109700225,12.7137013582373,12.4114644909149,13.1703549288792,12.8837224945377,11.9933354069528,11.8903818592478,11.7334348236937,11.9458286048749,12.7594026810984,11.2062997699027,12.658703046479,11.9659622060552
