"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa_let_7a_5p",16.8941525752936,17.2791720401355,17.1147478981825,17.4650845699564,17.1839817137136,16.9098393722742,16.9642026347003,16.6375562182019,16.6118920434021,16.7496974475588,16.9785372614639,17.0868365575515,17.1018812581614,16.5850686733748,16.4596664666584,16.7201372423139,16.3727454243791,16.6771048126078,16.4995725936164,17.1207462844156,17.003656942032,16.2088652043921,16.7313592951795,16.8293490384598,16.7316364901538,16.8973914140194,16.8807426894012,16.5502962361948,16.7641388513198,16.635229776767,16.5898509211931,16.8544854293795,17.0721548288409,16.9190168338859,16.8953227319363,16.6450713634742,16.4404716815765,16.5163816156722,16.7862185773694,16.9451929319926,16.7188731291601,16.7086202455722,17.1901802093379,16.8931293568403,17.0202460783138,16.8623178263768
"hsa_let_7b_5p",16.2272953780885,16.9846717654513,16.8633533773851,16.9291094153226,16.585325241069,16.2046016720336,16.6459671028203,16.3975878717982,16.4736937388282,16.4589326111213,16.5712298825062,17.0610929605683,17.0159631773766,16.5260572454093,16.4136374076496,16.6810835196515,16.4631493294825,17.1350912741061,16.7080530665315,16.6837392995398,16.6020871664052,16.3313702242878,16.495711239921,16.5782374808096,16.3737829434886,16.534020945046,16.8426793404738,16.1282455073355,16.2809855763282,16.3485177828554,16.1568865387388,16.3252885803449,16.6092538556878,16.7410623655927,16.5317907418539,17.0096590196684,16.1041796100291,16.3453182687704,16.4095471975119,16.4377413447782,16.2965784297472,16.8395288194143,16.695226232398,16.6079752000889,16.4846925126143,17.1976775437787
"hsa_let_7c_5p",12.1724270084985,11.9513325062146,12.0837919811717,11.9341309320435,11.6568339813012,10.759696162226,11.7966183279241,11.3614850485879,11.1975901228248,10.6606941756153,11.9107850505163,12.1826181612932,12.2561693991701,11.7787098015224,11.5812611887427,12.0202984019114,11.6571081479935,12.397205078543,11.9347475415395,12.2716772573519,11.704956163741,11.8656362723125,12.3340418867625,11.6884730183461,11.9974682249985,12.0976713844827,11.7601460438182,11.301132687201,11.8657700324242,11.6558423132915,11.6080859184523,11.6993202406806,11.3323990155423,11.6335130361334,11.8594188214982,11.7842227665936,12.6192895199143,11.9253987148504,11.3692477144874,11.2196846340516,11.8397052748443,12.6342798740602,11.7565871401934,11.6393795127102,11.4824599556817,12.0793062920326
"hsa_let_7d_5p",12.5988475651628,12.9295411671499,12.5525949871475,12.8880774725128,12.3730817801938,12.5249383859917,12.5668232470773,12.4818021648271,12.6968601454969,12.3388293513884,12.3109556167743,12.8615956710608,12.5898713401291,12.4525661535775,12.4039694105397,12.4158311866567,12.2527789175541,13.4791553715613,12.8564556369389,12.6131032692153,12.5133112488471,12.5355284837372,12.2371511452215,12.4811214379323,12.4074026987813,12.3458794603731,12.5876945176283,12.1794777371631,12.1439200994954,12.1552621057639,11.7927332602547,12.5943421993176,12.7915378799834,12.406337497035,12.5230338580406,12.4757229008965,12.4051612344661,12.3779565039992,12.8673242581054,12.932986785493,12.5677994041333,11.8282285324141,12.8989626202764,12.4779644713512,12.5807123465324,12.2435313383602
"hsa_let_7e_5p",10.057735635859,11.6483351288824,11.4924354081219,10.0005659313587,10.8196625562587,9.5655025399658,11.1826884585389,11.0439031152102,10.8869906768392,10.5650213818291,11.843632363827,11.9528073470701,11.425061935956,11.5035894577225,11.2397519725197,11.5394750252023,11.2416307825099,11.3176877675262,11.7639284311393,12.3645035053497,11.557060365169,11.5748526796412,11.6986197610968,11.497406459207,11.140554274504,11.5586880951479,11.32966467055,11.1514876203426,11.8564519332022,11.829978326277,11.9403270053397,11.4039760941862,11.5290732527838,10.8601997307358,11.4856300129126,10.7226994572685,11.1857893866866,11.549286295428,11.9220019382047,11.036492218236,11.2589959168086,10.8183296794126,10.8088100196944,12.2809229134127,12.3405740489843,10.7837521426667
"hsa_let_7f_5p",16.5467722403141,16.9282749051585,16.762882130706,17.4199594663391,16.7752469448317,16.7175373458782,16.645156812259,16.7872505923916,16.5740198673976,16.7633139033344,16.7891196704641,16.6575170983306,16.6489026228873,16.113736516839,16.2863249168695,16.1328528367047,16.1399299266813,15.901284568076,16.2076008273368,16.5837296981563,16.4360759178433,15.9405595271078,16.323054767462,16.224118393216,16.3855962884924,16.7017519239203,16.1488222405055,16.2391135729308,16.6328377621347,16.4285159383921,16.346748236405,16.7112973432263,16.7183552025306,16.3401728874071,16.6049249754052,16.0822493091108,16.3893125213968,16.2231993803565,16.7287726531519,16.6185492025767,16.5322833045051,15.8736613059379,16.8993744511289,16.5704238713066,16.9142326841632,16.210355237083
"hsa_let_7g_5p",13.0850490016327,13.2213582609085,13.4300749678651,13.5086931992625,13.4547379078648,13.7298303162533,13.3338476334956,13.1154733534367,13.1095251273866,13.0884400712408,13.2815189803378,12.8372674092727,12.8824351513894,12.7832777589239,12.8749243573626,13.1138121595472,12.6493926238139,12.6722853170358,12.7277495780296,12.8222453892683,13.2338416077059,13.4191233090239,13.1294467053001,13.1056342032959,13.427956455615,12.9217618758639,12.8461181469323,13.0071789274324,13.3920230442525,13.2479591088649,13.1385607183742,13.2792861872296,13.2429899241473,13.1114953946362,13.3859786782785,12.7347389527663,12.8042140283143,12.9844374549638,13.3940237210216,13.2542181212575,13.2744030510269,12.9807900684314,13.7911378538802,12.9969036652467,13.1581119162929,13.1124666657875
"hsa_let_7i_5p",15.2104395329833,15.6618955063101,15.4658729847255,15.6667014160042,15.6086429901149,15.9119421650919,15.5349694216233,15.8613476768936,16.0783510060985,15.8645176592023,15.4783639697827,15.7147381913698,15.548484804804,15.7924870090603,15.7617843127936,15.7884695826657,15.6407056876389,15.6148803582992,15.7147595279062,15.8819604487485,15.6887814363138,15.7762280422087,15.5917757943,15.6813673080098,15.5722492982524,15.4102635170682,15.5423680131348,15.5433167756282,15.2763426524746,15.3659377995638,15.3154197271855,15.6168152280267,15.7400692977471,15.8918062158976,15.4451218827334,15.9109581050283,15.3261218833103,15.6088674100261,15.8438588650882,15.8355114575806,15.4476897056141,15.1980469541874,15.6619795995674,15.5567576839631,15.7026881614816,15.7239815638576
"hsa_miR_103a_3p",11.9663849119356,11.9784739322385,12.1719566695213,12.0846198048007,12.2179258286344,12.5429145680808,12.1994504889114,12.3785460451617,12.7728478381792,12.5799464824432,11.5746184391392,12.1594094443428,12.2008567331815,12.2532084706083,12.502265959121,12.1828044700467,12.4538440555655,12.2924411424762,12.1362977723829,11.7558020083211,11.9452478323288,12.5612712355405,11.7559602367064,12.3940918316657,12.2927036739407,12.4202245110883,11.8710289250923,12.1623475978809,12.2111986088971,12.316244548973,12.3020490537517,12.3906979081879,12.4369412879514,11.8607119189442,12.1748651800749,12.2080629260265,11.7593534681779,11.7962648038561,12.4923380147214,12.4961858890338,12.1107504989057,12.3914262976812,12.2100591178052,12.1753472462808,11.7222223503357,12.6496638432717
"hsa_miR_103b",8.08836629032261,4.68319581325394,4.68319581325394,7.94471870790801,7.4710738216342,7.85287231399848,7.51521003743545,7.75613285499373,8.08492427902493,7.71829887202454,4.68319581325394,7.87607045738949,4.68319581325394,7.3157964080212,8.38460634187446,7.23953130942718,7.88472283535666,7.93154215497508,7.99937337609135,4.68319581325394,7.62275330999047,8.64320688561494,4.68319581325394,7.62005451392098,7.82809991504314,7.12484409888388,4.68319581325394,7.16200927007458,7.44749284829809,7.56761541396668,7.17770813908931,7.01647203758482,7.01647203758482,7.01647203758483,7.01647203758482,7.01647203758483,7.01647203758483,7.01647203758483,7.01647203758483,7.01647203758483,7.01647203758482,7.01647203758483,7.01647203758482,7.01647203758483,7.01647203758483,7.01647203758483
