"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa_let_7a_5p",16.9252080236145,17.3006309916039,17.1404920077754,17.4824634166133,17.2078900242895,16.9400679892757,16.9938205546884,16.673834092683,16.6493146337621,16.7849255610009,17.0850630992226,16.264035686087,16.9026012682028,16.3125794263595,15.5878204688792,16.0688716800967,16.8011001939988,16.4783726022203,16.7493798398254,16.1828641952231,16.1054667406375,16.687652939569,16.9219188387958,16.0193824521354,16.9440982791901,16.834399724582,16.5684117218817,16.6840702019529,16.5514602831117,16.1269556842247,16.4354773789102,16.7196811949123,17.0130200067897,16.8047756936643,16.7703672719914,16.4387550759385,16.1659098560928,16.2644336898,16.629498819347,16.8408998611674,16.5329671793125,16.5138321525791,17.1675707683627,16.7720903054405,16.9422563099453,16.727866982817
"hsa_let_7b_5p",16.329754202381,17.0178385892551,16.9078771667089,16.9677999996019,16.6550418529562,16.3086693266485,16.7105311213805,16.4834736360779,16.5531791168764,16.5409566193843,16.7418358401142,15.257518502289,16.4601092976596,16.173073778725,15.8748102881808,15.7473840536199,16.5811147901561,16.230551210286,16.31613977127,15.9502951031575,16.0936588399538,16.4899755680428,16.9256376539216,15.7067382248086,16.5790258063919,16.4832723535264,16.1014374257855,16.3316295479872,15.9106291295014,15.9474181143684,16.0250105882157,16.003508012126,16.3978258718358,16.5777667100425,16.2864666323946,16.9494509929168,15.6975529432171,16.0290605706062,16.1207942727625,16.1589999746221,15.9601396888054,16.7074214675982,16.5145212494858,16.3950013888592,16.2246206179687,17.2085700603166
"hsa_let_7c_5p",12.2426561114177,12.0415572190921,12.1621866856151,12.0263684170712,11.7740779465482,10.9579413808783,11.9014715189813,11.5047066059327,11.356207260484,10.8689328237785,12.0691672457073,10.4583764573825,11.5271339906142,12.0825929490716,10.8740762641346,10.8852714615703,11.8508508321316,11.2967384351833,12.0382646218858,11.3804384817875,11.1117464169196,11.9301707134104,11.6817015437103,11.3697344527335,5.8994818164961,11.6685040604766,11.6197344808824,11.7933569351635,11.7630449514892,10.9683147826585,11.5286837354918,11.2279217002173,10.5593124567889,11.1064887978638,11.5167660209482,11.3822214481221,12.9086714896984,11.6380659927041,10.6255469024773,10.3509284582763,11.4793252825797,12.9257956576212,11.3316633494816,11.1190652351967,10.8323888304474,11.9201549137988
"hsa_let_7d_5p",12.6193681460211,12.9413974717048,12.5743422362508,12.9014539635266,12.3992012496464,12.5468686154084,12.5884306601398,12.5042319542628,12.7143796928218,12.3665955826226,12.4250817360551,12.0045208619735,12.3501305000991,12.0977967562388,12.0099630589597,12.1907295547619,12.1803460913065,11.9752519814253,12.1341204307488,12.3168589140036,12.293813559448,12.6619274566818,13.0843705695938,12.6405300887765,11.9969886496543,12.4154612541331,12.195609166146,12.3785241459158,12.3805040587548,12.0308740837574,12.1176502113173,12.5020557657406,12.7107581128921,12.3036861199922,12.4246864450448,12.376795201901,12.3030636291818,12.2726353946169,12.7896880120892,12.8579944842495,12.4708422259571,11.6899959930744,12.8216752356619,12.3801695254769,12.4883033941488,12.1318581771284
"hsa_let_7e_5p",10.1538068505689,11.674302704079,11.5257702068521,10.0992056458909,10.8829485652285,9.68099253116395,11.2301973626181,11.0963529651741,10.946917584176,10.6401782378487,11.9233638339676,11.3144583633017,11.5413155186935,11.2506364519113,10.5085683299552,10.9177740703945,11.9705612817667,11.6368311072299,11.8945715671889,11.7192541463446,11.2395249709663,11.5145461115189,10.5935249974056,10.6434534715377,6.15139064401859,12.2680107314021,11.7110954855505,12.0812183198991,12.1439539341105,11.3258224496332,11.7504692319972,11.2448929907282,11.4326669356462,10.4367702870232,11.3623675212718,10.2329183623419,10.9209401295982,11.4575220492913,12.0144933809657,10.6994868521147,11.0246970089623,10.3655993558745,10.3606979016099,12.5465690501273,12.6352342010422,10.3222652583598
"hsa_let_7f_5p",16.570733137469,16.933421783917,16.7763743650204,17.4016099761305,16.7879823509335,16.7327294982904,16.6645982009317,16.7984670814739,16.5961502224455,16.7774042257342,16.6230528858414,16.7352046730004,16.7288286831778,15.9189080311393,15.3096400842607,16.1716271165294,16.3721654492862,16.2994785481768,16.5174168196107,16.0567274615533,15.8006515501627,16.1187902271514,16.2632090793296,15.5105812069268,16.4819865204922,16.6085940221941,16.1746456464941,16.2925799467145,16.2057288479281,15.7560058939722,16.0908512441548,16.6813015881914,16.692244679765,16.1977958983745,16.539965156325,15.8626135376833,16.2624638588899,16.0441671288441,16.7048703588201,16.560646492197,16.4443752409697,15.5837555201031,16.9251192872085,16.4986867815584,16.9459061555336,16.0281430728821
"hsa_let_7g_5p",13.0378947644851,13.1737889529274,13.3825296941852,13.4612028515141,13.4069947766494,13.6812972969665,13.2866635865127,13.0671973792706,13.0618133931629,13.0419882982426,12.8990861270268,13.1282878313733,12.9754357608261,13.2166232110983,12.9270301768678,12.9994066637441,12.8060516053016,13.1297708080652,12.9778372803313,13.393312193876,13.4235173036303,13.1053257287499,13.3029430930568,13.2980862814592,12.9320624339337,13.069297968794,13.1685230045771,13.171201897844,13.3896344942106,13.1721949996681,13.469232403444,13.3595135729619,13.3283713392513,13.2096182989311,13.4524749262122,12.8745199896629,12.9367044615071,13.0955697847539,13.4621556320235,13.3371752314451,13.3524594662318,13.0884797026997,13.8144526258813,13.1086262589266,13.2521665113473,13.2099311087091
"hsa_let_7i_5p",15.2422157822163,15.6509272871027,15.4736561813824,15.6557365585454,15.6028269649213,15.8772072249131,15.5364655903622,15.8307908031758,16.027892815654,15.8353876335159,15.2636310748272,16.0455462361579,15.6293962149383,15.1897207446718,16.1883630041167,16.0567211025282,15.3642947776705,15.4509660339985,15.3495244990664,16.0480247508477,16.1146983770167,15.4650760384831,15.9363800225845,15.9808304992795,15.8451148583389,15.7136520309395,15.0972110647586,15.4733991830572,15.4045817620152,15.4995865423849,15.1474523523001,15.6252489562099,15.8019838222825,16.015163107505,15.3785503874866,16.0425665465913,15.2120519263642,15.6117479269378,15.9486283610451,15.9359560275486,15.3811754517196,15.0226586957721,15.6887504261414,15.5404247973741,15.7479220775913,15.7759319828999
"hsa_miR_103a_3p",11.9337190177818,11.9443043118875,12.1178736613375,12.0398251066094,12.1588809293112,12.4495233784363,12.1427154432769,12.3017551251768,12.6553398681783,12.4838319852083,11.8753684745154,13.3073759027884,12.432326656864,12.1084256495365,12.9005315548105,12.9432792937139,11.8555241722061,12.4590712286021,12.3803773702423,13.0592899664353,12.5758497384425,11.9331885168872,12.120562443347,12.7060571026013,12.5673001650922,12.5954655157284,12.1266216687661,12.0866215678231,13.0677135973412,12.7308631054127,12.6151060838402,12.6397644002306,12.703573298608,11.9235082681134,12.3460565018328,12.3927045709498,11.7871868226638,11.8352461421053,12.7775897226972,12.7820674374121,12.2586042443992,12.6341197774119,12.3953685863379,12.3495539665255,11.7377014268578,12.9877674161817
"hsa_miR_103b",8.00576223383083,4.46468219452556,4.46468219452556,7.86187974897259,7.38532484449611,7.76907282299275,7.43012448308247,7.67136590212542,8.00185013470223,7.63486769963964,8.01967466547705,8.32384744540459,7.74359589634564,4.46468219452556,8.03998453783752,8.0712074172706,4.46468219452556,4.46468219452556,7.81128324212566,8.77227349774918,7.91257882956938,7.43217470276943,7.67363225359242,8.13324429583496,4.46468219452557,7.77202435284269,4.46468219452556,7.29207282277272,7.74131756081854,7.55337587413452,7.06959566838099,7.00832748458876,7.00832748458876,7.00832748458876,7.00832748458877,7.00832748458876,7.00832748458876,7.00832748458876,7.00832748458876,7.00832748458876,7.00832748458876,7.00832748458876,7.00832748458876,7.00832748458876,7.00832748458876,7.00832748458876
"hsa_miR_106b_3p",8.02972732472407,7.82118059802256,8.01469973165821,7.48938316025411,8.27502060393734,8.71248757485884,8.19360327449409,8.10076046204838,8.85994024899468,8.58955796226774,7.87682171817753,9.03197765858094,7.9441397248113,8.23668755327713,8.79226065840425,8.64119391104567,7.96270956926816,8.32115553304373,7.68967111343364,8.82382615706456,9.0369057516321,8.717939943674,9.20863058984908,8.92789314810413,4.15515732510048,8.52842425892815,8.00475724649889,8.19066622945043,8.55329607385321,8.52059896395697,8.16986848612861,8.16767660243011,8.16767660243011,8.16767660243011,8.16767660243012,8.16767660243011,8.16767660243011,8.16767660243011,8.16767660243011,8.16767660243011,8.16767660243011,8.16767660243011,8.16767660243011,8.16767660243011,8.16767660243011,8.16767660243011
