"","HB1","HB2","HB4","HB5","HB8","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80","SB1","SB2","SB4","SB5","SB8","SB9","SB12","SB13","SB16","SB17","SB20","SB21","SB24","SB25","SB28","SB29","SB32","SB33","SB36","SB37","SB39","SB40","SB42","SB43","SB45","SB46","SB49","SB50","SB52","SB53"
"hsa_let_7a_5p",16.9727063353202,17.3696440269968,17.3560768672268,17.144599591783,17.031483706451,17.1934781502526,16.9660259547107,17.5416171628591,16.9726926526913,17.2618674112135,16.7789244458976,16.9883284278033,16.7042041849622,17.043329340783,17.1901955440924,16.7189943106019,16.9332383345289,16.6924888630318,16.8830546230114,17.329197999153,16.8287859760387,16.6168452388881,16.8044421569175,16.8932497333959,16.9320579316945,16.9421199101102,16.7133692353079,16.9890122042625,17.1122104544135,16.9728901175456,16.675304693465,17.0639065520765,16.9367865710476,16.645872547353,16.2972447633525,16.8873765741281,16.7591134549864,16.1572428444585,16.6306447536619,16.3340370079767,16.8339827805112,17.0325006696105,16.7418983522181,17.215485513771,17.1218403747984,17.0785507458608,16.1764166695123,17.0704069094888,16.852674231793,16.8535336681723,16.7115726007915,16.681825612544,16.5311427019843,16.7554951990392,17.0445674782348,16.9723564265803,16.6997606488035,17.1086409444891,16.241720410317,16.9212703637935,17.1812358604632,16.9141015340922,17.0783132716035,17.3083259532779,17.1193274005765,17.0660556014289,16.7073334484492,17.173371761346,17.1036198834351,17.0337490006621,17.1305635686972
"hsa_let_7b_5p",16.2354308957407,16.6197996195747,17.0276509506327,17.2727037896907,16.4343564478587,16.9020860696902,16.7618919013681,16.9699683360123,16.4947990046733,16.6105711540036,16.3393240313381,16.2116880876965,16.1413524692378,16.6744219053524,16.7905713785895,16.4157369212816,16.4906292640297,16.4942551029567,16.5851732730114,16.8348891184932,16.4777031491744,16.0373943455327,16.3743125448954,16.3525821589378,16.6532408152537,16.7232818868887,16.5431388402128,16.4111966638459,16.3987360245438,16.458393312226,16.2514794459875,16.5578833362575,16.3472069719169,15.9300233799997,16.6425003228048,16.5593988973359,16.0521644871951,16.2056529874783,16.520798616001,16.3037850668074,16.2004949320928,16.3330776021063,16.2547146929961,16.6010017748108,16.4988083756914,16.7190710830462,15.691308930129,16.5304387881433,16.389912456124,16.9759191710219,16.5872043956472,16.122280179156,16.3370777556079,16.3569622993985,16.1207246901648,16.4104165054056,16.1545217411628,16.4390990030403,16.8604458787783,16.3079244246844,16.4471271839975,16.820859650444,16.8183375484631,16.6774634890778,16.9448217688245,16.6004115282177,16.3479171470895,16.4846429578043,16.163136937259,17.1516023306228,16.8285395565258
"hsa_let_7c_5p",12.2979670470979,11.6828166272124,12.0704479224046,12.1644054132278,11.6504185390423,12.207979576413,12.6189355768131,12.053172976175,11.3940926657385,11.7681324892854,11.0949523563706,10.8441204200238,10.7779834343274,11.9123353151519,11.8460151973912,11.4656925848157,11.3101272060647,11.2959673897164,12.1127346459141,12.2041958106455,10.7420995219097,11.8141088584838,11.3191617658142,12.0163017378363,11.5138847434232,11.5456795039485,10.8929350441068,12.239516499006,11.5294483567986,11.3456131367324,11.853862854841,10.8158605013521,11.6010088966865,11.1394747279725,11.769338522995,11.5848684017174,10.1069732187932,11.2017160957205,11.9344572604762,11.2848492528232,11.1714511394053,11.5142172239731,12.6926436418506,11.1723574398707,11.2718710325075,11.4465460811696,11.7125781985009,11.6662635576845,11.565779952611,11.5908524189035,10.6790865516112,12.3688106594563,12.4950439421685,11.730213487263,11.5402827786431,11.2042825615657,11.1114579178569,11.0670184095797,10.2517310222662,11.6470838635503,11.4140386949987,12.3884228440572,11.6255376055385,11.5629550462634,12.1148847816199,11.4592193075179,11.0843770726656,11.3134156159322,11.010698050691,11.8641498466405,12.6063636418076
"hsa_let_7d_5p",12.7764013792994,12.7681898489937,13.1084949799857,13.2470779340892,12.7067276682625,12.7310516768695,12.7896289651113,13.0672461464524,12.4675515483412,12.550099386157,12.2132244831038,12.7021469752468,12.2366793928131,12.7451243244549,12.9541214288622,12.6607442838181,12.6969676832343,12.875811840406,13.187294617961,13.1044308819343,12.5151058218137,12.6016214308836,12.5344781039259,12.4952593552893,12.179904543287,12.7482418180685,12.4184331815085,12.8887224482085,12.8553845974898,12.5798461998874,12.2328820094484,12.6430258322742,12.7162821515828,12.4165341989675,13.8659289738844,13.0708074292533,12.4540482354486,12.5358638709219,12.5911494621542,12.0627321230804,12.5217291814229,12.7924884745824,12.0125117694158,12.9760626356473,12.9273845496722,12.6106724681264,11.9187075732037,12.7293364014139,12.866359139878,12.6794400564493,12.9397934102353,12.6138568700847,12.3457437525385,12.5971828814673,13.2538084271933,13.0438054702501,13.0158102442717,13.1073165876651,13.1378228755536,12.7700596230789,12.6185429361236,12.0836528259591,12.4347638104953,13.0705374202231,12.4699421450141,12.6852608308762,13.0346282768619,12.7813244252171,13.1701007284878,12.4617180259801,12.5745491972868
"hsa_let_7e_5p",10.3691496734506,11.2181263614946,11.9081185632873,11.9337494980395,11.6380299114216,11.7585991651607,11.8091814388204,10.3139897107741,10.8939247829241,11.1075082549311,10.9545396685564,9.89142511922801,10.679174582676,11.4589665088125,10.5709870037281,11.3257299100359,10.5047746232107,11.1730350195125,11.1107624962812,11.5571471753293,10.860537454505,11.5972686372032,11.7337517798744,11.2936885574516,11.895762078526,10.4099664406134,6.35031925669144,11.6208197245344,10.1335032969459,10.2760791133913,11.033795010982,11.4948960187395,11.1777564296597,9.92638807706475,10.1599178010804,10.9259317559829,9.6363470352317,11.3482547738464,12.3813912346356,11.2774999680723,10.8023775432219,11.2423881617825,10.0528906814829,11.3677264926083,11.4965153472118,10.6905148398675,8.6972225170824,11.3276758189617,11.8552894399253,10.5579448058679,8.51256980603588,11.0210583269292,10.6429150408775,11.3944887963804,12.2614676036587,11.7572849379783,11.5234501620262,10.8749826317101,9.48964783249733,11.1000658623319,10.6713461718247,10.6608644065917,10.2087199669384,10.6413105660386,10.794343848608,12.1199541573477,11.5998052677741,12.1801855286414,11.9176520227787,10.6168656369758,11.8351946785731
"hsa_let_7f_5p",16.478713355589,16.8698026471431,16.8542537497446,16.3862474595091,16.8355637505966,16.6926037079191,16.4703937112269,17.3387657820462,16.5852282790387,16.7041950494319,16.40583735926,16.646851359154,16.338406611144,16.576469638701,16.6347929774424,16.7174048947564,16.7677702434316,16.5064767886513,16.7416706027839,16.9804183368604,16.6918754742359,16.3221563582246,16.4572936491647,16.6029743372629,16.5515809137653,16.6838836418856,16.4490323956055,16.9297016824425,17.0809379692029,16.7095705981879,16.5483930737185,16.7938622209989,16.8187811988179,16.821183406241,15.8239206399591,16.3850163718308,16.2906300683609,15.8353522379721,16.2539310479655,15.8832034569726,16.6301958419112,16.8412774462469,16.3203840577562,16.8483667080215,16.8184484178815,16.4747782578236,16.1581197920986,16.7416665104117,16.592331600277,16.2297013366305,16.5077411708873,16.5268344020855,16.0930373941026,16.3751898804227,17.0459069840545,16.8555897342093,16.7031888030721,16.7515411711879,16.1393306543087,16.6704358744459,16.6718635695037,16.0344667379741,16.4008737595332,17.0178361086589,16.5669016637723,16.7059927313228,16.6453734428347,17.0392212621806,17.1864288207663,16.3517125282415,16.320355469272
"hsa_let_7g_5p",13.3847300371682,13.5810343752928,13.5134458926481,13.1041882012914,13.6337285364502,13.7118069726462,12.9872688593536,13.7853112169641,13.6642179002744,13.7345483004218,13.8474040713471,13.9939374507823,13.4495204256999,13.6206769468065,13.7327077516722,13.4153139066113,13.6743657844724,13.4087564765005,13.9676195666907,13.6308996014672,13.3878868033682,13.3031879003194,13.5644697756832,13.3091836844064,13.6769498069939,13.7132865754974,13.9309866778761,13.250601475883,13.5906344409416,13.5072445759012,13.1952141956092,13.5756981393613,13.3364497193128,13.6452680678812,14.5737042977635,13.5582193898629,13.9315116042526,12.9280336180334,13.485791620412,12.9125936771764,13.1626868772584,13.7078537120908,13.1004451805921,13.6680581864464,13.7875146176079,13.5145072789407,13.4063222132056,13.8292743018455,13.5482474229016,13.103364725003,14.1099212507831,13.1801060090889,12.9764768707252,13.3890152300682,13.749606537861,13.831719667894,13.6532052653498,13.6801783758583,13.9220697730466,13.7050425044217,13.5230000924598,13.3822543557705,13.7105575513004,14.2671345763539,13.7450351958393,13.3971513908161,13.6507665653766,13.5757810666731,13.9937165023809,13.518352141465,13.1704248483102
"hsa_let_7i_5p",15.1826133334756,15.6564898141476,15.5908102215583,15.6896212784375,15.791823659019,15.4146996064409,15.1340444365081,15.5955397529216,15.892897804957,15.5432496055595,15.6980551284475,15.8170358160338,15.8015683663621,15.476975688234,15.3980650260655,15.773143262585,15.6370466786824,15.9684414670156,16.2332902781748,15.7209523824623,15.7740996053815,15.9402475629373,15.9703832663548,15.7006099306323,16.0028495892203,15.8535293854259,16.5344827312466,15.4802764378418,15.8359770550637,15.4405943879073,15.3824718746188,15.7391859722731,15.6456195455915,15.8978310026313,17.2193098160061,15.9463183500291,15.5192721322946,15.4916273094848,15.8682744775914,15.7036737226927,15.3018452479859,15.7539866631739,14.758852271001,15.9087557178825,15.9700497895823,16.0907175477714,15.0429306203373,15.5423338603734,15.8727544327962,16.1195400380612,16.1685509546581,15.3865103773037,15.5271362140569,15.7506665306629,15.8131565152929,16.0357814253154,15.8877714516618,16.0281103216093,16.3311197010598,15.5445397573993,15.6746689752015,15.2330280352113,15.6768609522281,15.8047810394185,15.4373906715917,15.6798046936342,15.9661361174941,15.8633270250209,15.9822258250088,15.8830953984301,15.4138170597497
"hsa_miR_1_3p",5.24011045996391,5.2401104599639,5.24011045996391,12.8961909265353,14.1977249291356,5.2401104599639,5.24011045996391,6.47126295632896,10.336678750126,5.24011045996391,9.0999864996909,7.88422271001827,10.0959556877496,8.94914502895895,8.21655796134276,8.84980289865611,7.53454316217211,10.552686055439,8.64685023745719,9.20719115510345,10.1946594631124,10.0403460882875,10.4982397547743,8.76337460628801,9.90583954435321,9.93914828050666,5.2401104599639,5.2401104599639,7.11834519490736,8.79685120265676,5.2401104599639,10.434368595591,8.71618460912741,8.2606534000101,6.52343170899541,10.6561130265526,5.24011045996391,5.2401104599639,5.24011045996391,5.2401104599639,5.2401104599639,4.80756381916401,9.21664745282315,9.47761382500184,4.80756381916401,10.8082054255419,4.807563819164,7.87255402865289,7.97780016367597,7.40361570082497,8.03560347276207,10.3282551268801,7.99883340733228,8.91392367453721,9.44394004795521,8.71702706341958,8.11619419334005,7.9570061489235,7.58559215715652,4.807563819164,15.7639384119827,4.80756381916401,12.8957297003076,4.80756381916401,4.807563819164,8.51653713642058,9.77495008919629,7.86413996265497,8.1238259537398,4.80756381916401,8.19060073422725
"hsa_miR_103a_3p",11.7478310697499,11.7995965384887,11.7594239085493,11.99568101576,12.1571650762546,11.9478566372903,11.3792688102599,11.8625194463655,12.2910998588757,11.9916996621534,12.4175746856384,12.3054732730659,12.2543317032078,11.9742171418076,11.9836155676037,12.1485377614739,12.4597891952761,12.5288455151401,12.3334887880893,11.6712715255965,12.341236946458,11.6972965596334,12.4040784933876,11.997670602526,12.3198404191019,12.3705851116749,12.8314412801626,11.9132017396198,12.0286518466803,12.2290480724045,11.7430834432991,12.0364211155924,11.5942134404737,12.4132051388383,13.2652035673289,11.980291514019,12.5415394827929,11.410652633498,12.1701157296788,11.4863989026405,12.3650852433169,12.314989562988,11.9964708106571,12.3653664073847,12.1561217540202,11.7335243234591,11.5189301636544,12.0836920214892,11.9982227931196,12.1143675134041,12.6543143516713,11.6272988927921,11.6648924646633,11.6751409030061,12.1008555029737,12.4229825110436,12.4835442902392,12.4293940672452,13.0087130933564,12.0133076006628,11.6742611686034,12.318944297831,11.3680825802569,12.1143855759078,11.6075096773734,12.0822497277802,12.5382332243128,11.5907876417559,12.4291460845944,12.5916086496244,11.6422008898905
