"","HB1","HB4","HB9","HB10","HB12","HB13","HB16","HB17","HB19","HB20","HB23","HB25","HB26","HB28","HB29","HB31","HB34","HB35","HB39","HB41","HB44","HB51","HB59","HB61","HB63","HB67","HB71","HB75","HB77","HB79","SB1","SB3","SB4","SB7","SB8","SB11","SB12","SB16","SB20","SB22","SB24","SB28","SB31","SB32","SB35","SB36","SB38","SB39","SB42","SB45","SB48","SB49","SB52"
"hsa_let_7a_5p",17.0169330853251,17.3745161079672,16.9776964808991,17.2232853042263,17.5261336274617,17.5489386893334,17.210820996824,17.2883469554769,16.9410810562104,17.0323914144635,17.0849653692005,16.5617474533482,16.7816476617006,16.9710004973418,16.7551075665025,16.5357246914781,16.8819943424144,17.0090858055796,16.6760539304521,16.705423877489,16.6477306446828,16.9027676036257,16.7926188741642,17.0962073736148,17.1878779575485,16.6595438261357,17.3596537857014,17.0478510359715,16.6798527659643,16.7697924312261,16.997559662675,16.9026093807453,17.2278818709301,16.9705492743399,17.0506995576024,16.5831878008293,17.045980193706,16.7618103009052,16.5425616415125,16.8097604772357,16.6517367215721,16.9154554754518,17.1472502659972,17.0936000750562,17.3956414517707,16.8648230283448,17.2240737634185,16.8944915397586,17.3410761261797,17.0326765348668,17.1088285931571,17.1691522049323,16.9975425506702
"hsa_let_7b_5p",16.3343853139031,17.0663048338381,16.1643727530229,16.9510696769755,17.1964654975018,17.0140053579498,16.6304583574805,16.6826429221683,16.3742038401272,16.3133981312341,16.7428353345696,16.1720168422824,16.5034600479026,16.5221487362764,16.5740824853703,16.3695691480124,16.5581196249681,16.3766245326881,16.3709328890693,16.3408994508419,16.541642541311,16.4131642238816,16.3607943546596,16.5980605218803,16.7115402990395,16.1259190593712,16.7544581684241,16.8172616025478,16.1536472091343,16.4725272431656,16.2198530317637,16.6207456392223,16.5190197469512,16.6206987486641,16.6502323432952,16.155688604981,16.441804183426,16.9379742722743,15.9780205748057,16.6966938732854,16.2517472349869,16.3033523496131,16.7643684778063,16.338325695498,16.9238801582384,16.197572412702,16.710004706089,16.799586776444,16.6015502261047,16.5154526471554,16.7829827968607,16.3849440921563,17.1392398267623
"hsa_let_7c_5p",12.2982051026655,12.0860784921277,11.3426926458341,12.2146001038029,11.5423804546324,12.0710613903484,11.6128800137168,11.8076137708649,11.3094700776062,10.9496906900544,11.9425089945932,11.0208483177519,11.5279206804873,11.7884159136341,11.3684631886069,11.413259255115,10.8536549927237,10.8049736541916,12.3685406094726,12.400102102653,12.4336935652597,11.5127739931858,11.1135797298638,11.5647357239238,11.97610354825,11.2423649582236,12.0712894220714,11.3944608381661,11.3603543563648,11.529852139514,11.4465635483772,12.0737245869638,11.0531518704357,10.890828659492,11.3651598361483,11.5521072485773,11.6206732151952,11.5291753315513,12.4205241838161,11.9497399155682,11.6993243793983,11.0882039409017,12.2037833251319,10.9341733326855,11.5140356484531,11.6051625230047,11.8462470865878,12.482087342728,11.496366106619,11.3782132415984,12.4621920890453,11.2110211353536,11.8461766122571
"hsa_let_7d_5p",12.7960085449889,13.1223301073827,12.5348701983331,12.7512114142133,12.7575483478913,13.0827001920719,12.8312904987949,12.5740734097501,12.6839479611134,12.7237563716589,12.7673793960959,12.4835006952368,12.6841677933126,12.3584573647211,12.894215848445,12.8711715025164,12.5380548293667,12.5610293665406,12.7173958522636,12.239299698385,12.1624331023216,12.4045090633029,12.5981191738455,12.7050243673684,13.0921729812473,12.3403650114871,13.2801662661366,12.8403852065709,12.4301997832791,12.6895486962871,12.8350995469417,12.6874683754999,13.0205692886703,12.8002108542138,12.6452807720435,12.4608357109793,12.7705493977832,12.7144329912122,12.6473223515141,12.4955604200549,12.6407766942478,13.0883958411504,12.6304297832296,13.1562539773256,12.6859886639383,12.8185760651788,12.7543751047956,12.1437182051431,13.1134981648017,12.720106217332,12.1077398816316,12.8179812605375,12.495783149363
"hsa_let_7e_5p",10.4905426716796,11.9970484273256,10.8305672764506,11.8514997372064,10.8635883550693,10.4364950733052,11.296007594747,11.2150478876058,10.0136877241179,10.0229001590026,11.5602462273437,10.4064036647316,11.4297309775897,11.7459472258836,11.2783933287868,10.8291652363056,10.9717150898732,9.54265570918385,11.4135518405142,10.4963362870909,11.4303966167132,11.1071687780457,11.0507887546198,11.1668646567035,11.2615859968012,11.1145210946515,10.7087022319211,10.4542911787025,11.3891578080842,11.816946099904,11.1194239168347,10.9874895025219,11.2479188376722,11.6464240396362,10.5374580931891,11.3234358474929,11.2087145819917,10.3974822298545,10.881725747027,10.8933731408778,11.2850347189361,11.654022953478,10.8455155538329,10.7340773564707,10.0784891426358,10.9781320963382,10.6236658632782,10.5507266578578,10.483609462295,12.0318768592757,11.6690799030379,12.0945494958856,10.4637757762104
"hsa_let_7f_5p",16.4652108690396,16.8222081120929,16.7812059851871,16.6689874992195,16.9935607566031,17.2849957163842,16.6551527112189,16.6812068540066,16.6011398455792,16.626367484062,16.5604872490611,16.0076867024881,16.6947824302838,16.7024313569304,16.491887274434,16.3817284650078,16.6680069031221,16.8982669916275,16.1865898324958,16.1146761632286,16.2409607792228,16.7907103921856,16.6634693334696,16.8702322670772,17.0238444356768,16.570547934177,17.0547082804947,16.9259688419978,16.2930378139187,16.2999253754229,16.9198030105862,16.726426930027,16.9251700338295,16.498627917068,16.5028092504876,16.7020274935031,16.8077294103593,16.2256625945876,16.5599833571831,16.4373874187282,16.4015109510585,16.9316172137384,16.3433954862175,16.8178903105008,16.5254233388103,16.734973383729,16.630781423137,16.0505054685738,17.1116197280258,16.7613461293735,16.4636910269786,17.1359574019727,16.3675565349617
"hsa_let_7g_5p",13.4142091050095,13.5438981465243,13.7310851184474,13.7461212007416,13.5106167189275,13.8208531741284,13.865806120741,13.7704027498538,13.9579388289886,14.0334990793607,13.6558629046188,13.5709884680404,13.4473619826403,13.4320215584822,13.4388168703477,13.4458725578389,13.4170257593328,13.9328950127429,13.1893929171668,13.1174933291334,13.4949524053196,13.6254981114194,14.1975571781685,13.5830999085762,13.5050750828521,13.5866978311463,13.5599706509596,13.6407044641202,13.3065788583901,13.7196979613964,13.774658458965,13.5522590722853,13.7348218226775,13.4308903241069,13.5885390615356,13.8911049779398,13.8889725847563,13.2003493908003,13.2725181836271,13.5603727000803,13.4802425214257,13.8873360717197,13.4672602482106,13.7477680673301,13.7167237680229,13.7787879500421,13.8287722887808,13.5034296096745,14.2948227206935,13.4765617589087,13.5597539288968,13.6443201586601,13.5951119660438
"hsa_let_7i_5p",15.1751723811442,15.596399225467,15.8121510409913,15.415139584193,15.3513464683325,15.6023234725188,15.748418027072,15.5493468169661,15.7394991429997,15.8323513058391,15.481875079552,15.7633362469182,15.7881838148179,15.6709249778474,15.9882394937976,15.7459094933909,15.7865908763554,15.9192003822377,15.4638240922646,15.7220392400503,15.8739564864621,15.6634582800846,16.1114053397256,15.913444284401,15.7172536873286,16.0520734150279,15.87484789869,15.8997802688662,15.6555114737284,15.6849029779861,15.7456988671057,15.6277730780302,15.8834004612325,15.858131891793,16.0462845855191,15.7678897723295,15.5543367556277,16.071188039914,15.4082852141958,15.6819305824887,15.7480757185296,15.996817817025,15.4641163185215,15.9927867983164,15.5242052393698,15.5627172359914,15.6324913839952,15.3079695454591,15.7856943251429,15.6732673822215,15.5254743451936,15.8388688012742,15.8613305124243
"hsa_miR_1_3p",5.24160993968922,5.24160993968922,7.31993762554202,5.24160993968922,5.24160993968922,6.47910670222706,5.24160993968922,5.24160993968922,8.544428989562,7.87593436332837,8.92242981420417,9.06710417878251,8.82501532820437,5.24160993968922,10.4900222595921,5.24160993968922,10.1392146454924,7.75813601552032,9.14088157869759,8.88776409133788,10.6946508761654,10.736418456583,9.40253490966241,5.24160993968922,7.88554722801368,8.38120413784816,7.44376095287328,7.05584254099398,5.24160993968923,5.24160993968922,5.15796248682421,5.15796248682421,9.57029914326447,5.15796248682421,10.93790120029,8.22745494621406,7.94688927802602,7.47930293050965,10.4417373585477,9.11643021694587,9.00138088469555,8.7935053626268,5.15796248682421,8.03047604623962,8.8501628234434,5.15796248682421,5.15796248682421,5.15796248682421,5.15796248682421,8.58908617337282,9.91913913379187,7.93397699861367,5.15796248682421
"hsa_miR_103a_3p",11.6958251533566,11.7070725718623,12.01479669314,11.9093025385161,11.6976112704082,11.818323126983,11.63830969352,11.9575147530635,12.2976309089931,12.2923341283431,11.9400664212469,12.1177093784067,12.1261581522506,12.1495294659903,12.5300212105379,12.4965111887867,12.3289974503946,12.7248184646672,11.2840192504224,11.5444803487378,12.2394935856471,11.9017001765012,12.331957925445,11.9186315593865,11.7265823632318,12.579371252515,11.6852105213512,11.7731404230315,12.0997064859867,12.2610089359213,12.2959420118415,11.6820688839612,12.3400730515793,11.8220241825277,11.7630536222288,11.9078212656765,12.0850846552982,12.1089323547662,11.6654610797088,12.0005603659274,11.7173744005635,12.3914627726118,12.1403467620129,12.3996641537402,12.6270140145576,12.0260904832628,11.6046616198019,12.3265071869909,12.1082536952691,12.0794386593003,10.9023612275466,11.6318050459077,12.5474461861515
