"","HB1","HB2","HB4","HB5","HB8","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80","SB1","SB2","SB4","SB5","SB8","SB9","SB12","SB13","SB16","SB17","SB20","SB21","SB24","SB25","SB28","SB29","SB32","SB33","SB36","SB37","SB39","SB40","SB42","SB43","SB45","SB46","SB49","SB50","SB52","SB53"
"hsa_let_7a_5p",16.9679066993734,17.3442237600354,17.3507940848838,17.1194629392332,17.0064896092826,17.1884002845049,16.9411143513028,17.5361005515759,16.9477726475132,17.2567033572426,16.7542486389639,16.9835091039644,16.6796225449551,17.0384407015151,17.1650014288057,16.7145144176719,16.9083680520344,16.6880423738467,16.8582475850214,17.3038287046868,16.8241677171074,16.5923736938322,16.7797341910432,16.8684298469202,16.907189136814,16.9172384345247,16.6887760449581,16.9640716322128,17.0871146205853,16.9479698635106,16.6507594743198,17.0388715937053,16.9119118168539,16.6213644203527,16.2731759978666,16.8625640893577,16.7344626150443,16.133350517736,16.6061558176349,16.309921874711,16.8092375857822,17.0370836910733,16.7920064738573,17.2208291603689,17.1735278264285,17.0833251867038,16.2241742162539,17.0751474983117,16.9032428228157,16.857372765731,16.7615546653854,16.6849509599361,16.5803747617525,16.7589267736461,17.0959337245341,16.9766894425129,16.7496936138798,17.1135404632395,16.2897494094125,16.9253910269293,17.2331702052146,16.9181923980822,17.1298197912613,17.3140555158361,17.1710044063614,17.0707781028834,16.7572978918799,17.1785403509397,17.1552315967505,17.0383372111447,17.1822872806011
"hsa_let_7b_5p",16.2159543216365,16.6058493095009,17.0075542191326,17.258242380021,16.4205513044639,16.8820876315735,16.7478303601043,16.9499167590117,16.48094654627,16.5908009165363,16.3255932802231,16.1922300996883,16.1277766921451,16.6546016849095,16.7764873867581,16.3961192019052,16.4767800697391,16.4745759188007,16.5712500687711,16.8207704343133,16.4580369220453,16.0238999478482,16.3605544044391,16.3388410292344,16.6392643270937,16.7092505699115,16.5292485409264,16.3974096501504,16.3849587651553,16.4445693525451,16.2378174604496,16.5439814948393,16.333470049961,15.9166130333285,16.6285322424046,16.5454958695221,16.0386585273032,16.1920268753281,16.5069258048547,16.290082135932,16.1868728577174,16.3597721343462,16.2695256721411,16.6279287546674,16.513831127422,16.7461004983383,15.7056311055746,16.557304548447,16.4048407311348,17.0031714244599,16.6023038386444,16.1487918262234,16.3519601919021,16.3836775536992,16.1354194212814,16.4371781358978,16.1692457941726,16.465885518104,16.8757823826233,16.3345971343464,16.4621050977812,16.8479773762071,16.8336375196543,16.7044568061487,16.9602314761223,16.6273379959838,16.3628089875025,16.5114689862259,16.1778684647037,17.1790070045435,16.8438483788499
"hsa_let_7c_5p",12.2891609956509,11.672776245057,12.0613461826223,12.1549909133434,11.6403360516934,12.1990565754768,12.6101117932812,12.0440487855323,11.3836770522364,11.7586378544121,11.084147974231,10.8334249208671,10.7667671131341,11.9030280891111,11.8361869113118,11.4558048930861,11.2996024693976,11.2858591197806,12.103252993683,12.1948330231453,10.7312714343846,11.8042391062979,11.3086487706388,12.0066947594986,11.5036248140646,11.5354608956868,10.8818681162894,12.230199614968,11.5192086542185,11.3351345182797,11.8440447677317,10.804693405941,11.5908621955933,11.1287282079838,11.7594105863994,11.5747007241191,10.0948848395084,11.1910504658392,11.9247439154438,11.2742916644301,11.1607461765907,11.5292264859443,12.7030029398194,11.188115411657,11.2853419757976,11.4617035502455,11.7250839455435,11.6809398217784,11.5786072036522,11.6056938415285,10.6938557568782,12.3819482695898,12.5058360048014,11.7447496941107,11.5531658712465,11.2199706138907,11.1252801831773,11.0830070852089,10.2674361822558,11.6618021332439,11.4271982757675,12.4015175013903,11.6382339808717,11.5778575671447,12.126509433835,11.4743490208606,11.0982586479591,11.3288646550922,11.0247409909929,11.878392718409,12.6169119022865
"hsa_let_7d_5p",12.7725453084623,12.7608715125012,13.1054070583635,13.2408672898432,12.6992671666522,12.7270907098879,12.7823602183736,13.0640628142019,12.4595378203261,12.5457198674183,12.2046224837848,12.6981191502354,12.2281316458808,12.7411959082155,12.9472331614731,12.6566206922973,12.6894846062873,12.8721857109694,13.1809456918955,13.0978902878763,12.5106453611992,12.5939178132555,12.5266191804028,12.4873097168264,12.17122547327,12.7408773407763,12.4103058402385,12.8816829096852,12.8482679468397,12.5720922150539,12.2243254789772,12.6354179851107,12.7088437499733,12.4084024652552,13.8611497632446,13.0641890624568,12.4460032735911,12.5280081527475,12.5834216223352,12.0537820273573,12.5138407690002,12.7991045187032,12.0276450596298,12.9817676616594,12.937977627554,12.6181908052135,11.9343063827529,12.7362658484773,12.8772550667723,12.6866171226414,12.9503249070284,12.6213594040335,12.3592233221566,12.6047681629308,13.2627815708653,13.0491743108824,13.0259644945505,13.1123702435365,13.1473716173233,12.7767869742036,12.630668693229,12.0937865879779,12.447801602881,13.0757735989908,12.4828053589101,12.6924090104816,13.044689139442,12.7879958728384,13.1794892859028,12.4699755749115,12.5868932808305
"hsa_let_7e_5p",10.3666431433943,11.1882995790484,11.900137587261,11.9013770889586,11.6067094410186,11.7511500620475,11.777252145331,10.3116793966631,10.8652512557757,11.1023752233338,10.9256505211192,9.89061795897569,10.6512649685449,11.4525832640144,10.543462236269,11.3198206167037,10.4774853875432,11.1676688950082,11.0813176303787,11.5261144223529,10.856282951585,11.5660931634891,11.7020908060341,11.2635929838935,11.8635247989316,10.3830144582045,6.33780831939553,11.5895604744971,10.1075347538728,10.2496033972305,11.0046239351103,11.4640847066224,11.1480732518128,9.90115628772867,10.1338552958898,10.8971443730926,9.61214698475862,11.3179650964273,12.3474264668547,11.2474619808361,10.7740296694514,11.2471726326328,10.1029240185509,11.3740486723571,11.5642597426606,10.6885286722996,8.73062388700907,11.3335066384311,11.927435442698,10.5543322075056,8.54370577067877,11.0231274204937,10.7001870710237,11.4011393085107,12.3385967889315,11.7683864017976,11.5915250063022,10.8752596007511,9.53277104450454,11.1031042570626,10.7289670082998,10.6585144737271,10.2606650901082,10.6387207375697,10.85347367775,12.1355050157151,11.6688168719765,12.1964753334667,11.9905631187034,10.6139759067554,11.9070941494737
"hsa_let_7f_5p",16.4710860965193,16.8548372689337,16.8486705031214,16.3686501598407,16.8204120149892,16.6861406233275,16.4532544075252,17.33581966485,16.568714003402,16.6977950548479,16.3883466846033,16.640139251097,16.3205489206068,16.5693744530447,16.6185484753428,16.7110767994638,16.7522495174983,16.4990006419616,16.7260078202539,16.9660550239683,16.6854084259729,16.3042102198939,16.4400830437061,16.5865566508732,16.5348835003504,16.6679063332243,16.4317768253298,16.9150623260821,17.0671217702373,16.6937330999416,16.5316783093479,16.7784835099533,16.8035381181907,16.805953400484,15.803262676149,16.3674123715289,16.2725123369609,15.8147564947087,16.2356135690667,15.8628681610239,16.6139263182629,16.8494678691831,16.3514396246695,16.8564633293977,16.8429138467181,16.4878180144003,16.1913223584786,16.7511749353445,16.6197888935568,16.2459838282418,16.5363177223479,16.5391853778421,16.1271010981658,16.3895473405141,17.0673627951032,16.8635907841218,16.7291792893854,16.7609189395566,16.1727818291463,16.6808867874664,16.6982685356132,16.0533324759797,16.4308643270388,17.0236903958322,16.5946954332311,16.7159731738275,16.6721289130284,17.0447925917167,17.2060253172748,16.3663806288945,16.3514114144537
"hsa_let_7g_5p",13.3839165042474,13.5774060332931,13.5127941978636,13.0999603069223,13.6301664483304,13.7114046829361,12.982893958943,13.7850013462483,13.6606941473061,13.7341746040352,13.844110643605,13.9938898918132,13.4457267274398,13.6201600767015,13.7292701129582,13.4145388276666,13.67085479073,13.4079731527108,13.9644772893384,13.6273339564463,13.38707723954,13.2992102139787,13.5608206065373,13.3052135367369,13.673442062217,13.7098245179816,13.9277983409421,13.2465576711228,13.5870181693797,13.5035234558706,13.1911007508332,13.572063087959,13.332513854011,13.6417204887452,14.5713240681246,13.5545623619277,13.9283239273237,12.9235842394551,13.4820435269652,12.9081248855177,13.1585325349522,13.7082911535459,13.1098801017677,13.6686444013794,13.7943809658599,13.5156675358586,13.4146136291959,13.8292578188173,13.5560082589662,13.1060620167167,14.1155822988082,13.1825164075516,12.9863752409018,13.390644632405,13.7566146034737,13.8316940429935,13.6605737220453,13.6807192801012,13.9284330939329,13.7054904554288,13.5308553143403,13.3839090332801,13.7177115994939,14.265481175738,13.7520603511736,13.3987503765443,13.6581441390236,13.576712254761,13.9998119757409,13.5194980245668,13.1795981541817
"hsa_let_7i_5p",15.1816317068812,15.6639914102271,15.5921119040857,15.6973082002185,15.8000822647952,15.4150161884305,15.1386236577943,15.5968678907758,15.9017217837827,15.5442852508105,15.7057892262046,15.8196029245811,15.8098814805872,15.4776406206148,15.4041210852162,15.7754648517014,15.6444395167339,15.9718554852628,16.2440182921898,15.7288145593657,15.7764265439415,15.9493363995743,15.9796406714657,15.7083583190499,16.0122885994667,15.8621331512269,16.5468955093929,15.4867923585738,15.8444826393322,15.4468883412769,15.3884407111914,15.7471501414336,15.6530603372306,15.9066825760213,17.2355532748242,15.9554411445034,15.5260061811589,15.4982067229809,15.8769607222265,15.7114392488802,15.3073630877052,15.7508269210334,14.7597281414952,15.9030653619574,15.9511214870646,16.0820519516355,15.0391615533272,15.5426348326588,15.8554169972094,16.1104031681853,16.146376978866,15.3893592042293,15.5154499484031,15.7475610756867,15.7967935594679,16.0280140843831,15.8701884742578,16.0204684101488,16.3062875794817,15.5448046612766,15.6605704156966,15.2383864370084,15.6627265519197,15.8007907633644,15.427171826588,15.6778578936741,15.9472718070487,15.8583794692414,15.9630984333183,15.8778246118967,15.403983664584
"hsa_miR_1_3p",5.33532286998066,5.34976853900794,5.33532286998066,12.9784969057748,14.2753810502534,5.33532286998066,5.34976853900795,6.56207695307118,10.4281288381305,5.33532286998066,9.19585479228577,7.96998876919355,10.1882657825496,9.03110654850342,8.31558238920248,8.93211932772311,7.63600415492121,10.6289187670917,8.74433740387709,9.30267644853221,10.2721712599483,10.1328548538461,10.5891126502137,8.8604454779498,9.99882884775751,10.0320185851779,5.34976853900794,5.34976853900794,7.2212930957929,8.89380247588839,5.34976853900794,10.5254696770229,8.81342407169126,8.35952029258207,6.62850499676956,10.7464219042149,5.34976853900795,5.34976853900794,5.34976853900795,5.34976853900794,5.34976853900794,4.65471470593451,9.09289601996952,9.35250196486542,4.65762511454618,10.6909964692162,4.65762511454617,7.73790909076672,7.84669073235129,7.26618555484301,7.90483735789262,10.2081955580579,7.86784890066621,8.78546383817998,9.32153859470127,8.58739778109734,7.98590673827313,7.82286280520255,7.4521532491178,4.65471470593451,15.6790739002929,4.65471470593451,12.7938297755366,4.65471470593451,4.65762511454617,8.38571706602523,9.65451463401062,7.72944505034073,7.9935838266821,4.65471470593451,8.06075520870151
"hsa_miR_103a_3p",11.7482461952308,11.8000842397022,11.7598405211088,11.9961938698323,12.1576986447958,11.9482974211759,11.3797025936713,11.8629492835695,12.2916506079848,11.9921460700303,12.4181416583849,12.3059599304489,12.2548777358587,11.9746613071034,11.9841268739731,12.1490042878561,12.4603615831152,12.5293608257371,12.3340449746647,11.6717427658388,12.3417281914486,11.6977711382532,12.4046437349016,11.9981837118139,12.3203948549242,12.3711460568044,12.8320613419051,11.9137040136115,12.0291689301065,12.2295908617818,11.74356389526,12.0369391956265,11.594674796042,12.4137715510784,13.2658792701999,11.9808023939934,12.5421223572013,11.411090442689,12.1706509594731,11.4868464282315,12.3656454829474,12.3141415838323,11.9957850586954,12.3645034509429,12.1553885370401,11.7328492168076,11.5183863868994,12.0829128082416,11.9975365202849,12.1135791801804,12.653433019557,11.6266553674889,11.6643052925911,11.6744831540356,12.1001387169245,12.422102425048,12.4827137289125,12.4285120750621,13.0077263967357,12.0125493130531,11.6736712111689,12.318095142913,11.3675836512377,12.113597237314,11.606939565489,12.0814709433337,12.5373864036943,11.590154971429,12.4283316961245,12.5906784302401,11.6416204641362
