"","HB1","HB4","HB9","HB10","HB12","HB13","HB16","HB17","HB19","HB20","HB23","HB25","HB26","HB28","HB29","HB31","HB34","HB35","HB39","HB41","HB44","HB51","HB59","HB61","HB63","HB67","HB71","HB75","HB77","HB79","SB1","SB3","SB4","SB7","SB8","SB11","SB12","SB16","SB20","SB22","SB24","SB28","SB31","SB32","SB35","SB36","SB38","SB39","SB42","SB45","SB48","SB49","SB52"
"hsa_let_7a_5p",17.0138212973192,17.3768415042324,16.9570420671547,17.2233111792745,17.5138184066829,17.5539162465121,17.1937113289734,17.2893621173884,16.9198698911703,17.0295146761627,17.0828880376435,16.5347683782888,16.774958270387,16.9502442686505,16.7480146230653,16.5083499305428,16.8768307601004,16.9889086783159,16.6508129283438,16.6806294564653,16.6220589763679,16.8809738681374,16.7691502858406,17.0773549625413,17.1704194321618,16.6340517816853,17.3448071763505,17.0282633486074,16.6546695265779,16.7459767582574,16.9987499376059,16.9637783935357,17.2128913713916,17.0269453210144,17.0481566074064,16.6667970662747,17.0437687919239,16.7795626229049,16.5757167904356,16.8774523832321,16.6772220180675,16.922413797444,17.1912325775127,17.0880432444237,17.4221735929893,16.8753384202942,17.2626590109897,16.9029226364259,17.3181334159998,17.0313997520471,17.1555101338423,17.1582876274548,16.9987340277669
"hsa_let_7b_5p",16.3271711190659,17.0667907964904,16.154243933202,16.9503433084466,17.1971948068329,17.0139411040961,16.6252329901023,16.6790925706329,16.3662825477364,16.3059631407938,16.7399182371592,16.1619684420835,16.498024603384,16.5157838977977,16.5693900240295,16.3615990963547,16.5532592263941,16.3687287071874,16.362977184646,16.3326277797064,16.5354827873597,16.4056528141112,16.3527319878103,16.5924943131533,16.7071679540259,16.1153856875618,16.7505373407487,16.8140014982449,16.1434055512555,16.465640361892,16.2340111101426,16.6271906312393,16.5270974442987,16.627144693703,16.6556432246454,16.1715855975915,16.4514512400101,16.9375369744051,15.9970937503844,16.7015952637641,16.2652570831369,16.315813355281,16.7678944232212,16.3500758892402,16.924164126031,16.2121833310749,16.7146355620089,16.8019621200282,16.6079505417968,16.5236028436308,16.7861304175932,16.3957467954179,17.1347119292452
"hsa_let_7c_5p",12.2981611235945,12.0868191300116,11.3485996598076,12.2148653641029,11.5475488604696,12.0718575737041,11.6177876547719,11.8093843980607,11.3154999756923,10.954634615468,11.9437806693974,11.0279457741503,11.5307258405043,11.7926742799805,11.371858152286,11.4189052563001,10.8589541363544,10.8128695908971,12.3706532022589,12.4020979553348,12.435565169357,11.5180519078279,11.1203341899827,11.5698214417697,11.9796676928768,11.2486430656894,12.0745014918205,11.4001763712059,11.3661960429495,11.5350668852631,11.4411828142305,12.0690410249725,11.0448174008223,10.8772639131074,11.3591679228084,11.543507382829,11.6165996966874,11.5244148467963,12.4224559475775,11.9441254764785,11.6958413739491,11.0801326422859,12.2000762443414,10.9249455720327,11.505149941074,11.6009725501968,11.8398556231833,12.4844813227787,11.4913592901541,11.3723193332461,12.4604251416409,11.2038719484175,11.8437961735919
"hsa_let_7d_5p",12.7802269981777,13.1043852402143,12.5072215266768,12.7357268460762,12.7284234508501,13.0650180479731,12.8016767345913,12.5597631625751,12.6553109914217,12.7084538143336,12.7517876437321,12.4561925732242,12.6691276850171,12.3319782065699,12.8777832448748,12.8412933506745,12.5239833642311,12.5332072749585,12.6885371426927,12.2136104855975,12.1372534699333,12.3777246094296,12.5700511986185,12.6762476734783,13.0608297193637,12.3140057950147,13.2475767191555,12.8107111497948,12.4032450150168,12.6608745970097,12.8609596492277,12.7324366629803,13.0489399007259,12.8467052186253,12.6685714962499,12.5027363092881,12.7955357522623,12.7386597566305,12.670640710445,12.5379310504053,12.6640064514673,13.1176845502554,12.6746259989867,13.1864612109954,12.7309369221121,12.8442125063867,12.8002490386418,12.1602198018482,13.1431266577883,12.7444097752743,12.1448609912706,12.8436096504975,12.5170502807247
"hsa_let_7e_5p",10.4827008713378,11.9934011031979,10.8076289672323,11.8474471703397,10.8407419845165,10.4285027913838,11.2743651838928,11.2092232849307,9.98847502474927,10.0137563288552,11.5553827402964,10.3822843814788,11.4245041045357,11.7255575557331,11.2727450951334,10.8062230234686,10.9652129898647,9.516131542816,11.3922367012559,10.4724673979995,11.409128377384,11.0850005942748,11.0284635952342,11.1448626806901,11.239847747897,11.0923733815075,10.6854246209586,10.4303052258652,11.3677747499425,11.7967541077823,11.1275665551519,11.0364810692417,11.254959506893,11.6897646009179,10.5505916552612,11.369546347103,11.2160914658887,10.4118162212869,10.8919068786611,10.9431718470652,11.2917570833254,11.6575808843727,10.895724685441,10.7455247168589,10.1352762727805,10.9874864496301,10.6757775720578,10.5637464290647,10.497204828824,12.0321943249099,11.7122261682248,12.0943294826196,10.4775412359149
"hsa_let_7f_5p",16.4597512065378,16.815597898064,16.7614609927895,16.6628710935142,16.9731313748684,17.2768940034845,16.6358139706614,16.6750510670524,16.5819751808339,16.6203884366262,16.5547205242874,15.9904346531295,16.6885828911709,16.6829402439972,16.4863416376577,16.363270932051,16.6618936577391,16.8781447281939,16.1687612037001,16.0970793019986,16.2229569205702,16.7709347684311,16.644103789617,16.8502003555884,17.0033174539357,16.5514818628272,17.0340818289552,16.9057572994259,16.2748661183628,16.2817314822322,16.9315485452425,16.7676552169842,16.9369773931913,16.5372321038048,16.5097512813729,16.7429747144191,16.8181839281879,16.2294120716888,16.5675839975331,16.4752861537464,16.4072860897505,16.9434988405256,16.3802114937575,16.8284618754578,16.5643361918191,16.7445897982532,16.6709079344875,16.0522372466209,17.1255748696684,16.771266341209,16.5018927628891,17.1501928981908,16.372940540305
"hsa_let_7g_5p",13.4123332175581,13.5419595126336,13.7261720276322,13.7440847268448,13.5058102956218,13.8187805432428,13.8608278489121,13.7683545280041,13.9529159813087,14.0313235656621,13.6538700996908,13.5661528355413,13.4454700550903,13.4272531612611,13.4369290771128,13.4410974591966,13.4151485091215,13.9278842818177,13.1847419090723,13.112877107657,13.4901535607567,13.6206361059438,14.1924183978081,13.5782584162931,13.500271340713,13.5818545981083,13.5551403491251,13.6358351014734,13.301871153134,13.7147903799408,13.7782467009899,13.5607186600765,13.7383740215431,13.4392401005905,13.5919589075384,13.8998711447516,13.8926642552487,13.2034180128187,13.2756521021046,13.5688396288722,13.483564383517,13.8910262615373,13.4756429312619,13.7513319796234,13.7253321592215,13.7823799283238,13.837482058586,13.5067724508442,14.298881593903,13.4798802907412,13.5682202978406,13.6477904739584,13.5985377590408
"hsa_let_7i_5p",15.1719937632417,15.5984867665872,15.8190483660785,15.4149610254475,15.3524828354211,15.6044850783086,15.7545185648917,15.5508461109958,15.7454881773326,15.8373887092335,15.4825308449616,15.76962329165,15.7926690382302,15.6760567010583,15.9952258042918,15.7519786696355,15.7910561849229,15.9274360333643,15.4663666495382,15.7278099914635,15.8816265004429,15.6684966549766,16.1220439285679,15.9216079730519,15.7229646099774,16.0619702388217,15.8825290570663,15.9077731306107,15.6604504980055,15.6902094535247,15.7393028187576,15.6219432919116,15.8732413717029,15.846006973739,16.0316742790562,15.7582309463641,15.5531701565875,16.0558971841442,15.4111098395747,15.6746208068255,15.7416147167593,15.98355931399,15.46275886353,15.9796384529706,15.521205704015,15.5613216193211,15.6265326583405,15.3135355479078,15.7782053006632,15.6688507057333,15.5224401283414,15.8299266509629,15.8517745395599
"hsa_miR_1_3p",5.2292532280487,5.2292532280487,7.29264741414232,5.2292532280487,5.22211446529816,6.46210877742334,5.22211446529816,5.2292532280487,8.5125463415524,7.85369765720118,8.89626824248633,9.03326124526613,8.79921910806432,5.22211446529816,10.4579814557726,5.22211446529816,10.1084895404008,7.72920234759029,9.10676194414247,8.85459377014642,10.6547038530188,10.6963147847486,9.36743394818941,5.22211446529816,7.85613570623024,8.34993366221208,7.41600634392999,7.02954281427258,5.22211446529817,5.22211446529816,5.17881735551377,5.1849260695082,9.61042764043626,5.1849260695082,10.9840035512293,8.26782644898613,7.97992652150317,7.51029769938726,10.4856724048825,9.16068487289325,9.03902427703374,8.83024072915125,5.1849260695082,8.06387840698728,8.89325439071037,5.17881735551377,5.1849260695082,5.17881735551377,5.17881735551377,8.62492861176983,9.96690012088469,7.96695783966834,5.17881735551377
"hsa_miR_103a_3p",11.6824438975581,11.6934429323723,11.9985562842302,11.8912069297357,11.6883754631444,11.8022366727542,11.6303834796148,11.938354444164,12.2751444973609,12.2657797963294,11.9212914346384,12.0991962850893,12.1032735869797,12.1303136700204,12.4982178878461,12.4696327810685,12.3016334595895,12.6928982063285,11.2839170512513,11.5386262262209,12.2182910564434,11.8879573478389,12.3087134491014,11.9045148245359,11.716706769427,12.5506629948189,11.6762485674899,11.7622366588287,12.0815909616646,12.2393312699454,12.3298658890605,11.6920093882623,12.375037058998,11.8352633114141,11.7844177838729,11.9230825571442,12.1140388081308,12.1384485771208,11.6845250700597,12.018007437278,11.7376619427072,12.4276379910312,12.1610884770643,12.4360326715752,12.6592260532091,12.0536541948026,11.6127777022537,12.3611514587875,12.13775392221,12.1082597409209,10.8939247009591,11.6500757928324,12.5872977978769
