"","HB1","HB2","HB4","HB5","HB8","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80"
"hsa_let_7a_5p",16.9727063353202,17.3696440269968,17.3560768672268,17.144599591783,17.031483706451,17.1934781502526,16.9660259547107,17.5416171628591,16.9726926526913,17.2618674112135,16.7789244458976,16.9883284278033,16.7042041849622,17.043329340783,17.1901955440924,16.7189943106019,16.9332383345289,16.6924888630318,16.8830546230114,17.329197999153,16.8287859760387,16.6168452388881,16.8044421569175,16.8932497333959,16.9320579316945,16.9421199101102,16.7133692353079,16.9890122042625,17.1122104544135,16.9728901175456,16.675304693465,17.0639065520765,16.9367865710476,16.645872547353,16.2972447633525,16.8873765741281,16.7591134549864,16.1572428444585,16.6306447536619,16.3340370079767,16.8339827805112
"hsa_let_7b_5p",16.2354308957407,16.6197996195747,17.0276509506327,17.2727037896907,16.4343564478587,16.9020860696902,16.7618919013681,16.9699683360123,16.4947990046733,16.6105711540036,16.3393240313381,16.2116880876965,16.1413524692378,16.6744219053524,16.7905713785895,16.4157369212816,16.4906292640297,16.4942551029567,16.5851732730114,16.8348891184932,16.4777031491744,16.0373943455327,16.3743125448954,16.3525821589378,16.6532408152537,16.7232818868887,16.5431388402128,16.4111966638459,16.3987360245438,16.458393312226,16.2514794459875,16.5578833362575,16.3472069719169,15.9300233799997,16.6425003228048,16.5593988973359,16.0521644871951,16.2056529874783,16.520798616001,16.3037850668074,16.2004949320928
"hsa_let_7c_5p",12.2979670470979,11.6828166272124,12.0704479224046,12.1644054132278,11.6504185390423,12.207979576413,12.6189355768131,12.053172976175,11.3940926657385,11.7681324892854,11.0949523563706,10.8441204200238,10.7779834343274,11.9123353151519,11.8460151973912,11.4656925848157,11.3101272060647,11.2959673897164,12.1127346459141,12.2041958106455,10.7420995219097,11.8141088584838,11.3191617658142,12.0163017378363,11.5138847434232,11.5456795039485,10.8929350441068,12.239516499006,11.5294483567986,11.3456131367324,11.853862854841,10.8158605013521,11.6010088966865,11.1394747279725,11.769338522995,11.5848684017174,10.1069732187932,11.2017160957205,11.9344572604762,11.2848492528232,11.1714511394053
"hsa_let_7d_5p",12.7764013792994,12.7681898489937,13.1084949799857,13.2470779340892,12.7067276682625,12.7310516768695,12.7896289651113,13.0672461464524,12.4675515483412,12.550099386157,12.2132244831038,12.7021469752468,12.2366793928131,12.7451243244549,12.9541214288622,12.6607442838181,12.6969676832343,12.875811840406,13.187294617961,13.1044308819343,12.5151058218137,12.6016214308836,12.5344781039259,12.4952593552893,12.179904543287,12.7482418180685,12.4184331815085,12.8887224482085,12.8553845974898,12.5798461998874,12.2328820094484,12.6430258322742,12.7162821515828,12.4165341989675,13.8659289738844,13.0708074292533,12.4540482354486,12.5358638709219,12.5911494621542,12.0627321230804,12.5217291814229
"hsa_let_7e_5p",10.3691496734506,11.2181263614946,11.9081185632873,11.9337494980395,11.6380299114216,11.7585991651607,11.8091814388204,10.3139897107741,10.8939247829241,11.1075082549311,10.9545396685564,9.89142511922801,10.679174582676,11.4589665088125,10.5709870037281,11.3257299100359,10.5047746232107,11.1730350195125,11.1107624962812,11.5571471753293,10.860537454505,11.5972686372032,11.7337517798744,11.2936885574516,11.895762078526,10.4099664406134,6.35031925669144,11.6208197245344,10.1335032969459,10.2760791133913,11.033795010982,11.4948960187395,11.1777564296597,9.92638807706475,10.1599178010804,10.9259317559829,9.6363470352317,11.3482547738464,12.3813912346356,11.2774999680723,10.8023775432219
"hsa_let_7f_5p",16.478713355589,16.8698026471431,16.8542537497446,16.3862474595091,16.8355637505966,16.6926037079191,16.4703937112269,17.3387657820462,16.5852282790387,16.7041950494319,16.40583735926,16.646851359154,16.338406611144,16.576469638701,16.6347929774424,16.7174048947564,16.7677702434316,16.5064767886513,16.7416706027839,16.9804183368604,16.6918754742359,16.3221563582246,16.4572936491647,16.6029743372629,16.5515809137653,16.6838836418856,16.4490323956055,16.9297016824425,17.0809379692029,16.7095705981879,16.5483930737185,16.7938622209989,16.8187811988179,16.821183406241,15.8239206399591,16.3850163718308,16.2906300683609,15.8353522379721,16.2539310479655,15.8832034569726,16.6301958419112
"hsa_let_7g_5p",13.3847300371682,13.5810343752928,13.5134458926481,13.1041882012914,13.6337285364502,13.7118069726462,12.9872688593536,13.7853112169641,13.6642179002744,13.7345483004218,13.8474040713471,13.9939374507823,13.4495204256999,13.6206769468065,13.7327077516722,13.4153139066113,13.6743657844724,13.4087564765005,13.9676195666907,13.6308996014672,13.3878868033682,13.3031879003194,13.5644697756832,13.3091836844064,13.6769498069939,13.7132865754974,13.9309866778761,13.250601475883,13.5906344409416,13.5072445759012,13.1952141956092,13.5756981393613,13.3364497193128,13.6452680678812,14.5737042977635,13.5582193898629,13.9315116042526,12.9280336180334,13.485791620412,12.9125936771764,13.1626868772584
"hsa_let_7i_5p",15.1826133334756,15.6564898141476,15.5908102215583,15.6896212784375,15.791823659019,15.4146996064409,15.1340444365081,15.5955397529216,15.892897804957,15.5432496055595,15.6980551284475,15.8170358160338,15.8015683663621,15.476975688234,15.3980650260655,15.773143262585,15.6370466786824,15.9684414670156,16.2332902781748,15.7209523824623,15.7740996053815,15.9402475629373,15.9703832663548,15.7006099306323,16.0028495892203,15.8535293854259,16.5344827312466,15.4802764378418,15.8359770550637,15.4405943879073,15.3824718746188,15.7391859722731,15.6456195455915,15.8978310026313,17.2193098160061,15.9463183500291,15.5192721322946,15.4916273094848,15.8682744775914,15.7036737226927,15.3018452479859
"hsa_miR_1_3p",5.24011045996391,5.2401104599639,5.24011045996391,12.8961909265353,14.1977249291356,5.2401104599639,5.24011045996391,6.47126295632896,10.336678750126,5.24011045996391,9.0999864996909,7.88422271001827,10.0959556877496,8.94914502895895,8.21655796134276,8.84980289865611,7.53454316217211,10.552686055439,8.64685023745719,9.20719115510345,10.1946594631124,10.0403460882875,10.4982397547743,8.76337460628801,9.90583954435321,9.93914828050666,5.2401104599639,5.2401104599639,7.11834519490736,8.79685120265676,5.2401104599639,10.434368595591,8.71618460912741,8.2606534000101,6.52343170899541,10.6561130265526,5.24011045996391,5.2401104599639,5.24011045996391,5.2401104599639,5.2401104599639
"hsa_miR_103a_3p",11.7478310697499,11.7995965384887,11.7594239085493,11.99568101576,12.1571650762546,11.9478566372903,11.3792688102599,11.8625194463655,12.2910998588757,11.9916996621534,12.4175746856384,12.3054732730659,12.2543317032078,11.9742171418076,11.9836155676037,12.1485377614739,12.4597891952761,12.5288455151401,12.3334887880893,11.6712715255965,12.341236946458,11.6972965596334,12.4040784933876,11.997670602526,12.3198404191019,12.3705851116749,12.8314412801626,11.9132017396198,12.0286518466803,12.2290480724045,11.7430834432991,12.0364211155924,11.5942134404737,12.4132051388383,13.2652035673289,11.980291514019,12.5415394827929,11.410652633498,12.1701157296788,11.4863989026405,12.3650852433169
