"","HB2","HB5","HB8","HB9","HB11","HB12","HB15","HB16","HB18","HB19","HB21","HB24","HB25","HB27","HB28","HB30","HB31","HB32","HB35","HB38","HB39","HB40","HB41","HB44","HB45","HB46","HB49","HB50","HB51","HB52","HB54","HB56","HB58","HB59","HB60","HB61","HB62","HB63","HB66","HB67","HB68","HB70","HB71","HB72","HB74","HB75","HB76","HB77","HB78","HB79","HB80"
"hsa_let_7a_5p",17.2944579153659,17.0595638291392,16.937352090101,16.8326268968122,16.8672650108423,17.4530563869595,16.8757434793019,17.0970675590503,16.6733218813987,16.7913056122432,16.5914017190664,17.1071662160337,16.3619408003579,16.8340964990592,16.8259441490266,16.7806854392795,16.3334275385177,17.250595888803,16.868160588478,16.4963287660663,16.4912541445849,16.6947805096177,16.5244800792836,16.4576249468305,16.7916547540543,16.8297810174171,16.8412156887235,16.5984377508591,16.7492660897261,16.8917608970822,17.0214072830816,16.8747272773502,16.5601529806669,16.6231231951105,16.9698726430031,16.9665736054675,16.8379471628321,17.0709657095079,16.5275834475413,16.4737515591202,16.1601798372597,16.7825140383172,17.2653110923094,16.6523638531233,16.0175849995119,16.9120041634966,16.5153089894371,16.4964426512146,16.2029042787974,16.5972997555628,16.7302812402536
"hsa_let_7b_5p",16.6509047450834,17.3165073382656,16.4635611751607,16.0716052106737,16.794747816822,17.2027504101223,16.5255033471869,16.5832170412434,16.3707071578324,16.3016905072653,16.1667520264302,16.8269083359757,16.0798429868138,16.521376262768,16.4647194201722,16.6168843090732,16.29739079146,16.8678091037997,16.3042553088328,16.0583699299419,16.2978518802919,16.4000066414262,16.2649355846997,16.4831762539201,16.3812397598983,16.6828432966522,16.7547483872178,16.5711983616263,16.3458468556805,16.4393381825877,16.4259422158878,16.48722005479,16.2776656585319,16.2867401612967,16.5868336042019,16.5467822885306,16.3760528428438,16.6719198298969,15.9501073800621,16.0306324683713,16.6741203410356,16.5876862705279,16.7189721723664,16.0795247296135,16.237299520419,16.7871793601225,16.5534373044927,16.0607047033944,16.3349057357063,16.4091983798815,16.2284989289384
"hsa_let_7c_5p",11.7146018917913,12.2238939800934,11.6812621109023,11.2748600878038,12.6976709438892,11.5007019250588,11.41274294101,11.5812541661754,11.1014730924127,11.2373980381939,10.765679225942,11.8887754192962,10.9108132367099,11.3246834636642,11.7800690303819,12.167209938173,11.3555441470847,12.261033579473,10.6669921821116,11.850554307593,12.435549073606,11.3308302643122,12.4712785664858,12.5075645279509,12.0661200866456,11.5352798425062,11.5695279033881,10.8834320881159,11.4687708369104,12.2992747456755,11.5527654884054,11.360507972001,11.8944736889834,11.015646489116,10.8032125980271,11.5258822876071,11.6302187536701,11.9920996188668,11.1427914455937,11.1625412993862,11.805658758455,11.6098164010254,12.0998428693551,10.0649370517646,11.2156331890494,11.3334222964414,11.9817478023948,11.2956683397972,11.3010611184717,11.4864201055916,11.1803827932063
"hsa_let_7d_5p",12.5616483901339,13.0598872581205,12.4987677255171,12.2933823729398,12.5835851806859,12.5268147709712,12.2521993184326,12.6048829297713,11.9920225947195,12.4497763355784,12.0133267980635,12.7564201305905,12.2394046105917,12.4893713675963,12.1093727287615,12.995835998573,12.6467995681562,12.9080787209282,12.3208288563068,12.3877037340597,12.4846127920703,12.3183196270028,11.9834513446469,11.9012848942899,12.2807815011388,11.9519632405607,12.54003469427,12.1984086719605,12.1581663293567,12.6861852098287,12.6510314773149,12.3669899488277,12.0087139791237,12.3595606152939,12.4311175069086,12.4716416876559,12.5094316516486,12.8783118748396,12.1970053465966,12.0905700825662,13.6965850292181,12.872616215136,13.0754944929955,12.2408570303176,12.3273576001559,12.6137096501372,12.3813586520866,12.1844417795671,11.8367600154592,12.4554161283567,12.3094850992177
"hsa_let_7e_5p",11.0447805164834,11.8115014218027,11.493363595923,10.5100281861867,11.6751825792604,10.545915481617,10.7002786831036,11.0172268337409,10.7673945363588,9.62330568904566,10.471101011178,10.3574326705314,10.0490058987041,10.285706915314,11.507583243477,10.9312401852836,10.5092797260334,11.4053786299743,9.11382866012005,11.4475060868206,11.1444227620446,11.5931473769182,10.1466606563464,11.1612088516686,11.1265161285366,11.7660544849061,10.1825562628222,5.95130699192345,10.8123303764685,11.4743448522758,9.88856422275384,10.0409473409279,10.8484250513897,10.749475745516,11.3388829933881,10.875811071095,11.0030968228562,10.9796030518113,9.66784285767922,10.8199844228367,9.91751536318332,10.7314963843231,10.3780822871472,9.3643309470511,11.1891709557145,10.1011309675352,12.2888497835515,11.1187295593122,11.1120183935922,11.5839596569208,10.6039386433698
"hsa_let_7f_5p",16.8837476410302,16.399387544183,16.8498462533876,16.8263661492101,16.4808788571429,17.050946717806,16.5980509724946,16.6937356291498,16.4197226139497,16.6360134301432,16.348911637326,16.6493305502325,16.0081123698825,16.7821663842371,16.7439262464113,16.7555361292767,16.4046350231152,16.9942045514574,16.9502026357502,16.3299106116289,16.1973311361737,16.4661457813207,16.1212707040817,16.2532742321828,16.6158935520534,16.5611993021677,16.6953559276767,16.4578173994741,16.8378039069448,16.9440981978539,17.0958937775546,16.7221978334753,16.5599377263448,16.7017143720386,16.8060539867847,16.920404628627,16.8336878406562,17.0835526159287,16.8335333860458,16.6045904616355,15.8295436117419,16.3932812561123,17.1162096608368,16.3035786368101,15.8464898615881,16.9794910160696,16.265446640043,16.3107950206596,15.8930528676166,16.3172024288485,16.6446393229857
"hsa_let_7g_5p",13.2098741354337,12.7195996146151,13.2650062146017,13.3302861777051,12.5953782031124,13.1055223957853,13.2971232633694,13.4683176225628,13.4891745278647,13.5616660778608,13.0746634970188,13.3692898511996,13.1669630065765,13.3077119919343,13.026302776528,13.6108683165462,13.0403312315887,13.2604282505422,13.5360551984066,12.920687532047,12.7780467212401,13.1910207193443,12.7047824099806,13.0879192426601,12.9297266106469,13.3074080881675,13.3457760098179,13.5702900617939,13.2240144857525,12.8679588887041,13.2191109650655,13.1335085908599,12.8109036434424,13.8057696637117,13.2032336062924,13.1793087002981,12.9581648568186,13.1004401466008,13.2751570945693,13.1841165710175,14.2373765599396,13.1845533856513,13.1564082882915,13.5762149607874,12.5398044774201,13.2381612854499,13.1138638048818,12.8983304907177,12.5221900664904,13.3185558221105,12.7794488214144
"hsa_let_7i_5p",15.6557796058782,15.6940063068768,15.7995058984745,15.8035737324062,15.1031568829328,15.3325065201196,15.9069667687411,15.7391333249853,15.7035227764448,15.729409449117,15.8100793590558,15.3850913836672,15.7535476390246,15.6365301845169,15.6601068335368,16.2666546367877,15.7366653717239,15.7228580330235,15.9130259961728,15.9540376900811,15.4473808409125,15.9859022593143,15.7113327665305,15.865029286258,15.7035995122911,16.0202311880067,15.8631401682774,16.5823686473663,15.6529914339861,15.4694229822126,15.8448402853051,15.4274867528059,15.3662637656611,16.1093563395897,15.7420589014301,15.9069927360469,15.6456924824841,15.7071293275605,15.9097391716217,16.0498875355962,17.3084541992282,15.9604567518314,15.8682395607304,15.5144843365918,15.4871801229295,15.893162237834,15.8823463157139,15.6442231624528,15.7096759230285,15.673371197356,15.283295833737
"hsa_miR_1_3p",5.18871489336559,13.05232265029,14.4056995037629,7.29350060828104,5.18871489336559,5.21681193906732,10.3854962540966,5.21681193906732,9.103923542,8.57469840369686,10.1349106715135,8.18886515014256,9.12641288993186,7.48612060104986,5.21681193906732,8.63189534387231,5.21681193906732,9.21015449679613,7.74941663360248,10.0743288674155,9.20447686376058,10.5503576027904,8.93680106390668,10.8523996829159,8.75264003808067,9.93457439793074,9.97000481063336,5.18871489336559,10.9001627540366,5.18871489336559,7.05896621010214,8.78612302444422,5.18871489336559,9.48158655324852,10.4845828970255,5.21681193906732,8.70403844515915,7.88307634443199,8.23080170350446,8.40371921166976,6.45642014081938,10.7145647440235,7.42243843697462,5.18871489336559,5.18871489336559,7.02066491822227,5.18871489336559,5.21681193906732,5.18871489336559,5.21681193906732,5.18871489336559
"hsa_miR_103a_3p",11.9700359229011,12.1818580487221,12.350604000562,12.2376357830571,11.5233030653798,11.9220378798006,12.4935508699113,11.8638490337706,12.630761933999,12.5191741360473,12.454135460465,12.1683407220298,12.3398940841653,12.672882567879,12.3726811530637,12.5383307801113,12.717852480011,11.832528374681,12.9441922695521,11.8594115873714,11.5105126100618,12.6102956884292,11.7695921230187,12.4593165473818,12.1817467473359,12.5207942148861,12.5755840048335,13.0643836690318,12.1266647111497,12.0906844108481,12.2125836319674,12.4262677604143,11.9102397877601,12.5530804851892,12.2203565805721,12.1418174582527,11.753400702071,11.9515045052661,12.6205990402746,12.8005855484022,13.5274554252432,12.1600475429891,11.9103599896529,12.7624767554432,11.5631418127596,11.9972185535238,12.3665654585269,12.3229663857066,11.6417239877531,12.4824815955734,12.5735695971145
