"","HB1","HB2","HB4","HB5","HB8","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80"
"hsa_let_7a_5p",16.9679066993734,17.3442237600354,17.3507940848838,17.1194629392332,17.0064896092826,17.1884002845049,16.9411143513028,17.5361005515759,16.9477726475132,17.2567033572426,16.7542486389639,16.9835091039644,16.6796225449551,17.0384407015151,17.1650014288057,16.7145144176719,16.9083680520344,16.6880423738467,16.8582475850214,17.3038287046868,16.8241677171074,16.5923736938322,16.7797341910432,16.8684298469202,16.907189136814,16.9172384345247,16.6887760449581,16.9640716322128,17.0871146205853,16.9479698635106,16.6507594743198,17.0388715937053,16.9119118168539,16.6213644203527,16.2731759978666,16.8625640893577,16.7344626150443,16.133350517736,16.6061558176349,16.309921874711,16.8092375857822
"hsa_let_7b_5p",16.2159543216365,16.6058493095009,17.0075542191326,17.258242380021,16.4205513044639,16.8820876315735,16.7478303601043,16.9499167590117,16.48094654627,16.5908009165363,16.3255932802231,16.1922300996883,16.1277766921451,16.6546016849095,16.7764873867581,16.3961192019052,16.4767800697391,16.4745759188007,16.5712500687711,16.8207704343133,16.4580369220453,16.0238999478482,16.3605544044391,16.3388410292344,16.6392643270937,16.7092505699115,16.5292485409264,16.3974096501504,16.3849587651553,16.4445693525451,16.2378174604496,16.5439814948393,16.333470049961,15.9166130333285,16.6285322424046,16.5454958695221,16.0386585273032,16.1920268753281,16.5069258048547,16.290082135932,16.1868728577174
"hsa_let_7c_5p",12.2891609956509,11.672776245057,12.0613461826223,12.1549909133434,11.6403360516934,12.1990565754768,12.6101117932812,12.0440487855323,11.3836770522364,11.7586378544121,11.084147974231,10.8334249208671,10.7667671131341,11.9030280891111,11.8361869113118,11.4558048930861,11.2996024693976,11.2858591197806,12.103252993683,12.1948330231453,10.7312714343846,11.8042391062979,11.3086487706388,12.0066947594986,11.5036248140646,11.5354608956868,10.8818681162894,12.230199614968,11.5192086542185,11.3351345182797,11.8440447677317,10.804693405941,11.5908621955933,11.1287282079838,11.7594105863994,11.5747007241191,10.0948848395084,11.1910504658392,11.9247439154438,11.2742916644301,11.1607461765907
"hsa_let_7d_5p",12.7725453084623,12.7608715125012,13.1054070583635,13.2408672898432,12.6992671666522,12.7270907098879,12.7823602183736,13.0640628142019,12.4595378203261,12.5457198674183,12.2046224837848,12.6981191502354,12.2281316458808,12.7411959082155,12.9472331614731,12.6566206922973,12.6894846062873,12.8721857109694,13.1809456918955,13.0978902878763,12.5106453611992,12.5939178132555,12.5266191804028,12.4873097168264,12.17122547327,12.7408773407763,12.4103058402385,12.8816829096852,12.8482679468397,12.5720922150539,12.2243254789772,12.6354179851107,12.7088437499733,12.4084024652552,13.8611497632446,13.0641890624568,12.4460032735911,12.5280081527475,12.5834216223352,12.0537820273573,12.5138407690002
"hsa_let_7e_5p",10.3666431433943,11.1882995790484,11.900137587261,11.9013770889586,11.6067094410186,11.7511500620475,11.777252145331,10.3116793966631,10.8652512557757,11.1023752233338,10.9256505211192,9.89061795897569,10.6512649685449,11.4525832640144,10.543462236269,11.3198206167037,10.4774853875432,11.1676688950082,11.0813176303787,11.5261144223529,10.856282951585,11.5660931634891,11.7020908060341,11.2635929838935,11.8635247989316,10.3830144582045,6.33780831939553,11.5895604744971,10.1075347538728,10.2496033972305,11.0046239351103,11.4640847066224,11.1480732518128,9.90115628772867,10.1338552958898,10.8971443730926,9.61214698475862,11.3179650964273,12.3474264668547,11.2474619808361,10.7740296694514
"hsa_let_7f_5p",16.4710860965193,16.8548372689337,16.8486705031214,16.3686501598407,16.8204120149892,16.6861406233275,16.4532544075252,17.33581966485,16.568714003402,16.6977950548479,16.3883466846033,16.640139251097,16.3205489206068,16.5693744530447,16.6185484753428,16.7110767994638,16.7522495174983,16.4990006419616,16.7260078202539,16.9660550239683,16.6854084259729,16.3042102198939,16.4400830437061,16.5865566508732,16.5348835003504,16.6679063332243,16.4317768253298,16.9150623260821,17.0671217702373,16.6937330999416,16.5316783093479,16.7784835099533,16.8035381181907,16.805953400484,15.803262676149,16.3674123715289,16.2725123369609,15.8147564947087,16.2356135690667,15.8628681610239,16.6139263182629
"hsa_let_7g_5p",13.3839165042474,13.5774060332931,13.5127941978636,13.0999603069223,13.6301664483304,13.7114046829361,12.982893958943,13.7850013462483,13.6606941473061,13.7341746040352,13.844110643605,13.9938898918132,13.4457267274398,13.6201600767015,13.7292701129582,13.4145388276666,13.67085479073,13.4079731527108,13.9644772893384,13.6273339564463,13.38707723954,13.2992102139787,13.5608206065373,13.3052135367369,13.673442062217,13.7098245179816,13.9277983409421,13.2465576711228,13.5870181693797,13.5035234558706,13.1911007508332,13.572063087959,13.332513854011,13.6417204887452,14.5713240681246,13.5545623619277,13.9283239273237,12.9235842394551,13.4820435269652,12.9081248855177,13.1585325349522
"hsa_let_7i_5p",15.1816317068812,15.6639914102271,15.5921119040857,15.6973082002185,15.8000822647952,15.4150161884305,15.1386236577943,15.5968678907758,15.9017217837827,15.5442852508105,15.7057892262046,15.8196029245811,15.8098814805872,15.4776406206148,15.4041210852162,15.7754648517014,15.6444395167339,15.9718554852628,16.2440182921898,15.7288145593657,15.7764265439415,15.9493363995743,15.9796406714657,15.7083583190499,16.0122885994667,15.8621331512269,16.5468955093929,15.4867923585738,15.8444826393322,15.4468883412769,15.3884407111914,15.7471501414336,15.6530603372306,15.9066825760213,17.2355532748242,15.9554411445034,15.5260061811589,15.4982067229809,15.8769607222265,15.7114392488802,15.3073630877052
"hsa_miR_1_3p",5.33532286998066,5.34976853900794,5.33532286998066,12.9784969057748,14.2753810502534,5.33532286998066,5.34976853900795,6.56207695307118,10.4281288381305,5.33532286998066,9.19585479228577,7.96998876919355,10.1882657825496,9.03110654850342,8.31558238920248,8.93211932772311,7.63600415492121,10.6289187670917,8.74433740387709,9.30267644853221,10.2721712599483,10.1328548538461,10.5891126502137,8.8604454779498,9.99882884775751,10.0320185851779,5.34976853900794,5.34976853900794,7.2212930957929,8.89380247588839,5.34976853900794,10.5254696770229,8.81342407169126,8.35952029258207,6.62850499676956,10.7464219042149,5.34976853900795,5.34976853900794,5.34976853900795,5.34976853900794,5.34976853900794
"hsa_miR_103a_3p",11.7482461952308,11.8000842397022,11.7598405211088,11.9961938698323,12.1576986447958,11.9482974211759,11.3797025936713,11.8629492835695,12.2916506079848,11.9921460700303,12.4181416583849,12.3059599304489,12.2548777358587,11.9746613071034,11.9841268739731,12.1490042878561,12.4603615831152,12.5293608257371,12.3340449746647,11.6717427658388,12.3417281914486,11.6977711382532,12.4046437349016,11.9981837118139,12.3203948549242,12.3711460568044,12.8320613419051,11.9137040136115,12.0291689301065,12.2295908617818,11.74356389526,12.0369391956265,11.594674796042,12.4137715510784,13.2658792701999,11.9808023939934,12.5421223572013,11.411090442689,12.1706509594731,11.4868464282315,12.3656454829474
