"","MET8","HB16","MET11","HB15","HB14","MET12","HB50","HB39","HB38","HB36","HB42","HB32","HB62","HB22","HB60","HB44","HB52","HB31","HB58","HB64","HB29","HB30","HB56","HB33","HB54","HB46","HB25","HB59","HB63","HB65","HB66","HB23","HB21","HB61","HB27","HB35","HB24","HB26","HB47","HB40","HB41","HB37","HB49","HB17","HB53","HB55","HB34","HB45","HB28","HB57","HB18","HB43","HB20","HB19","HB67","HB51","HB76","HB75","HB71","HB72","HB77","HC21","MET20","HB70","HC19","HB74","MET21","MET19","HB73","HB69","HB81","HC20","HB80","HC22","HB78","HB68","HB79","HB4","HC1","MET5","HB7","MET3","MET15","MET1","HB12","HC6","HC11","HC9","HC4","HB10","HB11","HB5","HC8","HC14","HB13","HC10","MET7","HC12","HC17","HC2","HC18","HC13","HB3","HC16","HB9","MET4","HC7","MET2","MET16","HB1","MET13","MET17","HC5","MET6","MET10","HB2","HB8","MET18","MET14","HC15","MET9"
"hsa-miR-10a-5p",207,36,138,50,58,159,10,43,12,91,14,38,68,66,83,58,70,59,83,143,45,24,51,30,71,41,26,24,148,21,46,109,27,64,82,40,91,97,68,30,19,118,29,89,98,31,44,137,161,85,65,25,36,92,96,60,53,70,31,125,69,272,133,50,260,132,1299,176,102,50,121,327,107,225,93,15,34,45,92,134,56,76,13,65,18,128,70,68,103,27,57,82,168,176,73,128,89,137,174,73,117,107,69,183,141,85,150,344,139,107,97,345,225,281,120,88,88,176,129,159,197
"hsa-miR-125a-5p",291,136,300,103,115,442,14,83,37,158,24,72,96,145,157,94,118,119,133,119,103,50,96,61,112,91,73,76,168,96,103,242,64,112,203,60,110,221,121,101,59,155,66,231,94,78,107,253,309,234,165,77,112,156,210,132,115,134,98,242,156,623,377,111,541,162,2232,857,227,98,205,731,227,548,196,65,113,154,205,331,77,175,15,151,52,288,153,277,257,83,102,204,405,434,74,431,285,407,412,193,261,361,208,357,272,151,337,750,348,260,246,594,596,480,408,173,116,401,267,410,385
"hsa-miR-126-3p",2634,1069,2222,557,758,3020,165,724,288,981,318,466,792,1095,742,735,947,775,730,816,721,620,718,508,1239,580,637,426,2187,405,737,1483,647,838,1424,675,1167,1466,1269,537,527,1178,356,1439,975,659,640,1415,2145,1392,949,389,1443,1539,1432,893,900,1230,928,3415,1492,4601,4032,658,4756,1153,21960,6120,2115,709,1825,5379,2089,3854,1651,1525,716,1059,1334,2995,1360,1364,174,1582,429,1408,1183,942,1815,538,706,1287,1907,2525,1622,1936,2203,3402,2254,1183,1667,1750,2031,2670,2020,1301,2015,11878,2404,2165,1945,7008,3804,4256,3094,1459,756,3511,3370,3707,2929
"hsa-miR-126-5p",317,165,203,77,119,367,0,72,32,78,31,50,104,154,123,66,131,95,161,88,91,54,131,43,204,93,66,73,293,77,139,208,106,110,217,107,168,205,150,60,80,152,58,184,151,87,128,220,269,224,152,59,131,208,237,104,144,157,121,445,183,571,466,73,628,161,2823,686,247,111,302,658,315,590,224,172,128,149,196,288,184,183,16,211,43,256,129,212,267,68,70,231,315,386,255,357,275,384,349,203,215,324,256,331,261,148,275,1937,290,263,195,786,587,592,273,156,117,348,403,451,367
"hsa-miR-199a-3p",170,66,325,46,70,197,19,41,39,119,56,42,78,69,51,112,68,230,60,131,74,153,158,85,139,57,53,64,344,39,80,114,45,84,169,93,361,116,107,70,48,91,30,118,144,111,62,209,142,119,97,48,71,157,220,77,222,123,205,892,147,345,287,66,236,417,731,809,204,288,1394,352,459,236,1014,160,83,72,143,458,392,154,31,97,95,206,196,164,171,66,65,237,227,165,361,265,141,314,131,137,316,171,202,174,150,125,204,7415,442,116,199,334,411,531,295,118,94,196,226,327,166
"hsa-miR-199b-3p",28,17,72,10,12,41,0,13,13,0,12,0,24,0,12,29,21,51,22,32,19,44,33,27,30,0,10,0,91,15,19,22,12,17,30,16,69,26,28,18,14,19,0,22,24,19,11,40,21,29,19,0,0,18,49,13,59,30,52,75,25,64,30,16,24,97,93,113,44,64,215,49,89,46,454,41,0,16,40,80,107,16,0,21,24,43,56,51,29,11,10,52,44,42,70,80,31,67,29,18,57,42,49,30,40,24,28,1198,77,21,37,62,79,103,45,23,63,38,44,56,31
"hsa-miR-21-5p",785,273,639,207,257,668,88,366,130,376,228,164,385,328,362,155,408,370,383,481,238,417,382,297,672,159,179,348,2385,184,446,355,222,502,594,686,824,510,624,185,192,863,113,517,756,362,334,531,724,483,373,125,461,963,580,291,397,975,955,2513,497,1272,758,283,757,1401,4969,1163,1195,452,1193,1199,1243,702,1122,2071,265,170,641,590,2591,343,61,255,166,599,359,352,375,204,254,562,544,750,1930,628,230,783,481,303,1057,637,1063,624,832,336,792,6576,815,556,725,1113,1248,2799,711,418,281,800,824,857,673
"hsa-miR-23a-3p",322,123,271,146,186,266,23,56,26,117,31,35,75,162,107,77,101,163,110,145,116,106,298,152,104,87,95,130,203,71,106,134,171,125,228,186,911,175,185,106,94,184,65,166,196,98,91,216,192,198,266,130,264,259,225,109,103,151,170,1896,329,422,439,96,274,228,1002,910,306,132,391,330,669,337,272,192,124,93,129,207,124,147,33,78,78,169,148,118,125,89,110,206,182,218,166,239,172,321,202,129,284,186,177,200,190,143,300,2670,359,127,281,330,362,309,289,161,115,255,541,372,287
"hsa-miR-24-3p",61,39,74,20,29,72,13,21,16,14,12,17,19,24,24,13,35,27,24,44,21,34,41,31,36,18,31,12,58,14,29,39,29,21,68,27,98,42,35,27,16,22,18,47,38,34,27,50,71,29,41,19,35,36,45,25,24,39,46,309,26,102,137,26,81,38,388,291,56,26,79,86,155,60,56,111,20,17,29,77,114,42,0,27,18,46,40,34,39,15,18,60,39,58,92,54,28,66,48,38,39,40,61,45,56,38,46,748,74,34,65,102,108,100,80,24,18,60,80,74,42
"hsa-miR-27b-3p",70,35,76,33,32,123,11,33,43,39,25,17,38,42,21,40,48,55,43,39,28,30,29,15,30,23,30,26,69,29,32,48,55,42,39,39,74,38,36,21,44,55,16,38,25,23,29,47,62,42,28,18,49,49,44,38,62,53,50,145,61,112,105,36,102,90,458,159,70,67,184,126,73,77,79,54,25,27,46,86,32,35,0,42,23,63,44,45,58,21,59,48,88,68,55,79,68,121,62,44,71,56,59,65,62,44,62,480,93,83,68,115,104,154,80,36,50,73,75,102,83
