"","HB31","HB1","HB55","HB52","HB11","HB10","HB50","HB51","HB16","HB46","HB17","HB21","HB45","HB19","HB15","HB18","HB44","HB22","HB39","HB42","HB35","HB3","HB53","HB32","HB23","HB24","HB56","HB40","HB20","HB4","HB49","HB13","HB54","HB37","HB29","HB43","HB41","HB12","HB25","HB28","HB47","HB38","HB26","HB30","HB34","HB27","HB36","HB14","HB33","HB2","HB5","HB77","HC21","HC2","HB60","HB61","HC19","HB62","HC17","HB57","HC16","HC14","HB64","HB65","HC11","HC10","HC9","HB68","HC8","HB71","HC7","HB75","HB73","HC1","HB69","HB74","HB66","HB70","HB80","HB76","HC22","HC6","HB7","HB58","HC4","HC13","HC20","HB59","HC18","HB81","HB63","HB72","HB78","HC15","HC12","HC5","HB8","HB67","HB9","HB79","MET3","MET15","MET19","MET9","MET7","MET16","MET5","MET4","MET1","MET20","MET6","MET21","MET17","MET18","MET11","MET13","MET2","MET8","MET10","MET12","MET14"
"hsa_let_7b_5p",4355,8113,3721,4033,3315,2454,624,2717,4318,1298,7441,1900,2942,7025,1942,2085,1285,4128,2204,3348,5755,36142,7403,2453,3894,10223,5207,1340,6217,3814,1810,37791,11108,5874,2459,1043,1872,3838,1588,3840,7063,852,3535,4046,2383,7398,2308,3055,3208,7262,8027,2447,5792,3794,2718,2884,4358,2572,4274,4930,3675,3458,6903,2545,2474,4671,4126,30587,2690,12453,4261,15022,11114,2631,2569,3437,3541,1482,8018,1571,3130,2224,33413,2584,4435,2490,6682,1537,4943,3665,13688,11311,3829,5926,6011,5353,2321,3107,7297,1244,2243,398,4961,2929,2708,4051,1921,1742,2599,2759,3215,10333,3620,3017,2265,12378,9326,1859,2501,3556,1643
"hsa_let_7c_5p",138,516,133,219,186,94,12,90,132,36,254,44,142,205,55,53,78,47,144,94,114,1379,259,98,141,327,146,39,144,122,49,1241,369,143,65,40,128,74,43,145,204,44,111,179,43,198,56,89,86,232,233,87,233,136,49,87,158,93,208,169,186,205,349,80,123,179,164,1023,100,493,177,340,349,109,60,103,122,46,236,64,139,81,1058,119,173,118,328,39,152,80,520,172,114,208,210,208,82,103,254,40,73,0,297,160,104,145,58,110,105,85,108,470,167,134,70,319,323,60,107,156,84
"hsa_miR_103a_3p",568,640,309,318,142,143,86,232,265,116,543,228,256,801,189,246,125,451,129,231,868,1966,592,123,269,658,497,153,738,179,160,1982,958,352,283,113,133,163,186,357,579,74,328,382,243,813,207,226,281,460,378,287,533,191,212,218,421,169,371,316,327,196,458,215,123,296,216,5352,251,721,284,881,853,125,144,218,547,111,1000,138,326,222,3055,201,237,274,600,181,238,199,840,1763,240,490,360,417,214,510,803,129,234,42,1278,328,166,470,448,177,143,535,854,1729,394,267,349,713,4755,236,621,248,376
"hsa_miR_107",85,89,58,67,40,32,0,45,38,36,97,39,61,168,55,80,22,74,31,34,120,221,120,24,44,114,57,30,131,32,21,285,155,65,47,27,23,30,38,75,90,15,74,79,54,129,26,71,40,85,81,46,98,38,33,49,106,31,77,66,67,50,59,19,58,47,36,744,51,94,60,141,125,31,31,51,94,30,169,22,81,41,451,44,38,51,101,40,63,51,126,324,52,127,70,114,45,92,130,33,65,0,248,87,47,89,70,36,34,113,208,327,97,54,76,122,805,87,118,79,109
"hsa_miR_142_3p",1343,1266,857,2042,511,524,316,690,815,370,1470,559,1277,1689,487,658,782,731,600,870,1408,2790,2144,680,1060,2192,1596,398,1358,497,336,4274,1917,904,956,248,360,805,618,1850,1228,379,1901,2334,706,3142,930,715,691,1355,866,599,2075,626,716,940,1107,977,1122,1009,1195,792,1611,436,770,1112,503,3457,761,2615,870,2361,2858,662,546,651,1649,451,4000,411,1357,680,3199,1143,763,1011,2665,641,698,494,4182,6119,738,1422,1357,1418,556,1504,2775,357,913,114,3332,1246,923,2116,1765,540,690,2210,2489,6391,2067,1367,2059,2125,15911,845,2752,1405,1193
"hsa_miR_183_5p",110,148,75,127,28,22,19,59,107,15,127,30,70,126,46,47,22,46,34,22,134,712,168,71,59,135,113,34,57,37,42,842,271,80,53,25,35,43,31,97,83,17,105,142,59,315,62,72,101,243,49,68,89,66,36,54,78,61,76,58,55,46,96,57,19,71,34,566,40,347,41,361,268,46,46,25,160,35,141,17,29,18,371,50,49,31,84,33,48,25,282,144,38,53,95,33,62,109,581,20,29,0,65,38,30,53,16,30,56,25,43,135,23,24,17,90,60,33,45,38,18
"hsa_miR_191_5p",395,320,151,284,110,89,10,122,156,68,350,104,203,302,92,99,68,197,49,63,276,760,266,81,199,490,446,82,315,87,56,706,377,133,157,48,51,120,95,215,198,31,281,189,120,774,109,123,133,247,266,132,324,122,119,97,257,116,254,197,178,135,332,113,114,267,159,751,170,328,147,334,426,103,89,187,232,49,1117,78,258,121,607,198,112,139,326,68,166,173,568,1523,194,306,215,225,74,258,300,65,151,30,1212,179,224,386,227,112,80,411,392,986,319,187,265,436,6426,123,356,251,164
"hsa_miR_20a_5p",26,34,13,19,0,0,0,13,13,0,41,19,11,43,0,19,0,25,10,0,42,82,18,10,17,38,28,0,51,12,0,110,51,14,0,0,0,0,0,23,20,0,14,11,11,41,0,13,17,26,19,13,21,0,0,19,25,0,10,19,16,16,13,0,12,0,0,99,13,34,11,39,44,0,13,0,31,0,33,0,19,0,48,11,0,0,34,0,0,21,28,148,33,50,29,21,0,14,56,0,12,0,101,17,15,24,18,0,14,48,45,151,25,22,17,49,228,17,24,26,22
"hsa_miR_222_3p",13,0,0,0,0,0,0,0,0,0,14,0,0,11,0,0,11,0,0,0,0,24,0,0,0,31,0,0,0,0,0,34,12,0,15,0,0,0,0,19,10,0,12,0,0,29,0,0,10,10,17,0,28,12,0,0,19,0,12,25,11,10,20,0,0,17,0,39,0,0,12,0,19,0,0,17,0,0,40,0,23,0,31,15,12,16,41,0,13,20,19,68,13,22,19,22,12,11,14,0,11,0,113,18,0,44,29,0,0,29,14,100,38,11,23,18,275,14,23,26,32
"hsa_miR_223_3p",908,309,149,805,255,228,136,152,317,168,813,272,919,377,219,262,500,200,192,142,409,785,633,110,434,1597,1603,230,524,174,128,529,317,169,414,118,160,616,367,497,315,169,870,996,232,2113,381,326,276,556,508,288,807,235,341,176,399,345,309,290,361,219,511,108,256,478,197,1213,321,768,321,555,1082,211,247,350,398,159,6745,204,830,328,450,735,261,328,866,317,349,700,1054,8156,734,717,436,829,134,527,702,190,522,54,4439,538,909,847,2163,364,360,2726,753,1915,1527,364,1429,1397,7596,337,1047,606,607
