"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa_let_7f_5p",16.570733137469,16.933421783917,16.7763743650204,17.4016099761305,16.7879823509335,16.7327294982904,16.6645982009317,16.7984670814739,16.5961502224455,16.7774042257342,16.6230528858414,16.7352046730004,16.7288286831778,15.9189080311393,15.3096400842607,16.1716271165294,16.3721654492862,16.2994785481768,16.5174168196107,16.0567274615533,15.8006515501627,16.1187902271514,16.2632090793296,15.5105812069268,16.4819865204922,16.6085940221941,16.1746456464941,16.2925799467145,16.2057288479281,15.7560058939722,16.0908512441548,16.6813015881914,16.692244679765,16.1977958983745,16.539965156325,15.8626135376833,16.2624638588899,16.0441671288441,16.7048703588201,16.560646492197,16.4443752409697,15.5837555201031,16.9251192872085,16.4986867815584,16.9459061555336,16.0281430728821
"hsa_miR_10a_5p",9.94401031256818,10.418699427908,10.0058173211774,8.1735245746772,10.170415714601,8.89258880469619,11.2509123558667,10.9582161338797,10.3090546323874,9.63451379700368,10.9210162209109,10.2604881795375,11.2321945508053,11.4327770286535,11.6018899044945,11.6155130573113,11.2723541741103,12.4766340505837,11.8682090779257,11.0633677345759,11.3371172980205,11.6067473775921,9.87619650314634,11.5148876923285,5.74105686792961,11.3432751377922,12.2619962616832,11.7816667136143,10.7906857080113,11.1871559265618,12.5375257884666,11.1048862529991,9.81336014869522,10.1926878314544,12.538420620929,10.12321020922,10.3012846314122,10.9160124552924,10.0780893426568,10.4155096427246,11.8987394325559,12.3400236314414,10.3516360773237,10.5301935991138,10.1667363435261,10.8327297606377
"hsa_miR_125b_5p",8.30576162050638,7.20004671636806,8.01257821817439,5.02557866960716,7.87724914268343,7.068305116031,8.73609893539217,8.21324403536789,7.76879738549627,8.3065963394478,7.95151117304675,7.13450058976828,8.88341641477277,9.74442620655536,9.0532342919725,8.99117058761723,8.92151624479854,9.1652276768399,9.11200292984009,9.38911181783512,8.94429474956139,8.31707601051981,7.59563465458095,8.99762897919615,4.15136651904893,8.47591621368798,8.79282054880941,8.64007834879311,9.01654357896218,8.46912995713767,9.05208768739917,8.16742584838518,8.16742584838518,8.16742584838518,8.16742584838519,8.16742584838518,8.16742584838518,8.16742584838518,8.16742584838518,8.16742584838518,8.16742584838518,8.16742584838518,8.16742584838518,8.16742584838518,8.16742584838518,8.16742584838518
"hsa_miR_126_3p",14.2771732450555,15.0031158248157,14.5829837127119,12.5971117383673,14.1977011762886,14.0891262031387,15.1058080226128,14.9954625022662,14.6259920710972,14.4634356950801,15.7371400904936,15.2412164476462,15.4580418628943,15.4328523739093,16.0899720104377,15.7560284118719,15.9482839557145,16.3050486384677,15.9556253234731,15.8625801065785,15.7046164465013,15.90405052107,14.1956564634733,16.2722142001078,15.1390657596247,15.4468407189588,16.5928210369262,16.1555677188876,15.8378323397776,16.0926446408095,16.6405404151511,15.6277692316315,15.6120035653391,15.2101503387316,16.5699026544769,15.0351055830802,15.1752084323231,15.714654094839,15.8134934240892,14.9400268984295,16.1633991722504,15.6484766330327,15.101335975765,15.0390934295414,14.0978635263474,14.4799158596178
"hsa_miR_126_5p",11.1052644375978,12.0125626218468,11.4870962137706,9.73232129717752,11.1433936617172,10.5296594571849,12.1414480284056,11.9810271806814,11.3892339889659,11.9567164098657,12.7041009930225,12.502609460059,12.5411466267025,12.1651606264771,12.6145494366789,12.7966706625666,12.8805854729574,13.107803512772,12.8532067074581,12.1824940122422,12.1000521437051,12.7374000757624,10.7733887413984,13.1002785686545,11.627824929275,12.3284642969741,13.3755312306713,12.6937219714812,12.6211560410654,12.907441841233,13.6193679509211,12.1971280189551,12.2978497988892,11.7320661853367,13.4165812685011,11.6668738830109,12.2611678077395,12.6023940904644,12.7733338994295,11.808454443868,13.1742096877076,12.5435190859609,11.8434546090406,12.2236529619079,11.4664267243127,10.8083229004699
"hsa_miR_140_3p",7.7338465442393,7.85215537512091,8.40214560870183,7.60627796785574,8.36563140088889,8.08913811839952,8.89407648309445,8.31577837938036,8.50279588561941,9.29524806748993,8.17864114663248,10.3360328339238,8.03732475944331,8.68412995666285,9.64726662067243,9.44730872640074,8.32787089442017,8.73045373196448,8.66622786764392,9.32912343620473,9.19251875202292,9.36571912382226,8.59064594298095,9.27511746669605,4.053415273672,8.86261843271356,8.87975057713725,8.8924451632099,9.09764338847855,9.4084592195813,9.00112800960156,8.53548294397541,8.53548294397541,8.53548294397541,8.53548294397541,8.53548294397541,8.53548294397541,8.53548294397541,8.53548294397541,8.53548294397541,8.53548294397541,8.53548294397541,8.53548294397541,8.53548294397541,8.53548294397541,8.53548294397541
"hsa_miR_146a_5p",8.10356541758882,9.45718340228141,10.3611889660591,9.12679377182477,9.04079442089121,8.56433065065607,9.06815762888153,11.001549811931,9.59813390907817,9.17666663891574,9.81758011726654,13.3296959118161,11.3297580284286,10.9598252183784,11.037766692752,11.5700171601583,10.3221238476848,10.537444840311,10.2999706515067,11.893339845449,11.0914282830383,10.5733137143691,8.85764976339894,11.4011597618089,10.8287399960648,12.2124450286937,9.8880881477714,10.7404859045526,12.1128894528705,10.4416886956972,10.5906066211116,9.53955062792183,9.53955062792183,9.53955062792183,9.53955062792184,9.53955062792183,11.766264805973,9.53955062792183,12.6425702499254,9.53955062792183,9.53955062792183,9.53955062792183,9.53955062792183,12.7123142531697,12.3797209376647,9.53955062792183
"hsa_miR_146b_5p",6.85913311111805,4.22065793040991,7.89911973411667,6.05766043002147,7.8673740156953,6.34408954019549,7.83588815091862,8.2835371408862,8.45112146462152,7.86507171688898,4.22065793040991,9.53857001971397,8.61364908664262,8.77758717967631,8.5954521950523,9.28583378329886,8.03079636231518,8.67073859759158,8.35565439879003,9.79860926597351,8.72411706280573,8.81072258162982,6.35163398777683,8.66130827495771,4.22065793040991,8.80235876849062,9.11987510604936,8.95570126281137,9.3491360848355,8.8708562782207,9.29079694955193,7.90104653249061,7.90104653249061,7.90104653249061,7.90104653249061,7.90104653249061,7.90104653249061,7.90104653249061,7.90104653249061,7.90104653249061,7.90104653249061,7.90104653249061,7.90104653249061,7.90104653249061,7.90104653249061,7.90104653249061
"hsa_miR_186_5p",7.32399119408525,4.48232616860156,4.48232616860156,6.55827627530161,4.48232616860156,7.7530760682032,7.44782693219534,7.36033447477065,7.93237115005822,4.48232616860156,7.84123462128154,8.21445072433261,4.48232616860156,4.48232616860156,8.17627539668352,8.27207678073471,7.93127140378447,7.7750514283412,4.48232616860156,7.68671067354289,8.12198696648437,7.68798626674193,7.43556246279763,9.0161301697189,4.48232616860157,7.66754889678476,7.79222154358342,7.80831658420288,7.87874401726797,8.48715025066817,8.18012966467796,6.94113882193658,6.94113882193658,6.94113882193658,6.94113882193658,6.94113882193658,6.94113882193658,6.94113882193658,6.94113882193658,6.94113882193658,6.94113882193658,6.94113882193658,6.94113882193658,6.94113882193658,6.94113882193658,6.94113882193658
"hsa_miR_199b_3p",6.29554668138989,4.50527609430035,4.50527609430035,6.34254023235454,6.87967558986832,4.50527609430035,4.50527609430035,7.2856731164103,4.50527609430035,4.50527609430035,4.50527609430035,9.97536569973266,4.50527609430035,7.82245689198373,9.06378304354998,8.55111774222554,8.31595719214415,8.08087245989855,7.78141889448243,7.63978305271915,8.31125827020744,8.28181121148206,6.41276749304475,7.91088542482225,4.50527609430035,8.63623774583434,7.81524363726962,7.83133902882062,8.65234716846228,7.52473549157488,7.38681251057858,6.85280659602355,6.85280659602355,6.85280659602355,6.85280659602356,6.85280659602355,6.85280659602355,6.85280659602355,6.85280659602355,6.85280659602355,6.85280659602355,6.85280659602355,6.85280659602355,6.85280659602355,6.85280659602355,6.85280659602355
