"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-miR-451a",11.3629236976799,11.4774271738093,11.1706184368745,11.8683008025629,11.8472180272573,12.2314771969717,11.6876422793772,11.2700264407838,11.9137167809298,11.3600657337801,11.5043274030904,11.1817572618011,11.9003668505347,12.9708839011666,12.7351994808299,13.3332075818433,12.1050971495903,12.6347390309965,12.087971216547,11.3577712242331,12.1639393964347,11.9569202876608,11.7772771152335,13.0865535671926,11.9917206066317,11.9837570897706,12.5107164477862,12.6276637125102,11.6098220908143,11.9666890530607,11.8942488657627,11.6026363160638,11.2067195399358,11.9863013212238,11.4949167400551,12.5111983946568,10.2660139410343,11.6688164762738,11.7133903548391,12.3706925408032,11.6814546495999,12.0850623196659,13.1806709116209,12.7012116658225,11.6071253942171,13.3404812063022
"hsa-miR-181b-5p",6.02064281121181,6.88733257580988,7.89047603004662,7.13961492609798,7.25924364973199,7.18026639558804,7.78654588896984,8.10975751337463,6.8486889360954,8.26333121554513,8.79839613656114,7.91014327074428,8.42017311477545,8.99314815653227,8.26549888219872,8.00539476803665,8.59152832031982,8.94308737191902,7.71435960668617,8.56582281440467,7.85192558845851,8.93333273416943,8.60390873188023,8.73561101830329,8.73179770891871,8.34071725157561,8.21947944980353,9.24997283522969,8.71364904541682,8.98348309564219,8.80321834748498,8.66126623093785,7.63677198717694,8.94002788002656,7.87564258138255,8.755117492141,7.51403590634514,8.71885274968427,8.22717247845254,8.65364046136973,6.67296667264827,8.52116618685647,8.32727400776968,8.52262068612636,8.4576973336724,6.9036488249594
"hsa-miR-483-5p",9.02719001296856,7.84078035140385,7.60508126811997,6.11971090709174,8.01550031252381,7.29800765972882,8.32139226113549,6.97139153409795,8.29875060161824,8.12093131752165,8.490726485005,8.44691398682368,9.01559982543643,8.99305094822949,9.00768181436065,9.07189107308564,8.69633153610979,9.33888982624029,9.66316645422956,8.93290555294594,8.74790154870204,10.4918304092987,9.73891560022671,7.74920437585061,8.20658616347249,8.58347605705921,8.91776161341441,8.80699344662299,8.02924433298173,8.71032011116336,8.66916293378526,8.93772967592141,8.17192627859574,8.43578190034479,9.68234915173734,9.88171395747427,9.91296506875978,9.04351153961159,7.17019754567667,8.36349700667435,7.73757939417736,6.53553113775841,8.33771695304969,8.38317858139933,8.44326532304657,8.48747537228426
"hsa-miR-22-3p",8.43137863006159,8.48350018859521,7.49390955144978,8.29746277026702,7.69028668591615,8.50894692808219,8.0220601017779,8.28298291412202,7.93166625620662,7.53095601228717,8.71078545730781,8.67539930588288,8.60961994028345,8.64562800148895,8.81685944282973,8.04729767907689,9.01494098286255,8.91826858695234,7.72648390814595,7.04060816973813,8.16467255090307,9.56647800809832,8.00714681281946,8.91973991646504,8.10058483269996,8.65326259477636,8.62078916726163,8.60939564697224,7.55723409052193,8.05276339628069,8.41175671098844,8.47567521977826,8.48716731338379,7.77884713501931,7.56174940843828,8.9034485415465,8.20368998181929,9.1605755496651,8.13125319606848,7.81948880503651,8.94967116146561,8.55574796008381,7.99945801991929,7.87228143059588,7.73318121911996,8.82857865648189
"hsa-miR-4433b-5p",6.86093100816404,7.8164163078538,6.77255434850114,6.55542572045251,6.85886639790965,6.97948346685619,5.61666171881191,7.57755825732893,7.77007077419188,7.03749211469331,8.78657693310748,9.09122820211996,8.87759178586992,8.49945492303559,8.66090140189653,7.0978142531553,7.90523554675085,9.06973595238249,9.1364474963994,9.74892621909009,7.86364957104396,7.02706732525005,6.86508704253738,7.95539623173098,6.28897473568465,8.26643123292803,7.9358879030781,7.6166418782121,8.42249521359243,8.73542190345857,9.03852822801054,9.23812630423034,8.02191987280853,8.09822160531105,8.92189173847177,8.49043118612204,7.43187613524139,7.83721825271128,8.69897504136143,7.3939195120301,6.91278598253643,6.38332218249204,6.60944234812852,8.22660233305221,8.73462609458488,6.70370293085478
"hsa-miR-99b-5p",8.37041647000706,8.86151422817653,9.29219346070738,6.56039736978274,8.23341072248887,6.9573883126393,9.38166053722761,8.97084939946529,8.94876640371224,8.58236302871442,9.03683476396749,9.02677817375301,9.4347312553536,10.1013119198686,10.0891173119812,9.55924106215831,10.4052105071372,10.4650588700899,10.3409930754832,9.39362900481849,9.09638676542076,10.1766239909867,10.0215414930494,9.40861716753616,9.4903583773816,9.86990888528001,9.64718945217692,9.72564965362861,9.93043377371891,9.7835578742035,10.1033599232648,9.02352985764931,9.92616667378976,8.77894023994793,9.06055721584223,9.33473878121497,9.11878398282698,9.44742906251854,10.2200424896566,9.08585035735289,7.85039673468949,9.43675511216138,7.79684132533307,10.6788514620806,9.79809278690676,10.24155423431
"hsa-miR-126-5p",11.0696469594944,12.008164574431,11.3165745919751,9.77308255543197,11.0430260395282,10.4358049900971,12.0164692568439,11.7336824791569,11.2235784144637,11.6438901585328,12.3790432332058,12.4051065741701,12.5844182148035,12.8376025025563,12.822623738304,12.2923219030622,12.7349893876379,12.5072976029426,12.4919011991519,11.9307899809291,12.2937737679506,12.7528642283657,12.8870436750631,12.413070079695,12.4493568553693,12.498366595462,12.051181682695,12.8707481801925,12.4951843592869,12.6296317257003,13.1980872350176,12.1789215255959,12.1586600444032,11.8445187358069,13.1216720123711,11.8411504819381,12.3361323023085,12.3474203325324,12.7262947322225,11.9006002992809,12.762834899279,11.8611195869484,11.9029163243423,12.0812077133962,11.6897806429028,11.0947677932444
"hsa-miR-10a-5p",9.792853492083,10.5441265736548,9.81037977183032,8.11139110196158,9.98395159826724,8.8400366707984,11.0177481673068,10.7922980012799,10.1642205309886,9.41587904930026,11.316655484045,10.7293426552336,11.1456112100655,11.3314235891208,11.6711785246641,11.5160221836424,12.026072751069,10.7655966192992,11.2347085862755,11.2448956282458,10.8457413359779,11.2662650157177,11.8572676564996,10.8605192919972,11.5251899211323,11.378261679354,11.1040209490246,11.5220653979648,11.4325942385285,11.5352836687295,11.8503034028277,11.0389023518792,10.0094442086589,10.5341041688237,12.1046760187996,10.5438755494846,10.6063928655276,10.8729781508352,10.4286837736254,10.703257348072,11.5146489102913,11.5038553250238,10.6753025754644,10.7451328671714,10.6762395032303,10.9890099858793
"hsa-miR-29a-3p",8.25651415750056,9.02379857991376,9.91364617646256,6.84442125723,9.36788717481998,8.40064118450614,9.31323115890135,9.77556578586924,8.05987291116305,9.32136382941732,10.6238363753915,9.64927502471054,9.87265914536167,9.90609460139895,10.7073345312221,10.0136608275241,10.6756443615288,10.0596405160431,10.0719816255626,9.99075695106714,9.49796090779431,10.5162014277584,10.0818214168668,10.1736475950648,9.69604205544482,10.1219416480854,9.58183074083945,9.69415797275518,9.84212028168191,10.3085706620982,10.251661704399,9.19340897255879,9.20783648375224,9.37777609252869,10.6309582045287,9.21094540345116,9.71159501672434,10.0532529239763,9.61742739779749,9.88761003079913,9.78847737254574,9.29393463800347,9.70579023607688,9.78110118091303,8.74536507529043,10.4686002580272
"hsa-miR-29c-3p",8.30917980890939,8.49239081933171,8.140520933358,7.43991610752218,7.82911448182828,8.2931524391305,7.93484171564255,8.50328918574643,8.8518250735252,8.61909897097202,9.48972871320177,8.78235008626693,8.55325618804998,9.30956371697985,9.50907232454479,9.30958894318066,8.86542196182949,9.30307148557479,8.72111155380642,8.38590351651422,8.78387769158503,9.44191546696811,9.63357342076992,9.01139542225608,9.24339346387496,8.6179670341378,8.94784604457833,8.93578572923167,8.8627539868267,8.9184556447939,9.37727315768179,9.35976629711673,8.60310999701729,7.55205695461351,9.26534046901298,7.97383788069367,8.80662630907349,8.83087732072266,8.64269911730952,8.75194312926589,8.77102253581209,9.42468203549573,8.73165061246693,8.88141031758801,8.03420841690988,9.70303731906015
