"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-miR-99a-5p",8.61312693496032,7.24622916413814,8.21978554683296,5.64119177691744,8.26215353521914,7.43905408999369,8.58282717374659,8.4891377880464,6.89910071542085,8.70362419756193,7.52328920894403,7.32514752680284,7.82064067217062,9.22253691690976,9.42543555912136,8.70220183547002,9.73586251444011,9.05397920950293,9.45628414494439,8.37840836467897,8.68710862479917,9.92365026382159,9.60322863603209,9.0086313735801,9.11813848940086,8.76595278087567,8.17648757879517,8.98312640497309,9.20232783653575,9.37906933524908,8.94026087377072,7.81207514242909,8.67005929731069,9.45605720707979,9.67287643067387,8.55709727910389,10.3338034608168,8.90174627982008,7.5527446139532,7.65144963991385,8.96847386493236,7.13922415137941,7.83458376388141,8.33735034906204,8.66013951733046,8.37592174930587
"hsa-miR-483-5p",9.02719001296856,7.84078035140385,7.60508126811997,6.11971090709174,8.01550031252381,7.29800765972882,8.32139226113549,6.97139153409795,8.29875060161824,8.12093131752165,8.490726485005,8.44691398682368,9.01559982543643,8.99305094822949,9.00768181436065,9.07189107308564,8.69633153610979,9.33888982624029,9.66316645422956,8.93290555294594,8.74790154870204,10.4918304092987,9.73891560022671,7.74920437585061,8.20658616347249,8.58347605705921,8.91776161341441,8.80699344662299,8.02924433298173,8.71032011116336,8.66916293378526,8.93772967592141,8.17192627859574,8.43578190034479,9.68234915173734,9.88171395747427,9.91296506875978,9.04351153961159,7.17019754567667,8.36349700667435,7.73757939417736,6.53553113775841,8.33771695304969,8.38317858139933,8.44326532304657,8.48747537228426
"hsa-miR-199a-3p",9.33223794496219,10.3592376473741,10.5604526909804,9.48756790823238,9.72556007515378,8.58178456510706,10.4689787691846,10.3281153290605,10.2806695116356,10.0564563243625,11.3245385917533,11.1247452742045,11.2184775907614,11.7095706833686,11.8291234516791,11.199167138915,11.2530684672365,11.4150049673075,11.5396045730697,11.9421214113107,11.3262784603822,11.4157949050477,11.163308447278,11.2702891503525,10.9229114142533,10.5359866014695,11.8044657519373,10.7465494481655,10.8986909985032,11.1316818465727,11.234060813626,11.4531668659594,10.5497490498684,10.9131653403267,10.6244649558995,11.4168691075,11.3238094998196,11.7657530364849,11.2884973317587,11.0355646319797,11.2390928184346,10.1890538242766,9.25588571466688,11.032996246212,11.2446677317946,8.95670672765187
"hsa-miR-99b-5p",8.37041647000706,8.86151422817653,9.29219346070738,6.56039736978274,8.23341072248887,6.9573883126393,9.38166053722761,8.97084939946529,8.94876640371224,8.58236302871442,9.03683476396749,9.02677817375301,9.4347312553536,10.1013119198686,10.0891173119812,9.55924106215831,10.4052105071372,10.4650588700899,10.3409930754832,9.39362900481849,9.09638676542076,10.1766239909867,10.0215414930494,9.40861716753616,9.4903583773816,9.86990888528001,9.64718945217692,9.72564965362861,9.93043377371891,9.7835578742035,10.1033599232648,9.02352985764931,9.92616667378976,8.77894023994793,9.06055721584223,9.33473878121497,9.11878398282698,9.44742906251854,10.2200424896566,9.08585035735289,7.85039673468949,9.43675511216138,7.79684132533307,10.6788514620806,9.79809278690676,10.24155423431
"hsa-miR-126-5p",11.0696469594944,12.008164574431,11.3165745919751,9.77308255543197,11.0430260395282,10.4358049900971,12.0164692568439,11.7336824791569,11.2235784144637,11.6438901585328,12.3790432332058,12.4051065741701,12.5844182148035,12.8376025025563,12.822623738304,12.2923219030622,12.7349893876379,12.5072976029426,12.4919011991519,11.9307899809291,12.2937737679506,12.7528642283657,12.8870436750631,12.413070079695,12.4493568553693,12.498366595462,12.051181682695,12.8707481801925,12.4951843592869,12.6296317257003,13.1980872350176,12.1789215255959,12.1586600444032,11.8445187358069,13.1216720123711,11.8411504819381,12.3361323023085,12.3474203325324,12.7262947322225,11.9006002992809,12.762834899279,11.8611195869484,11.9029163243423,12.0812077133962,11.6897806429028,11.0947677932444
"hsa-miR-10b-5p",8.94943476818579,10.4966914462903,9.35949927445498,6.66711085381135,8.66002340259084,8.42063513655598,10.3688354657625,10.1067301999537,9.78891745384642,9.86167824235524,10.9813969811309,10.1861169773607,10.8229049966452,11.105204019127,11.2415156279447,10.7370673757334,11.0736355717102,9.53961502092961,10.8356408083994,10.3930611828723,10.3979205121031,11.0559894958189,11.4995694041167,10.6782397775862,11.0391520443641,10.6561885019349,10.2943134089117,11.2286270746457,11.0615453754856,10.9903671703617,11.5355068737417,9.27662672376698,10.2899828304816,10.1708146669103,11.5250006377945,10.3606803690677,9.95284584349399,10.2090839300957,9.86538241871652,9.33615605092506,11.4751762371643,10.6083239512905,11.1039491619205,10.4432932502431,8.25361587954793,11.6729989247374
"hsa-miR-10a-5p",9.792853492083,10.5441265736548,9.81037977183032,8.11139110196158,9.98395159826724,8.8400366707984,11.0177481673068,10.7922980012799,10.1642205309886,9.41587904930026,11.316655484045,10.7293426552336,11.1456112100655,11.3314235891208,11.6711785246641,11.5160221836424,12.026072751069,10.7655966192992,11.2347085862755,11.2448956282458,10.8457413359779,11.2662650157177,11.8572676564996,10.8605192919972,11.5251899211323,11.378261679354,11.1040209490246,11.5220653979648,11.4325942385285,11.5352836687295,11.8503034028277,11.0389023518792,10.0094442086589,10.5341041688237,12.1046760187996,10.5438755494846,10.6063928655276,10.8729781508352,10.4286837736254,10.703257348072,11.5146489102913,11.5038553250238,10.6753025754644,10.7451328671714,10.6762395032303,10.9890099858793
"hsa-miR-29a-3p",8.25651415750056,9.02379857991376,9.91364617646256,6.84442125723,9.36788717481998,8.40064118450614,9.31323115890135,9.77556578586924,8.05987291116305,9.32136382941732,10.6238363753915,9.64927502471054,9.87265914536167,9.90609460139895,10.7073345312221,10.0136608275241,10.6756443615288,10.0596405160431,10.0719816255626,9.99075695106714,9.49796090779431,10.5162014277584,10.0818214168668,10.1736475950648,9.69604205544482,10.1219416480854,9.58183074083945,9.69415797275518,9.84212028168191,10.3085706620982,10.251661704399,9.19340897255879,9.20783648375224,9.37777609252869,10.6309582045287,9.21094540345116,9.71159501672434,10.0532529239763,9.61742739779749,9.88761003079913,9.78847737254574,9.29393463800347,9.70579023607688,9.78110118091303,8.74536507529043,10.4686002580272
"hsa-miR-125a-5p",9.90432093935334,10.7762987537262,10.194096337931,7.33727152059623,10.1437594194225,9.03003811400404,11.1608560605462,10.739612703543,10.670605296196,10.6629408240706,11.373215396301,11.1435477941954,11.261819411367,11.6879983929896,11.7685123527933,11.4068490086295,11.9172554307171,11.688993709067,11.6560851418128,11.0052216473358,11.4523187688515,11.8326912160347,12.0277996532918,11.0497276350775,11.4607870414113,11.6942867185136,11.0340416993391,11.3937888645842,11.5292370226364,11.6090030688813,11.9978035294404,11.3823158753133,9.45300540247406,10.7211529744596,11.5367634861984,10.0638641391772,11.0450814975988,11.1422931667848,11.3335600607949,11.339572496668,12.0793949485491,10.451768664545,10.8958368362197,12.3898493160753,10.85689474465,10.6093569726578
"hsa-miR-126-3p",14.3053892233286,14.9978823475561,14.4794963850432,12.6131670978863,14.1293918986636,14.0353006687629,14.9620439286819,14.8492215323172,14.3884696333586,14.2358534033928,15.324253428645,15.1872028640491,15.4609274978378,15.7006013757604,15.4526841089058,15.351510827121,15.6165904415319,14.7806341084516,15.1849169002396,15.3700272723123,15.5759727550731,15.5002138094794,15.7640063910648,15.5848640252488,15.6233768068235,15.3592010791607,15.0861866826496,15.9068547490058,15.6773185845332,15.7304523990883,16.0560415631894,15.3269678621603,15.2727815938175,15.1067743531391,16.0658839654964,15.0066919170976,15.1556176325978,15.3217541789314,15.5964731748123,14.8272665545805,15.5540712714336,14.7828095218889,15.0069877099185,14.8204539948034,14.3005448353467,14.4826739229989
