"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-miR-23a-3p",9.05389362345616,10.2437393268438,10.5631535012994,8.39234586501611,10.0780174110496,9.54846337228111,10.4182720150661,10.7224227794653,10.1896880197962,9.70577024542986,10.4716390558741,12.4286429239845,11.0917639461486,10.8215020335848,11.3830132553834,10.9603094412017,11.0534127085869,11.2606638759027,10.9675457920294,11.2117046882793,11.3236643698601,11.2768817636302,10.4653845994706,11.7372969244614,11.4055751556839,11.6091342103948,11.105588334201,11.146493524095,12.0098080223888,11.6753276424253,11.5523311422615,11.6206806247081,10.6252755393977,10.2804374049687,10.3032555180148,11.4381256576335,11.3989592534298,11.719222726782,11.4863837367113,11.3204430850605,10.7190612554804,9.65510129414832,9.38612045952565,11.2550326943133,11.2319647189534,9.95767330371016
"hsa-miR-126-5p",11.0974941228088,12.0148614801735,11.3373932395165,9.82506738727815,11.0702889804608,10.4759557985442,12.0232016760151,11.7458220708639,11.2476622231461,11.6588756162492,12.6137317910041,12.3741696449127,12.4219459355466,11.9696026687795,12.4574528361592,12.6172647373142,12.7795314416407,12.8887211409475,12.7639964514433,12.0326133925844,11.9366184230908,12.5958980015139,10.7946523276496,13.0351382524812,11.5328398576538,12.2037114888162,13.2686144047458,12.5814615443562,12.4607248791021,12.6843494181334,13.5037266277326,12.127617247983,12.0979710367183,11.7493658295959,13.2261797872505,11.7356595805935,12.3104374164612,12.3187094441268,12.7503293381363,11.807830607106,12.8072696469644,11.7819218251134,11.8256664558397,12.0044179257098,11.556398366349,10.8901552886487
"hsa-miR-10a-5p",9.82387643466151,10.5619765302491,9.83938782868049,8.15664854933616,10.010902429993,8.88222462192261,11.027246263887,10.8051200949602,10.1888761252012,9.45168388748566,11.172979158345,10.0733739058056,11.0281291856694,11.2201522144578,11.2279612974609,11.3830297280416,11.0613216617494,12.1924644024058,11.7716750908338,10.7828867975362,11.0808523072677,11.3847532905948,9.96410347810059,11.4076087895482,10.2250833974472,11.1854803037778,12.1549165634832,11.7401358786733,10.5779061731677,10.9049400168856,12.3973027610189,10.9685762335201,9.77694673282058,10.3964513880898,12.2021497423259,10.3977639582182,10.4717090399128,10.7737054075174,10.2554767058619,10.5846619365143,11.5199289417273,11.5259978705508,10.5678596958265,10.6202411230252,10.5460441074342,10.9292615765612
"hsa-miR-29a-3p",8.27021394702848,9.02619768887356,9.89979524111561,6.86161638421598,9.36436533429075,8.41207603077429,9.31114159539154,9.76458699949148,8.07513920363919,9.31920140914588,9.34013637396747,10.5238053674216,9.07615121414559,9.6741872481386,10.265730557994,10.5211462389769,9.9453520359247,9.89511094579551,9.72989895766399,9.89080138236643,10.4619004085246,10.8027118624089,8.7922252683704,10.2124704999195,10.0244360515382,9.8139213047763,10.4462224853288,10.1797129934252,9.56035600889384,10.1731044734194,10.4535748059622,9.06367300225626,9.07544361656571,9.28549916770367,10.7329741966346,9.0832560847541,9.66626407170415,10.0570685326142,9.54740708378034,9.87116257465764,9.75797795868082,9.19890937167409,9.67375114159678,9.73723643432583,8.53611498461278,10.555197617893
"hsa-miR-125a-5p",9.95365092650665,10.8030017230775,10.2344948072892,7.4358335152172,10.1860601176762,9.09922441153771,11.1779242195259,10.7666447109857,10.700330214017,10.6928108828724,11.7819427104164,10.0653772309821,11.065212850249,10.8365437188374,11.5895966284047,11.6762922125852,11.6686280377756,11.65636667177,11.5737983099142,11.5540274867811,11.3012401571922,11.7486992108857,9.92334108617467,11.2708017534924,9.95240874543037,11.3408946164491,11.8681260103149,11.8668173251552,11.5962727221446,11.7566245070126,12.1794133995768,11.3162555286317,9.10787312997466,10.5730039180292,11.4975283038275,9.81477456592827,10.9348261671306,11.0411910344576,11.2523428994202,11.2697837263335,12.1071003330405,10.2762647112568,10.7786882907178,12.4447690188067,10.7163349186018,10.4527387882291
"hsa-miR-126-3p",14.2840880968418,14.9593365520482,14.4522679340443,12.6303510191017,14.1110885941368,14.019765789998,14.9245684226301,14.813595474403,14.3646878291448,14.2156266881398,15.6433260575902,15.0945123193275,15.3045454717045,15.2196397407014,15.8949032224628,15.5653941571926,15.7978819764257,16.0731550968893,15.7682753941134,15.6670416678556,15.5375950285598,15.7539218602102,14.1662336680958,16.1891906714979,14.894950265616,15.2564538637425,16.4786243448349,16.0377904722922,15.6796722860502,15.8704149575888,16.5137947709217,15.45667360138,15.3858646767214,15.2044232285581,16.3421430060222,15.0753368665626,15.2541803441483,15.4464269252173,15.7655781424629,14.8658228200795,15.7305283069163,14.8337381154928,15.0950533123093,14.8447327388316,14.232690638309,14.472836427062
"hsa-let-7f-5p",16.5969034341318,16.9245726418129,16.7074948778791,17.4670028098762,16.7583710105601,16.7088516449036,16.5633941864917,16.6979867102258,16.4743555850315,16.5932433428019,16.5799415060275,16.6666563936946,16.6110117369985,15.8376313346861,15.1930023202601,16.0203161550822,16.2887664391341,16.1259812267169,16.3498345957188,15.9207800818229,15.6570671655542,16.0405040451685,16.2438014445575,15.4817140812573,16.3040597838193,16.5001205989538,16.0971488828683,16.2459623730799,16.1175427443829,15.5660889595733,15.9947327373992,16.5780236519144,16.5283103972003,16.2420598898418,16.4469761083824,15.9768939353655,16.3765115337195,15.9720539250167,16.711891749662,16.491330464977,16.2062517870367,15.0396937676073,16.7690414608216,16.3670791169274,16.9596617730054,15.9259904341177
"hsa-miR-24-3p",8.42123282385136,9.57408613336223,9.37934475671083,8.62188120500333,9.23307413017973,8.7351087414003,9.25206503780094,9.67953325345076,9.2830385205202,9.12916863592213,9.9983870120419,11.2060962801731,10.4763765600148,9.99119510790687,10.610760538586,10.1898843559323,9.68676573483372,10.260846017731,9.68064859326121,10.3649618313602,10.5269603469868,10.3484379968049,9.51079593240192,10.7512452829957,8.95051142347069,10.2994348526366,10.5710825459705,10.1221973338782,11.3633916325042,10.9952140206321,10.8756680477137,10.8759067482857,10.5859112920479,9.79824162457344,9.97124466287278,9.61474972920302,10.4382406598011,10.2227028923122,10.5444886526684,10.4851462402028,10.4467221321113,8.6854820197221,8.75242820855349,9.66569025410975,10.2408540987081,8.92209546125413
"hsa-miR-30a-5p",9.0311140969711,9.6875296875201,9.12099562596799,6.54457170012488,8.86929264699281,8.27077543378805,10.068040498844,10.1505783743976,9.25859991100291,9.52076967930176,10.0657668531075,8.93525959307707,9.81741069083418,10.322138534113,10.8720246554158,10.5332748349225,10.5482374341799,10.8814960729693,10.6042996478921,10.1791162089282,10.2294551920633,10.4587703003296,9.00179804147229,10.9996901952025,10.2091744441082,9.7671964409967,11.2174470040271,10.6031453077621,10.458963740837,10.7955353849656,11.3100023965087,10.1331731560983,9.24995272956004,9.27334819443947,11.7661814587232,9.75194353029503,11.089155154778,9.90640841486579,9.39147087111063,9.05529939507224,10.4082780834716,11.3489848369751,10.1061830682257,8.7124600631612,8.99619079717816,9.90115138938658
"hsa-miR-26b-5p",13.1078772144565,13.2745020338497,13.2344795599184,12.6086973552406,13.109993033886,13.5916554919175,13.199715335761,13.5073917463639,13.1894521122088,12.8914559594099,13.4713400005122,14.2140405283868,13.9011583215823,13.3051111788793,13.7462328358911,13.5069489806493,13.7955046785842,13.7311441068774,13.8143762283896,13.9365237658576,13.4688987837643,13.7402723479788,13.3589547480739,13.9619543643005,13.1757671711469,13.6399179401026,14.1786284590423,13.6924977631892,14.4779696281409,14.0188250801581,14.3679011285569,13.9635496499338,13.3294698130226,13.6109978964106,13.8508516561829,13.1618752430106,13.8679172257646,14.017924200781,14.3460581175044,13.6889156959044,13.5496268717634,12.8098196031146,13.5616752116518,13.7460279823332,13.3046843430589,13.0189146190777
