"","HB1","HB2","HB4","HB5","HB8","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80","SB1","SB2","SB4","SB5","SB8","SB9","SB12","SB13","SB16","SB17","SB20","SB21","SB24","SB25","SB28","SB29","SB32","SB33","SB36","SB37","SB39","SB40","SB42","SB43","SB45","SB46","SB49","SB50","SB52","SB53"
"hsa_let_7a_5p",16.9727063353202,17.3696440269968,17.3560768672268,17.144599591783,17.031483706451,17.1934781502526,16.9660259547107,17.5416171628591,16.9726926526913,17.2618674112135,16.7789244458976,16.9883284278033,16.7042041849622,17.043329340783,17.1901955440924,16.7189943106019,16.9332383345289,16.6924888630318,16.8830546230114,17.329197999153,16.8287859760387,16.6168452388881,16.8044421569175,16.8932497333959,16.9320579316945,16.9421199101102,16.7133692353079,16.9890122042625,17.1122104544135,16.9728901175456,16.675304693465,17.0639065520765,16.9367865710476,16.645872547353,16.2972447633525,16.8873765741281,16.7591134549864,16.1572428444585,16.6306447536619,16.3340370079767,16.8339827805112,17.0325006696105,16.7418983522181,17.215485513771,17.1218403747984,17.0785507458608,16.1764166695123,17.0704069094888,16.852674231793,16.8535336681723,16.7115726007915,16.681825612544,16.5311427019843,16.7554951990392,17.0445674782348,16.9723564265803,16.6997606488035,17.1086409444891,16.241720410317,16.9212703637935,17.1812358604632,16.9141015340922,17.0783132716035,17.3083259532779,17.1193274005765,17.0660556014289,16.7073334484492,17.173371761346,17.1036198834351,17.0337490006621,17.1305635686972
"hsa_let_7b_5p",16.2354308957407,16.6197996195747,17.0276509506327,17.2727037896907,16.4343564478587,16.9020860696902,16.7618919013681,16.9699683360123,16.4947990046733,16.6105711540036,16.3393240313381,16.2116880876965,16.1413524692378,16.6744219053524,16.7905713785895,16.4157369212816,16.4906292640297,16.4942551029567,16.5851732730114,16.8348891184932,16.4777031491744,16.0373943455327,16.3743125448954,16.3525821589378,16.6532408152537,16.7232818868887,16.5431388402128,16.4111966638459,16.3987360245438,16.458393312226,16.2514794459875,16.5578833362575,16.3472069719169,15.9300233799997,16.6425003228048,16.5593988973359,16.0521644871951,16.2056529874783,16.520798616001,16.3037850668074,16.2004949320928,16.3330776021063,16.2547146929961,16.6010017748108,16.4988083756914,16.7190710830462,15.691308930129,16.5304387881433,16.389912456124,16.9759191710219,16.5872043956472,16.122280179156,16.3370777556079,16.3569622993985,16.1207246901648,16.4104165054056,16.1545217411628,16.4390990030403,16.8604458787783,16.3079244246844,16.4471271839975,16.820859650444,16.8183375484631,16.6774634890778,16.9448217688245,16.6004115282177,16.3479171470895,16.4846429578043,16.163136937259,17.1516023306228,16.8285395565258
"hsa_miR_106b_3p",7.65377949930379,8.14308562754175,7.45861531497765,7.70804553508228,7.80881917110035,7.64058553496419,4.05205182080674,7.14795472936749,8.10898704512125,7.88406190673295,8.18482516102821,8.29380064707494,7.36177314083132,7.80777831989492,8.17740815039378,7.72282019338083,8.16138966235154,8.43282776293179,8.10480096593425,8.0479669259973,8.17757381352233,4.05205182080674,7.92612475274244,8.12015024352874,4.05205182080674,8.25399250212036,4.05205182080674,7.71197519149995,8.11618137441765,8.11957595591381,7.38074023434442,8.16451511556777,7.86844994773526,8.43904906820187,8.76380605040235,7.57317312888634,8.31991099607978,7.97637730211384,7.93459580607398,8.29526535359236,8.14452569438689,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,11.0856637754314,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775,7.42900968562775
"hsa_miR_125b_5p",8.05287494183122,7.36368882505594,6.98717521635105,7.11128328112806,7.55674134464573,7.77103440806602,8.03173841566995,4.90166141651969,7.64306171267665,7.64018170519697,8.62778011543713,6.86056981291961,7.48383802453262,8.46854830839594,6.06562376249186,7.96624173757818,7.21343062505441,7.53633759334321,6.70626162737157,7.54329223231994,8.05302725005588,8.62865495823662,8.88143697567464,9.00149267026404,8.61573802261989,4.07459218892081,4.07459218892081,7.49162530968191,6.66830229214237,6.81263681630971,8.36961071583907,7.85665290000732,7.21300314606275,6.97097971603306,5.60206786520314,8.31862905304524,7.29719441101946,7.60579772056114,7.90751809656216,7.55701563592992,6.84425078470434,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,12.0508830180022,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928,7.14716978906928
"hsa_miR_140_3p",7.06485892713647,8.03953541363661,7.21919119856577,7.85640129422553,7.80855987477963,7.93713949002569,6.45903038708076,6.89874833232482,8.27718521804481,7.8890319028076,8.74191389934379,7.52841688719568,7.99578832420537,8.57806741133858,8.65633396956438,7.82683252656856,8.64680486316533,8.06885551526811,8.62847386709075,7.86702108032859,9.09965901608513,8.1682319163205,8.55336768765401,8.05092307730139,8.2535207130528,7.59003814919163,8.70789634883714,7.35281278844128,7.9967726045708,8.89305712638968,8.37790842793266,9.16346494559727,8.45120564527228,8.26138605131896,8.53850322066026,8.13063815118679,8.55301765966885,8.25139717477597,9.05997556411164,8.06793850653774,8.6661672087251,7.85300383927716,7.85300383927716,7.85300383927716,7.85300383927716,7.85300383927716,7.85300383927716,7.85300383927716,7.85300383927716,7.85300383927716,10.2925556888532,7.85300383927716,7.85300383927716,7.85300383927716,7.85300383927716,7.85300383927716,7.85300383927716,7.85300383927716,10.6387533153158,7.85300383927716,7.85300383927716,7.85300383927716,7.85300383927716,7.85300383927716,7.85300383927716,7.85300383927716,9.5999144452959,7.85300383927716,7.85300383927716,7.85300383927716,7.85300383927716
"hsa_miR_143_3p",9.28365617479339,10.2387702504599,9.96790331052936,11.5675968709134,10.9851790641734,11.3538599040375,10.6409541477907,9.20517024274908,10.8293769299551,10.9702456048324,10.6585570441391,9.73445780696779,10.9720018312545,10.8042243234667,12.4732685708428,11.5778816836909,11.8681821553324,11.6799381886557,13.4751074433332,10.6446449704883,11.0825702073161,11.7034181749014,11.309863364651,12.2073478471921,11.3401255397059,10.9082211555874,12.3129747909045,12.188678258218,9.24289065407443,11.7924026276255,12.4397297016698,11.2734286314584,11.2613438260648,11.1412685608451,10.677147853304,12.1037234382609,12.3774059126038,11.408842109715,11.204797381654,11.3939570589751,12.6484338131121,9.93543911279837,10.3335048757936,10.7715405160279,11.053238588554,11.3391313332675,11.1472888284634,11.6295039953812,12.3288711421693,11.2853649099596,13.5008814981391,9.92703448938699,9.74132397712031,11.2063688830382,11.668599405932,10.7558070727327,11.1303183325054,11.6506740891737,13.1918954147131,11.450533350041,10.7217135330427,10.5639520543756,11.6087660053648,10.3195071110268,11.5920783807559,11.4664482011527,12.1885507327062,11.0440102559572,11.5289738408654,9.76433029081092,12.3509837912337
"hsa_miR_183_5p",8.14449579934586,9.15994041435515,8.02313029393382,7.6750259069108,8.74779099585336,7.83422111873183,7.65732181281814,8.95460833357211,8.65354741456687,8.35894060493078,8.47348929906794,7.3310517849884,7.90328858254235,8.26922041673546,8.19885931625622,8.85836869171452,9.34356489031039,8.54203696183595,9.18911868723304,9.15776997094903,8.69227295977853,8.09518981767823,8.6400549490467,8.54737255298018,7.93666863757026,8.80863296006349,8.98789161087488,8.92381008063135,8.61300420388821,8.52201122098004,8.22588687798806,8.02152145667782,8.53938187406127,8.97188637858336,8.47878081739104,8.70072637306667,7.58554150495004,7.06401599662728,7.75812850481252,7.49185683307723,8.07453786782426,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,10.4923414770617,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816,8.22825150063816
"hsa_miR_3615",6.93315409323627,7.25553623285076,7.46136413438145,7.82406567057419,4.26237193274882,4.26237193274881,4.26237193274882,7.2325731832206,7.52641080497069,7.30094761405787,8.33161114472626,7.20592911441903,8.13109559491856,7.47521562824602,8.35630244987655,7.68129293867209,8.376289469931,8.2100745940196,7.70660500922426,4.26237193274882,7.95010178816939,4.26237193274881,8.15977372344912,7.48132143288715,4.26237193274881,7.77895358958046,4.26237193274881,7.62702190907111,7.16307892094254,8.65549461913913,7.96566012958769,7.79487847902881,4.26237193274881,8.10373935768957,9.05934128172417,4.26237193274882,8.46703496252619,7.69955957608248,8.4005585408483,6.84108276592265,8.47044028455377,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,10.8588728502193,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,12.1890182410708,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485,6.69838935524485
"hsa_miR_454_3p",7.68956759848013,6.98430349669538,7.75084523745034,6.83236685418303,7.98959409242397,4.32866157634419,7.57114752768545,7.92229912543872,7.5175937170266,7.67775831903974,7.77367444839368,8.34861331463352,4.3286615763442,7.80260548899255,7.45933185212821,7.93853131511638,7.96353446835728,4.3286615763442,7.5927470958262,4.3286615763442,7.56869669569651,4.32866157634419,4.3286615763442,7.47354186793127,4.32866157634419,7.87096380674302,9.22947197716778,7.1040723231316,8.01220794208505,7.7207118093212,7.54224295042241,7.48260451230249,7.38942487848742,7.97404426256173,7.65744973302344,4.3286615763442,8.13648195244627,6.89254200245322,4.3286615763442,6.6604441315316,7.87069364679459,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,10.0992770055838,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,6.67354986308198,10.2919933291364,6.67354986308198,6.67354986308198
"hsa_piR_017716",6.44462630556786,6.52181028401437,4.42725458741068,6.85939245820282,7.39106307537189,4.42725458741067,7.68470522106276,6.21860702219861,7.83375674100658,7.11216637113208,4.42725458741067,6.48621041525812,4.42725458741068,7.51394707278338,8.20351361255063,8.05378455374742,7.93114648742911,9.26591757366267,8.0683567252756,4.42725458741068,7.49793112072447,4.42725458741067,8.06299871688657,4.42725458741067,4.42725458741067,4.42725458741067,4.42725458741067,7.68236742894908,6.06058482562637,6.82917588988789,7.72296056886989,7.89440490220146,7.79918427457731,6.6932199553235,7.27422342730168,4.42725458741068,7.32233399093602,8.73876111651237,8.5545082768413,7.56011589378538,8.33645797877006,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,10.6496400381216,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,6.40253253708585,10.1536664634419,6.40253253708585,6.40253253708585
