"","HB1","HB4","HB9","HB10","HB12","HB13","HB16","HB17","HB19","HB20","HB23","HB25","HB26","HB28","HB29","HB31","HB34","HB35","HB39","HB41","HB44","HB51","HB59","HB61","HB63","HB67","HB71","HB75","HB77","HB79","SB1","SB3","SB4","SB7","SB8","SB11","SB12","SB16","SB20","SB22","SB24","SB28","SB31","SB32","SB35","SB36","SB38","SB39","SB42","SB45","SB48","SB49","SB52"
"hsa_let_7d_5p",12.7960085449889,13.1223301073827,12.5348701983331,12.7512114142133,12.7575483478913,13.0827001920719,12.8312904987949,12.5740734097501,12.6839479611134,12.7237563716589,12.7673793960959,12.4835006952368,12.6841677933126,12.3584573647211,12.894215848445,12.8711715025164,12.5380548293667,12.5610293665406,12.7173958522636,12.239299698385,12.1624331023216,12.4045090633029,12.5981191738455,12.7050243673684,13.0921729812473,12.3403650114871,13.2801662661366,12.8403852065709,12.4301997832791,12.6895486962871,12.8350995469417,12.6874683754999,13.0205692886703,12.8002108542138,12.6452807720435,12.4608357109793,12.7705493977832,12.7144329912122,12.6473223515141,12.4955604200549,12.6407766942478,13.0883958411504,12.6304297832296,13.1562539773256,12.6859886639383,12.8185760651788,12.7543751047956,12.1437182051431,13.1134981648017,12.720106217332,12.1077398816316,12.8179812605375,12.495783149363
"hsa_miR_106b_3p",7.67570992473221,7.4836554901426,7.87600796032235,7.66270273228262,7.86236997144487,7.17991820971305,8.07358887487045,7.90222331830318,7.98102783169988,8.30326758553175,7.82839353378362,8.44181994128801,7.74513404265629,7.11610144782891,8.4387562000445,8.43994711625584,8.18836066488023,8.11908530766549,7.71389644079771,7.47874131276502,8.20067833287742,8.79531090415247,8.10470545652804,8.08207084493148,7.73398083508268,8.51371824531627,7.61003061958314,7.8805574653257,7.83572462390244,8.18135616343689,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945658,7.91064771945657,7.91064771945657,7.91064771945658
"hsa_miR_140_3p",7.43136072850359,7.5391877779867,7.746265581503,8.04508287146678,8.21308162974806,7.31442146858998,8.10246972117404,8.01227002801729,8.17171966958545,7.75840500372344,8.49773242117232,8.37577009944937,7.96937753206507,8.48014194594364,8.1379931707628,8.86012260676899,8.86220273530198,7.96038800511438,8.09702998159719,7.9096548438068,7.98596695920039,8.24616359397548,8.56521116086937,8.05145085367715,8.18663265009469,8.47976870893691,7.6765405747001,7.87093176908082,8.15437759148875,8.82179992696485,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315,8.07710108879315
"hsa_miR_146b_5p",6.89928978757229,4.46204331254588,6.99804098697604,7.85610901611012,4.46204331254588,6.16164782860345,4.46204331254588,7.82759508385521,7.64929661926612,6.42635189237296,7.79951876422917,4.46204331254588,8.21280580209574,8.64224893460029,8.36388987931,7.61880229517381,7.8231092669334,6.76172046355946,4.46204331254588,7.67327107195581,8.24362986174202,8.08001743377197,4.46204331254588,8.11402695447374,7.86260023776932,8.1815464589115,7.44683644319706,6.21265255019721,7.84366831698291,8.67650726800729,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727,6.98982994276727
"hsa_miR_182_5p",9.21276743584956,9.55538188580549,11.1667705048576,8.75840761499801,9.08465983633256,10.2171113607071,10.5229538113235,9.63629114510976,9.42635927513276,7.8462653267582,9.12182081597267,9.20685755554964,10.104335345209,9.69749167926678,10.7239043278762,9.52053116111552,9.62304079112906,9.75431014969316,9.05902950202442,9.34439116762104,9.24600746190024,9.01684846963371,9.77120715383354,9.25322505462029,9.69352520603462,9.5862111341998,10.3999899875039,9.91056696981858,10.0345921864641,8.85352436550397,10.6972579727244,8.61727549077143,8.61727549077143,8.61727549077143,8.61727549077143,8.61727549077143,10.621268009285,8.61727549077143,8.61727549077143,10.7303405280474,8.61727549077143,8.61727549077143,8.61727549077143,8.61727549077143,11.5083355082578,8.61727549077143,11.2657772783672,8.61727549077143,11.4283015659625,10.7018898675216,8.61727549077142,10.284588126977,11.3280959933082
"hsa_miR_183_5p",8.23818411935494,8.12073886872891,9.77013847885183,7.93996227358136,8.38752238596849,9.01631929406492,8.82393534440796,8.44515198430587,8.25133773776071,7.45710276742353,8.35986748137186,8.18312204311774,8.92571617274765,8.75743085795625,8.62025816936042,8.63317462410927,8.76402374738586,8.54702064708021,8.07982156350384,8.27105779023996,8.33444689376487,8.49799804791953,8.44275007185696,8.48093300924115,8.68102167406189,8.80642284590195,9.05818685338631,8.94152560112638,8.5655181500399,8.20797915659912,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091716,8.47365794091715,8.47365794091715,8.47365794091716
"hsa_miR_26a_5p",14.2507323551442,14.4584181770035,14.0560323009161,14.9289571401026,14.2841892311018,13.4202857386257,14.6248580586366,14.6266728221324,14.297301676777,14.392897758917,14.9404581832595,14.1719404495477,15.0527464991369,15.3706509841019,14.6660921748005,14.5077892996191,14.5782802842483,14.2029952085091,14.108945559572,14.264242084386,14.6269723626544,14.4484943549493,14.2429985779524,14.3789684658423,14.2066028378801,14.8319931293461,13.8899346664069,13.6342254487655,14.6796335910096,15.0469703225441,14.8169523757634,14.5031614654218,14.7176006555568,14.8249791901667,14.3153023163409,14.7708590339469,14.6903138148159,14.3223862504493,14.813902195608,14.2333778932074,15.0467188212105,15.0366803001189,13.7505332827897,14.7917447670958,13.7699241276757,14.8185933587658,14.2154836224217,14.0543161129195,13.8231641394026,14.8268453792911,14.4775857523124,14.7182041504013,13.6057419736249
"hsa_miR_29c_3p",7.74707178394622,7.92310666375375,7.27862310485596,8.00603751234299,7.90196295516152,7.0455056401422,8.03263287883253,7.50717206796965,7.5750636100936,7.78912917224257,7.50456067739912,4.10917016126119,8.19575931427315,8.30155658718499,8.54484796150107,7.34897475932871,8.26282527796137,7.9565314683633,8.09228112508804,7.64097053881503,4.10917016126119,7.43582131440011,8.71366349380618,7.66559339224989,7.56182589402196,8.12405043828576,7.67282115875731,7.27763622237117,8.06882997974661,8.62251918685608,7.3063387265977,7.3063387265977,7.3063387265977,7.3063387265977,7.3063387265977,7.3063387265977,7.3063387265977,7.3063387265977,7.3063387265977,9.86394618006169,7.3063387265977,7.3063387265977,7.3063387265977,7.3063387265977,7.3063387265977,7.3063387265977,7.3063387265977,7.3063387265977,7.3063387265977,7.3063387265977,7.3063387265977,7.3063387265977,10.8887819307786
"hsa_miR_30e_5p",10.2286266179247,11.0535179974668,11.1443026302208,11.1723035878793,11.0326361628525,10.6143993821511,10.3138879255484,10.2479003064488,11.2985832159618,11.1778831080867,11.079088735687,11.0398687422205,10.8336656384802,11.0009841867979,11.0575265709261,10.7775461219889,10.577383148167,10.7960006942739,10.3744129287192,10.729489379909,10.4628710898765,10.5935807087424,10.64255735687,10.6899982481991,9.79313519172582,11.238483678725,9.59505194485004,10.3620000579316,11.3677754619491,11.0790621600949,11.2972954459444,10.1929302450817,10.8148626483223,10.4405862920956,10.4961348269332,11.5353667347595,11.0741428099089,10.2758409212714,10.9261066975261,10.8676956672166,11.210299501621,11.3262992359758,9.93282030450544,11.0169967173226,10.7445230298159,11.0063563419774,10.6250751549354,10.7206948539771,10.8888454816355,10.9885971146234,10.3215040476178,10.8736838612375,9.8462845090597
"hsa_miR_320b",9.19364702652112,10.0928668400979,9.01318678339819,6.74407869657591,6.74407869657591,9.211709539135,9.67632865244077,6.74407869657591,9.74093558453872,9.5187649943631,9.50592863736164,10.8162632304607,9.71538420117778,9.63722230656559,10.5072754541763,10.4416219915733,10.3828325382512,8.90722106688986,10.4637834627657,10.22061486237,10.9342567694637,9.64300721026521,10.5644300557857,9.93394842278939,9.67997781266105,9.4661572722598,8.4190456376372,9.76380741138345,11.2062679913552,6.74407869657591,8.64247798633383,10.5095397536498,9.96688912532363,9.99302796357014,9.93479876342199,8.80165590956498,9.53150389986744,9.18109318157243,8.3220475415709,7.82561003361661,9.41576021011365,8.47277451427733,10.1662895551006,9.10327443118249,12.9885347029596,8.77498763800834,9.05017512882281,10.3635355303125,8.28369681133408,9.71542454387971,10.3487809393965,8.38289495302126,10.6538720273436
