"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22"
"hsa-miR-10b-5p",75,72,23,30,48,43,95,84,44,49,6,14,10,29,23,26,15,20,9,24,7,20,22,4,37,101,53,111,250,121,133,128,33,144,57,144,122,206,200,172,136,97,301,355,271,277
"hsa-miR-10a-5p",75,40,17,50,70,30,84,76,31,18,73,51,51,134,104,159,88,119,89,86,43,60,104,95,91,71,43,77,162,92,131,145,45,106,59,109,78,149,124,136,128,97,206,257,224,194
"hsa-miR-99b-5p",39,17,18,21,28,10,37,29,19,15,8,17,6,9,18,23,14,39,12,3,5,3,39,21,23,19,18,32,97,42,45,64,55,82,22,44,52,56,63,44,62,49,80,125,90,78
"hsa-miR-30a-5p",54,27,13,15,38,25,53,61,20,26,25,18,14,64,37,111,29,37,20,27,22,24,19,21,28,47,37,42,101,61,74,83,48,77,35,65,62,84,127,53,68,47,141,146,128,146
"hsa-miR-126-5p",196,119,53,193,154,104,174,151,68,99,152,174,115,266,233,442,216,438,190,190,61,130,238,185,113,154,150,223,493,213,228,239,165,267,96,319,234,314,393,265,290,193,555,557,497,521
"hsa-miR-155-5p",42,26,18,75,73,30,47,67,41,41,53,42,60,67,101,136,73,93,76,40,39,34,95,62,42,181,42,61,112,68,74,70,33,70,38,106,69,98,99,95,81,73,86,199,161,80
"hsa-miR-126-3p",1822,911,465,1359,1278,1287,1288,1274,598,561,1443,1625,1158,2269,2238,3569,1881,3614,1623,1508,520,1211,1852,1357,1220,1138,979,1563,3418,1237,1838,1681,731,1628,1035,3047,1486,2200,3450,2330,2009,1529,4389,4927,4131,3596
"hsa-miR-27a-3p",20,8,4,22,11,11,5,7,10,7,5,2,6,4,14,25,14,24,13,5,0,2,10,6,8,12,10,19,27,10,22,22,6,22,3,26,12,27,34,13,19,23,31,29,26,29
"hsa-let-7g-5p",371,110,97,1468,352,485,171,157,93,102,1801,1999,1506,2156,2493,3903,1892,4506,2547,1538,521,2545,2416,2806,2047,110,84,103,154,79,156,85,68,109,70,248,130,136,222,191,156,128,207,399,280,166
"hsa-let-7f-5p",8815,3348,2148,46662,8010,8339,3686,4408,2473,2855,4221,4766,3142,4300,5560,10192,4001,9998,5781,3233,866,4551,6228,8050,3780,2802,2456,3167,3729,1856,2736,2030,1489,2915,2185,4804,1738,2751,4506,3413,4545,2916,4517,8240,5783,3518
"hsa-miR-27b-3p",62,16,15,33,21,22,28,17,10,11,1,2,1,1,8,5,1,4,4,3,0,0,2,0,2,34,29,34,82,47,39,62,28,59,28,61,30,45,76,41,43,42,73,87,81,54
