"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21"
"hsa-miR-146a-5p",109,83,115,647,154,125,84,361,93,62,4,5,4,5,2,12,3,22,9,5,1,2,12,10,0,97,13598,292,230,293,883,167,168,191,725,320,259,182,425,35,1032,221,274,1857,298,1140
"hsa-piR-28096",8,5,7,10,8,4,9,15,6,4,8,6,0,10,8,13,9,12,7,10,3,10,4,5,11,5,309,8,8,20,23,17,16,23,36,17,10,15,15,3,38,10,15,127,49,40
"hsa-miR-221-3p",39,15,31,161,44,31,31,54,22,8,20,21,13,10,25,62,21,48,27,17,2,6,22,20,8,15,2711,35,30,79,127,35,51,54,132,87,49,72,96,17,148,68,43,591,153,332
"hsa-piR-32995",18,16,20,116,35,15,7,62,19,17,2,1,1,2,4,6,1,5,3,3,0,1,7,4,7,17,1602,133,20,40,95,35,24,49,85,44,33,86,32,4,163,36,34,260,80,113
"hsa-miR-27a-3p",20,8,4,22,11,11,5,7,10,7,5,2,6,4,14,25,14,24,13,5,0,2,10,6,8,12,156,4,9,25,37,18,21,28,17,17,26,19,33,2,25,57,23,87,62,185
"hsa-miR-10b-5p",75,72,23,30,48,43,95,84,44,49,6,14,10,29,23,26,15,20,9,24,7,20,22,4,37,67,178,58,48,85,291,90,214,228,149,134,151,107,134,11,123,476,191,270,169,1887
"hsa-miR-146b-5p",20,4,13,30,37,13,18,25,19,12,1,4,2,2,2,7,2,5,1,3,1,1,0,0,0,4,535,23,23,26,102,16,28,28,99,29,46,14,30,3,50,76,41,160,59,275
"hsa-miR-126-3p",1822,911,465,1359,1278,1287,1288,1274,598,561,1443,1625,1158,2269,2238,3569,1881,3614,1623,1508,520,1211,1852,1357,1220,1364,10840,1195,1127,2481,3779,1975,2358,2586,2621,1967,2627,1702,3013,170,2156,6406,3041,5795,3847,20793
"hsa-miR-30a-5p",54,27,13,15,38,25,53,61,20,26,25,18,14,64,37,111,29,37,20,27,22,24,19,21,28,32,158,30,45,90,136,60,75,84,66,57,77,54,96,8,54,193,80,180,134,655
"hsa-miR-126-5p",196,119,53,193,154,104,174,151,68,99,152,174,115,266,233,442,216,438,190,190,61,130,238,185,113,167,1688,164,116,221,493,244,256,323,200,154,291,158,335,16,259,682,267,612,417,2587
"hsa-miR-223-3p",269,155,183,456,688,471,381,742,360,205,151,78,109,96,135,255,227,293,183,112,32,47,239,199,70,303,6759,427,323,1626,656,801,297,465,882,1166,505,1148,536,53,750,1324,326,4051,2430,1754
"hsa-miR-23b-3p",28,10,2,7,14,11,8,11,7,3,7,9,8,8,24,54,17,45,10,14,3,4,22,37,7,6,126,9,15,18,13,21,13,22,22,12,28,23,13,1,31,39,21,85,30,160
"hsa-miR-125a-5p",190,109,53,67,183,84,212,166,105,110,15,5,9,18,12,33,17,32,21,21,4,11,44,17,12,205,656,134,113,264,556,241,230,300,324,221,353,190,199,11,311,537,359,733,475,2159
"hsa-miR-142-5p",26,14,15,56,34,73,36,35,18,15,11,11,2,2,9,26,19,17,8,11,2,15,26,9,5,19,493,26,20,79,100,36,26,43,65,52,40,51,98,0,45,139,63,206,182,456
"hsa-miR-29a-3p",42,23,35,33,82,41,42,65,11,32,6,7,6,15,11,22,13,17,13,8,3,8,14,7,16,26,809,24,39,81,195,54,50,61,76,99,146,66,75,10,81,153,83,128,119,486
"hsa-let-7a-5p",8586,3305,2092,37084,8309,7291,3557,2946,1919,2156,7261,8784,6837,8079,12564,17100,7810,16178,10696,5735,2368,8584,11630,13238,9074,2395,14538,2298,1452,1048,2974,2432,1656,2913,2160,1652,2975,8658,1500,431,3850,3890,2894,6198,2403,10907
