"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-miR-1246",30,39,24,70,24,216,43,48,85,41,35,30,32,53,33,83,19,36,33,24,155,36,97,47,65,34,37,29,73,62,23,147,39,100,53,64,223,30,266,161,119,66,36,583,117,11,68,84,139,86,129,113,20,76,78,22,66,81,50,68,53,43,24,45,71,43,46
"hsa-miR-378a-3p",50,3,11,43,25,31,11,15,19,16,11,9,9,42,14,23,13,5,6,8,15,23,17,36,12,16,15,26,40,43,15,10,154,22,14,39,46,12,25,21,49,19,17,55,34,7,20,21,23,76,26,115,6,5,9,8,14,37,13,7,3,1,5,3,3,9,8
"hsa-miR-20a-5p",28,12,6,94,38,44,14,12,4,9,9,3,7,20,6,11,12,4,7,11,24,8,16,50,17,10,6,24,30,20,16,10,212,11,5,13,43,13,13,17,19,10,19,44,21,3,24,27,20,98,47,144,28,23,16,15,25,40,14,32,37,19,3,23,26,26,26
"hsa-miR-92a-3p",2557,585,527,7801,2444,2293,1203,1129,844,1068,738,501,823,2003,986,1438,1169,1250,1827,497,1565,937,1069,1860,1075,1324,1224,2749,2532,2518,1397,586,5682,516,645,1012,1934,669,615,780,701,879,1167,4435,735,136,1120,1178,1024,2341,1606,4340,149,125,202,192,418,325,222,312,302,112,61,226,280,313,307
"hsa-miR-342-3p",151,82,122,161,202,108,239,181,57,129,236,159,171,389,195,265,269,159,376,124,448,260,247,440,344,278,226,327,739,594,428,113,696,81,116,175,414,127,94,198,280,242,510,157,170,26,298,498,385,434,242,1929,67,49,42,54,65,144,46,234,60,39,30,72,83,108,62
"hsa-let-7c-5p",366,83,60,558,196,127,105,90,52,28,94,100,114,164,64,126,80,107,135,92,160,108,171,198,152,169,118,135,289,203,142,91,234,82,103,51,91,94,56,130,106,51,115,176,61,8,132,142,113,278,91,459,92,86,101,137,206,667,149,188,119,104,72,112,351,168,170
"hsa-let-7b-5p",6802,3194,2179,31609,6646,5644,3471,3158,2378,2149,2261,3122,3885,4803,1973,3836,2374,3259,4039,2140,5154,2201,3035,5504,3216,3874,4429,4040,6037,5171,2916,2243,8305,1981,1608,1637,2885,2439,1718,2570,2224,2039,3140,10591,1502,404,3643,3335,2677,4623,2583,9675,2976,3969,3741,3784,9398,7259,3788,7283,4638,2463,1548,3971,5702,5570,7062
"hsa-miR-142-3p",1133,470,475,3747,1383,1263,971,1757,876,675,651,598,711,1333,632,804,694,450,974,701,1244,917,741,1378,1111,1043,673,1036,2499,1928,1296,635,14758,830,516,1481,2325,866,792,1192,2521,1886,1290,1941,1122,116,1948,1949,1249,3227,2147,6226,64,46,40,33,42,99,59,131,76,41,11,48,101,57,47
"hsa-miR-223-3p",269,155,183,456,688,471,381,742,360,205,181,195,224,715,282,293,291,165,406,222,387,283,202,666,306,267,310,354,764,716,727,303,6759,427,323,1626,656,801,297,465,882,1166,505,1148,536,53,750,1324,326,4051,2430,1754,151,78,109,96,135,255,227,293,183,112,32,47,239,199,70
"hsa-miR-26b-5p",786,264,194,1451,632,991,362,495,258,216,290,283,339,631,251,431,267,181,332,203,553,321,392,942,530,483,375,650,1090,920,651,270,5833,429,273,499,817,445,408,605,729,422,587,977,569,48,657,1141,525,2422,973,4169,589,492,437,607,706,1507,793,1583,733,444,151,466,869,652,458
