"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-miR-483-5p",68,8,5,15,25,15,17,6,12,11,13,12,24,43,19,32,18,24,50,16,35,66,46,18,17,24,29,41,30,41,27,14,14,7,17,24,21,20,10,20,19,16,23,12,28,5,21,33,29,7,7,47,7,4,4,14,27,41,10,2,6,2,0,4,7,7,6
"hsa-miR-99b-5p",39,17,18,21,28,10,37,29,19,15,19,18,32,97,42,45,64,55,82,22,44,52,56,63,44,62,49,80,125,90,78,21,241,18,23,47,75,28,37,43,54,33,50,26,21,3,59,91,49,125,54,270,8,17,6,9,18,23,14,39,12,3,5,3,39,21,23
"hsa-miR-126-5p",196,119,53,193,154,104,174,151,68,99,154,150,223,493,213,228,239,165,267,96,319,234,314,393,265,290,193,555,557,497,521,167,1688,164,116,221,493,244,256,323,200,154,291,158,335,16,259,682,267,612,417,2587,152,174,115,266,233,442,216,438,190,190,61,130,238,185,113
"hsa-miR-10b-5p",75,72,23,30,48,43,95,84,44,49,101,53,111,250,121,133,128,33,144,57,144,122,206,200,172,136,97,301,355,271,277,67,178,58,48,85,291,90,214,228,149,134,151,107,134,11,123,476,191,270,169,1887,6,14,10,29,23,26,15,20,9,24,7,20,22,4,37
"hsa-miR-10a-5p",75,40,17,50,70,30,84,76,31,18,71,43,77,162,92,131,145,45,106,59,109,78,149,124,136,128,97,206,257,224,194,57,290,58,68,89,198,67,157,157,79,83,119,86,99,6,123,302,146,147,109,1153,73,51,51,134,104,159,88,119,89,86,43,60,104,95,91
"hsa-miR-29c-3p",56,19,11,77,31,48,18,30,26,23,39,22,24,77,39,54,29,33,35,15,51,43,60,68,53,35,42,64,81,68,65,15,302,13,26,44,87,20,21,46,26,52,54,61,65,5,38,99,49,107,95,231,4,2,0,4,1,6,3,4,3,2,2,2,4,1,7
"hsa-miR-30a-5p",54,27,13,15,38,25,53,61,20,26,47,37,42,101,61,74,83,48,77,35,65,62,84,127,53,68,47,141,146,128,146,32,158,30,45,90,136,60,75,84,66,57,77,54,96,8,54,193,80,180,134,655,25,18,14,64,37,111,29,37,20,27,22,24,19,21,28
"hsa-miR-155-5p",42,26,18,75,73,30,47,67,41,41,181,42,61,112,68,74,70,33,70,38,106,69,98,99,95,81,73,86,199,161,80,47,320,42,29,54,109,49,58,89,104,58,128,69,58,7,105,137,121,147,66,474,53,42,60,67,101,136,73,93,76,40,39,34,95,62,42
"hsa-miR-361-5p",12,4,1,34,24,12,16,14,2,2,6,10,10,35,14,18,19,9,14,9,24,13,20,40,18,14,18,28,54,40,23,5,230,12,11,14,17,16,12,18,16,11,23,21,20,1,31,37,11,108,34,84,5,12,11,18,21,31,21,19,14,11,5,6,11,24,19
"hsa-miR-27a-3p",20,8,4,22,11,11,5,7,10,7,12,10,19,27,10,22,22,6,22,3,26,12,27,34,13,19,23,31,29,26,29,12,156,4,9,25,37,18,21,28,17,17,26,19,33,2,25,57,23,87,62,185,5,2,6,4,14,25,14,24,13,5,0,2,10,6,8
