"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-miR-221-3p",39,15,31,161,44,31,31,54,22,8,21,25,27,102,46,68,71,21,52,37,59,47,56,107,46,36,54,64,76,75,53,15,2711,35,30,79,127,35,51,54,132,87,49,72,96,17,148,68,43,591,153,332,20,21,13,10,25,62,21,48,27,17,2,6,22,20,8
"hsa-miR-23a-3p",51,39,38,80,93,66,65,89,39,28,62,58,82,230,103,153,88,77,151,76,139,103,103,194,89,125,137,134,189,225,168,41,2295,76,62,125,177,83,94,104,138,125,136,161,159,19,213,165,114,562,248,738,64,45,29,36,106,154,88,132,79,38,11,20,88,82,35
"hsa-miR-142-5p",26,14,15,56,34,73,36,35,18,15,34,30,28,64,24,22,35,11,31,22,49,37,21,65,47,41,19,50,75,68,59,19,493,26,20,79,100,36,26,43,65,52,40,51,98,0,45,139,63,206,182,456,11,11,2,2,9,26,19,17,8,11,2,15,26,9,5
"hsa-miR-10b-5p",75,72,23,30,48,43,95,84,44,49,101,53,111,250,121,133,128,33,144,57,144,122,206,200,172,136,97,301,355,271,277,67,178,58,48,85,291,90,214,228,149,134,151,107,134,11,123,476,191,270,169,1887,6,14,10,29,23,26,15,20,9,24,7,20,22,4,37
"hsa-miR-21-5p",449,151,170,1671,449,395,304,457,189,288,547,250,329,1119,516,711,471,286,545,303,660,543,666,804,535,426,937,710,1095,1121,637,215,5907,298,296,489,2487,211,677,560,603,551,603,640,709,57,729,1018,670,1077,700,4690,24,14,17,33,33,75,32,75,32,18,4,12,47,43,19
"hsa-miR-128-3p",24,12,8,67,19,21,11,18,9,3,17,12,12,41,13,16,13,5,19,17,24,13,26,29,17,11,14,24,30,29,18,11,520,13,9,12,33,32,8,16,23,20,14,73,21,5,48,21,15,67,45,96,6,4,5,9,12,19,4,10,3,5,0,0,7,10,3
"hsa-miR-126-3p",1822,911,465,1359,1278,1287,1288,1274,598,561,1138,979,1563,3418,1237,1838,1681,731,1628,1035,3047,1486,2200,3450,2330,2009,1529,4389,4927,4131,3596,1364,10840,1195,1127,2481,3779,1975,2358,2586,2621,1967,2627,1702,3013,170,2156,6406,3041,5795,3847,20793,1443,1625,1158,2269,2238,3569,1881,3614,1623,1508,520,1211,1852,1357,1220
"hsa-miR-146b-5p",20,4,13,30,37,13,18,25,19,12,13,16,23,28,24,28,17,22,41,22,44,31,21,54,48,13,14,27,64,59,56,4,535,23,23,26,102,16,28,28,99,29,46,14,30,3,50,76,41,160,59,275,1,4,2,2,2,7,2,5,1,3,1,1,0,0,0
"hsa-let-7a-5p",8586,3305,2092,37084,8309,7291,3557,2946,1919,2156,2448,2669,3429,4037,1629,3204,1758,1927,2879,2412,5575,1558,2809,5328,3322,3933,3727,4320,6799,5124,3197,2395,14538,2298,1452,1048,2974,2432,1656,2913,2160,1652,2975,8658,1500,431,3850,3890,2894,6198,2403,10907,7261,8784,6837,8079,12564,17100,7810,16178,10696,5735,2368,8584,11630,13238,9074
"hsa-miR-30a-5p",54,27,13,15,38,25,53,61,20,26,47,37,42,101,61,74,83,48,77,35,65,62,84,127,53,68,47,141,146,128,146,32,158,30,45,90,136,60,75,84,66,57,77,54,96,8,54,193,80,180,134,655,25,18,14,64,37,111,29,37,20,27,22,24,19,21,28
"hsa-miR-27a-3p",20,8,4,22,11,11,5,7,10,7,12,10,19,27,10,22,22,6,22,3,26,12,27,34,13,19,23,31,29,26,29,12,156,4,9,25,37,18,21,28,17,17,26,19,33,2,25,57,23,87,62,185,5,2,6,4,14,25,14,24,13,5,0,2,10,6,8
