"","HB1","HB2","HB4","HB5","HB8","HB10","HB11","HB13","HB15","HB17","HB18","HB20","HB21","HB23","HB24","HB26","HB27","HB29","HB30","HB32","HB34","HB38","HB40","HB45","HB46","HB49","HB50","HB52","HB54","HB56","HB58","HB60","HB62","HB66","HB68","HB70","HB72","HB74","HB76","HB78","HB80"
"hsa_let_7a_5p",16.9727063353202,17.3696440269968,17.3560768672268,17.144599591783,17.031483706451,17.1934781502526,16.9660259547107,17.5416171628591,16.9726926526913,17.2618674112135,16.7789244458976,16.9883284278033,16.7042041849622,17.043329340783,17.1901955440924,16.7189943106019,16.9332383345289,16.6924888630318,16.8830546230114,17.329197999153,16.8287859760387,16.6168452388881,16.8044421569175,16.8932497333959,16.9320579316945,16.9421199101102,16.7133692353079,16.9890122042625,17.1122104544135,16.9728901175456,16.675304693465,17.0639065520765,16.9367865710476,16.645872547353,16.2972447633525,16.8873765741281,16.7591134549864,16.1572428444585,16.6306447536619,16.3340370079767,16.8339827805112
"hsa_let_7b_5p",16.2354308957407,16.6197996195747,17.0276509506327,17.2727037896907,16.4343564478587,16.9020860696902,16.7618919013681,16.9699683360123,16.4947990046733,16.6105711540036,16.3393240313381,16.2116880876965,16.1413524692378,16.6744219053524,16.7905713785895,16.4157369212816,16.4906292640297,16.4942551029567,16.5851732730114,16.8348891184932,16.4777031491744,16.0373943455327,16.3743125448954,16.3525821589378,16.6532408152537,16.7232818868887,16.5431388402128,16.4111966638459,16.3987360245438,16.458393312226,16.2514794459875,16.5578833362575,16.3472069719169,15.9300233799997,16.6425003228048,16.5593988973359,16.0521644871951,16.2056529874783,16.520798616001,16.3037850668074,16.2004949320928
"hsa_let_7d_5p",12.7764013792994,12.7681898489937,13.1084949799857,13.2470779340892,12.7067276682625,12.7310516768695,12.7896289651113,13.0672461464524,12.4675515483412,12.550099386157,12.2132244831038,12.7021469752468,12.2366793928131,12.7451243244549,12.9541214288622,12.6607442838181,12.6969676832343,12.875811840406,13.187294617961,13.1044308819343,12.5151058218137,12.6016214308836,12.5344781039259,12.4952593552893,12.179904543287,12.7482418180685,12.4184331815085,12.8887224482085,12.8553845974898,12.5798461998874,12.2328820094484,12.6430258322742,12.7162821515828,12.4165341989675,13.8659289738844,13.0708074292533,12.4540482354486,12.5358638709219,12.5911494621542,12.0627321230804,12.5217291814229
"hsa_let_7i_5p",15.1826133334756,15.6564898141476,15.5908102215583,15.6896212784375,15.791823659019,15.4146996064409,15.1340444365081,15.5955397529216,15.892897804957,15.5432496055595,15.6980551284475,15.8170358160338,15.8015683663621,15.476975688234,15.3980650260655,15.773143262585,15.6370466786824,15.9684414670156,16.2332902781748,15.7209523824623,15.7740996053815,15.9402475629373,15.9703832663548,15.7006099306323,16.0028495892203,15.8535293854259,16.5344827312466,15.4802764378418,15.8359770550637,15.4405943879073,15.3824718746188,15.7391859722731,15.6456195455915,15.8978310026313,17.2193098160061,15.9463183500291,15.5192721322946,15.4916273094848,15.8682744775914,15.7036737226927,15.3018452479859
"hsa_miR_1_3p",5.24011045996391,5.2401104599639,5.24011045996391,12.8961909265353,14.1977249291356,5.2401104599639,5.24011045996391,6.47126295632896,10.336678750126,5.24011045996391,9.0999864996909,7.88422271001827,10.0959556877496,8.94914502895895,8.21655796134276,8.84980289865611,7.53454316217211,10.552686055439,8.64685023745719,9.20719115510345,10.1946594631124,10.0403460882875,10.4982397547743,8.76337460628801,9.90583954435321,9.93914828050666,5.2401104599639,5.2401104599639,7.11834519490736,8.79685120265676,5.2401104599639,10.434368595591,8.71618460912741,8.2606534000101,6.52343170899541,10.6561130265526,5.24011045996391,5.2401104599639,5.24011045996391,5.2401104599639,5.2401104599639
"hsa_miR_1246",8.11114597790522,5.32125994024211,9.61329224348807,5.32125994024211,9.6215976517672,9.48997016290616,10.6778450390585,6.38286595784543,9.53138636711168,5.32125994024211,8.78794245450231,11.2094975607433,9.69200541259867,9.59401060084746,8.17246742167143,9.12417167284394,7.41606898976352,10.1316917712126,9.03345712965149,5.32125994024211,8.96598924460667,5.32125994024211,9.61966819424938,9.42398832781417,9.79066908170033,9.9075053705041,5.32125994024211,8.15381809444365,5.32125994024211,8.47922131348682,11.0734837136526,9.06278638461614,5.32125994024211,5.32125994024211,6.55058286450696,10.1075270619638,7.09482246825831,8.18136640456853,9.64389139681965,5.32125994024211,5.32125994024211
"hsa_miR_128_3p",7.3430844429474,7.26088911957453,8.07888988176757,8.17653274106359,4.4221131883304,8.16348094294659,4.4221131883304,7.26871130223202,8.39077557072284,7.22603421429893,7.80333584699691,7.18380749351084,7.86085175623955,7.61304750077641,8.80965775740999,7.94810362536525,7.98329126842654,4.4221131883304,7.98013328717979,4.4221131883304,4.42211318833039,4.42211318833039,8.66441425279515,7.85019349417909,4.42211318833039,4.42211318833039,4.42211318833039,4.42211318833039,7.21340212205338,8.67784338868396,7.92508118656864,7.66120920655144,7.92971884602709,6.88078406280811,7.31526459177688,8.60055143625499,8.61747073014576,8.52869315846546,8.90036275978375,9.00220606894758,8.02930175930419
"hsa_miR_1307_3p",7.90701947476334,8.9307215617873,5.68134298302848,9.62020574176652,5.68134298302848,9.37507527792762,9.30249828865916,8.44807570377212,9.32821222456274,9.11842209227718,5.68134298302848,5.68134298302848,9.18001816319242,5.68134298302848,8.95355411363427,9.71443528067558,9.25364872508134,5.68134298302848,9.95317480252285,5.68134298302848,9.65056308991283,9.99198464201309,5.68134298302848,9.49487074734745,5.68134298302848,5.68134298302848,11.0813850858955,8.93436315784287,7.28495852663308,9.39656577366397,9.76183824149001,5.68134298302848,5.68134298302848,8.77600374830924,9.1416717650129,9.96137986955256,9.53378635410551,10.897235232205,10.3795953263211,10.1948119443937,9.37198852355621
"hsa_miR_140_3p",7.06485892713647,8.03953541363661,7.21919119856577,7.85640129422553,7.80855987477963,7.93713949002569,6.45903038708076,6.89874833232482,8.27718521804481,7.8890319028076,8.74191389934379,7.52841688719568,7.99578832420537,8.57806741133858,8.65633396956438,7.82683252656856,8.64680486316533,8.06885551526811,8.62847386709075,7.86702108032859,9.09965901608513,8.1682319163205,8.55336768765401,8.05092307730139,8.2535207130528,7.59003814919163,8.70789634883714,7.35281278844128,7.9967726045708,8.89305712638968,8.37790842793266,9.16346494559727,8.45120564527228,8.26138605131896,8.53850322066026,8.13063815118679,8.55301765966885,8.25139717477597,9.05997556411164,8.06793850653774,8.6661672087251
"hsa_miR_142_3p",11.7889787098166,12.3688225587042,12.2521233647798,12.2178373302139,12.5375259596613,12.7997547068155,12.2402020916524,12.0118800524981,12.6523586042508,12.4368441353177,12.8210803155256,12.2164862893057,12.5514409707589,12.9215887211375,12.7061764638913,13.6009438143813,13.3522570525877,13.237395630249,13.8454585414495,13.0885667793536,12.8597474302197,13.0109971257233,12.7712005319961,13.2585598308774,12.9643070876303,12.4539482462345,13.634015355091,13.5164138293348,12.0682902232181,12.8879761042915,13.1938752289572,12.7741767221888,13.0756332323354,12.976687058881,11.7202868557098,12.968200534228,13.285483998513,12.0209270507023,12.7319920257238,12.1313437782526,13.3092011906158
