"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-miR-320d",7.77765605765785,8.98117765868901,8.86953477327789,7.44829950154173,6.4251968857768,7.19720491192855,7.63026827709864,8.23285515528768,9.53335554905132,7.93988582844483,8.07889175963493,9.0713079372019,8.01060296026923,8.03233100817053,8.70615836659476,8.53978941743838,8.48474562850806,7.35059507421562,8.24492896220422,9.17622939541259,8.8885557122884,8.94001841112564,9.37719466631067,7.83073258268413,8.41387244632105,8.25592260487086,9.07556913092818,7.63410851813579,8.44153593199421,8.28079618801669,7.42321375583521,7.79280662418026,8.98330053716006,8.13579347763302,8.50178642730411,8.19573077518362,7.89100267886365,8.70563993215749,7.74516496275362,8.47268615483893,8.37337802166281,8.21879436605431,7.40959629286683,7.88483303535632,7.85942556248473,9.91913660634314
"hsa-miR-320b",7.70030586071806,7.80904540225542,9.2956028439785,7.31231496896433,7.90077010729817,7.97261806226542,8.34515777043085,8.04091909869345,8.70677402774963,8.64802469087502,7.83270812416033,8.2767261126004,7.64331457619349,8.53220499132574,8.24356319698037,8.79763425426515,8.05953376051854,6.29478274242467,8.27725805595835,7.95447659927207,8.97183735319788,8.09403166169144,9.09061548541747,7.40753883467216,7.75684566052134,7.71009361168428,8.26437678473218,8.01460188036695,8.74633083197378,8.99613959681919,8.89867463079991,7.77391453430469,8.79180168076574,8.80210420424436,8.54877196289417,8.01189440201801,7.63335418568152,8.21838793982594,7.74973199307911,8.18838061798004,7.79173534346258,8.69463013598501,7.47445376308047,8.65872609739062,7.45863823678358,9.45678213275516
"hsa-miR-320a-3p",11.0429560368924,11.4929102315595,11.7278469609341,11.7159855600496,11.5256750271439,11.4331799112268,12.2495907442011,12.1124203337667,13.1655427536877,11.9031757928478,11.4292989992753,12.1669289863477,11.7381575618829,12.1792974750333,12.3499708894538,12.4278779924567,11.8621735114098,12.8213190827142,12.6792315837502,12.0557911192972,12.0223715395296,13.2735692640666,12.4328352456002,12.2780159732597,11.6643070306534,11.6788455058047,12.2072531994235,11.727031637909,12.0282735334186,12.4053430322239,11.593487901925,12.2050331138676,11.839118589467,12.3933332908519,12.0603846853557,13.0746739413935,11.8703060037735,12.5437048609295,11.7177261571198,11.9958696333345,11.7854290790949,11.3112867891719,11.3885621780076,12.1092911234834,12.5203108437008,12.291417359161
"hsa-miR-320c",8.00364873830095,8.86392728923091,9.75975641079691,8.00771633961536,7.24058955006865,7.79965164917055,8.51686254311495,8.61187364134278,9.55782803435729,8.21011245857857,8.17189084874081,8.56493849548704,8.25799456411849,8.80262085668744,9.21259551099821,9.44392886798872,8.69089701792076,8.20536271367533,8.33719070246244,9.3575473320298,9.15567066433691,9.47633629208084,10.0522492269605,8.68421277750062,8.75572466147502,8.24640612738338,9.32438098740086,8.01943430248179,8.2365427916219,8.96440670577332,7.82675317457645,8.48768597824816,8.72269100788,8.88144095610939,9.11820030455146,8.99882629810519,8.34672961080151,8.82251379654777,8.44061600213488,8.92307588007458,8.36325240568268,8.89206221604389,7.70432019147039,8.75562374880675,7.67779341401769,9.81522772276458
"hsa-miR-451a",11.3629236976799,11.4774271738093,11.1706184368745,11.8683008025629,11.8472180272573,12.2314771969717,11.6876422793772,11.2700264407838,11.9137167809298,11.3600657337801,11.5043274030904,11.1817572618011,11.9003668505347,12.9708839011666,12.7351994808299,13.3332075818433,12.1050971495903,12.6347390309965,12.087971216547,11.3577712242331,12.1639393964347,11.9569202876608,11.7772771152335,13.0865535671926,11.9917206066317,11.9837570897706,12.5107164477862,12.6276637125102,11.6098220908143,11.9666890530607,11.8942488657627,11.6026363160638,11.2067195399358,11.9863013212238,11.4949167400551,12.5111983946568,10.2660139410343,11.6688164762738,11.7133903548391,12.3706925408032,11.6814546495999,12.0850623196659,13.1806709116209,12.7012116658225,11.6071253942171,13.3404812063022
"hsa-miR-181a-5p",9.50096614568409,8.94128158691352,9.48371086194542,9.2328443098406,9.41365281105461,9.56562102720881,10.3382664314814,10.1639638614936,10.0987594228463,9.71502535692624,10.0186235380349,9.93536099090869,10.2269389547711,10.5008958616357,10.4315166660091,10.2593409558642,10.3795802945851,9.50095983885307,9.89477454474634,10.144023751118,9.90869333722235,10.6698424868471,9.98102048867844,10.580920501765,10.7193686004166,10.3295039679114,10.3063553340356,11.0294806194593,10.9859061094236,11.1789284303343,11.0425202549465,10.2240464090026,10.9776510335603,10.3104418374224,10.3821505975964,10.0797047351688,9.7577300282206,10.6988166583408,9.93309485981265,9.93950163211507,10.6244578561912,8.66180387073112,10.712555134738,10.1779900984282,9.98342917908079,9.68414292730165
"hsa-miR-181b-5p",6.02064281121181,6.88733257580988,7.89047603004662,7.13961492609798,7.25924364973199,7.18026639558804,7.78654588896984,8.10975751337463,6.8486889360954,8.26333121554513,8.79839613656114,7.91014327074428,8.42017311477545,8.99314815653227,8.26549888219872,8.00539476803665,8.59152832031982,8.94308737191902,7.71435960668617,8.56582281440467,7.85192558845851,8.93333273416943,8.60390873188023,8.73561101830329,8.73179770891871,8.34071725157561,8.21947944980353,9.24997283522969,8.71364904541682,8.98348309564219,8.80321834748498,8.66126623093785,7.63677198717694,8.94002788002656,7.87564258138255,8.755117492141,7.51403590634514,8.71885274968427,8.22717247845254,8.65364046136973,6.67296667264827,8.52116618685647,8.32727400776968,8.52262068612636,8.4576973336724,6.9036488249594
"hsa-miR-99a-5p",8.61312693496032,7.24622916413814,8.21978554683296,5.64119177691744,8.26215353521914,7.43905408999369,8.58282717374659,8.4891377880464,6.89910071542085,8.70362419756193,7.52328920894403,7.32514752680284,7.82064067217062,9.22253691690976,9.42543555912136,8.70220183547002,9.73586251444011,9.05397920950293,9.45628414494439,8.37840836467897,8.68710862479917,9.92365026382159,9.60322863603209,9.0086313735801,9.11813848940086,8.76595278087567,8.17648757879517,8.98312640497309,9.20232783653575,9.37906933524908,8.94026087377072,7.81207514242909,8.67005929731069,9.45605720707979,9.67287643067387,8.55709727910389,10.3338034608168,8.90174627982008,7.5527446139532,7.65144963991385,8.96847386493236,7.13922415137941,7.83458376388141,8.33735034906204,8.66013951733046,8.37592174930587
"hsa-miR-483-5p",9.02719001296856,7.84078035140385,7.60508126811997,6.11971090709174,8.01550031252381,7.29800765972882,8.32139226113549,6.97139153409795,8.29875060161824,8.12093131752165,8.490726485005,8.44691398682368,9.01559982543643,8.99305094822949,9.00768181436065,9.07189107308564,8.69633153610979,9.33888982624029,9.66316645422956,8.93290555294594,8.74790154870204,10.4918304092987,9.73891560022671,7.74920437585061,8.20658616347249,8.58347605705921,8.91776161341441,8.80699344662299,8.02924433298173,8.71032011116336,8.66916293378526,8.93772967592141,8.17192627859574,8.43578190034479,9.68234915173734,9.88171395747427,9.91296506875978,9.04351153961159,7.17019754567667,8.36349700667435,7.73757939417736,6.53553113775841,8.33771695304969,8.38317858139933,8.44326532304657,8.48747537228426
"hsa-miR-22-3p",8.43137863006159,8.48350018859521,7.49390955144978,8.29746277026702,7.69028668591615,8.50894692808219,8.0220601017779,8.28298291412202,7.93166625620662,7.53095601228717,8.71078545730781,8.67539930588288,8.60961994028345,8.64562800148895,8.81685944282973,8.04729767907689,9.01494098286255,8.91826858695234,7.72648390814595,7.04060816973813,8.16467255090307,9.56647800809832,8.00714681281946,8.91973991646504,8.10058483269996,8.65326259477636,8.62078916726163,8.60939564697224,7.55723409052193,8.05276339628069,8.41175671098844,8.47567521977826,8.48716731338379,7.77884713501931,7.56174940843828,8.9034485415465,8.20368998181929,9.1605755496651,8.13125319606848,7.81948880503651,8.94967116146561,8.55574796008381,7.99945801991929,7.87228143059588,7.73318121911996,8.82857865648189
